ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-6.0,7,,7.200000000000003,7.200000000000003,99.0,0.0,91.8,0.0,Tue 11-09 11-09,H,165 (Ⅳ),Mercer,"W, 74-61",69,107.8,52.7,21.8,37.9,40.0,88.9,57.8,26.2,14.3,11.8,-15.5,-19.0,150.5,99.0,0.0,99.0,99.0,91.8,0.0,91.8,91.8,20211109,107.6,93.3,14.299999999999995,99.6,103.8,-4.200000000000003,109.7,89.1,20.6,73.0,-19.81688210407166,146.66349062829852,73.0,-18.279786680597013,153.12017959522387,-1.4327658468537265,153.12017959522387,-18.279786680597013,153.12017959522387,-1.4327658468537265,138.60587196257913,100.8,101.6,-0.72,70.3,107.6,93.3,14.299999999999995,99.6,103.8,-4.200000000000003,-1.4327658468537265,138.60587196257913,0,94.557906205352,96.04519460296022,-1.487288397608225,-4.423399508719249,0.0,0.0,0.0,0.0,2021-11-09,0.0,0.0,,0.0,-13.600000000000001,-13.600000000000001,0.0,0.0,-13.600000000000001,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,3,0.9648151676951044,0.5,-13.399999999999999,,0.0,-13.600000000000001,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-2.5,21,,11.900000000000002,9.763636363636364,127.8,0.0,106.5,0.0,Sat 11-13 11-13,H,156 (Ⅳ),Gardner Webb,"W, 86-69",70,122.6,56.6,12.8,33.3,22.1,98.3,57.5,21.4,15.6,20.8,11.0,-19.5,144.0,113.4,99.0,108.6,104.23636363636363,99.15,91.8,96.7,94.47272727272724,20211113,104.2,90.8,13.400000000000006,96.8,100.1,-3.299999999999997,109.7,89.1,20.6,72.8,-21.826554857410194,145.16166182256373,73.00711237553344,-16.266152191811713,143.81643207885026,-6.228018364806309,143.81643207885026,-16.266152191811713,143.81643207885026,-6.228018364806309,117.99998233928748,98.0,101.9,-3.95,70.5,104.2,90.8,13.400000000000006,96.8,100.1,-3.299999999999997,-6.228018364806309,117.99998233928748,0,103.76823453469989,98.1931660762052,5.575068458494684,4.174883509550869,94.31476382819127,89.81038773757675,4.504376090614528,5.291975506443664,2021-11-13,-4.318815603072835,138.7132101251401,-1.3254032626086882,138.7132101251401,0.3999999999999986,-13.200000000000003,-13.600000000000001,-13.600000000000001,0.3999999999999986,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.9683545838833274,0.6595794968776887,-8.7,,-13.399999999999999,-6.600000000000001,-13.600000000000001,-1,-1.0,1,-1,-1,-1,-3.0,0.0
0.5,15,14.533333333333337,12.966666666666672,10.733884297520664,118.7,115.16666666666669,103.6,100.63333333333333,Wed 11-17 11-17,H,90 (Ⅲ),Northern Iowa,"W, 93-80",76,123.0,58.0,6.6,19.4,24.6,105.8,53.0,15.9,22.0,19.4,32.0,-12.5,141.0,116.05,113.4,111.96666666666668,106.86611570247932,101.375,99.15,99.0,96.13223140495865,20211117,105.4,91.8,13.600000000000009,101.7,96.4,5.299999999999997,109.7,89.4,20.32,72.1,-15.958776870499591,139.20540022737526,70.97183499288762,-9.951521014703232,141.7579716768796,-19.641989075954765,141.7579716768796,-9.951521014703232,141.7579716768796,-19.641989075954765,136.2763744079532,100.4,97.4,2.97,69.2,105.4,91.8,13.600000000000009,101.7,96.4,5.299999999999997,-19.785059759337074,136.35125987488883,0,104.19391398105206,102.96790925907962,1.2260047219724441,2.277672871511022,96.43070355074308,95.43444184512089,0.9962617056221887,-0.3444350454575443,2021-11-17,-4.144986720258387,144.3263441582755,-3.8673782450061935,144.3263441582755,-5.32,-18.520000000000003,-13.466666666666669,-13.200000000000003,-5.053333333333335,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.8830703586536275,0.6534902273366667,-7.353333333333328,-5.7866666666666635,-8.7,-6.173333333333334,-6.600000000000001,-1,-1.0,-1,-1,-1,-3,-1.0,-3.0
0.5,30,22.3,18.81111111111112,14.32772351615327,108.4,118.3,77.9,96.0,Mon 11-22 11-22,N,63 (Ⅱ),Kansas St.,"W, 72-64",73,98.6,38.8,16.4,31.0,58.6,87.6,39.8,20.5,30.0,39.0,-3.5,-7.5,139.5,112.225,116.05,110.7777777777778,107.145003756574,89.6375,101.375,91.96666666666668,92.81728024042071,20211122,106.7,93.4,13.299999999999995,99.0,92.8,6.200000000000003,110.9,90.9,20.03,72.1,-7.290756408568825,138.6218011337339,69.74110953058322,-4.676806499508146,136.68901413841178,-8.914952590868127,136.68901413841178,-4.676806499508146,136.68901413841178,-8.914952590868127,141.92073034203267,104.1,94.8,9.26,68.0,106.7,93.4,13.299999999999995,99.0,92.8,6.200000000000003,-8.880462905833841,141.96111158945413,0,102.1986816494488,102.20365188427743,-0.004970234828633124,0.9383216086781344,95.68223017930096,96.02179971861048,-0.3395695393095224,-2.586589153806892,2021-11-22,-0.2443337728067263,139.85857694370992,-2.458311875720014,139.85857694370992,9.969999999999999,-8.550000000000004,-15.151111111111113,-18.520000000000003,6.601111111111109,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.7624747379730235,0.5092825025043322,-1.2188888888888805,2.2699999999999996,-7.353333333333328,-2.137500000000003,-6.173333333333334,-1,-1.0,1,-1,-1,-1,-3.0,-1.0
1.0,11,19.03333333333333,16.37407407407408,13.813591967761766,102.6,109.9,91.1,90.86666666666666,Tue 11-23 11-23,N,95 (Ⅱ),Cincinnati,"W, 73-67",74,99.1,37.1,14.9,40.9,48.5,90.9,47.5,19.0,17.6,22.0,-2.0,-5.0,142.0,107.4125,112.225,108.05185185185186,106.31863943719692,90.36875,89.6375,91.6777777777778,92.50504746943513,20211123,107.0,93.7,13.299999999999995,100.5,90.9,9.599999999999994,110.6,90.4,20.18,72.4,-6.427724292902482,139.5051963669561,71.67908961593172,-2.268656147427876,140.3432700876839,0.5200002064384188,140.3432700876839,-2.268656147427876,140.3432700876839,0.5200002064384188,141.53084706149318,103.2,92.5,10.76,69.6,107.0,93.7,13.299999999999995,100.5,90.9,9.599999999999994,0.6660919051970859,141.69321658937855,0,103.76401343597558,97.83428786241822,5.929725573557363,6.340424924152433,103.35607701951513,93.02125986511236,10.33481715440277,14.897765418202628,2021-11-23,3.368776104731097,144.89507956769197,6.133823761470666,144.89507956769197,-9.18,-17.730000000000004,-12.950740740740745,-8.550000000000004,-4.779259259259259,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,-3,0.6830306580593271,0.3741674065717766,-3.8059259259259193,-1.1466666666666683,-1.2188888888888805,-3.5459999999999994,-2.137500000000003,-1,-1.0,-1,-1,-1,-3,-1.0,-3.0
-2.5,15,19.1,16.016049382716055,14.083847973623262,95.1,102.03333333333336,79.8,82.93333333333334,Sun 11-28 11-28,H,217 (Ⅳ),Penn,"W, 76-60",74,102.6,53.2,20.2,33.3,25.4,81.0,43.0,20.2,15.4,28.1,-13.0,-18.5,149.0,101.25625,107.4125,103.73456790123458,104.278886812252,85.084375,90.36875,87.71851851851854,90.19503883862876,20211128,107.6,93.5,14.099999999999994,98.5,102.3,-3.799999999999997,110.9,90.8,20.08,71.9,-21.223074446634612,145.659384314139,69.44537695590328,-16.806830345310097,144.1101524475435,-13.611136872843293,144.1101524475435,-16.806830345310097,144.1101524475435,-13.611136872843293,146.9203908077961,102.0,105.9,-3.87,67.9,107.6,93.5,14.099999999999994,98.5,102.3,-3.799999999999997,-19.21707513920142,146.92381723814705,0,102.96290930419204,94.45663727793368,8.506272026258358,7.594247813249111,97.55072217953388,100.50767076451532,-2.956948584981447,0.7072655590442277,2021-11-28,-11.958973862609753,139.3253713051078,-6.807871583646104,139.3253713051078,-5.079999999999998,-22.810000000000002,-14.543827160493834,-17.730000000000004,-8.266172839506169,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9609573050315723,0.872637972748294,-4.063950617283943,-0.9799999999999969,-3.8059259259259193,-3.801666666666666,-3.5459999999999994,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
3.0,17,14.6,16.344032921810705,14.614057432964486,99.7,99.13333333333333,82.7,84.53333333333332,Wed 12-01 12-01,H,291 (Ⅳ),Central Arkansas,"W, 97-60",83,116.5,57.5,14.4,33.3,35.6,72.1,48.2,30.0,12.8,27.3,6.0,-34.0,151.0,100.478125,101.25625,102.3897119341564,103.4463619372971,83.8921875,85.084375,86.0456790123457,88.8323045043326,20211201,108.3,93.5,14.799999999999995,94.2,109.6,-15.399999999999991,110.9,91.1,19.81,72.2,-32.826576898658764,153.36234529965927,74.25405405405405,-27.63011996205165,157.5702255688118,-29.203906327906072,157.5702255688118,-27.63011996205165,157.5702255688118,-29.203906327906072,143.2292804821554,92.1,110.5,-18.4,72.3,108.3,93.5,14.799999999999995,94.2,109.6,-15.399999999999991,-29.221714592700124,145.68868479812858,0,102.75293411544976,93.8869498774907,8.865984237959069,6.918990589691501,88.6597642824899,102.12449549094092,-13.464731208451013,-8.128938675796205,2021-12-01,-20.462751668982847,143.2667492249443,-13.24023294724222,143.2667492249443,-2.8099999999999987,-25.62,-17.29921810699589,-22.810000000000002,-8.32078189300411,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.9993983468349583,0.9743423436841205,-3.465967078189294,-5.209999999999999,-4.063950617283943,-3.66,-3.801666666666666,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-12.5,0,10.933333333333332,11.06268861454047,12.047865172425489,116.4,103.73333333333332,115.9,92.8,Sat 12-04 12-04,H,314 (Ⅳ),Little Rock,"W, 93-78",73,128.0,61.7,11.0,25.8,43.3,107.4,55.4,19.3,25.8,41.1,23.0,-27.5,148.0,108.4390625,100.478125,107.05980795610428,105.80156885778854,99.89609375,83.8921875,95.9971193415638,93.75370368536304,20211204,108.0,93.3,14.700000000000005,91.8,103.9,-12.100000000000009,110.6,90.8,19.84,73.0,-27.494975974671974,149.10581593476883,74.03840682788051,-24.292890539867784,150.29421133913436,-27.145805738450623,150.29421133913436,-24.292890539867784,150.29421133913436,-27.145805738450623,138.6598478977965,93.5,105.4,-11.89,71.3,108.0,93.3,14.700000000000005,91.8,103.9,-12.100000000000009,-24.897451461884256,142.65366377106704,0,104.395035836454,96.88237249081436,7.512663345639638,4.029556407275809,93.55735345372896,104.34206263865168,-10.784709184922718,-8.482036870688678,2021-12-04,-18.066765429696233,151.4107615333549,-11.290308084577688,151.4107615333549,-19.84,-45.46,-20.072812071330596,-25.62,-25.387187928669405,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.995591218107113,0.9573423076683901,-8.77731138545953,-8.906666666666668,-3.465967078189294,-5.682500000000001,-3.66,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
2.0,18,11.966666666666669,13.508459076360316,13.202798777439035,113.9,110.0,95.5,98.03333333333336,Tue 12-07 12-07,H,195 (Ⅳ),Charlotte,"W, 86-66",70,122.2,55.5,18.5,46.9,31.3,93.8,50.0,17.1,13.3,19.6,8.5,-18.0,143.5,111.16953125,108.4390625,109.33987197073618,107.27401088364516,97.698046875,99.89609375,95.83141289437587,94.0712121062061,20211207,109.0,95.0,14.0,104.9,104.4,0.5,111.2,92.1,19.17,72.8,-20.837307057339082,143.7252907283218,68.55419630156472,-14.125160453574864,150.15672916396454,-16.03448508980167,150.15672916396454,-14.125160453574864,150.15672916396454,-16.03448508980167,143.6457323409899,100.6,105.5,-4.83,66.2,109.0,95.0,14.0,104.9,104.4,0.5,-13.508340463343815,146.9909094885282,0,104.6962688523022,96.07517569046148,8.621093161840719,6.043369258003557,103.22674434191669,110.134394991299,-6.907650649382319,-8.89891627821737,2021-12-07,-15.542970538092405,150.919703965084,-12.135674892548913,150.919703965084,-1.1700000000000017,-46.63,-28.53520804755373,-45.46,-18.094791952446272,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.9567618672531671,0.9306011187312058,-5.661540923639686,-7.203333333333333,-8.77731138545953,-5.181111111111111,-5.682500000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-23.0,-7,3.800000000000002,6.505639384240212,9.438653545177392,101.0,110.43333333333334,108.5,106.63333333333334,Sat 12-11 12-11,N,26 (I),Oklahoma,"L, 88-66",74,89.8,40.2,19.0,22.5,29.5,119.7,67.6,21.8,20.0,43.1,10.0,-1.0,144.0,106.084765625,111.16953125,106.55991464715746,106.1332816320733,103.0990234375,97.698046875,100.05427526291726,96.6946280868959,20211211,109.5,95.1,14.400000000000006,105.7,91.7,14.0,111.8,92.8,18.98,73.0,-3.002038479013166,140.763081887858,69.78093883357042,0.07799481115048934,143.51345231736056,-1.3012760097051028,143.51345231736056,0.07799481115048934,143.51345231736056,-1.3012760097051028,129.09748756505383,106.9,92.6,14.3,67.2,109.5,95.1,14.400000000000006,105.7,91.7,14.0,-0.8656975640126556,136.53979364484664,0,102.90814790860712,98.87784197646272,4.030305932144401,4.110698808430072,104.10617411985857,90.95334096183724,13.152833158021323,15.511030776057156,2021-12-11,6.670655991645887,140.37375903730725,7.955258677153836,140.37375903730725,-25.98,-72.61,-34.56680536503582,-46.63,-38.04319463496418,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.5379371440662541,0.26261620075439596,-12.474360615759789,-15.179999999999998,-5.661540923639686,-7.261000000000003,-5.181111111111111,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
