ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
8.5,38,,38.3,38.3,115.1,0.0,76.8,0.0,Tue 11-09 11-09,H,117 (Ⅲ),Morehead St.,"W, 77-54",69,111.5,52.9,8.7,24.3,10.1,78.2,41.5,24.6,29.7,13.6,-14.0,-14.5,145.0,115.1,0.0,115.1,115.1,76.8,0.0,76.8,76.8,20211109,109.2,93.1,16.10000000000001,104.7,102.4,2.299999999999997,110.0,91.3,18.74,73.0,-17.35187127913582,142.14253141155865,71.65007112375534,-14.809317132742137,153.70453618263258,-38.31977987685051,153.70453618263258,-14.809317132742137,153.70453618263258,-38.31977987685051,132.11301548297962,98.6,98.9,-0.29,69.0,109.2,93.1,16.10000000000001,104.7,102.4,2.299999999999997,-38.31977987685051,132.11301548297962,0,0.0,0.0,0.0,0.0,104.59134632002136,98.11063451554884,6.48071180447252,5.044600693361372,2021-11-09,0.0,0.0,,0.0,19.26,19.26,0.0,0.0,19.26,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,-3,0.9163531986724158,0.5,19.56,,0.0,19.26,0.0,1,0.0,1,1,1,3,0.0,0.0
2.0,9,,28.633333333333333,33.027272727272724,107.2,0.0,97.9,0.0,Fri 11-12 11-12,H,272 (Ⅳ),Louisiana Monroe,"W, 93-65",75,123.5,56.7,13.3,30.3,53.3,86.3,46.4,21.2,19.4,43.6,15.0,-26.0,143.0,111.15,115.1,112.46666666666668,113.66363636363636,87.35,76.8,83.83333333333334,80.63636363636363,20211112,106.9,89.4,17.5,93.7,102.8,-9.099999999999994,109.4,90.7,18.74,72.9,-23.019255107871054,143.26796696473076,72.9,-23.515640204200572,144.90390159029255,-63.83864601327763,144.90390159029255,-23.515640204200572,144.90390159029255,-63.83864601327763,143.5617733205875,94.0,101.9,-7.89,70.3,106.9,89.4,17.5,93.7,102.8,-9.099999999999994,-63.83864601327763,143.5617733205875,0,102.77371148830672,97.91969945192498,4.854012036381732,4.283201190296785,94.72672383961434,91.09954882119256,3.627175018421781,-0.31753989178654,2021-11-12,-4.538079254576715,138.95135665243083,-5.435613788051327,138.95135665243083,-9.739999999999998,9.520000000000003,19.26,19.26,-9.739999999999998,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.9933603644122728,0.6672012523913939,9.893333333333334,,19.56,4.760000000000002,19.26,1,1.0,-1,1,1,1,3.0,0.0
-7.0,0,15.699999999999998,18.922222222222224,26.93140495867768,92.4,104.9,92.9,89.2,Fri 11-19 11-19,A,238 (Ⅳ),South Florida,"W, 58-52",65,89.7,38.5,21.6,44.7,26.2,80.4,40.0,17.0,30.8,16.7,-25.0,-13.0,135.0,101.775,111.15,105.7777777777778,109.797520661157,90.125,87.35,86.85555555555557,82.86611570247932,20211119,106.9,89.9,17.0,90.5,97.1,-6.599999999999994,109.9,90.9,18.98,72.8,-10.827347248362315,131.2566280105059,69.17553342816501,-12.224015514437909,130.71323686015933,-19.710116315800207,130.71323686015933,-12.224015514437909,130.71323686015933,-19.710116315800207,122.43690700905528,93.6,96.6,-2.98,66.8,106.9,89.9,17.0,90.5,97.1,-6.599999999999994,-19.456443111275583,122.7378164429254,0,97.96983266160552,96.09191051531523,1.8779221462902882,4.618738937610286,87.85715164091509,95.6738331206526,-7.816681479737511,-11.036068780978264,2021-11-19,-3.060448748111611,126.01214422389745,-8.954530920612484,126.01214422389745,-18.98,-9.459999999999997,16.013333333333335,9.520000000000003,-25.473333333333333,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.8921596253194927,0.6146545582078967,-0.05777777777777615,-3.280000000000003,9.893333333333334,-3.1533333333333307,4.760000000000002,-1,1.0,-1,-1,1,-3,1.0,3.0
-3.5,12,7.233333333333334,16.914814814814818,24.38024042073629,121.5,107.03333333333336,108.6,99.8,Wed 11-24 11-24,N,20 (I-A),Connecticut,"L, 115-109 2OT",96,113.2,51.4,14.5,26.1,55.4,119.5,60.1,24.9,37.8,55.1,81.5,2.5,142.5,111.6375,101.775,111.01851851851852,111.92524417731028,99.3625,90.125,94.10370370370372,87.54500375657399,20211124,106.2,90.8,15.400000000000006,109.2,90.5,18.700000000000003,109.6,91.1,18.52,70.9,1.335286293709288,138.11852365908723,69.99231863442391,2.1795405838517325,139.87613235048093,8.821516485241991,139.87613235048093,2.1795405838517325,139.87613235048093,8.821516485241991,132.2551696880238,109.9,89.6,20.29,69.4,106.2,90.8,15.400000000000006,109.2,90.5,18.700000000000003,9.013371775196289,132.26351432546846,0,107.1669819605124,96.0313884930362,11.135593467476198,11.295074541079776,110.07045058428416,91.82129356497455,18.249157019309607,21.50205607905774,2021-11-24,5.229345021883006,146.20836976607828,7.144103041018354,146.20836976607828,-6.52,-15.979999999999997,7.522222222222226,-9.459999999999997,-23.502222222222223,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.4059036140017165,0.3092304410415092,-1.6051851851851815,-11.286666666666665,-0.05777777777777615,-3.9949999999999974,-3.1533333333333307,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
7.5,23,11.833333333333334,18.976543209876542,24.14746943514787,103.1,105.66666666666669,80.0,93.83333333333331,Thu 11-25 11-25,N,47 (I),Loyola Chicago,"W, 62-53",63,98.5,48.2,20.6,38.2,25.5,84.2,52.1,28.6,17.9,19.1,-29.5,-1.5,144.5,107.36875,111.6375,108.37901234567904,110.32065432689022,89.68125,99.3625,89.40246913580248,86.17318489174235,20211125,106.4,90.9,15.5,107.6,92.7,14.899999999999991,110.7,92.5,18.19,71.8,-0.42622258041228633,143.22756743508629,70.26799431009957,-0.5928132786989693,141.25782610815057,4.291130777809165,141.25782610815057,-0.5928132786989693,141.25782610815057,4.291130777809165,143.67214385480008,110.4,92.8,17.58,68.8,106.4,90.9,15.5,107.6,92.7,14.899999999999991,4.3471793897335544,144.18943579046376,0,104.16208339893038,93.47708599675062,10.68499740217976,8.494122733612471,107.10525496960486,92.06984391448094,15.035411055123916,18.049132522606268,2021-11-25,3.032382077449796,140.95547903854933,6.714113734859623,140.95547903854933,4.809999999999999,-11.169999999999998,-0.3118518518518476,-15.979999999999997,-10.85814814814815,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.5567984968164682,0.38636786919875,0.786543209876541,-6.356666666666667,-1.6051851851851815,-2.2340000000000018,-3.9949999999999974,1,-1.0,-1,-1,-1,-1,-3.0,-3.0
15.5,33,23.1,23.751028806584365,25.81156590148462,123.3,115.96666666666664,90.0,92.86666666666666,Fri 11-26 11-26,N,69 (Ⅱ),Syracuse,"W, 89-68",70,127.6,59.7,10.0,32.4,19.4,97.5,49.0,21.5,15.6,54.2,10.0,-5.5,147.0,115.334375,107.36875,113.35267489711936,112.68053535836472,89.840625,89.68125,89.60164609053498,86.8689694568801,20211126,107.7,92.3,15.400000000000006,107.7,98.3,9.400000000000006,110.6,91.6,19.01,70.7,-4.730625195501901,148.2013657176422,70.39829302987198,-4.655102184666987,147.87707939958813,-4.446419497196797,147.87707939958813,-4.655102184666987,147.87707939958813,-4.446419497196797,154.8333049992286,111.8,98.7,13.07,70.0,107.7,92.3,15.400000000000006,107.7,98.3,9.400000000000006,-4.488002865269662,154.43954187684054,0,107.62242970623647,90.11793735434392,17.50449235189255,18.879442845607425,106.48053725441451,107.05759163807927,-0.577054383664759,-2.0613181314259754,2021-11-26,-13.874479076208146,152.1272159067476,-14.74193827529706,152.1272159067476,13.989999999999998,2.8200000000000003,-3.9312345679012313,-11.169999999999998,6.751234567901232,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.6997944856925475,0.9068124809959375,4.741028806584364,4.09,0.786543209876541,0.46999999999999886,-2.2340000000000018,1,1.0,1,1,-1,3,-1.0,-3.0
6.5,22,26.266666666666666,23.300685871056245,25.19128119212378,108.9,111.76666666666664,86.5,85.5,Wed 12-01 12-01,H,87 (Ⅲ),UCF,"W, 85-68",79,108.1,53.1,19.1,31.6,34.4,86.5,39.0,22.9,28.2,49.2,11.0,-10.5,142.0,112.1171875,115.334375,111.86844993141293,111.9931652932075,88.1703125,89.840625,88.56776406035667,86.80188410108371,20211201,109.7,92.2,17.5,108.1,95.5,12.599999999999994,112.4,91.9,20.5,70.2,-9.356408374308941,137.9208319440997,66.7049786628734,-7.397158292626898,139.88090078714188,-6.737017697018459,139.88090078714188,-7.397158292626898,139.88090078714188,-6.737017697018459,139.78138745058934,108.4,96.0,12.41,66.8,109.7,92.2,17.5,108.1,95.5,12.599999999999994,-9.663493180436438,138.47224330663465,0,106.3901687476001,86.72329179592711,19.66687695167299,22.68386266387605,103.6016472762418,103.94442796216674,-0.3427806859249358,-4.8006848000969065,2021-12-01,-18.017859442767453,137.44647224470256,-20.36830650368681,137.44647224470256,1.5,4.32,-1.6808230452674877,2.8200000000000003,6.000823045267488,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.8413447460685429,0.9569177537358374,2.8006858710562454,5.766666666666666,4.741028806584364,0.6171428571428592,0.46999999999999886,1,1.0,1,1,1,3,3.0,-1.0
6.5,30,28.76666666666667,25.733790580704166,26.17468461173764,119.9,117.36666666666667,89.3,88.60000000000001,Sat 12-04 12-04,H,154 (Ⅲ),Yale,"W, 86-64",74,116.5,52.0,9.5,33.3,17.3,86.7,39.2,16.3,28.3,33.8,0.5,-15.5,149.5,116.00859375,112.1171875,114.54563328760862,113.4307716035334,88.73515624999999,88.1703125,88.81184270690446,87.25608699179575,20211204,109.3,91.3,18.0,101.3,99.9,1.3999999999999917,112.0,91.1,20.95,71.4,-17.444845645180095,147.6414868844424,70.48591749644383,-16.122921274181323,145.8264008361707,-20.829346541420584,145.8264008361707,-16.122921274181323,145.8264008361707,-20.829346541420584,144.68496108453726,104.8,102.2,2.61,69.4,109.3,91.3,18.0,101.3,99.9,1.3999999999999917,-18.069793066403626,140.0290856231145,0,106.95741905627168,87.207467003744,19.749952052527675,23.85879056295151,96.42858260503388,99.65839416002892,-3.229811554995038,-2.388481677583349,2021-12-04,-20.081636280777907,138.01341792451467,-20.686105965331237,138.01341792451467,9.05,13.370000000000001,0.3194513031550079,4.32,13.050548696844993,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.9300536172447476,0.972096310685485,4.783790580704167,7.81666666666667,2.8006858710562454,1.6712500000000006,0.6171428571428592,1,1.0,1,1,1,3,3.0,3.0
16.5,38,30.333333333333343,29.822527053802784,28.324741955058077,129.3,119.36666666666667,91.3,89.03333333333335,Sat 12-11 12-11,N,140 (Ⅲ),Nebraska,"W, 99-68",75,131.7,60.5,10.6,33.3,14.5,90.5,49.1,26.6,27.3,31.5,16.5,-14.5,150.5,122.654296875,116.00859375,119.46375552507244,116.31608585743642,90.017578125,88.73515624999999,89.64122847126964,87.99134390237833,20211211,110.5,91.2,19.3,101.1,98.2,2.8999999999999915,112.8,91.3,21.48,71.6,-12.08943433557674,150.5643329407019,73.63698435277382,-12.273361327643443,151.05887367939815,-18.5966575108379,151.05887367939815,-12.273361327643443,151.05887367939815,-18.5966575108379,149.60227707509955,103.5,98.4,5.1,72.3,110.5,91.2,19.3,101.1,98.2,2.8999999999999915,-14.353109963297763,146.58923313742926,0,109.57018698417728,87.54337360610931,22.02681337806797,27.634669786245095,96.59597324637022,102.27692182942516,-5.680948583054942,-8.499299007388535,2021-12-11,-20.697922094788723,147.98386392482826,-26.60796494660417,147.98386392482826,16.52,29.89,4.669634202103339,13.370000000000001,25.22036579789666,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.9163531986724158,0.9756512516629328,8.342527053802783,8.853333333333342,4.783790580704167,3.3211111111111116,1.6712500000000006,1,1.0,1,1,1,3,3.0,3.0
-3.0,16,28.500000000000004,25.51501803586852,26.24751614504751,93.6,114.26666666666668,76.7,85.76666666666667,Tue 12-14 12-14,H,305 (Ⅳ),North Alabama,"W, 70-44",71,99.3,42.8,14.2,34.8,23.2,62.4,34.4,25.5,22.7,4.9,-30.5,-29.0,144.5,108.1271484375,122.654296875,110.84250368338164,112.1858884288116,83.3587890625,90.017578125,85.3274856475131,85.9383722837641,20211214,111.2,90.2,21.0,91.1,100.3,-9.200000000000005,113.1,90.5,22.6,71.5,-26.921801500081678,138.74086294949194,69.56756756756758,-24.77513751154801,138.55330506963736,-23.415226332797918,138.55330506963736,-24.77513751154801,138.55330506963736,-23.415226332797918,127.81869623482078,91.8,102.9,-11.12,68.4,111.2,90.2,21.0,91.1,100.3,-9.200000000000005,-21.47794492439641,127.21213179442016,0,108.6195159285674,86.06790797417119,22.551607954396204,27.859452849467974,88.12432523804573,91.5275451448268,-3.403219906781075,-6.7014776006904215,2021-12-14,-20.28247094322586,125.30224315665225,-26.197157776965597,125.30224315665225,-6.600000000000001,23.29,13.076422801402225,29.89,10.213577198597774,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9971267380880181,0.973299498335994,2.915018035868517,5.900000000000002,8.342527053802783,2.3290000000000006,3.3211111111111116,1,1.0,1,1,1,3,3.0,3.0
