ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-4.5,8,,8.599999999999994,8.599999999999994,103.0,0.0,94.4,0.0,Tue 11-09 11-09,H,164 (Ⅳ),Cleveland St.,"W, 69-59",64,108.5,50.0,22.0,32.3,57.4,92.7,39.3,9.4,24.4,42.9,-16.5,-14.5,144.5,103.0,0.0,103.0,103.0,94.4,0.0,94.4,94.4,20211109,108.6,95.4,13.199999999999989,107.0,103.2,3.799999999999997,109.0,92.7,16.3,70.1,-14.037098820401354,138.06958875266497,68.40483641536272,-11.205542028258748,150.24959226668946,-8.549977379897499,150.24959226668946,-11.205542028258748,150.24959226668946,-8.549977379897499,134.60719964002146,101.1,99.7,1.39,68.6,108.6,95.4,13.199999999999989,107.0,103.2,3.799999999999997,-8.549977379897499,134.60719964002146,0,107.35981437167425,98.3794992119582,8.980315159716042,1.0442040486049915,0.0,0.0,0.0,0.0,2021-11-09,0.0,0.0,,0.0,-8.3,-8.3,0.0,0.0,-8.3,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,3,0.9163531986724158,0.5,-7.700000000000006,,0.0,-8.3,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
3.0,20,,12.66666666666666,10.818181818181811,114.0,0.0,93.2,0.0,Fri 11-12 11-12,H,26 (I),San Diego St.,"W, 66-60",67,98.5,42.1,16.4,34.2,40.4,89.6,41.8,16.4,31.0,31.1,-9.5,-3.0,135.5,108.5,103.0,106.66666666666669,105.0,93.8,94.4,94.0,94.1818181818182,20211112,105.8,92.7,13.099999999999994,103.3,89.4,13.899999999999991,108.4,92.1,16.3,70.1,-2.4609449630546862,132.30675156953464,69.20256045519204,-2.9441091986933685,134.85888104627458,0.13052805883354068,134.85888104627458,-2.9441091986933685,134.85888104627458,0.13052805883354068,123.2258868809958,105.3,87.8,17.52,69.4,105.8,92.7,13.099999999999994,103.3,89.4,13.899999999999991,0.13052805883354068,123.2258868809958,0,102.53341502935244,95.94168988704656,6.591725142305876,6.245510463190611,95.43828217678238,106.0215825331664,-10.583300356384015,-16.88784836883262,2021-11-12,-16.12043159242988,142.25767986046145,-17.843441539270792,142.25767986046145,3.6999999999999993,-4.600000000000001,-8.3,-8.3,3.6999999999999993,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,3,0.6124515189020077,0.9376423693531979,-3.63333333333334,,-7.700000000000006,-2.3000000000000007,-8.3,-1,-1.0,1,-1,-1,-1,-3.0,0.0
36.5,53,27.566666666666663,26.21111111111111,18.542148760330576,127.4,114.8,74.1,87.23333333333333,Tue 11-16 11-16,N,48 (Ⅱ),Oregon,"W, 81-49",65,125.2,67.5,18.6,30.4,12.3,75.8,34.9,18.6,27.0,35.8,-11.5,4.5,141.5,117.95,108.5,113.5777777777778,109.07272727272726,83.95,93.8,87.36666666666667,90.53057851239669,20211116,105.9,92.5,13.400000000000006,110.0,93.9,16.099999999999994,108.7,92.1,16.6,69.6,1.712723092927959,137.99948656716418,67.81792318634425,1.6047007041605355,139.7679099268947,12.096288562097632,139.7679099268947,1.6047007041605355,139.7679099268947,12.096288562097632,153.29854949817968,112.4,92.9,19.49,68.5,105.9,92.5,13.400000000000006,110.0,93.9,16.099999999999994,12.32580326821767,153.0748268340868,0,107.4197907404088,90.27082216131188,17.148968579096916,9.049553048865246,99.17724820551008,110.48733301095092,-11.310084805440837,-3.0339063886471584,2021-11-16,-20.25563462118113,144.64702208994646,-8.19475123958523,144.64702208994646,36.4,31.799999999999997,-7.066666666666668,-4.600000000000001,38.86666666666667,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,3,0.3341175708976246,0.9731412756435833,9.611111111111107,10.966666666666661,-3.63333333333334,10.599999999999998,-2.3000000000000007,1,-1.0,1,1,-1,3,-1.0,-3.0
-2.0,18,30.86666666666667,23.64074074074074,18.53448534936138,114.1,118.5,95.6,87.63333333333333,Wed 11-24 11-24,H,186 (Ⅳ),Texas Southern,"W, 81-64",72,112.3,45.1,11.1,40.8,38.0,88.7,41.5,16.6,22.0,37.3,7.0,-19.0,138.0,116.025,117.95,113.75185185185188,109.98677685950412,89.775,83.95,90.11111111111111,91.45229151014274,20211124,107.8,91.5,16.299999999999997,96.8,101.0,-4.200000000000003,110.4,90.7,19.69,68.0,-19.865063263101106,133.37638652134058,67.03271692745378,-17.748332112344116,136.04409284652132,-21.85619847153999,136.04409284652132,-17.748332112344116,136.04409284652132,-21.85619847153999,132.13589482620444,96.5,101.2,-4.65,69.3,107.8,91.5,16.299999999999997,96.8,101.0,-4.200000000000003,-21.778864191241542,132.25651139994508,0,106.4129470073486,92.5341661969444,13.878780810404209,8.034787495851484,97.65699014429325,97.96655450302266,-0.3095643587294177,1.7064136231676883,2021-11-24,-13.2810445398584,133.97296030407472,-6.2104141029560225,133.97296030407472,-1.6900000000000013,30.109999999999996,5.888888888888885,31.799999999999997,24.22111111111111,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.9648151676951044,0.8970394890221873,3.9507407407407378,11.17666666666667,9.611111111111107,7.5275,10.599999999999998,1,1.0,1,1,1,3,3.0,-1.0
9.5,16,29.566666666666677,21.393827160493828,18.237306194932035,115.0,118.83333333333331,98.1,89.26666666666667,Sat 11-27 11-27,A,112 (Ⅱ),Utah,"W, 75-64",65,116.1,47.0,10.8,45.0,27.3,99.0,47.4,13.9,18.2,21.1,0.5,-1.5,138.5,115.5125,116.025,114.16790123456792,110.89827197595793,93.9375,89.775,92.77407407407408,92.66096578102588,20211127,108.4,92.1,16.30000000000001,104.0,95.6,8.400000000000006,110.8,91.6,19.18,68.3,-1.3748754985621474,134.8200121662578,67.23129445234709,-1.5598290742952514,137.24589955196706,-0.6309449240139594,137.24589955196706,-1.5598290742952514,137.24589955196706,-0.6309449240139594,134.47618463887108,105.9,94.5,11.43,69.2,108.4,92.1,16.30000000000001,104.0,95.6,8.400000000000006,-0.49101073945636753,134.46937566733868,0,108.03394687145295,94.0160338582606,14.017913013192356,6.989216437547096,101.286557140307,91.9195225715238,9.367034568783197,12.529840533917833,2021-11-27,0.9419267075469548,133.95312879164368,5.79123035072972,133.95312879164368,-3.1799999999999997,26.929999999999996,13.96259259259259,30.109999999999996,12.967407407407407,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.5567984968164682,0.46425990520902083,2.213827160493828,10.386666666666677,3.9507407407407378,5.385999999999999,7.5275,1,1.0,1,1,1,3,3.0,3.0
-20.0,4,13.4,15.86255144032922,15.7941596140353,89.6,106.23333333333332,84.8,92.83333333333331,Wed 12-01 12-01,A,110 (Ⅱ),Utah Valley,"L, 72-65 OT",80,80.9,36.8,18.7,28.8,23.6,89.6,35.1,12.4,25.5,52.2,-1.0,-13.0,138.0,102.55625,115.5125,105.97860082304528,107.0258588894201,89.36875,93.9375,90.11604938271606,91.2316992753848,20211201,110.2,93.3,16.900000000000006,101.0,100.5,0.5,112.6,92.3,20.28,67.6,-10.707290252073754,134.5159593465411,65.09985775248933,-7.198503136924089,136.5777029928921,-3.8063087311441195,136.5777029928921,-7.198503136924089,136.5777029928921,-3.8063087311441195,130.8593739282829,100.7,102.4,-1.64,67.7,110.2,93.3,16.900000000000006,101.0,100.5,0.5,-5.7496610801338495,130.99871883565913,0,103.52781131363048,93.46477504743387,10.063036266196605,6.204135344556916,102.24831954265484,93.73610397932124,8.512215563333598,8.42249142752287,2021-12-01,2.6145511689907295,128.59504157984264,3.4002494566407933,128.59504157984264,-16.28,10.649999999999995,18.285061728395057,26.929999999999996,-7.635061728395062,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.8921596253194927,0.401678505912455,-4.417448559670781,-6.880000000000001,2.213827160493828,1.7749999999999986,5.385999999999999,-1,1.0,-1,1,1,-1,3.0,3.0
4.5,21,14.433333333333335,17.775034293552817,16.849766956937973,107.9,104.16666666666669,86.3,89.73333333333333,Sat 12-04 12-04,A,72 (I),Missouri St.,"W, 74-68",70,105.6,53.6,12.8,16.1,35.7,97.0,44.7,17.1,31.0,18.2,2.0,-1.5,140.0,105.228125,102.55625,106.61906721536351,107.18479363679828,87.834375,89.36875,88.84403292181071,90.33502667986028,20211204,108.3,92.5,15.799999999999995,108.7,100.2,8.5,110.5,91.7,18.89,68.1,-2.2472631758879373,138.09697094938144,65.58136557610241,-1.4234902717181086,140.46295391613916,-0.1871024091796168,140.46295391613916,-1.4234902717181086,140.46295391613916,-0.1871024091796168,135.26543467591992,110.4,100.1,10.23,67.7,108.3,92.5,15.799999999999995,108.7,100.2,8.5,-2.6654791995768705,135.96236774928562,0,101.84458747775304,93.41287683944394,8.431710638309099,4.997693415094661,103.76254691853016,101.89126622738677,1.8712806911433972,-2.834096930749327,2021-12-04,-0.8237179342093413,134.85747071360458,-3.280051996051114,134.85747071360458,2.1099999999999994,12.759999999999994,15.74004115226337,10.649999999999995,-2.980041152263375,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,-3,0.5567984968164682,0.5312646814634606,-1.1149657064471832,-4.456666666666665,-4.417448559670781,1.822857142857142,1.7749999999999986,-1,-1.0,-1,1,1,-1,-1.0,3.0
5.0,28,18.4,21.45002286236854,19.022536601131065,120.5,106.0,91.7,87.59999999999998,Wed 12-08 12-08,H,56 (Ⅱ),Utah St.,"W, 82-71",72,113.9,60.6,19.5,18.5,42.3,98.6,62.0,23.6,13.3,40.0,12.0,-6.0,141.0,112.8640625,105.228125,111.24604481024237,109.6057402482895,89.7671875,87.834375,89.79602194787381,90.5832036471584,20211208,108.6,92.1,16.5,108.4,95.0,13.400000000000006,110.9,91.6,19.3,68.3,-9.001547186832525,134.4937591113603,65.87112375533428,-6.090459244740245,137.1871461086829,-5.39667665783544,137.1871461086829,-6.090459244740245,137.1871461086829,-5.39667665783544,133.08226373925498,107.5,96.0,11.48,67.8,108.6,92.1,16.5,108.4,95.0,13.400000000000006,-7.028469590550514,134.96877003820936,0,104.14459228517926,92.30905028444369,11.835542000735572,10.43383393793783,107.17425338205356,100.19278095895017,6.981472423103398,6.264348600122049,2021-12-08,-7.5006992782394235,137.40919481081028,-4.744868238766031,137.40919481081028,8.7,21.459999999999994,14.746694101508911,12.759999999999994,6.7133058984910825,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,3,0.7161454169013237,0.7624953239291066,2.150022862368541,-0.9000000000000021,-1.1149657064471832,2.6824999999999974,1.822857142857142,1,-1.0,1,1,1,3,-1.0,-1.0
-17.0,-13,12.23333333333334,9.733348574912366,13.072984491834507,106.9,111.76666666666668,120.6,99.53333333333336,Sat 12-11 12-11,N,78 (Ⅱ),Creighton,"L, 83-71",70,100.9,47.8,21.3,40.5,11.6,118.0,51.7,12.8,30.6,41.7,13.0,-5.0,141.0,109.88203125,112.8640625,109.79736320682824,109.1137874758732,105.18359375,89.7671875,100.06401463191588,96.04080298403868,20211211,109.8,91.9,17.89999999999999,105.0,97.5,7.5,111.4,91.8,19.57,69.0,-6.083500732468522,135.88047204093334,66.15362731152206,-7.161216959300219,138.03652576378423,-8.564487422800362,138.03652576378423,-7.161216959300219,138.03652576378423,-8.564487422800362,142.1826822274644,107.4,96.8,10.55,67.4,109.8,91.9,17.89999999999999,105.0,97.5,7.5,-9.744143058545681,132.97621317516487,0,102.61032331412288,94.93462232327538,7.675700990847503,8.5398607299146,103.5106264945704,97.11369499214224,6.39693150242816,2.5760637716397965,2021-12-11,-0.9366913059122055,134.21592072170367,-3.9452680133930045,134.21592072170367,-32.57,-11.110000000000007,16.984462734339274,21.459999999999994,-28.09446273433928,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,3,0.6830306580593271,0.5355419726579844,-9.836651425087634,-7.336666666666661,2.150022862368541,-1.2344444444444456,2.6824999999999974,-1,1.0,-1,-1,1,-3,3.0,-1.0
12.5,20,11.766666666666673,13.222232383274912,14.368805493319144,115.8,114.4,95.6,102.63333333333333,Sat 12-18 12-18,A,194 (Ⅲ),Weber St.,"W, 89-71",75,118.1,61.2,18.6,29.0,11.9,94.2,48.2,17.2,14.7,41.1,9.5,-5.5,150.5,112.841015625,109.88203125,111.7982421378855,110.3294624802599,100.391796875,105.18359375,98.5760097546106,95.96065698694072,20211218,108.6,92.4,16.19999999999999,102.2,98.9,3.299999999999997,110.8,91.6,19.23,69.6,-6.871523966903737,144.72280983079241,70.78805120910384,-5.304237686738887,145.9487536927033,-4.040069961377849,145.9487536927033,-5.304237686738887,145.9487536927033,-4.040069961377849,146.39883939642976,103.9,99.9,3.98,71.5,108.6,92.4,16.19999999999999,102.2,98.9,3.299999999999997,-7.930433295454382,144.83238729398997,0,103.0086198731694,94.33044886895745,8.678171004211947,7.509934265348062,99.09382236931432,99.23810539506152,-0.14428302574719964,0.705949518042917,2021-12-18,-2.3685343010048854,141.58750475277498,-2.752920677048934,141.58750475277498,0.7699999999999996,-10.340000000000007,7.619641822892849,-11.110000000000007,-17.959641822892856,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.6997944856925475,0.5892338881013552,-6.007767616725088,-7.463333333333328,-9.836651425087634,-1.033999999999999,-1.2344444444444456,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
