ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
5.5,27,,27.40000000000001,27.40000000000001,112.9,0.0,85.5,0.0,Tue 11-09 11-09,H,111 (Ⅲ),Utah Valley,"W, 76-56",68,111.4,54.8,13.2,28.1,21.0,82.1,49.0,26.4,18.5,22.0,-12.0,-14.5,144.0,112.9,0.0,112.9,112.9,85.5,0.0,85.5,85.5,20211109,106.1,96.4,9.699999999999989,100.4,103.2,-2.799999999999997,105.0,93.8,11.2,70.7,-15.749632522254458,142.33580298402217,72.2085348506401,-13.651382490112681,152.60900264744674,-28.33515515875488,152.60900264744674,-13.651382490112681,152.60900264744674,-28.33515515875488,142.64518794489572,96.6,101.9,-5.29,71.8,106.1,96.4,9.699999999999989,100.4,103.2,-2.799999999999997,-28.33515515875488,142.64518794489572,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-09,0.0,0.0,,0.0,15.8,15.8,0.0,0.0,15.8,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,-3,0.9163531986724158,0.5,16.20000000000001,,0.0,15.8,0.0,1,0.0,1,1,1,3,0.0,0.0
-10.0,-1,,17.633333333333336,22.072727272727278,86.5,0.0,88.4,0.0,Sat 11-13 11-13,A,118 (Ⅱ),UC Irvine,"L, 58-50",65,76.5,34.7,16.8,25.0,23.7,88.8,46.9,18.4,16.1,38.8,-26.0,-2.0,134.0,99.7,112.9,104.1,108.1,86.95,85.5,86.46666666666667,86.02727272727273,20211113,103.2,92.9,10.299999999999995,97.0,92.5,4.5,104.9,93.7,11.2,70.5,-0.328787529192212,134.75872978169423,69.69772403982931,-0.10844121099823667,132.30880854221465,-18.148114716612294,132.30880854221465,-0.10844121099823667,132.30880854221465,-18.148114716612294,121.30421560275997,100.6,95.5,5.01,69.5,103.2,92.9,10.299999999999995,97.0,92.5,4.5,-18.148114716612294,121.30421560275997,0,94.99308876119798,96.56079972629811,-1.567710965100133,1.88912166548999,0.0,0.0,0.0,0.0,2021-11-13,-0.0,0.0,,0.0,-12.2,3.6000000000000014,15.8,15.8,-12.2,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,3,0.5755320005597261,0.5,6.433333333333337,,16.20000000000001,1.8000000000000007,15.8,1,1.0,-1,1,1,1,3.0,0.0
-2.5,0,8.666666666666666,11.922222222222224,18.150413223140493,103.8,101.06666666666666,103.3,92.4,Thu 11-18 11-18,N,88 (Ⅱ),St. Bonaventure,"L, 67-61",61,99.9,40.5,13.1,30.8,27.6,109.7,49.1,13.1,29.0,34.0,-4.0,3.5,132.0,101.75,99.7,104.0,107.31818181818184,95.125,86.95,92.07777777777778,89.16776859504132,20211118,102.2,92.7,9.5,105.6,90.0,15.599999999999994,103.1,92.7,10.4,70.1,4.518412149777433,130.70159907716044,67.80654338549076,4.105875017515544,131.883106074181,-4.617338293721715,131.883106074181,4.105875017515544,131.883106074181,-4.617338293721715,119.9894204192013,108.1,90.7,17.37,68.0,102.2,92.7,9.5,105.6,90.0,15.599999999999994,-4.634798869964823,119.9108357457475,0,100.53079686451336,94.54088572960464,5.9899111349087235,9.66676631841372,97.76377992132656,99.63797771849592,-1.8741977971693586,-0.5850802317468236,2021-11-18,-5.376221800967684,133.77406214615155,-6.951422778848553,133.77406214615155,-10.4,-6.799999999999999,11.733333333333336,3.6000000000000014,-18.533333333333335,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,-3,0.36944134018176367,0.6956818871494679,1.522222222222224,-1.7333333333333343,6.433333333333337,-2.2666666666666657,1.8000000000000007,1,1.0,-1,-1,1,-1,1.0,3.0
14.5,38,12.266666666666673,20.681481481481487,21.79579263711495,137.3,109.2,99.1,96.93333333333334,Fri 11-19 11-19,N,109 (Ⅲ),Temple,"W, 82-62",63,130.1,63.3,15.9,43.3,23.3,98.3,47.9,27.0,40.6,45.8,12.0,-5.5,132.0,119.525,101.75,115.10000000000002,112.76942148760332,97.1125,95.125,94.41851851851852,90.97362885048835,20211119,102.1,92.6,9.5,98.4,94.9,3.5,103.4,93.2,10.23,69.1,-3.9640503103260443,131.7942088162318,68.51024182076813,-4.051357128298768,131.9076838610645,-9.471214154910053,131.9076838610645,-4.051357128298768,131.9076838610645,-9.471214154910053,129.6414688452266,100.6,96.3,4.28,69.7,102.1,92.6,9.5,98.4,94.9,3.5,-9.588317068371879,129.8368159220332,0,103.99854371504262,95.87931459528316,8.119229119759453,9.84010092882255,100.69294364002094,101.29943254643106,-0.6064889064101209,-7.096532213796416,2021-11-19,-6.178402361108212,141.64745569383263,-11.60332832230462,141.64745569383263,27.77,20.97,5.555555555555559,-6.799999999999999,15.41444444444444,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.6997944856925475,0.7218745475720785,10.451481481481487,2.0366666666666724,1.522222222222224,5.2425,-2.2666666666666657,1,1.0,1,1,-1,3,-1.0,1.0
12.0,11,16.63333333333334,17.520987654320994,19.869284884912236,87.5,109.53333333333336,76.3,92.9,Sun 11-21 11-21,N,94 (Ⅲ),Mississippi,"W, 60-50",67,89.0,47.2,25.2,32.4,39.6,74.2,38.6,20.8,19.4,10.5,-26.5,2.0,136.5,103.5125,119.525,105.90000000000003,108.17498121712995,86.70625,97.1125,88.37901234567903,88.30569633221774,20211121,104.3,93.3,11.0,101.3,90.8,10.5,105.2,93.4,11.77,68.2,1.0471695089276096,129.159249009009,67.61792318634424,-0.1326550476635191,131.07378564106918,-1.3923600765700113,131.07378564106918,-0.1326550476635191,131.07378564106918,-1.3923600765700113,137.2810861326357,103.6,90.5,13.14,69.7,104.3,93.3,11.0,101.3,90.8,10.5,-1.2876696211380956,137.5602205492728,0,102.41988618971683,91.82921702854009,10.590669161176749,9.910420252086244,98.7352026683326,94.02966870504008,4.705533963292524,1.5971475842306426,2021-11-21,-3.905057127792766,129.51901529168674,-5.621262326821949,129.51901529168674,-0.7699999999999996,20.2,10.693703703703706,20.97,9.506296296296293,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.4244679994402739,0.6450201457273015,5.750987654320994,4.86333333333334,10.451481481481487,4.040000000000001,5.2425,1,1.0,1,1,1,3,3.0,-1.0
-22.5,-17,10.766666666666673,5.980658436213997,13.1475967240191,60.6,95.13333333333333,77.7,84.36666666666666,Fri 11-26 11-26,H,301 (Ⅳ),Cal St. Bakersfield,"L, 46-39",61,63.5,27.6,22.8,34.0,22.4,74.9,42.4,24.4,23.3,30.4,-45.5,-15.5,130.5,82.05625,103.5125,90.80000000000004,99.52498463219725,82.203125,86.70625,84.81934156378603,86.37738790817814,20211126,105.0,93.0,12.0,98.2,104.3,-6.099999999999994,105.9,92.9,13.0,66.9,-15.571757362149675,128.85668722587084,64.71123755334283,-15.808978854483094,133.6811267459959,-29.767250683530413,133.6811267459959,-15.808978854483094,133.6811267459959,-29.767250683530413,127.25078999368858,97.4,103.0,-5.62,68.0,105.0,93.0,12.0,98.2,104.3,-6.099999999999994,-29.895084609933466,127.494692853342,0,96.2779547991449,91.7126682857336,4.565286513411294,0.4992037771855725,92.00459701121434,92.24180126769396,-0.23720425647961463,1.436477870753231,2021-11-26,-6.159200847377626,115.06615634317913,-1.2229294359717215,115.06615634317913,-30.0,-9.8,13.86246913580247,20.2,-23.66246913580247,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.9300536172447476,0.7212606368578323,-7.019341563786003,-2.233333333333327,5.750987654320994,-1.6333333333333329,4.040000000000001,-1,1.0,-1,-1,1,-3,3.0,3.0
-7.0,8,0.93333333333333,6.887105624142661,12.338942774197442,115.1,87.7333333333333,106.4,86.80000000000001,Tue 11-30 11-30,H,57 (Ⅱ),Saint Louis,"L, 86-82 OT",76,108.3,52.2,13.2,32.6,38.8,113.5,51.9,15.8,18.8,63.0,33.5,-3.0,134.5,98.578125,82.05625,98.90000000000003,102.35680560816137,94.3015625,82.203125,92.01289437585736,90.01786283396392,20211130,102.2,92.4,9.799999999999995,103.4,96.3,7.1000000000000085,103.5,92.7,10.81,66.2,-5.463551008713161,130.83947319258112,66.01166429587482,-5.62260176785211,131.33950549022444,0.036992726097550485,131.33950549022444,-5.62260176785211,131.33950549022444,0.036992726097550485,122.1844612658366,105.9,97.5,8.44,70.1,102.2,92.4,9.799999999999995,103.4,96.3,7.1000000000000085,-1.2595385787358653,122.6730749163698,0,97.67299937573294,93.94137912988047,3.7316202458524685,-1.2915743358320648,104.574438311759,98.87071347220258,5.703724839556415,11.961325854429454,2021-11-30,-2.5618655564911705,131.82766562492031,6.801527455027042,131.82766562492031,-2.8100000000000005,-12.610000000000001,5.974979423868315,-9.8,-18.584979423868315,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.6124515189020077,0.596379631736268,-3.9228943758573394,-9.87666666666667,-7.019341563786003,-1.8014285714285716,-1.6333333333333329,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
-5.0,1,-2.333333333333336,5.05807041609511,10.350044087979724,90.2,88.63333333333333,88.8,90.96666666666664,Fri 12-03 12-03,H,160 (Ⅳ),Tulsa,"W, 63-58",68,93.0,61.1,35.4,37.5,35.6,85.6,46.6,20.7,19.4,6.9,-10.0,-10.0,131.0,94.3890625,98.578125,96.00000000000004,100.1464773157684,91.55078125,94.3015625,90.94192958390492,89.79643322778865,20211203,102.9,93.4,9.5,103.4,102.4,1.0,103.9,93.7,10.17,65.7,-8.782322701096042,124.11520225360971,61.58790896159318,-9.142858874164247,127.95469910782838,-10.56520222066841,127.95469910782838,-9.142858874164247,127.95469910782838,-10.56520222066841,126.34219708390353,103.3,101.5,1.75,65.9,102.9,93.4,9.5,103.4,102.4,1.0,-12.37974915730716,123.21303076917098,0,95.71720924117726,92.31490941385576,3.4022998273214995,-1.1337142959732245,100.58171396164872,106.63956952702604,-6.057855565377324,-12.08646527372608,2021-12-03,-9.288384218041074,123.51917607770392,-8.356043301681808,123.51917607770392,-9.17,-21.78,-0.22001371742112275,-12.610000000000001,-21.55998628257888,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.8295480920359348,0.8118159603894779,-5.11192958390489,-12.503333333333336,-3.9228943758573394,-2.7225,-1.8014285714285716,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
12.5,26,12.033333333333331,12.038713610730074,13.195490617437958,108.5,104.59999999999998,82.5,92.56666666666668,Tue 12-07 12-07,A,337 (Ⅳ),Cal St. Northridge,"W, 74-48",64,116.2,61.6,22.0,42.9,17.9,75.4,35.0,17.3,12.1,32.0,-3.0,-13.5,125.0,101.44453125,94.3890625,100.16666666666669,101.66529962199232,87.025390625,91.55078125,88.12795305593662,88.46980900455435,20211207,101.5,92.6,8.900000000000006,95.8,106.5,-10.700000000000005,103.0,93.2,9.76,66.1,-8.25871863651799,118.6952607487888,61.022617354196306,-8.703936036304782,123.10044605219551,-5.360272297790879,123.10044605219551,-8.703936036304782,123.10044605219551,-5.360272297790879,107.83906750276014,94.9,104.4,-9.5,64.9,101.5,92.6,8.900000000000006,95.8,106.5,-10.700000000000005,-8.633684666123715,110.44557507605299,0,98.61157116508592,92.09037621489304,6.5211949501928785,1.156582308855811,88.92657687894837,102.7905179812556,-13.863941102307237,-14.440972262747277,2021-12-07,-8.994468311426687,114.59888978173606,-7.922893511215449,114.59888978173606,16.240000000000002,-5.539999999999999,-7.406675811614082,-21.78,1.8666758116140825,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.900728603156669,0.8041714380858238,2.2787136107300743,2.2733333333333317,-5.11192958390489,-0.6155555555555541,-2.7225,1,-1.0,1,-1,-1,1,-3.0,-3.0
21.5,20,15.866666666666667,14.759142407153384,14.469037777903784,106.4,101.7,86.2,85.83333333333333,Fri 12-10 12-10,H,284 (Ⅳ),Prairie View A&M,"W, 97-60",81,119.2,61.5,18.4,31.3,100.0,73.7,34.4,23.4,25.6,29.7,18.5,-15.5,138.5,103.922265625,101.44453125,102.24444444444448,102.52615423617551,86.6126953125,87.025390625,87.48530203729109,88.05711645827174,20211210,102.2,91.9,10.299999999999995,98.3,105.7,-7.400000000000006,104.0,93.0,10.95,66.2,-15.214594608317555,137.4244028239116,67.9891891891892,-16.188279107864,138.51399197369292,-14.59669969922418,138.51399197369292,-16.188279107864,138.51399197369292,-14.59669969922418,127.2090027850515,99.9,105.5,-5.59,72.2,102.2,91.9,10.299999999999995,98.3,105.7,-7.400000000000006,-18.17048733204784,134.38280726795307,0,98.59711345610192,90.5706417445498,8.02647171155212,5.401674818385714,97.34274219545269,108.25367327111135,-10.910931075658667,-8.264179380274864,2021-12-10,-16.736024605974592,136.11827122048422,-11.16775405175354,136.11827122048422,9.05,3.5100000000000016,-6.784450541076055,-5.539999999999999,10.294450541076056,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,3,0.9300536172447476,0.9445215786157649,3.8091424071533844,4.916666666666668,2.2787136107300743,0.35100000000000087,-0.6155555555555541,1,1.0,1,1,-1,3,1.0,-3.0
4.5,16,20.933333333333334,15.372761604768924,14.85648545464855,99.3,104.73333333333332,82.7,83.8,Tue 12-14 12-14,H,79 (Ⅱ),Santa Clara,"W, 72-60",70,102.8,47.0,18.6,39.0,19.4,85.7,51.9,27.1,16.7,7.4,-6.0,-7.5,138.0,101.6111328125,103.922265625,101.262962962963,101.93958073868907,84.65634765625,86.6126953125,85.89020135819406,87.0830952840405,20211214,101.1,90.5,10.599999999999994,109.2,99.3,9.900000000000006,103.3,92.0,11.32,67.2,-6.163939479193317,135.05534577915623,67.48677098150782,-4.939935127498529,137.79897574308583,-8.010995418814097,137.79897574308583,-4.939935127498529,137.79897574308583,-8.010995418814097,129.42982703257348,107.3,99.0,8.27,70.6,101.1,90.5,10.599999999999994,109.2,99.3,9.900000000000006,-4.336075005649453,134.75125718255023,0,97.9021323200061,89.50380376790923,8.39832855209687,6.117338799397879,104.67818782594128,98.69015039074591,5.988037435195366,11.088184907036156,2021-12-14,-5.7097217822867705,131.6653512317921,1.3024736077037886,131.6653512317921,4.68,8.190000000000001,-3.3529670273840364,3.5100000000000016,11.542967027384037,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.7624747379730235,0.7067046049605396,4.052761604768923,9.613333333333333,3.8091424071533844,0.7445454545454542,0.35100000000000087,1,1.0,1,1,1,3,3.0,1.0
10.5,14,16.966666666666665,14.948507736512614,14.718942644712447,93.3,99.66666666666669,79.2,82.7,Wed 12-22 12-22,N,49 (Ⅱ),Washington St.,"W, 58-52",65,89.2,40.0,23.1,32.4,42.0,79.9,36.4,23.1,34.1,25.4,-22.5,4.5,132.5,97.45556640625,101.6111328125,98.60864197530866,100.36874787710924,81.92817382812501,84.65634765625,83.66013423879605,85.64980523239677,20211222,100.6,89.9,10.699999999999989,107.2,90.6,16.60000000000001,103.0,91.3,11.62,67.1,1.4371321987502057,123.28003061704283,64.33200568990043,3.4513763597376013,123.76456628606613,-0.5266351066610871,123.76456628606613,3.4513763597376013,123.76456628606613,-0.5266351066610871,121.43791057674056,106.7,92.4,14.32,67.4,100.6,89.9,10.699999999999989,107.2,90.6,16.60000000000001,4.023383301381203,118.16800198860767,0,97.30312718348618,89.1313601936022,8.171766989883977,5.038323088480882,104.32235861782878,90.7010903660004,13.621268251828383,8.407181328856039,2021-12-22,3.1211947142671406,119.62131380089508,2.1672540748828197,119.62131380089508,2.380000000000001,10.570000000000002,0.49468864841064253,8.190000000000001,10.07531135158936,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.3341175708976246,0.38313529145189307,3.3285077365126146,5.346666666666666,4.052761604768923,0.8808333333333316,0.7445454545454542,1,1.0,1,1,1,3,3.0,3.0
