ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-17.0,-15,,-15.5,-15.5,80.1,0.0,95.6,0.0,Tue 11-09 11-09,A,301 (Ⅳ),Western Carolina,"L, 79-71 OT",85,83.9,37.2,18.9,28.6,29.7,93.3,45.7,21.3,34.6,38.6,-4.5,-9.0,154.5,80.1,0.0,80.1,80.1,95.6,0.0,95.6,95.6,20211109,103.6,105.2,-1.6000000000000083,92.7,110.6,-17.89999999999999,101.9,100.2,1.69,72.9,-5.7775047431703115,148.6660811673449,75.18136557610242,-8.54423674072821,162.55383081126843,11.883001495307099,162.55383081126843,-8.54423674072821,162.55383081126843,11.883001495307099,110.91588295409139,92.7,104.2,-11.45,72.5,103.6,105.2,-1.6000000000000083,92.7,110.6,-17.89999999999999,11.883001495307099,110.91588295409139,0,98.84421165124434,97.07507077208489,1.7691408791594512,0.9996964347150136,109.326743665976,100.0641531797683,9.2625904862077,9.99314604176322,2021-11-09,9.955882894053957,157.64890884567626,8.982180430360572,157.64890884567626,-16.69,-16.69,0.0,0.0,-16.69,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,3,0.804317030846224,0.17151908573360464,-17.19,,0.0,-16.69,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-15.0,-24,,-18.366666666666667,-17.063636363636363,83.2,0.0,107.3,0.0,Mon 11-15 11-15,A,30 (I-A),Ohio St.,"L, 89-58",72,80.5,45.1,25.0,26.8,13.1,123.5,60.0,16.7,38.2,10.0,1.5,16.0,145.5,81.65,80.1,81.13333333333334,80.66363636363636,101.45,95.6,99.5,97.72727272727272,20211115,99.8,102.7,-2.9000000000000057,111.8,95.0,16.799999999999997,101.6,99.9,1.69,72.3,17.18299899234077,144.3501020433387,70.24310099573256,18.605022773244997,151.12101414163328,18.46137455995376,151.12101414163328,18.605022773244997,151.12101414163328,18.46137455995376,137.6953349601877,112.5,92.1,20.4,68.3,99.8,102.7,-2.9000000000000057,111.8,95.0,16.799999999999997,18.457918004214765,137.68778540391986,0,85.45544018268289,95.01893702089276,-9.563496838209872,1.271040513162266,94.4964828408828,88.36140611383236,6.135076727050446,-2.9972185989137445,2021-11-15,13.593995768623657,119.13384688829736,-1.0483260252005664,119.13384688829736,-25.69,-42.38,-16.69,-16.69,-25.69,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.06377814989000363,0.09771769134357156,-20.05666666666667,,-17.19,-21.19,-16.69,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-13.0,-11,-16.866666666666664,-15.911111111111111,-15.961157024793389,110.4,91.23333333333332,121.4,108.1,Fri 11-19 11-19,H,182 (Ⅲ),Norfolk St.,"L, 90-84",76,111.2,47.0,13.2,30.0,43.9,119.1,57.0,11.9,30.0,40.6,27.5,-7.0,146.5,96.025,81.65,90.8888888888889,86.07024793388429,111.425,101.45,106.8,102.03140495867768,20211119,98.3,102.5,-4.200000000000003,93.7,100.5,-6.799999999999997,100.9,100.1,0.84,72.5,-12.293744757682418,144.8155159665903,74.45945945945947,-6.242204137290841,148.31549606660104,13.672859502891972,148.31549606660104,-6.242204137290841,148.31549606660104,13.672859502891972,131.0490244072354,91.9,102.2,-10.35,72.2,98.3,102.5,-4.200000000000003,93.7,100.5,-6.799999999999997,13.685724737436306,130.79853299585795,0,87.89333294281471,104.3100170727434,-16.416684129928697,-12.883027156070792,104.33356260231209,103.2815683046563,1.0519942976557815,-0.1279474429967301,2021-11-19,9.484974314719864,151.5050777516646,7.54812916210949,151.5050777516646,-11.84,-54.22,-25.253333333333337,-42.38,-28.96666666666666,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.7475074624530771,0.18317515419902586,-16.75111111111111,-17.706666666666663,-20.05666666666667,-18.073333333333334,-21.19,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
16.5,-1,-12.166666666666666,-11.074074074074078,-13.313673929376408,113.8,102.46666666666664,115.2,114.63333333333333,Tue 11-23 11-23,N,339 (Ⅳ),Milwaukee,"W, 82-68",67,122.3,51.5,8.9,35.0,29.2,101.4,48.3,19.4,28.2,25.4,1.5,2.5,148.5,104.9125,96.025,98.52592592592596,91.1120210368144,113.3125,111.425,109.60000000000002,104.42569496619085,20211123,99.4,104.8,-5.399999999999992,97.4,101.0,-3.5999999999999943,101.8,102.5,-0.65,71.8,2.725842693785708,143.736452062872,70.88079658605974,1.2191760718456095,146.82703064818156,0.2856908974242287,146.82703064818156,1.2191760718456095,146.82703064818156,0.2856908974242287,130.26883119522603,101.3,98.2,3.07,69.4,99.4,104.8,-5.399999999999992,97.4,101.0,-3.5999999999999943,0.32581073306282077,130.42616689334443,0,94.60244652123916,105.00416837515516,-10.401721853916001,-1.3079731918515152,90.82803437365745,104.41933981252036,-13.591305438862918,-14.295120940413648,2021-11-23,-2.472891084475279,140.79878965059623,-9.205393777989372,140.79878965059623,-0.35,-54.57,-34.908888888888896,-54.22,-19.661111111111104,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.4059036140017165,0.5930948743966565,-10.424074074074078,-11.516666666666666,-16.75111111111111,-13.6425,-18.073333333333334,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-12.0,-18,-10.133333333333336,-13.38271604938272,-14.165733214944334,96.5,106.90000000000002,114.5,117.03333333333336,Wed 11-24 11-24,N,198 (Ⅲ),Southern Utah,"L, 87-73",74,98.9,42.7,17.6,27.8,52.7,117.9,54.9,20.3,37.1,44.3,9.5,2.0,150.5,100.70625,104.9125,97.85061728395064,92.09165357557542,113.90625,113.3125,111.23333333333336,106.25738679051976,20211124,99.5,104.8,-5.299999999999997,101.2,100.0,1.2000000000000028,103.2,102.3,0.87,71.1,1.5357600000000105,147.26401791044773,71.1,4.769756815920388,149.5150304477612,5.396380859731347,149.5150304477612,4.769756815920388,149.5150304477612,5.396380859731347,146.47549073220895,102.8,99.8,3.02,70.3,99.5,104.8,-5.299999999999997,101.2,100.0,1.2000000000000028,5.21601636062687,146.18359684880593,0,95.74743172417487,108.54853267025838,-12.801100946083508,-7.821928954862225,95.42400802857878,98.38795114062404,-2.963943112045257,-0.3451051625903437,2021-11-24,6.820793115112878,143.8617432979331,5.316021716305315,143.8617432979331,-18.87,-73.44,-41.4625925925926,-54.57,-31.977407407407398,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.4244679994402739,0.25797552837151927,-14.25271604938272,-11.003333333333336,-10.424074074074078,-14.688,-13.6425,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-4.0,9,-3.466666666666669,-5.92181069958848,-9.95378172131809,88.5,99.59999999999998,79.5,103.06666666666668,Sun 11-28 11-28,H,341 (Ⅳ),Chicago St.,"W, 75-57",76,98.2,43.2,21.0,35.7,34.8,74.7,40.5,32.7,43.9,15.9,-11.0,-22.0,143.0,94.603125,100.70625,94.7337448559671,91.43862565274353,96.703125,113.90625,100.65555555555558,101.39240737406162,20211128,100.7,106.1,-5.399999999999992,89.8,110.1,-20.3,103.4,103.8,-0.43,71.0,-22.83725218879669,142.2166941787873,69.28307254623044,-15.15606801287079,146.55622841703672,-9.466340298699631,146.55622841703672,-15.15606801287079,146.55622841703672,-9.466340298699631,140.8281844200516,85.8,112.6,-26.85,68.6,100.7,106.1,-5.399999999999992,89.8,110.1,-20.3,-9.918573920502265,141.18322696434927,0,93.90101637998754,107.0614053207284,-13.160388940740859,-10.77551467016507,95.4219216639826,96.8675296355987,-1.4456079716160986,0.765359232905117,2021-11-28,4.110515802929115,136.7811399512732,6.15304081298887,136.7811399512732,9.43,-64.00999999999999,-52.12172839506174,-73.44,-11.888271604938254,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9819250838115705,0.34772208612081823,-5.491810699588481,-3.036666666666669,-14.25271604938272,-10.668333333333333,-14.688,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
12.5,-4,-4.633333333333336,-5.581207133058989,-9.034912317442076,102.3,95.76666666666668,107.2,100.4,Wed 12-01 12-01,A,289 (Ⅳ),Duquesne,"W, 78-70",70,110.7,47.1,12.8,36.4,26.1,99.3,44.4,11.4,25.0,38.7,2.5,4.5,145.5,98.4515625,94.603125,97.25582990397808,93.41342098860832,101.9515625,96.703125,102.83703703703706,102.44833330605042,20211201,100.6,105.6,-5.0,98.3,102.7,-4.400000000000006,103.2,104.2,-0.94,71.8,2.8128724566510357,144.73973033334343,69.55305832147937,4.476931586172384,147.50273276933297,7.292394713667095,147.50273276933297,4.476931586172384,147.50273276933297,7.292394713667095,147.40052674001177,99.5,102.2,-2.74,68.1,100.6,105.6,-5.0,98.3,102.7,-4.400000000000006,7.812889258623353,143.59735343366978,0,96.35976902987623,104.76796654879584,-8.408197518919607,-7.121401401774684,96.74771435524008,108.02992672352607,-11.282212368285997,-16.340783426888393,2021-12-01,2.1469568165043427,146.25419558199974,-4.69333786316912,146.25419558199974,-3.06,-67.07,-56.08448559670782,-64.00999999999999,-10.985514403292171,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.3341175708976246,0.4189923048821418,-4.641207133058989,-3.6933333333333365,-5.491810699588481,-9.581428571428571,-10.668333333333333,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
2.5,-3,0.3333333333333286,-4.754138088705996,-7.955837350634426,94.1,94.96666666666664,97.2,94.63333333333333,Tue 12-07 12-07,H,183 (Ⅳ),Oakland,"W, 73-72",75,96.9,48.4,29.2,46.2,25.4,95.6,42.8,17.3,31.8,24.6,-4.0,1.5,149.0,96.27578125,98.4515625,96.20388660265203,93.53825353613408,99.57578125,101.9515625,100.95802469135803,101.49409088676852,20211207,100.8,105.7,-4.900000000000006,101.7,95.5,6.200000000000003,103.5,103.8,-0.21,71.9,-0.2840855160932563,146.51671086310486,71.38862019914652,4.038051058012115,148.5928353828855,8.15886162700119,148.5928353828855,4.038051058012115,148.5928353828855,8.15886162700119,148.63770924847063,102.0,97.1,4.84,69.8,100.8,105.7,-4.900000000000006,101.7,95.5,6.200000000000003,9.092119140574807,136.58667527520672,0,96.81291853627144,103.52715031281468,-6.714231776543244,-5.610531995359197,99.9252142998481,91.54557881596372,8.379635483884371,6.871106163091235,2021-12-07,6.898172759750452,139.98628162792224,6.8989892029227775,139.98628162792224,-2.79,-69.86,-59.746323731138546,-67.07,-10.113676268861454,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.4432015031835318,0.2556004780656651,-4.544138088705996,0.5433333333333286,-4.641207133058989,-8.7325,-9.581428571428571,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
16.0,10,0.6999999999999981,0.1972412741960054,-4.672957832337256,111.2,102.53333333333336,101.1,101.83333333333331,Sun 12-19 12-19,H,310 (Ⅳ),Robert Morris,"W, 100-74",79,126.5,59.2,13.9,35.0,17.1,93.6,53.8,25.3,13.8,39.6,24.5,-10.0,149.5,103.737890625,96.27578125,101.2025910684347,96.74948016592788,100.337890625,99.57578125,101.0053497942387,101.42243799826514,20211219,100.2,104.6,-4.399999999999992,100.3,110.5,-10.200000000000005,102.7,103.1,-0.38,72.2,-12.869442303324078,150.94523773598303,71.58378378378379,-8.673450637421865,158.03282901929006,-12.682035739344125,158.03282901929006,-8.673450637421865,158.03282901929006,-12.682035739344125,150.40120227611925,96.7,108.9,-12.22,69.7,100.2,104.6,-4.399999999999992,100.3,110.5,-10.200000000000005,-7.814724886613225,148.38416620438508,0,97.35550050855424,102.84809876966804,-5.492598261113798,-3.178119854730384,95.6046330226037,108.41360947618848,-12.808976453584776,-9.447791729030836,2021-12-19,-9.466283704818807,149.4492159539409,-6.36588083091398,149.4492159539409,10.38,-59.48,-63.11754915409237,-69.86,3.637549154092376,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.8295480920359348,0.8163522393728083,0.5772412741960053,1.079999999999998,-4.544138088705996,-6.608888888888888,-8.7325,1,-1.0,1,-1,-1,1,-3.0,-3.0
-3.5,-2,1.5666666666666629,-0.6351724838693333,-4.241510953730485,105.1,103.46666666666664,107.4,101.90000000000002,Sat 1-01 1-01,A,245 (Ⅳ),Ball St.,"L, 81-80",74,107.9,46.9,18.9,40.5,39.1,109.3,50.8,21.6,35.1,43.3,3.5,-2.5,157.5,104.4189453125,103.737890625,102.50172737895647,98.26775649939552,103.8689453125,100.337890625,103.1368998628258,102.509267453126,20220101,101.6,104.6,-3.0,100.8,106.3,-5.5,103.5,103.1,0.44,73.2,-2.058232801824758,157.08225414017647,73.92887624466573,2.5776155518958035,161.23186489144192,-2.3170720957157394,161.23186489144192,2.5776155518958035,161.23186489144192,-2.3170720957157394,155.78205910098717,99.4,107.5,-8.11,71.0,101.6,104.6,-3.0,100.8,106.3,-5.5,3.190285736854356,155.90603994612974,0,97.68210196301864,102.39970939770387,-4.717607434685235,-2.578296031305598,98.35948373689313,105.38349023839746,-7.024006501504331,-1.269453637316949,2022-01-01,2.629994618995127,153.85106595386674,2.9977966352701344,153.85106595386674,-2.44,-61.919999999999995,-61.90503276939492,-59.48,-0.014967230605073212,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.5940963859982835,0.40110975574369634,-1.0751724838693333,1.126666666666663,0.5772412741960053,-6.192,-6.608888888888888,-1,1.0,-1,-1,-1,-3,1.0,-3.0
