ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
6.5,-3,,-3.700000000000003,-3.700000000000003,101.5,0.0,105.2,0.0,Tue 11-09 11-09,A,121 (Ⅲ),North Carolina St.,"L, 88-70",73,95.6,53.2,23.2,23.5,6.3,120.2,50.7,9.6,39.0,27.8,5.5,24.5,152.5,101.5,0.0,101.5,101.5,105.2,0.0,105.2,105.2,20211109,94.0,108.0,-14.0,105.2,95.8,9.400000000000006,94.0,105.8,-11.71,73.6,23.012091075696823,149.16994561506795,74.7516358463727,22.35444665312248,156.07518535226484,1.8208427923793238,156.07518535226484,22.35444665312248,156.07518535226484,1.8208427923793238,156.8339512955427,106.4,92.8,13.64,71.4,94.0,108.0,-14.0,105.2,95.8,9.400000000000006,1.8208427923793238,156.8339512955427,0,100.4741442341923,96.2359552339233,4.238189000268989,5.135411222491164,108.95164916444574,101.25365363161043,7.697995532835307,11.09521775505756,2021-11-09,6.798356337140973,157.8656411262271,6.7179559294350355,157.8656411262271,8.71,8.71,0.0,0.0,8.71,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.009815328628645315,0.25866632584121374,8.009999999999998,,0.0,8.71,0.0,1,0.0,1,1,1,3,0.0,0.0
-2.0,-10,,-5.86666666666667,-4.8818181818181845,91.7,0.0,101.9,0.0,Sun 11-14 11-14,H,219 (Ⅳ),Penn,"L, 73-68",70,97.6,47.6,20.1,28.2,17.7,104.8,49.2,12.9,21.1,24.6,-12.0,3.0,153.0,96.6,101.5,98.23333333333332,99.7181818181818,103.55,105.2,104.1,104.6,20211114,93.1,105.9,-12.800000000000011,94.5,99.8,-5.299999999999997,93.6,105.8,-12.14,72.5,0.8277359045523269,150.85953954177452,74.25320056899005,1.3349266885385305,146.30492811362672,-18.89921333989028,146.30492811362672,1.3349266885385305,146.30492811362672,-18.89921333989028,161.13871362787393,99.8,105.5,-5.76,72.0,93.1,105.9,-12.800000000000011,94.5,99.8,-5.299999999999997,-18.885912466242544,161.1254127542262,0,92.07618096675668,102.30817074975133,-10.231989782994646,-12.998468475974386,104.0450424288913,94.13535504436932,9.909687384521987,5.393613087235919,2021-11-14,10.90062328034871,146.13838792517492,11.656675475358014,146.13838792517492,2.1400000000000006,10.850000000000001,8.71,8.71,2.1400000000000006,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,3,0.38754848109799234,0.14959904304436922,6.273333333333331,,8.009999999999998,5.425000000000001,8.71,1,1.0,1,1,1,3,3.0,0.0
9.0,4,-3.300000000000002,-2.57777777777778,-3.2669421487603323,105.3,99.5,101.3,102.8,Wed 11-17 11-17,H,227 (Ⅳ),Rider,"W, 81-74",76,106.5,58.2,18.4,16.1,40.0,97.3,38.0,10.5,35.2,14.5,10.5,2.0,144.5,100.95,96.6,100.58888888888887,100.73305785123964,102.425,103.55,103.16666666666669,104.0,20211117,93.0,105.6,-12.599999999999994,99.9,103.4,-3.5,93.3,105.4,-12.06,72.5,-0.22622538074793397,141.73178810505098,71.98435277382646,2.7148576289286837,148.28865471250856,-6.4469907857457605,148.28865471250856,2.7148576289286837,148.28865471250856,-6.4469907857457605,143.7918089153388,96.4,103.3,-6.93,69.8,93.0,105.6,-12.599999999999994,99.9,103.4,-3.5,-6.513670892501638,143.58260820014291,0,92.0189216596691,103.75423322763044,-11.735311567961332,-11.223576544980547,104.27002784499244,104.11772094090487,0.15230690408756686,-4.386889768121223,2021-11-17,4.908142282917709,149.9460464753361,3.063102153795299,149.9460464753361,16.060000000000002,26.910000000000004,9.423333333333336,10.850000000000001,17.486666666666668,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.4244679994402739,0.32009179599015936,9.48222222222222,8.759999999999998,6.273333333333331,8.97,5.425000000000001,1,1.0,1,1,1,3,3.0,3.0
1.5,-2,-2.966666666666669,-2.6185185185185214,-3.163861758076636,109.5,102.16666666666669,112.2,105.13333333333334,Sat 11-20 11-20,A,199 (Ⅲ),Illinois St.,"L, 105-100 OT",90,111.0,51.4,20.0,33.3,40.3,116.6,49.3,12.2,31.7,63.4,57.5,6.5,147.5,105.225,100.95,103.55925925925926,102.32704733283244,107.3125,102.425,106.1777777777778,105.49090909090908,20211120,93.5,104.8,-11.299999999999995,94.6,100.3,-5.700000000000003,93.7,105.1,-11.43,73.1,8.925780269618159,143.96779900447888,73.82788051209101,8.120861951001345,145.70210365475128,1.786703800176472,145.70210365475128,8.120861951001345,145.70210365475128,1.786703800176472,151.17865362343852,96.3,100.9,-4.64,71.0,93.5,104.8,-11.299999999999995,94.6,100.3,-5.700000000000003,1.8130773962354856,151.10052527140286,0,97.9108026663755,104.5037958167524,-6.592993150376898,-6.378349627381975,100.23843668000748,106.15946833385463,-5.921031653847152,-6.903929358487804,2021-11-20,5.021231949815103,157.50935773361715,1.5418719276363788,157.50935773361715,9.43,36.34,15.252222222222226,26.910000000000004,21.087777777777777,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.26794249453351904,0.3162494595697378,8.81148148148148,8.463333333333331,9.48222222222222,9.085,8.97,1,1.0,1,1,1,3,3.0,3.0
-3.5,-13,-3.900000000000001,-6.079012345679014,-4.95225052933543,91.7,102.16666666666669,104.7,106.06666666666666,Tue 11-23 11-23,N,163 (Ⅲ),Mercer,"L, 78-68",72,94.3,50.0,18.0,12.1,37.0,108.1,52.3,13.9,23.7,15.2,-3.0,6.5,149.0,98.4625,105.225,99.6061728395062,100.39485690868108,106.00625,107.3125,105.68518518518522,105.34710743801652,20211123,95.5,106.3,-10.799999999999995,99.0,101.9,-2.9000000000000057,95.5,106.5,-11.05,73.2,6.927150727160793,144.04488325937876,70.38862019914652,5.706456154504849,145.89476223151667,5.560938082815396,145.89476223151667,5.706456154504849,145.89476223151667,5.560938082815396,148.53786845734842,101.2,102.5,-1.39,67.6,95.5,106.3,-10.799999999999995,99.0,101.9,-2.9000000000000057,5.445779197467227,148.53020466344645,0,98.7654290051706,104.31793798737344,-5.552508982202838,-4.105398785471682,97.26531279069104,100.61843729316917,-3.353124502478124,-4.481610267976725,2021-11-23,1.504629832745124,144.66300318286937,-0.2648100715660462,144.66300318286937,-1.9499999999999993,34.39,22.281481481481485,36.34,12.108518518518515,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.26794249453351904,0.44302738633405137,4.970987654320987,7.15,8.81148148148148,6.878000000000001,9.085,1,1.0,1,1,1,3,3.0,3.0
-4.0,-9,-8.4,-7.21934156378601,-5.779114069456261,105.0,102.06666666666666,114.5,110.46666666666664,Wed 11-24 11-24,N,227 (Ⅳ),Rider,"L, 85-79",76,104.1,52.7,21.1,18.8,42.9,112.0,48.5,10.5,32.5,35.3,15.0,2.0,149.0,101.73125,98.4625,101.40411522633748,101.23215565255724,110.253125,106.00625,108.6234567901235,107.01126972201352,20211124,95.6,106.4,-10.800000000000011,99.0,104.2,-5.200000000000003,95.3,106.6,-11.34,73.3,2.0487718048448897,144.83390185388845,72.88293029871978,4.2625897278897185,152.70991466904457,-3.7919222691900805,152.70991466904457,4.2625897278897185,152.70991466904457,-3.7919222691900805,139.91097126373694,95.0,103.3,-8.32,69.9,95.6,106.4,-10.800000000000011,99.0,104.2,-5.200000000000003,-4.792109211241078,142.14791926700306,0,98.31854185756892,107.83741344446,-9.51887158689108,-8.075467148034669,93.15816147232512,100.61449538761828,-7.456333915293158,-6.814245509165591,2021-11-24,1.1449614808482806,148.5603247781203,0.9192152879693225,148.5603247781203,2.34,36.730000000000004,26.317654320987657,34.39,10.412345679012347,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.4244679994402739,0.45658381532462955,4.12065843621399,2.9399999999999995,4.970987654320987,6.121666666666668,6.878000000000001,1,1.0,1,1,1,3,3.0,3.0
8.0,-2,-8.433333333333337,-5.746227709190678,-5.237456965918761,88.6,95.1,91.4,103.53333333333336,Sun 11-28 11-28,H,245 (Ⅳ),Siena,"W, 65-56 OT",68,95.0,44.6,19.0,27.0,33.9,81.9,38.5,19.0,30.2,12.3,-26.0,-1.0,147.0,95.165625,101.73125,97.13607681755832,98.935400079365,100.8265625,110.253125,102.882304526749,104.17285704528378,20211128,96.4,107.4,-11.0,98.4,107.5,-9.099999999999994,96.1,107.8,-11.73,73.0,-4.1259353114715935,138.7515320786311,68.74253200568991,-2.6809819556562076,147.3240894441969,-13.847613619546772,147.3240894441969,-2.6809819556562076,147.3240894441969,-13.847613619546772,147.31890350930811,93.9,105.7,-11.74,66.2,96.4,107.4,-11.0,98.4,107.5,-9.099999999999994,-14.22066377519117,147.27530007638518,0,95.36339977222826,106.51062159603052,-11.147221823802255,-8.310793332507789,88.56559828391258,109.01526863728355,-20.449670353370976,-23.37680088269967,2021-11-28,-10.687382377449339,139.79633076169688,-11.976585993996522,139.79633076169688,9.73,46.46000000000001,29.788436213991773,36.730000000000004,16.671563786008235,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.5379371440662541,0.8456244121818053,5.9837722908093225,3.2966666666666633,4.12065843621399,6.637142857142859,6.121666666666668,1,1.0,1,1,1,3,3.0,3.0
-22.0,-43,-18.600000000000005,-18.330818472793787,-12.19428297211535,90.0,94.53333333333336,133.5,113.13333333333333,Wed 12-01 12-01,A,327 (Ⅳ),St. Francis PA,"L, 93-67",73,91.9,43.4,20.6,27.5,31.1,127.6,59.5,8.2,34.3,10.8,9.0,4.0,151.0,92.5828125,95.165625,94.75738454503887,97.31078188311682,117.16328125,100.8265625,113.08820301783268,109.50506485523218,20211201,96.6,106.9,-10.300000000000011,98.0,107.7,-9.700000000000005,96.5,107.6,-11.09,72.1,7.825388804476461,150.84768850619105,71.99743954480797,4.837700391193238,153.78316588524564,0.5855883466611276,153.78316588524564,4.837700391193238,153.78316588524564,0.5855883466611276,151.79886122253225,100.1,106.4,-6.36,70.2,96.6,106.9,-10.300000000000011,98.0,107.7,-9.700000000000005,1.1760433151630412,150.61894476413434,0,96.4045152222088,106.9726725102595,-10.568157288050699,-6.688031319390949,104.39594524585785,100.5815663710536,3.814378874804248,7.621706016075962,2021-12-01,15.134333925629491,153.95375410259322,12.327983900632304,153.95375410259322,-31.91,14.550000000000008,35.34562414266119,46.46000000000001,-20.79562414266118,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.35161929169946593,0.07474077722016381,-7.240818472793787,-7.510000000000005,5.9837722908093225,1.8187499999999996,6.637142857142859,-1,1.0,-1,1,1,-1,3.0,3.0
-4.0,-11,-19.166666666666668,-15.953878981862522,-12.013504249912556,106.4,95.0,117.6,114.16666666666669,Sat 12-04 12-04,A,117 (Ⅱ),Hofstra,"L, 88-69",67,102.6,53.6,20.8,18.2,17.9,130.8,61.0,7.4,32.4,11.8,5.0,15.0,152.0,99.49140625,92.5828125,98.63825636335926,98.96336699527738,117.381640625,117.16328125,114.5921353452218,110.97687124518995,20211204,96.7,108.1,-11.399999999999991,107.9,103.5,4.400000000000006,95.9,108.4,-12.48,71.9,15.783903850387176,151.63018036704983,70.67268847795164,16.361788000011202,157.08178415825165,21.966751087372263,157.08178415825165,16.361788000011202,157.08178415825165,21.966751087372263,157.12525616136062,106.8,103.6,3.17,69.1,96.7,108.1,-11.399999999999991,107.9,103.5,4.400000000000006,21.766519588941218,155.6048432331122,0,97.39891103173528,107.29738289418076,-9.898471862445476,-5.960922073029268,105.58242285075788,100.6875276150894,4.894895235668486,3.282538965600526,2021-12-04,15.286258502418818,153.17181265940428,8.484937306897677,153.17181265940428,1.4800000000000004,16.03000000000001,28.413749428440795,14.550000000000008,-12.383749428440787,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,3,0.07656372550983481,0.07271923736436303,-3.473878981862521,-6.686666666666667,-7.240818472793787,1.7811111111111106,1.8187499999999996,-1,-1.0,-1,1,1,-1,-1.0,3.0
-0.5,-16,-23.766666666666666,-16.16925265457501,-12.847412568110274,96.7,97.7,113.3,121.46666666666664,Tue 12-07 12-07,A,113 (Ⅱ),Princeton,"L, 82-69",68,102.2,58.2,19.3,8.3,28.6,121.5,58.2,13.3,29.4,7.5,0.5,12.5,150.5,98.095703125,99.49140625,97.9921709089062,98.55184572340876,115.3408203125,117.381640625,114.1614235634812,111.39925829151906,20211207,97.3,109.0,-11.700000000000005,104.9,104.1,0.8000000000000114,96.1,109.1,-12.96,71.6,14.519203280007162,148.4880466515417,68.95192034139403,13.478680910536795,152.52051499535656,13.278967644596598,152.52051499535656,13.478680910536795,152.52051499535656,13.278967644596598,157.5144046081659,105.9,104.5,1.38,67.7,97.3,109.0,-11.700000000000005,104.9,104.1,0.8000000000000114,12.718177942344932,152.5330432156009,0,97.67033980369467,106.37865617674296,-8.70831637304829,-4.728513047718272,104.1486306359903,104.14812648578292,0.0005041502073765969,-1.4497395151660355,2021-12-07,10.605545135739249,150.24112042241387,4.131790750900066,150.24112042241387,-3.039999999999999,12.990000000000009,24.285832952293866,16.03000000000001,-11.295832952293857,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.11692964134637251,0.15623520840783178,-3.2092526545750104,-10.806666666666665,-3.473878981862521,1.2990000000000013,1.7811111111111106,-1,-1.0,-1,1,1,-1,-1.0,-1.0
