ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-16.0,-11,,-11.399999999999991,-11.399999999999991,89.4,0.0,100.8,0.0,Tue 11-09 11-09,H,358 (Ⅳ),IUPUI,"W, 56-47",59,95.7,42.0,23.9,33.3,52.3,80.3,40.6,15.4,17.6,31.3,-39.0,-25.0,142.0,89.4,0.0,89.4,89.4,100.8,0.0,100.8,100.8,20211109,105.8,96.0,9.799999999999995,92.7,109.2,-16.5,105.6,92.9,12.71,66.2,-22.452111934531025,130.32037600617582,66.38833570412518,-21.9615149109676,139.7087629963236,-5.059836907522857,139.7087629963236,-21.9615149109676,139.7087629963236,-5.059836907522857,112.13175602117188,90.4,106.5,-16.16,70.5,105.8,96.0,9.799999999999995,92.7,109.2,-16.5,-5.059836907522857,112.13175602117188,0,100.86487170419234,99.91453509960446,0.950336604587875,1.3475588268100436,0.0,0.0,0.0,0.0,2021-11-09,0.0,0.0,,0.0,-23.71,-23.71,0.0,0.0,-23.71,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,3,0.9913660280019122,0.5,-24.109999999999992,,0.0,-23.71,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
9.5,18,,-1.4333333333333291,-5.963636363636356,109.4,0.0,90.9,0.0,Fri 11-12 11-12,H,300 (Ⅳ),Central Arkansas,"W, 85-53",66,128.7,68.1,15.1,25.0,63.8,80.2,40.8,18.2,20.5,10.0,-0.5,-22.5,138.5,99.4,89.4,96.06666666666668,93.03636363636365,95.85,100.8,97.5,99.0,20211112,102.2,93.0,9.200000000000005,94.7,108.7,-14.0,105.0,92.4,12.66,66.4,-24.46799917249686,138.39264976873295,69.80028449502136,-20.433760272814588,142.77612099479362,-4.919478198881336,142.77612099479362,-20.433760272814588,142.77612099479362,-4.919478198881336,132.46789712789447,91.3,108.6,-17.33,73.9,102.2,93.0,9.200000000000005,94.7,108.7,-14.0,-4.919478198881336,132.46789712789447,0,98.55153720340222,98.05832455141706,0.49321265198516073,-2.1476446337283246,100.00765672982214,100.36691495619232,-0.3592582263701729,2.6239598550973207,2021-11-12,-4.545838298881762,140.7723540414869,1.371530971002386,140.7723540414869,5.34,-18.37,-23.71,-23.71,5.34,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,-3,0.9839377143961717,0.667469723503445,-14.09333333333333,,-24.109999999999992,-9.185,-23.71,-1,-1.0,1,-1,-1,-1,-3.0,0.0
-2.0,5,4.26666666666667,0.944444444444448,-3.8429752066115626,103.3,100.7,97.6,96.43333333333334,Sat 11-13 11-13,H,167 (Ⅳ),Troy,"W, 70-59",66,105.3,66.0,31.6,33.3,25.5,88.8,46.4,16.6,15.6,19.6,-1.5,-13.0,130.5,101.35,99.4,98.4777777777778,94.90247933884297,96.725,95.85,97.53333333333336,98.74545454545456,20211113,101.9,92.7,9.200000000000005,96.2,100.2,-4.0,106.0,92.9,13.13,65.7,-15.893595207038821,130.2278337923894,67.10184921763869,-12.572278490935219,131.7958807361482,-7.527528279966893,131.7958807361482,-12.572278490935219,131.7958807361482,-7.527528279966893,129.093497968564,94.8,100.4,-5.59,71.8,101.9,92.7,9.200000000000005,96.2,100.2,-4.0,-7.554545742029238,129.1820441804476,0,98.4985403030588,98.51558282380957,-0.0170425207507634,-2.4770456821546776,102.16169046659915,99.86305873447196,2.298631732127191,-0.131906163818138,2021-11-13,-2.2623262722454314,136.81751041981352,-0.2807106254826124,136.81751041981352,-8.13,-26.5,-21.93,-18.37,-4.57,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,3,0.8921596253194927,0.5852955140965082,-12.185555555555553,-8.86333333333333,-14.09333333333333,-8.833333333333334,-9.185,-1,-1.0,-1,-1,-1,-3,-1.0,-3.0
-18.0,-15,2.8666666666666694,-4.570370370370365,-5.980616078136732,81.4,98.03333333333336,97.0,95.16666666666669,Wed 11-17 11-17,H,28 (I),Michigan St.,"L, 73-52",69,75.4,36.6,20.3,25.0,32.1,105.8,55.1,29.0,42.3,49.0,-6.5,3.0,131.5,91.375,101.35,92.7851851851852,92.44748309541696,96.8625,96.725,97.35555555555555,98.42809917355372,20211117,102.0,93.2,8.799999999999997,105.9,90.6,15.300000000000011,105.6,93.0,12.63,65.5,0.5912882093865193,128.98455448572827,66.99075391180655,0.6431790462439722,131.0976909333625,6.779120069052175,131.0976909333625,0.6431790462439722,131.0976909333625,6.779120069052175,125.7719433924835,107.5,88.7,18.81,71.9,102.0,93.2,8.799999999999997,105.9,90.6,15.300000000000011,6.658606503377201,125.8205497855347,0,98.50822191010052,101.61172217829258,-3.1035002681920645,-9.527185565280387,105.92192937620582,88.74742143721015,17.174507938995674,13.042871695342528,2021-11-17,10.124188672470495,133.5366341711944,13.211137822675319,133.5366341711944,-27.630000000000003,-54.13,-23.453333333333333,-26.5,-30.67666666666667,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,3,0.38754848109799234,0.16747071563712645,-17.200370370370365,-9.763333333333332,-12.185555555555553,-13.5325,-8.833333333333334,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
-8.0,-8,-6.033333333333331,-5.780246913580244,-6.384140427566417,90.0,91.56666666666666,98.2,97.6,Mon 11-22 11-22,N,2 (I-A),Houston,"L, 70-52",64,80.8,47.6,31.1,18.5,43.9,108.8,56.6,15.5,22.2,28.3,-1.5,10.0,123.5,90.6875,91.375,91.85679012345682,92.00248616897753,97.53125,96.8625,97.63703703703706,98.38662659654396,20211122,101.2,94.3,6.900000000000006,108.8,88.5,20.3,104.8,93.9,10.91,65.0,7.390899237808121,118.79293656185644,60.56187766714083,8.115240418108591,119.62104912705323,18.58572097979873,119.62104912705323,8.115240418108591,119.62104912705323,18.58572097979873,114.96675145118293,111.5,88.2,23.27,65.5,101.2,94.3,6.900000000000006,108.8,88.5,20.3,18.441903435482615,114.93254010674934,0,99.17860022468037,102.1832698923878,-3.0046696677074323,-8.193411822087453,108.83998427488892,83.44662515525194,25.393359119636983,33.911553080858454,2021-11-22,17.713452638397555,120.75217388006813,25.49955733631468,120.75217388006813,-18.91,-73.04,-33.67888888888889,-54.13,-39.361111111111114,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.17045190796406517,0.045802109643982125,-16.690246913580246,-16.94333333333333,-17.200370370370365,-14.608,-13.5325,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-4.5,-6,-10.200000000000005,-6.1201646090535,-6.459751258917979,84.1,85.16666666666667,90.9,95.36666666666667,Tue 11-23 11-23,N,79 (Ⅱ),Texas A&M,"L, 57-50",62,81.3,41.5,30.9,35.3,36.2,92.6,45.1,19.5,35.3,41.2,-16.5,2.5,123.5,87.39375,90.6875,89.27119341563788,90.5656705018907,94.215625,97.53125,95.3913580246914,97.02542176080868,20211123,101.5,94.5,7.0,101.9,95.9,6.0,104.1,94.1,9.97,65.3,-0.08494180449105926,119.69111563802608,61.770270270270274,-0.6618148446954351,122.86659217426381,6.971580551933573,122.86659217426381,-0.6618148446954351,122.86659217426381,6.971580551933573,112.44896545715882,103.4,93.6,9.82,66.5,101.5,94.5,7.0,101.9,95.9,6.0,6.748846262830439,112.53450088316661,0,97.50107971622889,99.68094081809576,-2.1798611018668765,-7.242309215869749,94.5764117040262,92.4001356078301,2.176276096196105,5.22296654759341,2021-11-23,2.654573671212056,116.98563240163102,7.6998345290256935,116.98563240163102,-15.97,-89.01,-46.799259259259266,-73.04,-42.21074074074074,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.4059036140017165,0.4002049928287621,-16.090164609053502,-20.170000000000005,-16.690246913580246,-14.835,-14.608,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
15.0,17,0.8333333333333286,1.753223593964332,-2.103432848205619,105.4,93.16666666666669,87.9,92.33333333333331,Tue 12-07 12-07,A,29 (I-A),Oklahoma,"W, 66-62 OT",67,98.5,46.8,19.4,37.5,19.0,92.5,52.7,20.9,15.2,8.9,1.5,11.0,126.5,96.396875,87.39375,94.64746227709192,93.26282131972874,91.0578125,94.215625,92.8942386831276,95.36625416793436,20211207,100.2,96.7,3.5,106.4,91.1,15.300000000000011,104.2,95.3,8.97,63.7,7.28023814119036,120.76349663730363,61.25348506401138,10.728334161656726,122.43737452812798,12.118029292394908,122.43737452812798,10.728334161656726,122.43737452812798,12.118029292394908,110.6187424925324,107.2,91.9,15.36,67.6,100.2,96.7,3.5,106.4,91.1,15.300000000000011,13.399699774212905,112.45746953676203,0,98.93934804649696,97.90899678620396,1.0303512602930027,-4.978228034597985,101.77540771874186,92.35775971013352,9.417648008608339,8.981416955949662,2021-12-07,8.571916291602967,120.39839680138556,10.300195939258792,120.39839680138556,8.03,-80.98,-60.869506172839515,-89.01,-20.11049382716049,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.14740707903152717,0.2071434227585146,-7.2167764060356685,-8.136666666666672,-16.090164609053502,-11.56857142857143,-14.835,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-9.5,-1,3.099999999999999,0.7021490626428911,-1.9755359667136865,101.7,97.06666666666668,103.1,93.96666666666664,Sat 12-11 12-11,H,356 (Ⅳ),Eastern Illinois,"W, 66-54",63,105.1,48.3,12.7,32.4,16.7,86.0,50.0,25.5,17.9,12.0,-1.5,-21.5,121.5,99.0484375,96.396875,96.99830818472796,94.79685380705078,97.07890625,91.0578125,96.29615912208509,96.77238977376447,20211211,100.4,96.3,4.1000000000000085,85.4,106.8,-21.39999999999999,104.7,94.9,9.76,63.4,-22.30748342268827,120.47286022470843,61.596301564722616,-19.17190221323746,120.3610134985398,-19.071367431489605,120.3610134985398,-19.17190221323746,120.3610134985398,-19.071367431489605,103.17695322681394,86.8,108.2,-21.47,68.3,100.4,96.3,4.1000000000000085,85.4,106.8,-21.39999999999999,-18.30719542800806,104.9350401377545,0,97.19805153147956,99.39394921238537,-2.1958976809058015,-9.152398223883615,81.39859252674657,101.22436710860605,-19.825774581859477,-14.713586573082534,2021-12-11,-14.242077421098642,113.78868538116019,-4.944374894429998,113.78868538116019,-10.76,-91.74000000000001,-67.57300411522635,-80.98,-24.166995884773655,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9797013292561028,0.912512177147256,-9.05785093735711,-6.66,-7.2167764060356685,-11.467500000000001,-11.56857142857143,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-13.5,-15,0.1333333333333352,-4.765233958238073,-4.4708930636748345,90.2,99.1,105.9,98.96666666666664,Sat 12-18 12-18,N,9 (I-A),Purdue,"L, 77-48",58,82.5,35.6,12.0,29.5,23.7,132.4,63.7,17.2,44.0,27.5,-6.5,15.5,131.5,94.62421875,99.0484375,94.73220545648532,93.96106220576884,101.489453125,97.07890625,99.4974394147234,98.43195526944368,20211218,99.3,95.9,3.3999999999999915,118.8,93.6,25.200000000000003,102.5,95.3,7.25,62.5,12.554679306171849,126.30114965711981,60.810810810810814,13.114897297297297,129.2927728922953,17.62704513110125,129.2927728922953,13.114897297297297,129.2927728922953,17.62704513110125,116.95168363856394,120.4,91.7,28.67,68.4,99.3,95.9,3.3999999999999915,118.8,93.6,25.200000000000003,18.281449840661555,124.65820795280356,0,95.25757115278448,101.01364072705022,-5.756069574265737,-11.210207577559702,115.51473204054088,90.54576921406988,24.968962826471,32.68593641226729,2021-12-18,19.02069839296469,126.83242464988236,26.6936010748948,126.83242464988236,-22.25,-113.99000000000001,-75.6286694101509,-91.74000000000001,-38.3613305898491,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.06994638275525245,0.03503212459662364,-12.015233958238074,-7.1166666666666645,-9.05785093735711,-12.665555555555557,-11.467500000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
1.5,14,-0.8666666666666648,1.6565106945079506,-1.021639779370319,96.4,96.1,81.9,96.96666666666664,Wed 12-29 12-29,H,108 (Ⅲ),DePaul,"W, 63-59",68,92.2,51.9,20.5,25.0,26.4,86.4,45.9,30.7,30.0,42.9,-10.5,-2.5,132.5,95.512109375,94.62421875,95.28813697099022,94.4045054410836,91.6947265625,101.489453125,93.63162627648228,95.4261452204539,20211229,98.4,96.6,1.8000000000000114,105.5,97.5,8.0,102.7,95.4,7.22,62.5,-2.7796030911742804,126.53318560239912,64.10028449502134,0.28563656667866155,130.04624903057368,3.7614537115978224,130.04624903057368,0.28563656667866155,130.04624903057368,3.7614537115978224,119.77404972617508,104.6,96.0,8.58,72.1,98.4,96.6,1.8000000000000114,105.5,97.5,8.0,2.056331945684977,125.52053362768342,0,94.61055627791409,98.2579110646004,-3.6473547866863214,-8.185402507388917,104.00927672830916,95.81415172599498,8.195125002314185,14.216159270113424,2021-12-29,4.044659871860134,126.6508585365661,12.510536613456814,126.6508585365661,6.78,-107.21000000000001,-88.41577960676727,-113.99000000000001,-18.794220393232735,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.5940963859982835,0.35004250953176896,-5.563489305492049,-8.086666666666664,-12.015233958238074,-10.721,-12.665555555555557,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
