ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
4.5,-6,,-6.6000000000000085,-6.6000000000000085,91.1,0.0,97.7,0.0,Fri 11-12 11-12,H,162 (Ⅲ),North Dakota St.,"L, 60-57",63,91.0,43.4,20.8,29.4,24.5,95.8,45.3,27.1,41.2,28.3,-17.5,7.5,134.5,91.1,0.0,91.1,91.1,97.7,0.0,97.7,97.7,20211112,96.1,106.2,-10.100000000000009,100.2,97.6,2.6000000000000085,91.6,103.2,-11.59,69.3,6.78902969604799,129.19032079167965,66.63840682788052,4.791374187475114,136.52002500585456,-1.3420474197322747,136.52002500585456,4.791374187475114,136.52002500585456,-1.3420474197322747,121.50907196585189,102.2,98.0,4.28,67.6,96.1,106.2,-10.100000000000009,100.2,97.6,2.6000000000000085,-1.3420474197322747,121.50907196585189,0,94.42761669349926,98.72345765657955,-4.295840963080295,-2.5446319113519142,94.4918424035554,101.50326852026832,-7.011426116712926,-3.626887379486493,2021-11-12,-5.366582171747368,129.24613608057774,-2.529496763098301,129.24613608057774,5.59,5.59,0.0,0.0,5.59,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.23752526202697655,0.6953605547113595,4.989999999999991,,0.0,5.59,0.0,1,0.0,1,1,1,3,0.0,0.0
-6.0,-15,,-9.466666666666674,-8.163636363636371,88.3,0.0,103.5,0.0,Mon 11-15 11-15,H,316 (Ⅳ),Sacramento St.,"L, 58-57",60,94.3,44.0,18.2,36.4,40.0,95.9,44.7,19.8,20.6,46.8,-23.5,-5.0,138.5,89.69999999999999,91.1,90.16666666666666,90.5909090909091,100.6,97.7,99.63333333333334,98.75454545454544,20211115,96.0,105.7,-9.700000000000005,95.9,107.4,-11.5,92.0,103.6,-11.59,68.9,-4.716276808647578,134.06954601121413,69.09601706970129,-5.279646106377214,144.70977527469785,-17.349487444685458,144.70977527469785,-5.279646106377214,144.70977527469785,-17.349487444685458,125.2305930735347,93.4,106.7,-13.29,70.5,96.0,105.7,-9.700000000000005,95.9,107.4,-11.5,-17.349487444685458,125.2305930735347,0,89.11625354949497,100.68720349716658,-11.570949947671608,-12.972482882408755,88.99402445567127,91.05818055087468,-2.0641560952034155,-4.507745693524326,2021-11-15,2.6022717440093572,120.6509161093193,4.083201759074392,120.6509161093193,-3.41,2.1799999999999997,5.59,5.59,-3.41,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.6830306580593271,0.4021308803544975,2.123333333333326,,4.989999999999991,1.0899999999999999,5.59,1,1.0,-1,1,1,1,3.0,0.0
-15.5,-21,-14.433333333333335,-13.47777777777778,-10.58842975206612,88.2,89.2,109.7,103.63333333333333,Fri 11-19 11-19,A,75 (I),Santa Clara,"L, 87-57",70,81.5,43.3,28.6,31.4,32.7,124.3,52.4,17.1,44.1,40.3,8.5,14.5,135.5,88.94999999999999,89.69999999999999,89.51111111111112,90.15619834710743,105.15,100.6,102.9888888888889,100.74462809917355,20211119,94.8,105.0,-10.200000000000005,106.4,98.0,8.400000000000006,91.2,103.5,-12.27,67.3,17.7213798124018,134.5535624139406,68.54452347083925,17.231928251686945,144.0308267850988,23.941606948359183,144.0308267850988,17.231928251686945,144.0308267850988,23.941606948359183,148.8134869107882,104.9,96.6,8.36,71.6,94.8,105.0,-10.200000000000005,106.4,98.0,8.400000000000006,23.95368863592559,148.75477144555416,0,87.94808103814486,101.5551895880624,-13.607108549917541,-15.415019537425003,112.98512473733231,100.17458703762428,12.810537699708036,25.763737584405725,2021-11-19,22.69040449369573,142.93484241901183,30.244338210145685,142.93484241901183,-8.73,-6.550000000000001,4.453333333333333,2.1799999999999997,-11.003333333333334,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.08364680132758417,0.015348021022477343,-1.20777777777778,-2.1633333333333358,2.123333333333326,-2.183333333333332,1.0899999999999999,-1,1.0,-1,-1,1,-3,1.0,3.0
3.0,-4,-13.633333333333336,-10.38518518518519,-9.42689706987228,95.0,90.5,99.2,104.13333333333334,Mon 11-22 11-22,N,205 (Ⅲ),Nicholls St.,"L, 75-72 OT",77,93.9,49.1,23.5,27.8,57.4,97.8,47.8,14.3,23.8,23.5,13.5,6.0,133.5,91.975,88.94999999999999,91.34074074074076,91.03688955672428,102.175,105.15,101.72592592592594,100.46378662659654,20211122,94.7,105.6,-10.899999999999991,96.2,102.0,-5.799999999999997,91.6,104.7,-13.03,66.8,6.106317611940305,128.48391761194029,66.8,3.4182304477611893,135.67031402985077,11.159264149492545,135.67031402985077,3.4182304477611893,135.67031402985077,11.159264149492545,114.78605209201989,96.7,100.5,-3.72,70.3,94.7,105.6,-10.899999999999991,96.2,102.0,-5.799999999999997,11.006941452139312,114.85270334403981,0,91.22158620960708,101.92425685326631,-10.702670643659232,-10.785048996739445,90.79404413709835,98.58303823585948,-7.788994098761123,-11.048826013764868,2021-11-22,1.7882136880358885,124.91489968627198,-0.17620304737298653,124.91489968627198,9.03,2.4799999999999986,0.7855555555555553,-6.550000000000001,1.6944444444444433,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,3,0.2838545830986763,0.4323847206727517,2.6448148148148096,-0.603333333333337,-1.20777777777778,0.6199999999999992,-2.183333333333332,1,-1.0,1,1,-1,3,-3.0,1.0
-2.0,-3,-9.633333333333336,-7.990123456790128,-8.29473396625914,90.3,91.16666666666669,93.5,100.8,Wed 11-24 11-24,N,332 (Ⅳ),Idaho,"W, 67-63",69,97.8,39.1,23.3,48.9,74.5,91.9,43.5,21.9,28.6,80.4,-2.0,-6.0,132.0,91.1375,91.975,90.99382716049384,90.90290963731988,97.8375,102.175,98.98395061728397,99.19764360357898,20211124,94.7,105.3,-10.599999999999994,90.5,111.0,-20.5,91.9,104.4,-12.55,66.6,-7.425878271798908,129.91802922230954,66.69473684210527,-6.7126036135113765,136.98858350353498,-5.147515497577376,136.98858350353498,-6.7126036135113765,136.98858350353498,-5.147515497577376,131.68220154992616,88.4,112.6,-24.22,70.4,94.7,105.3,-10.599999999999994,90.5,111.0,-20.5,-5.020320219600942,131.7428943709914,0,92.26806506844224,100.1237828791635,-7.855717810721259,-5.794158915680175,86.15471737662602,109.62415030629256,-23.46943292966654,-33.03784398419161,2021-11-24,-10.175515666188979,128.09992509221038,-18.170104062535636,128.09992509221038,9.55,12.03,1.3503703703703698,2.4799999999999986,10.67962962962963,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.7161454169013237,0.8337515354830328,4.559876543209873,2.9166666666666643,2.6448148148148096,2.405999999999999,0.6199999999999992,1,1.0,1,1,1,3,3.0,-3.0
1.0,-11,-6.400000000000001,-9.260082304526753,-8.932055063302931,93.3,92.86666666666667,105.1,99.26666666666668,Thu 12-02 12-02,A,217 (Ⅲ),Cal Baptist,"L, 64-55",61,89.9,46.4,21.3,31.6,20.0,104.7,45.5,11.4,27.0,30.4,-15.0,10.0,134.0,92.21875,91.1375,91.76255144032925,91.33874424871624,101.46875,97.8375,101.02263374485598,100.27079931201916,20211202,95.4,106.1,-10.699999999999989,103.2,105.3,-2.0999999999999943,92.6,105.7,-13.11,65.6,10.007781854117134,132.73195719424382,64.20028449502134,9.827554650456761,138.49075965814745,7.695858335964635,138.49075965814745,9.827554650456761,138.49075965814745,7.695858335964635,122.98990233146704,102.8,106.7,-3.98,68.8,95.4,106.1,-10.699999999999989,103.2,105.3,-2.0999999999999943,7.734388345511397,122.95902891969202,0,91.26193557398886,101.35576958230206,-10.093834008313195,-8.20297484508277,97.08654067296972,106.6691958841448,-9.58265521117508,-10.104717922813096,2021-12-02,4.305111499209708,128.98784536688936,0.4121332278128591,128.98784536688936,2.1099999999999994,14.139999999999999,4.910246913580247,12.03,9.229753086419752,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.17045190796406517,0.3408990789364682,3.8499176954732466,6.709999999999998,4.559876543209873,2.3566666666666674,2.405999999999999,1,1.0,1,1,1,3,3.0,3.0
9.0,-9,-8.133333333333335,-9.30672153635117,-9.017135960884216,88.3,90.63333333333333,97.7,98.76666666666668,Sun 12-05 12-05,A,212 (Ⅲ),San Diego,"L, 52-51",58,88.4,45.3,15.6,25.0,13.2,90.1,45.6,20.8,21.2,37.8,-24.0,10.0,127.0,90.259375,92.21875,90.60836762688616,90.7862452944042,99.584375,101.46875,99.91508916323733,99.8033812552884,20211205,94.8,105.4,-10.600000000000009,97.9,96.0,1.9000000000000057,92.1,105.2,-13.14,64.8,10.768096433752511,120.04317465384239,61.75817923186344,11.177307342074883,123.4394276182161,4.769493729241399,123.4394276182161,11.177307342074883,123.4394276182161,4.769493729241399,107.13113184788152,98.4,99.3,-0.87,67.0,94.8,105.4,-10.600000000000009,97.9,96.0,1.9000000000000057,9.069043499226487,113.3899462653047,0,92.55814986441912,99.82410729196243,-7.265957427543313,-6.781055315872929,91.92195264000156,97.3029181147658,-5.380965474764238,-8.592672779751949,2021-12-05,4.307539475964958,115.40245932049189,0.4774835744272323,115.40245932049189,4.140000000000001,18.28,7.9868312757201645,14.139999999999999,10.293168724279838,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.17045190796406517,0.3408142702458553,3.8332784636488313,5.006666666666666,3.8499176954732466,2.6114285714285703,2.3566666666666674,1,1.0,1,1,1,3,3.0,3.0
6.5,2,-6.099999999999999,-5.237814357567445,-6.850383967996176,89.7,90.43333333333332,86.8,96.53333333333336,Sat 12-11 12-11,A,265 (Ⅳ),Portland St.,"W, 61-58",69,88.1,47.8,26.0,21.4,47.8,83.8,42.5,26.0,30.6,39.6,-8.5,3.5,127.5,89.97968750000001,90.259375,90.3055784179241,90.58874614996708,93.1921875,99.584375,95.54339277549155,97.43913011796324,20211211,94.2,104.2,-10.0,95.7,101.1,-5.399999999999992,92.4,104.5,-12.12,63.7,6.816172506303602,124.37247734250805,64.78733997155051,6.607517764184784,129.66668413485442,1.8320189984921493,129.66668413485442,6.607517764184784,129.66668413485442,1.8320189984921493,109.19470637522907,94.7,101.5,-6.76,71.5,94.2,104.2,-10.0,95.7,101.1,-5.399999999999992,2.027111492354833,108.65979753027716,0,93.6925550212914,98.14404142750394,-4.451486406212538,-4.303581613306974,83.58318996637053,98.33387954454275,-14.750689578172228,-21.02571915800853,2021-12-11,-3.472281565860591,115.57518740205757,-9.24952510523648,115.57518740205757,14.12,32.4,11.417887517146777,18.28,20.98211248285322,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.36944134018176367,0.6295619870865605,6.882185642432554,6.0200000000000005,3.8332784636488313,4.050000000000001,2.6114285714285703,1,1.0,1,1,1,3,3.0,3.0
3.5,3,-1.0333333333333314,-2.358542905044962,-4.986677791996869,117.7,98.56666666666666,114.3,99.59999999999998,Mon 12-13 12-13,A,164 (Ⅲ),Portland,"L, 78-77",67,115.7,57.4,18.0,31.0,35.2,117.2,54.5,13.5,22.6,33.9,23.0,4.5,132.0,103.83984375,89.97968750000001,99.43705227861608,95.51806503179124,103.74609375,93.1921875,101.79559518366104,100.50474282378808,20211213,93.4,102.2,-8.799999999999997,98.5,104.0,-5.5,91.9,103.1,-11.2,63.9,3.8508867191684857,123.71315553185872,63.71820768136558,5.931101642478822,129.43585986513892,5.596231847316073,129.43585986513892,5.931101642478822,129.43585986513892,5.596231847316073,119.70182588814386,94.9,105.8,-10.86,70.1,93.4,102.2,-8.799999999999997,98.5,104.0,-5.5,7.090212902176402,118.36532556970525,0,97.37514291279231,99.62285530748274,-2.2477123946904243,-2.4410592521587366,97.69408027767574,102.2522367017611,-4.558156424085368,-6.111222638866423,2021-12-13,2.1382678251197973,128.73555490727455,-0.6307435642250709,128.73555490727455,14.2,46.599999999999994,18.411925011431187,32.4,28.188074988568808,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.3341175708976246,0.4193156364845282,8.841457094955038,10.166666666666668,6.882185642432554,5.177777777777777,4.050000000000001,1,1.0,1,1,1,3,3.0,3.0
-20.5,-34,-9.299999999999995,-12.97236193669664,-10.29819092072471,93.1,100.16666666666669,127.3,109.46666666666664,Fri 12-17 12-17,A,69 (I),Fresno St.,"L, 83-48",61,78.8,38.5,24.6,29.4,29.2,136.3,62.3,14.8,39.3,26.3,12.0,14.5,119.0,98.469921875,103.83984375,97.3247015190774,95.07841684419284,115.523046875,103.74609375,110.29706345577404,105.37660776491752,20211217,93.9,102.2,-8.299999999999997,103.1,93.2,9.899999999999991,92.5,104.5,-12.01,63.8,15.090905210464093,113.37329032682547,57.99174964438122,13.883238928569185,115.45916643302245,12.671107803255792,115.45916643302245,13.883238928569185,115.45916643302245,12.671107803255792,108.37616452079531,103.6,94.7,8.94,63.9,93.9,102.2,-8.299999999999997,103.1,93.2,9.899999999999991,13.529123213075533,108.14271936078214,0,96.54686931419388,101.79696327931892,-5.250093965125032,-3.3112679474049203,100.46546758127435,93.15053859995255,7.314928981321799,12.599982285620811,2021-12-17,10.57825667164056,114.96199780667985,10.926395021968787,114.96199780667985,-21.990000000000002,24.609999999999992,27.80795000762079,46.599999999999994,-3.197950007620797,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.08364680132758417,0.15685856253274744,-0.9623619366966398,2.7100000000000044,8.841457094955038,2.4609999999999985,5.177777777777777,-1,1.0,-1,1,1,-1,3.0,3.0
