ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-16.0,-39,,-39.5,-39.5,80.5,0.0,120.0,0.0,Tue 11-09 11-09,A,59 (I-A),USC,"L, 89-49",68,72.4,36.2,20.7,24.3,15.5,131.4,60.9,14.8,42.9,20.3,-6.5,24.0,144.5,80.5,0.0,80.5,80.5,120.0,0.0,120.0,120.0,20211109,99.6,111.3,-11.700000000000005,108.4,93.0,15.400000000000006,95.3,105.8,-10.48,72.0,26.283122028104728,143.66440219200103,71.69274537695591,24.929745231762837,156.99384854973707,57.80972591073648,156.99384854973707,24.929745231762837,156.99384854973707,57.80972591073648,150.26233937467146,109.5,88.8,20.68,70.0,99.6,111.3,-11.700000000000005,108.4,93.0,15.400000000000006,57.80972591073648,150.26233937467146,0,95.14488536880177,97.58701935519916,-2.442133986397394,-1.0449117641751529,98.11767384530562,97.20707115043108,0.9106026948745409,-0.8588417495699068,2021-11-09,6.257541502302217,138.1214077868885,2.121687628119574,138.1214077868885,-28.52,-28.52,0.0,0.0,-28.52,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.0111354894796164,0.27560219913070205,-29.02,,0.0,-28.52,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
9.0,-5,,-28.133333333333336,-33.3,92.5,0.0,97.9,0.0,Sat 11-13 11-13,A,35 (I),Notre Dame,"L, 68-52",61,84.9,50.0,26.1,17.9,12.5,111.0,60.2,19.6,25.0,28.6,-26.5,25.0,146.5,86.5,80.5,84.5,82.68181818181819,108.95,120.0,112.63333333333335,115.98181818181816,20211113,96.1,108.8,-12.700000000000005,111.0,95.4,15.599999999999994,95.1,105.2,-10.12,70.2,23.14804088449784,142.26240267014754,68.0031294452347,24.40903148462551,148.57625826879348,32.86969623484874,148.57625826879348,24.40903148462551,148.57625826879348,32.86969623484874,134.43869009216905,113.0,95.2,17.81,68.1,96.1,108.8,-12.700000000000005,111.0,95.4,15.599999999999994,32.86969623484874,134.43869009216905,0,91.527758399095,104.13784098354596,-12.61008258445095,-9.996973581679836,0.0,0.0,0.0,0.0,2021-11-13,-0.0,0.0,,0.0,5.119999999999999,-23.4,-28.52,-28.52,5.120000000000001,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.008633971998087797,0.5,-18.013333333333335,,-29.02,-11.7,-28.52,-1,-1.0,1,-1,-1,-1,-3.0,0.0
-1.5,-8,-17.83333333333334,-21.62222222222223,-28.80909090909091,85.1,86.03333333333335,93.7,103.86666666666667,Fri 11-19 11-19,H,235 (Ⅳ),Eastern Washington,"L, 67-64 OT",71,90.0,37.9,14.1,30.4,18.6,94.2,47.4,19.7,24.4,33.3,-17.5,1.5,148.5,85.8,86.5,84.7,83.12148760330578,101.325,108.95,106.32222222222224,111.93057851239668,20211119,96.1,108.5,-12.400000000000006,94.7,104.8,-10.099999999999994,94.6,104.8,-10.18,69.7,-1.102942466971058,146.93647615494768,73.46756756756756,-2.7482548799106183,152.77125054926898,1.5241304545427026,152.77125054926898,-2.7482548799106183,152.77125054926898,1.5241304545427026,146.77544412058046,97.9,104.1,-6.24,74.1,96.1,108.5,-12.400000000000006,94.7,104.8,-10.099999999999994,1.5509843382471271,146.82745927565796,0,89.57210841796463,105.9365755742515,-16.364467156286878,-13.671178663544984,98.03377398660548,98.599777691108,-0.5660037045025206,-1.4968653586512608,2021-11-19,7.627830443077897,144.00727866907755,7.043090263137856,144.00727866907755,2.1799999999999997,-21.22,-26.813333333333333,-23.4,5.593333333333334,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.4432015031835318,0.2337783972933385,-11.442222222222231,-7.6533333333333395,-18.013333333333335,-7.073333333333332,-11.7,-1,-1.0,1,-1,-1,-1,-1.0,-3.0
6.0,-10,-8.200000000000008,-17.948148148148157,-25.49834710743802,103.3,93.63333333333333,113.9,101.83333333333331,Sat 11-20 11-20,H,277 (Ⅳ),Dixie St.,"W, 79-73",73,108.5,59.3,20.6,23.3,38.9,100.3,46.9,17.9,12.5,72.9,8.5,0.0,143.5,94.55,85.8,90.9,86.79030803906836,107.6125,101.325,108.84814814814818,112.2886551465064,20211120,96.2,108.5,-12.299999999999995,95.1,101.4,-6.300000000000011,93.9,104.4,-10.51,68.0,-5.113273685588666,141.78973159744552,72.06258890469418,0.012790640939684295,147.83910869327843,5.08429606684887,147.83910869327843,0.012790640939684295,147.83910869327843,5.08429606684887,137.16096386921572,93.9,106.1,-12.17,74.5,96.2,108.5,-12.299999999999995,95.1,101.4,-6.300000000000011,4.927024740853336,137.07386131452145,0,90.24101046583188,106.50007066148162,-16.259060195649738,-13.397235251294186,99.0774808117432,102.28283577579178,-3.2053549640485812,0.2061003416621116,2021-11-20,5.65984884341789,145.53656979011112,7.918245542851686,145.53656979011112,0.5099999999999998,-20.71,-24.948888888888888,-21.22,4.238888888888887,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.5,0.2949319652462964,-7.438148148148157,2.3099999999999916,-11.442222222222231,-5.1775,-7.073333333333332,-1,-1.0,1,-1,-1,-1,-1.0,-1.0
15.5,16,-1.0000000000000049,-6.565432098765438,-17.916829451540195,99.9,96.1,83.7,97.1,Sun 11-28 11-28,A,212 (Ⅲ),San Diego,"W, 56-52",61,91.4,39.3,11.4,29.7,13.1,84.9,36.7,24.5,45.0,16.7,-22.5,11.5,130.5,97.225,94.55,93.9,89.17388839560138,95.65625,107.6125,100.46543209876546,107.09071784714158,20211128,96.5,108.7,-12.200000000000005,101.1,95.2,5.899999999999992,95.6,105.6,-10.01,66.3,10.863305742434065,129.20949187415914,64.69672830725462,15.715618707907439,134.26152368196284,16.92739879184061,134.26152368196284,15.715618707907439,134.26152368196284,16.92739879184061,121.63105877453219,100.2,98.9,1.3,68.6,96.5,108.7,-12.200000000000005,101.1,95.2,5.899999999999992,18.452717448768933,123.87397250585929,0,94.04735247638922,101.49023751680927,-7.442885040420052,-5.9708137801902135,95.39355074537922,94.48818809440591,0.9053626509733022,-3.3184966889085823,2021-11-28,8.728356126792711,123.39745244740703,3.443332455615142,123.39745244740703,26.009999999999998,5.299999999999997,-23.535925925925927,-20.71,28.835925925925924,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.13670617005697383,0.202909990885918,3.444567901234562,9.009999999999994,-7.438148148148157,1.0600000000000005,-5.1775,1,-1.0,1,1,-1,3,-1.0,-1.0
-5.0,-25,-6.599999999999999,-12.843621399176955,-19.27740591489652,77.2,93.46666666666664,102.6,100.06666666666668,Sat 12-04 12-04,A,68 (I),Fresno St.,"L, 61-43",59,72.5,36.5,27.0,28.6,9.6,102.8,47.3,11.8,28.1,16.1,-17.5,13.0,121.5,87.2125,97.225,88.33333333333334,86.9968177782193,99.128125,95.65625,101.17695473251032,106.27422369311584,20211204,97.4,107.0,-9.599999999999994,103.7,96.8,6.900000000000006,95.9,104.7,-8.74,65.3,12.174412664905326,118.72078878753916,59.26230440967283,13.670241321645385,125.4196945661864,12.239061430889072,125.4196945661864,13.670241321645385,125.4196945661864,12.239061430889072,110.58178203616396,103.1,96.9,6.14,63.8,97.4,107.0,-9.599999999999994,103.7,96.8,6.900000000000006,13.802671080345032,110.97080526524095,0,90.23228352499171,100.65421328335604,-10.421929758364328,-9.899444615058329,96.58227606329824,93.682819668767,2.899456394531242,7.840662529032176,2021-12-04,10.834201427791818,111.0261896079563,12.155459677906528,111.0261896079563,-16.259999999999998,-10.96,-13.923950617283953,5.299999999999997,2.9639506172839525,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.10784037468050733,0.15107618420988322,-4.103621399176955,2.1400000000000015,3.444567901234562,-1.826666666666668,1.0600000000000005,-1,1.0,1,-1,1,-1,3.0,-1.0
-12.5,-27,-12.233333333333327,-17.72908093278464,-20.772423021278968,83.3,86.8,110.8,99.03333333333332,Tue 12-07 12-07,H,37 (I),Boise St.,"L, 74-48",64,75.4,35.0,17.3,12.1,32.0,116.2,61.6,22.0,42.9,17.9,-3.0,13.5,125.0,85.25625,87.2125,86.65555555555557,86.32466909127032,104.9640625,99.128125,104.38463648834022,107.0970921125493,20211207,95.8,106.5,-10.700000000000005,101.5,92.6,8.900000000000006,94.9,104.4,-9.5,64.9,8.25871863651799,118.6952607487888,61.022617354196306,8.703936036304782,123.10044605219551,5.711599399248148,123.10044605219551,8.703936036304782,123.10044605219551,5.711599399248148,108.44828111357334,103.0,93.2,9.76,66.1,95.8,106.5,-10.700000000000005,101.5,92.6,8.900000000000006,8.547784359517644,110.60123564511619,0,88.92657687894837,102.7905179812556,-13.863941102307237,-14.440972262747277,98.61157116508592,92.09037621489304,6.5211949501928785,1.156582308855811,2021-12-07,8.994468311426687,114.59888978173606,7.922893511215449,114.59888978173606,-17.5,-28.46,-12.935967078189304,-10.96,-15.524032921810697,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.09927139684333097,0.1958285619141762,-8.22908093278464,-2.733333333333327,-4.103621399176955,-4.065714285714288,-1.826666666666668,-1,-1.0,-1,-1,-1,-3,-1.0,3.0
-0.5,-17,-23.3,-17.48605395518976,-20.08652792650097,84.1,81.53333333333335,101.1,104.83333333333331,Fri 12-10 12-10,A,166 (Ⅲ),North Dakota St.,"L, 68-54",66,81.2,37.1,9.0,15.6,19.4,102.3,49.2,16.6,29.4,18.3,-2.5,13.5,124.5,84.678125,85.25625,85.80370370370372,85.92018380194844,103.03203125,104.9640625,103.28975765889348,106.00671172844945,20211210,95.2,107.2,-12.0,98.0,101.9,-3.9000000000000057,94.6,105.4,-10.75,64.8,9.411351503999306,123.03399559285711,60.74423897581792,8.557310070714848,126.31865372068883,2.1544317608841625,126.31865372068883,8.557310070714848,126.31865372068883,2.1544317608841625,113.68548876893716,101.1,102.2,-1.13,65.9,95.2,107.2,-12.0,98.0,101.9,-3.9000000000000057,6.5957040008653625,113.92724861218399,0,88.4520935728016,102.99120919366688,-14.539115620865275,-15.838775552615523,88.84292871666355,105.33162541786736,-16.488696701203807,-8.544343002948137,2021-12-10,2.186850872003916,115.28578775132789,5.924427473950622,115.28578775132789,-6.25,-34.71,-18.11064471879287,-28.46,-16.59935528120713,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.09927139684333097,0.41750848716844713,-6.73605395518976,-12.55,-8.22908093278464,-4.338750000000001,-4.065714285714288,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
6.0,-1,-15.4,-12.22403597012651,-16.743522848955337,99.1,88.83333333333333,100.8,104.23333333333332,Sat 12-18 12-18,H,264 (Ⅳ),Portland St.,"W, 69-66",69,99.5,42.3,24.5,41.0,65.4,95.2,43.0,27.4,45.7,35.1,7.5,3.0,127.5,91.8890625,84.678125,90.23580246913582,88.316514019776,101.916015625,103.03203125,102.45983843926231,105.06003686873134,20211218,93.4,105.7,-12.299999999999995,93.1,99.9,-6.800000000000011,93.4,104.1,-10.68,64.7,-2.187111478347404,125.6155902493863,66.5406827880512,-0.18200639389218054,130.67610101083417,-4.458878483719137,130.67610101083417,-0.18200639389218054,130.67610101083417,-4.458878483719137,112.57859285098573,92.1,100.5,-8.35,72.3,93.4,105.7,-12.299999999999995,93.1,99.9,-6.800000000000011,-2.2303222222371932,111.85529761132891,0,90.54847212376112,103.36924523093695,-12.820773107175839,-12.21343066732573,83.84475197308342,97.57096642191948,-13.72621444883606,-18.04851922004054,2021-12-18,-4.4876653907016575,119.41766885977265,-5.463935769208845,119.41766885977265,9.68,-25.03,-23.643763145861914,-34.71,-1.3862368541380867,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.38754848109799234,0.6654547961086528,-1.5440359701265098,-4.720000000000001,-6.73605395518976,-2.7811111111111124,-4.338750000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-0.5,-12,-10.233333333333334,-12.149357313417674,-15.881064149145274,88.5,90.56666666666666,100.5,100.8,Sat 1-01 1-01,A,269 (Ⅳ),UC San Diego,"L, 72-64",70,91.3,45.2,21.4,34.2,19.4,102.7,54.9,25.7,25.8,39.2,3.5,7.5,132.5,90.19453125,91.8890625,89.65720164609056,88.34987510708945,101.2080078125,101.916015625,101.80655895950822,104.23093925623472,20220101,94.2,105.9,-11.700000000000005,97.2,103.9,-6.700000000000003,93.6,104.5,-10.85,65.0,6.73707276281624,126.42645624546128,63.61308677098151,6.975639165527362,131.21942713622198,3.2766879001313955,131.21942713622198,6.975639165527362,131.21942713622198,3.2766879001313955,122.77534177481976,97.9,103.9,-6.06,68.8,94.2,105.9,-11.700000000000005,97.2,103.9,-6.700000000000003,8.152056241679249,119.60554826904598,0,90.42800734110055,102.70588288481592,-12.277875543715368,-11.71076117171313,96.72254693048018,99.13784391538417,-2.415296984903989,-1.304105206175625,2022-01-01,9.78316320464483,123.58536477214952,8.285253303513066,123.58536477214952,-1.1500000000000004,-26.18,-24.10584209724128,-25.03,-2.0741579027587207,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.23752526202697655,0.1757380834068507,-1.2993573134176746,0.6166666666666654,-1.5440359701265098,-2.618000000000002,-2.7811111111111124,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
