ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-13.5,-14,,-14.699999999999989,-14.699999999999989,93.4,0.0,108.1,0.0,Tue 11-09 11-09,A,58 (I),Saint Louis,"L, 96-61",77,78.9,46.5,28.4,22.2,22.8,124.1,57.6,15.5,42.1,27.8,9.5,21.5,147.5,93.4,0.0,93.4,93.4,108.1,0.0,108.1,108.1,20211109,97.5,110.9,-13.400000000000006,101.5,97.0,4.5,91.8,109.2,-17.33,74.0,22.233804606602362,150.42054980456368,74.94736842105263,18.21616301474313,159.01137480358838,27.082747687556314,159.01137480358838,18.21616301474313,159.01137480358838,27.082747687556314,148.97147370194756,103.1,96.3,6.84,71.2,97.5,110.9,-13.400000000000006,101.5,97.0,4.5,27.082747687556314,148.97147370194756,0,101.43769035561776,101.372964628831,0.06472572678676158,-3.038052050991,101.99201918841212,98.2224214328198,3.769597755592315,0.0001533111478728,2021-11-09,7.23019466597971,155.5576424383625,4.3437057296885655,155.5576424383625,3.3299999999999983,3.3299999999999983,0.0,0.0,3.3299999999999983,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.02029867074389724,0.24554066791286489,2.6300000000000097,,0.0,3.3299999999999983,0.0,1,0.0,1,1,1,3,0.0,0.0
-9.5,-26,,-18.63333333333333,-16.845454545454537,93.3,0.0,119.8,0.0,Fri 11-12 11-12,A,114 (Ⅱ),Butler,"L, 85-53",66,80.2,40.8,18.2,20.5,10.0,128.7,68.1,15.1,25.0,63.8,-0.5,22.5,138.5,93.35,93.4,93.36666666666667,93.3818181818182,113.95,108.1,112.0,110.22727272727272,20211112,94.7,108.7,-14.0,102.2,93.0,9.200000000000005,91.3,108.6,-17.33,73.9,24.46799917249686,138.39264976873295,69.80028449502136,20.433760272814588,142.77612099479362,5.029674929219951,142.77612099479362,20.433760272814588,142.77612099479362,5.029674929219951,133.30490010270202,105.0,92.4,12.66,66.4,94.7,108.7,-14.0,102.2,93.0,9.200000000000005,5.029674929219951,133.30490010270202,0,100.00765672982214,100.36691495619232,-0.3592582263701729,2.6239598550973207,98.55153720340222,98.05832455141706,0.49321265198516073,-2.1476446337283246,2021-11-12,4.545838298881762,140.7723540414869,-1.371530971002386,140.7723540414869,-8.670000000000002,-5.340000000000003,3.3299999999999983,3.3299999999999983,-8.670000000000002,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,-3,0.016062285603828275,0.332530276496555,-1.303333333333331,,2.6300000000000097,-2.6700000000000017,3.3299999999999983,-1,1.0,-1,-1,1,-3,3.0,0.0
-9.0,-22,-21.266666666666666,-19.95555555555556,-17.891735537190076,68.3,85.0,90.9,106.26666666666668,Wed 11-17 11-17,A,4 (I-A),Baylor,"L, 92-47",84,56.1,32.8,34.6,19.0,20.7,109.7,50.6,14.3,37.8,26.9,-9.0,36.0,148.0,80.82499999999999,93.35,85.01111111111112,88.82148760330578,102.425,113.95,104.96666666666668,106.71322314049586,20211117,94.7,108.9,-14.200000000000005,111.0,90.9,20.099999999999994,91.4,109.2,-17.78,72.7,35.37363059632104,150.8642362393815,73.63072546230443,30.552131434366714,156.5113310283815,32.032986043283515,156.5113310283815,30.552131434366714,156.5113310283815,32.032986043283515,151.6316222650659,113.2,88.7,24.49,71.2,94.7,108.9,-14.200000000000005,111.0,90.9,20.099999999999994,32.052689599709424,151.86411453936716,0,87.61742538501613,102.420854037523,-14.803428652506867,-6.974979990850842,97.35315979339818,90.37784464231495,6.9753151510832225,10.057659511533698,2021-11-17,19.21722297748775,135.08655341693284,14.634693534055884,135.08655341693284,-4.219999999999999,-9.560000000000002,0.43999999999999817,-5.340000000000003,-10.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.00030338342281799324,0.03360914356013778,-2.175555555555558,-3.4866666666666646,-1.303333333333331,-3.1866666666666674,-2.6700000000000017,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
15.5,6,-14.300000000000006,-11.237037037037044,-13.5114199849737,91.1,84.23333333333333,84.9,98.53333333333336,Sat 11-20 11-20,H,178 (Ⅲ),Oral Roberts,"W, 70-67",73,95.8,48.4,20.5,27.0,17.5,91.7,39.7,13.7,22.7,33.3,-21.0,12.5,158.0,85.96249999999999,80.82499999999999,87.04074074074074,89.2357625845229,93.6625,102.425,98.2777777777778,102.7471825694966,20211120,93.9,108.6,-14.699999999999989,104.6,105.3,-0.7000000000000028,91.0,109.0,-17.96,73.6,9.234250311779945,155.79594851469193,75.90327169274536,6.800111088709656,164.41219253090495,10.641016634240826,164.41219253090495,6.800111088709656,164.41219253090495,10.641016634240826,173.21928471568754,103.1,103.7,-0.63,72.5,93.9,108.6,-14.699999999999989,104.6,105.3,-0.7000000000000028,10.581238950015544,173.1158972733304,0,86.1168710029905,98.54062979507042,-12.423758792079923,-6.030166819449926,96.96868202172602,108.03845407262412,-11.069772050898095,-1.8361230044501229,2021-11-20,-2.1440020505808803,146.1631666052417,1.1417156631356562,146.1631666052417,23.96,14.399999999999999,-2.8933333333333353,-9.560000000000002,17.293333333333333,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.11692964134637251,0.5808977495655617,6.722962962962956,3.659999999999995,-2.175555555555558,3.6000000000000014,-3.1866666666666674,1,-1.0,1,1,-1,3,-3.0,-3.0
-18.5,-31,-15.833333333333345,-17.858024691358032,-16.70934362406939,84.3,81.23333333333333,115.4,97.06666666666666,Wed 11-24 11-24,A,267 (Ⅳ),New Orleans,"L, 90-63",78,80.4,43.7,23.0,25.6,17.5,114.9,59.5,21.7,27.3,31.7,1.0,8.5,152.0,85.13125,85.96249999999999,86.12716049382716,88.33835120551873,104.53125,93.6625,103.9851851851852,105.04769482958812,20211124,94.1,107.6,-13.5,99.2,106.8,-7.599999999999994,91.5,108.4,-16.87,72.5,6.692028889475139,147.323879716007,73.01564722617353,8.990149189697945,154.848231921249,8.30382421903404,154.848231921249,8.990149189697945,154.848231921249,8.30382421903404,143.16114865185563,95.1,108.8,-13.7,70.8,94.1,107.6,-13.5,99.2,106.8,-7.599999999999994,8.107291168287539,142.98077410922957,0,86.26539852781747,100.45976927277408,-14.194370744956615,-5.557349743051585,99.93666590937605,101.89443084148178,-1.9577649321057322,-2.0139314685675456,2021-11-24,13.264885026105048,140.83727895247733,4.554292829658195,140.83727895247733,-14.129999999999999,0.2699999999999996,2.8711111111111087,14.399999999999999,-2.601111111111109,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,3,0.20910695659274503,0.10323667262293923,-0.9880246913580315,1.0366666666666564,6.722962962962956,0.054000000000002046,3.6000000000000014,-1,1.0,-1,1,1,-1,3.0,-3.0
4.5,-12,-12.366666666666674,-15.972016460905358,-15.889462965147684,87.1,87.5,99.3,99.86666666666667,Thu 11-25 11-25,N,169 (Ⅲ),VMI,"L, 73-67",70,95.9,44.6,8.6,20.0,21.5,104.5,48.4,15.7,26.8,23.8,-8.0,10.5,148.0,86.115625,85.13125,86.45144032921812,88.11319644087897,101.915625,104.53125,102.42345679012348,104.00265940602664,20211125,94.2,107.9,-13.700000000000005,101.4,104.6,-3.1999999999999886,90.8,109.1,-18.32,73.2,8.708554315195002,145.8402157915968,71.32574679943102,7.936253514787381,151.71775549563705,6.035759190300846,151.71775549563705,7.936253514787381,151.71775549563705,6.035759190300846,136.7771687178659,99.8,106.4,-6.57,68.5,94.2,107.9,-13.700000000000005,101.4,104.6,-3.1999999999999886,6.122824662884444,136.42595132988515,0,88.21767147668561,99.9108798583689,-11.693208381683291,-4.9218101835278985,99.88161805459823,101.75831919935447,-1.8767011447562396,-3.153123220168577,2021-11-25,7.31344700854649,138.30580016505465,1.2615291851602137,138.30580016505465,6.32,6.59,2.0040740740740723,0.2699999999999996,4.5859259259259275,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.15865525393145707,0.24305200560733176,2.347983539094642,5.953333333333326,-0.9880246913580315,1.0983333333333327,0.054000000000002046,1,-1.0,1,1,1,3,-1.0,3.0
0.0,-22,-22.000000000000004,-18.214677640603576,-17.127742426029922,101.3,90.9,124.0,112.9,Fri 11-26 11-26,N,277 (Ⅳ),Presbyterian,"L, 75-66",65,102.3,50.0,21.7,31.3,25.5,116.3,51.8,20.2,48.6,47.3,8.5,9.0,132.5,93.7078125,86.115625,91.40096021947876,90.51079708799188,112.9578125,101.915625,109.61563786008232,107.6385395140218,20211126,93.4,108.0,-14.599999999999994,93.4,100.9,-7.5,90.8,109.0,-18.21,72.8,6.915169386637231,130.88415010127176,67.72574679943102,4.600789227121851,135.36688303461358,6.0684752611839246,135.36688303461358,4.600789227121851,135.36688303461358,6.0684752611839246,115.05189531070543,93.8,101.3,-7.46,65.4,93.4,108.0,-14.599999999999994,93.4,100.9,-7.5,6.733529317837328,115.79994152179668,0,90.52350014964856,102.76117757684324,-12.237677427194683,-6.962524631382604,92.58703412465007,93.67845172718955,-1.0914176025394795,0.0184902282914792,2021-11-26,7.175516954226147,124.84345701249507,4.727944447893542,124.84345701249507,-3.789999999999999,2.8000000000000007,3.5327160493827146,6.59,-0.7327160493827138,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.19568296915377603,0.24718256641372283,-0.004677640603574673,-3.7900000000000027,2.347983539094642,0.40000000000000213,1.0983333333333327,-1,1.0,-1,1,1,-1,3.0,-1.0
-3.0,-10,-15.1,-15.609785093735717,-15.904516530388117,90.2,92.86666666666666,100.6,107.96666666666664,Wed 12-01 12-01,A,18 (I-A),Arkansas,"L, 97-60",83,72.1,48.2,30.0,12.8,27.3,116.5,57.5,14.4,33.3,35.6,6.0,34.0,151.0,91.95390625,93.7078125,91.00064014631916,90.4542885265388,106.77890625,112.9578125,106.61042524005488,106.35880505692693,20211201,94.2,109.6,-15.399999999999991,108.3,93.5,14.799999999999995,92.1,110.5,-18.4,72.3,32.826576898658764,153.36234529965927,74.25405405405405,27.63011996205165,157.5702255688118,29.112098344917577,157.5702255688118,27.63011996205165,157.5702255688118,29.112098344917577,143.55006588662536,110.9,91.1,19.81,72.2,94.2,109.6,-15.399999999999991,108.3,93.5,14.799999999999995,28.93947043576556,145.98645291577228,0,88.6597642824899,102.12449549094092,-13.464731208451013,-8.128938675796205,102.75293411544976,93.8869498774907,8.865984237959069,6.918990589691501,2021-12-01,20.462751668982847,143.2667492249443,13.24023294724222,143.2667492249443,8.399999999999999,11.2,3.2884773662551434,2.8000000000000007,7.911522633744855,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.0006016531650416823,0.025657656315879462,2.790214906264282,3.299999999999999,-0.004677640603574673,1.3999999999999986,0.40000000000000213,1,-1.0,1,1,1,3,-1.0,3.0
2.5,-24,-19.03333333333333,-18.40652339582381,-17.376422615772093,115.0,102.16666666666669,139.0,121.2,Sat 12-04 12-04,A,201 (Ⅲ),Arkansas St.,"L, 95-82",72,114.2,51.6,18.1,39.5,38.1,132.3,65.1,25.1,60.9,56.6,34.5,15.5,142.5,103.476953125,91.95390625,99.0004267642128,94.9171451580772,122.889453125,106.77890625,117.4069501600366,112.29356777384928,20211204,93.6,109.2,-15.600000000000009,100.9,102.5,-1.5999999999999943,91.6,110.1,-18.46,73.0,14.9834974780169,144.2511930451098,70.61166429587482,14.462386684051822,149.24189541394543,10.073464589306369,149.24189541394543,14.462386684051822,149.24189541394543,10.073464589306369,131.474175595179,100.1,103.3,-3.15,68.0,93.6,109.2,-15.600000000000009,100.9,102.5,-1.5999999999999943,12.193800837000893,130.4259791851545,0,92.2536282296238,103.39143185227884,-11.137803622655042,-5.392463832089632,93.5963882852446,105.7844015150486,-12.188013229804,-15.477679460270808,2021-12-04,3.33987181365066,140.4372797313113,-5.350526579877261,140.4372797313113,-5.539999999999999,5.66,5.925651577503428,11.2,-0.26565157750342827,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.06994638275525245,0.3752109779297421,0.053476604176189824,-0.5733333333333306,2.790214906264282,0.6288888888888877,1.3999999999999986,1,1.0,-1,1,1,1,3.0,-1.0
-11.5,-18,-17.733333333333324,-18.537682263882537,-17.63525486744989,111.4,105.53333333333336,130.2,123.26666666666664,Sat 12-18 12-18,A,77 (I),Missouri St.,"L, 106-70",69,100.9,46.5,15.9,25.8,31.6,152.8,64.4,7.2,41.2,17.8,29.0,24.5,147.0,107.4384765625,103.476953125,103.13361784280856,97.9140278566086,126.5447265625,122.889453125,121.67130010669106,115.54928272405849,20211218,94.3,110.3,-16.0,106.3,96.7,9.599999999999994,92.9,112.1,-19.22,72.9,25.9469638588402,148.73590989007147,69.9964438122333,22.854138427817638,149.87263735713896,23.921277067696636,149.87263735713896,22.854138427817638,149.87263735713896,23.921277067696636,140.48944934146874,108.8,97.6,11.18,67.5,94.3,110.3,-16.0,106.3,96.7,9.599999999999994,25.757928369278744,139.87137352895408,0,94.91361501587129,106.00523081447577,-11.09161579860448,-3.9307533475711263,102.40980511407894,96.32178991323003,6.088015200848901,2.1375482538505475,2021-12-18,16.290623982175433,143.63561538755522,6.189923230396417,143.63561538755522,1.2199999999999989,6.879999999999999,5.837101051668952,5.66,1.0428989483310467,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.009815328628645315,0.06039239065066937,0.6823177361174615,1.4866666666666752,0.053476604176189824,0.6879999999999988,0.6288888888888877,1,1.0,1,1,1,3,1.0,3.0
