ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
6.5,-8,,-8.899999999999991,-8.899999999999991,102.9,0.0,111.8,0.0,Tue 11-09 11-09,A,148 (Ⅲ),Missouri,"L, 78-68",69,99.2,48.4,17.5,26.3,23.0,113.8,51.6,17.5,43.2,36.1,7.5,16.5,138.5,102.9,0.0,102.9,102.9,111.8,0.0,111.8,111.8,20211109,96.1,111.6,-15.5,100.6,98.6,2.0,95.1,106.4,-11.31,71.7,17.677566744510557,144.43909449383392,71.39402560455191,17.02676437756935,151.57523805102716,8.789378169909583,151.57523805102716,17.02676437756935,151.57523805102716,8.789378169909583,162.86158083260358,104.3,96.5,7.8,70.0,96.1,111.6,-15.5,100.6,98.6,2.0,8.789378169909583,162.86158083260358,0,93.19196220351544,96.71025731430596,-3.5182951107905183,-9.78773955523499,99.33320409415492,94.10521894869004,5.227985145464885,3.958540701020464,2021-11-09,9.869069140178212,134.39810866369538,11.754791766636693,134.39810866369538,3.3100000000000005,3.3100000000000005,0.0,0.0,3.3100000000000005,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,3,0.05804156686932749,0.17363151831680845,2.410000000000009,,0.0,3.3100000000000005,0.0,1,0.0,1,1,1,3,0.0,0.0
-19.5,-15,,-11.23333333333333,-10.172727272727268,97.3,0.0,113.2,0.0,Sat 11-13 11-13,A,103 (Ⅱ),DePaul,"L, 99-66",78,85.0,44.8,23.2,17.1,36.2,127.5,61.1,15.5,37.5,44.4,22.5,13.5,142.5,100.1,102.9,101.03333333333332,101.88181818181818,112.5,111.8,112.26666666666668,112.05454545454543,20211113,93.9,108.9,-15.0,101.9,95.1,6.800000000000011,95.1,106.4,-11.31,71.5,14.520608337934675,144.9915662086793,73.63584637268849,20.53227345026481,151.20698317660657,14.457604524794597,151.20698317660657,20.53227345026481,151.20698317660657,14.457604524794597,177.912257875021,99.5,96.3,3.22,72.4,93.9,108.9,-15.0,101.9,95.1,6.800000000000011,14.457604524794597,177.912257875021,0,97.12083494578052,102.6629350136657,-5.542100067885187,-1.4305742442643945,95.60176696128758,98.7314086937774,-3.129641732489816,-8.048283174227086,2021-11-13,5.789169104898406,146.1071012044543,-2.9089199990356605,146.1071012044543,-3.6899999999999995,-0.379999999999999,3.3100000000000005,3.3100000000000005,-3.6899999999999995,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.09927139684333097,0.29069707696000346,0.07666666666666977,,2.410000000000009,-0.1899999999999995,3.3100000000000005,1,1.0,-1,-1,1,-1,3.0,0.0
-2.5,-28,-17.7,-16.92222222222222,-13.46859504132231,82.8,94.33333333333331,111.1,112.03333333333336,Mon 11-15 11-15,A,357 (Ⅳ),Eastern Illinois,"W, 62-61",69,89.7,50.0,15.9,17.1,20.3,88.2,48.1,24.6,21.6,34.6,-15.5,-3.5,138.5,91.45,100.1,94.95555555555556,98.41239669421486,111.8,112.5,111.8777777777778,111.88099173553718,20211115,94.7,109.8,-15.099999999999994,91.2,107.6,-16.39999999999999,94.7,107.1,-12.34,72.0,-0.35146513289554093,142.5144725095164,72.0,2.8694545707622012,148.75482210486766,-10.661146449413891,148.75482210486766,2.8694545707622012,148.75482210486766,-10.661146449413891,140.2216998950089,90.1,108.3,-18.15,70.3,94.7,109.8,-15.099999999999994,91.2,107.6,-16.39999999999999,-10.494882237469168,140.2250847966772,0,95.72454247013934,99.28346108853272,-3.5589186183933776,1.445806148781997,96.79044172639864,102.84612860649142,-6.055686880092779,-5.3639664777197655,2021-11-15,2.2787127841707644,143.2273013053321,-2.9265313471969705,143.2273013053321,-15.66,-16.04,2.080000000000001,-0.379999999999999,-18.12,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.6305586598182363,0.41409627598341825,-4.582222222222221,-5.359999999999999,0.07666666666666977,-5.346666666666666,-0.1899999999999995,-1,1.0,-1,-1,-1,-3,-1.0,3.0
-19.0,-22,-22.3,-18.848148148148148,-15.147032306536437,87.5,89.2,110.2,111.5,Mon 11-22 11-22,N,1 (I-A),Gonzaga,"L, 107-54",78,69.2,38.4,21.8,10.3,28.6,137.2,62.8,12.8,45.7,32.4,5.5,34.0,155.5,89.475,91.45,92.47037037037038,96.42832456799395,111.0,111.8,111.31851851851854,111.57535687453044,20211122,93.7,109.2,-15.5,120.6,89.3,31.3,94.3,106.7,-12.41,70.7,32.38408409007595,153.76204422736956,72.51024182076813,35.602624611933216,159.6738171519359,40.1300480602873,159.6738171519359,35.602624611933216,159.6738171519359,40.1300480602873,160.81303669247436,120.9,89.2,31.79,72.1,93.7,109.2,-15.5,120.6,89.3,31.3,40.457933572981474,160.82196594275482,0,95.47901466195032,100.5296564225186,-5.050641760568283,-7.602426406369839,117.52939090748607,89.08518472851298,28.44420617897309,25.065624780492403,2021-11-22,24.535915906062748,150.65863354032422,23.68768291372612,150.65863354032422,-9.59,-25.63,-3.959999999999998,-16.04,-21.67,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.0006016531650416823,0.00972599217845549,-6.438148148148148,-9.89,-4.582222222222221,-6.407499999999999,-5.346666666666666,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
0.0,-11,-20.666666666666668,-16.2320987654321,-14.39302643262072,99.2,89.83333333333333,110.2,110.5,Tue 11-23 11-23,N,174 (Ⅲ),Bellarmine,"L, 76-69",65,105.6,55.7,18.4,17.2,22.6,116.3,58.2,13.8,25.8,34.5,-2.0,7.0,147.0,94.3375,89.475,94.71358024691358,96.93226555563145,110.6,111.0,110.9456790123457,111.32529198825216,20211123,94.0,109.4,-15.400000000000006,100.3,106.6,-6.299999999999997,94.2,107.0,-12.83,71.0,7.588914010318248,141.78912874885884,68.37411095305833,6.669224950637997,147.00290483004608,12.756275505638946,147.00290483004608,6.669224950637997,147.00290483004608,12.756275505638946,143.652622152237,102.6,104.7,-2.08,67.7,94.0,109.4,-15.400000000000006,100.3,106.6,-6.299999999999997,12.777741976181398,143.75552872018287,0,97.32775856832954,102.14876217377412,-4.821003605444574,-7.427145468974799,100.69868307260955,104.3194969378196,-3.620813865210039,1.4147619174009274,2021-11-23,0.9317603466949151,143.12503671161173,6.045575566727194,143.12503671161173,1.83,-23.799999999999997,-11.183333333333332,-25.63,-12.616666666666665,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.2524925375469229,0.46464463658850286,-3.4020987654320987,-7.836666666666668,-6.438148148148148,-4.76,-6.407499999999999,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
4.0,-20,-18.0,-17.5880658436214,-15.46702162668968,87.8,91.5,108.1,109.5,Mon 11-29 11-29,A,8 (I-A),Kentucky,"L, 85-57",68,83.4,47.3,21.9,20.6,12.5,124.3,47.9,8.8,46.5,33.3,-5.5,32.0,147.5,91.06875,94.3375,92.4090534979424,95.27185363642572,109.35,110.6,109.99711934156382,110.7388752631154,20211129,95.1,111.0,-15.900000000000006,111.3,93.3,18.0,95.8,108.6,-12.83,69.7,28.34905262531315,145.92133842821352,69.40256045519205,28.96252687622931,151.53521483942822,29.94400185740291,151.53521483942822,28.96252687622931,151.53521483942822,29.94400185740291,147.36712184085263,113.0,91.4,21.6,70.0,95.1,111.0,-15.900000000000006,111.3,93.3,18.0,29.046210134068033,146.1162478725811,0,97.63489060209923,103.35972607437265,-5.724835472273412,-9.111842651091807,105.9120651674025,92.66506172197025,13.247003445432256,17.514850968248457,2021-11-29,17.47703070359301,142.46051066657623,20.504525470109925,142.46051066657623,-7.17,-30.97,-15.388888888888888,-23.799999999999997,-15.581111111111111,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.0011533107002833498,0.0480083606960221,-4.7580658436214005,-5.17,-3.4020987654320987,-5.161666666666665,-4.76,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-8.0,-30,-20.466666666666665,-21.758710562414265,-18.127563149109736,68.9,85.3,99.0,105.76666666666668,Wed 12-01 12-01,A,55 (I-A),Xavier,"L, 78-45",71,63.1,34.3,29.5,28.6,31.4,109.5,62.3,21.0,18.8,43.4,-20.0,25.0,143.0,79.984375,91.06875,84.57270233196161,90.47697115707558,104.175,109.35,106.33141289437587,108.60453430618531,20211201,95.2,111.6,-16.39999999999999,108.0,92.4,15.599999999999994,95.9,108.9,-12.99,69.4,24.459242686393438,142.50122207521082,68.11664295874823,26.79598612573917,146.1254798841402,30.461772373398393,146.1254798841402,26.79598612573917,146.1254798841402,30.461772373398393,135.98231208979726,110.0,93.4,16.55,69.0,95.2,111.6,-16.39999999999999,108.0,92.4,15.599999999999994,27.30977323426878,135.74963504082928,0,95.58531052260712,102.8329436285459,-7.247633105938789,-9.879578029549329,99.8586585541724,88.58453774619146,11.274120807980935,18.75422694196212,2021-12-01,16.23039301005401,131.095456563788,21.496284281582852,131.095456563788,-17.009999999999998,-47.98,-20.58259259259259,-30.97,-27.397407407407407,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.008633971998087797,0.061082271142476774,-8.768710562414265,-7.476666666666665,-4.7580658436214005,-6.854285714285714,-5.161666666666665,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-21.0,-53,-34.49999999999999,-32.2058070416095,-24.48618803108978,92.0,82.89999999999999,145.1,117.4,Sun 12-05 12-05,H,234 (Ⅳ),Western Illinois,"L, 97-70",71,99.3,58.7,27.0,24.1,25.0,137.6,65.8,15.6,33.3,47.4,15.5,6.0,151.5,85.9921875,79.984375,87.04846822130774,90.75388549215272,124.6375,104.175,119.25427526291726,115.24007352324251,20211205,94.5,111.6,-17.099999999999994,101.3,101.7,-0.4000000000000057,95.1,108.7,-13.61,69.2,4.826795589398145,146.5797741621904,71.07027027027029,8.064061697893777,151.7563030359314,13.376051296083816,151.7563030359314,8.064061697893777,151.7563030359314,13.376051296083816,138.580452390619,101.3,102.5,-1.22,72.2,94.5,111.6,-17.099999999999994,101.3,101.7,-0.4000000000000057,12.249276628338565,141.28734010457984,0,95.53496887669584,107.44048182981568,-11.905512953119839,-15.896124028821069,103.41609106401047,93.84630898117152,9.569782082838955,5.821666724170805,2021-12-05,11.51488541417443,145.56281802595902,13.545164233801017,145.56281802595902,-39.39,-87.37,-29.71506172839506,-47.98,-57.65493827160495,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.2838545830986763,0.13639595260987303,-18.595807041609504,-20.889999999999993,-8.768710562414265,-10.92125,-6.854285714285714,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
5.0,-18,-33.96666666666666,-27.70387136107301,-23.434153843618912,108.2,89.7,126.9,123.66666666666669,Wed 12-08 12-08,A,257 (Ⅳ),Youngstown St.,"L, 84-77",66,116.7,63.6,19.7,24.0,16.4,127.3,65.8,15.2,25.9,21.1,16.5,12.0,144.5,97.09609375,85.9921875,94.09897881420515,93.92590631176132,125.76875,124.6375,121.80285017527818,117.36006015538024,20211208,94.6,114.0,-19.40000000000001,101.0,107.5,-6.5,95.4,110.8,-15.36,69.0,10.227642658697462,142.82914341229497,66.64438122332861,13.332046983737655,148.39068287739997,17.872512636215596,148.39068287739997,13.332046983737655,148.39068287739997,17.872512636215596,137.6432785419174,101.3,107.8,-6.5,67.9,94.6,114.0,-19.40000000000001,101.0,107.5,-6.5,17.723347412356542,142.20671504641263,0,98.45977732377794,107.11560987502862,-8.655832551250683,-12.02638018419306,103.7155280224945,102.49134941849128,1.2241786040032139,-6.251454700963013,2021-12-08,11.011100717173335,145.0308554285209,5.544169929216906,145.0308554285209,-2.6400000000000006,-90.01,-48.933374485596715,-87.37,-41.07662551440329,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,3,0.12654895447355774,0.14716357233136879,-12.34387136107301,-18.606666666666662,-18.595807041609504,-10.001111111111113,-10.92125,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
1.0,-23,-31.73333333333333,-26.26924757404867,-23.427944053870014,87.9,96.03333333333336,111.3,127.76666666666668,Sat 12-11 12-11,H,283 (Ⅳ),Illinois Chicago,"L, 71-67",68,98.2,44.0,19.1,29.7,66.0,104.1,46.4,19.1,35.1,52.7,-1.5,5.0,139.5,92.498046875,97.09609375,92.03265254280343,92.83028698235016,118.534375,125.76875,118.30190011685212,116.2582310362202,20211211,95.7,115.4,-19.700000000000003,97.3,103.6,-6.299999999999997,96.7,111.9,-15.2,68.6,0.5078599941251554,139.8251926770959,66.55078236130868,4.925801417702544,143.99275875931653,5.660360500395049,143.99275875931653,4.925801417702544,143.99275875931653,5.660360500395049,142.5578405562251,97.4,105.8,-8.44,68.2,95.7,115.4,-19.700000000000003,97.3,103.6,-6.299999999999997,6.8200835010499885,138.84352702447347,0,96.80183925383542,106.84179047943522,-10.039951225599793,-13.07471649486678,97.75889584773932,100.53064422763738,-2.7717483798980567,-3.3220143937506776,2021-12-11,1.0121503283482411,137.51267928031706,4.779847781176663,137.51267928031706,-7.800000000000001,-97.81,-62.62558299039782,-90.01,-35.184417009602186,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,0.31696934194067294,0.4616033245638963,-11.06924757404867,-16.53333333333333,-12.34387136107301,-9.781,-10.001111111111113,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
