ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-1.5,-15,,-15.200000000000005,-15.200000000000005,96.5,0.0,111.7,0.0,Fri 11-12 11-12,A,84 (Ⅱ),Mississippi,"L, 93-68",78,87.2,43.1,18.0,23.3,27.7,119.3,58.0,11.5,23.7,9.3,26.0,23.5,135.0,96.5,0.0,96.5,96.5,111.7,0.0,111.7,111.7,20211112,94.5,104.8,-10.299999999999995,100.6,91.1,9.5,89.1,106.7,-17.63,71.8,25.062900602674404,134.1756543290074,70.88079658605974,17.91605989746202,139.30554243322922,26.06320312690428,139.30554243322922,17.91605989746202,139.30554243322922,26.06320312690428,148.73745015065654,102.9,89.3,13.63,69.4,94.5,104.8,-10.299999999999995,100.6,91.1,9.5,26.06320312690428,148.73745015065654,0,102.78142437463168,99.50983816083144,3.271586213800248,1.3561285988619298,0.0,0.0,0.0,0.0,2021-11-12,-0.0,0.0,,0.0,2.629999999999999,2.629999999999999,0.0,0.0,2.629999999999999,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,2.4299999999999944,,0.0,2.629999999999999,0.0,1,0.0,1,1,1,3,0.0,0.0
-16.5,-21,,-17.366666666666667,-16.381818181818183,84.9,0.0,106.6,0.0,Wed 11-17 11-17,A,33 (I-A),Wake Forest,"L, 95-59",80,74.1,41.7,27.6,25.0,12.1,119.3,63.5,12.6,12.5,31.7,7.0,19.5,147.0,90.7,96.5,92.63333333333334,94.39090909090908,109.15,111.7,110.0,110.77272727272728,20211117,94.7,105.2,-10.5,102.9,96.1,6.800000000000011,89.7,107.2,-17.48,72.7,21.270283762442112,143.50585949460435,73.21706970128022,17.084146477766836,149.52059947861477,21.617673661873965,149.52059947861477,17.084146477766836,149.52059947861477,21.617673661873965,153.22957742751754,102.6,96.2,6.37,70.8,94.7,105.2,-10.5,102.9,96.1,6.800000000000011,21.554470562696586,153.32501062597805,0,96.76111234143131,104.25872814053196,-7.497615799100643,-1.17462393184509,104.85125954871508,88.99072762818277,15.86053192053231,15.235870007459148,2021-11-17,21.4683892181136,146.77667360445204,14.209493990261294,146.77667360445204,-3.5199999999999996,-0.8900000000000006,2.629999999999999,2.629999999999999,-3.5199999999999996,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0.11333333333333329,,2.4299999999999944,-0.4450000000000003,2.629999999999999,1,1.0,-1,-1,1,-1,3.0,0.0
7.5,-17,-18.033333333333328,-17.31111111111111,-16.530578512396694,103.9,95.1,121.1,113.13333333333333,Mon 11-22 11-22,A,133 (Ⅲ),Georgia Tech,"L, 85-70",72,97.7,50.8,20.9,28.6,25.4,118.7,60.7,15.4,25.9,24.6,12.5,22.5,142.5,97.3,90.7,96.3888888888889,96.1198347107438,115.125,109.15,113.70000000000002,112.65041322314048,20211122,94.3,105.8,-11.5,102.3,92.9,9.399999999999991,89.9,108.0,-18.09,73.0,26.54910128595177,144.92808833578943,72.7923186344239,19.43574031570442,146.2015595704343,21.03624446938714,146.2015595704343,19.43574031570442,146.2015595704343,21.03624446938714,145.1984028289699,106.6,93.5,13.04,70.1,94.3,105.8,-11.5,102.3,92.9,9.399999999999991,20.52733786899743,145.52024981165295,0,100.8849167001718,103.22710965868168,-2.3421929585098837,1.6321335980111462,98.77642285892895,98.7459021017566,0.03052075717235425,-5.263486005258999,2021-11-22,5.945528102373174,150.09733224824683,-3.01830331027665,150.09733224824683,1.0899999999999999,0.1999999999999993,1.456666666666666,-0.8900000000000006,-1.2566666666666668,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.7788888888888899,0.05666666666667197,0.11333333333333329,0.06666666666666643,-0.4450000000000003,1,1.0,-1,1,-1,1,-1.0,3.0
-9.5,-20,-19.899999999999995,-18.47407407407408,-17.306836964688205,89.1,92.63333333333333,109.9,112.53333333333336,Fri 11-26 11-26,A,88 (Ⅱ),Clemson,"L, 91-59",73,80.4,36.1,23.2,26.2,24.6,124.0,57.1,13.6,36.1,17.1,10.5,22.5,139.5,93.2,97.3,93.95925925925928,94.8435011269722,112.5125,115.125,112.43333333333337,112.1503380916604,20211126,95.6,107.0,-11.400000000000006,105.7,92.6,13.100000000000009,91.2,108.6,-17.34,72.2,25.367241528036004,136.567736523155,67.47567567567569,20.893655116891203,139.8861093214159,29.49126077473374,139.8861093214159,20.893655116891203,139.8861093214159,29.49126077473374,147.98074321972084,108.0,93.4,14.61,65.7,95.6,107.0,-11.400000000000006,105.7,92.6,13.100000000000009,26.504283470110117,143.7829025386894,0,97.9784582641195,103.31420612856904,-5.335747864449544,0.289355396332104,105.76897405309391,96.21694589010237,9.552028162991547,9.657632766625667,2021-11-26,14.313186078637557,141.02955269049372,8.304592538308626,141.02955269049372,-2.66,-2.460000000000001,1.0377777777777772,0.1999999999999993,-3.4977777777777783,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-1.1340740740740785,-2.559999999999995,0.7788888888888899,-0.615000000000002,0.06666666666666643,-1,1.0,-1,-1,1,-3,1.0,-1.0
-31.0,-39,-25.9,-25.549382716049383,-21.378321152926716,71.2,88.06666666666666,110.9,113.96666666666664,Sun 11-28 11-28,A,231 (Ⅲ),Kennesaw St.,"L, 89-52",76,68.5,33.3,21.1,23.5,31.7,117.2,63.8,17.1,23.3,41.4,-5.0,6.0,146.0,82.2,93.2,86.37283950617287,90.54468274024998,111.70625,112.5125,111.92222222222226,111.92300389317668,20211128,95.6,107.4,-11.800000000000011,94.4,103.7,-9.299999999999995,91.3,109.0,-17.68,72.4,9.086297106799677,141.5166849707445,72.29701280227597,5.813263744802924,148.31684057787254,12.670807317014885,148.31684057787254,5.813263744802924,148.31684057787254,12.670807317014885,146.48574112873445,93.4,103.7,-10.29,70.2,95.6,107.4,-11.800000000000011,94.4,103.7,-9.299999999999995,12.53212665752811,146.5428367802911,0,94.8972134183889,104.2364658259506,-9.339252407561702,1.36819434866078,96.86245441116613,95.13476023804068,1.7276941731254425,3.399000679957478,2021-11-28,11.859985387142316,141.6322264089178,3.5407802261928225,141.6322264089178,-21.32,-23.78,-0.12814814814814868,-2.460000000000001,-23.651851851851852,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,-7.869382716049383,-8.219999999999999,-1.1340740740740785,-4.756,-0.615000000000002,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
-8.5,-21,-27.23333333333333,-24.099588477366257,-21.345899125121854,79.4,79.89999999999999,100.6,107.13333333333334,Thu 12-02 12-02,H,200 (Ⅳ),Jacksonville,"L, 67-56",71,79.2,40.6,18.4,18.9,45.3,94.7,50.0,24.0,29.7,29.8,-13.0,2.5,136.0,80.80000000000001,82.2,84.04855967078191,88.51837678747725,106.153125,111.70625,108.14814814814818,109.86427591259908,20211202,94.6,109.0,-14.400000000000006,96.2,103.8,-7.599999999999994,90.7,110.1,-19.4,73.1,3.7520042012001795,135.0233906276639,68.9406827880512,0.6910734876050384,143.22678827116238,9.148071811862723,143.22678827116238,0.6910734876050384,143.22678827116238,9.148071811862723,118.20780900135473,94.5,102.6,-8.1,66.3,94.6,109.0,-14.400000000000006,96.2,103.8,-7.599999999999994,9.191437129323944,118.13857901112019,0,92.6264430050378,104.30232358786856,-11.675880582830757,-3.898849355753746,92.01867309634495,89.75561912982961,2.2630539665153435,-2.2008013334428678,2021-12-02,5.525235907804891,126.20427456026292,-0.7008212457558614,126.20427456026292,-1.6000000000000014,-25.380000000000003,-8.0120987654321,-23.78,-17.367901234567903,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,-4.699588477366259,-7.833333333333332,-7.869382716049383,-4.23,-4.756,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
18.0,3,-19.1,-14.866392318244175,-16.810281102372425,91.8,80.8,88.2,99.9,Sun 12-05 12-05,A,198 (Ⅲ),Tarleton St.,"W, 59-57",65,90.3,46.4,21.4,27.0,23.2,87.2,38.0,16.8,25.7,33.3,-10.5,16.0,126.5,86.30000000000001,80.80000000000001,86.63237311385461,89.11503555339047,97.1765625,106.153125,101.4987654320988,105.92531665576288,20211205,93.0,108.5,-15.5,98.2,97.7,0.5,89.6,109.6,-19.93,73.3,15.212484618458042,127.81438987499283,65.47994310099574,14.245652822022343,132.86894796348233,21.125075072276054,132.86894796348233,14.245652822022343,132.86894796348233,21.125075072276054,122.33616261360918,97.4,99.2,-1.76,62.8,93.0,108.5,-15.5,98.2,97.7,0.5,19.261927275534926,122.91210041435042,0,93.63548161245124,101.31965531530034,-7.684173702849094,-2.2466560427199687,90.83216988432096,99.69202904355711,-8.859859159236152,-16.888073011175578,2021-12-05,2.6012038288459536,124.47023411613262,-7.929164829054685,124.47023411613262,22.93,-2.450000000000003,-13.801399176954735,-25.380000000000003,11.351399176954732,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,5.063607681755824,0.8299999999999983,-4.699588477366259,-0.3500000000000014,-4.23,1,-1.0,1,-1,-1,1,-3.0,-3.0
0.5,-12,-9.966666666666663,-14.010928212162783,-15.990229992850164,102.3,91.16666666666669,114.6,101.13333333333333,Thu 12-16 12-16,H,293 (Ⅳ),Tennessee St.,"L, 78-75",70,106.8,51.6,22.8,39.5,20.3,111.0,57.0,17.1,30.3,10.9,9.5,3.5,143.5,94.3,86.30000000000001,91.8549154092364,91.51230181641036,105.88828125,97.1765625,105.8658436213992,107.50253180926056,20211216,92.4,106.6,-14.199999999999989,96.4,105.1,-8.699999999999989,89.7,108.1,-18.38,73.4,0.1546356955285404,141.34036724818748,72.98236130867711,0.040746385056223744,149.03641521489237,7.148315231000869,149.03641521489237,0.040746385056223744,149.03641521489237,7.148315231000869,137.50984205483542,92.7,105.4,-12.72,69.9,92.4,106.6,-14.199999999999989,96.4,105.1,-8.699999999999989,2.734888200589429,139.3425612959321,0,94.442408266038,102.49058797509204,-8.04817970905404,-3.821647115637127,100.8380377637136,99.81032847738574,1.0277092863278625,3.700021836143786,2021-12-16,2.652244056864234,147.27661889091024,3.447228204201295,147.27661889091024,6.379999999999999,3.929999999999996,-10.017599451303159,-2.450000000000003,13.947599451303155,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,4.369071787837216,8.413333333333336,5.063607681755824,0.49125000000000085,-0.3500000000000014,1,1.0,1,1,-1,3,1.0,-3.0
-16.0,-40,-16.400000000000002,-22.840618808108523,-20.44655181233195,82.2,92.1,122.7,108.5,Mon 12-20 12-20,N,281 (Ⅳ),Manhattan,"L, 99-75",83,90.1,49.2,21.6,19.0,29.7,118.9,58.2,19.2,22.6,74.5,35.5,8.0,138.5,88.25,94.3,88.63661027282427,89.81915603160849,114.294140625,105.88828125,111.4772290809328,110.26570784394043,20211220,92.7,106.7,-14.0,96.8,104.9,-8.100000000000009,90.0,109.4,-19.41,74.8,8.858769449480903,146.4024723857243,74.0551920341394,4.573376537511592,151.75311385773833,7.788630578947537,151.75311385773833,4.573376537511592,151.75311385773833,7.788630578947537,152.96669876568427,96.3,103.7,-7.38,69.6,92.7,106.7,-14.0,96.8,104.9,-8.100000000000009,6.7536636802731165,149.87019862537304,0,92.46374020318606,103.7300609858457,-11.266320782659633,-9.282352075211843,101.6911315034168,108.47455371914764,-6.7834222157308375,-11.22791019090433,2021-12-20,3.9235724707566817,155.73068859857557,-1.440786798711855,155.73068859857557,-20.59,-16.660000000000004,-5.368399634202108,3.929999999999996,-11.291600365797896,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3.430618808108523,3.009999999999998,4.369071787837216,-1.8511111111111092,0.49125000000000085,-1,1.0,-1,-1,1,-3,3.0,1.0
-5.5,-16,-23.23333333333333,-20.86041253873902,-19.801724210089777,84.5,89.66666666666667,101.4,112.9,Tue 12-21 12-21,N,313 (Ⅳ),South Carolina St.,"L, 75-65",80,81.7,45.8,22.6,12.8,23.7,94.3,42.3,20.1,28.6,36.9,-10.0,4.5,150.0,86.375,88.25,87.25774018188285,88.8520367531342,107.8470703125,114.294140625,108.11815272062188,108.653760963224,20211221,92.8,106.8,-14.0,92.2,108.2,-16.0,90.0,109.4,-19.41,74.8,2.0758154796430404,152.5263893528092,77.77923186344238,-1.540017013085361,157.87492347876545,15.038182647405588,157.87492347876545,-1.540017013085361,157.87492347876545,15.038182647405588,147.48935958335815,91.3,108.0,-16.67,73.1,92.8,106.8,-14.0,92.2,108.2,-16.0,8.0233905337956,152.8840851510567,0,90.5292471992302,103.30356908707324,-12.774321887843044,-11.418376935378408,98.1706507691462,99.11692123294752,-0.9462704638013122,-4.036592868989261,2021-12-21,9.275017122988743,151.73421572631128,5.741494944655457,151.73421572631128,3.41,-13.250000000000004,-9.132266422801408,-16.660000000000004,-4.117733577198596,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,-1.4504125387390197,-3.8233333333333306,-3.430618808108523,-1.3249999999999993,-1.8511111111111092,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
