ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
10.5,13,,13.799999999999995,13.799999999999995,88.5,0.0,74.7,0.0,Tue 11-09 11-09,H,321 (Ⅳ),Evansville,"W, 65-43",68,95.8,51.8,13.3,17.6,30.9,63.4,32.4,22.1,14.6,25.9,-26.5,-11.5,134.5,88.5,0.0,88.5,88.5,74.7,0.0,74.7,74.7,20211109,102.1,94.4,7.699999999999989,104.4,107.0,-2.5999999999999943,100.6,93.8,6.75,71.5,-9.474587748906394,130.92893179911104,67.53342816500712,-11.425561819837426,144.00735800310719,-20.2610105105349,144.00735800310719,-11.425561819837426,144.00735800310719,-20.2610105105349,89.558182342639,99.1,101.0,-1.84,66.4,102.1,94.4,7.699999999999989,104.4,107.0,-2.5999999999999943,-20.2610105105349,89.558182342639,0,92.23354489811696,103.9329148775872,-11.699369979470234,-7.302147757248018,101.50797783606755,91.7078051600154,9.800172676052156,5.530728231607715,2021-11-09,10.790857558646238,131.1360333919414,6.7922933034780115,131.1360333919414,6.25,6.25,0.0,0.0,6.25,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.8632938299430262,0.15204531455230152,7.049999999999995,,0.0,6.25,0.0,1,0.0,1,1,1,3,0.0,0.0
-5.5,4,,10.7,12.109090909090906,99.1,0.0,94.6,0.0,Sat 11-13 11-13,H,190 (Ⅳ),Georgia,"W, 73-68",69,105.7,42.9,10.1,39.5,28.6,98.4,54.6,18.8,17.9,25.9,5.5,-10.5,135.5,93.8,88.5,92.03333333333332,90.42727272727272,84.65,74.7,81.33333333333334,78.31818181818181,20211113,98.4,89.5,8.900000000000006,95.7,100.3,-4.599999999999994,100.6,93.8,6.81,71.5,-8.765906637753531,139.33526978540033,72.8221906116643,-13.555818561382559,137.54481818642662,-14.212421491734107,137.54481818642662,-13.555818561382559,137.54481818642662,-14.212421491734107,99.987221362144,98.8,98.8,-0.0,71.6,98.4,89.5,8.900000000000006,95.7,100.3,-4.599999999999994,-14.212421491734107,99.987221362144,0,98.27774981596237,96.0033026100381,2.274447205924261,1.1498648168242145,102.11978909630513,96.2097434662725,5.910045630032627,0.8130951980922336,2021-11-13,-1.4192165950465494,143.3394332856442,-2.304276937573505,143.3394332856442,-2.8099999999999996,3.4400000000000004,6.25,6.25,-2.8099999999999996,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,3,0.8413447460685429,0.5537586916681007,3.8899999999999997,,7.049999999999995,1.7200000000000006,6.25,1,1.0,-1,1,1,1,3.0,0.0
0.0,6,8.200000000000003,9.233333333333338,11.05289256198347,119.4,102.33333333333331,113.1,94.13333333333333,Tue 11-16 11-16,H,332 (Ⅳ),Alabama A&M,"W, 89-66",73,122.0,56.6,16.5,38.2,41.0,90.5,39.5,16.5,25.6,33.9,23.5,-23.0,131.5,106.6,93.8,101.15555555555557,95.69504132231404,98.875,84.65,91.92222222222225,84.64214876033057,20211116,99.0,90.7,8.299999999999997,89.6,101.7,-12.100000000000009,100.7,94.3,6.41,70.8,-18.745665680144235,131.02792548653804,70.0950213371266,-17.58559773220518,130.93998538923654,-20.460154222895042,130.93998538923654,-17.58559773220518,130.93998538923654,-20.460154222895042,122.68040703208723,87.8,103.7,-15.86,69.6,99.0,90.7,8.299999999999997,89.6,101.7,-12.100000000000009,-20.467460611398344,122.62260125337741,0,98.0359816715513,98.26146286817465,-0.22548119662334898,-1.331559711961364,100.89209513028308,107.20758518611346,-6.315490055830381,-1.692016486270112,2021-11-16,-8.381566682429252,146.6628510359456,-2.1856515809642474,146.6628510359456,-0.41000000000000014,3.0300000000000002,5.3133333333333335,3.4400000000000004,-2.283333333333333,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.9857551401446322,0.7876356752026258,2.8233333333333377,1.7900000000000027,3.8899999999999997,1.0100000000000007,1.7200000000000006,1,1.0,-1,1,1,1,1.0,3.0
18.0,29,13.4,15.955555555555556,14.388730277986474,106.6,108.36666666666667,77.2,94.96666666666664,Thu 11-18 11-18,H,275 (Ⅳ),Presbyterian,"W, 79-45",69,115.2,53.3,13.1,30.0,26.2,65.6,30.8,24.8,23.1,34.6,-7.0,-16.0,131.0,106.6,106.6,102.9703703703704,97.6777610818933,88.0375,98.875,87.01481481481483,83.28903080390683,20211118,99.7,91.3,8.400000000000006,93.4,101.1,-7.699999999999989,101.2,94.6,6.59,71.3,-12.625878466736246,128.62991162058356,67.14167852062589,-14.265564019564017,128.3365869396171,-8.37797881081631,128.3365869396171,-14.265564019564017,128.3365869396171,-8.37797881081631,120.1021244114554,94.4,101.6,-7.23,66.2,99.7,91.3,8.400000000000006,93.4,101.1,-7.699999999999989,-8.090880771481437,120.13639281447023,0,101.37628479434042,93.73824036151596,7.638044432824458,10.010065207926356,88.91829316074767,93.47887944741166,-4.560586286663991,1.1889915189265787,2021-11-18,-11.285884769115782,122.78350463386916,-7.907853222221675,122.78350463386916,22.41,25.44,4.552222222222222,3.0300000000000002,20.887777777777778,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.9362218501099964,0.8587781968370773,9.365555555555556,6.8100000000000005,2.8233333333333377,6.36,1.0100000000000007,1,1.0,1,1,1,3,1.0,1.0
30.0,35,23.76666666666667,22.503703703703707,18.245324772898023,110.7,112.23333333333332,75.1,88.46666666666665,Mon 11-22 11-22,N,17 (I-A),Illinois,"W, 71-51",66,107.2,46.6,16.6,37.1,34.5,77.0,30.7,21.1,34.1,36.8,-15.5,10.0,137.5,108.65,106.6,105.54691358024692,100.0454408851854,81.56875,88.0375,83.04320987654322,81.8001161122874,20211122,100.2,90.5,9.700000000000005,109.4,87.2,22.200000000000003,102.0,94.2,7.75,70.5,11.891870130145868,137.47001870448614,72.10455192034141,8.577399111129978,137.4299515749843,8.255881239966458,137.4299515749843,8.577399111129978,137.4299515749843,8.255881239966458,126.00715240612898,110.5,85.8,24.66,71.9,100.2,90.5,9.700000000000005,109.4,87.2,22.200000000000003,8.175089603376577,125.90226243819497,0,106.3130365222124,90.84487066277087,15.468165859441527,20.69868904158264,93.29076249793415,95.0219894407133,-1.731226942779145,11.657312731263271,2021-11-22,-11.997482571831561,136.97959857695355,-6.519243875987684,136.97959857695355,27.25,52.69,11.514814814814816,25.44,41.175185185185185,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.17045190796406517,0.8734012584683358,14.753703703703707,16.01666666666667,9.365555555555556,10.537999999999998,6.36,1,1.0,1,1,1,3,3.0,1.0
-1.0,13,26.2,19.535802469135803,17.400720268734744,103.8,107.03333333333336,90.2,80.83333333333333,Tue 11-23 11-23,N,20 (I-A),Arkansas,"L, 73-67",74,90.9,47.5,19.0,17.6,22.0,99.1,37.1,14.9,40.9,48.5,-2.0,5.0,142.0,106.225,108.65,104.96460905349797,100.72808799696988,85.884375,81.56875,85.42880658436215,83.32736772823515,20211123,100.5,90.9,9.599999999999994,107.0,93.7,13.299999999999995,103.2,92.5,10.76,69.6,6.4277242929024965,139.50519636695614,71.67908961593173,2.268656147427876,140.34327008768395,-0.5136953422447925,140.34327008768395,2.268656147427876,140.34327008768395,-0.5136953422447925,141.451081315293,110.6,90.4,20.18,72.4,100.5,90.9,9.599999999999994,107.0,93.7,13.299999999999995,-0.37371529508893647,141.25374745498226,0,103.35607701951513,93.02125986511236,10.33481715440277,14.897765418202628,103.76401343597558,97.83428786241822,5.929725573557363,6.340424924152433,2021-11-23,-3.368776104731083,144.895079567692,-6.133823761470666,144.895079567692,2.24,54.93,25.239876543209878,52.69,29.690123456790122,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,-3,0.31696934194067294,0.6258325934282228,8.775802469135803,15.44,14.753703703703707,9.155000000000001,10.537999999999998,1,1.0,1,1,1,3,3.0,3.0
-13.0,-4,15.066666666666668,11.69053497942387,13.509680219873882,93.9,102.8,97.9,87.73333333333333,Sat 11-27 11-27,H,181 (Ⅲ),Monmouth,"L, 61-59",63,93.4,41.0,7.9,30.2,32.8,96.6,52.8,23.8,25.8,15.1,-21.5,-11.0,141.5,100.0625,106.225,101.2764060356653,99.48661745206626,91.8921875,85.884375,89.58587105624144,85.97693723219238,20211127,101.9,90.1,11.800000000000011,102.5,100.8,1.7000000000000028,103.5,92.6,10.92,69.3,-12.455660330878153,138.51560709393883,71.07439544807966,-11.507673405927704,142.07413997050782,-10.723094066682277,142.07413997050782,-11.507673405927704,142.07413997050782,-10.723094066682277,143.4876285616535,99.0,100.3,-1.28,72.1,101.9,90.1,11.800000000000011,102.5,100.8,1.7000000000000028,-10.293743037180251,139.2211910192753,0,101.3787824008652,91.67557230736698,9.703210093498228,12.717082006449576,107.9362580946624,95.88352100331552,12.052737091346884,8.834187492533719,2021-11-27,-2.724046251181406,142.61962287255818,-4.964270957307619,142.61962287255818,-14.92,40.01,35.13658436213992,54.93,4.873415637860077,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.8525929209684728,0.6023494054823821,0.7705349794238696,4.146666666666668,8.775802469135803,5.715714285714284,9.155000000000001,1,1.0,1,1,1,3,3.0,3.0
-2.5,-3,2.066666666666663,6.660356652949245,10.435192907169538,91.5,96.40000000000002,94.9,94.33333333333331,Wed 12-01 12-01,A,263 (Ⅳ),Miami OH,"W, 59-58",60,98.4,43.2,16.7,46.8,15.2,96.7,43.1,15.0,29.7,19.0,-20.0,-3.5,137.0,95.78125,100.0625,98.01760402377688,98.0345051880542,93.39609375,91.8921875,91.35724737082764,87.59931228088467,20211201,101.9,90.7,11.200000000000005,107.8,102.7,5.099999999999994,103.6,93.7,9.89,68.3,0.015388898414215646,135.27310362845665,65.5796586059744,-0.8137281037116253,136.0153449660085,-5.883403596476393,136.0153449660085,-0.8137281037116253,136.0153449660085,-5.883403596476393,142.8436089415875,107.6,102.9,4.67,67.5,101.9,90.7,11.200000000000005,107.8,102.7,5.099999999999994,-4.369604447126147,138.98731152120806,0,100.53031379192451,90.7709816915708,9.759332100353717,12.537445989553508,106.57911629159598,102.31535304999504,4.263763241600941,9.03595950833043,2021-12-01,-0.35464858863237225,134.12965631417921,-0.26196372010042523,134.12965631417921,-12.89,27.119999999999997,36.761056241426616,40.01,-9.641056241426618,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,3,0.6305586598182363,0.5134721352276506,-3.2296433470507555,-7.823333333333338,0.7705349794238696,3.3900000000000006,5.715714285714284,-1,1.0,-1,1,1,-1,3.0,3.0
0.0,10,1.1666666666666667,8.073571101966166,10.519703287684168,96.0,93.8,85.1,92.63333333333334,Sun 12-05 12-05,H,184 (Ⅳ),Bryant,"W, 73-58",71,102.3,49.1,16.8,33.3,46.6,81.3,36.4,22.4,34.1,42.4,-11.5,-15.0,142.5,95.890625,95.78125,97.3450693491846,97.66459515386254,89.248046875,93.39609375,89.27149824721843,87.14489186617836,20211205,101.7,90.4,11.299999999999995,100.0,105.2,-5.200000000000003,103.3,93.0,10.3,67.3,-15.176833531964014,136.58086959478246,68.6402560455192,-15.546849524124447,139.09562888184055,-20.51087305776993,139.09562888184055,-15.546849524124447,139.09562888184055,-20.51087305776993,125.84401617544256,98.3,104.6,-6.21,71.7,101.7,90.4,11.299999999999995,100.0,105.2,-5.200000000000003,-19.305761459985423,132.28537998998928,0,100.75762347586404,90.62570230485235,10.131921171011683,11.913982943761038,92.25293605585786,103.0939301370011,-10.840994081143236,-9.192428583589392,2021-12-05,-17.940187366663686,132.20213188885606,-16.435575230006215,132.20213188885606,-0.3000000000000007,26.819999999999997,33.54737082761774,27.119999999999997,-6.727370827617744,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9234362744901652,0.9562364714717881,-2.2264288980338343,-9.133333333333335,-3.2296433470507555,2.9799999999999986,3.3900000000000006,-1,-1.0,-1,1,1,-1,-1.0,3.0
-13.5,-13,-1.8666666666666647,1.0157140679774468,6.225211780832501,102.7,96.73333333333332,115.8,98.59999999999998,Sat 12-11 12-11,A,66 (I-A),Xavier,"L, 83-63",66,95.7,43.2,16.7,30.8,28.8,126.0,50.9,13.7,46.7,64.8,12.5,6.5,133.5,99.2953125,95.890625,99.13004623278974,98.5801233077057,102.5240234375,89.248046875,98.11433216481228,92.3549115268732,20211211,101.5,90.0,11.5,108.0,90.4,17.599999999999994,103.4,92.7,10.72,67.3,8.396048407351813,134.02085291968547,68.25732574679944,7.505184661144938,132.22741009916675,10.853648744160694,132.22741009916675,7.505184661144938,132.22741009916675,10.853648744160694,122.88144216028776,110.0,92.0,17.97,71.3,101.5,90.0,11.5,108.0,90.4,17.599999999999994,9.893620471651783,122.74426907458789,0,101.48148003661746,93.06360440860992,8.417875628007536,11.030881913105862,104.33891409736272,86.83110701128962,17.5078070860731,25.28866758789711,2021-12-11,9.907300730846671,129.68377058584372,11.990258878210525,129.68377058584372,-23.72,3.099999999999998,31.304913885078495,26.819999999999997,-28.204913885078497,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.26794249453351904,0.17269920018798923,-9.704285932022554,-12.586666666666666,-2.2264288980338343,0.3099999999999987,2.9799999999999986,-1,-1.0,-1,1,1,-1,-1.0,-1.0
