ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
17.0,22,,22.099999999999994,22.099999999999994,128.7,0.0,106.6,0.0,Tue 11-09 11-09,H,164 (Ⅲ),Oral Roberts,"W, 109-80",76,143.5,66.4,6.6,25.0,19.2,105.3,47.4,6.6,24.5,11.5,34.5,-12.0,154.5,128.7,0.0,128.7,128.7,106.6,0.0,106.6,106.6,20211109,109.6,97.2,12.399999999999991,106.0,106.3,-0.2999999999999971,109.0,95.6,13.43,72.0,-15.293485183275777,159.00684804846097,75.07254623044098,-15.04829660304057,168.68309713731105,-32.129625418850026,168.68309713731105,-15.04829660304057,168.68309713731105,-32.129625418850026,212.81665177491638,103.5,104.1,-0.54,73.3,109.6,97.2,12.399999999999991,106.0,106.3,-0.2999999999999971,-32.129625418850026,212.81665177491638,0,95.5186329067623,100.56471676327632,-5.0460838565140165,-1.4821949676251238,95.93259170101018,108.208875025302,-12.276283324291825,-7.379061102069708,2021-11-09,-9.572333446402283,153.42876492957032,-6.435825661547199,153.42876492957032,8.57,8.57,0.0,0.0,8.57,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.8734510455264423,0.8190237155007711,8.669999999999995,,0.0,8.57,0.0,1,0.0,1,1,1,3,0.0,0.0
-13.0,2,,15.466666666666663,18.481818181818177,106.3,0.0,104.1,0.0,Fri 11-12 11-12,H,352 (Ⅳ),Arkansas Pine Bluff,"W, 91-71",74,123.2,63.2,20.3,36.0,36.8,96.1,45.7,14.9,22.7,14.5,15.0,-33.0,147.0,117.5,128.7,121.23333333333332,124.62727272727273,105.35,106.6,105.76666666666668,106.14545454545453,20211112,108.6,95.5,13.099999999999994,88.4,109.7,-21.3,108.5,95.0,13.43,72.0,-34.315182301974744,146.18905066360443,74.0483641536273,-30.58474305281463,154.79666362987086,-17.066320240762764,154.79666362987086,-30.58474305281463,154.79666362987086,-17.066320240762764,195.28831213085274,82.2,109.8,-27.63,72.3,108.6,95.5,13.099999999999994,88.4,109.7,-21.3,-17.066320240762764,195.28831213085274,0,99.81476990759704,98.73111344346592,1.0836564641311242,7.880916607500741,114.12967381497458,100.06353968437476,14.06613413059982,4.332577361353445,2021-11-12,5.186531705889848,160.60420111446442,-4.827455857553929,160.60420111446442,-11.43,-2.8599999999999994,8.57,8.57,-11.43,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9991634626389239,0.3106688387252139,2.0366666666666635,,8.669999999999995,-1.4299999999999997,8.57,1,1.0,-1,-1,1,-1,3.0,0.0
-7.5,10,11.733333333333334,13.944444444444446,17.103305785123965,95.4,110.13333333333333,84.5,98.4,Fri 11-19 11-19,N,94 (Ⅱ),Bradley,"W, 66-60",72,91.9,46.1,16.7,17.2,49.0,83.6,43.8,19.5,27.3,15.6,-16.0,-13.5,142.0,106.45,117.5,112.62222222222222,119.31322314049584,94.925,105.35,98.6777777777778,102.20991735537189,20211119,108.6,96.0,12.599999999999994,96.4,100.3,-3.899999999999992,108.6,95.9,12.72,71.6,-11.197175295641273,142.0702009180272,70.98890469416786,-11.897409342476777,146.31900528311502,-25.58699731249097,146.31900528311502,-11.897409342476777,146.31900528311502,-25.58699731249097,151.5177626756382,96.6,99.9,-3.28,69.7,108.6,96.0,12.599999999999994,96.4,100.3,-3.899999999999992,-25.763353261338818,151.62450457356405,0,103.14790315470891,100.82911503899092,2.318788115717993,2.249886810571387,86.62790285860768,95.2111787050816,-8.58327584647391,-12.11522524976524,2021-11-19,-7.888747269852892,134.7603822809185,-10.197635709722789,134.7603822809185,-2.7200000000000006,-5.58,4.760000000000001,-2.8599999999999994,-10.34,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,0.900728603156669,0.7737667223358407,1.2244444444444458,-0.9866666666666664,2.0366666666666635,-1.8599999999999994,-1.4299999999999997,1,1.0,-1,-1,-1,-1,-1.0,3.0
10.5,30,14.5,19.42962962962963,19.52088655146506,144.1,115.26666666666668,113.7,100.76666666666668,Sun 11-21 11-21,N,73 (Ⅱ),Creighton,"W, 95-81",71,133.3,68.2,12.6,17.6,12.1,113.7,60.8,18.2,31.0,20.0,30.0,-3.5,146.0,125.275,106.45,123.11481481481482,123.81990984222388,104.3125,94.925,103.68518518518522,104.2990232907588,20211121,107.1,95.3,11.799999999999995,101.2,92.4,8.799999999999997,107.6,95.5,12.13,71.7,1.0851611795928022,142.8741904604998,72.2099573257468,-1.8584240855466732,144.2877860823903,-2.166817287856986,144.2877860823903,-1.8584240855466732,144.2877860823903,-2.166817287856986,138.23083373336704,104.9,91.7,13.14,70.8,107.1,95.3,11.799999999999995,101.2,92.4,8.799999999999997,-2.1223683372565314,137.94686820551482,0,109.41946312633183,105.82254188829496,3.5969212380368702,2.250498511323185,96.83581736956626,94.74481723606876,2.091000133497502,-3.2732607396961213,2021-11-21,-0.8825055220895308,152.21783536123237,-3.9887041979380484,152.21783536123237,17.869999999999997,12.289999999999997,1.3133333333333344,-5.58,10.976666666666663,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,-3,0.6305586598182363,0.5334909234937554,7.29962962962963,2.369999999999999,1.2244444444444458,3.0725,-1.8599999999999994,1,1.0,1,1,-1,3,-1.0,-1.0
1.5,-2,12.966666666666663,12.153086419753086,15.535270814835048,99.5,113.0,101.9,100.03333333333336,Mon 11-22 11-22,N,241 (Ⅳ),Northeastern,"W, 71-61",66,106.8,50.0,13.5,17.2,54.0,91.8,45.5,18.1,25.7,26.8,-2.5,-8.5,134.5,112.3875,125.275,115.24320987654323,119.39810805272862,103.10625,104.3125,103.09012345679017,103.86283723789356,20211122,107.6,96.0,11.599999999999994,97.4,93.2,4.200000000000003,110.2,96.8,13.42,71.2,-7.482178093883363,134.93321650071124,67.85775248933143,-4.712235578862433,134.70187316617478,-7.710020929729724,134.70187316617478,-4.712235578862433,134.70187316617478,-7.710020929729724,136.97904838858227,97.5,95.7,1.87,67.0,107.6,96.0,11.599999999999994,97.4,93.2,4.200000000000003,-7.932101710611659,137.00039092111896,0,107.80584418322243,104.60334059199542,3.202503591227014,1.8621173059363247,93.93563045988594,90.35491812997796,3.580712329907982,-0.9312989751917864,2021-11-22,0.5921749341936646,136.00900535819454,-1.8955495060445884,136.00900535819454,-15.42,-3.1300000000000026,4.972222222222222,12.289999999999997,-8.102222222222224,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.790893043407255,0.4775125293278729,-1.2669135802469143,-0.4533333333333367,7.29962962962963,-0.6259999999999994,3.0725,-1,1.0,-1,-1,1,-3,3.0,-1.0
-4.5,-4,7.86666666666666,6.635390946502056,11.910676121228674,118.5,120.7,122.9,112.83333333333331,Sat 11-27 11-27,H,226 (Ⅳ),Northern Colorado,"W, 88-79",65,135.3,67.6,9.2,9.1,43.1,121.4,62.5,13.8,20.6,25.0,20.5,-13.5,146.5,115.44375,112.3875,116.32880658436216,119.23481567950525,113.003125,103.10625,109.69341563786011,107.32413955827654,20211127,110.5,98.2,12.299999999999995,99.6,101.6,-2.0,110.9,97.2,13.65,70.4,-15.282286744979316,146.60495924956416,68.59743954480797,-14.292110883290277,147.88321528089983,-13.904945653690698,147.88321528089983,-14.292110883290277,147.88321528089983,-13.904945653690698,153.08547131137504,101.8,104.0,-2.22,68.5,110.5,98.2,12.299999999999995,99.6,101.6,-2.0,-13.90948768170017,153.34628112796875,0,110.83061947164651,107.1617244064331,3.6688950652134196,0.9321483574964508,102.43348862280789,100.32391631898378,2.109572303824109,0.8639955518503191,2021-11-27,-5.343810738276858,155.27375218799492,-1.984728909158747,155.27375218799492,-17.65,-20.78,2.271481481481481,-3.1300000000000026,-23.05148148148148,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.900728603156669,0.6946008812887889,-7.014609053497944,-5.78333333333334,-1.2669135802469143,-3.4633333333333347,-0.6259999999999994,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
10.5,24,5.799999999999997,12.490260631001371,14.145098644641642,111.3,109.76666666666668,87.1,103.96666666666668,Wed 12-01 12-01,H,326 (Ⅳ),Little Rock,"W, 86-55",70,122.1,62.7,12.8,15.4,20.3,78.1,41.3,25.6,17.6,28.8,-7.5,-20.5,148.5,113.371875,115.44375,114.65253772290812,117.79212191959516,100.0515625,113.003125,102.16227709190674,103.64702327495354,20211201,112.7,101.5,11.200000000000005,92.2,103.8,-11.599999999999994,112.8,99.5,13.34,70.0,-22.134570123406036,150.7410090189884,70.99573257467993,-21.281359723544796,153.445062785495,-16.712700656400784,153.445062785495,-21.281359723544796,153.445062785495,-16.712700656400784,149.8438226992129,94.1,105.5,-11.43,71.3,112.7,101.5,11.200000000000005,92.2,103.8,-11.599999999999994,-18.631247051120283,151.9860726111225,0,110.62699165316288,105.21994456220874,5.407047090954137,2.969588643680432,88.26048506011198,102.64413289513526,-14.383647835023282,-8.870186599434092,2021-12-01,-19.22459921299418,150.37801737045146,-10.33496726270615,150.37801737045146,10.66,-10.120000000000001,-5.412345679012346,-20.78,-4.707654320987655,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.9745535036187463,0.9664433255476609,-0.8497393689986286,-7.540000000000003,-7.014609053497944,-1.4457142857142866,-3.4633333333333347,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
11.5,41,20.433333333333334,22.160173754000915,19.11871707288861,123.5,117.76666666666668,82.0,97.33333333333331,Sat 12-04 12-04,H,18 (I),Saint Mary's,"W, 74-58",67,110.2,61.3,16.4,8.0,24.5,86.4,45.1,22.3,24.1,29.4,-5.0,-4.5,137.0,118.4359375,113.371875,117.60169181527208,118.82991793421422,91.02578125,100.0515625,95.44151806127115,99.7112008613256,20211204,113.2,100.9,12.299999999999995,102.5,89.1,13.400000000000006,112.9,98.9,13.96,69.7,-1.033782077384629,132.02285375751188,64.6435277382646,-2.094225834175546,135.443536060422,1.0964856419730848,135.443536060422,-2.094225834175546,135.443536060422,1.0964856419730848,129.65260178125664,105.9,89.1,16.82,65.2,113.2,100.9,12.299999999999995,102.5,89.1,13.400000000000006,-1.0363562401205766,132.8516813196524,0,112.98339617469996,101.97942863138633,11.003967543313635,10.866323422044893,97.80125220741252,91.61546982298708,6.185782384425437,7.642632555585957,2021-12-04,-6.276280900212015,134.87384186896315,-4.061434065407184,134.87384186896315,27.04,16.919999999999998,-6.981563786008231,-10.120000000000001,23.90156378600823,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,3,0.6658824291023754,0.7249936308588634,8.200173754000915,6.473333333333333,-0.8497393689986286,2.115,-1.4457142857142866,1,-1.0,1,1,-1,3,-3.0,-3.0
3.0,12,26.0,18.873449169333945,17.87895033236341,106.0,113.6,93.7,87.60000000000001,Sat 12-11 12-11,N,53 (Ⅱ),Mississippi St.,"W, 66-63",64,102.3,57.5,23.3,25.0,11.3,97.7,39.5,14.0,33.3,24.2,-14.0,0.0,143.0,112.21796875,118.4359375,113.7344612101814,116.4972055825389,92.362890625,91.02578125,94.86101204084746,98.61825525017548,20211211,114.4,100.2,14.200000000000005,108.4,96.0,12.400000000000006,113.9,98.5,15.43,69.6,-0.8244247892826024,142.10209583660645,65.34281650071124,-0.808917891339874,146.3723254792892,-9.908398424879298,146.3723254792892,-0.808917891339874,146.3723254792892,-9.908398424879298,148.39130383091313,110.3,96.5,13.79,66.0,114.4,100.2,14.200000000000005,108.4,96.0,12.400000000000006,-1.8131609305212164,144.20968638788642,0,112.86756505857014,99.63701794897412,13.230547109596017,13.620141473918968,106.68448741664491,93.79239247868314,12.892094937961772,13.585361532875094,2021-12-11,0.292188938858601,142.162649950564,-0.022726193055348176,142.162649950564,-3.4299999999999997,13.489999999999998,0.9856241426611776,16.919999999999998,12.504375857338822,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,-3,0.5,0.48889985913910694,3.4434491693339453,10.57,8.200173754000915,1.4988888888888887,2.115,1,1.0,1,1,1,3,3.0,-3.0
-12.5,0,18.03333333333333,12.68229944622263,14.68277754466097,108.2,112.56666666666666,107.9,94.53333333333336,Tue 1-04 1-04,H,250 (Ⅳ),Air Force,"W, 67-59",59,112.7,46.5,10.1,36.4,33.3,99.3,63.6,23.6,8.7,13.6,-5.5,-20.5,131.5,110.208984375,112.21796875,111.8896408067876,114.98862274935,100.1314453125,92.362890625,99.20734136056498,100.30584520468904,20220104,114.0,98.9,15.099999999999994,91.3,98.7,-7.400000000000006,113.4,97.2,16.22,69.2,-19.573241199684226,129.72530455946264,63.39231863442391,-18.157227561099376,132.39548489392797,-17.23081615518616,132.39548489392797,-18.157227561099376,132.39548489392797,-17.23081615518616,120.28655488411123,92.4,101.5,-9.17,64.4,114.0,98.9,15.099999999999994,91.3,98.7,-7.400000000000006,-16.72356492294625,129.15855762429825,0,112.80626177683747,100.8911105976772,11.915151179160276,10.277494566679488,94.02242229019792,97.69434590624562,-3.6719236160476925,0.6923895215801028,2022-01-04,-13.722573586991231,133.73572465350333,-7.9485621476483175,133.73572465350333,-16.22,-2.7300000000000004,5.1537494284407845,13.489999999999998,-7.883749428440785,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,3,0.9745535036187463,0.9043786609088218,-3.537700553777368,1.8133333333333326,3.4434491693339453,-0.2729999999999997,1.4988888888888887,-1,1.0,-1,-1,1,-3,3.0,3.0
