ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-8.0,1,,1.5,1.5,119.2,0.0,117.7,0.0,Tue 11-09 11-09,H,143 (Ⅲ),Montana St.,"W, 94-90 OT",78,121.1,58.8,20.6,43.3,64.9,116.0,56.5,18.0,32.4,20.3,44.0,-12.0,140.0,119.2,0.0,119.2,119.2,117.7,0.0,117.7,117.7,20211109,104.1,94.7,9.399999999999991,101.7,104.9,-3.200000000000003,108.3,92.5,15.76,69.8,-15.10673017887369,143.22963669545504,70.39573257467995,-13.433067104364241,148.329871855262,3.3353764838373507,148.329871855262,-13.433067104364241,148.329871855262,3.3353764838373507,199.92831706101427,101.7,101.5,0.12,70.9,104.1,94.7,9.399999999999991,101.7,104.9,-3.200000000000003,3.3353764838373507,199.92831706101427,0,98.75076516210947,97.33382718323897,1.4169379788705072,-1.3525064655739023,92.50518379114564,96.45628171771304,-3.9510979265673996,-11.053875704345057,2021-11-09,-7.492869298277242,133.60608552047057,-8.678160566895258,133.60608552047057,-14.76,-14.76,0.0,0.0,-14.76,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,3,0.8734510455264423,0.7622647623234622,-14.26,,0.0,-14.76,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-3.0,8,,3.699999999999998,2.699999999999999,107.8,0.0,99.7,0.0,Sat 11-13 11-13,H,154 (Ⅳ),New Mexico,"W, 87-76",77,113.6,55.3,23.5,44.1,57.9,99.3,46.8,17.0,20.0,35.5,15.5,-14.0,147.5,113.5,119.2,115.4,117.12727272727273,108.7,117.7,111.70000000000002,114.42727272727272,20211113,102.0,93.6,8.400000000000006,97.8,102.3,-4.5,108.3,92.5,15.76,69.6,-21.887929483707865,143.62369462422004,71.67908961593172,-13.410723483716154,143.90056941637692,0.563745514058084,143.90056941637692,-13.410723483716154,143.90056941637692,0.563745514058084,204.93654374987497,94.9,104.2,-9.26,72.4,102.0,93.6,8.400000000000006,97.8,102.3,-4.5,0.563745514058084,204.93654374987497,0,97.16243628242182,97.72882653190364,-0.5663902494818132,3.5406229307480865,93.68096624073054,113.01955138989156,-19.33858514916102,-9.243228826667456,2021-11-13,-17.522473602949518,148.03015088823327,-11.11313700294373,148.03015088823327,-7.76,-22.52,-14.76,-14.76,-7.76,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,-3,0.9087887802741321,0.9524221834679499,-12.060000000000002,,-14.26,-11.26,-14.76,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
19.5,19,9.633333333333333,8.899999999999997,5.718181818181817,105.8,110.93333333333334,86.5,101.3,Mon 11-15 11-15,H,353 (Ⅳ),Maine,"W, 90-46",69,130.1,60.5,14.5,38.7,52.6,66.5,37.8,24.6,10.8,30.6,4.5,-24.5,131.5,109.65,113.5,112.20000000000002,115.06776859504131,97.6,108.7,103.3,109.3495867768595,20211115,102.9,95.0,7.900000000000006,91.0,101.6,-10.599999999999994,108.0,93.1,14.92,70.4,-25.039500355883888,131.02197220905103,68.49729729729731,-16.447858478588934,134.35910452472584,-26.391441945783328,134.35910452472584,-16.447858478588934,134.35910452472584,-26.391441945783328,138.63329759378144,85.9,103.1,-17.19,68.4,102.9,95.0,7.900000000000006,91.0,101.6,-10.599999999999994,-26.36138955864408,138.68325198132112,0,97.96640578194751,98.96931381075288,-1.002908028805365,3.359613493720335,94.71182992838746,95.73910441592264,-1.0272744875351805,-3.127944797637018,2021-11-15,-3.7228893446730353,131.5712071651325,-6.363948029627835,131.5712071651325,4.08,-18.439999999999998,-17.346666666666668,-22.52,-1.0933333333333302,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.9901846713713547,0.638540709922379,-6.020000000000003,-5.286666666666667,-12.060000000000002,-6.146666666666665,-11.26,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-11.0,0,8.833333333333329,5.63333333333333,4.514876033057849,110.1,107.9,111.0,99.06666666666668,Fri 11-19 11-19,N,123 (Ⅲ),Southern Illinois,"L, 67-63",60,104.4,54.0,18.2,26.9,30.0,111.0,57.1,18.2,28.6,32.7,-3.5,-7.0,133.5,109.875,109.65,111.50000000000004,114.16453794139744,104.3,97.6,105.86666666666667,109.64966190833958,20211119,103.2,94.2,9.0,99.2,96.4,2.799999999999997,108.1,92.6,15.55,70.3,-8.13529830845772,134.13634865671642,67.9,-4.199842388059707,134.18796895522388,-8.169406870159206,134.18796895522388,-4.199842388059707,134.18796895522388,-8.169406870159206,142.85141769573136,100.7,97.4,3.32,67.9,103.2,94.2,9.0,99.2,96.4,2.799999999999997,-8.062607703343286,142.90556300017914,0,103.99787390860888,100.62003262040804,3.377841288200841,0.4324386681415044,101.77258059529002,98.88095265622414,2.8916279390658843,3.092855092880535,2021-11-19,-0.29941172531154336,142.7474098382164,1.8064227523978076,142.7474098382164,-15.55,-33.989999999999995,-17.711111111111112,-18.439999999999998,-16.278888888888883,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.7475074624530771,0.5113744581613056,-9.916666666666671,-6.716666666666672,-6.020000000000003,-8.4975,-6.146666666666665,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-1.5,-7,3.5333333333333266,1.15555555555555,2.275807663410965,103.6,106.5,111.4,102.96666666666664,Sat 11-20 11-20,N,287 (Ⅳ),Duquesne,"W, 84-76 OT",74,113.1,43.4,14.8,45.8,30.3,102.3,50.0,20.2,38.1,20.9,27.5,-9.5,132.5,106.7375,109.875,108.86666666666667,112.24371286114334,107.85,104.3,107.71111111111114,109.9679051977324,20211120,103.3,94.3,9.0,93.6,97.3,-3.700000000000003,108.1,93.7,14.35,69.1,-11.751042239725976,131.54593157682427,67.62560455192033,-8.484001153266384,130.78231081802932,-13.495304451620248,130.78231081802932,-8.484001153266384,130.78231081802932,-13.495304451620248,139.81708874205947,95.0,98.5,-3.47,68.8,103.3,94.3,9.0,93.6,97.3,-3.700000000000003,-13.169557290897432,139.85793715746797,0,105.21826054945994,102.48834852931716,2.729912020142777,0.8885518404409654,93.2073007121479,101.4956449620252,-8.288344249877298,-11.897966042724937,2021-11-20,-7.804530735213987,140.1647076845614,-8.646960019630356,140.1647076845614,-21.35,-55.339999999999996,-23.13740740740741,-33.989999999999995,-32.20259259259259,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.817204231217584,0.7713465265523636,-13.19444444444445,-10.816666666666674,-9.916666666666671,-11.068000000000001,-8.4975,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-9.5,-4,-4.433333333333337,-0.7629629629629646,1.025660815518063,78.4,97.36666666666666,83.0,101.8,Mon 11-22 11-22,N,233 (Ⅳ),Brown,"W, 54-52",66,81.3,41.1,24.1,15.6,46.7,78.3,34.0,13.5,15.0,43.4,-29.5,-11.5,135.5,92.56875,106.7375,98.71111111111114,106.09031052275364,95.425,107.85,99.47407407407412,105.0646497072356,20211122,104.5,97.1,7.400000000000006,92.6,101.1,-8.5,109.0,95.3,13.72,68.4,-12.6993702622025,134.5965200161355,67.23243243243243,-10.83945672717492,134.72018248218365,-2.1312971953335995,134.72018248218365,-10.83945672717492,134.72018248218365,-2.1312971953335995,153.74807511269384,95.6,101.0,-5.42,69.1,104.5,97.1,7.400000000000006,92.6,101.1,-8.5,-2.6112446042952775,153.31973491747962,0,100.71595585416732,99.26068906888624,1.4552667852810828,-2.0585247077778352,97.08935008231742,100.51292398621126,-3.423573903893839,-1.8682065904812168,2021-11-22,-3.348641349793084,136.12550445450103,0.12795549961811048,136.12550445450103,-17.72,-73.06,-33.8716049382716,-55.339999999999996,-39.1883950617284,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.8632938299430262,0.6251057376199423,-14.482962962962965,-18.153333333333336,-13.19444444444445,-12.176666666666666,-11.068000000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
0.0,6,-1.9666666666666688,1.6580246913580234,2.0209952126965973,123.5,101.83333333333331,117.0,103.8,Sun 11-28 11-28,H,111 (Ⅲ),Stanford,"W, 80-76",66,121.7,55.5,9.1,26.5,47.3,115.6,59.6,22.8,26.9,28.8,22.5,-4.0,133.5,108.034375,92.56875,106.97407407407412,109.25570860952568,106.2125,95.425,105.31604938271607,107.23471339682912,20211128,103.1,97.4,5.699999999999989,100.5,94.3,6.200000000000003,107.7,95.3,12.37,67.8,-5.855271952351387,131.37755572854138,65.96756756756757,-3.2457105849291423,131.96525976218322,-5.055087776655829,131.96525976218322,-3.2457105849291423,131.96525976218322,-5.055087776655829,130.62184480852204,103.2,94.4,8.83,68.4,103.1,97.4,5.699999999999989,100.5,94.3,6.200000000000003,-4.114488974110166,133.28861515166426,0,103.16123661191848,103.14003302091956,0.02120359099892255,-2.2033827723427475,98.0478441796931,108.35718910249936,-10.309344922806261,-7.126147739405779,2021-11-28,-11.239727949955139,144.21926191374672,-5.0083576969147,144.21926191374672,-6.369999999999999,-79.43,-46.934403292181074,-73.06,-32.49559670781893,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.6483807083005341,0.8577916614327137,-10.711975308641975,-14.336666666666668,-14.482962962962965,-11.34714285714286,-12.176666666666666,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
1.5,4,2.0333333333333363,2.5053497942386835,2.4171779012972165,102.3,101.4,98.1,99.36666666666667,Wed 12-01 12-01,A,10 (I-A),UCLA,"L, 73-61",66,92.0,47.2,18.1,18.8,27.8,110.0,52.6,13.6,30.3,31.0,-5.0,13.5,139.0,105.1671875,108.034375,105.41604938271608,107.99103431688464,102.15625,106.2125,102.9106995884774,105.57385641558744,20211201,105.6,100.0,5.599999999999994,114.9,92.5,22.40000000000001,109.5,97.2,12.21,67.1,11.731861180377429,139.20642938244197,66.05007112375533,15.692559773659525,144.2958258136155,16.538024720187614,144.2958258136155,15.692559773659525,144.2958258136155,16.538024720187614,140.74522121373775,114.9,91.1,23.8,69.2,105.6,100.0,5.599999999999994,114.9,92.5,22.40000000000001,18.41406518378763,144.0420963108282,0,101.71761457376265,102.16559802135214,-0.44798344758949327,-1.98652291997731,109.59035851972062,92.26159150306444,17.328767016656187,19.161863159741664,2021-12-01,16.17193641953564,139.72782713905093,15.976746580863463,139.72782713905093,-8.21,-87.64000000000001,-57.76626886145405,-79.43,-29.873731138545963,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.09927139684333097,0.061757703137366726,-9.704650205761318,-10.176666666666664,-10.711975308641975,-10.955,-11.34714285714286,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-9.5,4,4.933333333333333,3.0368998628257877,2.7231455556068127,93.5,106.43333333333334,89.4,101.5,Sat 12-04 12-04,H,5 (I-A),Tennessee,"L, 69-54",70,77.5,38.2,21.5,26.3,34.5,99.1,52.5,15.8,18.2,14.8,-14.0,5.5,137.0,99.33359375,105.1671875,101.44403292181072,105.3563008047238,95.778125,102.15625,98.40713305898494,102.63315524911698,20211204,105.4,99.9,5.5,109.7,91.7,18.0,109.1,97.1,11.95,66.8,3.013220734629485,136.58517715986233,66.7049786628734,4.899080042871574,140.77359273637643,10.69824707970503,140.77359273637643,4.899080042871574,140.77359273637643,10.69824707970503,138.08990571842887,111.4,89.7,21.7,70.2,105.4,99.9,5.5,109.7,91.7,18.0,6.821235692211176,141.04828001030154,0,101.63010379256798,99.79301831564624,1.837085476921743,-0.4474530708553559,106.72973271484476,90.82641758002792,15.903315134816836,13.271725842953938,2021-12-04,5.905059814591425,135.67156452160756,7.1638739667893105,135.67156452160756,-7.949999999999999,-95.59000000000002,-67.72417924096938,-87.64000000000001,-27.86582075903064,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.30020551430745246,0.28692630672141095,-8.913100137174212,-7.016666666666667,-9.704650205761318,-10.62111111111111,-10.955,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-14.5,3,3.866666666666665,3.1245999085505245,2.828028181860119,90.8,95.53333333333336,87.5,91.66666666666669,Wed 12-08 12-08,H,229 (Ⅳ),Eastern Washington,"W, 60-57",64,94.5,46.4,22.0,37.1,21.4,89.7,46.4,18.9,18.2,12.7,-33.5,-17.5,150.5,95.066796875,99.33359375,97.89602194787383,102.70970065841038,91.6390625,95.778125,94.77142203932333,99.88167247655024,20211208,104.4,99.6,4.800000000000011,99.3,107.5,-8.200000000000003,108.4,97.3,11.06,66.9,-15.219728554002756,148.71327038961186,69.65974395448082,-13.719832349832018,150.84008436507838,-7.526274300688307,150.84008436507838,-13.719832349832018,150.84008436507838,-7.526274300688307,144.14880152697148,101.8,106.1,-4.34,73.2,104.4,99.6,4.800000000000011,99.3,107.5,-8.200000000000003,-12.060079244131792,148.64779884144994,0,100.68193255569858,98.57114696615275,2.110785589545827,-0.5709101661084178,100.7823630831099,99.13542216326218,1.6469409198477223,-4.734551916486857,2021-12-08,-4.310654978738185,142.04027935867344,-4.799114214988222,142.04027935867344,-8.06,-103.65000000000002,-77.01278616064626,-95.59000000000002,-26.637213839353763,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9522096477271853,0.6592945417914825,-7.935400091449476,-7.193333333333335,-8.913100137174212,-10.365,-10.62111111111111,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
