ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-0.5,-24,,-24.0,-24.0,100.4,0.0,124.4,0.0,Tue 11-09 11-09,A,172 (Ⅲ),Fordham,"L, 77-67",68,98.0,55.4,23.4,24.2,17.9,112.6,53.3,14.6,29.7,31.7,7.0,9.5,137.0,100.4,0.0,100.4,100.4,124.4,0.0,124.4,124.4,20211109,90.7,106.9,-16.200000000000003,95.2,99.9,-4.700000000000003,91.2,108.0,-16.87,71.4,10.52354036451478,133.45341709699338,70.58748221906117,11.95221442021468,139.20059726090346,21.574189701716527,139.20059726090346,11.95221442021468,139.20059726090346,21.574189701716527,161.1553955662425,92.3,98.7,-6.37,69.5,90.7,106.9,-16.200000000000003,95.2,99.9,-4.700000000000003,21.574189701716527,161.1553955662425,0,92.62088832180088,105.19378092103544,-12.572892599234564,-8.009003710345683,97.81633739216538,98.66755353602244,-0.8512161438570587,-3.1206605883015017,2021-11-09,12.243906377803839,140.58413199076875,5.317021736903456,140.58413199076875,-7.129999999999999,-7.129999999999999,0.0,0.0,-7.129999999999999,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,-7.129999999999999,,0.0,-7.129999999999999,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-9.0,-24,,-24.16666666666666,-24.090909090909086,104.7,0.0,129.2,0.0,Fri 11-12 11-12,H,185 (Ⅳ),Marist,"L, 82-67",64,105.0,52.7,17.2,26.5,29.1,128.5,71.7,23.5,33.3,41.3,17.5,6.0,131.5,102.55,100.4,101.83333333333334,101.1818181818182,126.8,124.4,126.0,125.27272727272728,20211112,88.6,105.7,-17.10000000000001,94.9,96.3,-1.3999999999999917,90.6,107.5,-16.87,71.3,2.0938629472855155,131.95685793019308,69.98150782361309,7.0139116062680955,132.68078000464885,-2.345534319841377,132.68078000464885,7.0139116062680955,132.68078000464885,-2.345534319841377,147.02756762720713,92.1,100.1,-7.98,69.0,88.6,105.7,-17.10000000000001,94.9,96.3,-1.3999999999999917,-2.345534319841377,147.02756762720713,0,103.13177178276509,105.55804648269384,-2.4262746999287543,-4.841732314867088,0.0,0.0,0.0,0.0,2021-11-12,0.0,0.0,,0.0,-7.129999999999999,-14.259999999999998,-7.129999999999999,-7.129999999999999,-7.129999999999999,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,-7.29666666666666,,-7.129999999999999,-7.129999999999999,-7.129999999999999,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
10.5,-14,-20.899999999999995,-20.844444444444445,-22.29256198347107,105.2,103.43333333333334,119.4,124.33333333333331,Wed 11-17 11-17,H,311 (Ⅳ),Binghamton,"W, 85-77 OT",74,114.4,54.8,17.5,32.4,28.6,103.7,46.3,17.5,34.1,28.4,23.0,2.5,139.0,103.875,102.55,102.95555555555556,101.91239669421488,123.1,126.8,123.8,124.20495867768594,20211117,89.9,107.7,-17.799999999999997,95.0,105.5,-10.5,91.4,109.6,-18.16,69.6,-0.10633961659350177,137.14604341834894,70.0950213371266,1.3999333897121744,141.31267604101959,5.696887570168454,141.31267604101959,1.3999333897121744,141.31267604101959,5.696887570168454,146.0279244509095,92.2,104.7,-12.46,70.8,89.9,107.7,-17.799999999999997,95.0,105.5,-10.5,5.733331991962411,145.99805980962773,0,107.2666765192146,103.97757589870226,3.289100620512343,5.022969156581397,100.0235073505579,94.92241813708584,5.101089213472065,1.330099137739896,2021-11-17,-2.5686611373599675,147.6343837944047,-4.613523209169372,147.6343837944047,4.16,-10.099999999999998,-9.506666666666664,-14.259999999999998,-0.5933333333333337,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,-2.684444444444445,-2.739999999999995,-7.29666666666666,-3.366666666666667,-7.129999999999999,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
1.0,-20,-19.63333333333333,-20.629629629629637,-21.91209616829451,89.1,99.66666666666669,109.3,119.3,Tue 11-23 11-23,A,309 (Ⅳ),Lehigh,"L, 79-72",75,95.5,42.7,22.5,38.5,35.5,104.7,53.3,17.2,23.5,40.0,11.0,8.0,140.0,96.4875,103.875,98.33703703703704,99.58287002253944,116.2,123.1,118.96666666666668,121.49496619083396,20211123,91.3,109.0,-17.700000000000003,93.8,100.9,-7.1000000000000085,93.0,110.4,-17.38,68.3,8.533093692705506,137.37290443779727,68.78577524893313,10.962615677491875,137.12378349176444,6.135511080153403,137.12378349176444,10.962615677491875,137.12378349176444,6.135511080153403,146.2030350401176,93.9,104.1,-10.2,70.8,91.3,109.0,-17.700000000000003,93.8,100.9,-7.1000000000000085,6.312423218259086,146.52726342403457,0,104.14963623657924,110.25837856414236,-6.108742327563121,-3.988059750614848,88.6060724473952,98.2249746462702,-9.618902198874991,-14.436574219525529,2021-11-23,0.6998750813029346,140.801586169492,-5.438519354850968,140.801586169492,-2.620000000000001,-12.719999999999999,-9.704444444444443,-10.099999999999998,-3.015555555555556,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,-3.249629629629638,-2.2533333333333303,-2.684444444444445,-3.1799999999999997,-3.366666666666667,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
2.5,-16,-17.000000000000004,-19.286419753086427,-20.94626050133187,95.8,96.7,112.4,113.7,Fri 11-26 11-26,A,162 (Ⅲ),Boston College,"L, 73-60",65,92.6,50.0,15.4,12.1,28.8,112.7,48.4,17.0,44.2,35.5,0.0,15.5,133.0,96.14375,96.4875,97.49135802469138,98.8950754729868,114.3,116.2,116.7777777777778,119.84133597431868,20211126,92.2,109.7,-17.5,102.2,97.4,4.799999999999997,93.5,110.7,-17.19,68.6,16.739909455984332,130.6253723138042,63.720910384068276,18.289787007958502,132.47535393564917,18.472671686424917,132.47535393564917,18.289787007958502,132.47535393564917,18.472671686424917,141.31212273346847,102.1,98.8,3.27,65.3,92.2,109.7,-17.5,102.2,97.4,4.799999999999997,20.91067154528879,142.18078908774936,0,103.65393045639092,108.249996278304,-4.596065821913072,-3.8840414422758527,99.41684105231596,98.69966506945268,0.7171759828632815,2.270539699057985,2021-11-26,7.318615497544258,137.4022876683391,5.691546692340246,137.4022876683391,1.1900000000000013,-11.529999999999998,-10.709629629629628,-12.719999999999999,-0.8203703703703695,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,-2.096419753086426,0.18999999999999773,-3.249629629629638,-2.306000000000001,-3.1799999999999997,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-22.0,-48,-28.36666666666667,-28.957613168724286,-25.91966768290789,70.0,84.96666666666665,118.3,113.33333333333331,Mon 11-29 11-29,H,323 (Ⅳ),Lafayette,"L, 73-50",67,74.9,31.7,21.0,32.6,28.3,109.3,47.4,12.0,24.3,38.6,-15.5,1.0,138.5,83.071875,96.14375,88.32757201646092,93.6414253869892,116.3,114.3,117.28518518518518,119.56109306989708,20211129,93.3,110.6,-17.299999999999997,96.1,109.3,-13.200000000000005,94.4,111.4,-16.99,68.5,-0.24949946428857572,140.16599038866917,67.62304409672832,-1.0535825256331037,144.22267968283012,-1.3068419742027064,144.22267968283012,-1.0535825256331037,144.22267968283012,-1.3068419742027064,143.69247638578528,96.0,107.5,-11.49,69.4,93.3,110.6,-17.299999999999997,96.1,109.3,-13.200000000000005,-1.10743112253658,143.8156313180714,0,98.20257737976824,109.69046638702392,-11.487889007255674,-14.02734282511915,94.5067598900687,96.7936566366496,-2.286896746580908,-5.395596334527457,2021-11-29,2.111969875878202,137.52567922213422,4.127485858921538,137.52567922213422,-31.01,-42.54,-10.983086419753086,-11.529999999999998,-31.556913580246913,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-11.967613168724288,-11.376666666666672,-2.096419753086426,-7.089999999999996,-2.306000000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-24.5,-48,-37.833333333333336,-35.50507544581619,-30.04336446783373,79.4,81.73333333333333,128.0,119.56666666666666,Wed 12-01 12-01,A,243 (Ⅲ),UMBC,"L, 98-60",75,79.5,41.1,22.5,27.3,30.6,129.9,54.8,4.0,32.5,34.2,12.0,13.5,146.0,81.2359375,83.071875,85.35171467764062,91.05207531662752,122.15,116.3,120.8567901234568,121.09543978446123,20211201,92.0,111.6,-19.599999999999994,101.4,106.7,-5.299999999999997,93.1,112.0,-18.88,68.1,14.719414440660884,142.2333853600058,67.80938833570413,14.530410109183308,147.11218947168646,19.642768306859054,147.11218947168646,14.530410109183308,147.11218947168646,19.642768306859054,153.6290868271886,101.0,104.4,-3.38,70.0,92.0,111.6,-19.599999999999994,101.4,106.7,-5.299999999999997,19.24616424771021,155.78299168071788,0,96.67029839434662,110.10085328790387,-13.430554893557257,-14.250852885762516,103.66897037689183,102.58102821421927,1.0879421626725616,11.071589288065509,2021-12-01,14.552675293962068,148.48694179104476,19.039474274346382,148.48694179104476,-29.12,-71.66,-21.502057613168724,-42.54,-50.15794238683127,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,-16.62507544581619,-18.953333333333337,-11.967613168724288,-10.237142857142857,-7.089999999999996,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
7.5,-6,-34.6,-25.9700502972108,-25.83548001913669,100.1,83.16666666666667,107.0,117.76666666666668,Sat 12-04 12-04,H,352 (Ⅳ),Maine,"W, 77-66",70,110.8,56.3,17.3,30.3,41.1,95.0,49.1,20.1,18.2,31.5,16.5,-3.5,126.5,90.66796875,81.2359375,90.26780978509376,92.69715253178616,114.575,122.15,116.23786008230454,118.5326325509228,20211204,91.2,113.2,-22.0,89.3,104.5,-15.200000000000005,92.5,112.5,-20.02,68.4,-4.7709849482953,125.84004700609276,65.28648648648648,0.19132713960730996,131.40491894680179,-5.919183840406556,131.40491894680179,0.19132713960730996,131.40491894680179,-5.919183840406556,121.25013558989826,85.2,105.7,-20.57,67.1,91.2,113.2,-22.0,89.3,104.5,-15.200000000000005,-7.561755952482726,125.55352245892307,0,95.68692105304736,112.22530227792517,-16.53838122487781,-17.201780706681397,85.90136667835543,108.65754230401134,-22.756175625655914,-16.17318535597053,2021-12-04,-8.824202337272702,134.32210628109212,-0.8514370590620572,134.32210628109212,14.02,-57.64,-38.22137174211248,-71.66,-19.41862825788752,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,-5.950050297210801,-14.580000000000002,-16.62507544581619,-7.204999999999998,-10.237142857142857,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-7.0,-36,-30.6,-29.4133668648072,-27.738120015657287,86.5,88.66666666666667,122.8,119.26666666666668,Mon 12-06 12-06,A,147 (Ⅲ),Colgate,"L, 89-61",70,86.8,44.3,27.0,36.8,16.4,126.7,66.7,14.2,16.7,16.7,1.5,21.0,148.5,88.583984375,90.66796875,89.0118731900625,91.57039752600686,118.6875,114.575,118.4252400548697,119.30851754166412,20211206,92.3,113.3,-21.0,109.1,103.3,5.799999999999997,93.2,112.8,-19.57,68.5,20.374488548286394,145.54235035333457,66.74608819345661,23.531487351782452,150.345655490608,22.726921359662537,150.345655490608,23.531487351782452,150.345655490608,22.726921359662537,144.30450865141003,107.7,104.0,3.67,68.5,92.3,113.3,-21.0,109.1,103.3,5.799999999999997,21.015746797528543,149.23149969307454,0,94.76295260077411,111.000832098204,-16.237879497429887,-15.94638565066596,101.9273849281704,102.65512720054748,-0.7277422723770854,-0.8969851986205181,2021-12-06,14.882033035048082,144.2673470062465,11.756384491460068,144.2673470062465,-16.43,-74.07,-44.69424782807499,-57.64,-29.375752171925,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-9.843366864807201,-11.030000000000001,-5.950050297210801,-8.229999999999997,-7.204999999999998,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
6.0,-16,-19.8,-25.0089112432048,-25.640280012810507,86.5,91.03333333333336,102.7,110.83333333333331,Sat 12-11 12-11,A,278 (Ⅳ),Albany,"L, 60-59",66,88.8,42.4,16.6,27.5,28.8,90.3,43.3,22.6,36.8,16.7,-12.5,7.0,131.5,87.5419921875,88.583984375,88.17458212670834,90.64850706673288,110.69375,118.6875,113.18349336991317,116.28878707954335,20211211,92.3,114.2,-21.90000000000001,91.9,103.1,-11.199999999999989,93.3,113.5,-20.15,68.8,7.7262997922209635,130.60372841455808,65.96187766714083,10.409683166949193,135.53451282646222,11.729513343034322,135.53451282646222,10.409683166949193,135.53451282646222,11.729513343034322,126.2512766659113,90.3,103.2,-12.92,67.4,92.3,114.2,-21.90000000000001,91.9,103.1,-11.199999999999989,8.651842293681064,129.209800630595,0,94.10581527095628,108.53273022999336,-14.426914959037077,-14.704802918572105,88.44290602219685,101.02076370381592,-12.577857681619065,-14.438619009917849,2021-12-11,4.241926029023631,129.24199189144042,1.7533828023892184,129.24199189144042,4.149999999999999,-69.91999999999999,-54.486165218716664,-74.07,-15.433834781283323,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,-4.858911243204801,0.34999999999999787,-9.843366864807201,-6.992000000000001,-8.229999999999997,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
