ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
16.5,36,,36.80000000000001,36.80000000000001,117.9,0.0,81.1,0.0,Tue 11-09 11-09,H,355 (Ⅳ),Central Connecticut,"W, 99-48",73,135.9,67.7,19.2,53.8,30.6,65.9,40.2,39.8,35.5,23.5,1.0,-34.5,146.0,117.9,0.0,117.9,117.9,81.1,0.0,81.1,81.1,20211109,110.6,93.7,16.89999999999999,94.8,110.7,-15.900000000000006,109.1,89.6,19.51,70.0,-33.39373260683099,145.24221349994042,72.09103840682789,-29.141382019553014,156.4715680542848,-58.87346693858414,156.4715680542848,-29.141382019553014,156.4715680542848,-58.87346693858414,144.95392234720498,89.5,111.0,-21.48,72.4,110.6,93.7,16.89999999999999,94.8,110.7,-15.900000000000006,-58.87346693858414,144.95392234720498,0,98.468485414137,97.96552973370947,0.502955680427533,-3.766488764016893,0.0,0.0,0.0,0.0,2021-11-09,0.0,0.0,,0.0,16.49,16.49,0.0,0.0,16.49,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,-3,0.9994913793248357,0.5,17.29000000000001,,0.0,16.49,0.0,1,0.0,1,1,1,3,0.0,0.0
-6.5,22,,32.10000000000001,34.23636363636364,109.1,0.0,86.4,0.0,Sat 11-13 11-13,H,320 (Ⅳ),Coppin St.,"W, 89-54",77,116.0,52.6,14.3,38.6,18.4,70.4,36.5,30.0,25.0,51.9,-5.5,-41.5,148.5,113.5,117.9,114.96666666666668,116.29999999999998,83.75,81.1,82.86666666666667,82.06363636363636,20211113,108.0,90.4,17.599999999999994,91.1,104.6,-13.5,109.0,89.5,19.48,70.1,-35.77519892505927,149.39770539599314,75.68406827880513,-27.895635822149593,151.67166113185604,-52.812075880611644,151.67166113185604,-27.895635822149593,151.67166113185604,-52.812075880611644,161.54237390729094,86.7,109.7,-23.06,75.9,108.0,90.4,17.599999999999994,91.1,104.6,-13.5,-53.02329351972457,161.52188149468535,0,105.71950728574856,94.00571358932012,11.71379369642844,2.115433198043244,105.81036480099408,111.6302896103594,-5.819924809365318,-9.308508143955397,2021-11-13,-19.04639959099849,168.5432996318881,-10.689041312667698,168.5432996318881,2.5199999999999996,19.009999999999998,16.49,16.49,2.5199999999999996,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.9999613112866469,0.9651567351517369,12.620000000000008,,17.29000000000001,9.504999999999999,16.49,1,1.0,1,1,1,3,3.0,0.0
23.5,37,32.333333333333336,33.900000000000006,34.8297520661157,105.4,110.8,67.9,78.46666666666667,Wed 11-17 11-17,H,244 (Ⅳ),LIU Brooklyn,"W, 93-40",76,121.9,51.6,15.7,43.2,62.9,52.4,29.4,34.1,22.0,33.3,-15.5,-29.5,148.5,109.45,113.5,111.7777777777778,114.31818181818178,75.825,83.75,77.8777777777778,79.48842975206611,20211117,108.3,90.5,17.799999999999997,95.4,100.9,-5.5,108.7,89.2,19.52,70.1,-24.448894679419297,143.32033411124058,73.59004267425318,-21.375302166796317,147.63923376077713,-42.37902989939323,147.63923376077713,-21.375302166796317,147.63923376077713,-42.37902989939323,155.62053543652593,93.6,102.5,-8.93,73.8,108.3,90.5,17.799999999999997,95.4,100.9,-5.5,-42.40851379845899,155.7004242304059,0,96.42298505786408,98.11125329931248,-1.688268241448398,-0.7736410580143137,104.65527825571084,99.1458119496492,5.50946630606164,7.993184675137287,2021-11-17,1.1499151775912253,149.0128699045072,4.316609490122403,149.0128699045072,17.48,36.489999999999995,17.33,19.009999999999998,19.159999999999997,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.9975192575442907,0.4563967225617107,14.380000000000006,12.813333333333336,12.620000000000008,12.163333333333334,9.504999999999999,1,1.0,1,1,1,3,3.0,3.0
-8.5,15,25.066666666666663,27.600000000000005,31.224342599549207,119.7,111.4,104.7,86.33333333333333,Sat 11-20 11-20,H,303 (Ⅳ),Binghamton,"W, 87-63",68,127.3,54.5,13.2,43.6,28.4,92.2,42.2,16.1,30.0,18.8,8.5,-32.5,141.5,114.575,109.45,114.41851851851854,115.296694214876,90.2625,75.825,86.81851851851853,84.07235161532682,20211120,108.2,89.5,18.700000000000003,95.3,106.3,-11.0,108.8,88.5,20.3,70.5,-26.984385457419584,138.04621865253648,70.19914651493599,-25.386519159916837,144.5287598184069,-34.258284666223176,144.5287598184069,-25.386519159916837,144.5287598184069,-34.258284666223176,131.6615519888281,92.4,105.6,-13.22,70.0,108.2,89.5,18.700000000000003,95.3,106.3,-11.0,-34.06137917557062,131.6405062302716,0,107.66459212164008,86.72680715999292,20.937784961647168,23.335914642467465,102.950623076661,97.64748070510214,5.303142371558863,-0.635595567137313,2021-11-20,-15.296715130386126,140.01558447526264,-19.016467699760184,140.01558447526264,-5.300000000000001,31.189999999999994,23.71666666666666,36.489999999999995,7.473333333333333,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,3,0.9990167251777576,0.9274183454479509,7.300000000000004,4.766666666666662,14.380000000000006,7.797499999999999,12.163333333333334,1,1.0,1,1,1,3,3.0,3.0
3.5,32,28.3,29.200000000000006,31.438098490540263,135.9,120.33333333333331,103.5,92.03333333333336,Wed 11-24 11-24,N,14 (I-A),Auburn,"W, 115-109 2OT",96,119.5,60.1,24.9,37.8,55.1,113.2,51.4,14.5,26.1,55.4,81.5,-2.5,142.5,125.2375,114.575,121.57901234567905,119.04274981217128,96.88125,90.2625,92.37901234567904,87.60465132163102,20211124,109.2,90.5,18.700000000000003,106.2,90.8,15.400000000000006,109.9,89.6,20.29,69.4,-1.335286293709288,138.11852365908723,69.99231863442391,-2.1795405838517325,139.87613235048093,-8.112717416272485,139.87613235048093,-2.1795405838517325,139.87613235048093,-8.112717416272485,132.91835093947827,109.6,91.1,18.52,70.9,109.2,90.5,18.700000000000003,106.2,90.8,15.400000000000006,-7.910201606713593,133.17260316272345,0,110.07045058428416,91.82129356497455,18.249157019309607,21.50205607905774,107.1669819605124,96.0313884930362,11.135593467476198,11.295074541079776,2021-11-24,-5.229345021883006,146.20836976607828,-7.144103041018354,146.20836976607828,11.71,42.89999999999999,26.207777777777775,31.189999999999994,16.692222222222217,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.5940963859982835,0.6907695589584908,8.910000000000007,8.010000000000002,7.300000000000004,8.579999999999998,7.797499999999999,1,1.0,1,1,1,3,3.0,3.0
-6.5,4,17.433333333333337,21.10000000000001,26.6129896740784,90.2,115.26666666666668,85.3,97.83333333333331,Thu 11-25 11-25,N,42 (I),Michigan St.,"L, 64-60",70,86.3,37.5,12.9,27.3,26.6,92.0,40.6,17.3,33.3,29.7,-14.0,-2.5,138.0,107.71875,125.2375,111.11934156378602,113.7986134826856,91.090625,96.88125,90.01934156378601,87.1856238086072,20211125,109.5,90.7,18.8,106.7,89.8,16.900000000000006,111.5,90.8,20.67,70.4,0.3720438943263815,139.23090849026562,71.60170697012803,-1.1381533612166663,142.8883033169855,-3.398566578747796,142.8883033169855,-1.1381533612166663,142.8883033169855,-3.398566578747796,136.90787662356897,107.9,87.4,20.48,71.5,109.5,90.7,18.8,106.7,89.8,16.900000000000006,-3.7413653008901426,136.45290130962715,0,108.39070016043334,92.57377820866724,15.816921951766105,20.108350474507127,104.0525239616043,79.39381300771187,24.658710953892424,23.34387391095777,2021-11-25,7.521173844841421,133.56759007756818,2.316690009917224,133.56759007756818,-16.67,26.22999999999999,31.77185185185185,42.89999999999999,-5.54185185185186,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.5940963859982835,0.23690236243075147,0.4300000000000068,-3.2366666666666646,8.910000000000007,4.371666666666663,8.579999999999998,1,1.0,-1,1,1,1,3.0,3.0
-1.0,15,17.66666666666667,19.300000000000008,24.62880973333687,103.4,109.83333333333336,87.7,92.16666666666669,Fri 11-26 11-26,N,51 (Ⅱ),VCU,"W, 70-63 OT",75,92.9,39.2,29.2,46.3,46.7,83.6,39.5,18.6,28.3,38.7,7.5,-8.0,125.5,105.559375,107.71875,108.54622770919067,111.90795648583368,89.39531249999999,91.090625,89.24622770919069,87.2791467524968,20211126,111.2,91.8,19.40000000000001,94.3,86.6,7.700000000000003,111.0,90.6,20.4,70.3,-7.238014925373129,125.16676119402985,67.5,-6.729951243781102,126.45998706467662,-6.738933136567165,126.45998706467662,-6.729951243781102,126.45998706467662,-6.738933136567165,112.64365773805972,96.9,88.8,8.1,67.5,111.2,91.8,19.40000000000001,94.3,86.6,7.700000000000003,-7.9082110141791055,112.02830496940298,0,109.5177387447892,91.9161019795212,17.601636765267997,21.90396212997722,90.1604097525933,85.40078009801802,4.759629654575278,-3.4553943509213307,2021-11-26,-7.36981392734922,121.98870795814872,-17.117565624606513,121.98870795814872,-5.399999999999999,20.82999999999999,29.924567901234564,26.22999999999999,-9.094567901234573,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,3,0.7769415761393583,0.7586251943106116,-1.0999999999999908,-2.733333333333327,0.4300000000000068,2.9757142857142824,4.371666666666663,-1,1.0,-1,1,1,-1,1.0,3.0
-26.0,-5,5.000000000000004,11.000000000000009,19.1326625090938,114.2,102.6,119.8,97.6,Tue 11-30 11-30,H,321 (Ⅳ),Maryland Eastern Shore,"W, 72-63",62,116.1,50.0,11.3,37.1,45.5,101.6,53.9,21.0,28.6,29.4,2.0,-35.0,133.0,109.8796875,105.559375,110.4308184727938,112.32469167022754,104.59765625,89.39531249999999,99.4308184727938,93.19202916113376,20211130,110.8,91.9,18.89999999999999,86.0,108.4,-22.40000000000001,111.3,90.9,20.4,70.4,-32.261740000438635,134.11565015970385,67.89644381223329,-32.44947894658084,139.32710695563088,-24.35193417267361,139.32710695563088,-32.44947894658084,139.32710695563088,-24.35193417267361,135.30351799768746,85.3,107.6,-22.37,67.8,110.8,91.9,18.89999999999999,86.0,108.4,-22.40000000000001,-25.965317943799896,134.6007141091477,0,110.55888686500752,94.00257640519348,16.556310459814043,18.54069605133196,110.87561323281032,94.49040824005768,16.385204992752648,5.730361346961342,2021-11-30,-4.232090714972983,145.17675378102092,-10.82957071934149,145.17675378102092,-25.4,-4.570000000000007,26.89304526748971,20.82999999999999,-31.46304526748972,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9995709396668032,0.6565465809305573,-9.39999999999999,-15.399999999999995,-1.0999999999999908,-0.5712499999999991,2.9757142857142824,-1,-1.0,-1,-1,1,-3,-1.0,1.0
2.0,18,9.5,13.466666666666669,18.999451143804016,120.1,112.56666666666668,101.7,103.06666666666666,Sat 12-04 12-04,H,324 (Ⅳ),Grambling St.,"W, 88-59",68,130.0,49.3,8.9,47.8,36.6,87.1,44.3,23.6,25.7,32.1,8.0,-27.0,139.0,114.98984375,109.8796875,113.65387898186256,113.73838409382252,103.148828125,104.59765625,100.18721231519586,94.73893295001852,20211204,110.7,93.8,16.900000000000006,94.1,103.4,-9.300000000000011,111.2,92.3,18.85,69.5,-27.135958065551392,137.0865440489114,68.41251778093884,-22.335525765142997,142.578607822611,-18.889551453176168,142.578607822611,-22.335525765142997,142.578607822611,-18.889551453176168,144.09341801224917,90.0,105.5,-15.47,69.2,110.7,93.8,16.900000000000006,94.1,103.4,-9.300000000000011,-25.04981349726312,137.8171834778744,0,110.5879068420004,93.95399716823732,16.63390967376307,17.77520566247798,96.17352478257187,101.11068276895342,-4.93715798638155,-2.5297893524373585,2021-12-04,-19.002568908656222,142.09700764155147,-15.952725646878392,142.09700764155147,-0.8500000000000014,-5.420000000000009,16.405363511659807,-4.570000000000007,-21.825363511659816,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.9949360047253046,0.9648341501112059,-5.383333333333333,-9.350000000000001,-9.39999999999999,-0.602222222222224,-0.5712499999999991,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
-0.5,9,7.566666666666663,12.277777777777777,17.34500548129419,93.8,109.36666666666666,83.9,101.8,Wed 12-08 12-08,A,60 (Ⅱ),West Virginia,"L, 56-53",62,86.1,42.0,26.0,44.1,19.6,91.0,45.8,19.5,35.3,56.3,-31.0,2.5,140.0,104.394921875,114.98984375,107.0359193212417,110.11322334949116,93.5244140625,103.148828125,94.75814154346392,92.76821786819696,20211208,111.4,94.0,17.400000000000006,107.3,94.8,12.5,112.1,93.0,19.09,69.1,0.23821988849363152,134.7508514151144,65.56145092460882,0.6957871758642824,138.73747467501522,1.743817202175648,138.73747467501522,0.6957871758642824,138.73747467501522,1.743817202175648,139.50828628757517,108.2,94.6,13.64,66.7,111.4,94.0,17.400000000000006,107.3,94.8,12.5,-1.6442213325410255,131.53878494934145,0,107.72741123035426,93.757462984246,13.96994824610826,15.281609083248988,102.87325200470548,92.0552806497207,10.817971354984778,7.467373744003306,2021-12-08,1.8550231439005955,131.48088635044382,-3.078601556214025,131.48088635044382,-10.09,-15.510000000000009,9.130242341106536,-5.420000000000009,-24.640242341106543,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.4059036140017165,0.42988424683730364,-6.812222222222223,-11.523333333333337,-5.383333333333333,-1.5509999999999984,-0.602222222222224,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
