ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
10.0,1,,1.2000000000000028,1.2000000000000028,94.7,0.0,93.5,0.0,Tue 11-09 11-09,A,312 (Ⅳ),Binghamton,"W, 76-69",79,96.0,50.9,18.9,22.2,56.1,87.2,43.7,22.7,34.7,21.1,9.5,3.0,135.5,94.7,0.0,94.7,94.7,93.5,0.0,93.5,93.5,20211109,93.0,110.1,-17.099999999999994,98.9,109.4,-10.5,94.2,103.8,-9.54,72.3,0.3842884608182402,144.83607250739954,74.56258890469417,9.93863613075365,160.64605945875806,-6.296537694159326,160.64605945875806,9.93863613075365,160.64605945875806,-6.296537694159326,125.12416762788938,91.7,106.3,-14.64,72.5,93.0,110.1,-17.099999999999994,98.9,109.4,-10.5,-6.296537694159326,125.12416762788938,0,0.0,0.0,0.0,0.0,101.81470478045102,100.0130263326808,1.8016784477702288,3.698900669992384,2021-11-09,-0.0,0.0,,0.0,10.54,10.54,0.0,0.0,10.54,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.38754848109799234,0.5,10.740000000000002,,0.0,10.54,0.0,1,0.0,1,1,1,3,0.0,0.0
8.5,-3,,-0.2666666666666656,0.4000000000000017,112.3,0.0,115.5,0.0,Fri 11-12 11-12,A,319 (Ⅳ),Lafayette,"W, 90-85",77,116.9,54.7,15.6,23.8,43.8,110.4,52.2,13.0,27.5,20.3,28.5,3.5,146.5,103.5,94.7,100.56666666666666,97.9,104.5,93.5,100.83333333333334,97.5,20211112,90.4,106.1,-15.699999999999989,96.5,108.2,-11.700000000000005,93.7,103.2,-9.54,72.2,3.0495532907021072,144.62135732988023,73.53513513513514,7.65135356917169,150.59421302191566,-15.376955263553869,150.59421302191566,7.65135356917169,150.59421302191566,-15.376955263553869,141.85234936705754,95.1,106.2,-11.08,71.6,90.4,106.1,-15.699999999999989,96.5,108.2,-11.700000000000005,-15.376955263553869,141.85234936705754,0,106.06703396011136,111.25021252383408,-5.18317856372272,-8.348562427115622,96.36300181231236,96.09847590236896,0.2645259099434014,2.7928739026018325,2021-11-12,8.366733732847806,157.32468781958352,10.194658681937923,157.32468781958352,6.539999999999999,17.08,10.54,10.54,6.539999999999999,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.36944134018176367,0.2127743665397379,9.273333333333333,,10.740000000000002,8.54,10.54,1,1.0,1,1,1,3,3.0,0.0
22.0,4,0.7666666666666657,1.255555555555555,1.1090909090909098,96.2,101.06666666666666,91.9,100.3,Tue 11-16 11-16,H,150 (Ⅲ),Colgate,"W, 78-68",76,102.1,47.8,17.0,35.7,32.8,89.0,43.2,15.7,27.1,12.2,-3.5,12.0,149.5,99.85,103.5,99.11111111111111,97.5909090909091,98.2,104.5,97.85555555555558,96.48181818181816,20211116,91.9,106.3,-14.399999999999991,106.9,97.8,9.100000000000009,95.3,104.0,-8.76,72.9,6.52491087821835,148.7391543034461,73.0036984352774,13.480362533617026,151.41612792349588,-2.4364912742982043,151.41612792349588,13.480362533617026,151.41612792349588,-2.4364912742982043,155.66908785644333,105.7,99.9,5.8,70.4,91.9,106.3,-14.399999999999991,106.9,97.8,9.100000000000009,-2.7736359716546066,155.5436589718176,0,97.1101150439116,96.78627811376512,0.3238369301464843,1.082339710745564,0.0,0.0,0.0,0.0,2021-11-16,0.0,0.0,,0.0,12.76,29.839999999999996,12.719999999999999,17.08,17.119999999999997,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.12654895447355774,0.5,10.015555555555554,9.526666666666666,9.273333333333333,9.946666666666665,8.54,1,1.0,1,1,1,3,3.0,3.0
4.5,5,2.13333333333333,2.6037037037037027,1.8710743801652887,115.1,107.86666666666667,109.8,105.73333333333332,Mon 11-22 11-22,A,93 (Ⅱ),Penn St.,"L, 85-74",72,102.1,44.7,12.4,28.9,31.8,117.3,62.7,19.3,18.8,38.2,19.5,15.5,139.5,107.475,99.85,104.44074074074076,100.77438016528924,104.0,98.2,101.83703703703706,98.90330578512396,20211122,92.4,104.9,-12.5,103.0,95.7,7.299999999999997,95.8,103.1,-7.29,72.7,15.086303167396352,138.5149179717065,69.08051209103841,17.77034866176146,139.3755694972686,2.5213722055810415,139.3755694972686,17.77034866176146,139.3755694972686,2.5213722055810415,139.38525395940349,105.4,96.4,8.98,66.8,92.4,104.9,-12.5,103.0,95.7,7.299999999999997,2.5392132725759615,139.19198808637034,0,105.01113318845702,94.06203318102718,10.949100007429848,10.17626887209523,97.32688043434293,106.18693162524792,-8.860051190904997,-2.443120414483824,2021-11-22,-10.098955836636222,143.24784795465996,-6.708495023607483,143.24784795465996,12.29,42.129999999999995,18.426666666666666,29.839999999999996,23.70333333333333,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.06994638275525245,0.8319262968428855,9.893703703703704,9.42333333333333,10.015555555555554,10.532499999999999,9.946666666666665,1,1.0,1,1,1,3,3.0,3.0
9.0,4,4.599999999999994,3.135802469135798,2.2945154019534164,116.1,109.13333333333333,111.9,104.53333333333336,Wed 11-24 11-24,H,315 (Ⅳ),St. Francis PA,"W, 93-80",76,121.6,67.2,22.2,32.3,29.5,104.6,43.6,14.4,35.6,34.3,20.0,-4.0,153.0,111.7875,107.475,108.32716049382717,103.560856498873,107.95,104.0,105.19135802469138,101.2663410969196,20211124,94.3,105.2,-10.900000000000006,95.3,104.7,-9.400000000000006,96.6,103.5,-6.86,72.8,-3.931147351549427,147.0747822659742,73.31778093883356,-3.033588122843952,149.12474234203657,-14.947779283330284,149.12474234203657,-3.033588122843952,149.12474234203657,-14.947779283330284,148.9548283813945,97.5,104.2,-6.71,70.8,94.3,105.2,-10.900000000000006,95.3,104.7,-9.400000000000006,-14.911377796370315,148.82157190735612,0,105.26688023004736,97.0007265968774,8.266153633169964,8.797574095112514,100.4410498902761,101.60065775656766,-1.1596078662915517,1.832034125548938,2021-11-24,-11.427177773562107,153.3987889326633,-7.2689847025571765,153.3987889326633,10.86,52.989999999999995,26.327777777777776,42.129999999999995,26.66222222222222,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.6483807083005341,0.8617692383892663,9.995802469135798,11.459999999999994,9.893703703703704,10.597999999999999,10.532499999999999,1,1.0,1,1,1,3,3.0,3.0
18.5,17,9.099999999999994,8.023868312757198,5.113694419780067,124.7,118.63333333333333,106.9,109.53333333333336,Mon 11-29 11-29,A,281 (Ⅳ),Canisius,"W, 89-75",71,125.4,71.8,18.3,26.1,30.9,105.6,41.4,7.0,31.1,32.9,7.0,4.5,157.0,118.24375,111.7875,113.78477366255144,107.40433713544157,107.425,107.95,105.76090534979426,102.29064271566148,20211129,97.2,106.1,-8.899999999999991,97.8,104.7,-6.900000000000006,99.0,104.8,-5.87,73.6,3.4907126299534355,153.1769901236294,74.85633001422475,5.928834254818511,157.25371938500803,-4.6836469993517085,157.25371938500803,5.928834254818511,157.25371938500803,-4.6836469993517085,155.60166428447684,97.6,104.4,-6.82,71.5,97.2,106.1,-8.899999999999991,97.8,104.7,-6.900000000000006,-5.065122569127947,155.39853423136523,0,109.80976038425072,97.39895141033612,12.410808973914598,13.037237988129563,96.3462079688434,105.39945347879204,-9.053245509948638,-13.72943141768003,2021-11-29,-12.262422734432377,159.83592830075355,-17.947823252202525,159.83592830075355,22.87,75.86,35.215185185185184,52.989999999999995,40.644814814814815,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.3341175708976246,0.878566318700609,13.8938683127572,14.969999999999995,9.995802469135798,12.643333333333334,10.597999999999999,1,1.0,1,1,1,3,3.0,3.0
7.0,9,10.36666666666666,8.382578875171465,5.838477252547326,122.0,120.93333333333332,112.9,110.56666666666666,Fri 12-03 12-03,H,307 (Ⅳ),Coppin St.,"W, 92-77",75,122.2,64.3,17.3,29.4,27.0,102.3,45.7,10.6,23.4,28.6,7.5,-8.0,161.5,120.121875,118.24375,116.52318244170098,110.05809401990672,110.1625,107.425,108.1406035665295,104.2196167673594,20211203,100.0,106.2,-6.200000000000003,91.9,101.7,-9.799999999999995,100.7,105.1,-4.37,73.4,-11.11145323365551,151.82667954291233,75.38378378378378,-7.4560564875653625,153.5754137602442,-14.514481472848798,153.5754137602442,-7.4560564875653625,153.5754137602442,-14.514481472848798,165.872551510149,91.8,104.9,-13.07,72.2,100.0,106.2,-6.200000000000003,91.9,101.7,-9.799999999999995,-14.944020567490345,155.17098545411542,0,110.15646089344732,100.05996858897072,10.096492304476598,11.161905163758854,102.7485113313498,96.5262001064222,6.2223112249276085,5.257975667901894,2021-12-03,-7.219658202400353,161.14269589806358,-6.734642376341512,161.14269589806358,13.370000000000001,89.23,48.763456790123456,75.86,40.46654320987655,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.7769415761393583,0.7541433925926313,12.752578875171466,14.736666666666661,13.8938683127572,12.747142857142856,12.643333333333334,1,1.0,1,1,1,3,3.0,3.0
-15.5,-14,4.233333333333334,0.8550525834476481,2.1951177520841774,96.4,114.36666666666667,110.6,110.13333333333334,Wed 12-08 12-08,A,29 (I-A),Virginia Tech,"L, 93-60",70,85.3,46.2,22.7,17.6,30.8,132.2,63.5,17.1,41.4,27.0,5.0,17.5,148.0,108.2609375,120.121875,109.815454961134,107.5748041981055,110.38125,110.1625,108.96040237768634,105.37968644602132,20211208,102.2,106.4,-4.200000000000003,108.1,93.0,15.099999999999994,101.9,105.7,-3.85,73.5,18.05212840213256,140.0391420471351,66.39046941678521,17.596505611144096,143.35785621340324,5.19173089735477,143.35785621340324,17.596505611144096,143.35785621340324,5.19173089735477,144.57016665837935,110.1,93.2,16.87,63.5,102.2,106.4,-4.200000000000003,108.1,93.0,15.099999999999994,11.83037187898398,141.25478540777777,0,107.86041595949992,101.59109357525108,6.269322384248838,8.955563657732165,108.35273799071442,91.06532420511488,17.28741378559954,15.605483256096267,2021-12-08,12.036737545213143,142.00235586262022,6.502132701619445,142.00235586262022,-10.15,79.08,62.25230452674897,89.23,16.827695473251026,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.047790352272814696,0.12582394926984708,4.705052583447648,8.083333333333334,12.752578875171466,9.885,12.747142857142856,1,1.0,1,1,1,3,3.0,3.0
3.0,-5,-3.466666666666664,-1.1966316110349002,0.8323690698870545,93.7,104.03333333333336,99.0,107.5,Wed 12-29 12-29,A,60 (Ⅱ),Syracuse,"L, 80-68",72,94.5,46.9,30.6,41.9,12.3,111.2,61.4,22.2,32.1,26.3,-17.0,15.0,165.0,100.98046875,108.2609375,104.443636640756,105.05211252572266,104.690625,110.38125,105.6402682517909,104.21974345583564,20211229,101.6,106.7,-5.1000000000000085,113.6,101.9,11.699999999999989,101.2,105.8,-4.61,74.0,16.83880470740361,161.43086389943,73.26315789473684,17.95608967720557,168.7098286502477,13.668253357921246,168.7098286502477,17.95608967720557,168.7098286502477,13.668253357921246,171.5307782937884,112.4,100.8,11.65,69.6,101.6,106.7,-5.1000000000000085,113.6,101.9,11.699999999999989,10.56686428068979,170.98835769301522,0,105.41407652808608,101.59169840355426,3.8223781245318236,4.9923980476743255,106.85558745112372,100.01758214373292,6.838005307390802,6.279267325023229,2021-12-29,6.826930296138585,160.35053548848822,3.109781183606742,160.35053548848822,-0.3899999999999997,78.69,67.861536351166,79.08,10.828463648834003,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.07656372550983481,0.25778673984888034,3.4133683889651003,1.1433333333333362,4.705052583447648,8.743333333333332,9.885,1,1.0,1,1,1,3,3.0,3.0
3.0,-3,-7.699999999999993,-1.9977544073565985,0.0264837844530455,107.0,99.03333333333336,110.6,106.73333333333332,Sun 1-02 1-02,H,289 (Ⅳ),Dartmouth,"W, 79-71",70,112.3,57.1,15.6,20.0,33.9,100.9,57.7,21.3,11.5,26.9,2.5,-5.0,147.5,103.990234375,100.98046875,105.29575776050402,105.40627388468216,107.6453125,104.690625,107.2935121678606,105.37979010022914,20220102,102.2,106.7,-4.5,95.7,103.3,-7.599999999999994,101.3,105.7,-4.37,74.3,-5.61648000968782,140.76605009036234,68.69843527738264,-6.525742951177776,146.1959969494938,-11.661832215468467,146.1959969494938,-6.525742951177776,146.1959969494938,-11.661832215468467,152.99793409571635,96.2,102.8,-6.69,65.0,102.2,106.7,-4.5,95.7,103.3,-7.599999999999994,-10.705638971482797,144.0651294882708,0,105.46649142625496,102.26603173758475,3.2004596886702075,4.889128178345454,99.50394034320188,100.6505716083496,-1.1466312651477182,-4.693682540753241,2022-01-02,-7.186812142402502,146.37399634777165,-8.508676960708627,146.37399634777165,1.37,80.06,71.47102423411067,78.69,8.58897576588933,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,3,0.6830306580593271,0.7531570934423109,2.3722455926434014,-3.329999999999993,3.4133683889651003,8.006,8.743333333333332,1,1.0,1,1,1,3,3.0,3.0
