ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-4.0,-29,,-29.60000000000001,-29.60000000000001,87.8,0.0,117.4,0.0,Tue 11-09 11-09,A,147 (Ⅲ),Boston College,"L, 73-57",64,89.0,42.9,12.5,21.1,23.2,114.0,55.9,18.7,28.1,49.0,-3.0,12.0,133.0,87.8,0.0,87.8,87.8,117.4,0.0,117.4,117.4,20211109,91.1,103.9,-12.800000000000011,103.2,99.7,3.5,92.7,102.9,-10.16,69.2,12.425911122248742,130.90119021964486,67.13285917496445,15.096935261725115,136.58002184857162,41.53730421973093,136.58002184857162,15.096935261725115,136.58002184857162,41.53730421973093,146.3377029934932,101.4,98.4,3.06,68.2,91.1,103.9,-12.800000000000011,103.2,99.7,3.5,41.53730421973093,146.3377029934932,0,105.98784017762408,97.42183930894876,8.566000868675317,1.463223090897542,100.06415317976833,109.32674366597598,-9.262590486207657,-8.532034930652124,2021-11-09,-8.542422738008682,146.44081781187418,-4.896819371850405,146.44081781187418,-18.84,-18.84,0.0,0.0,-18.84,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.12654895447355774,0.7920526359492535,-19.44000000000001,,0.0,-18.84,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
25.0,18,,-13.433333333333344,-20.78181818181819,100.1,0.0,81.2,0.0,Sat 11-13 11-13,A,189 (Ⅲ),Georgetown,"W, 69-60",70,98.8,55.0,21.5,19.4,8.3,85.9,45.8,22.9,27.0,15.3,-8.5,16.0,137.5,93.95,87.8,91.9,90.03636363636363,99.3,117.4,105.33333333333334,110.8181818181818,20211113,88.0,101.7,-13.700000000000005,99.9,96.0,3.9000000000000057,92.7,102.8,-10.1,69.0,18.865593520395308,138.44843289970106,71.1593172119488,16.256544492851695,135.8317986338814,3.6023486333793504,135.8317986338814,16.256544492851695,135.8317986338814,3.6023486333793504,136.5671647021677,105.1,93.7,11.45,72.5,88.0,101.7,-13.700000000000005,99.9,96.0,3.9000000000000057,3.6023486333793504,136.5671647021677,0,91.88507253081455,96.57405223919382,-4.688979708379264,-11.0640905738542,97.6953617530166,95.27325448656563,2.422107266450965,4.580462339923462,2021-11-13,8.663178599831632,132.57232655689236,13.06042603809523,132.57232655689236,28.1,9.260000000000002,-18.84,-18.84,28.1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.06377814989000363,0.2046674499510659,-3.3333333333333446,,-19.44000000000001,4.629999999999999,-18.84,-1,-1.0,1,1,-1,1,-3.0,0.0
9.5,0,-3.3666666666666742,-8.755555555555567,-16.89421487603306,85.1,91.0,84.5,94.36666666666667,Sun 11-28 11-28,A,198 (Ⅲ),Bryant,"W, 63-61 OT",71,88.6,44.7,19.7,23.8,7.6,85.8,41.2,28.1,47.7,8.8,-18.0,7.5,142.0,89.52499999999999,93.95,89.63333333333334,89.1388429752066,91.9,99.3,98.38888888888891,106.03305785123966,20211128,90.8,102.1,-11.299999999999995,101.8,104.4,-2.6000000000000085,94.4,102.1,-7.67,67.0,5.985543705348519,137.35607970125176,69.09672830725462,10.405530357840362,140.79836510838567,2.779082898536652,140.79836510838567,10.405530357840362,140.79836510838567,2.779082898536652,136.8652815535298,99.3,104.1,-4.83,72.5,90.8,102.1,-11.299999999999995,101.8,104.4,-2.6000000000000085,2.780360296791934,137.02571007883205,0,99.27378747263052,94.9973387350115,4.27644873761902,-2.844192401894856,95.05890838688563,101.16932473020076,-6.110416343315123,-8.978468490782205,2021-11-28,-3.3903641682206,134.75961456149358,-2.418242696412058,134.75961456149358,7.67,16.93,-9.473333333333333,9.260000000000002,26.403333333333332,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.23752526202697655,0.6266114163586303,-1.0855555555555672,4.303333333333326,-3.3333333333333446,5.643333333333334,4.629999999999999,-1,-1.0,1,1,1,1,1.0,-3.0
-5.5,-14,1.7999999999999972,-10.537037037037042,-16.386175807663413,102.0,95.73333333333332,116.1,93.93333333333334,Wed 12-01 12-01,A,68 (I),Vermont,"L, 83-65",65,100.2,48.2,18.5,24.2,19.6,128.0,64.2,10.8,20.0,37.7,25.0,12.5,123.0,95.7625,89.52499999999999,93.75555555555556,91.47723516153268,104.0,91.9,104.29259259259264,107.86341096919608,20211201,91.3,101.5,-10.200000000000005,100.6,95.3,5.299999999999997,94.6,101.5,-6.96,65.9,11.653239206555952,118.17446803986016,61.58790896159318,12.906359311069188,119.94879576196215,4.245267563080765,119.94879576196215,12.906359311069188,119.94879576196215,4.245267563080765,106.80217747880481,101.5,94.5,7.06,65.7,91.3,101.5,-10.200000000000005,100.6,95.3,5.299999999999997,6.972087782175769,106.39020015643148,0,101.02634957494348,99.30226599528062,1.7240835796628602,-3.306985890303136,97.59362008929482,98.05714334113956,-0.4635232518447481,2.246295188090298,2021-12-01,2.110762124834565,123.98339830325786,5.135465544730351,123.98339830325786,-7.04,9.89,-0.6722222222222234,16.93,10.562222222222225,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.11692964134637251,0.42033952691996257,-3.5770370370370417,8.759999999999998,-1.0855555555555672,2.4725,5.643333333333334,-1,-1.0,1,1,1,1,1.0,1.0
-5.0,-5,-6.300000000000002,-8.824691358024698,-14.388689297179155,85.8,90.96666666666664,91.2,97.26666666666668,Sat 12-04 12-04,A,211 (Ⅲ),Florida Gulf Coast,"L, 78-68 OT",81,83.7,41.7,16.0,14.9,13.9,96.0,45.6,18.5,20.5,57.9,6.5,5.0,139.5,90.78125,95.7625,91.10370370370372,90.44501058670856,97.6,104.0,99.92839506172842,104.83369988388768,20211204,92.2,103.0,-10.799999999999995,104.2,105.4,-1.2000000000000028,95.2,102.5,-7.34,66.0,6.4441252312374075,133.63660275429157,66.65718349928876,10.84532319968325,139.93017463417272,7.449277399875887,139.93017463417272,10.84532319968325,139.93017463417272,7.449277399875887,134.3696775116963,100.2,103.6,-3.47,71.0,92.2,103.0,-10.799999999999995,104.2,105.4,-1.2000000000000028,6.729220366486518,135.47977002937668,0,98.1197372284869,98.56075152582314,-0.4410142973362383,-5.358358052886562,101.65143654240023,104.01771230672264,-2.3662757643224097,-0.2038072232352225,2021-12-04,2.588584675859323,138.15977892172782,5.250373385059959,138.15977892172782,2.34,12.23,2.848518518518518,9.89,9.381481481481483,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,-3,0.31696934194067294,0.402635266937001,-1.4846913580246976,1.0399999999999983,-3.5770370370370417,2.4459999999999997,2.4725,-1,-1.0,1,1,1,1,1.0,1.0
-5.5,-16,-11.933333333333332,-11.316460905349796,-14.73620033405567,101.2,96.33333333333331,117.5,108.26666666666668,Wed 12-08 12-08,H,251 (Ⅳ),Quinnipiac,"L, 72-69",63,109.4,56.3,17.4,23.3,16.1,114.2,58.5,12.7,25.0,10.2,6.0,-2.5,135.0,95.990625,90.78125,94.46913580246915,92.400463207307,107.55,97.6,105.78559670781895,107.13666354136264,20211208,91.9,102.0,-10.099999999999994,96.8,104.3,-7.5,95.0,102.4,-7.47,66.3,-3.453356568739963,135.06846692470737,67.99758179231863,-1.7855235831870715,135.49935387900598,-7.6901486352211155,135.49935387900598,-1.7855235831870715,135.49935387900598,-7.6901486352211155,130.27709464027066,97.7,104.8,-7.11,72.1,91.9,102.0,-10.099999999999994,96.8,104.3,-7.5,-7.916196267479143,129.56757808678486,0,97.96971143635923,100.63127866090204,-2.6615672245428073,-7.51716292053047,99.01426983414034,105.89057664428904,-6.876306810148705,-10.175433256165116,2021-12-08,-6.823413697953612,141.760578456377,-3.543064310128976,141.760578456377,-8.530000000000001,3.6999999999999993,5.975679012345678,12.23,-2.2756790123456785,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.5940963859982835,0.7421050933018172,-3.8464609053497965,-4.463333333333332,-1.4846913580246976,0.6166666666666663,2.4459999999999997,-1,-1.0,-1,1,1,-1,1.0,1.0
0.0,-12,-11.300000000000002,-11.610973936899866,-14.275073000591002,92.7,93.23333333333332,104.9,104.53333333333336,Sat 12-11 12-11,H,220 (Ⅳ),Boston University,"L, 65-62",62,99.7,49.1,19.3,31.3,28.3,104.5,54.7,19.3,24.1,17.0,0.5,3.0,126.5,94.3453125,95.990625,93.87942386831278,92.45492444234208,106.225,107.55,105.49039780521264,106.72999744293308,20211211,93.0,103.5,-10.5,103.5,102.2,1.2999999999999972,95.6,103.4,-7.78,65.2,2.0242965180964987,122.1220477257909,60.19174964438123,3.971700650897354,124.9218651250595,-3.249828155415248,124.9218651250595,3.971700650897354,124.9218651250595,-3.249828155415248,118.1186535604418,103.1,102.0,1.18,64.9,93.0,103.5,-10.5,103.5,102.2,1.2999999999999972,1.5755310218097103,118.32347199827903,0,97.24867631949832,100.0619869424633,-2.813310622964991,-6.740371079940161,103.17788855394136,101.54200740394911,1.6358811499922439,1.1752701843772153,2021-12-11,-0.7186116759130385,124.94283709384763,3.126090224901766,124.94283709384763,-4.22,-0.5200000000000005,5.2171193415637855,3.6999999999999993,-5.737119341563786,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.38754848109799234,0.5272819939379106,-3.8309739368998654,-3.5200000000000022,-3.8464609053497965,-0.07428571428571473,0.6166666666666663,-1,-1.0,-1,-1,1,-3,-1.0,1.0
3.0,3,-8.333333333333334,-6.573982624599912,-11.043241545938091,114.3,102.73333333333332,110.8,111.06666666666666,Thu 12-16 12-16,A,115 (Ⅱ),Stanford,"L, 89-78 OT",75,103.6,54.1,15.9,11.8,23.0,118.3,55.9,13.3,35.7,36.8,35.5,14.0,131.5,104.32265625,94.3453125,100.6862825788752,96.42675636191623,108.5125,106.225,107.26026520347511,107.46999790785434,20211216,92.5,102.8,-10.299999999999995,103.5,96.7,6.799999999999997,94.9,102.7,-7.83,65.4,14.08945429481006,126.03689306002912,63.44637268847796,14.611470098659225,127.8701647074092,15.457447875115195,127.8701647074092,14.611470098659225,127.8701647074092,15.457447875115195,127.75163783829163,105.1,96.1,9.01,68.2,92.5,102.8,-10.299999999999995,103.5,96.7,6.799999999999997,11.6527166226142,126.33257220336799,0,98.2162513199858,101.65690879726957,-3.4406574772837644,-7.687719453259689,101.6973718840786,106.94135739252326,-5.243985508444652,-1.2692461061717777,2021-12-16,2.724615254226137,135.7187202926142,5.769226779475595,135.7187202926142,10.83,10.309999999999999,3.304746227709191,-0.5200000000000005,7.005253772290808,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,0.09121121972586788,0.39762969110915025,1.2560173754000878,-0.5033333333333339,-3.8309739368998654,1.2887500000000003,-0.07428571428571473,1,-1.0,1,1,-1,3,-3.0,-1.0
6.0,-3,-4.033333333333336,-5.515988416399944,-9.65356126485844,93.6,100.2,97.0,104.23333333333332,Sun 12-19 12-19,A,136 (Ⅲ),California,"L, 61-55",62,89.0,39.1,8.1,21.4,7.8,98.7,46.5,16.2,33.3,22.8,-8.0,12.0,124.0,98.961328125,104.32265625,98.3241883859168,95.91280065974964,102.75625,108.5125,103.84017680231676,105.56636192460807,20211219,94.5,103.4,-8.900000000000006,99.7,95.0,4.700000000000003,95.6,103.1,-7.45,65.3,11.5463617045434,118.03672501956017,61.12005689900427,11.75579600255395,121.3886094411663,15.951069384306498,121.3886094411663,11.75579600255395,121.3886094411663,15.951069384306498,122.1495824202442,100.5,94.2,6.27,65.8,94.5,103.4,-8.900000000000006,99.7,95.0,4.700000000000003,10.748795902782593,116.61869240975484,0,98.44949120561698,100.68418123485344,-2.234690029236461,-6.766500861191202,96.52598680662838,95.34928620079248,1.1767006058359044,1.830964971483942,2021-12-19,5.442623456725784,120.07731525683413,6.923905169158786,120.07731525683413,4.45,14.759999999999998,5.639830818472793,10.309999999999999,9.120169181527205,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.12654895447355774,0.3021087588602571,1.9340115836000562,3.4166666666666643,1.2560173754000878,1.6400000000000006,1.2887500000000003,1,1.0,1,1,1,3,3.0,-3.0
0.5,-10,-3.5,-7.210658944266628,-9.825641034884177,88.2,98.7,98.8,102.2,Tue 12-21 12-21,A,307 (Ⅳ),Cal St. Bakersfield,"L, 61-57",62,91.3,49.0,25.6,24.2,24.0,97.7,48.1,12.8,22.6,28.3,-4.0,4.5,122.0,93.5806640625,98.961328125,94.94945892394456,94.51047326706788,100.778125,102.75625,102.16011786821116,104.33611430195208,20211221,94.6,102.7,-8.100000000000009,93.5,99.5,-6.0,95.9,102.7,-6.78,65.1,4.466471929673411,117.6392003097803,61.48847795163584,4.562398206360584,120.18078262885409,1.4489718265280769,120.18078262885409,4.562398206360584,120.18078262885409,1.4489718265280769,108.80156085049646,94.5,99.2,-4.68,66.4,94.6,102.7,-8.100000000000009,93.5,99.5,-6.0,0.4368295442594841,108.66446653565198,0,98.69881603366947,100.8749879868067,-2.176171953137228,-6.430517962036615,87.69579439292104,95.09029857911808,-7.3945041861970395,-6.489931118943993,2021-12-21,-0.18072537383090292,115.10109707300961,1.5739209119786963,115.10109707300961,-3.2199999999999998,11.54,8.679887212315196,14.759999999999998,2.8601127876848036,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.3341175708976246,0.5068662317164013,-0.43065894426662776,3.2800000000000002,1.9340115836000562,1.1540000000000008,1.6400000000000006,-1,1.0,1,1,1,1,3.0,3.0
