ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-4.0,-1,,-1.2999999999999972,-1.2999999999999972,95.5,0.0,96.8,0.0,Tue 11-09 11-09,H,284 (Ⅳ),Illinois Chicago,"W, 64-54",60,105.9,49.0,14.9,36.4,45.1,89.3,45.6,16.5,17.1,3.5,-17.0,-14.0,135.0,95.5,0.0,95.5,95.5,96.8,0.0,96.8,96.8,20211109,101.6,97.2,4.399999999999992,96.4,101.4,-5.0,103.5,93.6,9.86,67.5,-15.098678391123777,130.74685844583516,66.73186344238977,-10.143370875644564,134.74369761628395,0.8280221231086387,134.74369761628395,-10.143370875644564,134.74369761628395,0.8280221231086387,126.2724976010348,95.7,103.2,-7.5,69.5,101.6,97.2,4.399999999999992,96.4,101.4,-5.0,0.8280221231086387,126.2724976010348,0,95.95550893853252,89.28820172105449,6.667307217478026,9.23119610636686,0.0,0.0,0.0,0.0,2021-11-09,0.0,0.0,,0.0,-10.86,-10.86,0.0,0.0,-10.86,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,3,0.9087887802741321,0.5,-11.159999999999997,,0.0,-10.86,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-19.0,-17,,-6.666666666666666,-4.227272727272727,90.3,0.0,107.7,0.0,Sat 11-13 11-13,H,262 (Ⅳ),UMass Lowell,"L, 59-58",60,96.5,46.7,24.9,35.5,45.7,98.1,41.9,13.3,34.1,14.5,-17.5,-18.0,134.5,92.9,95.5,93.76666666666668,94.55454545454543,102.25,96.8,100.43333333333334,98.78181818181817,20211113,98.8,94.5,4.299999999999997,96.3,105.4,-9.100000000000009,103.5,93.6,9.86,67.3,-16.631603205826956,136.0411153499914,69.11891891891892,-13.161003473737928,138.37734354545523,12.420148592613199,138.37734354545523,-13.161003473737928,138.37734354545523,12.420148592613199,131.00648935237632,95.4,104.3,-8.89,72.2,98.8,94.5,4.299999999999997,96.3,105.4,-9.100000000000009,12.420148592613199,131.00648935237632,0,100.80696313069684,95.25911373728216,5.54784939341468,10.634257089937526,94.38151696124427,106.4318000453558,-12.050283084111527,-18.247995908066816,2021-11-13,-16.211299683738233,139.91890499260506,-21.824755285931772,139.91890499260506,-26.86,-37.72,-10.86,-10.86,-26.86,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,3,0.9567618672531671,0.938697754417711,-16.526666666666664,,-11.159999999999997,-18.86,-10.86,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-28.0,-35,-17.900000000000002,-16.11111111111111,-9.822314049586776,83.3,89.7,118.3,107.6,Wed 11-17 11-17,H,259 (Ⅳ),Lipscomb,"L, 78-59",65,90.6,44.2,20.0,23.5,32.7,119.8,69.4,18.4,9.5,26.5,2.0,-9.0,135.0,88.1,92.9,90.2777777777778,92.5082644628099,110.275,102.25,106.38888888888889,102.33057851239668,20211117,98.2,95.5,2.700000000000003,100.2,103.5,-3.299999999999997,102.2,94.1,8.15,65.5,-12.363749265692874,132.12386620882592,66.24537695590327,-7.790396124027453,134.1365697326063,2.4164916942211545,134.1365697326063,-7.790396124027453,134.1365697326063,2.4164916942211545,135.7262166601129,99.3,104.3,-5.0,71.1,98.2,95.5,2.700000000000003,100.2,103.5,-3.299999999999997,2.537110401926308,135.67536759299728,0,98.35155490103892,96.89237050025412,1.4591844007848067,7.102750883772731,97.34765705144564,94.7932405465681,2.554416504877537,0.8802147586050395,2021-11-17,-2.8245068471533514,127.3637107875559,-6.051049906648629,127.3637107875559,-43.15,-80.87,-19.813333333333333,-37.72,-61.05666666666667,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,3,0.804317030846224,0.6060354095766277,-24.261111111111113,-26.050000000000004,-16.526666666666664,-26.956666666666667,-18.86,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-20.0,-14,-22.36666666666667,-15.640740740740744,-10.709166040571,109.8,94.46666666666664,124.5,116.83333333333331,Sat 11-20 11-20,H,276 (Ⅳ),Austin Peay,"L, 87-81",73,110.3,50.8,20.4,40.0,43.3,118.4,57.7,20.4,34.4,71.2,40.0,-14.0,128.0,98.95,88.1,96.78518518518518,95.65221637866264,117.3875,110.275,112.42592592592594,106.36138241923364,20211120,97.2,97.1,0.1000000000000085,95.2,105.7,-10.5,101.1,95.8,5.23,65.2,-14.593645945967204,123.97456345010434,63.25234708392605,-10.237961996495898,126.9377533728586,1.0842714896190713,126.9377533728586,-10.237961996495898,126.9377533728586,1.0842714896190713,124.89213814202898,93.3,105.9,-12.64,68.2,97.2,97.1,0.1000000000000085,95.2,105.7,-10.5,1.1327515997538882,124.86162384153663,0,93.55134287344345,106.9676373974418,-13.41629452399836,-25.95887184005971,105.4940114486134,101.2120801331058,4.281931315507606,2.155517673371741,2021-11-20,8.019817837741272,134.44056655161367,16.222732039944447,134.44056655161367,-19.23,-100.10000000000001,-40.16555555555556,-80.87,-59.93444444444445,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.9087887802741321,0.22249555033358148,-20.870740740740743,-27.59666666666667,-24.261111111111113,-25.025,-26.956666666666667,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
22.0,30,-6.466666666666669,-0.327160493827165,-3.2529540331944533,110.8,101.3,80.5,107.76666666666668,Thu 11-25 11-25,N,68 (Ⅱ),Miami FL,"W, 76-60",68,111.5,70.7,23.5,10.0,34.8,88.0,41.7,13.2,18.2,20.0,1.5,6.0,134.5,104.875,98.95,101.45679012345678,98.40635885526945,98.94375,117.3875,101.78395061728396,101.65931288846387,20211125,98.4,99.7,-1.2999999999999972,107.9,98.8,9.100000000000009,101.8,98.5,3.32,65.6,3.909849228961903,132.37863519953572,65.04011379800853,6.908867289724924,136.6120758738314,17.86528675986395,136.6120758738314,6.908867289724924,136.6120758738314,17.86528675986395,142.27525324326464,106.9,97.5,9.36,69.7,98.4,99.7,-1.2999999999999972,107.9,98.8,9.100000000000009,17.914000284260172,141.82701626511627,0,94.42164498180703,103.313268737954,-8.89162375614697,-23.111355783910412,98.18703733381686,103.1067872998782,-4.919749966061346,-5.3036316511787565,2021-11-25,2.7250392680291924,132.60958923393775,11.582164040764091,132.60958923393775,26.68,-73.42000000000002,-60.14370370370371,-100.10000000000001,-13.276296296296309,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,3,0.2838545830986763,0.3976141143472145,-3.647160493827165,-9.786666666666669,-20.870740740740743,-14.684000000000001,-25.025,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
17.0,23,13.0,7.581893004115225,1.5930376092045395,116.9,112.5,93.5,99.5,Fri 11-26 11-26,N,6 (I-A),Kansas,"W, 74-73",67,110.0,57.3,29.7,51.9,34.5,108.5,53.3,10.4,35.3,33.3,7.5,16.0,139.5,110.8875,104.875,106.6045267489712,101.76883906340224,96.221875,98.94375,99.022633744856,100.17580145419772,20211126,98.6,99.9,-1.3000000000000114,114.4,92.1,22.30000000000001,102.5,97.8,4.77,65.6,14.787068687289036,134.28728549797245,65.97325746799432,15.877335513046447,138.71698316723638,23.45881794482857,138.71698316723638,15.877335513046447,138.71698316723638,23.45881794482857,140.74140299631858,116.1,88.8,27.25,70.7,98.6,99.9,-1.3000000000000114,114.4,92.1,22.30000000000001,23.812753633149526,140.44612002839787,0,97.77383981269809,103.1799368362545,-5.406097023556413,-20.081233412123087,112.97007726620282,100.40794253753148,12.562134728671339,11.064939156136688,2021-11-26,12.4379248504992,145.23629846887735,20.548144619883843,145.23629846887735,18.23,-55.19000000000001,-64.56913580246915,-73.42000000000002,9.379135802469136,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,3,0.06377814989000363,0.11809488521836742,2.811893004115225,8.23,-3.647160493827165,-9.198333333333332,-14.684000000000001,1,-1.0,1,-1,-1,1,-3.0,-3.0
5.0,16,23.46666666666667,10.621262002743483,4.339758043894624,105.8,111.16666666666669,89.1,87.69999999999999,Sun 11-28 11-28,N,67 (I),Belmont,"W, 63-61",62,101.1,57.8,20.9,25.9,15.7,97.9,50.9,16.1,19.2,14.5,-21.5,3.0,145.5,108.34375,110.8875,106.3363511659808,102.50177741551092,92.6609375,96.221875,95.71508916323734,98.16201937161632,20211128,100.5,98.9,1.5999999999999943,107.7,97.0,10.700000000000005,103.6,97.6,6.01,65.3,3.4152448545324603,137.51667907291423,66.50753911806544,6.155658014904148,139.06028390395107,8.780713830895765,139.06028390395107,6.155658014904148,139.06028390395107,8.780713830895765,142.51650699043157,109.1,97.8,11.26,71.6,100.5,98.9,1.5999999999999943,107.7,97.0,10.700000000000005,9.815517814423588,141.38927554081533,0,97.89387974413376,102.15172072914255,-4.257840985008798,-19.24930661527991,105.7243964736956,96.7324957213344,8.991900752361204,15.467167185321417,2021-11-28,9.06896476527399,138.1701516535143,23.089072393347855,138.1701516535143,9.99,-45.20000000000001,-61.4427572016461,-55.19000000000001,16.242757201646093,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.38754848109799234,0.19387335391167881,4.611262002743484,17.45666666666667,2.811893004115225,-6.457142857142857,-9.198333333333332,1,1.0,1,-1,-1,1,1.0,-3.0
19.5,27,22.40000000000001,16.114174668495657,8.477983854095601,120.4,114.36666666666667,93.3,91.96666666666664,Wed 12-01 12-01,H,325 (Ⅳ),Alabama St.,"W, 93-54",68,135.8,55.6,11.7,42.9,42.9,78.9,39.8,24.8,26.3,27.8,8.0,-19.5,139.0,114.371875,108.34375,111.02423411065388,105.75599970359984,92.98046875,92.6609375,94.91005944215824,97.27801584950426,20211201,101.6,99.2,2.3999999999999915,92.3,106.9,-14.600000000000009,104.1,97.9,6.23,64.6,-19.20517390289914,131.39699880292355,67.08108108108108,-15.57380221477176,137.9481139938879,-15.337398560970067,137.9481139938879,-15.57380221477176,137.9481139938879,-15.337398560970067,140.04001293187972,88.3,105.4,-17.05,73.0,101.6,99.2,2.3999999999999915,92.3,106.9,-14.600000000000009,-10.877804343663323,137.12109651223153,0,99.77254264667808,100.80580752965383,-1.0332648829757574,-11.199445872309074,103.77061983133206,106.49893544722204,-2.728315615889983,-4.400001975180638,2021-12-01,-5.19268812118645,145.002243002101,2.829370099047928,145.002243002101,20.77,-24.43000000000001,-56.02850480109741,-45.20000000000001,31.598504801097402,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.9683545838833274,0.689538177119007,9.884174668495657,16.17000000000001,4.611262002743484,-3.05375,-6.457142857142857,1,1.0,1,-1,-1,1,1.0,1.0
20.5,34,26.200000000000006,22.342783112330444,13.263804971532767,109.9,112.03333333333336,75.1,85.83333333333333,Sat 12-04 12-04,H,317 (Ⅳ),Northern Illinois,"W, 79-41",66,119.3,62.5,25.7,38.5,17.9,61.9,31.8,19.6,21.4,21.8,-4.5,-17.5,124.5,112.1359375,114.371875,110.6494894071026,106.50945430294531,84.040234375,92.98046875,88.30670629477216,93.24564933141257,20211204,102.7,99.0,3.700000000000003,89.7,102.7,-13.0,104.6,97.6,6.96,64.1,-16.17754624966212,120.26960474420963,61.182219061166414,-13.901906647127333,122.45451825998578,-22.994375659494537,122.45451825998578,-13.901906647127333,122.45451825998578,-22.994375659494537,116.66598749957237,90.1,104.2,-14.08,67.1,102.7,99.0,3.700000000000003,89.7,102.7,-13.0,-13.38801519325446,113.83709607529747,0,101.00433276049544,98.3523007270444,2.65203203345105,-4.524061524450122,87.92522825625643,99.79393315781996,-11.868704901563532,-8.718520609232543,2021-12-04,-12.30082561691799,118.00950978332912,-4.165935800849859,118.00950978332912,27.04,2.6099999999999888,-45.495669867398284,-24.43000000000001,48.10566986739828,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.9522096477271853,0.8793025176007012,15.382783112330443,19.240000000000006,9.884174668495657,0.29000000000000004,-3.05375,1,1.0,1,1,-1,3,1.0,1.0
-3.5,3,21.800000000000008,16.0618554082203,11.488567703981357,105.1,111.8,101.6,90.0,Wed 12-08 12-08,A,59 (I),SMU,"L, 77-69",69,99.9,46.8,13.0,21.6,24.2,111.4,59.3,13.0,10.3,31.5,10.0,4.5,136.0,108.61796875,112.1359375,108.79965960473508,106.25318988422798,92.8201171875,84.040234375,92.73780419651476,94.76462218024665,20211208,103.4,97.8,5.6000000000000085,107.2,99.5,7.700000000000003,105.4,97.5,7.88,64.1,4.760269257737193,133.05539888905713,62.91465149359886,5.022180265208178,134.23455645363106,-6.203630877780054,134.23455645363106,5.022180265208178,134.23455645363106,-6.203630877780054,134.54268662741558,109.8,100.0,9.73,69.0,103.4,97.8,5.6000000000000085,107.2,99.5,7.700000000000003,6.356919789851976,129.3057986832961,0,101.1284511454915,100.38577635936517,0.7426747861263294,-5.755477629937755,103.5478796494798,100.75572758183704,2.7921520676427605,7.774572755971431,2021-12-08,5.0501404322666446,133.01879176093325,10.291778582290014,133.01879176093325,-4.88,-2.270000000000011,-29.46044657826553,2.6099999999999888,27.19044657826552,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.3341175708976246,0.3152704186626608,8.1818554082203,13.920000000000009,15.382783112330443,-0.2270000000000003,0.29000000000000004,1,1.0,1,-1,1,1,3.0,1.0
