ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
6.0,-16,,-16.299999999999997,-16.299999999999997,69.7,0.0,86.0,0.0,Sun 11-14 11-14,A,246 (Ⅳ),Rider,"L, 63-53",77,69.0,35.8,27.3,26.8,25.0,82.0,35.9,15.6,29.8,22.5,-33.5,16.0,149.5,69.7,0.0,69.7,69.7,86.0,0.0,86.0,86.0,20211114,96.7,110.5,-13.799999999999995,102.3,106.0,-3.700000000000003,88.7,110.7,-21.95,72.6,15.253585072592287,143.4078466842388,71.2574679943101,12.0833154669469,157.36203626375948,10.178293693203846,157.36203626375948,12.0833154669469,157.36203626375948,10.178293693203846,121.83653774655562,98.3,104.8,-6.59,69.0,96.7,110.5,-13.799999999999995,102.3,106.0,-3.700000000000003,10.272981939015331,121.9348774353616,0,109.46832444186416,109.15078971413097,0.31753472773318947,-1.2102978519319951,0.0,0.0,0.0,0.0,2021-11-14,-0.0,0.0,,0.0,5.949999999999999,5.949999999999999,0.0,0.0,5.949999999999999,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.06377814989000363,0.5,5.650000000000002,,0.0,5.949999999999999,0.0,1,0.0,1,1,1,3,0.0,0.0
6.5,-5,,-12.7,-14.336363636363632,101.3,0.0,106.8,0.0,Sat 11-20 11-20,H,181 (Ⅳ),UNC Wilmington,"L, 67-63",62,102.0,50.9,21.0,34.5,18.5,108.5,47.7,19.4,45.5,12.1,-12.0,10.5,142.0,85.5,69.7,80.23333333333335,75.44545454545454,96.4,86.0,92.93333333333334,89.78181818181818,20211120,94.0,107.8,-13.799999999999995,95.3,104.0,-8.700000000000003,86.8,108.4,-21.55,73.4,6.095828509503434,140.00201936642483,72.5647226173542,-0.47442484647173444,148.67941671902202,7.001557222985639,148.67941671902202,-0.47442484647173444,148.67941671902202,7.001557222985639,98.18812193236114,96.0,103.9,-7.9,69.5,94.0,107.8,-13.799999999999995,95.3,104.0,-8.700000000000003,7.037471300451995,98.25642836301131,0,91.25759214788872,96.80748453916767,-5.549892391278959,-7.476511251983265,95.09171335844012,90.91750305538612,4.1742103030539965,9.017816934098782,2021-11-20,3.107124626639987,129.69431361204965,9.921593043839806,129.69431361204965,16.55,22.5,5.949999999999999,5.949999999999999,16.55,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.15865525393145707,0.38364687489351534,8.850000000000001,,5.650000000000002,11.25,5.949999999999999,1,1.0,1,1,1,3,3.0,0.0
-21.0,-42,-21.5,-22.7,-19.49338842975206,89.9,86.96666666666665,132.6,108.46666666666664,Sat 11-27 11-27,A,226 (Ⅳ),LIU Brooklyn,"L, 99-65",75,87.2,39.0,14.8,30.4,27.9,132.8,55.0,12.1,46.7,18.8,18.0,13.0,146.0,87.7,85.5,83.45555555555558,78.07355371900826,114.5,96.4,106.15555555555557,97.56694214876032,20211127,95.3,109.3,-14.0,93.9,100.8,-6.899999999999992,88.5,110.0,-21.49,70.1,12.955866431522395,142.33236814004084,73.78947368421052,9.151334293517678,150.00887049019326,-1.0092735240662765,150.00887049019326,9.151334293517678,150.00887049019326,-1.0092735240662765,125.23357258910956,93.5,102.4,-8.88,74.0,95.3,109.3,-14.0,93.9,100.8,-6.899999999999992,-0.7168741814962812,124.9433883195894,0,91.72291565666596,105.55746082492917,-13.834545168263205,-11.302379588509408,90.70505920864156,104.14604804176004,-13.440988833118482,-3.856080799179912,2021-11-27,4.204858568155657,144.275559247112,7.404095074815984,144.275559247112,-20.51,1.9899999999999984,11.466666666666667,22.5,-9.476666666666668,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.10784037468050733,0.3444078679195177,-1.2100000000000009,-0.010000000000001563,8.850000000000001,0.6633333333333304,11.25,-1,1.0,-1,1,1,-1,3.0,3.0
6.5,-18,-22.13333333333333,-21.2,-19.258226897069864,68.4,86.53333333333335,86.6,108.66666666666669,Thu 12-02 12-02,H,146 (Ⅲ),Delaware,"L, 59-48",66,72.5,37.2,34.8,36.1,46.8,89.2,52.8,27.2,29.0,7.4,-40.0,17.5,147.0,78.05000000000001,87.7,78.43703703703706,76.31472577009767,100.55,114.5,99.63703703703705,95.57295266716751,20211202,95.6,112.2,-16.60000000000001,107.3,106.2,1.0999999999999943,89.3,112.0,-22.73,70.0,13.609492720187191,144.1561054370053,68.10810810810813,8.826923909017495,154.47022053697657,15.638791468656335,154.47022053697657,8.826923909017495,154.47022053697657,15.638791468656335,146.0882289118375,106.9,104.9,1.96,68.4,95.6,112.2,-16.60000000000001,107.3,106.2,1.0999999999999943,14.32897303470296,146.13936059823098,0,84.40262331854812,99.04181175541834,-14.639188436870214,-9.44208319987968,107.28363151633503,107.87767481657974,-0.5940433002447065,-1.8290030528365049,2021-12-02,6.754404971359605,137.37017463365476,3.385569160417461,137.37017463365476,4.73,6.719999999999999,8.307777777777778,1.9899999999999984,-1.587777777777779,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.047790352272814696,0.26002229782957,1.5300000000000011,0.5966666666666711,-1.2100000000000009,1.6799999999999997,0.6633333333333304,1,-1.0,-1,1,1,1,-1.0,3.0
-2.0,-14,-24.99999999999999,-18.83333333333333,-18.320367461238977,90.9,83.06666666666668,105.0,108.06666666666663,Sat 12-04 12-04,A,149 (Ⅲ),Longwood,"L, 78-58",68,85.5,57.0,31.0,25.0,12.0,115.0,57.9,23.6,41.2,12.7,1.0,18.0,135.0,84.47500000000001,78.05000000000001,82.59135802469137,78.9665938118981,102.775,100.55,101.4246913580247,97.28696127313708,20211204,93.2,110.2,-17.0,101.9,101.7,0.2000000000000028,87.8,110.4,-22.6,69.5,16.483261606128117,129.87983217464497,65.4466571834993,15.644283301718964,139.3287209860681,22.809410014386078,139.3287209860681,15.644283301718964,139.3287209860681,22.809410014386078,123.02050959507578,99.0,102.0,-3.05,66.2,93.2,110.2,-17.0,101.9,101.7,0.2000000000000028,19.67149242499241,124.73542668220524,0,86.93395544585152,98.78243464173202,-11.8484791958805,-8.281700742198975,101.40295540609166,101.33842250284664,0.06453290324502348,5.317398579882717,2021-12-04,11.640163926731056,126.59884524604135,10.705501801067612,126.59884524604135,8.600000000000001,15.32,7.778518518518519,6.719999999999999,7.5414814814814815,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.04323813274683286,0.13380418562687235,3.766666666666673,-2.399999999999988,1.5300000000000011,3.064,1.6799999999999997,1,1.0,1,1,1,3,1.0,-1.0
-13.0,-41,-24.699999999999992,-26.488888888888887,-22.589391559195526,98.2,85.83333333333333,140.0,110.53333333333336,Mon 12-06 12-06,A,107 (Ⅱ),Liberty,"L, 96-60",63,94.8,41.4,12.6,25.6,31.0,151.7,71.8,14.2,38.5,34.5,29.5,23.0,126.5,91.3375,84.47500000000001,87.79423868312759,82.46357675518935,121.3875,102.775,114.28312757201648,105.05296831438488,20211206,92.7,109.9,-17.200000000000003,102.6,96.6,6.0,87.8,110.7,-22.9,69.4,20.86459319980961,124.78547589745932,62.4896159317212,18.530854228926998,130.2594691295315,17.37176878046313,130.2594691295315,18.530854228926998,130.2594691295315,17.37176878046313,113.88829796773055,102.9,97.9,4.97,63.3,92.7,109.9,-17.200000000000003,102.6,96.6,6.0,17.69305160341746,114.51233612484471,0,90.14455450257776,104.00940936041296,-13.864854857835198,-9.091639034022396,101.8836608756459,100.90502549089663,0.9786353847492677,2.9276386866323447,2021-12-06,13.170743939768059,126.6613323047804,9.206583689488674,126.6613323047804,-18.1,-2.780000000000001,10.292345679012346,15.32,-13.072345679012347,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.01424485985536783,0.10485621614344875,-3.5888888888888886,-1.7999999999999936,3.766666666666673,-0.4633333333333347,3.064,-1,1.0,-1,-1,1,-3,3.0,1.0
-8.0,-38,-31.466666666666654,-30.49259259259259,-25.48222945752361,95.7,94.93333333333334,134.2,126.4,Sat 12-11 12-11,H,305 (Ⅳ),St. Francis NY,"L, 75-61",60,101.0,50.0,23.2,29.6,36.2,124.2,52.3,13.2,48.8,18.2,-1.5,6.0,137.5,93.51875,91.3375,90.4294924554184,84.87019916333674,127.79375,121.3875,120.92208504801098,110.35242862086034,20211211,93.0,111.9,-18.90000000000001,93.6,104.9,-11.300000000000011,88.4,112.1,-23.74,69.4,1.6895160259162765,135.8003762804361,68.9064011379801,1.0713825660466938,142.61285980053202,0.8218016491467797,142.61285980053202,1.0713825660466938,142.61285980053202,0.8218016491467797,127.17834221127997,92.0,107.6,-15.58,69.8,93.0,111.9,-18.90000000000001,93.6,104.9,-11.300000000000011,2.570617941930849,128.4782246468001,0,90.21812904424118,109.30694390214242,-19.08881485790124,-15.499716134602034,94.07323085173935,98.30948886570516,-4.236258013965809,-13.7265173097732,2021-12-11,6.191616920248109,134.87265083628517,-0.42558929748707897,134.87265083628517,-14.260000000000002,-17.040000000000003,5.9348971193415645,-2.780000000000001,-22.974897119341566,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,3,0.2838545830986763,0.2777033400644092,-6.752592592592592,-7.726666666666656,-3.5888888888888886,-2.434285714285714,-0.4633333333333347,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
-25.0,-54,-44.96666666666666,-38.5283950617284,-30.77636955615568,71.6,88.5,126.2,133.46666666666667,Sat 12-18 12-18,N,300 (Ⅳ),North Carolina Central,"L, 86-53",72,73.5,29.5,26.3,37.5,51.8,119.3,58.9,20.8,38.9,35.5,-1.0,8.0,140.0,82.559375,93.51875,84.15299497027894,82.45743567909369,126.996875,127.79375,122.68139003200731,113.23380523524936,20211218,92.3,113.3,-21.0,91.6,106.0,-14.400000000000006,86.7,113.9,-27.11,67.9,7.547355705257516,132.78290396283165,68.86586059743955,4.1918743092503234,142.1694677248183,8.866764231739094,142.1694677248183,4.1918743092503234,142.1694677248183,8.866764231739094,139.82762264168946,89.9,105.4,-15.49,71.3,92.3,113.3,-21.0,91.6,106.0,-14.400000000000006,7.582427998540184,131.42852593478625,0,89.96222919739343,108.44756517165987,-18.485335974266448,-12.449883364533054,98.58392402919908,94.93362966068368,3.6502943685154037,5.721876950026625,2021-12-18,15.1656155389568,135.60854047600583,12.514139126325503,135.60854047600583,-26.89,-43.93000000000001,-1.723401920438957,-17.040000000000003,-42.20659807956105,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.22305842386064167,0.07432106995321663,-11.418395061728404,-17.856666666666662,-6.752592592592592,-5.491250000000001,-2.434285714285714,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-17.0,-46,-46.6,-41.2522633744856,-33.6715750914001,68.9,78.73333333333333,115.6,125.33333333333331,Mon 12-20 12-20,A,143 (Ⅱ),Wagner,"L, 93-51",78,65.3,37.2,29.4,8.8,69.8,119.0,56.1,20.5,35.3,66.7,9.5,25.0,134.5,75.72968750000001,82.559375,79.0686633135193,79.99244737380393,121.2984375,126.996875,120.32092668800487,113.664022465204,20211220,89.9,114.2,-24.3,101.8,100.4,1.3999999999999917,86.2,113.9,-27.69,68.8,24.489168727204316,134.02031076720118,66.7448079658606,21.74081626840649,141.78774994004073,32.00239349528141,141.78774994004073,21.74081626840649,141.78774994004073,32.00239349528141,130.42241601373215,101.9,98.4,3.5,68.2,89.9,114.2,-24.3,101.8,100.4,1.3999999999999917,28.7148835560566,128.27810732043832,0,89.7542092413479,107.78371304752284,-18.029503806174944,-10.608539667201446,97.61584318467108,90.09372246749156,7.522120717179519,4.297452379443568,2021-12-20,20.223968580259758,127.77312871829218,11.758857866712958,127.77312871829218,-18.31,-62.24000000000001,-15.792267946959306,-43.93000000000001,-46.4477320530407,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.008633971998087797,0.027046428343704187,-13.5622633744856,-18.91,-11.418395061728404,-6.915555555555557,-5.491250000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-12.5,-27,-42.833333333333336,-36.5681755829904,-32.4949250747819,89.9,76.8,117.1,119.63333333333333,Wed 12-22 12-22,A,111 (Ⅱ),Temple,"L, 85-48",66,73.1,35.5,21.3,30.2,9.7,129.4,53.8,12.2,40.0,27.7,-0.5,24.5,133.5,82.81484375000001,75.72968750000001,82.67910887567953,81.79382057856684,119.19921875,121.2984375,119.24728445866994,114.28874565334873,20211222,88.5,114.4,-25.90000000000001,97.8,98.5,-0.7000000000000028,86.2,113.9,-27.66,68.8,22.44188271884982,129.99437809112072,65.47254623044097,20.33515318915334,134.13046352472702,30.229387270968925,134.13046352472702,20.33515318915334,134.13046352472702,30.229387270968925,130.74593898806265,99.9,98.5,1.4,66.9,88.5,114.4,-25.90000000000001,97.8,98.5,-0.7000000000000028,22.38202992284024,128.84549773849176,0,89.0784784287935,108.03803974973977,-18.959561320946264,-11.012309429137884,96.14988242274988,96.46587834139292,-0.3159959186430399,-1.7716001207494236,2021-12-22,15.620247166982793,127.79403275294665,7.766179653146125,127.79403275294665,0.6600000000000001,-61.58000000000001,-31.274845297972874,-62.24000000000001,-30.30515470202714,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.009815328628645315,0.06842258797217293,-8.908175582990399,-15.173333333333336,-13.5622633744856,-6.158000000000001,-6.915555555555557,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
