ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-15.0,-12,,-12.400000000000006,-12.400000000000006,104.0,0.0,116.4,0.0,Tue 11-09 11-09,A,66 (I),Davidson,"L, 93-71",69,103.0,45.6,20.3,35.1,42.1,134.9,72.2,14.5,21.7,37.0,27.0,7.0,137.0,104.0,0.0,104.0,104.0,116.4,0.0,116.4,116.4,20211109,102.1,101.2,0.8999999999999915,105.7,102.3,3.4000000000000057,101.0,100.8,0.19,70.2,10.659468600729141,139.89704178560828,67.90327169274538,5.8706656274675595,147.1298330347409,35.83809720842647,147.1298330347409,5.8706656274675595,147.1298330347409,35.83809720842647,172.46675530129068,107.5,97.4,10.08,68.0,102.1,101.2,0.8999999999999915,105.7,102.3,3.4000000000000057,35.83809720842647,172.46675530129068,0,94.98509627827607,95.52386676993572,-0.5387704916596476,-3.9748816027707417,98.663906286183,106.95641316682432,-8.292506880641312,-5.061951325085791,2021-11-09,-1.2958096859948967,136.10128954268356,1.0772274273478075,136.10128954268356,-12.19,-12.19,0.0,0.0,-12.19,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.2524925375469229,0.5491089573155261,-12.590000000000005,,0.0,-12.19,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
17.0,21,,-1.1666666666666723,-6.272727272727278,122.7,0.0,101.4,0.0,Sat 11-13 11-13,A,235 (Ⅲ),Siena,"W, 83-63",67,124.1,60.7,16.4,33.3,30.4,94.2,48.2,20.9,21.9,21.8,9.0,-3.0,137.0,113.35,104.0,110.23333333333336,107.4,108.9,116.4,111.4,113.67272727272729,20211113,99.5,100.2,-0.7000000000000028,98.8,102.6,-3.799999999999997,100.9,100.8,0.19,70.0,-2.2051413732529426,133.74133597219566,68.20768136557611,1.7746568711099684,140.4415661810188,2.161080209841259,140.4415661810188,1.7746568711099684,140.4415661810188,2.161080209841259,142.42154876554355,93.5,102.1,-8.57,68.5,99.5,100.2,-0.7000000000000028,98.8,102.6,-3.799999999999997,2.161080209841259,142.42154876554355,0,104.31115532603198,101.6146928163326,2.696462509699373,8.376034262811418,102.93807261504595,91.08227620352838,11.855796411517574,20.0800509162978,2021-11-13,10.606018476621358,139.65869771295394,10.164582766933265,139.65869771295394,20.81,8.62,-12.19,-12.19,20.81,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.6124515189020077,0.15622441023632927,-1.3566666666666722,,-12.590000000000005,4.31,-12.19,-1,-1.0,1,1,-1,1,-3.0,0.0
-4.0,-5,1.1999999999999982,-2.5444444444444474,-6.095867768595045,104.7,110.46666666666664,110.0,109.26666666666668,Wed 11-17 11-17,H,242 (Ⅳ),La Salle,"W, 85-82 OT",78,108.7,47.5,17.9,28.9,62.7,104.8,49.2,19.2,40.0,37.9,24.0,-7.0,143.0,109.025,113.35,108.38888888888891,106.9090909090909,109.45,108.9,110.93333333333334,113.00495867768596,20211117,101.1,100.4,0.6999999999999886,96.3,100.4,-4.1000000000000085,102.1,100.4,1.65,69.6,-8.46984536817503,142.08791737359525,71.28307254623044,-7.561247791842163,144.64356387496528,-13.328576142682754,144.64356387496528,-7.561247791842163,144.64356387496528,-13.328576142682754,149.67017276249445,96.5,101.1,-4.6,72.0,101.1,100.4,0.6999999999999886,96.3,100.4,-4.1000000000000085,-13.277007125406065,149.7030077903249,0,106.91923914420236,101.51999947024689,5.399239673955478,10.304632965809954,111.5307383364308,85.039913708716,26.4908246277148,39.85521151790561,2021-11-17,12.097282686467722,148.43693560024752,18.56805761917306,148.43693560024752,-6.65,1.9699999999999989,-5.253333333333334,8.62,7.223333333333333,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.7475074624530771,0.12463543897446572,-4.194444444444447,-0.45000000000000173,-1.3566666666666722,0.6566666666666666,4.31,-1,-1.0,1,1,1,1,1.0,-3.0
4.0,7,7.933333333333337,0.9037037037037052,-3.569346356123216,118.4,115.26666666666668,110.6,107.33333333333331,Mon 11-22 11-22,N,153 (Ⅲ),Appalachian St.,"W, 75-68",64,118.1,69.5,22.0,18.8,51.2,107.1,54.0,17.3,20.8,38.0,9.0,-3.0,134.0,113.7125,109.025,111.72592592592596,108.998347107438,110.025,109.45,110.82222222222222,112.56769346356124,20211122,101.6,101.6,0.0,98.7,100.0,-1.2999999999999972,102.7,101.5,1.15,68.9,-1.8995629017076823,131.70486530859222,65.17567567567569,-0.8828421137555438,134.93902154094397,-3.2243785368213,134.93902154094397,-0.8828421137555438,134.93902154094397,-3.2243785368213,137.73954458300128,98.6,100.3,-1.69,66.5,101.6,101.6,0.0,98.7,100.0,-1.2999999999999972,-3.2944184385437687,137.63273331733902,0,107.0223210029206,112.31130017399433,-5.28897917107372,-4.070413501390348,96.2830978640132,104.59241175361753,-8.309313889604326,-7.137512671619172,2021-11-22,-2.540261605985151,147.10071020667243,-1.999002607839678,147.10071020667243,5.85,7.8199999999999985,-2.8455555555555567,1.9699999999999989,10.665555555555555,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.6124515189020077,0.5955826728327345,-0.24629629629629468,6.783333333333337,-4.194444444444447,1.955,0.6566666666666666,-1,-1.0,1,1,1,1,1.0,1.0
3.0,15,6.033333333333341,5.802469135802473,-0.084010655009902,122.4,115.16666666666669,106.8,109.13333333333333,Tue 11-23 11-23,N,177 (Ⅲ),Fordham,"W, 81-71",71,113.6,66.3,23.8,9.5,90.0,99.5,42.5,12.6,33.3,26.9,18.0,-7.0,134.0,118.05625,113.7125,115.28395061728398,111.435011269722,108.4125,110.025,109.48148148148148,111.51902192473192,20211123,101.9,101.8,0.1000000000000085,93.5,99.2,-5.700000000000003,103.7,102.0,1.67,68.4,-4.9225784267849875,130.79362320290443,67.03783783783786,-4.054204093048298,134.82492088745465,-1.5695165545268273,134.82492088745465,-4.054204093048298,134.82492088745465,-1.5695165545268273,140.94317510467775,92.5,98.1,-5.68,68.9,101.9,101.8,0.1000000000000085,93.5,99.2,-5.700000000000003,-1.3225120323098043,140.97696939235502,0,109.91009070876686,112.95035653764172,-3.0402658288748654,-1.9204231327328625,94.59354969802334,98.39252942262024,-3.7989797245969044,-1.7210974300760489,2021-11-23,-0.8927291009643881,147.68400472465055,0.13362364131621973,147.68400472465055,13.33,21.15,0.7096296296296281,7.8199999999999985,20.44037037037037,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.7475074624530771,0.5338779778252849,4.132469135802473,4.363333333333341,-0.24629629629629468,4.23,1.955,1,-1.0,1,1,1,3,1.0,1.0
-6.0,-14,2.966666666666673,-0.965020576131684,-2.7050996268262835,101.1,113.96666666666664,115.6,111.0,Wed 11-24 11-24,N,158 (Ⅲ),Oakland,"L, 81-73",71,103.4,51.5,21.2,41.2,7.5,114.7,59.2,21.2,27.3,55.1,18.0,2.0,136.0,109.578125,118.05625,110.55596707818933,109.55591831159072,112.00625,108.4125,111.520987654321,112.261017938417,20211124,103.0,102.6,0.4000000000000057,98.3,97.4,0.8999999999999915,104.6,102.4,2.14,68.7,0.4243288660538127,135.70293657629355,67.13641536273117,0.36721411463308584,138.39514370706922,2.891966250813871,138.39514370706922,0.36721411463308584,138.39514370706922,2.891966250813871,139.15425220310587,99.5,96.8,2.66,68.7,103.0,102.6,0.4000000000000057,98.3,97.4,0.8999999999999915,2.194907741822299,136.2826941265957,0,111.1211843667502,112.92832292077298,-1.8071385540227851,-1.7072801422848318,96.8986331464477,88.90847288343785,7.990160263009841,6.133640683613746,2021-11-24,7.312536828488675,143.24112447501017,5.264113173938171,143.24112447501017,-16.14,5.009999999999998,7.523086419753084,21.15,-2.513086419753086,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.4244679994402739,0.2430791396641825,-3.1050205761316843,0.8266666666666729,4.132469135802473,0.835,4.23,-1,1.0,-1,1,1,-1,3.0,1.0
2.5,9,3.500000000000005,2.489986282578879,-0.5041724219487762,115.0,112.83333333333331,105.6,109.33333333333331,Sat 11-27 11-27,A,112 (Ⅱ),Temple,"L, 75-74",70,105.9,58.5,24.3,25.9,30.2,107.4,44.3,12.9,41.5,21.4,10.0,3.5,139.0,112.2890625,109.578125,112.03731138545956,110.54575134584694,108.803125,112.00625,109.54732510288068,111.04992376779572,20211127,105.0,104.6,0.4000000000000057,99.4,99.1,0.3000000000000113,105.4,103.7,1.65,68.8,5.363970243389474,138.59075665180103,66.0597439544808,3.8886500250327174,140.90456911532462,-3.491185993146362,140.90456911532462,3.8886500250327174,140.90456911532462,-3.491185993146362,149.88643359729406,102.7,98.9,3.74,67.5,105.0,104.6,0.4000000000000057,99.4,99.1,0.3000000000000113,-0.9462514647835963,149.07827449677833,0,109.19342747917192,110.8761181029321,-1.6826906237601804,-1.3561578563564365,99.79038069912424,99.53570870917224,0.25467198995200135,-5.52693510136167,2021-11-27,5.484651242756087,148.59910129761045,-0.9691892884129842,148.59910129761045,7.35,12.359999999999998,6.685390946502055,5.009999999999998,5.674609053497942,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,-3,0.36944134018176367,0.300714118606921,0.8399862825788791,1.850000000000005,-3.1050205761316843,1.7657142857142856,0.835,1,-1.0,1,1,1,3,-1.0,3.0
-2.5,7,0.7333333333333343,4.093324188385918,0.9147680184055462,107.6,107.9,100.3,107.16666666666669,Tue 11-30 11-30,H,230 (Ⅳ),LIU Brooklyn,"W, 75-67",69,108.0,50.8,15.8,30.8,23.4,96.5,50.0,23.0,31.3,17.2,-9.0,-10.5,151.0,109.94453125,112.2890625,110.55820759030638,110.01016019205656,104.5515625,108.803125,106.46488340192045,109.09539217365104,20211130,106.5,106.1,0.4000000000000057,95.9,101.3,-5.399999999999992,106.5,104.6,1.89,69.2,-11.60603797231613,152.17344702858702,73.03897581792319,-8.964033287146009,156.68381347428917,-16.074720399833453,156.68381347428917,-8.964033287146009,156.68381347428917,-16.074720399833453,158.89563136674704,95.1,102.9,-7.84,74.2,106.5,106.1,0.4000000000000057,95.9,101.3,-5.399999999999992,-16.702272980715968,158.74182816841844,0,109.4640595085746,111.38453560234744,-1.9204760937728338,-2.933030394494037,89.8687042805118,101.88704460747262,-12.01834032696081,-4.362593894163679,2021-11-30,-12.960256605149553,158.2844898598966,-3.0146287720879883,158.2844898598966,5.11,17.47,8.576927297668036,12.359999999999998,8.893072702331963,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,-3,0.8413447460685429,0.891456322950453,2.2033241883859187,-1.1566666666666656,0.8399862825788791,2.18375,1.7657142857142856,1,1.0,1,1,1,3,3.0,-1.0
-6.5,0,5.833333333333333,2.995549458923945,0.8939011059681736,84.6,102.4,83.8,96.56666666666666,Thu 12-02 12-02,A,356 (Ⅳ),Delaware St.,"W, 59-48",66,89.2,52.8,27.2,29.0,7.4,72.5,37.2,34.8,36.1,46.8,-40.0,-17.5,147.0,97.272265625,109.94453125,101.90547172687091,105.3901310662281,94.17578125,104.5515625,98.90992226794695,104.49622996025994,20211202,107.3,106.2,1.0999999999999943,95.6,112.2,-16.60000000000001,106.9,104.9,1.96,68.4,-13.609492720187191,144.1561054370053,68.10810810810813,-8.826923909017495,154.47022053697657,-15.729856171382096,154.47022053697657,-8.826923909017495,154.47022053697657,-15.729856171382096,146.56091932371126,89.3,112.0,-22.73,70.0,107.3,106.2,1.0999999999999943,95.6,112.2,-16.60000000000001,-14.867128339735627,145.92644388076934,0,107.28363151633503,107.87767481657974,-0.5940433002447065,-1.8290030528365049,84.40262331854812,99.04181175541834,-14.639188436870214,-9.44208319987968,2021-12-02,-6.754404971359605,137.37017463365476,-3.385569160417461,137.37017463365476,-1.96,15.509999999999998,11.541284865112022,17.47,3.968715134887976,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9522096477271853,0.73997770217043,1.0355494589239451,3.873333333333333,2.2033241883859187,1.7233333333333334,2.18375,1,1.0,1,1,1,3,3.0,3.0
4.0,7,5.066666666666663,4.363699639282628,2.022282723064868,92.6,94.93333333333332,85.5,89.86666666666666,Sun 12-05 12-05,H,246 (Ⅳ),UMBC,"W, 70-60",71,98.1,42.3,18.2,39.1,16.9,84.1,36.7,18.2,27.9,35.0,-20.0,-6.0,150.0,94.9361328125,97.272265625,98.80364781791396,103.06465269055025,89.837890625,94.17578125,94.43994817863133,101.0423699674854,20211205,106.0,104.4,1.5999999999999943,102.4,105.5,-3.0999999999999943,105.6,103.7,1.91,67.9,-7.092206998319085,145.48374370771376,68.09317211948792,-7.7067351954842,152.68200773386172,-5.167540293177062,152.68200773386172,-7.7067351954842,152.68200773386172,-5.167540293177062,157.17901293358958,101.3,103.7,-2.39,70.5,106.0,104.4,1.5999999999999943,102.4,105.5,-3.0999999999999943,-6.18227823092471,155.70314084137325,0,105.55871625360264,104.92608044892272,0.6326358046799214,-0.7681848626255213,99.66352808474736,99.64245967961394,0.021068405133419787,9.04951078987493,2021-12-05,-4.520492253829801,146.3325587359115,4.699625334235108,146.3325587359115,5.09,20.599999999999998,12.864189910074682,15.509999999999998,7.735810089925316,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.7161454169013237,0.6665924063272631,2.453699639282628,3.1566666666666627,1.0355494589239451,2.06,1.7233333333333334,1,1.0,1,1,1,3,3.0,3.0
