ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
18.0,-1,,-1.7999999999999972,-1.7999999999999972,90.0,0.0,91.8,0.0,Mon 11-15 11-15,N,358 (Ⅳ),IUPUI,"W, 63-47",65,96.8,54.3,18.4,16.1,54.3,72.2,39.4,32.3,33.3,17.3,-22.5,2.0,132.5,90.0,0.0,90.0,90.0,91.8,0.0,91.8,91.8,20211115,94.3,109.0,-14.700000000000005,88.3,105.1,-16.799999999999997,87.8,108.2,-20.35,71.8,2.2604099140145735,133.2258672215027,70.77866287339971,-2.0727797685824214,141.4703512228332,-14.661448867545076,141.4703512228332,-2.0727797685824214,141.4703512228332,-14.661448867545076,113.16287673517252,88.9,105.9,-17.0,69.3,94.3,109.0,-14.700000000000005,88.3,105.1,-16.799999999999997,-14.689360084637878,113.13937703593285,0,86.12031367786611,84.53655490197127,1.583758775894836,-1.053369601397933,89.30951435177414,107.15401223099424,-17.8444978792201,-16.596306957527908,2021-11-15,-12.153084290814867,121.50094202524437,-11.00108323191894,121.50094202524437,19.35,19.35,0.0,0.0,19.35,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.4244679994402739,0.876452985826984,18.550000000000004,,0.0,19.35,0.0,1,0.0,1,1,1,3,0.0,0.0
-5.5,-25,,-9.76666666666666,-6.145454545454541,89.4,0.0,115.1,0.0,Tue 11-16 11-16,A,323 (Ⅳ),UTSA,"L, 78-64",71,90.0,45.8,15.5,12.8,25.4,109.7,52.4,12.7,27.0,27.0,4.5,8.5,137.5,89.7,90.0,89.80000000000001,89.89090909090908,103.45,91.8,99.56666666666666,96.03636363636362,20211116,94.1,108.9,-14.800000000000011,97.5,104.4,-6.900000000000006,88.0,106.4,-18.35,70.7,12.472786839451388,143.1829282886776,74.32048364153628,10.375300339540104,155.4357434347636,-21.237912323982492,155.4357434347636,10.375300339540104,155.4357434347636,-21.237912323982492,127.1956868774127,96.2,103.3,-7.15,73.9,94.1,108.9,-14.800000000000011,97.5,104.4,-6.900000000000006,-21.237912323982492,127.1956868774127,0,85.74321564429981,84.53349730609827,1.2097183382015402,-1.3174704148022247,104.49870303831764,101.34884923930971,3.1498537990079285,2.2232576555131813,2021-11-16,4.817333984593361,133.13234524545203,4.721884364665911,133.13234524545203,-6.649999999999999,12.700000000000003,19.35,19.35,-6.649999999999999,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.20910695659274503,0.32319115503846385,8.583333333333341,,18.550000000000004,6.350000000000001,19.35,1,1.0,-1,1,1,1,3.0,0.0
1.0,-12,-13.166666666666664,-10.511111111111108,-7.209917355371896,97.8,92.4,109.8,105.56666666666666,Wed 11-17 11-17,N,264 (Ⅳ),Texas A&M Corpus Chris,"L, 69-67",68,99.0,54.3,26.6,32.1,48.9,101.9,48.2,19.2,30.6,39.3,3.5,3.0,132.5,93.75,89.7,92.46666666666668,91.32892561983468,106.625,103.45,102.97777777777776,98.5388429752066,20211117,93.7,106.6,-12.899999999999991,93.0,106.6,-13.599999999999994,87.9,106.6,-18.63,70.0,-0.43649230377275217,133.37957682427123,71.29445234708392,-0.5442021924517064,145.14649904389856,1.7384966200802416,145.14649904389856,-0.5442021924517064,145.14649904389856,1.7384966200802416,142.1913330321819,87.9,107.3,-19.37,71.6,93.7,106.6,-12.899999999999991,93.0,106.6,-13.599999999999994,1.6232103409099479,142.14516363868282,0,86.2349223616466,84.16910824884948,2.0658141127971135,-0.9142670041843468,95.83475075625964,92.3830509660892,3.451699790170437,4.736269905778511,2021-11-17,0.7269663421429016,116.9281402724752,4.028519344627853,116.9281402724752,6.629999999999999,19.330000000000002,17.133333333333336,12.700000000000003,2.1966666666666654,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,3,0.38754848109799234,0.4724013258704556,8.118888888888891,5.463333333333335,8.583333333333341,6.443333333333333,6.350000000000001,1,1.0,1,1,1,3,1.0,3.0
7.5,-10,-15.899999999999997,-10.340740740740738,-7.717205108940642,99.2,95.46666666666664,109.2,111.36666666666666,Sun 11-21 11-21,H,343 (Ⅳ),Houston Baptist,"W, 74-61",65,113.5,54.0,12.3,25.9,54.0,93.5,48.1,19.9,20.0,30.8,-7.0,-5.5,142.0,96.475,93.75,94.71111111111112,92.760030052592,107.9125,106.625,105.05185185185186,100.47723516153266,20211121,92.9,106.4,-13.5,90.8,109.7,-18.90000000000001,88.2,107.0,-18.86,69.8,-5.302597039722542,140.1269680751017,71.8850640113798,-7.983828003830197,146.08644048467835,-14.720125108723156,146.08644048467835,-7.983828003830197,146.08644048467835,-14.720125108723156,136.0282090583724,90.6,112.1,-21.56,72.4,92.9,106.4,-13.5,90.8,109.7,-18.90000000000001,-14.470353730895487,136.34119601270925,0,92.9130998088674,103.87727878820372,-10.964178979336324,-3.467864976497776,90.83022718267196,103.1821368165784,-12.351909633906445,-9.159914100264634,2021-11-21,-5.031725961318088,139.90483919190694,-5.977430129481988,139.90483919190694,8.86,28.19,17.86555555555556,19.330000000000002,10.324444444444442,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,-3,0.6997944856925475,0.6841060895795723,8.519259259259261,2.9600000000000026,8.118888888888891,7.047499999999999,6.443333333333333,1,1.0,1,1,1,3,3.0,1.0
5.5,-17,-13.300000000000002,-12.860493827160496,-9.568622361860529,96.3,97.76666666666668,114.2,111.06666666666668,Wed 11-24 11-24,A,248 (Ⅳ),Air Force,"L, 66-65",64,102.0,54.6,17.3,18.8,18.5,103.6,59.4,22.0,18.5,29.2,9.0,6.5,122.0,96.3875,96.475,95.24074074074072,93.40366095212072,111.05625,107.9125,108.10123456790124,102.97228331398126,20211124,93.9,107.1,-13.199999999999989,92.5,103.4,-10.900000000000006,89.3,107.4,-18.14,68.3,9.21458224173469,120.18696134519854,62.17923186344239,4.768912782656955,125.3275720931954,8.306805085415316,125.3275720931954,4.768912782656955,125.3275720931954,8.306805085415316,120.53928078722025,94.7,103.3,-8.59,64.0,93.9,107.1,-13.199999999999989,92.5,103.4,-10.900000000000006,8.071127935834602,120.24454074525684,0,98.5853248913333,102.24559141776588,-3.6602665264325793,2.4546381216868447,95.88291362148615,97.30507616305272,-1.4221625415665642,-2.804027092684072,2021-11-24,4.814367003031393,123.9276096233056,-1.5318206076868393,123.9276096233056,1.1400000000000006,29.330000000000002,21.30703703703704,28.19,8.02296296296296,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,3,0.26794249453351904,0.3232926293408598,5.279506172839504,4.839999999999998,8.519259259259261,5.866,7.047499999999999,1,1.0,1,1,1,3,3.0,3.0
2.5,3,-8.100000000000003,-7.373662551440333,-7.174327386976795,101.8,99.09999999999998,98.2,107.2,Sat 11-27 11-27,A,111 (Ⅱ),Utah Valley,"L, 77-68 OT",74,91.7,51.7,24.3,28.1,20.7,103.8,56.3,25.6,28.0,68.8,11.5,11.5,133.5,99.09375,96.3875,97.42716049382716,94.93026805173514,104.628125,111.05625,104.8008230452675,102.10459543871194,20211127,94.3,108.0,-13.700000000000005,100.5,99.2,1.2999999999999972,90.6,107.8,-17.2,68.0,14.316778822572992,131.9130648431013,66.16216216216218,14.009349318664206,137.37222565214665,20.316327368727407,137.37222565214665,14.009349318664206,137.37222565214665,20.316327368727407,133.89763151034515,100.2,101.4,-1.26,68.4,94.3,108.0,-13.700000000000005,100.5,99.2,1.2999999999999972,20.664198988604355,133.92481470041292,0,99.94376365373014,100.7846887226601,-0.8409250689299625,4.375488206003412,102.36878545379555,97.49577141647724,4.873014037318313,0.2011166863461382,2021-11-27,7.697512858785885,136.19735726783136,-0.8669221830406428,136.19735726783136,20.2,49.53,23.981358024691364,29.330000000000002,25.548641975308637,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.13670617005697383,0.23174979870613122,9.826337448559666,9.099999999999996,5.279506172839504,8.255,5.866,1,1.0,1,1,1,3,3.0,3.0
6.5,-1,-5.100000000000004,-5.249108367626889,-6.051722407526468,106.6,101.56666666666666,107.6,106.66666666666669,Thu 12-02 12-02,A,64 (I-A),Wyoming,"L, 77-64",64,99.6,49.1,17.1,20.6,25.9,119.9,50.0,12.5,36.4,49.1,4.0,19.5,137.0,102.846875,99.09375,100.48477366255143,97.0520374968742,106.1140625,104.628125,105.73388203017834,103.10375990440068,20211202,95.4,107.9,-12.5,108.0,97.6,10.400000000000006,91.8,108.2,-16.36,67.4,18.10640846346132,133.56138184002918,64.81137980085349,19.475801631383042,139.83142791980288,27.07053966205243,139.83142791980288,19.475801631383042,139.83142791980288,27.07053966205243,133.2435698056974,105.7,100.3,5.32,67.6,95.4,107.9,-12.5,108.0,97.6,10.400000000000006,25.430509802280593,130.50332369474353,0,104.3562145137266,100.5634241751218,3.792790338604803,6.603766620952314,105.43470804882386,87.89867377044715,17.536034278376718,21.124262131271664,2021-12-02,13.190101109001041,131.75846960708594,11.477244980945358,131.75846960708594,15.36,64.89,32.49757201646091,49.53,32.39242798353909,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,3,0.0316454161166726,0.10452171423865186,11.11089163237311,11.259999999999994,9.826337448559666,9.27,8.255,1,1.0,1,1,1,3,3.0,3.0
1.0,-14,-3.900000000000001,-8.266072245084592,-7.551409242521655,87.9,98.76666666666664,102.2,102.66666666666669,Sun 12-05 12-05,A,121 (Ⅱ),Texas St.,"L, 71-58",67,86.6,52.2,32.9,26.9,37.8,106.1,56.0,26.9,45.2,13.8,-0.5,14.0,129.5,95.3734375,102.846875,96.28984910836763,95.3880306792607,104.15703125,106.1140625,104.55592135345223,102.93943992178237,20211205,96.4,107.9,-11.5,103.1,99.6,3.5,92.4,108.3,-15.94,66.9,14.97700617651072,125.71742395081861,61.761166429587504,13.346541651101965,131.78981178521153,10.728918331443467,131.78981178521153,13.346541651101965,131.78981178521153,10.728918331443467,137.11820098521164,102.8,100.3,2.5,64.9,96.4,107.9,-11.5,103.1,99.6,3.5,12.993562512344758,134.3431482433556,0,101.8037597568084,99.32795272887536,2.475807027933044,5.125311972635678,106.3590579873962,102.38945434007223,3.9696036473239644,3.9203053365478446,2021-12-05,4.621823745301171,133.207639104574,1.0633000086793913,133.207639104574,1.9399999999999995,66.83,43.29504801097394,64.89,23.534951989026055,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.09121121972586788,0.32990565684622797,7.6739277549154075,12.04,11.11089163237311,8.353750000000002,9.27,1,1.0,1,1,1,3,3.0,3.0
-6.5,-24,-13.233333333333334,-13.64404816338973,-10.614789380244993,93.3,95.93333333333334,117.7,109.16666666666669,Thu 12-09 12-09,A,164 (Ⅲ),New Mexico,"L, 87-67",71,94.5,44.5,11.3,18.6,26.6,122.7,49.2,8.5,35.1,50.0,9.5,13.5,144.5,94.33671875,95.3734375,95.29323273891175,95.00838873757694,110.928515625,104.15703125,108.9372809023015,105.62317811782194,20211209,96.1,107.4,-11.300000000000011,102.5,103.9,-1.4000000000000057,92.9,108.5,-15.52,67.2,11.928145669671565,147.87249138476045,71.69274537695591,11.818136865528828,154.17599174399712,11.415238742273152,154.17599174399712,11.818136865528828,154.17599174399712,11.415238742273152,154.61806283127638,100.4,105.5,-5.15,75.0,96.1,107.4,-11.300000000000011,102.5,103.9,-1.4000000000000057,14.062935808793592,154.27883917517485,0,101.20244585255836,100.6547831180923,0.5476627344660585,3.8798768478336942,102.64314414150007,100.20464500598668,2.4384991355133963,0.3843935050935851,2021-12-09,5.600905313047988,150.18528045286655,-0.4558106872414811,150.18528045286655,-8.48,58.349999999999994,51.140032007315966,66.83,7.209967992684028,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.09927139684333097,0.2968715924227654,1.8759518366102697,2.2866666666666653,7.6739277549154075,6.483333333333334,8.353750000000002,1,1.0,1,1,1,3,3.0,3.0
-14.5,-45,-27.933333333333334,-24.129365442259815,-16.8848276747459,86.5,89.23333333333333,131.6,117.16666666666669,Sat 12-11 12-11,A,277 (Ⅳ),Dixie St.,"L, 82-62",69,90.5,52.7,23.4,21.9,10.9,119.7,59.3,21.9,30.3,22.0,-8.0,5.5,152.0,90.418359375,94.33671875,92.36215515927452,93.4614089671084,121.2642578125,110.928515625,116.49152060153432,110.3462366418543,20211211,96.0,108.3,-12.299999999999995,97.9,106.2,-8.299999999999997,93.0,109.1,-16.08,66.8,6.822101006747147,144.9198024776487,70.22076813655761,7.112756880231245,149.56707453428672,2.640260122082834,149.56707453428672,7.112756880231245,149.56707453428672,2.640260122082834,148.75319206050617,96.8,109.3,-12.48,73.9,96.0,108.3,-12.299999999999995,97.9,106.2,-8.299999999999997,4.387512944227042,145.77665962761205,0,99.7864744007362,99.90949896585626,-0.12302456512006188,3.8935212527320022,99.80329538989272,102.84506074389762,-3.0417653540048946,1.9738795744995767,2021-12-11,1.9779273724310968,145.3732497631769,0.6758762509267626,145.3732497631769,-28.92,29.429999999999993,53.54335467154398,58.349999999999994,-24.113354671543988,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.30020551430745246,0.4252917260114121,-8.049365442259816,-11.853333333333335,1.8759518366102697,2.9429999999999996,6.483333333333334,-1,1.0,-1,1,1,-1,3.0,3.0
