ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
32.5,39,,39.3,39.3,119.5,0.0,80.2,0.0,Sun 11-14 11-14,H,207 (Ⅳ),South Dakota,"W, 99-50",72,137.9,64.4,15.3,40.0,50.8,69.6,34.7,25.1,20.5,53.1,6.0,-16.5,143.0,119.5,0.0,119.5,119.5,80.2,0.0,80.2,80.2,20211114,108.1,96.7,11.399999999999991,101.3,102.1,-0.7999999999999972,107.8,94.2,13.54,70.1,-16.3030718548127,143.7240865218431,71.19687055476531,-13.290945402351753,152.01321863458827,-22.550755060764097,152.01321863458827,-13.290945402351753,152.01321863458827,-22.550755060764097,122.63857608251034,98.2,101.9,-3.71,71.4,108.1,96.7,11.399999999999991,101.3,102.1,-0.7999999999999972,-22.550755060764097,122.63857608251034,0,100.44046364526388,106.1908025200306,-5.750338874766726,0.5993183304736414,110.82576427451292,103.53489369319372,7.290870581319197,12.752646245971563,2021-11-14,5.456298754564756,161.20621017217616,6.526190235455644,161.20621017217616,25.46,25.46,0.0,0.0,25.46,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.9419584331306725,0.30165464226294336,25.759999999999998,,0.0,25.46,0.0,1,0.0,1,1,1,3,0.0,0.0
-1.5,5,,27.9,33.08181818181818,102.7,0.0,97.6,0.0,Sat 11-20 11-20,H,96 (Ⅲ),Richmond,"W, 73-70",70,104.9,50.8,21.6,36.1,24.6,100.6,48.4,14.4,28.9,31.1,-3.5,-4.5,146.5,111.1,119.5,113.9,116.44545454545454,88.9,80.2,86.0,83.36363636363636,20211120,108.7,95.2,13.5,107.8,96.2,11.599999999999994,107.3,93.9,13.49,69.9,-5.564841489804635,141.74660382129048,69.60170697012803,-5.518419065566789,147.68478069544625,-28.814742283215775,147.68478069544625,-5.518419065566789,147.68478069544625,-28.814742283215775,154.40002429103478,107.7,96.4,11.3,70.0,108.7,95.2,13.5,107.8,96.2,11.599999999999994,-28.672820438257606,154.53330061136637,0,108.5726426873679,88.38162707092653,20.191015616441376,31.765270076976076,109.0984680085168,100.62701250516976,8.471455503347045,-0.3653193158066418,2021-11-20,-13.245859660720754,146.8198143937592,-24.618255096149,146.8198143937592,-8.49,16.97,25.46,25.46,-8.490000000000002,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.6658824291023754,0.8964375002100824,14.409999999999998,,25.759999999999998,8.485,25.46,1,1.0,-1,1,1,1,3.0,0.0
-9.0,0,14.9,18.700000000000003,27.12148760330578,98.3,106.83333333333331,98.0,91.93333333333334,Thu 11-25 11-25,N,84 (Ⅱ),Belmont,"L, 74-69",72,95.7,46.4,13.9,24.4,17.4,102.7,56.7,18.0,17.9,42.3,-7.0,-4.0,150.0,104.7,111.1,108.70000000000002,113.14628099173552,93.45,88.9,90.0,86.02479338842974,20211125,109.2,95.9,13.299999999999995,107.5,97.9,9.599999999999994,108.1,94.7,13.39,69.1,-2.289302859104197,147.46436599859877,70.67268847795164,-2.7581635389199306,151.852872731223,-10.190405116644575,151.852872731223,-2.7581635389199306,151.852872731223,-10.190405116644575,148.65924416327883,109.0,98.5,10.53,71.9,109.2,95.9,13.299999999999995,107.5,97.9,9.599999999999994,-10.727436082102278,148.88166338494793,0,105.56171139856112,86.56535776513955,18.996353633421563,21.803892249578723,105.53485823571177,99.18675257242958,6.348105663282183,12.781550699134124,2021-11-25,-9.651081916640578,141.77310655096642,-6.376331337362487,141.77310655096642,-13.39,3.5799999999999983,22.630000000000003,16.97,-19.050000000000004,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.6483807083005341,0.820991612446234,5.310000000000002,1.5099999999999998,14.409999999999998,1.1933333333333316,8.485,1,1.0,-1,1,1,1,1.0,3.0
-2.5,6,3.866666666666669,14.53333333333334,23.31758076634109,100.8,100.6,94.6,96.73333333333332,Fri 11-26 11-26,N,25 (I-A),Alabama,"L, 80-71",74,96.3,48.4,20.3,34.2,27.0,108.5,58.8,23.0,33.3,38.6,0.0,6.5,151.0,102.75,104.7,106.06666666666668,110.90150262960178,94.025,93.45,91.53333333333332,87.5839218632607,20211126,109.5,96.1,13.400000000000006,110.5,91.4,19.099999999999994,107.5,94.8,12.75,68.9,5.034195324798475,147.04431528686584,72.23229018492178,4.511181216959287,152.35974437273097,3.203067928481748,152.35974437273097,4.511181216959287,152.35974437273097,3.203067928481748,142.99328149792325,111.6,91.9,19.71,73.7,109.5,96.1,13.400000000000006,110.5,91.4,19.099999999999994,3.1885494178368923,142.7923658015695,0,106.99153741314151,86.67343817588066,20.318099237260853,20.71223119445492,109.0571120724662,94.48582880223422,14.571283270231973,20.007046999166725,2021-11-26,-4.851536093531564,144.48734683217734,-0.5093706942787719,144.48734683217734,-6.75,-3.1700000000000017,16.28,3.5799999999999983,-19.450000000000003,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.26794249453351904,0.6779776463648857,1.7833333333333403,-8.883333333333331,5.310000000000002,-0.7925000000000004,1.1933333333333316,1,1.0,-1,-1,1,-1,1.0,1.0
-7.5,5,4.066666666666667,11.588888888888894,20.11438426336998,107.7,102.26666666666668,102.0,98.2,Sun 11-28 11-28,N,36 (I),North Texas,"L, 57-54",55,98.8,55.8,23.8,21.1,18.6,104.3,48.9,18.3,34.6,40.9,-14.5,-4.5,125.5,105.225,102.75,106.61111111111111,110.31941124240144,98.0125,94.025,95.02222222222224,90.20502697903147,20211128,108.3,95.9,12.399999999999991,98.5,92.8,5.700000000000003,107.5,95.1,12.39,68.7,-4.485121528629968,122.22865261629266,62.15248933143671,-3.8561071920624457,124.45193547030144,1.285952376042799,124.45193547030144,-3.8561071920624457,124.45193547030144,1.285952376042799,113.83436842159021,100.1,95.3,4.73,63.6,108.3,95.9,12.399999999999991,98.5,92.8,5.700000000000003,1.4373659452449818,113.6842922255346,0,108.5602286869122,90.75197367969058,17.808255007221618,16.828144633113073,96.55521677467428,93.41091960533636,3.144297169337918,1.2777114083801355,2021-11-28,-8.797089170159538,120.66596377287478,-9.664981350994331,120.66596377287478,-7.390000000000001,-10.560000000000002,9.796666666666669,-3.1700000000000017,-20.35666666666667,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.6658824291023754,0.7989335406435037,-0.8011111111111067,-8.323333333333334,1.7833333333333403,-2.112,-0.7925000000000004,-1,1.0,-1,-1,-1,-3,-1.0,1.0
-6.5,5,5.933333333333337,9.692592592592598,17.529950760939077,111.5,106.66666666666669,105.6,100.73333333333332,Thu 12-02 12-02,H,220 (Ⅳ),Valparaiso,"W, 73-66",63,115.6,53.4,14.2,33.3,25.4,104.5,51.8,12.7,19.4,19.6,5.0,-13.5,134.0,108.3625,105.225,108.24074074074076,110.53406374378298,101.80625,98.0125,98.54814814814816,93.00411298284394,20211202,108.8,97.6,11.200000000000005,99.7,101.5,-1.7999999999999972,107.9,96.3,11.68,68.0,-14.60877386615141,134.02341856120708,65.8719772403983,-12.793746189125663,140.57090906727535,-12.566551888443742,140.57090906727535,-12.793746189125663,140.57090906727535,-12.566551888443742,126.83585537948059,97.3,102.2,-4.88,68.1,108.8,97.6,11.200000000000005,99.7,101.5,-1.7999999999999972,-12.83781714485038,126.43258201743136,0,109.25707947036368,93.77445625634758,15.482623214016101,14.12427183413433,98.07387302983588,98.87583406232056,-0.8019610324846838,-3.387808290332772,2021-12-02,-14.63041171112728,135.39681882936742,-13.478981288148383,135.39681882936742,-6.68,-17.240000000000002,3.011111111111113,-10.560000000000002,-20.251111111111115,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,-3,0.900728603156669,0.9182464180533322,-1.9874074074074013,-5.746666666666663,-0.8011111111111067,-2.873333333333333,-2.112,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
-11.5,1,4.36666666666667,6.961728395061733,14.615414258950151,100.4,106.53333333333336,98.9,102.16666666666669,Sun 12-05 12-05,H,286 (Ⅳ),St. Thomas,"W, 74-64",64,115.9,50.9,11.0,30.3,35.1,100.3,54.9,18.8,16.7,25.5,-7.0,-21.5,145.0,104.38125,108.3625,105.6271604938272,108.69150669945878,100.353125,101.80625,98.66543209876544,94.07609244050867,20211205,109.1,98.0,11.099999999999994,105.3,114.4,-9.100000000000009,108.2,96.9,11.29,67.3,-19.511289607931026,141.63609393097357,63.18349928876245,-18.16366422368762,148.30338840097406,-8.246752856491684,148.30338840097406,-18.16366422368762,148.30338840097406,-8.246752856491684,152.85578614920564,103.1,115.2,-12.04,66.0,109.1,98.0,11.099999999999994,105.3,114.4,-9.100000000000009,-13.417804384566052,149.98228222270427,0,107.91296210196958,92.14790044113668,15.765061660832899,13.268210658995669,117.28400206533084,103.20990412136403,14.074097943966805,15.256317233790863,2021-12-05,-6.127515870108212,142.42243189472964,-0.7653018048354596,142.42243189472964,-10.29,-27.53,-3.739259259259258,-17.240000000000002,-23.790740740740745,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.9797013292561028,0.7202461648383605,-4.328271604938267,-6.923333333333329,-1.9874074074074013,-3.9328571428571433,-2.873333333333333,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-12.0,-11,-1.4333333333333325,0.7411522633744885,9.830793484595578,96.3,102.73333333333332,108.0,104.16666666666669,Wed 12-08 12-08,A,347 (Ⅳ),Nebraska Omaha,"W, 78-70",70,110.9,52.6,14.2,20.6,36.2,99.6,57.5,27.0,31.0,26.4,11.0,-20.0,137.0,100.340625,104.38125,102.5181069958848,106.43850548137536,104.1765625,100.353125,101.7769547325103,96.60771199677984,20211208,108.8,98.1,10.700000000000005,89.4,112.4,-23.0,108.2,97.5,10.72,67.4,-14.687842557779149,135.1455095872647,64.71550497866288,-19.06323316198978,138.7850083276419,-22.393916657289495,138.7850083276419,-19.06323316198978,138.7850083276419,-22.393916657289495,132.86871090551062,93.3,110.6,-17.37,67.5,108.8,98.1,10.700000000000005,89.4,112.4,-23.0,-22.582335167367738,132.81495952355155,0,106.42961715673832,93.77943324434014,12.650183912398177,12.143711387346324,94.06076385875842,108.86033214829423,-14.799568289535813,-12.510574379676768,2021-12-08,-14.56553010815717,134.98112250049536,-14.146435234941976,134.98112250049536,-21.72,-49.25,-11.669506172839505,-27.53,-37.580493827160495,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,3,0.9715944860326362,0.917308592685091,-9.978847736625513,-12.153333333333332,-4.328271604938267,-6.15625,-3.9328571428571433,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-8.0,-1,-3.7666666666666657,0.1274348422496609,7.843376487396382,117.0,104.56666666666666,118.1,108.33333333333331,Sat 12-11 12-11,N,82 (Ⅱ),Clemson,"L, 90-80 OT",71,113.1,55.8,14.1,21.2,26.7,127.3,55.8,14.1,37.5,45.0,35.5,2.0,134.5,108.6703125,100.340625,107.3454046639232,108.35877721203435,111.13828125,104.1765625,107.21796982167352,100.51540072463804,20211211,107.9,99.3,8.600000000000009,107.5,96.0,11.5,108.0,98.0,10.04,67.9,2.1256352490746764,135.3252732694989,64.42290184921765,2.0908343283581985,139.0132197044649,4.980601740498347,139.0132197044649,2.0908343283581985,139.0132197044649,4.980601740498347,136.82506459755447,109.4,96.2,13.14,66.7,107.9,99.3,8.600000000000009,107.5,96.0,11.5,4.273867077767181,134.14316605888317,0,106.20352611335386,97.24256911572314,8.960956997630717,9.668886630653413,106.80274260460996,100.5700507986859,6.232691805924063,7.63126393122154,2021-12-11,-1.9505262701355548,139.23474236692874,-1.312695671712376,139.23474236692874,-11.04,-60.29,-24.196337448559667,-49.25,-36.09366255144033,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.4244679994402739,0.5736852410019857,-9.912565157750338,-13.806666666666665,-9.978847736625513,-6.698888888888888,-6.15625,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-10.5,-8,-7.0,-2.6483767718335605,4.926398944233402,98.7,104.0,106.9,111.0,Thu 12-16 12-16,H,292 (Ⅳ),Jackson St.,"W, 70-65 OT",70,100.6,41.2,17.3,44.2,27.9,93.5,43.7,11.5,26.3,27.0,8.0,-15.5,127.0,103.68515625,108.6703125,104.46360310928212,106.6026359007554,109.019140625,111.13828125,107.1119798811157,101.67623695652202,20211216,107.7,99.7,8.0,89.7,95.4,-5.700000000000003,107.8,98.5,9.29,67.3,-13.643398233850462,120.3852971215359,62.51337126600284,-12.00299024092017,123.62635315129528,-3.295732497677196,123.62635315129528,-12.00299024092017,123.62635315129528,-3.295732497677196,116.5488259947626,89.6,97.2,-7.57,65.3,107.7,99.7,8.0,89.7,95.4,-5.700000000000003,-11.598900857998043,118.06369865423734,0,105.70165821837554,98.27680308114807,7.424855137227468,7.210159442705968,95.85912298243808,97.29098107392848,-1.4318580914903976,-5.308856170424306,2021-12-16,-9.083138185973546,126.66815158609978,-9.593073067361978,126.66815158609978,-17.29,-77.58,-36.22755829903978,-60.29,-41.35244170096022,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.9300536172447476,0.8064972850520933,-11.93837677183356,-16.29,-9.912565157750338,-7.758000000000001,-6.698888888888888,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
