ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
18.5,0,,0.3999999999999915,0.3999999999999915,89.1,0.0,88.7,0.0,Tue 11-09 11-09,A,19 (I),Indiana,"L, 68-62",76,81.5,38.3,17.1,15.6,25.0,89.4,45.2,10.5,12.5,32.3,-14.5,24.5,144.5,89.1,0.0,89.1,89.1,88.7,0.0,88.7,88.7,20211109,96.6,105.4,-8.800000000000011,108.9,94.1,14.800000000000011,93.7,103.2,-9.46,70.9,22.24998343127941,140.59240534624826,72.6145092460882,22.008499133243035,153.23084594787514,7.496732415332584,153.23084594787514,22.008499133243035,153.23084594787514,7.496732415332584,111.64263801022389,106.2,89.9,16.33,72.0,96.6,105.4,-8.800000000000011,108.9,94.1,14.800000000000011,7.496732415332584,111.64263801022389,0,109.17197986072838,101.3054071086986,7.866572752029782,12.597128307585342,89.28820172105449,95.95550893853252,-6.667307217478026,-4.103418328589161,2021-11-09,-6.5628601750943005,144.66163741433294,-10.007466400929246,144.66163741433294,9.46,9.46,0.0,0.0,9.46,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,3,0.009815328628645315,0.734025727536136,9.859999999999992,,0.0,9.46,0.0,1,0.0,1,1,1,3,0.0,0.0
3.5,-2,,-0.7000000000000028,-0.2000000000000055,100.2,0.0,103.1,0.0,Fri 11-12 11-12,H,183 (Ⅳ),Illinois St.,"W, 103-98 2OT",95,108.6,48.6,15.8,32.6,58.9,103.3,48.1,23.2,40.0,35.9,62.0,-1.5,139.0,94.65,89.1,92.8,91.1181818181818,95.9,88.7,93.5,91.3181818181818,20211112,93.4,101.8,-8.399999999999991,93.8,98.8,-5.0,93.2,102.6,-9.46,70.9,0.21114612412526412,135.29131541956968,71.40426742532006,-1.4955946361935872,137.1049616891769,-5.655962481475461,137.1049616891769,-1.4955946361935872,137.1049616891769,-5.655962481475461,118.14449020760279,95.6,99.2,-3.57,70.8,93.4,101.8,-8.399999999999991,93.8,98.8,-5.0,-5.655962481475461,118.14449020760279,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-12,0.0,0.0,,0.0,7.460000000000001,16.92,9.46,9.46,7.460000000000001,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,-3,0.5567984968164682,0.5,8.759999999999998,,9.859999999999992,8.46,9.46,1,1.0,1,1,1,3,3.0,0.0
7.0,0,-0.7666666666666657,-0.400000000000001,-0.1272727272727312,109.9,99.73333333333332,109.7,100.5,Thu 11-18 11-18,A,221 (Ⅲ),Northern Kentucky,"L, 74-73",67,109.1,56.0,19.4,31.0,17.2,110.6,50.8,19.4,44.4,31.1,7.0,8.0,140.0,102.275,94.65,98.5,94.53305785123966,102.8,95.9,98.9,94.6603305785124,20211118,94.2,102.4,-8.200000000000003,100.0,100.3,-0.2999999999999971,94.2,103.2,-9.05,71.5,12.733085080806426,138.94383268032612,69.6692745376956,9.578484163791131,140.5879295202326,1.6735454982944509,140.5879295202326,9.578484163791131,140.5879295202326,1.6735454982944509,130.15628603095976,103.1,99.4,3.68,68.5,94.2,102.4,-8.200000000000003,100.0,100.3,-0.2999999999999971,1.675524383757493,130.15826491642284,0,101.21015635396486,97.07208382104426,4.138072532920603,0.0689302413265261,98.0680018188964,108.83380957952828,-10.765807760631873,-10.72782116459616,2021-11-18,-6.566058197072394,146.1689875409171,-5.675242298809408,146.1689875409171,9.05,25.970000000000002,11.946666666666669,16.92,14.023333333333333,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.22305842386064167,0.7341256650208332,8.65,8.283333333333335,8.759999999999998,8.656666666666668,8.46,1,1.0,1,1,1,3,3.0,3.0
-1.0,-10,-4.466666666666664,-3.833333333333335,-2.049586776859508,84.8,98.3,95.5,102.76666666666668,Sat 11-20 11-20,A,28 (I-A),Michigan St.,"L, 83-59",77,76.3,43.5,29.8,31.7,14.5,107.4,47.1,12.9,30.2,41.2,1.0,23.0,141.0,93.5375,102.275,93.93333333333337,92.76341096919607,99.15,102.8,97.76666666666668,94.8129977460556,20211120,95.2,102.5,-7.299999999999997,106.2,89.2,17.0,95.2,103.3,-8.03,70.8,24.39048817067473,140.98534271913417,72.51209103840682,21.77306081108985,144.19135334661547,22.208546633555017,144.19135334661547,21.77306081108985,144.19135334661547,22.208546633555017,137.75375394728357,107.9,87.3,20.63,72.0,95.2,102.5,-7.299999999999997,106.2,89.2,17.0,22.161265074426833,138.01563637719318,0,99.93903098791216,97.43528290703536,2.503748080876804,-0.559376800576538,101.6503692494966,83.57276821393621,18.07760103556039,17.669746285213954,2021-11-20,15.300094987703474,135.70507138659303,15.422356090314949,135.70507138659303,-1.9700000000000006,24.0,16.621111111111112,25.970000000000002,7.378888888888888,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.01424485985536783,0.0725372268292298,4.1966666666666645,3.5633333333333352,8.65,6.0,8.656666666666668,1,1.0,1,1,1,3,3.0,3.0
2.5,-2,-4.233333333333334,-3.288888888888891,-2.076934635612325,87.5,94.06666666666668,89.7,98.3,Wed 11-24 11-24,H,224 (Ⅳ),Western Illinois,"W, 72-68",78,92.0,52.6,19.2,8.8,33.3,86.9,39.6,16.6,23.4,29.9,-7.0,-1.5,147.0,90.51875,93.5375,91.7888888888889,91.80642715661496,94.425,99.15,95.07777777777778,93.88336179222728,20211124,95.6,103.0,-7.400000000000006,99.3,102.2,-2.9000000000000057,95.7,103.7,-7.95,70.2,-0.5614138953996104,146.00079762503145,73.59516358463728,-0.7693441977845481,150.35785826771047,-0.10589730759659663,150.35785826771047,-0.7693441977845481,150.35785826771047,-0.10589730759659663,137.93802321455988,98.5,101.7,-3.19,73.7,95.6,103.0,-7.400000000000006,99.3,102.2,-2.9000000000000057,0.07343985236865241,137.86268040036842,0,101.66505324673273,96.97751919550852,4.687534051224205,3.4980008738250783,94.60366445385368,87.82611526448754,6.777549189366141,0.6569758705426731,2021-11-24,-1.9651852282681261,136.14611723877755,-4.194331646062878,136.14611723877755,5.95,29.95,19.080740740740744,24.0,10.869259259259255,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.5567984968164682,0.5742326022013353,4.66111111111111,3.716666666666666,4.1966666666666645,5.990000000000001,6.0,1,1.0,1,1,1,3,3.0,3.0
-27.0,-29,-14.133333333333336,-12.025925925925929,-7.062946520046449,90.0,87.43333333333332,119.5,101.56666666666666,Sun 11-28 11-28,A,108 (Ⅱ),DePaul,"L, 101-63",78,81.2,38.6,21.9,26.7,22.7,130.2,64.5,14.2,35.5,24.6,15.0,11.0,149.0,90.259375,90.51875,91.1925925925926,91.47798585541224,106.9625,94.425,103.21851851851852,98.54093237545868,20211128,95.4,102.1,-6.699999999999989,105.5,99.3,6.200000000000003,95.8,103.2,-7.44,70.6,12.826526082095995,143.65196742986402,71.80512091038406,13.699391000276265,148.96951341247166,9.93970726160458,148.96951341247166,13.699391000276265,148.96951341247166,9.93970726160458,146.71606987590891,103.2,98.3,4.86,71.5,95.4,102.1,-6.699999999999989,105.5,99.3,6.200000000000003,10.214001841260613,146.6825733745935,0,99.4399079522322,98.11046613113552,1.3294418210966796,2.681270786913873,111.71155447071254,100.72955478341676,10.981999687295783,21.06971483435626,2021-11-28,11.243824973520432,154.27209570272043,15.453149802493755,154.27209570272043,-21.56,8.39,22.70382716049383,29.95,-14.31382716049383,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,0.14740707903152717,0.14212058245830395,-4.585925925925928,-6.693333333333336,4.66111111111111,1.3983333333333325,5.990000000000001,-1,1.0,-1,1,1,-1,3.0,3.0
-1.5,-18,-16.599999999999998,-14.050617283950617,-9.06968351640164,106.7,94.73333333333332,124.8,111.33333333333331,Thu 12-02 12-02,A,287 (Ⅳ),UC San Diego,"L, 83-74",68,108.6,52.4,13.2,23.5,15.9,121.8,66.7,16.1,16.0,39.2,14.5,7.5,142.5,98.4796875,90.259375,96.36172839506172,94.24562479079184,115.88125,106.9625,110.41234567901236,103.31530830719346,20211202,95.8,103.7,-7.900000000000006,98.8,103.4,-4.6000000000000085,96.1,104.5,-8.39,71.2,6.2782973740913235,142.12464867161097,70.38975817923186,6.512502807624713,145.24587330008325,10.183559602412538,145.24587330008325,6.512502807624713,145.24587330008325,10.183559602412538,131.07155616332201,98.6,103.8,-5.18,69.5,95.8,103.7,-7.900000000000006,98.8,103.4,-4.6000000000000085,9.027028056724136,128.60313569305296,0,101.49672135107564,100.08648133409586,1.4102400169797704,2.074674356532304,100.70128565185333,94.69126780682184,6.010017845031484,3.2932242912941936,2021-12-02,7.342606147566315,141.946255446235,2.881545893675735,141.946255446235,-9.61,-1.2199999999999989,17.93255144032922,8.39,-19.15255144032922,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.23752526202697655,0.24218358826390007,-5.660617283950616,-8.209999999999997,-4.585925925925928,-0.1742857142857126,1.3983333333333325,-1,-1.0,-1,-1,1,-3,-1.0,3.0
1.0,-1,-16.399999999999995,-9.900411522633744,-7.711559240692249,90.0,95.56666666666666,91.6,111.96666666666664,Wed 12-08 12-08,H,235 (Ⅳ),Niagara,"W, 60-58",66,91.5,49.0,19.8,10.0,37.5,88.5,42.2,21.4,28.1,35.3,-18.5,-1.0,136.5,94.23984375,98.4796875,94.2411522633745,93.47369301064786,103.740625,115.88125,104.14156378600823,101.1852522513401,20211208,97.0,105.3,-8.299999999999997,99.6,102.3,-2.700000000000003,97.1,105.8,-8.66,70.9,-0.7903226484292105,131.8138100562233,65.05049786628734,-0.044144867706407354,136.09694369177708,1.6615984663157688,136.09694369177708,-0.044144867706407354,136.09694369177708,1.6615984663157688,130.5787180811595,98.4,102.6,-4.22,64.5,97.0,105.3,-8.299999999999997,99.6,102.3,-2.700000000000003,1.3104217181878903,128.81605094406143,0,99.47751314714844,98.90467947917756,0.5728336679708832,1.9046361529945337,101.33702724503856,93.6237045009498,7.713322744088757,2.833466381743188,2021-12-08,1.1207070494570885,128.89767895145005,-1.2603554821581326,128.89767895145005,7.66,6.440000000000001,11.548367626886149,-1.2199999999999989,-5.108367626886148,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,-3,0.5379371440662541,0.4575000024155952,-1.2404115226337442,-7.739999999999995,-5.660617283950616,0.8049999999999997,-0.1742857142857126,-1,-1.0,-1,1,-1,-1,-3.0,-1.0
3.0,-6,-8.866666666666665,-8.9002743484225,-7.56400301511184,80.0,92.23333333333332,86.9,101.1,Sat 12-11 12-11,H,257 (Ⅳ),FIU,"W, 92-88 4OT",109,84.6,43.0,20.2,22.0,50.6,80.9,41.1,23.0,28.6,18.9,37.5,-1.0,142.5,87.119921875,94.23984375,89.49410150891634,91.02393064507552,95.3203125,103.740625,98.39437585733884,98.58793366018736,20211211,96.6,104.0,-7.400000000000006,96.1,100.0,-3.9000000000000057,96.8,105.1,-8.24,71.1,-2.253104464089759,135.73456167699072,68.1669985775249,-1.507073030225584,137.18443491456372,4.166528910631355,137.18443491456372,-1.507073030225584,137.18443491456372,4.166528910631355,133.87127988077845,96.3,102.2,-5.98,67.4,96.6,104.0,-7.400000000000006,96.1,100.0,-3.9000000000000057,0.3467357148753202,128.57658145450046,0,97.60913359358648,97.5267049691616,0.0824286244248782,1.7087194917757962,93.72500053183585,94.9760148538168,-1.2510143219809606,1.1713292849695105,2021-12-11,-4.505877288930989,128.59384349633257,-2.3024841341215705,128.59384349633257,2.24,8.680000000000001,9.8455784179241,6.440000000000001,-1.1655784179240989,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.5379371440662541,0.666086115256466,-0.6602743484224991,-0.6266666666666652,-1.2404115226337442,0.964444444444446,0.8049999999999997,-1,-1.0,-1,1,1,-1,-1.0,-3.0
-4.0,-8,-5.766666666666666,-8.866849565614999,-7.78872973963696,91.8,87.26666666666667,100.6,93.03333333333336,Mon 12-20 12-20,A,219 (Ⅲ),Valparaiso,"L, 67-55",63,87.6,40.5,15.9,23.5,13.8,106.8,48.3,12.7,28.6,20.7,-16.5,8.0,138.5,89.4599609375,87.119921875,90.26273433927756,91.16503416415269,97.96015625,95.3203125,99.12958390489256,98.95376390378964,20211220,94.8,101.8,-7.0,97.9,100.2,-2.299999999999997,94.9,103.4,-8.5,71.0,7.038020313407692,132.14187013529366,67.26315789473685,6.977154416419808,134.26768917071738,11.74686388229834,134.26768917071738,6.977154416419808,134.26768917071738,11.74686388229834,129.6303194733181,97.8,101.3,-3.52,66.6,94.8,101.8,-7.0,97.9,100.2,-2.299999999999997,6.764707397863322,127.6893550241421,0,97.27327250205472,98.2902254546026,-1.0169529525478822,0.5672099982722434,97.95887605068845,98.0914042192653,-0.13252816857685445,-2.559461807465858,2021-12-20,4.297121682206843,132.16001590174523,-0.23849049321231064,132.16001590174523,0.5,9.180000000000001,9.457052278616068,8.680000000000001,-0.2770522786160665,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.22305842386064167,0.3411782182235996,-0.3668495656149986,2.7333333333333343,-0.6602743484224991,0.918000000000001,0.964444444444446,-1,-1.0,-1,1,1,-1,-1.0,-1.0
