ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-17.0,-29,,-29.3,-29.3,79.0,0.0,108.3,0.0,Wed 11-10 11-10,A,67 (I-A),Seton Hall,"L, 93-49",77,63.6,28.9,20.8,21.3,23.4,120.8,58.6,14.3,27.8,39.1,-6.5,27.0,148.5,79.0,0.0,79.0,79.0,108.3,0.0,108.3,108.3,20211110,100.0,111.6,-11.599999999999994,109.2,94.9,14.299999999999995,93.8,109.6,-15.88,73.5,27.53484187549285,150.50678323633267,74.54551920341393,25.166313757429492,165.70754352960984,37.62793078563692,165.70754352960984,25.166313757429492,165.70754352960984,37.62793078563692,127.06880917882519,106.5,90.9,15.64,71.3,100.0,111.6,-11.599999999999994,109.2,94.9,14.299999999999995,37.62793078563692,127.06880917882519,0,99.66417236470606,107.18717751405946,-7.523005149353395,-10.495632886579685,95.39403433029386,91.77530131214452,3.6187330181493422,1.8097305850593208,2021-11-10,12.345745286184908,147.8030471094376,11.169722313941762,147.8030471094376,-13.12,-13.12,0.0,0.0,-13.12,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.005063995274695365,0.11984034793891163,-13.42,,0.0,-13.12,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-11.5,-33,,-30.53333333333333,-29.97272727272727,71.7,0.0,104.7,0.0,Thu 11-18 11-18,A,82 (Ⅱ),Northwestern,"L, 82-46",73,63.4,32.0,27.6,20.0,44.0,113.1,61.8,24.8,31.0,32.7,-18.0,24.5,146.0,75.35,79.0,76.56666666666666,77.67272727272726,106.5,108.3,107.1,107.64545454545453,20211118,97.0,109.1,-12.099999999999994,104.2,92.9,11.299999999999995,94.1,109.9,-15.77,72.9,26.720008893865042,147.82613048689512,72.07041251778094,21.579979966109278,150.71676658248916,32.75354235000443,150.71676658248916,21.579979966109278,150.71676658248916,32.75354235000443,149.03945937153836,107.7,92.3,15.39,69.5,97.0,109.1,-12.099999999999994,104.2,92.9,11.299999999999995,32.89834389953291,149.18441513723167,0,84.99734290146307,96.02912653059172,-11.031783629128654,-4.193635680061629,103.816297638153,97.38420728445811,6.432090353694889,9.473038827812228,2021-11-18,16.238233181167125,134.85782084215487,11.920868672563799,134.85782084215487,-17.23,-30.35,-13.12,-13.12,-17.230000000000004,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.009815328628645315,0.06099212331637027,-14.763333333333332,,-13.42,-15.175,-13.12,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
18.5,-6,-23.03333333333333,-22.622222222222224,-25.7595041322314,101.0,83.89999999999999,107.8,106.93333333333334,Sat 11-20 11-20,A,56 (I),St. John's,"L, 87-74",76,97.3,56.9,30.2,34.5,47.1,114.3,50.0,19.7,44.7,44.6,3.5,31.5,157.5,88.175,75.35,84.71111111111111,81.91404958677684,107.15,106.5,107.33333333333334,107.67355371900824,20211120,95.8,108.7,-12.900000000000006,105.4,93.7,11.700000000000005,93.4,109.6,-16.19,72.8,28.856138608743223,157.7766723998198,76.63157894736841,23.88790205744165,160.4467550367874,50.25058461733019,160.4467550367874,23.88790205744165,160.4467550367874,50.25058461733019,154.88773749384853,108.6,93.1,15.49,74.0,95.8,108.7,-12.900000000000006,105.4,93.7,11.700000000000005,50.24544986754042,154.83095054095412,0,89.58360480072216,94.74721940704936,-5.163614606327201,-5.042928225587053,108.5934007966874,105.23113962607589,3.362261170611518,2.1302983709394026,2021-11-20,11.064380909592188,154.47706639525197,7.611393093465992,154.47706639525197,10.190000000000001,-20.16,-18.863333333333337,-30.35,-1.2966666666666633,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,3,0.0013498980316301035,0.14599856644171272,-6.432222222222222,-6.84333333333333,-14.763333333333332,-6.720000000000001,-15.175,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-2.5,-24,-21.266666666666666,-23.08148148148148,-25.439594290007506,80.3,84.33333333333333,104.3,105.59999999999998,Wed 11-24 11-24,A,346 (Ⅳ),NJIT,"L, 62-54",66,81.7,37.9,18.2,24.4,25.9,93.8,40.2,16.6,22.2,78.3,-25.5,5.5,141.5,84.2375,88.175,83.24074074074075,81.62058602554468,105.725,107.15,106.32222222222224,107.0601803155522,20211124,96.4,109.3,-12.899999999999991,96.7,102.4,-5.700000000000003,94.5,109.9,-15.33,72.0,8.094392191371554,140.44699950742174,71.18065433854908,9.25080334701417,149.0134263530893,14.91069239615932,149.0134263530893,9.25080334701417,149.0134263530893,14.91069239615932,126.00183720009012,92.8,101.7,-8.93,69.5,96.4,109.3,-12.899999999999991,96.7,102.4,-5.700000000000003,14.828734804624194,125.91937722597785,0,87.10874605625578,93.24357936979776,-6.134833313541975,-3.74597847795449,96.825858473322,101.19722046049176,-4.371361987169763,-9.722633472866448,2021-11-24,5.191005317170372,129.9995727413173,-2.3953824570933335,129.9995727413173,-8.67,-28.83,-19.29555555555556,-20.16,-9.53444444444444,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.30020551430745246,0.31051840295160926,-7.751481481481479,-5.936666666666666,-6.432222222222222,-7.2075,-6.720000000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
5.5,-5,-12.166666666666664,-17.287654320987652,-21.850577146369776,109.4,96.90000000000002,115.1,109.06666666666666,Sun 11-28 11-28,A,113 (Ⅱ),Princeton,"L, 89-79",70,112.3,56.6,11.4,12.5,18.0,126.5,60.5,11.4,29.0,32.3,28.5,15.5,139.5,96.81875,84.2375,91.9604938271605,86.67138856635474,110.4125,105.725,109.24814814814816,108.52196571272452,20211128,95.6,108.5,-12.900000000000006,102.8,101.3,1.5,94.4,109.8,-15.4,70.5,15.740710570947613,140.87065070629743,66.38833570412518,13.972140277649586,142.1069523605392,23.407100807412423,142.1069523605392,13.972140277649586,142.1069523605392,23.407100807412423,132.9993925010172,105.0,103.2,1.78,66.2,95.6,108.5,-12.900000000000006,102.8,101.3,1.5,23.40251070144229,132.65011042687723,0,93.71743325305144,97.64681457536923,-3.929381322317795,-2.3404879332374646,108.11052896461068,105.88304799685632,2.22748096775436,1.6341174187820369,2021-11-28,8.214208642910648,139.50873440543705,4.490982476930014,139.50873440543705,10.4,-18.43,-22.473703703703706,-28.83,4.043703703703706,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,3,0.06994638275525245,0.21701750267998055,-1.887654320987652,3.233333333333336,-7.751481481481479,-3.6859999999999964,-7.2075,-1,-1.0,1,-1,-1,-1,-3.0,-3.0
4.0,-8,-12.666666666666664,-14.2917695473251,-19.38683584702981,108.4,99.36666666666667,116.7,112.03333333333332,Tue 11-30 11-30,A,274 (Ⅳ),Manhattan,"L, 78-73",66,110.2,50.0,21.1,46.2,23.8,117.8,50.9,24.2,53.1,47.3,15.5,9.0,135.5,102.609375,96.81875,97.440329218107,90.62204519065386,113.55625,110.4125,111.73209876543211,110.0088810376837,20211130,97.3,110.2,-12.900000000000006,96.1,100.7,-4.6000000000000085,95.8,110.8,-14.99,71.0,9.796500589331067,137.4014400912937,68.77809388335704,9.600034256040558,143.77112090644624,16.749832782983134,143.77112090644624,9.600034256040558,143.77112090644624,16.749832782983134,131.96823271116605,94.4,100.1,-5.67,68.1,97.3,110.2,-12.900000000000006,96.1,100.7,-4.6000000000000085,16.770860011220297,131.57924864268844,0,96.1731096688534,98.27634184753995,-2.1032321786865538,-1.084758803930784,101.68169308684612,104.26102754604972,-2.5793344592035936,-4.883790571681761,2021-11-30,3.7068792613927855,141.01375516545903,-0.7445857700507901,141.01375516545903,6.99,-11.44,-21.125802469135806,-18.43,9.685802469135806,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,3,0.19568296915377603,0.3620306809077205,0.6982304526749008,2.323333333333336,-1.887654320987652,-1.9066666666666663,-3.6859999999999964,1,-1.0,1,-1,-1,1,-1.0,-3.0
-7.0,-14,-9.533333333333326,-14.394513031550066,-18.516502056660755,94.2,104.0,108.8,113.53333333333336,Thu 12-02 12-02,A,148 (Ⅲ),Drexel,"L, 86-65",74,88.1,47.3,20.3,12.1,27.3,116.6,53.7,14.9,35.9,32.8,7.5,14.0,143.5,98.4046875,102.609375,96.360219478738,91.2725824287168,111.178125,113.55625,110.75473251028808,109.78908448537756,20211202,98.4,110.7,-12.299999999999995,102.9,105.3,-2.3999999999999915,97.0,111.6,-14.55,70.2,13.646304707371456,144.44601949075303,66.50526315789473,11.170673957802222,148.5005956396317,17.839459993633803,148.5005956396317,11.170673957802222,148.5005956396317,17.839459993633803,140.30728562238497,104.1,104.8,-0.68,66.6,98.4,110.7,-12.299999999999995,102.9,105.3,-2.3999999999999915,19.286387289480803,138.41581223271677,0,95.98657625526688,98.25630756220892,-2.2697313069420346,-0.4943191282096055,99.40110802104496,99.99317780009032,-0.5920697790453602,2.8610288816609244,2021-12-02,4.846697737064062,132.05708490918406,4.115666203944684,132.05708490918406,0.5500000000000007,-10.889999999999999,-17.89720164609054,-11.44,7.007201646090541,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.09121121972586788,0.3221875900740656,0.15548696844993515,5.016666666666675,0.6982304526749008,-1.555714285714286,-1.9066666666666663,1,1.0,1,-1,-1,1,1.0,-1.0
-15.0,-31,-18.03333333333333,-19.996342021033374,-20.822592591813347,86.3,96.3,117.5,114.33333333333331,Tue 12-07 12-07,A,224 (Ⅲ),La Salle,"L, 81-55",68,80.7,38.5,14.7,23.8,24.6,118.8,58.9,19.1,35.3,17.7,-6.0,11.0,142.0,92.35234375,98.4046875,93.00681298582536,90.36847653258646,114.3390625,111.178125,113.00315500685872,111.1910691243998,20211207,97.6,110.4,-12.800000000000011,94.8,102.0,-7.200000000000003,96.4,111.5,-15.06,70.5,10.553330091099028,143.7165181497869,69.99857752489332,7.755869175401628,146.42879201944828,3.434258168548875,146.42879201944828,7.755869175401628,146.42879201944828,3.434258168548875,140.70619104539986,96.6,102.0,-5.41,69.8,97.6,110.4,-12.800000000000011,94.8,102.0,-7.200000000000003,7.919929257079742,134.80560043304158,0,94.37226050030657,100.36249322397684,-5.990232723670275,-2.3472073292677984,90.92985540179131,98.37631385510522,-7.446458453313909,-7.248178524274946,2021-12-07,2.5604218689983753,131.88366386411747,-1.5646828211898054,131.88366386411747,-15.94,-26.83,-15.56146776406036,-10.889999999999999,-11.268532235939638,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.14740707903152717,0.40367361273548485,-4.936342021033374,-2.973333333333331,0.15548696844993515,-3.35375,-1.555714285714286,-1,1.0,-1,-1,-1,-3,1.0,1.0
-8.0,-37,-27.633333333333336,-25.697561347355588,-23.78212121148365,74.8,85.10000000000001,111.9,112.73333333333336,Wed 12-15 12-15,H,221 (Ⅳ),Fairfield,"L, 72-54",69,78.6,37.9,20.4,29.3,25.9,104.8,49.3,17.5,38.9,13.2,-12.0,10.0,138.0,83.576171875,92.35234375,86.93787532388356,87.53784443575255,113.11953125,114.3390625,112.63543667123916,111.3199656472362,20211215,96.0,110.5,-14.5,104.1,105.1,-1.0,95.3,111.8,-16.41,69.7,6.674350259456347,137.86752842744005,64.94096728307255,5.389466140868052,143.58874489184012,8.189890865896956,143.58874489184012,5.389466140868052,143.58874489184012,8.189890865896956,148.99105049885102,102.9,103.6,-0.68,65.5,96.0,110.5,-14.5,104.1,105.1,-1.0,8.71026277461574,139.0856145573045,0,91.69038725108116,99.91169041770812,-8.221303166626953,-5.1255593309569525,107.33654254029378,101.57727990491529,5.759262635378491,-0.5497737973856839,2021-12-15,5.659891050643495,133.2309654789675,1.2048109295952045,133.2309654789675,-20.59,-47.42,-19.317645176040237,-26.83,-28.102354823959764,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.17045190796406517,0.2949305784473881,-9.287561347355588,-11.223333333333336,-4.936342021033374,-5.268888888888888,-3.35375,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
-8.0,-26,-31.566666666666663,-25.931707564903725,-24.258099173032072,89.7,83.60000000000001,116.1,115.16666666666669,Sat 12-18 12-18,A,65 (Ⅱ),Virginia,"L, 82-49",64,76.8,33.9,23.5,34.9,18.6,128.6,70.0,15.7,21.7,12.7,6.0,25.0,125.0,86.6380859375,83.576171875,87.85858354925571,87.93096362925208,114.609765625,113.11953125,113.79029111415944,112.18906280228414,20211218,94.0,109.9,-15.900000000000006,102.0,94.1,7.900000000000006,93.4,111.6,-18.15,70.4,21.414069399331396,120.20180346198003,58.78349928876246,17.699241863848613,121.72022149673137,20.26697581624824,121.72022149673137,17.699241863848613,121.72022149673137,20.26697581624824,120.44725140250887,105.5,93.0,12.52,58.7,94.0,109.9,-15.900000000000006,102.0,94.1,7.900000000000006,19.632105901423184,115.77848034357594,0,91.15543016710608,101.1705464614006,-10.015116294294529,-6.257045639621074,101.36328933371207,96.22005024375122,5.143239089960858,2.261851061241627,2021-12-18,12.199139626560424,115.34494866759347,6.620764349175452,115.34494866759347,-7.850000000000001,-55.27,-28.685096784026825,-47.42,-26.584903215973178,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.008633971998087797,0.12265372097439142,-7.781707564903726,-13.416666666666664,-9.287561347355588,-5.526999999999999,-5.268888888888888,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
