ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-5.5,19,,19.60000000000001,19.60000000000001,110.7,0.0,91.1,0.0,Tue 11-09 11-09,H,248 (Ⅳ),Elon,"W, 74-61",67,110.3,49.2,19.4,43.9,49.2,90.9,43.3,20.9,30.6,46.2,-2.5,-18.5,137.5,110.7,0.0,110.7,110.7,91.1,0.0,91.1,91.1,20211109,109.3,93.6,15.700000000000005,102.0,104.0,-2.0,109.6,91.5,18.1,70.2,-18.599262724921452,138.21401112871246,69.30128022759602,-17.0694549723666,148.77107345646667,-25.718622366688408,148.77107345646667,-17.0694549723666,148.77107345646667,-25.718622366688408,138.94748175607472,97.5,100.9,-3.44,69.4,109.3,93.6,15.700000000000005,102.0,104.0,-2.0,-25.718622366688408,138.94748175607472,0,99.91453509960444,100.86487170419244,-0.9503366045880028,-0.5531143823657784,90.1997566501006,104.2984927851509,-14.098736135050302,-6.034847246161365,2021-11-09,-13.265143156745246,138.76996104481583,-5.675429315147284,138.76996104481583,0.8999999999999986,0.8999999999999986,0.0,0.0,0.8999999999999986,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.9609573050315723,0.8967677429816866,1.500000000000007,,0.0,0.8999999999999986,0.0,1,0.0,1,1,1,3,0.0,0.0
17.5,17,,18.800000000000004,19.163636363636368,101.6,0.0,84.4,0.0,Sun 11-14 11-14,H,104 (Ⅲ),Florida St.,"W, 71-55",68,103.9,45.2,22.0,41.5,32.3,80.5,45.2,24.9,25.0,28.8,-18.0,1.5,144.0,106.15,110.7,107.66666666666669,109.04545454545452,87.75,91.1,88.86666666666667,89.88181818181818,20211114,107.3,91.1,16.200000000000003,106.5,91.1,15.400000000000006,109.6,90.2,19.38,69.1,-4.974174343628363,140.77561501668947,71.6556187766714,-4.531142137964807,142.7895753095039,-0.6161252108392006,142.7895753095039,-4.531142137964807,142.7895753095039,-0.6161252108392006,149.51801050592118,108.6,90.7,17.87,72.9,107.3,91.1,16.200000000000003,106.5,91.1,15.400000000000006,-0.6161252108392006,149.51801050592118,0,102.66025049311229,96.7052475167207,5.955002976391583,-0.8190387439716394,111.346240030417,103.8431585307628,7.503081499654186,0.0939483609630198,2021-11-14,-3.6114793939009786,157.0552433785938,-1.344876814345767,157.0552433785938,-2.379999999999999,-1.4800000000000004,0.8999999999999986,0.8999999999999986,-2.379999999999999,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.4432015031835318,0.6345582130274603,-0.5799999999999947,,1.500000000000007,-0.740000000000002,0.8999999999999986,-1,1.0,-1,-1,1,-3,3.0,0.0
19.5,24,20.46666666666667,20.73333333333334,20.15206611570248,103.7,105.33333333333331,79.1,84.86666666666666,Thu 11-18 11-18,H,333 (Ⅳ),Milwaukee,"W, 81-45",69,116.6,55.1,13.0,28.9,11.8,64.8,32.8,18.7,18.6,22.4,-14.5,-16.5,140.5,104.925,106.15,106.34444444444443,108.07355371900825,83.425,87.75,85.61111111111111,87.92148760330576,20211118,107.0,89.9,17.099999999999994,98.2,100.6,-2.3999999999999915,109.3,90.0,19.32,69.3,-14.236320958511492,137.30520222181715,69.49715504978663,-17.67855089378555,139.7959945434918,-22.539860592766665,139.7959945434918,-17.67855089378555,139.7959945434918,-22.539860592766665,129.88105967834977,101.7,97.5,4.21,70.5,107.0,89.9,17.099999999999994,98.2,100.6,-2.3999999999999915,-22.497701566894683,129.79578210585663,0,103.69042178680552,85.48365677253244,18.206765014273074,26.12886831705932,89.41928200401819,100.74676257104424,-11.327480567026058,-10.067681925946342,2021-11-18,-23.545446818109774,129.2809399590257,-27.25776193297653,129.2809399590257,4.68,3.1999999999999993,0.10666666666666563,-1.4800000000000004,3.0933333333333337,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9419584331306725,0.9875329930077876,1.413333333333341,1.1466666666666683,-0.5799999999999947,1.0666666666666664,-0.740000000000002,1,-1.0,1,1,-1,3,-3.0,3.0
6.5,32,24.866666666666664,24.75555555555556,22.451690458302032,120.2,108.5,87.4,83.63333333333334,Mon 11-22 11-22,N,118 (Ⅲ),California,"W, 80-60",69,115.1,59.6,17.3,19.2,40.4,86.4,46.0,25.9,26.7,42.0,11.5,-13.5,128.5,112.5625,104.925,110.96296296296298,110.27836213373402,85.4125,83.425,86.20740740740742,87.82667167543198,20211122,107.3,89.3,18.0,99.0,95.8,3.200000000000003,110.2,89.6,20.62,68.2,-9.603837673085494,123.02902065150776,63.93143669985776,-9.437970357600335,125.43400069241275,-14.372151748274756,125.43400069241275,-9.437970357600335,125.43400069241275,-14.372151748274756,116.7958050709434,99.5,94.6,4.81,65.9,107.3,89.3,18.0,99.0,95.8,3.200000000000003,-14.502096839941768,117.10420047423388,0,110.58246570787996,85.94417312902567,24.63829257885429,32.74109571479612,97.07987433395589,103.17436261033852,-6.094488276382634,-10.66560265711195,2021-11-22,-20.112866216904465,129.5846302675621,-27.750525893134594,129.5846302675621,11.379999999999999,14.579999999999998,1.1377777777777769,3.1999999999999993,13.442222222222222,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.900728603156669,0.9722863205134664,4.135555555555559,4.246666666666663,1.413333333333341,3.6449999999999996,1.0666666666666664,1,1.0,1,1,1,3,3.0,-3.0
0.5,16,24.73333333333333,22.103703703703708,21.42411037497439,104.8,109.56666666666666,88.0,84.83333333333333,Wed 11-24 11-24,N,19 (I-A),Ohio St.,"W, 71-68",69,102.8,40.0,15.9,38.1,55.0,98.4,58.5,26.1,26.9,42.6,1.5,-2.5,137.5,108.68125,112.5625,108.90864197530864,109.28229629123692,86.70625,85.4125,86.80493827160495,87.85818591626253,20211124,108.6,89.2,19.39999999999999,112.9,95.7,17.200000000000003,110.8,89.4,21.42,68.8,-1.1254860649809046,135.03195745879424,66.25547652916075,-2.1892010253143894,138.98105423380963,-8.44175756929356,138.98105423380963,-2.1892010253143894,138.98105423380963,-8.44175756929356,135.43078760679222,113.6,93.2,20.4,67.7,108.6,89.2,19.39999999999999,112.9,95.7,17.200000000000003,-8.272511277162522,135.55938336222408,0,108.30635614681766,83.94845962957416,24.357896517243503,32.33840839585356,105.06239000194438,104.29880875461784,0.7635812473265418,-4.446426385301518,2021-11-24,-16.818679982575766,136.61995625518082,-24.371967574718752,136.61995625518082,-5.420000000000002,9.159999999999997,5.618518518518518,14.579999999999998,3.541481481481479,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.5940963859982835,0.9453977608736769,0.6837037037037064,3.313333333333329,4.135555555555559,1.8320000000000007,3.6449999999999996,1,1.0,1,1,1,3,3.0,3.0
17.5,48,32.599999999999994,30.80246913580247,26.29245394316086,116.6,113.86666666666667,68.4,81.26666666666667,Sun 11-28 11-28,H,174 (Ⅳ),Troy,"W, 84-45",72,116.5,54.9,20.8,33.3,31.1,62.4,33.9,29.1,31.7,26.8,-5.5,-21.5,134.5,112.640625,108.68125,111.4724279835391,110.6127878746484,77.553125,86.70625,80.66995884773664,84.32033393148753,20211128,108.6,89.5,19.099999999999994,95.7,100.2,-4.5,111.2,89.6,21.54,68.5,-20.93722351004581,132.33076589901503,67.42816500711238,-19.768280784979474,134.81875785150325,-19.937759555851006,134.81875785150325,-19.768280784979474,134.81875785150325,-19.937759555851006,125.27311988921657,95.3,99.9,-4.6,69.2,108.6,89.5,19.099999999999994,95.7,100.2,-4.5,-19.854084905963333,125.09649698653557,0,108.17154558148908,81.62554081617664,26.546004765312446,35.08684223639101,95.90014964811436,96.86995243887284,-0.9698027907584787,0.7329232513856367,2021-11-28,-21.856205346073324,127.00367049699523,-25.3903423479139,127.00367049699523,26.46,35.62,6.799012345679011,9.159999999999997,28.820987654320987,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.9797013292561028,0.9813079004880165,9.262469135802469,11.059999999999995,0.6837037037037064,5.936666666666667,1.8320000000000007,1,1.0,1,1,1,3,3.0,3.0
-8.0,6,23.966666666666665,22.834979423868315,22.76655322622252,103.9,108.43333333333334,97.0,84.46666666666667,Wed 12-01 12-01,A,41 (I),Oklahoma,"L, 74-67",71,94.0,45.6,22.4,26.5,31.6,103.8,52.6,18.2,27.3,33.3,8.0,-1.0,133.0,108.2703125,112.640625,108.94828532235942,109.39228098834867,87.2765625,77.553125,86.11330589849109,86.62572776212616,20211201,109.6,89.3,20.3,105.5,91.4,14.099999999999994,111.8,89.8,22.0,68.8,-0.9944482476370382,130.9436735964187,66.15761024182076,-0.3535131980294892,131.74224390525916,-7.470692275787788,131.74224390525916,-0.3535131980294892,131.74224390525916,-7.470692275787788,122.31677386404583,106.9,92.2,14.72,67.6,109.6,89.3,20.3,105.5,91.4,14.099999999999994,-4.474509233939611,121.8055052688293,0,106.3944314691268,85.45875605952773,20.93567540959907,28.992510307534747,101.35981991336408,91.68571425918142,9.674105654182654,9.815930937064554,2021-12-01,-3.9151993773639475,124.71788677324467,-10.47490722866472,124.71788677324467,-16.0,19.619999999999997,16.406008230452674,35.62,3.2139917695473237,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.5379371440662541,0.6453796812359158,0.8349794238683153,1.966666666666665,9.262469135802469,2.8028571428571425,5.936666666666667,1,1.0,1,1,1,3,3.0,3.0
-38.5,-24,10.266666666666666,7.123319615912214,14.20899809418206,85.5,102.0,109.8,91.73333333333332,Mon 12-06 12-06,H,186 (Ⅳ),Texas Southern,"L, 69-54",66,81.8,42.7,15.2,20.0,29.1,104.6,58.8,33.3,48.3,8.8,-16.0,-23.5,139.0,96.88515625,108.2703125,101.13219021490627,105.048229899558,98.53828125,87.2765625,94.00887059899406,90.83923180537596,20211206,109.2,89.7,19.5,97.6,102.9,-5.300000000000011,111.3,90.1,21.22,69.2,-21.873534085667544,136.9073128876824,67.82190611664298,-21.135581917462602,139.39935354302253,-25.270641699818928,139.39935354302253,-21.135581917462602,139.39935354302253,-25.270641699818928,126.92461781207354,97.3,102.8,-5.5,68.9,109.2,89.7,19.5,97.6,102.9,-5.300000000000011,-22.77059153468694,130.10050333635536,0,102.6224759913196,88.33649543624071,14.285980555078893,17.486578699217322,97.61298120422876,96.71176596890596,0.9012152353227947,-2.3740679782814325,2021-12-06,-12.65548041807508,129.13704806232724,-15.512376814699664,129.13704806232724,-45.22,-25.6,17.47733882030178,19.619999999999997,-43.07733882030178,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.9873925774343177,0.8859531288536399,-14.096680384087785,-10.953333333333333,0.8349794238683153,-3.1999999999999993,2.8028571428571425,-1,1.0,-1,-1,1,-3,3.0,3.0
2.5,27,3.2666666666666657,13.81554641060814,16.57099844069441,104.6,98.0,77.4,94.73333333333332,Wed 12-08 12-08,H,263 (Ⅳ),North Florida,"W, 85-55",78,109.1,48.5,12.8,30.8,46.2,70.6,38.7,36.0,33.3,37.7,0.0,-27.5,140.0,100.742578125,96.88515625,102.28812680993752,104.9667335541838,87.969140625,98.53828125,88.47258039932939,88.39573511348941,20211208,107.2,90.9,16.299999999999997,94.9,106.9,-12.0,109.4,91.5,17.92,68.9,-23.095080857208202,141.47710573694076,67.82190611664298,-23.595190053203382,140.12567671507793,-23.167524700782163,140.12567671507793,-23.595190053203382,140.12567671507793,-23.167524700782163,133.30275629733066,98.6,108.4,-9.84,69.2,107.2,90.9,16.299999999999997,94.9,106.9,-12.0,-21.897426584033536,130.19421323078308,0,101.8478396692518,87.60676263489714,14.24107703435466,17.109992368684058,87.50300539184562,100.6429133416817,-13.139907949836086,-9.479729476111576,2021-12-08,-21.44377422447944,124.99853414584699,-20.005119413816168,124.99853414584699,9.079999999999998,-16.520000000000003,3.118225880201189,-25.6,-19.63822588020119,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.995591218107113,0.9794373349734019,-4.104453589391861,-14.653333333333336,-14.096680384087785,-1.8355555555555583,-3.1999999999999993,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
-7.5,5,2.7666666666666657,11.010364273738762,14.539907815113608,109.2,99.76666666666668,103.8,97.0,Sun 12-12 12-12,N,90 (Ⅱ),Maryland,"L, 70-68",64,106.6,47.4,18.8,40.5,29.3,109.7,57.1,23.5,28.6,36.7,6.0,-5.5,132.0,104.9712890625,100.742578125,104.59208453995836,105.73641836251402,95.8845703125,87.969140625,93.5817202662196,91.19651054740042,20211212,106.7,90.3,16.400000000000006,102.6,93.7,8.899999999999991,108.7,90.4,18.34,69.4,-3.754160788376751,134.22393139140718,68.80768136557612,-5.164451593809062,135.71521580518464,-6.754006942509869,135.71521580518464,-5.164451593809062,135.71521580518464,-6.754006942509869,120.51368610300182,105.4,92.7,12.69,69.7,106.7,90.3,16.400000000000006,102.6,93.7,8.899999999999991,-8.757188558960394,125.26660652368399,0,102.6366417770566,90.35961207772104,12.277029699335557,15.957096022916874,100.850043716673,94.08378334431796,6.766260372355035,0.7162436834884702,2021-12-12,-3.830468271906156,132.23925895149534,-10.486877115111852,132.23925895149534,-13.34,-29.860000000000003,-3.427849413199208,-16.520000000000003,-26.432150586800795,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,3,0.6997944856925475,0.6423720744222594,-7.3296357262612375,-15.573333333333334,-4.104453589391861,-2.9860000000000007,-1.8355555555555583,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
