ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-2.5,-5,,-5.200000000000003,-5.200000000000003,94.3,0.0,99.5,0.0,Tue 11-16 11-16,H,285 (Ⅳ),Austin Peay,"W, 65-60",66,98.2,47.1,21.2,27.3,41.2,90.7,48.3,25.7,36.1,8.3,-24.0,-7.5,149.0,94.3,0.0,94.3,94.3,99.5,0.0,99.5,99.5,20211116,101.6,105.3,-3.700000000000003,96.0,106.9,-10.900000000000006,99.9,105.8,-5.95,72.3,-9.275716390894331,145.86921956761424,71.06586059743954,-9.738791951193875,152.63867453905948,-8.866408813374562,152.63867453905948,-9.738791951193875,152.63867453905948,-8.866408813374562,145.3977654123332,93.9,106.8,-12.91,69.1,101.6,105.3,-3.700000000000003,96.0,106.9,-10.900000000000006,-8.866408813374562,145.3977654123332,0,114.10622378080308,92.37692865467396,21.729295126129117,27.72722313988482,99.5135225233688,97.68526243174254,1.8282600916262624,1.870302387438964,2021-11-16,-18.347344898439616,148.29782426863338,-20.65975966069344,148.29782426863338,0.9500000000000002,0.9500000000000002,0.0,0.0,0.9500000000000002,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.7624747379730235,0.9597130800429584,0.7499999999999973,,0.0,0.9500000000000002,0.0,1,0.0,1,1,1,3,0.0,0.0
-18.5,-15,,-8.666666666666671,-7.090909090909095,78.1,0.0,93.7,0.0,Fri 11-19 11-19,A,105 (Ⅱ),Minnesota,"L, 78-49",73,67.0,36.9,27.3,27.3,13.1,106.6,56.1,16.4,12.9,31.6,-11.5,10.5,138.5,86.19999999999999,94.3,88.9,91.35454545454544,96.6,99.5,97.56666666666668,98.44545454545454,20211119,100.4,104.4,-4.0,99.7,95.1,4.6000000000000085,98.9,105.1,-6.24,71.3,13.072313959424463,142.4060796119331,71.3,10.353875499577342,145.7592704219797,17.334593602217613,145.7592704219797,10.353875499577342,145.7592704219797,17.334593602217613,133.27114581373806,101.4,94.8,6.58,70.3,100.4,104.4,-4.0,99.7,95.1,4.6000000000000085,17.279779611297073,133.18976896949607,0,86.98483892537156,96.87359902383456,-9.888760098462996,-6.093874189467559,102.10772979320691,92.73686756925709,9.370862223949828,15.818331505410791,2021-11-19,16.979564332814398,131.37737798857245,17.716872193376005,131.37737798857245,-8.76,-7.81,0.9500000000000002,0.9500000000000002,-8.76,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.15865525393145707,0.0529282011398724,-2.426666666666671,,0.7499999999999973,-3.9049999999999994,0.9500000000000002,-1,1.0,-1,-1,1,-3,3.0,0.0
3.5,1,-6.600000000000004,-5.444444444444448,-5.619834710743805,90.7,87.7,89.7,94.3,Fri 11-26 11-26,N,271 (Ⅳ),Southeastern Louisiana,"W, 74-66",73,100.9,52.4,16.4,22.9,27.4,90.0,47.4,20.4,18.8,24.6,-2.5,-4.5,142.5,88.44999999999999,86.19999999999999,89.50000000000001,91.23553719008262,93.15,96.6,94.94444444444446,96.85537190082644,20211126,100.0,104.8,-4.799999999999997,95.1,108.2,-13.100000000000009,98.9,106.0,-7.14,70.0,-3.602273129374481,141.81193605231311,69.70128022759602,-6.089400666652523,148.3002216343602,2.922594002108946,148.3002216343602,-6.089400666652523,148.3002216343602,2.922594002108946,120.69839605528544,94.0,106.0,-12.0,70.0,100.0,104.8,-4.799999999999997,95.1,108.2,-13.100000000000009,2.889769755065359,120.61570737365803,0,91.8775804995347,97.55080615335844,-5.673225653823735,-0.3953005680827218,96.35422542197338,98.25610203477268,-1.901876612799299,-6.706198025445589,2021-11-26,2.6533001096511697,131.4663683617817,-4.398776321632738,131.4663683617817,8.14,0.33000000000000096,-1.9699999999999995,-7.81,2.3000000000000007,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.6658824291023754,0.40025185993506174,1.6955555555555515,0.5399999999999956,-2.426666666666671,0.10999999999999943,-3.9049999999999994,1,-1.0,1,1,-1,3,-3.0,3.0
-12.5,-21,-12.1,-10.86296296296296,-8.543501126972203,112.0,93.59999999999998,133.7,105.7,Sat 11-27 11-27,N,315 (Ⅳ),Western Michigan,"L, 93-85 OT",71,119.9,59.4,12.7,25.0,21.9,131.1,72.8,24.0,45.5,22.8,38.0,-4.5,140.0,100.225,88.44999999999999,97.0,95.01089406461304,113.425,93.15,107.86296296296295,103.55439519158529,20211127,100.1,104.9,-4.800000000000011,96.7,107.4,-10.700000000000005,98.7,105.7,-7.0,70.2,-4.998721403791848,141.76270390097878,68.80199146514937,-4.275665337324753,147.20170814009612,-8.996945264823255,147.20170814009612,-4.275665337324753,147.20170814009612,-8.996945264823255,122.4672553740758,94.5,108.6,-14.15,68.9,100.1,104.9,-4.800000000000011,96.7,107.4,-10.700000000000005,-8.97921946204064,122.42812022626903,0,95.05118399960946,106.4844355802309,-11.43325158062143,-11.942105979609895,101.40483246204836,103.6666757374088,-2.261843275360434,2.154329549829865,2021-11-27,6.653246086921783,145.490530526207,9.698628369855427,145.490530526207,-14.0,-13.669999999999998,-1.203333333333333,0.33000000000000096,-12.466666666666665,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,3,0.6658824291023754,0.2631570841073434,-3.8629629629629605,-5.1,1.6955555555555515,-3.4175000000000004,0.10999999999999943,-1,1.0,-1,-1,1,-3,3.0,-3.0
0.5,-7,-9.299999999999995,-9.641975308641976,-8.29922819479544,107.3,103.33333333333331,114.5,112.63333333333333,Sun 11-28 11-28,A,213 (Ⅲ),Florida Gulf Coast,"L, 85-78",72,107.8,53.5,20.7,32.4,36.8,117.5,55.6,20.7,30.3,57.4,18.5,7.5,144.5,103.7625,100.225,100.43333333333337,97.24527696195612,113.9625,113.425,110.07530864197533,105.54450515675155,20211128,99.4,104.1,-4.699999999999989,103.8,105.3,-1.5,99.5,107.7,-8.17,69.0,8.20565015976814,143.56975761450684,68.80369843527738,6.583360266757822,149.96332296117703,11.893778715521123,149.96332296117703,6.583360266757822,149.96332296117703,11.893778715521123,142.31844015847275,100.1,102.2,-2.15,70.1,99.4,104.1,-4.699999999999989,103.8,105.3,-1.5,11.429501590249659,142.4625928482595,0,96.5743638335682,105.54441098726711,-8.970047153698914,-8.713018836532807,105.25251591192776,104.71687800807932,0.5356379038484391,-0.7496527445978977,2021-11-28,11.203568381239961,149.73625262241228,7.314444595119376,149.73625262241228,1.17,-12.499999999999998,-5.358888888888888,-13.669999999999998,-7.14111111111111,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,-3,0.23752526202697655,0.14298444756727235,-1.4719753086419765,-1.1299999999999955,-3.8629629629629605,-2.5,-3.4175000000000004,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
-9.0,-24,-17.7,-14.494650205761316,-11.19027761392354,103.3,107.53333333333336,127.5,125.23333333333332,Thu 12-02 12-02,H,200 (Ⅳ),Wright St.,"L, 86-73",67,109.5,47.5,12.0,22.2,26.7,129.0,74.0,21.0,29.4,19.2,7.5,4.0,151.5,103.53125,103.7625,101.38888888888891,98.3461356961459,120.73125,113.9625,115.88353909465022,109.53641331006946,20211202,101.2,107.2,-6.0,98.9,100.4,-1.5,100.6,108.9,-8.31,69.4,2.227755560539407,152.91502134033513,71.76927453769561,-1.025173637088912,152.34099976730027,-6.781452766768727,152.34099976730027,-1.025173637088912,152.34099976730027,-6.781452766768727,143.75617698374205,102.6,102.0,0.61,72.7,101.2,107.2,-6.0,98.9,100.4,-1.5,-6.652836178341176,143.44461223776466,0,95.76386851194631,110.3469922383502,-14.583123726403883,-17.248900946874663,95.32497105235062,107.17960817579883,-11.854637123448214,-3.9958867686191386,2021-12-02,-2.400087546548832,152.5276586829734,7.715513663343209,152.5276586829734,-15.69,-28.189999999999998,-7.739259259259258,-12.499999999999998,-20.45074074074074,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,-3,0.35161929169946593,0.5904022238182273,-6.184650205761315,-9.389999999999999,-1.4719753086419765,-4.698333333333333,-2.5,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
16.0,16,-5.033333333333336,-4.2297668038408816,-6.192045320482897,103.2,104.6,86.9,109.63333333333333,Sat 12-04 12-04,H,229 (Ⅳ),Northern Kentucky,"W, 71-57",67,105.3,54.8,26.7,34.6,30.8,84.6,43.1,26.7,41.7,19.0,-15.0,2.0,143.0,103.365625,103.53125,101.99259259259262,99.22865647866482,103.815625,120.73125,106.22235939643348,105.42070179914774,20211204,101.5,109.2,-7.700000000000003,100.0,103.1,-3.0999999999999943,100.7,110.0,-9.3,68.5,2.5371985004850757,140.07771007248283,65.18705547652917,-0.9582074212154765,142.90513946495128,-1.9348224220238193,142.90513946495128,-0.9582074212154765,142.90513946495128,-1.9348224220238193,137.37450405455292,102.8,102.4,0.35,66.9,101.5,109.2,-7.700000000000003,100.0,103.1,-3.0999999999999943,-2.8024753410354006,135.51381351848218,0,95.9170822048637,107.5972440696022,-11.680161864738494,-11.687068926878592,92.0754783678666,103.32509445194492,-11.249616084078326,-10.656967754820627,2021-12-04,-3.7335306584248116,132.51355522154932,-0.9498290566254752,132.51355522154932,25.3,-2.889999999999997,-14.556172839506171,-28.189999999999998,11.666172839506174,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.4244679994402739,0.6389203216243291,5.070233196159119,4.266666666666665,-6.184650205761315,-0.4128571428571428,-4.698333333333333,1,-1.0,1,-1,-1,1,-3.0,-3.0
-23.0,-37,-14.966666666666669,-15.153177869227251,-11.793491625849644,83.7,96.73333333333332,120.7,111.7,Wed 12-08 12-08,A,290 (Ⅳ),SIU Edwardsville,"L, 80-59",71,83.6,33.9,17.0,23.8,33.9,113.3,57.1,21.2,41.9,19.0,-4.0,-2.0,143.0,93.5328125,103.365625,95.89506172839508,96.40526439163484,112.2578125,103.815625,111.04823959762234,108.1987560174845,20211208,101.6,107.5,-5.900000000000006,95.3,106.5,-11.200000000000005,101.3,108.8,-7.51,68.2,-0.22406397483420903,141.37137886446402,67.52091038406827,0.09726959446783212,145.63531236285147,4.98373842344928,145.63531236285147,0.09726959446783212,145.63531236285147,4.98373842344928,143.4046579791662,93.9,107.0,-13.15,69.6,101.6,107.5,-5.900000000000006,95.3,106.5,-11.200000000000005,4.383582934928257,136.63012716353006,0,94.463626514434,104.96511934839884,-10.501492833964846,-7.599837335117265,101.1618417257913,96.13728901191276,5.024552713878549,8.860188817863856,2021-12-08,14.44988625973673,136.5988255493595,13.016459009835152,136.5988255493595,-29.490000000000002,-32.379999999999995,-10.667448559670781,-2.889999999999997,-21.712551440329214,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.5755320005597261,0.08438301135787296,-7.643177869227252,-7.456666666666669,5.070233196159119,-4.047499999999999,-0.4128571428571428,-1,1.0,-1,-1,-1,-3,1.0,-3.0
8.0,9,-3.800000000000002,-7.002118579484837,-7.958311330240618,101.3,96.06666666666666,92.0,99.86666666666667,Sat 12-11 12-11,H,248 (Ⅳ),Southeast Missouri St.,"W, 78-65",70,111.8,64.3,22.9,16.7,38.8,93.1,49.1,17.2,16.7,33.3,-9.5,-5.0,152.5,97.41640625,93.5328125,97.69670781893008,97.29521632042852,102.12890625,112.2578125,104.6988263984149,105.25352765066911,20211211,100.0,108.4,-8.400000000000006,101.2,108.3,-7.099999999999994,100.1,109.4,-9.34,68.4,-4.870616072536592,151.31106260057226,69.95675675675677,-3.3672524775408306,156.08838608226557,-4.3128914730985315,156.08838608226557,-3.3672524775408306,156.08838608226557,-4.3128914730985315,157.75843290038827,98.9,109.0,-10.13,71.9,100.0,108.4,-8.400000000000006,101.2,108.3,-7.099999999999994,-2.7819196750603545,152.93318592588346,0,93.37747365077388,103.24345231161348,-9.865978660839602,-5.750510982012017,99.02358673042832,106.74001632468229,-7.716429594253967,-10.40766079440479,2021-12-11,-2.211428381730201,144.53948370263498,-5.058527894279024,144.53948370263498,18.34,-14.039999999999996,-17.904965706447186,-32.379999999999995,3.8649657064471903,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,-3,0.6830306580593271,0.583405064657912,2.3378814205151626,5.539999999999997,-7.643177869227252,-1.5599999999999987,-4.047499999999999,1,-1.0,1,-1,-1,1,-3.0,1.0
1.5,-1,-9.633333333333333,-5.068079052989888,-6.7295274520150485,115.4,100.13333333333334,116.6,109.76666666666668,Thu 12-30 12-30,A,158 (Ⅲ),Cleveland St.,"L, 90-81",72,112.3,62.0,22.2,14.8,29.6,124.8,59.8,11.1,31.0,58.9,29.0,10.5,142.0,106.408203125,97.41640625,103.59780521262006,100.58699517125967,109.364453125,102.12890625,108.66588426560992,107.31652262327474,20211230,99.2,107.1,-7.899999999999991,105.8,101.2,4.599999999999994,99.5,108.5,-8.96,67.9,10.828233699002382,137.96422451053206,65.19559032716928,12.641860234420562,143.15394351993436,16.095871270258765,143.15394351993436,12.641860234420562,143.15394351993436,16.095871270258765,141.72823660606386,102.8,101.3,1.46,67.5,99.2,107.1,-7.899999999999991,105.8,101.2,4.599999999999994,12.694136470755856,135.60720376141742,0,95.02148782557086,105.42921221317604,-10.407724387605185,-6.804935560263716,98.9121465708754,103.67326065436836,-4.76111408349297,-6.775132193004204,2021-12-30,7.655476579394815,135.725391652179,1.720956535642948,135.725391652179,7.960000000000001,-6.079999999999995,-16.61664380429812,-14.039999999999996,10.536643804298127,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,3,0.15865525393145707,0.23297238580131263,3.891920947010113,-0.673333333333332,2.3378814205151626,-0.6080000000000005,-1.5599999999999987,1,1.0,1,-1,-1,1,1.0,-3.0
