ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
13.0,22,,22.8,22.8,107.6,0.0,84.8,0.0,Fri 11-12 11-12,H,240 (Ⅳ),LIU Brooklyn,"W, 84-60",75,111.5,55.9,23.9,38.2,42.4,79.6,43.8,21.2,22.0,9.2,2.5,-11.0,141.5,107.6,0.0,107.6,107.6,84.8,0.0,84.8,84.8,20211112,102.9,98.5,4.400000000000006,96.5,100.6,-4.099999999999994,101.4,97.0,4.44,69.4,-12.837088201454733,141.99058525042892,73.44751066856332,-10.530007360459251,149.27784478549583,-40.29948069528673,149.27784478549583,-10.530007360459251,149.27784478549583,-40.29948069528673,163.45151574735658,93.7,101.6,-7.97,74.4,102.9,98.5,4.400000000000006,96.5,100.6,-4.099999999999994,-40.29948069528673,163.45151574735658,0,90.07146150458333,99.91555066368682,-9.84408915910349,-3.9262134407083935,103.06087152301868,104.06377322370018,-1.0029017006815053,-3.835126736597192,2021-11-12,2.804793522975345,147.50579522402165,-1.909822225833551,147.50579522402165,17.56,17.56,0.0,0.0,17.56,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.8525929209684728,0.3946871555210464,18.36,,0.0,17.56,0.0,1,0.0,1,1,1,3,0.0,0.0
-15.5,-6,,13.000000000000002,17.454545454545453,93.4,0.0,100.0,0.0,Mon 11-15 11-15,H,328 (Ⅳ),Idaho,"W, 69-62",66,105.0,55.8,24.3,41.4,38.5,94.4,45.9,16.7,14.7,46.9,-9.0,-22.5,140.0,100.5,107.6,102.86666666666667,105.01818181818182,92.4,84.8,89.86666666666667,87.56363636363636,20211115,103.4,97.6,5.800000000000011,92.3,110.8,-18.5,102.4,97.1,5.33,68.8,-23.551169309284496,138.65033873021522,68.99573257467995,-21.34637136664425,145.0839255202044,-24.541037250236837,145.0839255202044,-21.34637136664425,145.0839255202044,-24.541037250236837,144.53011395332715,88.8,112.2,-23.45,70.5,103.4,97.6,5.800000000000011,92.3,110.8,-18.5,-24.541037250236837,144.53011395332715,0,93.68756242542024,98.65267851784036,-4.965116092420118,-3.320185955223637,107.61182226182603,94.8727497008082,12.739072561017835,1.8815919379304156,2021-11-15,8.350001965087984,137.47059625235468,1.67102021093244,137.47059625235468,-11.33,6.229999999999999,17.56,17.56,-11.33,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,0.9839377143961717,0.21323745344474365,7.670000000000002,,18.36,3.115,17.56,1,1.0,-1,1,1,1,3.0,0.0
0.5,-1,4.900000000000001,8.16666666666667,14.008264462809915,102.9,101.3,104.4,96.4,Mon 11-22 11-22,N,272 (Ⅳ),Pepperdine,"W, 70-63",65,108.2,47.9,15.5,30.0,76.6,97.4,64.8,30.9,18.2,20.5,-5.0,-6.5,138.0,101.7,100.5,102.8777777777778,104.63305785123968,98.4,92.4,94.71111111111112,90.62479338842977,20211122,102.7,98.0,4.700000000000003,96.1,100.2,-4.1000000000000085,102.0,98.1,3.86,67.2,-4.652808669030378,135.0587263557037,67.67795163584637,-6.050819453797885,136.64047376545437,-13.070132433600302,136.64047376545437,-6.050819453797885,136.64047376545437,-13.070132433600302,128.00059878644038,98.7,101.7,-3.02,70.8,102.7,98.0,4.700000000000003,96.1,100.2,-4.1000000000000085,-13.213377377239885,127.8669740245644,0,91.17912567930333,107.15620012551985,-15.97707444621652,-17.235808572485865,91.14277852146402,106.56546603720471,-15.42268751574069,-11.282948872288337,2021-11-22,0.34643318994160666,135.0785772118997,4.028773508849476,135.0785772118997,-4.859999999999999,1.3699999999999992,13.783333333333333,6.229999999999999,-12.413333333333334,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.732057505466481,0.4868398308547054,4.30666666666667,1.0400000000000014,7.670000000000002,0.4566666666666661,3.115,1,1.0,-1,1,1,1,1.0,3.0
13.5,21,4.433333333333333,12.577777777777778,15.352216378662655,99.3,98.53333333333336,77.9,94.1,Wed 11-24 11-24,N,77 (Ⅱ),Santa Clara,"W, 59-52",61,96.3,37.8,13.1,25.0,51.0,84.8,43.0,24.5,27.3,24.0,-31.0,6.5,142.0,100.5,101.7,101.6851851851852,103.6634109691961,88.15,98.4,89.10740740740742,88.31119459053343,20211124,103.2,98.7,4.5,109.4,97.9,11.5,102.4,98.3,4.07,66.1,4.332059080274291,135.46288485580632,66.47610241820769,4.732005286511978,142.41026121483623,11.178942697036568,142.41026121483623,4.732005286511978,142.41026121483623,11.178942697036568,146.11628363982524,107.5,96.8,10.75,70.7,103.2,98.7,4.5,109.4,97.9,11.5,11.51786197053944,146.3155307616672,0,93.2840124758338,107.90047808956018,-14.616465613726376,-11.891738701971857,118.17904172066156,97.80077060851616,20.3782711121454,31.646147954235257,2021-11-24,24.721758935888516,149.04503960462242,28.942290124303433,149.04503960462242,16.93,18.299999999999997,9.645555555555557,1.3699999999999992,8.65444444444444,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.26794249453351904,0.009274988903580361,8.507777777777777,0.3633333333333324,4.30666666666667,4.574999999999999,0.4566666666666661,1,1.0,1,1,1,3,1.0,1.0
-6.0,-6,4.63333333333333,6.385185185185186,11.469995218905808,93.2,98.46666666666664,99.2,93.83333333333331,Sun 11-28 11-28,A,124 (Ⅱ),California,"L, 65-57",64,88.8,50.0,18.7,12.9,19.6,101.2,53.9,17.1,10.7,23.5,1.0,2.0,121.0,96.85,100.5,98.8567901234568,101.76097261116044,93.675,88.15,92.4716049382716,90.29097739225465,20211128,103.2,97.5,5.700000000000003,99.4,96.6,2.800000000000012,102.8,97.6,5.24,64.5,2.8789560950512936,117.19902538842646,60.1877667140825,1.6881840547210771,121.63246582345899,-1.9217279092928417,121.63246582345899,1.6881840547210771,121.63246582345899,-1.9217279092928417,110.31959272622757,99.9,95.5,4.35,65.6,103.2,97.5,5.700000000000003,99.4,96.6,2.800000000000012,-3.956006167828548,111.30086786131514,0,94.70926768698442,97.6785665527884,-2.969298865803978,-1.107432761713239,99.94966070776562,99.83705558007566,0.11260512768996023,-1.361122514906698,2021-11-28,5.232568877923086,118.99712254131003,1.511766515089299,118.99712254131003,-11.24,7.059999999999997,12.53037037037037,18.299999999999997,-5.470370370370373,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,3,0.4244679994402739,0.309122247159223,1.145185185185186,-0.60666666666667,8.507777777777777,1.412,4.574999999999999,1,1.0,-1,1,1,1,3.0,1.0
15.5,27,14.133333333333333,13.256790123456792,14.293632451832025,107.6,100.03333333333336,80.6,85.90000000000002,Wed 12-01 12-01,H,176 (Ⅳ),San Diego,"W, 63-43",58,108.5,53.5,15.5,18.2,44.2,74.0,38.9,18.9,12.5,33.3,-21.0,-4.5,127.0,102.225,96.85,101.77119341563788,102.8226139545858,87.1375,93.675,88.51440329218107,88.52898150275378,20211201,103.3,98.4,4.899999999999992,99.7,96.2,3.5,103.1,98.4,4.78,64.8,-6.411979602390026,125.02376418759548,62.67994310099573,-4.376014600029372,127.14188568789518,-7.14448944003118,127.14188568789518,-4.376014600029372,127.14188568789518,-7.14448944003118,110.55564156096261,99.4,99.4,-0.03,68.0,103.3,98.4,4.899999999999992,99.7,96.2,3.5,-5.513504596647432,115.38246102939313,0,97.41811994303096,96.0701433320735,1.3479766109574598,6.535169794519667,92.238190072828,94.92941583401269,-2.6912257611846826,-5.300942129798486,2021-12-01,-5.751314222421726,116.63983857094831,-9.18473721113245,116.63983857094831,22.22,29.279999999999994,10.706913580246914,7.059999999999997,18.573086419753082,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.6658824291023754,0.7080662250182918,8.47679012345679,9.353333333333332,1.145185185185186,4.88,1.412,1,1.0,1,1,1,3,1.0,3.0
5.0,22,14.399999999999997,16.237860082304525,15.7311538242262,98.1,99.63333333333333,75.9,85.23333333333333,Sat 12-04 12-04,H,323 (Ⅳ),Cal St. Northridge,"W, 61-43",59,102.8,47.3,11.8,28.1,16.1,72.5,36.5,27.0,28.6,9.6,-17.5,-13.0,121.5,100.1625,102.225,100.54746227709192,101.96395687193385,81.51875000000001,87.1375,84.30960219478739,86.23280304770763,20211204,103.7,96.8,6.900000000000006,97.4,107.0,-9.599999999999994,103.1,96.9,6.14,63.8,-12.174412664905326,118.72078878753916,59.26230440967283,-13.670241321645385,125.4196945661864,-12.354720353787576,125.4196945661864,-13.670241321645385,125.4196945661864,-12.354720353787576,110.38293333447098,95.9,104.7,-8.74,65.3,103.7,96.8,6.900000000000006,97.4,107.0,-9.599999999999994,-13.798268976520115,110.68085608497658,0,96.58227606329824,93.682819668767,2.899456394531242,7.840662529032176,90.23228352499171,100.65421328335604,-10.421929758364328,-9.899444615058329,2021-12-04,-10.834201427791818,111.0261896079563,-12.155459677906528,111.0261896079563,15.86,45.13999999999999,16.897942386831275,29.279999999999994,28.24205761316872,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.8921596253194927,0.8489238157901168,10.097860082304525,8.259999999999998,8.47679012345679,6.448571428571429,4.88,1,1.0,1,1,1,3,3.0,1.0
0.5,16,21.83333333333333,16.25857338820302,15.834580401639617,115.2,106.96666666666664,98.9,85.13333333333334,Wed 12-08 12-08,A,22 (I-A),San Francisco,"L, 71-63",64,98.1,46.0,21.8,43.6,19.4,110.6,55.2,17.1,35.5,20.7,6.0,8.5,128.0,107.68125,100.1625,105.43164151806128,104.37051016794588,90.209375,81.51875000000001,89.17306812985827,88.53592976630624,20211208,103.4,95.2,8.200000000000003,107.5,93.3,14.200000000000005,103.0,96.5,6.52,63.3,9.833870253044346,123.23005991045815,61.319061166429584,7.2049478758563055,125.38778546104135,3.5036302457538726,125.38778546104135,7.2049478758563055,125.38778546104135,3.5036302457538726,113.4242112201488,109.9,92.8,17.09,68.1,103.4,95.2,8.200000000000003,107.5,93.3,14.200000000000005,5.876943558140168,113.89707371237535,0,96.59837475550086,94.53126362838148,2.067111127119375,5.665026831438403,104.55942432061528,94.28911208209946,10.270312238515814,10.703341454359546,2021-12-08,8.240275047026046,119.8195657508179,4.946897954701818,119.8195657508179,9.48,54.61999999999999,26.31196159122085,45.13999999999999,28.30803840877914,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.20910695659274503,0.21628890926333355,9.738573388203019,15.313333333333329,10.097860082304525,6.8275,6.448571428571429,1,1.0,1,1,1,3,3.0,3.0
6.0,12,17.099999999999994,15.105715592135343,15.282838510432413,101.2,104.83333333333331,88.4,87.73333333333335,Sat 12-11 12-11,H,148 (Ⅲ),UC Irvine,"W, 63-55",66,95.5,42.3,18.2,24.2,40.4,83.4,40.0,31.8,33.3,51.1,-5.0,-2.0,123.0,104.440625,107.68125,104.0210943453742,103.7940537737739,89.3046875,90.209375,88.91537875323885,88.51121526334147,20211211,103.8,95.0,8.799999999999997,100.3,92.5,7.799999999999997,103.4,96.5,6.93,63.3,-2.2687333692163065,116.54988873278988,59.428165007112376,-3.720250474041187,116.96285367477265,-4.441255826485347,116.96285367477265,-3.720250474041187,116.96285367477265,-4.441255826485347,102.98456951757805,103.0,94.5,8.46,66.0,103.8,95.0,8.799999999999997,100.3,92.5,7.799999999999997,-2.0049095927035117,105.10129455774259,0,98.08391156759711,93.4740398196214,4.609871747975717,8.269573389918827,98.03214686789048,90.8109839054408,7.221162962449668,11.625792651750835,2021-12-11,-1.5253809675716,110.42963193175021,0.16502258728267805,110.42963193175021,5.07,59.68999999999999,35.747974394147235,54.61999999999999,23.942025605852756,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.5755320005597261,0.5577528781988996,8.175715592135344,10.169999999999995,9.738573388203019,6.6322222222222225,6.8275,1,1.0,1,1,1,3,3.0,3.0
20.5,33,20.8,21.17047706142356,18.558686053990154,127.7,114.7,94.4,93.90000000000002,Fri 12-17 12-17,H,313 (Ⅳ),Cal Poly,"W, 83-48",61,136.3,62.3,14.8,39.3,26.3,78.8,38.5,24.6,29.4,29.2,12.0,-14.5,119.0,116.0703125,104.440625,111.91406289691614,108.14058945126956,91.85234375,89.3046875,90.74358583549258,89.58190339727938,20211217,103.1,93.2,9.899999999999991,93.9,102.2,-8.299999999999997,103.6,94.7,8.94,63.9,-15.090905210464093,113.37329032682547,57.99174964438122,-13.883238928569185,115.45916643302245,-13.134856941167026,115.45916643302245,-13.883238928569185,115.45916643302245,-13.134856941167026,107.81191617268784,92.5,104.5,-12.01,63.8,103.1,93.2,9.899999999999991,93.9,102.2,-8.299999999999997,-14.169086013253336,108.04231243526759,0,100.46546758127435,93.15053859995255,7.314928981321799,12.599982285620811,96.54686931419388,101.79696327931892,-5.250093965125032,-3.3112679474049203,2021-12-17,-10.57825667164056,114.96199780667985,-10.926395021968787,114.96199780667985,24.060000000000002,83.75,43.72864959609815,59.68999999999999,40.02135040390185,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.9163531986724158,0.8431414374672526,12.230477061423562,11.860000000000001,8.175715592135344,8.375,6.6322222222222225,1,1.0,1,1,1,3,3.0,3.0
