ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
17.5,15,,15.700000000000005,15.700000000000005,93.0,0.0,77.3,0.0,Tue 11-09 11-09,H,239 (Ⅳ),Stony Brook,"W, 74-52",70,105.9,58.2,20.0,25.8,9.8,74.4,39.1,17.2,18.2,6.3,-16.0,-4.5,142.0,93.0,0.0,93.0,93.0,77.3,0.0,77.3,77.3,20211109,101.0,100.5,0.5,101.3,100.5,0.7999999999999972,96.6,98.6,-2.02,71.3,-4.987705486616321,137.3064852833366,70.99573257467995,-3.915740156745386,147.69317874897297,-22.43985029337506,147.69317874897297,-3.915740156745386,147.69317874897297,-22.43985029337506,108.33685584015758,97.7,101.4,-3.68,70.0,101.0,100.5,0.5,101.3,100.5,0.7999999999999972,-22.43985029337506,108.33685584015758,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-09,0.0,0.0,,0.0,17.02,17.02,0.0,0.0,17.02,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,-3,0.6658824291023754,0.5,17.720000000000006,,0.0,17.02,0.0,1,0.0,1,1,1,3,0.0,0.0
13.0,24,,18.6,17.28181818181818,111.3,0.0,86.9,0.0,Fri 11-12 11-12,H,199 (Ⅳ),Penn,"W, 87-66",75,116.5,67.3,18.8,15.4,34.5,88.4,47.6,20.1,15.4,14.5,5.0,-8.0,148.0,102.15,93.0,99.1,96.32727272727271,82.1,77.3,80.5,79.04545454545453,20211112,98.6,96.5,2.0999999999999943,94.7,98.3,-3.5999999999999943,96.0,98.0,-2.02,71.2,-5.991742868592084,145.4214691655173,73.83328591749645,-8.158337996054328,142.23553770762527,-30.780856985933152,142.23553770762527,-8.158337996054328,142.23553770762527,-30.780856985933152,138.66162221387572,99.6,104.4,-4.81,72.9,98.6,96.5,2.0999999999999943,94.7,98.3,-3.5999999999999943,-30.780856985933152,138.66162221387572,0,107.63549469361664,104.96868042750155,2.6668142661150824,5.584689984510181,98.72345765657954,94.42761669349927,4.295840963080266,6.047050014808661,2021-11-12,-2.834119233603758,154.87407470101644,-1.846189744463672,154.87407470101644,26.02,43.04,17.02,17.02,26.02,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.7769415761393583,0.6063876063616407,20.62,,17.720000000000006,21.52,17.02,1,1.0,1,1,1,3,3.0,0.0
26.5,23,21.33333333333333,20.366666666666667,18.485123966942147,111.3,105.2,87.4,83.86666666666667,Sun 11-14 11-14,H,326 (Ⅳ),Morgan St.,"W, 90-53",73,123.4,64.7,21.9,35.5,34.5,72.7,40.2,23.3,17.5,8.2,-4.5,-10.5,147.5,106.725,102.15,103.16666666666669,99.04958677685948,84.75,82.1,82.80000000000001,80.56446280991734,20211114,100.1,96.3,3.799999999999997,102.8,105.2,-2.4000000000000057,97.3,98.1,-0.78,71.3,-8.37970086851422,143.4716255535239,73.83556187766713,-9.077993143532211,154.32596417436073,-39.21431750260597,154.32596417436073,-9.077993143532211,154.32596417436073,-39.21431750260597,133.81556491497872,96.4,103.3,-6.91,72.8,100.1,96.3,3.799999999999997,102.8,105.2,-2.4000000000000057,-38.986096603643205,133.65706582796577,0,101.95130580884393,95.97616498488829,5.975140823955641,1.1218911819338089,106.36834270757755,92.0045476693019,14.363795038275654,12.043203196650415,2021-11-14,2.116737474967252,147.6676189557881,5.860329058218355,147.6676189557881,23.78,66.82,25.693333333333335,43.04,41.12666666666666,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.8413447460685429,0.4201170504344285,21.14666666666667,22.11333333333333,20.62,22.273333333333333,21.52,1,1.0,1,1,1,3,3.0,3.0
14.5,18,22.099999999999994,19.57777777777778,18.396919609316303,116.5,113.03333333333336,98.5,90.93333333333334,Wed 11-17 11-17,A,85 (Ⅱ),Maryland,"W, 71-66",63,112.7,55.2,19.1,33.3,13.8,104.8,53.6,15.9,24.2,23.6,-4.5,9.5,141.5,111.6125,106.725,107.61111111111111,102.22238918106684,91.625,84.75,88.03333333333335,83.82546957175055,20211117,100.4,94.2,6.200000000000003,105.1,90.8,14.299999999999995,98.0,96.9,1.1,71.2,15.7452586604727,134.73073004959684,69.88335704125178,9.417952901710834,136.20231098324527,-3.524590260078017,136.20231098324527,9.417952901710834,136.20231098324527,-3.524590260078017,124.879204279974,108.6,89.8,18.77,69.0,100.4,94.2,6.200000000000003,105.1,90.8,14.299999999999995,-3.7315101335756755,124.92615438469139,0,94.54988888255724,103.03265539136343,-8.482766508806193,-4.674117337280462,97.97323806395929,102.26413984858124,-4.290901784621951,-5.590061612760407,2021-11-17,7.001234099471361,141.47281399465163,1.216220049300361,141.47281399465163,16.9,83.72,39.40222222222222,66.82,44.31777777777778,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.182795768782416,0.2524549932450977,18.477777777777778,20.999999999999993,21.14666666666667,20.93,22.273333333333333,1,1.0,1,1,1,3,3.0,3.0
-5.5,-5,12.066666666666665,11.151851851851854,14.015661498531518,84.8,104.2,90.5,92.13333333333334,Fri 11-19 11-19,A,208 (Ⅲ),James Madison,"L, 67-64",73,87.8,48.3,28.8,30.0,22.4,92.0,48.2,27.4,30.6,32.7,-17.0,-2.5,148.0,98.20625,111.6125,100.0074074074074,99.0546820572365,91.0625,91.625,88.85555555555557,85.03902055870499,20211119,102.0,94.0,8.0,100.6,99.3,1.2999999999999972,99.4,96.6,2.87,70.3,1.3052046896668514,142.37917673490625,73.8,-0.9348798747223839,147.6027157361194,-10.182475119390903,147.6027157361194,-0.9348798747223839,147.6027157361194,-10.182475119390903,126.02333532966772,98.5,99.4,-0.89,73.8,102.0,94.0,8.0,100.6,99.3,1.2999999999999972,-10.517146421233795,126.19713675182611,0,103.96409306083832,91.9287915510474,12.035301509790926,18.20825796735646,92.01746995537526,89.10910614425849,2.9083638111167716,5.967121031302945,2021-11-19,-2.330572633858253,133.52968255811487,-6.717779042993328,133.52968255811487,-7.87,75.85,54.174814814814816,83.72,21.67518518518518,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,3,0.5940963859982835,0.5878272159349903,8.281851851851854,9.196666666666665,18.477777777777778,15.17,20.93,1,1.0,1,1,1,3,3.0,3.0
-7.5,-2,3.2666666666666657,6.601234567901237,11.012813953343969,112.5,104.6,115.0,101.33333333333331,Mon 11-22 11-22,N,137 (Ⅲ),Washington,"L, 77-74",68,109.1,49.1,20.6,39.4,48.1,113.5,53.8,16.2,25.8,53.8,12.0,-4.5,139.0,105.353125,98.20625,104.1716049382716,101.49928531955712,103.03125,91.0625,97.57037037037038,90.48647136621317,20211122,101.3,93.9,7.399999999999991,98.7,95.7,3.0,99.6,96.7,2.84,69.6,-0.10600253922420677,136.4996860907412,72.47112375533429,-3.160243269569648,140.51211630156473,-14.824523658815902,140.51211630156473,-3.160243269569648,140.51211630156473,-14.824523658815902,126.68634172980788,97.8,95.1,2.78,73.2,101.3,93.9,7.399999999999991,98.7,95.7,3.0,-14.85554763109131,126.83066810977671,0,105.04988860606284,96.571648663669,8.478239942393841,17.919866722649886,94.94079210429592,97.34848513329992,-2.407693029003994,-10.430801348547565,2021-11-22,-7.838798625261944,143.71842302278222,-20.546047743341532,143.71842302278222,-4.84,71.00999999999999,61.39987654320988,75.85,9.610123456790113,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.6658824291023754,0.7723330595966083,3.761234567901237,0.42666666666666586,8.281851851851854,11.834999999999999,15.17,1,1.0,1,1,1,3,3.0,3.0
-16.0,-15,-7.733333333333334,-0.5991769547325081,6.283211416372336,98.2,98.5,113.2,106.23333333333332,Tue 11-23 11-23,N,125 (Ⅲ),Nevada,"L, 88-69",73,94.3,44.6,19.1,30.3,46.4,120.2,61.4,15.0,11.1,33.3,12.0,3.0,145.0,101.7765625,105.353125,102.18106995884776,100.89941526145584,108.115625,103.03125,102.78024691358029,94.61620384508348,20211123,101.6,94.1,7.5,105.0,97.3,7.700000000000003,100.7,97.8,2.86,68.6,4.409468356085867,142.65728008662234,69.96614509246088,-0.03709299816706846,141.54186843817894,-9.562793639676942,141.54186843817894,-0.03709299816706846,141.54186843817894,-9.562793639676942,149.96971524464226,108.0,98.6,9.39,71.7,101.6,94.1,7.5,105.0,97.3,7.700000000000003,-9.802145622107721,145.7111322847712,0,102.2699412576285,99.7243726005092,2.545568657119304,12.94139712151174,99.6702540882467,104.18083506975344,-4.510580981506749,-1.9851217246997424,2021-11-23,-5.12008206873233,147.47060014973027,-10.443509833193843,147.47060014973027,-17.86,53.14999999999999,64.60325102880658,71.00999999999999,-11.45325102880659,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.38754848109799234,0.6870929180133081,-3.459176954732508,-10.593333333333334,3.761234567901237,7.592857142857143,11.834999999999999,-1,1.0,-1,1,1,-1,3.0,3.0
2.0,5,-4.133333333333336,1.3005486968449924,6.068082067941001,113.1,107.93333333333332,108.0,112.06666666666666,Wed 11-24 11-24,N,65 (Ⅱ),South Dakota St.,"L, 80-76",66,114.5,56.7,12.1,20.0,13.3,120.6,64.7,12.1,11.5,45.1,2.5,6.0,153.5,107.43828125,101.7765625,105.82071330589852,103.11770339573658,108.0578125,108.115625,104.52016460905352,97.04962132779558,20211124,102.6,95.3,7.299999999999997,109.9,98.6,11.300000000000011,100.6,98.4,2.15,68.7,6.055682398250568,150.63553080911237,72.21806543385492,2.637215258416319,152.053467682781,7.995955339167881,152.053467682781,2.637215258416319,152.053467682781,7.995955339167881,163.66623703266723,110.8,100.0,10.86,73.9,102.6,95.3,7.299999999999997,109.9,98.6,11.300000000000011,6.192603991497129,153.9373247865433,0,103.07073262097197,100.64351076450008,2.4272218564718884,9.948105019000971,109.0575733225979,100.49941122148672,8.55816210111118,9.201252316813449,2021-11-24,4.559345822649263,157.55265706677903,-0.539362573160318,157.55265706677903,2.85,55.99999999999999,60.78550068587106,53.14999999999999,-4.785500685871064,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.2838545830986763,0.3320631068849994,-0.8494513031550075,-6.283333333333337,-3.459176954732508,7.0,7.592857142857143,-1,-1.0,-1,1,1,-1,-1.0,3.0
-18.5,-18,-9.433333333333335,-5.266300868770006,1.619339873769908,77.5,96.26666666666664,95.9,105.7,Sat 12-04 12-04,H,207 (Ⅳ),Old Dominion,"L, 60-50",64,77.8,38.5,20.2,27.5,36.5,93.4,42.0,18.7,21.9,44.0,-17.5,-8.5,127.5,92.469140625,107.43828125,96.38047553726568,98.45993914196627,101.97890625,108.0578125,101.6467764060357,96.84059926819636,20211204,104.7,98.5,6.200000000000003,97.6,102.2,-4.6000000000000085,102.7,100.2,2.48,67.0,-6.349501400529157,121.20753587993744,60.51920341394026,-10.300074974066945,126.58334811521345,-16.546684315191495,126.58334811521345,-10.300074974066945,126.58334811521345,-16.546684315191495,126.49601777295615,97.9,100.3,-2.46,63.5,104.7,98.5,6.200000000000003,97.6,102.2,-4.6000000000000085,-17.219887134379167,119.47598762369978,0,100.69554054600871,102.07496505930234,-1.3794245132936283,5.446011591366501,91.45113601909743,98.75813563443673,-7.3069996153392935,-16.76691725132438,2021-12-04,-7.151290717814653,120.06314621156537,-15.041706779147134,120.06314621156537,-20.48,35.519999999999996,59.19033379058071,55.99999999999999,-23.670333790580713,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,3,0.790893043407255,0.7520880794453344,-7.746300868770007,-11.913333333333336,-0.8494513031550075,3.9466666666666663,7.0,-1,-1.0,-1,1,1,-1,-1.0,-1.0
1.5,8,-1.733333333333339,-0.8108672458466732,2.797641714902651,119.3,103.3,111.2,105.03333333333336,Tue 12-07 12-07,H,165 (Ⅲ),Navy,"W, 71-65",64,110.9,53.6,12.5,29.4,38.2,101.5,52.0,23.4,28.6,34.0,6.5,-4.5,129.5,105.8845703125,92.469140625,104.0203170248438,102.24904111615425,106.589453125,101.97890625,104.83118427069049,99.45139940125156,20211207,102.8,98.4,4.399999999999992,100.6,95.2,5.399999999999992,101.3,100.3,1.02,67.1,-1.5220130378426262,126.2991549512148,64.23655761024182,-2.8913065016251593,129.74660060481202,9.235279802223962,129.74660060481202,-2.8913065016251593,129.74660060481202,9.235279802223962,116.23920025084747,100.1,96.0,4.11,67.3,102.8,98.4,4.399999999999992,100.6,95.2,5.399999999999992,-0.43472140077224847,117.8401820671573,0,103.37169605777324,102.06692304431868,1.3047730134545503,7.818859409142782,98.67815462401067,92.23994985438604,6.438204769624633,1.48054395490783,2021-12-07,-0.07980653314888286,129.14869176607195,-5.953769903756282,129.14869176607195,6.98,42.5,51.300222527053805,35.519999999999996,-8.800222527053805,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,-3,0.6658824291023754,0.5030321803601976,-1.8308672458466733,-2.753333333333339,-7.746300868770007,4.25,3.9466666666666663,-1,-1.0,-1,1,1,-1,-1.0,-1.0
