ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-3.5,-7,,-7.1000000000000085,-7.1000000000000085,93.1,0.0,100.2,0.0,Tue 11-09 11-09,H,326 (Ⅳ),St. Francis PA,"W, 75-72",77,98.0,46.0,19.6,31.0,41.9,94.1,38.5,19.6,34.9,54.1,3.5,-6.5,143.5,93.1,0.0,93.1,93.1,100.2,0.0,100.2,100.2,20211109,101.3,108.8,-7.5,97.2,106.1,-8.899999999999991,96.8,101.1,-4.34,71.3,-5.34804540851394,146.01544543249088,73.83556187766713,-5.807690641243013,160.9698564291487,-6.738799107235053,160.9698564291487,-5.807690641243013,160.9698564291487,-6.738799107235053,137.9951738857299,97.4,103.5,-6.05,72.8,101.3,108.8,-7.5,97.2,106.1,-8.899999999999991,-6.738799107235053,137.9951738857299,0,102.32417365382128,109.05055490640588,-6.726381252584602,-2.662492363695733,0.0,0.0,0.0,0.0,2021-11-09,0.0,0.0,,0.0,-2.66,-2.66,0.0,0.0,-2.66,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,3,0.732057505466481,0.5,-2.7600000000000087,,0.0,-2.66,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
11.0,3,,-3.5333333333333368,-5.15454545454546,92.4,0.0,88.8,0.0,Thu 11-11 11-11,A,85 (Ⅱ),Maryland,"L, 71-64",73,87.3,43.9,17.7,24.4,12.1,96.9,39.8,17.7,37.8,45.3,-7.0,18.0,142.0,92.75,93.1,92.86666666666667,92.97272727272724,94.5,100.2,96.4,98.12727272727273,20211111,98.6,105.6,-7.0,107.1,91.1,16.0,96.4,99.5,-3.17,71.9,19.20889983196978,139.01926467916218,71.6954480796586,21.235569296065236,149.3074300656673,20.515855426464952,149.3074300656673,21.235569296065236,149.3074300656673,20.515855426464952,138.67847820654043,108.4,89.6,18.84,70.1,98.6,105.6,-7.0,107.1,91.1,16.0,20.515855426464952,138.67847820654043,0,89.68725581331067,97.41453473112772,-7.727278917817046,-14.978594707290735,104.36661551288954,97.92927319503396,6.437342317855581,5.3250616161010935,2021-11-11,14.040149294166007,139.2682214603699,16.467373910566693,139.2682214603699,6.17,3.51,-2.66,-2.66,6.17,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.04323813274683286,0.09058568493589902,-0.36333333333333684,,-2.7600000000000087,1.755,-2.66,-1,-1.0,1,1,-1,1,-3.0,0.0
-22.0,-29,-10.933333333333332,-12.122222222222224,-9.544628099173558,70.3,85.26666666666667,99.6,96.2,Sat 11-13 11-13,A,269 (Ⅳ),UC San Diego,"L, 75-55",75,73.6,38.8,18.7,8.1,22.4,100.3,57.0,26.8,25.8,52.0,-17.0,-2.0,147.0,81.525,92.75,85.34444444444446,88.85041322314048,97.05,94.5,97.46666666666668,98.39504132231404,20211113,97.8,103.6,-5.799999999999997,98.4,106.2,-7.799999999999997,96.9,100.1,-3.17,71.7,1.1058537032945708,147.77171796469352,73.94381223328591,2.9024829161547103,155.5091577024985,15.104243790878805,155.5091577024985,2.9024829161547103,155.5091577024985,15.104243790878805,146.7230616172272,98.3,105.8,-7.54,72.5,97.8,103.6,-5.799999999999997,98.4,106.2,-7.799999999999997,15.164488890091187,146.78777706952755,0,93.02401450573278,99.142222889911,-6.118208384178217,-4.23942052547662,110.8895346609281,102.6671094915604,8.22242516936771,5.092587964808584,2021-11-13,15.25565902557949,155.58115008857354,8.979701681594065,155.58115008857354,-25.83,-22.32,-0.6033333333333337,3.51,-21.716666666666665,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,3,0.5755320005597261,0.07312299651147891,-8.952222222222224,-7.763333333333332,-0.36333333333333684,-7.4399999999999995,1.755,-1,-1.0,-1,-1,1,-3,1.0,-3.0
-12.0,-16,-13.999999999999996,-13.514814814814816,-10.772877535687456,91.5,84.73333333333333,107.8,98.73333333333332,Tue 11-16 11-16,A,184 (Ⅲ),Cal St. Fullerton,"L, 74-59",67,88.6,43.2,21.0,30.6,20.3,111.1,46.7,16.5,46.9,33.3,-12.5,3.0,145.5,86.5125,81.525,87.39629629629631,89.33215627347857,102.425,97.05,100.91111111111113,100.10503380916604,20211116,96.1,103.4,-7.300000000000011,103.4,107.3,-3.899999999999992,95.1,99.9,-4.82,71.8,4.847961868114567,145.41143564769854,72.2085348506401,7.149058308649018,155.19439449305605,8.444853095252403,155.19439449305605,7.149058308649018,155.19439449305605,8.444853095252403,151.76299912692815,101.8,105.8,-4.07,70.7,96.1,103.4,-7.300000000000011,103.4,107.3,-3.899999999999992,8.221355462707372,151.93298768744137,0,103.47942787485307,90.67169034417904,12.807737530674032,22.997654353513184,109.72753359002466,101.2560796149618,8.471453975062857,8.90607270615824,2021-11-16,0.3183582119632291,150.75261624189324,-7.830964674803269,150.75261624189324,-11.18,-33.5,-7.842222222222222,-22.32,-25.657777777777778,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.38754848109799234,0.4879059910099479,-8.694814814814816,-9.179999999999996,-8.952222222222224,-8.375,-7.4399999999999995,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
-15.5,-16,-20.566666666666663,-14.376543209876548,-11.741445256471556,77.8,79.86666666666666,93.9,100.43333333333334,Fri 11-19 11-19,H,274 (Ⅳ),UMass Lowell,"L, 67-56",74,75.4,37.3,25.6,25.6,40.0,90.3,46.0,13.5,17.5,30.6,-12.5,-4.5,135.5,82.15625,86.5125,84.19753086419755,87.23540058739155,98.1625,102.425,98.57407407407408,98.97684584386312,20211119,94.6,102.8,-8.200000000000003,97.1,103.4,-6.300000000000011,94.1,100.0,-5.9,71.2,-4.1032926950264965,135.07992442641114,70.5923186344239,-2.55047739661579,142.74168493555686,9.05263425251316,142.74168493555686,-2.55047739661579,142.74168493555686,9.05263425251316,129.95290155181206,95.9,102.4,-6.5,69.7,94.6,102.8,-8.200000000000003,97.1,103.4,-6.300000000000011,9.016815925749887,129.9215160010136,0,88.68435575905778,95.1529945266171,-6.468638767559327,-4.152039762391661,98.42862185662102,93.9681119233167,4.460509933304323,2.7591356996611576,2021-11-19,3.8780849692448385,127.6602368432747,2.9159400476318638,127.6602368432747,-10.1,-43.6,-16.394814814814815,-33.5,-27.205185185185186,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.6658824291023754,0.35593662584686414,-8.476543209876548,-14.666666666666663,-8.694814814814816,-8.72,-8.375,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
19.0,15,-5.533333333333336,-4.3176954732510335,-6.733909755294909,103.7,91.0,87.9,96.53333333333336,Mon 11-22 11-22,N,187 (Ⅲ),Wright St.,"W, 74-63",69,106.8,52.5,14.4,32.4,31.1,90.9,37.7,18.8,37.2,27.7,-9.0,8.0,146.0,92.928125,82.15625,90.69835390946504,90.22896411695672,93.03125,98.1625,95.01604938271606,96.96287387225163,20211122,93.4,102.0,-8.599999999999994,98.5,96.1,2.4000000000000057,93.3,100.5,-7.12,71.2,8.6911777057812,146.17581062992292,75.25120910384068,8.2344408223463,146.22185726049693,-2.866909198136091,146.22185726049693,8.2344408223463,146.22185726049693,-2.866909198136091,131.86978096887333,102.9,98.4,4.57,74.3,93.4,102.0,-8.599999999999994,98.5,96.1,2.4000000000000057,-2.692445656822007,131.89326749271225,0,91.78019968130197,96.38998299030064,-4.609783308998672,-0.8236262802909209,89.08614569669595,107.4411375947136,-18.354991898017644,-7.554329734858509,2021-11-22,-9.79250926735277,141.80386546064938,-5.0649357307560905,141.80386546064938,22.12,-21.48,-25.46320987654321,-43.6,3.98320987654321,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.22305842386064167,0.8244918803310171,2.8023045267489666,1.5866666666666642,-8.476543209876548,-3.580000000000001,-8.72,1,-1.0,1,-1,-1,1,-3.0,-3.0
-3.0,-11,-3.800000000000002,-6.5784636488340205,-7.527744345241288,110.9,97.46666666666668,122.0,101.26666666666668,Tue 11-23 11-23,N,136 (Ⅲ),Kent St.,"L, 77-69",64,108.4,58.0,20.4,23.1,28.0,121.0,61.1,17.3,30.8,25.9,11.0,5.0,135.0,101.9140625,92.928125,97.43223593964336,93.98733427751004,107.515625,93.03125,104.01069958847738,101.51507862275132,20211123,93.6,102.3,-8.700000000000003,102.3,98.7,3.5999999999999943,94.1,99.7,-5.6,70.5,5.928850778115127,133.76789523152377,69.09601706970129,8.679868663085713,139.38787989002356,9.592169963175307,139.38787989002356,8.679868663085713,139.38787989002356,9.592169963175307,124.74175964767714,101.9,98.8,3.1,68.9,93.6,102.3,-8.700000000000003,102.3,98.7,3.5999999999999943,9.368546678500248,125.8414948392064,0,93.60258903821752,98.27039875827474,-4.667809720057221,-1.4219514575017285,107.78639601450551,106.33225707259147,1.4541389419140387,-0.6499896252427337,2021-11-23,4.522113855641734,145.34138733452573,0.5333948793892631,145.34138733452573,-5.4,-26.880000000000003,-24.13547325102881,-21.48,-2.744526748971193,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.31696934194067294,0.333351436881833,-0.9784636488340208,1.7999999999999976,2.8023045267489666,-3.84,-3.580000000000001,-1,1.0,-1,-1,-1,-3,1.0,-3.0
-7.0,-14,-3.2666666666666657,-9.218975765889349,-8.795427191561053,79.4,98.0,93.9,101.26666666666668,Wed 11-24 11-24,N,78 (Ⅱ),Missouri St.,"L, 72-54",69,78.0,42.2,20.2,17.1,12.1,104.0,49.2,15.9,27.8,24.6,-13.5,11.0,139.5,90.65703125,101.9140625,91.42149062642892,91.33509168159912,100.7078125,107.515625,100.64046639231826,100.13051887316018,20211124,94.4,101.1,-6.699999999999989,106.5,97.1,9.400000000000006,94.8,100.8,-5.95,69.8,11.577609120825457,139.61953172968728,68.21137980085349,11.184288560893975,139.25878766254078,16.79533323380675,139.25878766254078,11.184288560893975,139.25878766254078,16.79533323380675,143.11008942206962,110.5,99.5,11.01,68.7,94.4,101.1,-6.699999999999989,106.5,97.1,9.400000000000006,14.430858023136746,142.11341609729266,0,91.65026122472104,98.71050364153078,-7.060242416809743,-2.942425998234481,105.33840270689936,100.85151874536672,4.486883961532641,-1.1551958352581706,2021-11-24,8.068641089255948,137.2166133351706,1.2190943543831878,137.2166133351706,-8.05,-34.93000000000001,-25.050315500685876,-26.880000000000003,-9.87968449931413,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.14740707903152717,0.22111231554866362,-3.2689757658893486,2.6833333333333345,-0.9784636488340208,-4.36625,-3.84,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
0.0,-7,-10.866666666666664,-8.479317177259565,-8.468985884004498,80.8,90.36666666666667,87.8,101.23333333333332,Wed 12-01 12-01,H,229 (Ⅳ),Boston University,"L, 56-54",62,86.5,42.4,12.8,20.0,10.2,89.7,40.6,20.8,34.3,32.1,-23.0,2.0,133.0,85.728515625,90.65703125,87.88099375095263,89.4196204667629,94.25390625,100.7078125,96.3603109282122,97.88860635076742,20211201,94.5,102.3,-7.799999999999997,105.1,103.0,2.0999999999999943,95.1,101.7,-6.61,69.5,1.667673754300239,130.1068148831149,64.45803698435277,2.941631979150813,135.301518517305,6.222938913887019,135.301518517305,2.941631979150813,135.301518517305,6.222938913887019,136.10269007799172,103.9,102.4,1.5,65.2,94.5,102.3,-7.799999999999997,105.1,103.0,2.0999999999999943,3.9744405178962325,125.87367062825076,0,89.9973448563451,97.44089304562938,-7.443548189284286,-3.810141911874857,105.12471054644324,100.7222190594063,4.40249148703694,2.3285212097827896,2021-12-01,4.221014030884511,127.48673926103581,2.1654070404227426,127.48673926103581,-0.3899999999999997,-35.32000000000001,-28.34354366712392,-34.93000000000001,-6.9764563328760865,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.4244679994402739,0.34384152142193414,-1.869317177259565,-4.256666666666663,-3.2689757658893486,-3.924444444444444,-4.36625,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-1.0,-11,-10.866666666666664,-9.352878118173042,-8.947352086912769,102.7,87.63333333333333,113.8,98.5,Sat 12-04 12-04,A,193 (Ⅲ),Charlotte,"L, 86-79",74,107.0,54.5,20.3,30.6,15.2,116.4,56.8,23.0,41.9,35.6,35.0,6.0,130.0,94.2142578125,85.728515625,92.8206625006351,91.83423492735145,104.026953125,94.25390625,102.17354061880812,100.78158701426425,20211204,93.1,100.4,-7.300000000000011,103.3,103.1,0.2000000000000028,94.0,100.7,-6.7,69.2,4.818851639597902,127.16503491380851,64.37667140825037,8.797514435235058,132.06302534323922,8.311218899101519,132.06302534323922,8.797514435235058,132.06302534323922,8.311218899101519,127.84241666165266,99.5,104.5,-5.02,65.4,93.1,100.4,-7.300000000000011,103.3,103.1,0.2000000000000028,10.45488892145401,126.5220512075657,0,90.98609274812192,97.98415202485464,-6.998059276732718,-2.804165621805108,104.5271699589794,111.09165640890473,-6.564486449925326,-9.381467449212671,2021-12-04,4.6498748299188435,134.45435774116436,-2.541527054984016,134.45435774116436,-4.3,-39.620000000000005,-30.669029111415952,-35.32000000000001,-8.950970888584052,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.2838545830986763,0.3289388456322111,-2.6528781181730414,-4.166666666666663,-1.869317177259565,-3.9620000000000006,-3.924444444444444,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
