ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
6.0,19,,19.599999999999994,19.599999999999994,105.6,0.0,86.0,0.0,Tue 11-09 11-09,H,322 (Ⅳ),Grambling St.,"W, 74-53",68,109.5,54.2,19.2,40.5,31.7,78.4,40.4,25.2,22.2,28.8,-9.5,-15.0,136.5,105.6,0.0,105.6,105.6,86.0,0.0,86.0,86.0,20211109,104.8,102.3,2.5,99.0,104.1,-5.099999999999994,98.9,96.9,1.99,68.4,-15.726876750773457,132.90736043253492,70.15135135135135,-9.844028190427238,151.21917264218098,-33.54737668030681,151.21917264218098,-9.844028190427238,151.21917264218098,-33.54737668030681,130.30981129601446,89.1,104.7,-15.57,72.1,104.8,102.3,2.5,99.0,104.1,-5.099999999999994,-33.54737668030681,130.30981129601446,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-09,0.0,0.0,,0.0,17.01,17.01,0.0,0.0,17.01,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,-3,0.9234362744901652,0.5,17.609999999999996,,0.0,17.01,0.0,1,0.0,1,1,1,3,0.0,0.0
2.0,12,,17.166666666666664,18.272727272727263,101.7,0.0,89.4,0.0,Fri 11-12 11-12,H,265 (Ⅳ),North Florida,"W, 65-51",62,105.5,54.0,26.0,42.3,30.0,82.8,42.4,21.1,16.1,32.6,-24.0,-12.0,140.0,103.65,105.6,104.3,104.89090909090908,87.7,86.0,87.13333333333334,86.61818181818182,20211112,102.5,98.2,4.299999999999997,95.0,105.4,-10.400000000000006,98.3,96.3,1.99,68.4,-8.999031840897658,139.43898483253312,70.15135135135135,-14.634871415192151,144.86075908864328,-16.12793024344885,144.86075908864328,-14.634871415192151,144.86075908864328,-16.12793024344885,132.09385630848985,99.8,105.2,-5.39,72.1,102.5,98.2,4.299999999999997,95.0,105.4,-10.400000000000006,-16.378011895263576,132.27880715389256,0,98.63597244843324,94.15434201719788,4.481630431235359,11.101714380335885,0.0,0.0,0.0,0.0,2021-11-12,0.0,0.0,,0.0,10.01,27.020000000000003,17.01,17.01,10.010000000000002,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,-3,0.8734510455264423,0.5,15.176666666666664,,17.609999999999996,13.51,17.01,1,1.0,1,1,1,3,3.0,0.0
14.5,19,16.966666666666665,17.77777777777778,18.404958677685944,124.8,110.7,105.8,93.73333333333332,Wed 11-17 11-17,H,273 (Ⅳ),Prairie View A&M,"W, 91-64",68,134.3,65.8,23.6,50.0,40.4,94.4,42.5,23.6,42.1,26.7,21.5,-12.5,133.5,114.225,103.65,111.13333333333334,108.51074380165286,96.75,87.7,93.35555555555555,90.10578512396694,20211117,102.1,97.3,4.799999999999997,93.2,99.1,-5.899999999999992,98.4,95.8,2.61,66.5,-8.799176421336028,131.60807400910207,69.52702702702703,-11.296123961171176,136.7883117388721,-21.38555785291836,136.7883117388721,-11.296123961171176,136.7883117388721,-21.38555785291836,131.67526484207195,95.3,100.3,-5.04,73.5,102.1,97.3,4.799999999999997,93.2,99.1,-5.899999999999992,-21.324562941809788,131.84961574046736,0,94.99940056182912,96.95382759240285,-1.9544270305737257,1.7122895695080724,95.041058578565,100.30006128209482,-5.259002703529816,-9.785695567678047,2021-11-17,-5.969253723949208,133.48510131900616,-9.862379202266816,133.48510131900616,16.39,43.410000000000004,20.34666666666667,27.020000000000003,23.063333333333333,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.8830703586536275,0.7151523675264735,15.16777777777778,14.356666666666666,15.176666666666664,14.47,13.51,1,1.0,1,1,1,3,3.0,3.0
-9.5,-1,10.033333333333331,11.451851851851853,14.840420736288497,101.5,109.33333333333331,102.7,99.3,Mon 11-22 11-22,H,69 (Ⅱ),Wyoming,"L, 68-61",63,97.3,35.2,14.4,45.8,34.4,108.4,54.8,14.4,19.4,40.4,-3.5,-2.5,132.5,107.8625,114.225,107.92222222222225,107.23606311044324,99.725,96.75,96.4703703703704,92.39564237415476,20211122,104.2,98.1,6.1000000000000085,105.0,96.6,8.400000000000006,100.5,96.6,3.91,65.6,-4.338274602447157,127.86055971162169,64.48022759601706,-2.2188397310176384,134.70440645528214,2.556611187442345,134.70440645528214,-2.2188397310176384,134.70440645528214,2.556611187442345,118.35515857650012,102.5,99.7,2.86,69.1,104.2,98.1,6.1000000000000085,105.0,96.6,8.400000000000006,2.6196251303677136,118.42586015504715,0,103.88303861496756,99.07943776752565,4.803600847441913,3.635262287362985,103.31190339649326,82.27941870861173,21.032484687881535,30.433998248693733,2021-11-22,7.69346006055892,123.96360148351005,15.166888453758247,123.96360148351005,-4.91,38.5,28.03444444444445,43.410000000000004,10.46555555555555,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.5940963859982835,0.2318675147478939,7.5418518518518525,6.123333333333331,15.16777777777778,9.625,14.47,1,1.0,1,1,1,3,3.0,3.0
-0.5,1,6.300000000000002,8.001234567901239,12.34216242059968,86.2,104.16666666666669,85.1,97.86666666666667,Sat 11-27 11-27,A,261 (Ⅳ),Pepperdine,"W, 59-56",68,87.2,44.1,25.1,37.8,20.3,82.7,39.5,16.3,17.9,24.6,-19.0,-3.5,134.0,97.03125,107.8625,100.6814814814815,103.41132436308992,92.4125,99.725,92.68024691358026,91.06916194249024,20211127,104.6,99.1,5.5,97.3,101.6,-4.299999999999997,100.8,98.0,2.83,64.4,-0.6788669064991097,126.1053769523429,63.11749644381225,-2.7055764250830094,131.18217604417208,-7.606077781378529,131.18217604417208,-2.7055764250830094,131.18217604417208,-7.606077781378529,135.08283110499644,99.1,103.0,-3.84,68.9,104.6,99.1,5.5,97.3,101.6,-4.299999999999997,-8.67819764982545,129.7102457476623,0,100.68260347697576,96.55947014345506,4.123133333520698,2.9601269713257974,91.35570662588036,104.90996108364796,-13.554254457767598,-9.917364136446112,2021-11-27,-7.768371052950556,125.30360985451162,-6.422137366457385,125.30360985451162,-1.83,36.67,31.522962962962968,38.5,5.147037037037034,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.6305586598182363,0.7703029329832501,5.171234567901239,3.4700000000000015,7.5418518518518525,7.334,9.625,1,1.0,1,1,1,3,3.0,3.0
9.5,2,0.9333333333333372,6.300823045267495,10.625405616854284,109.2,98.96666666666664,106.3,98.03333333333332,Mon 11-29 11-29,A,204 (Ⅲ),Loyola Marymount,"W, 78-72",67,117.2,53.3,15.0,40.6,33.3,108.1,60.0,22.5,21.7,28.0,18.5,3.5,131.5,103.115625,97.03125,103.520987654321,104.46381084252812,99.35625,92.4125,97.22016460905353,93.83840522567384,20211129,103.8,98.3,5.5,106.3,100.6,5.700000000000003,100.6,97.5,3.12,64.8,6.371190235439961,127.58570724348846,62.403413940256044,3.793555470193752,133.90694402052887,-4.701255571521257,133.90694402052887,3.793555470193752,133.90694402052887,-4.701255571521257,127.8947260550323,107.6,99.8,7.82,67.7,103.8,98.3,5.5,106.3,100.6,5.700000000000003,-4.783478661406539,127.86511124967807,0,101.81949168902396,97.62948706591158,4.190004623112387,3.5956808210623,99.03584609530424,111.18536963839269,-12.14952354308845,-16.692276492375612,2021-11-29,-6.82248352506889,134.23795250689253,-11.027500511323858,134.23795250689253,-1.12,35.550000000000004,33.238641975308646,36.67,2.3113580246913585,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.36944134018176367,0.7420764782276574,3.180823045267495,-2.186666666666663,5.171234567901239,5.924999999999999,7.334,1,1.0,1,1,1,3,3.0,3.0
-11.5,-15,-3.6999999999999935,-0.8327846364883342,5.948059141062597,100.4,98.6,115.5,102.3,Thu 12-02 12-02,H,311 (Ⅳ),UTSA,"W, 74-71",69,107.6,55.1,11.6,21.1,33.9,103.2,40.6,18.9,46.7,24.6,9.0,-14.5,136.0,101.7578125,103.115625,102.480658436214,103.72493614388664,107.428125,99.35625,103.31344307270236,97.77687700282404,20211202,105.0,98.7,6.299999999999997,97.5,107.7,-10.200000000000005,102.0,97.6,4.42,64.8,-12.85559720467878,130.07401201341648,64.06258890469417,-14.93257270526145,137.92974334180673,-23.658710262685467,137.92974334180673,-14.93257270526145,137.92974334180673,-23.658710262685467,133.11278998063145,96.9,106.9,-9.98,69.5,105.0,98.7,6.299999999999997,97.5,107.7,-10.200000000000005,-24.71258486552301,132.29843634450066,0,98.71856661599035,99.50649437545032,-0.7879277594599614,-2.3864612635465314,92.5640674254268,109.55663769873232,-16.992570273305518,-16.328393967951715,2021-12-02,-14.235277591683314,131.95987371349568,-10.557466432328738,131.95987371349568,-19.42,16.130000000000003,34.00909465020577,35.550000000000004,-17.879094650205765,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,3,0.9163531986724158,0.9124091612280211,-5.252784636488334,-8.119999999999994,3.180823045267495,2.304285714285714,5.924999999999999,-1,1.0,-1,1,1,-1,3.0,3.0
17.0,28,5.466666666666669,8.978143575674443,10.066593842687578,107.3,105.63333333333334,78.7,100.16666666666669,Sat 12-04 12-04,H,352 (Ⅳ),Mississippi Valley St.,"W, 91-44",70,130.3,55.0,11.5,47.5,30.0,63.0,31.1,18.6,17.4,16.4,0.0,-30.0,135.0,104.52890625,101.7578125,104.08710562414268,104.37494775408908,93.0640625,107.428125,95.10896204846824,94.3083539114015,20211204,104.4,99.1,5.300000000000011,87.1,113.9,-26.80000000000001,101.7,98.0,3.63,65.1,-29.105467836632712,133.0013245625301,66.58165007112376,-26.16902730638845,140.6985638471902,-24.33635487437126,140.6985638471902,-26.16902730638845,140.6985638471902,-24.33635487437126,135.547532565559,82.3,117.0,-34.63,71.9,104.4,99.1,5.300000000000011,87.1,113.9,-26.80000000000001,-26.47599995139963,132.98885579634816,0,99.2932972407934,96.89764821055157,2.3956490302418274,2.73538355909106,94.61515190271264,99.02735970200096,-4.412207799288325,-3.051183408232222,2021-12-04,-8.167824335316958,129.81432524814204,-5.7141342647991635,129.81432524814204,24.37,40.5,28.049396433470513,16.130000000000003,12.450603566529487,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.9978626330199137,0.7816824878102462,5.348143575674443,1.8366666666666687,-5.252784636488334,5.0625,2.304285714285714,1,-1.0,1,1,1,3,-1.0,3.0
-1.5,0,4.466666666666669,5.952095717116298,8.2181222349262,96.7,101.46666666666664,96.8,97.0,Thu 12-09 12-09,A,86 (Ⅱ),Arizona St.,"L, 67-62",71,87.6,37.0,15.6,37.7,17.8,94.7,33.6,14.1,29.5,45.9,-2.5,3.5,131.5,100.614453125,104.52890625,101.6247370827618,102.97950270789106,94.93203125,93.0640625,95.6726413656455,94.76138047296485,20211209,104.7,98.6,6.1000000000000085,99.7,96.6,3.1000000000000085,102.4,98.5,3.95,65.0,5.772769852396671,125.24872686913196,62.68847795163584,1.7687228842380591,128.34971774363942,-0.09647331105689624,128.34971774363942,1.7687228842380591,128.34971774363942,-0.09647331105689624,118.61188632737576,103.7,96.2,7.55,67.8,104.7,98.6,6.1000000000000085,99.7,96.6,3.1000000000000085,-1.0214003717703564,121.3387103079557,0,97.61048198412306,97.57706313900572,0.03341884511733895,0.4272140194820762,92.88316842737868,97.41620218218868,-4.533033754810006,-7.654459405601603,2021-12-09,0.47860506100881395,119.48556144803666,-3.3744297823864287,119.48556144803666,-3.95,36.55,32.199597622313675,40.5,4.350402377686322,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.36944134018176367,0.4818219335035776,2.0020957171162976,0.5166666666666684,5.348143575674443,4.061111111111112,5.0625,1,1.0,1,1,1,3,3.0,-1.0
6.5,15,14.799999999999995,9.268063811410862,9.614827283121434,87.3,97.1,71.4,82.3,Sat 12-18 12-18,N,19 (I-A),San Francisco,"W, 49-48",62,78.7,40.0,24.1,34.1,21.8,77.1,37.5,24.1,35.7,10.0,-37.5,5.5,134.5,93.9572265625,100.614453125,96.8498247218412,100.12868403372904,83.166015625,94.93203125,87.58176091043035,90.5138567506076,20211218,102.9,97.8,5.1000000000000085,107.0,92.4,14.599999999999994,100.4,95.5,4.84,64.9,6.81585997749518,121.08114523824689,62.776671408250365,6.165965665272502,128.73193595040448,9.18071094626328,128.73193595040448,6.165965665272502,128.73193595040448,9.18071094626328,123.71409202142574,107.2,91.1,16.15,68.0,102.9,97.8,5.1000000000000085,107.0,92.4,14.599999999999994,6.720107863693766,125.1680290769923,0,97.8016886230792,94.99824625370736,2.8034423693718367,4.026206134983491,101.6161246848502,93.30448110267996,8.311643582170248,8.808823644152959,2021-12-18,3.40330719961009,121.03691498488732,3.002368078444775,121.03691498488732,10.16,46.709999999999994,33.64973174820912,36.55,13.060268251790873,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.30020551430745246,0.3729218913228496,4.428063811410862,9.959999999999996,2.0020957171162976,4.671,4.061111111111112,1,1.0,1,1,1,3,3.0,3.0
