ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
6.5,9,,9.700000000000005,9.700000000000005,106.0,0.0,96.3,0.0,Sat 11-13 11-13,A,89 (Ⅱ),Iona,"L, 90-87 OT",87,99.6,57.5,27.5,22.2,62.3,103.1,45.3,18.3,30.0,65.6,39.0,9.5,138.0,106.0,0.0,106.0,106.0,96.3,0.0,96.3,96.3,20211113,95.1,98.2,-3.1000000000000085,102.4,96.2,6.200000000000003,99.4,101.7,-2.29,70.7,6.138981326639794,137.836345620905,70.59943100995733,10.438123579518162,138.93914203254465,2.5675197131368606,138.93914203254465,10.438123579518162,138.93914203254465,2.5675197131368606,130.7026163179723,98.0,97.0,1.07,70.2,95.1,98.2,-3.1000000000000085,102.4,96.2,6.200000000000003,2.5675197131368606,130.7026163179723,0,114.39733365004618,95.49984207878994,18.89749157125624,16.35015994330841,93.15567070762246,96.0104835581393,-2.8548128505168364,-3.276712790512064,2021-11-13,-11.058006288135687,143.21343605315164,-11.750459496601238,143.21343605315164,11.29,11.29,0.0,0.0,11.29,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.182795768782416,0.8538623755878929,11.990000000000006,,0.0,11.29,0.0,1,0.0,1,1,1,3,0.0,0.0
0.5,6,,8.5,9.045454545454549,97.0,0.0,90.9,0.0,Wed 11-17 11-17,A,293 (Ⅳ),Albany,"W, 60-53",63,94.7,45.1,18.9,21.2,33.3,83.7,39.1,18.9,30.8,29.1,-28.5,-6.5,141.5,101.5,106.0,103.0,104.36363636363636,93.6,96.3,94.5,95.3181818181818,20211117,96.1,98.4,-2.300000000000012,95.0,101.0,-6.0,99.4,101.3,-1.95,71.8,-2.8374650521842,138.03170971910896,72.31066856330014,1.2965149628275583,140.84132662196635,-13.14225570354422,140.84132662196635,1.2965149628275583,140.84132662196635,-13.14225570354422,136.9820563911447,90.2,101.3,-11.14,70.8,96.1,98.4,-2.300000000000012,95.0,101.0,-6.0,-13.154553771780984,136.99093482441134,0,105.42749384741433,100.54475853396184,4.882735313452486,9.949318667652644,88.03861015730303,100.96972365731544,-12.931113500012415,-15.647248561199536,2021-11-17,-9.224911753245195,143.81826889890903,-16.54203312946929,143.81826889890903,7.95,19.24,11.29,11.29,7.949999999999999,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,3,0.732057505466481,0.8101808741639355,10.45,,11.990000000000006,9.620000000000001,11.29,1,1.0,1,1,1,3,3.0,0.0
-8.0,-5,3.566666666666668,3.966666666666669,6.473553719008266,95.9,99.63333333333333,101.0,96.06666666666666,Mon 11-22 11-22,A,242 (Ⅲ),Siena,"L, 72-69",73,94.6,48.5,15.1,20.0,10.4,98.7,64.4,27.4,9.5,44.4,2.5,-5.0,138.5,98.7,101.5,100.63333333333334,102.82479338842974,97.3,93.6,96.66666666666669,96.35123966942147,20211122,96.5,97.9,-1.4000000000000057,98.0,107.2,-9.200000000000005,99.7,101.1,-1.45,69.6,-3.523180355510192,130.785778974723,65.93684210526315,-1.3009744215662664,134.66968954048286,-17.021840180241455,134.66968954048286,-1.3009744215662664,134.66968954048286,-17.021840180241455,134.32399553380938,93.3,105.6,-12.27,66.6,96.5,97.9,-1.4000000000000057,98.0,107.2,-9.200000000000005,-16.93694548816177,134.16776411245533,0,96.39014891780496,95.63549529718814,0.7546536206168213,2.8986559204207314,91.81268077876396,113.33929402304932,-21.526613244285357,-25.56389122238701,2021-11-22,-10.767894198020834,132.8260993315237,-17.130299555535693,132.8260993315237,-3.55,15.689999999999998,13.94,19.24,1.7499999999999982,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.6830306580593271,0.8474395755713484,5.416666666666669,5.016666666666668,10.45,5.23,9.620000000000001,1,1.0,1,1,1,3,3.0,3.0
9.0,0,0.4666666666666685,2.777777777777781,5.369271224643128,103.5,98.8,103.1,98.33333333333331,Wed 11-24 11-24,H,130 (Ⅲ),Colgate,"W, 89-84 OT",82,109.0,56.9,19.6,23.7,13.9,102.8,58.9,20.8,20.0,25.8,24.5,4.0,148.5,101.1,98.7,101.5888888888889,102.94755822689706,100.2,97.3,98.81111111111112,97.57828700225392,20211124,96.2,98.1,-1.8999999999999917,108.5,100.0,8.5,99.2,101.3,-2.1,70.2,2.1296358876115846,145.69893543546834,70.10014224751068,3.2761649967977036,145.19859464795246,-2.19566060151105,145.19859464795246,3.2761649967977036,145.19859464795246,-2.19566060151105,143.9016846248849,107.6,100.9,6.65,70.2,96.2,98.1,-1.8999999999999917,108.5,100.0,8.5,-2.1726840572649375,143.9351530818331,0,97.40737147806796,94.5276301814668,2.8797412966011535,6.259386671130276,105.6124576539119,102.61384001340268,2.9986176405092237,5.416660583864973,2021-11-24,-4.099688473788177,143.36014178901596,-2.6681451291450884,143.36014178901596,2.1,17.79,14.523333333333333,15.689999999999998,3.2666666666666657,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.35161929169946593,0.6518968034475803,4.877777777777781,2.5666666666666687,5.416666666666669,4.4475,5.23,1,1.0,1,1,1,3,3.0,3.0
18.0,3,-0.2999999999999971,3.11851851851852,5.0839491837989215,99.0,99.46666666666664,95.2,99.76666666666668,Sat 11-27 11-27,H,243 (Ⅳ),Northeastern,"W, 77-57",71,108.9,61.8,15.6,10.3,27.3,80.7,39.8,19.8,18.4,18.6,3.5,-2.0,130.5,100.05,101.1,100.72592592592596,102.22982036746124,97.7,100.2,97.60740740740742,97.14587118366232,20211127,97.2,98.5,-1.2999999999999972,97.3,91.6,5.700000000000003,100.2,101.6,-1.4,70.2,-1.514296184077331,128.5980700402819,66.10583214793742,1.1046794699470155,125.18013724687455,-1.2590861596183567,125.18013724687455,1.1046794699470155,125.18013724687455,-1.2590861596183567,121.26072829701663,97.8,96.0,1.83,66.2,97.2,98.5,-1.2999999999999972,97.3,91.6,5.700000000000003,-2.174547585222624,120.05065310998731,0,101.95228387926126,94.89486434879367,7.057419530467584,13.489383483133436,92.48719574062814,93.38854053691634,-0.9013447962881997,-2.338754169151461,2021-11-27,-8.51897310878919,124.16384741491797,-12.417482436874536,124.16384741491797,4.4,22.189999999999998,15.612222222222224,17.79,6.577777777777774,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.5755320005597261,0.7914121285362579,4.51851851851852,1.1000000000000028,4.877777777777781,4.438,4.4475,1,1.0,1,1,1,3,3.0,3.0
-5.5,-16,-4.23333333333333,-3.5543209876543167,1.0868675140173003,86.7,96.4,103.6,100.63333333333333,Wed 12-01 12-01,H,141 (Ⅲ),Rhode Island,"L, 64-57",67,84.6,39.7,19.3,29.8,20.6,95.0,51.1,28.2,37.5,42.6,-19.0,1.5,140.0,93.375,100.05,96.05061728395064,99.40621666428646,100.65,97.7,99.60493827160496,98.31934915026916,20211201,98.9,99.1,-0.1999999999999886,105.2,94.9,10.299999999999995,101.6,101.4,0.15,71.0,2.7016617489381645,139.80890472471222,68.27311522048365,3.392742252831198,138.34854233508938,3.039563005001479,138.34854233508938,3.392742252831198,138.34854233508938,3.039563005001479,140.07492077632918,106.4,96.6,9.8,67.6,98.9,99.1,-0.1999999999999886,105.2,94.9,10.299999999999995,2.3169711172481247,135.7109634345741,0,100.93531174622004,93.58190261094516,7.353409135274873,11.564752931902536,102.13782967153011,92.71566912568696,9.422160545843155,12.62698515353293,2021-12-01,-2.305072792350586,132.25782030825096,-1.4176585426274215,132.25782030825096,-16.15,6.039999999999999,17.804814814814815,22.189999999999998,-11.764814814814816,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.4432015031835318,0.5868816824433578,-3.7043209876543166,-4.38333333333333,4.51851851851852,1.0066666666666666,4.438,-1,1.0,-1,1,1,-1,3.0,3.0
-5.0,-4,-5.8666666666666645,-3.8695473251028782,0.0710734205596094,109.1,98.26666666666668,113.6,104.13333333333333,Sat 12-04 12-04,A,193 (Ⅲ),Massachusetts,"L, 87-77",67,114.1,53.6,8.9,27.5,7.1,129.0,65.7,25.2,42.9,33.3,12.0,5.0,152.0,101.2375,93.375,100.40041152263376,101.16872272532528,107.125,100.65,104.26995884773665,101.09764930476568,20211204,98.1,98.7,-0.6000000000000085,110.6,108.5,2.0999999999999943,100.5,100.5,-0.07,70.8,7.648301350818784,151.710721983035,70.90071123755335,6.355094799455685,156.47845435913507,3.787823721136314,156.47845435913507,6.355094799455685,156.47845435913507,3.787823721136314,165.85159056010042,109.3,104.5,4.8,70.4,98.1,98.7,-0.6000000000000085,110.6,108.5,2.0999999999999943,3.9855033726717033,157.80287352600877,0,99.67150528388396,94.93270233837916,4.738802945504801,7.920583580777405,112.84226815414551,113.56066788874963,-0.7183997346041195,5.698825274417979,2021-12-04,0.0755342624058386,159.71802114555396,0.5451650818888254,159.71802114555396,-3.93,2.109999999999999,13.883209876543212,6.039999999999999,-11.773209876543213,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.31696934194067294,0.4971301380008474,-3.7995473251028784,-5.796666666666664,-3.7043209876543166,0.3014285714285714,1.0066666666666666,-1,-1.0,-1,1,1,-1,-1.0,3.0
-8.5,-5,-9.1,-4.546364883401921,-1.0145762922694117,90.5,95.43333333333334,96.4,104.53333333333336,Sun 12-19 12-19,H,349 (Ⅳ),Holy Cross,"W, 62-54",63,98.3,38.9,19.0,46.5,28.6,85.6,37.9,25.4,47.5,27.6,-23.0,-16.5,139.0,95.86875,101.2375,97.10027434842252,99.2289549570843,101.7625,107.125,101.64663923182442,100.24353124935372,20211219,98.3,99.2,-0.9000000000000057,91.2,113.0,-21.8,100.7,101.0,-0.3,70.3,-17.91772483465312,139.80452020372778,67.8,-18.235526064625645,140.40978034698028,-18.42785373627328,140.40978034698028,-18.235526064625645,140.40978034698028,-18.42785373627328,145.48001595214453,92.0,112.9,-20.93,67.8,98.3,99.2,-0.9000000000000057,91.2,113.0,-21.8,-20.890449388202157,139.5250316248185,0,97.05923250103068,95.59343476131836,1.4657977397123148,3.6214303217333312,92.0234186854153,104.21484131315368,-12.19142262773839,-11.850435630405189,2021-12-19,-12.834642912089073,131.63004073589488,-12.310215397159993,131.63004073589488,-4.7,-2.590000000000001,9.958806584362142,2.109999999999999,-12.548806584362143,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,0.9419584331306725,0.8892117730721246,-4.246364883401921,-8.799999999999999,-3.7995473251028784,-0.32375,0.3014285714285714,-1,-1.0,-1,-1,1,-3,-1.0,-1.0
1.5,6,-1.3333333333333333,-0.8975765889346126,0.3335284881432097,98.7,99.43333333333334,92.3,100.76666666666668,Tue 12-21 12-21,H,249 (Ⅳ),Howard,"W, 77-69",76,101.1,43.9,14.4,33.3,40.9,90.6,43.4,15.8,10.3,29.5,-0.5,-6.5,146.5,97.284375,95.86875,97.63351623228168,99.13278132852352,97.03125,101.7625,98.53109282121628,98.7992528403803,20211221,97.0,98.5,-1.5,102.1,106.1,-4.0,99.8,100.7,-0.94,69.8,-6.269110006212003,146.23876310649393,70.99146514935988,-5.844077494515744,147.86483268211506,-0.12790766187342048,147.86483268211506,-5.844077494515744,147.86483268211506,-0.12790766187342048,142.07820776049178,101.2,105.2,-4.02,71.5,97.0,98.5,-1.5,102.1,106.1,-4.0,-1.3040216205839814,147.61873552485304,0,96.529529917571,94.38931077955408,2.140219138016917,4.599576978565793,101.2319788046441,98.74030057354568,2.491678231098419,-0.5466459111622486,2021-12-21,-3.708092914071912,138.64488653063006,-5.68142134549916,138.64488653063006,6.9399999999999995,4.349999999999998,5.775871056241428,-2.590000000000001,-1.42587105624143,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.732057505466481,0.6380126444628059,0.042423411065387384,-0.3933333333333333,-4.246364883401921,0.4833333333333333,-0.32375,1,-1.0,-1,1,-1,1,-3.0,-1.0
-14.5,-20,-6.800000000000002,-7.565051059289743,-3.527113055155557,108.4,99.2,129.3,106.0,Fri 1-07 1-07,H,232 (Ⅳ),Brown,"L, 84-73",67,109.0,42.9,10.4,39.1,25.7,125.4,64.5,13.4,25.0,40.0,17.5,-3.5,139.5,102.8421875,97.284375,101.22234415485448,100.81773017788288,113.165625,97.03125,108.7873952141442,104.34484323303845,20220107,98.0,99.6,-1.5999999999999943,99.6,98.9,0.6999999999999886,100.6,101.7,-1.09,70.1,-3.548935858471495,138.73933300547537,69.40199146514935,-2.2816055214409943,139.32142108001733,-1.4656659207976588,139.32142108001733,-2.2816055214409943,139.32142108001733,-1.4656659207976588,136.33949651118124,99.0,99.6,-0.6,69.6,98.0,99.6,-1.5999999999999943,99.6,98.9,0.6999999999999886,-1.9336350266142444,130.05559281265963,0,96.61495033492436,97.35088765745245,-0.7359373225280876,-0.1022827320516562,101.12226332899412,99.61194592241516,1.510317406578963,-0.3273313031117086,2022-01-07,-2.307112680999154,138.29955889855378,-2.095269701359456,138.29955889855378,-18.91,-14.560000000000002,5.300580704160952,4.349999999999998,-19.860580704160952,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.6305586598182363,0.5869573400894208,-6.4750510592897434,-5.710000000000002,0.042423411065387384,-1.4560000000000002,0.4833333333333333,-1,1.0,-1,-1,1,-3,1.0,-3.0
