ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-1.5,-21,,-21.5,-21.5,91.7,0.0,113.2,0.0,Thu 11-11 11-11,H,226 (Ⅳ),Northern Colorado,"L, 81-78",73,106.6,46.2,19.1,35.1,28.8,110.7,59.4,15.0,17.1,49.1,23.0,1.5,136.0,91.7,0.0,91.7,91.7,113.2,0.0,113.2,113.2,20211111,99.6,102.5,-2.9000000000000057,97.7,101.9,-4.200000000000003,96.2,101.3,-5.14,70.9,-1.5210290598427463,144.37680586720836,72.31194879089617,-5.172955893822646,149.15052724170653,12.271561830806935,149.15052724170653,-5.172955893822646,149.15052724170653,12.271561830806935,144.83196281621278,100.8,102.5,-1.74,71.7,99.6,102.5,-2.9000000000000057,97.7,101.9,-4.200000000000003,12.271561830806935,144.83196281621278,0,98.65127549965648,97.37126896489822,1.2800065347582574,-1.1656075003294917,97.8017123692765,100.03121218977805,-2.2294998205015446,-7.706692802957468,2021-11-11,-6.567205089614362,143.4830475372185,-6.6649005550238485,143.4830475372185,-15.86,-15.86,0.0,0.0,-15.86,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.4432015031835318,0.7341615005246013,-16.36,,0.0,-15.86,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
13.5,0,,-14.1,-17.46363636363636,100.8,0.0,100.1,0.0,Sat 11-13 11-13,H,273 (Ⅳ),Pacific,"W, 73-61",69,105.6,50.0,13.0,22.9,41.8,88.3,39.0,15.9,28.6,47.5,0.0,1.5,134.0,96.25,91.7,94.73333333333332,93.35454545454546,106.65,113.2,108.83333333333334,110.8181818181818,20211113,98.8,103.0,-4.200000000000003,98.1,96.4,1.6999999999999886,96.8,101.9,-5.14,70.7,2.3997365623132367,133.49620060752346,68.58805120910385,0.21416847452130128,137.7782378432162,1.1131620489678156,137.7782378432162,0.21416847452130128,137.7782378432162,1.1131620489678156,124.01574623583059,100.5,96.5,3.97,68.2,98.8,103.0,-4.200000000000003,98.1,96.4,1.6999999999999886,1.1131620489678156,124.01574623583059,0,97.00336132402822,101.6615068564311,-4.658145532402884,-2.335546457110318,106.7547019792406,106.43513357933476,0.3195683999058332,-4.459962605867678,2021-11-13,-0.45363027530960665,148.66875063280355,-3.312308368554582,148.66875063280355,5.14,-10.719999999999999,-15.86,-15.86,5.140000000000001,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.4432015031835318,0.517230096677328,-8.96,,-16.36,-5.36,-15.86,-1,-1.0,1,-1,-1,-1,-3.0,0.0
6.5,6,-4.8666666666666645,-7.333333333333335,-13.161157024793386,124.7,105.73333333333332,118.5,110.6,Thu 11-25 11-25,N,283 (Ⅳ),Illinois Chicago,"W, 88-80",67,130.8,56.0,10.4,43.3,56.9,118.9,64.4,16.4,22.2,10.2,36.5,-1.5,131.5,110.475,96.25,104.72222222222224,99.05371900826448,112.575,106.65,112.05555555555556,112.21487603305783,20211125,100.4,103.7,-3.299999999999997,96.5,100.3,-3.799999999999997,97.8,101.7,-3.85,69.4,-1.9453096562705667,131.07872671153478,65.84608819345662,-0.42577639625484665,135.53805437761406,10.191605784075296,135.53805437761406,-0.42577639625484665,135.53805437761406,10.191605784075296,136.11913942210649,96.9,103.8,-6.87,66.7,100.4,103.7,-3.299999999999997,96.5,100.3,-3.799999999999997,10.099778670550432,136.14733967682108,0,106.34330099911044,104.42995118837482,1.9133498107356246,3.6000068821394446,104.07183179857036,105.91687512985746,-1.8450433312871013,-3.149167745185636,2021-11-25,-2.66884110274367,149.40833614754496,-4.444067477438871,149.40833614754496,9.85,-0.8699999999999992,-14.146666666666667,-10.719999999999999,13.276666666666667,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.5567984968164682,0.6003199507275,-3.4833333333333347,-1.0166666666666644,-8.96,-0.29000000000000004,-5.36,-1,-1.0,1,-1,-1,-1,-1.0,-3.0
1.5,0,2.466666666666669,-4.722222222222223,-10.677310293012768,104.4,109.96666666666668,103.9,107.5,Fri 11-26 11-26,N,146 (Ⅲ),South Alabama,"L, 72-69",69,100.6,60.6,29.2,27.6,42.6,105.0,55.5,14.6,10.7,25.5,2.0,4.5,139.0,107.4375,110.475,104.61481481481482,100.02577009767091,108.2375,112.575,109.33703703703704,110.70308039068368,20211126,100.6,104.0,-3.4000000000000057,101.3,103.1,-1.7999999999999972,99.9,103.2,-3.29,69.4,-1.1756870690643524,137.25961674868904,68.80768136557612,1.1508185745525878,147.30153659412753,6.695125512030372,147.30153659412753,1.1508185745525878,147.30153659412753,6.695125512030372,136.33893678686022,96.3,101.2,-4.9,69.7,100.6,104.0,-3.4000000000000057,101.3,103.1,-1.7999999999999972,6.752248136015737,136.28165554234133,0,108.82232006439456,105.87439826366446,2.9479218007301,5.251028067358981,99.833111635689,89.80801601842572,10.025095617263275,4.49291446889654,2021-11-26,5.612857671276188,143.32663491666773,-0.5216403892191295,143.32663491666773,3.29,2.420000000000001,-9.721111111111112,-0.8699999999999992,12.141111111111112,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,-3,0.3341175708976246,0.29647781017845265,-1.4322222222222232,5.7566666666666695,-3.4833333333333347,0.6049999999999995,-0.29000000000000004,-1,-1.0,1,1,-1,1,-1.0,-1.0
-0.5,0,2.2666666666666706,-3.114814814814813,-8.717799330646809,88.7,105.93333333333334,88.6,103.66666666666669,Tue 11-30 11-30,A,80 (I),Santa Clara,"L, 70-58",70,82.9,39.3,18.6,23.1,19.7,100.1,51.6,15.7,23.5,18.0,-17.5,11.5,145.5,98.06875,107.4375,99.30987654320988,97.96653917082166,98.41875,108.2375,102.4246913580247,106.68433850146846,20211130,103.7,105.7,-2.0,109.3,99.0,10.299999999999995,100.5,104.1,-3.65,69.2,13.16677835435651,144.46495973472634,68.90469416785207,13.390071932687263,154.22380878119037,17.830836625786773,154.22380878119037,13.390071932687263,154.22380878119037,17.830836625786773,155.19390607338144,107.4,98.0,9.31,70.0,103.7,105.7,-2.0,109.3,99.0,10.299999999999995,18.65000864818385,159.94001349297193,0,103.82659594703615,101.12523461026476,2.7013613367713987,3.3973889056421527,108.77308964359072,96.93571657990252,11.837373063688204,17.919085679002457,2021-11-30,10.760439250567373,148.8259463976439,12.141094909045478,148.8259463976439,3.65,6.07,-5.674074074074075,2.420000000000001,11.744074074074074,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,-3,0.13670617005697383,0.15272790111787127,0.535185185185187,5.9166666666666705,-1.4322222222222232,1.2140000000000004,0.6049999999999995,1,-1.0,1,1,1,3,1.0,-1.0
-7.5,-15,-4.8666666666666645,-7.14320987654321,-9.896381270529208,85.8,92.96666666666668,101.0,97.83333333333331,Wed 12-22 12-22,H,76 (Ⅲ),Vanderbilt,"L, 68-54",67,80.7,52.1,31.4,25.0,18.8,101.6,48.2,19.4,31.3,28.1,-12.0,6.5,134.0,91.934375,98.06875,94.80658436213992,95.75444113976316,99.709375,98.41875,101.94979423868315,105.65082241029236,20211222,102.2,104.3,-2.0999999999999943,102.0,94.9,7.099999999999994,99.6,103.4,-3.75,67.7,4.530852501852728,128.99836910240202,63.75163584637269,2.4243548314018,132.91023348246983,4.524471115988929,132.91023348246983,2.4243548314018,132.91023348246983,4.524471115988929,131.27097631230907,104.7,95.8,8.86,66.2,102.2,104.3,-2.0999999999999943,102.0,94.9,7.099999999999994,4.302061891785995,127.4035938321073,0,100.39768243531267,102.29044287344202,-1.8927604381293435,-2.1018780152389547,98.05905472721314,91.33130472129189,6.727750005921251,4.765931830062243,2021-12-22,2.117286557350816,125.48165952566492,2.569518029084442,125.48165952566492,-11.25,-5.18,-1.7593827160493838,6.07,-3.420617283950616,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.26794249453351904,0.42009660807174143,-3.39320987654321,-1.1166666666666645,0.535185185185187,-0.8633333333333333,1.2140000000000004,-1,1.0,-1,-1,1,-3,3.0,1.0
-10.5,-20,-11.833333333333334,-11.562139917695475,-11.806130130432988,105.5,93.33333333333331,125.9,105.16666666666669,Thu 12-23 12-23,H,240 (Ⅳ),South Florida,"L, 76-69",68,101.0,54.4,22.0,16.7,64.4,111.3,48.3,13.2,45.5,45.0,24.0,-3.5,121.0,98.7171875,91.934375,98.37105624142664,97.52636093253348,112.8046875,99.709375,109.93319615912212,109.33249106296648,20211223,102.4,104.3,-1.8999999999999917,89.1,95.2,-6.1000000000000085,98.8,103.4,-4.58,67.9,-3.7127817729915478,113.8240069480019,60.75263157894738,-6.17288788159091,118.99954458556792,-7.244335953960903,118.99954458556792,-6.17288788159091,118.99954458556792,-7.244335953960903,109.89023799160053,90.6,95.7,-5.09,62.9,102.4,104.3,-1.8999999999999917,89.1,95.2,-6.1000000000000085,-5.162196448074442,110.31259795723048,0,100.53837478214122,102.06335375439907,-1.5249789722578555,-1.8720085943094429,86.47040572717292,93.8179769280663,-7.347571200893384,-10.632747044372318,2021-12-23,-6.981987176804651,114.13071979558723,-6.9170952846501805,114.13071979558723,-15.42,-20.6,-2.899588477366256,-5.18,-17.700411522633747,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.6305586598182363,0.746959133947587,-6.982139917695475,-7.253333333333334,-3.39320987654321,-2.942857142857143,-0.8633333333333333,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
7.0,15,-6.800000000000007,-2.641426611796988,-6.895924652172447,115.1,102.13333333333333,99.9,108.93333333333334,Sat 1-08 1-08,A,173 (Ⅲ),Long Beach St.,"W, 72-67",65,110.4,56.3,19.9,31.3,19.6,102.8,43.0,19.9,41.5,20.3,-8.5,2.0,147.5,106.90859375,98.7171875,103.94737082761776,100.7215680357092,106.35234375,112.8046875,106.58879743941476,107.61749268788164,20220108,102.7,107.3,-4.599999999999994,99.3,107.6,-8.299999999999997,100.6,106.2,-5.59,68.8,2.1758829233069434,149.8133239223496,70.36586059743955,1.5268399950983564,156.24247706770535,6.921635855989992,156.24247706770535,1.5268399950983564,156.24247706770535,6.921635855989992,150.80662285629901,99.4,107.8,-8.37,71.9,102.7,107.3,-4.599999999999994,99.3,107.6,-8.299999999999997,3.685632429275928,149.84971093822315,0,100.81786970751084,103.2708712813015,-2.453001573790658,-3.62107228268722,98.08075620184918,103.5931252946589,-5.51236909280972,-8.317255672873685,2022-01-08,1.878106675053985,148.10254000910345,-1.4518728619066508,148.10254000910345,20.59,-0.010000000000001563,-8.799725651577505,-20.6,8.789725651577504,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.4244679994402739,0.4290209488071517,2.948573388203012,-1.210000000000007,-6.982139917695475,-0.0012499999999997513,-2.942857142857143,1,-1.0,1,-1,-1,1,-3.0,-3.0
21.0,25,6.666666666666662,6.639048925468675,-1.0603019881410916,117.4,112.66666666666669,92.2,106.0,Thu 1-13 1-13,H,129 (Ⅲ),UC Irvine,"W, 72-56",65,111.1,51.6,12.3,29.4,19.7,86.4,35.8,18.5,29.3,47.2,-4.5,5.0,132.5,112.154296875,106.90859375,108.43158055174518,103.7540102110348,99.276171875,106.35234375,101.79253162627651,104.81431219917587,20220113,103.8,108.3,-4.5,102.0,95.2,6.799999999999997,101.9,107.2,-5.34,68.1,5.145172552548843,134.14782830963216,64.51578947368421,3.8325949733188196,138.32535181488413,-0.3443351564891289,138.32535181488413,3.8325949733188196,138.32535181488413,-0.3443351564891289,126.18507818774633,104.1,95.9,8.27,66.6,103.8,108.3,-4.5,102.0,95.2,6.799999999999997,2.8957559422969217,126.05156810732448,0,102.09685507380532,101.37146159588106,0.725393477924257,1.3423239581714164,95.47453403052936,96.51862854683208,-1.0440945163027209,5.999437739515673,2022-01-13,-4.783867204435452,129.33445160134983,1.1318192801712854,129.33445160134983,30.34,30.33,-5.869817101051671,-0.010000000000001563,36.19981710105167,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.31696934194067294,0.6756634801044864,11.979048925468675,12.00666666666666,2.948573388203012,3.3699999999999997,-0.0012499999999997513,1,1.0,1,1,-1,3,1.0,-3.0
17.0,20,20.399999999999995,11.359365950312448,2.9142983733391064,109.6,114.03333333333332,88.8,93.63333333333334,Sat 1-15 1-15,H,287 (Ⅳ),UC San Diego,"W, 79-56",67,117.9,62.7,19.4,32.1,1.6,83.6,46.0,14.9,5.9,36.0,-5.5,-6.0,140.5,110.8771484375,112.154296875,108.82105370116346,104.8169174453921,94.0380859375,99.276171875,97.461687750851,101.902619072053,20220115,104.7,106.8,-2.0999999999999943,99.2,105.7,-6.5,102.8,106.0,-3.23,67.9,-5.614196858325613,141.18034357133843,65.775106685633,-7.275474656503832,146.19743354693463,-9.622083516276515,146.19743354693463,-7.275474656503832,146.19743354693463,-9.622083516276515,140.82283904593467,100.5,106.1,-5.62,68.1,104.7,106.8,-2.0999999999999943,99.2,105.7,-6.5,-10.702597033376664,138.33447729053202,0,102.96404378909602,100.01800202298806,2.9460417661079674,4.766377235228441,96.209346068521,99.99215273129408,-3.7828066627730834,-1.3684661032627852,2022-01-15,-8.30007729289003,134.4780110262221,-5.908192453496667,134.4780110262221,23.23,53.56,6.196788599298885,30.33,47.36321140070112,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,3,0.7161454169013237,0.7853772877899994,14.589365950312448,23.629999999999995,11.979048925468675,5.356,3.3699999999999997,1,1.0,1,1,1,3,3.0,1.0
