ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-16.0,-14,,-14.100000000000009,-14.100000000000009,109.1,0.0,123.2,0.0,Fri 11-12 11-12,A,72 (Ⅱ),Northwestern,"L, 95-60",67,89.9,41.5,19.5,30.8,27.1,142.3,68.4,9.0,30.8,40.4,19.5,19.0,135.5,109.1,0.0,109.1,109.1,123.2,0.0,123.2,123.2,20211112,97.3,104.0,-6.700000000000003,102.7,91.1,11.600000000000009,94.0,102.8,-8.82,69.5,20.225072054183173,136.35381075965245,70.09317211948792,16.96077114007433,140.5962502233162,17.820035093920346,140.5962502233162,16.96077114007433,140.5962502233162,17.820035093920346,164.88343888692435,106.2,91.1,15.06,70.9,97.3,104.0,-6.700000000000003,102.7,91.1,11.600000000000009,17.820035093920346,164.88343888692435,0,100.18816424777516,102.1352293008353,-1.9470650530601432,1.137477332001589,99.27083655400534,102.8954797086036,-3.6246431545982603,-10.65812531868514,2021-11-12,2.8883895481685755,146.67704216028062,-6.398729787653828,146.67704216028062,-5.18,-5.18,0.0,0.0,-5.18,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.03518483230489555,0.391625575716683,-5.280000000000008,,0.0,-5.18,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
11.5,4,,-7.766666666666677,-10.645454545454552,96.3,0.0,91.4,0.0,Tue 11-16 11-16,A,38 (I),Notre Dame,"L, 70-61",69,88.8,41.5,13.1,20.5,33.9,101.9,40.9,13.1,41.3,40.9,-8.0,20.5,139.0,102.7,109.1,104.83333333333331,106.77272727272724,107.3,123.2,112.6,117.41818181818182,20211116,98.2,105.2,-7.0,110.6,95.5,15.099999999999994,94.6,104.4,-9.71,68.7,22.301388233639884,137.9657969045076,66.45234708392604,19.38347427776371,143.58329441585767,17.144090071965167,143.58329441585767,19.38347427776371,143.58329441585767,17.144090071965167,151.3787840026227,112.9,95.1,17.81,68.0,98.2,105.2,-7.0,110.6,95.5,15.099999999999994,17.144090071965167,151.3787840026227,0,100.23688408383266,101.28615594714044,-1.04927186330778,2.219872547295587,96.66374927483776,102.24806340818442,-5.584314133346666,-8.598572779528526,2021-11-16,0.6994728080919685,136.4335068578487,-5.38778826356473,136.4335068578487,13.71,8.530000000000001,-5.18,-5.18,13.71,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.025446496381253736,0.47344352166498505,1.9433333333333236,,-5.280000000000008,4.265000000000001,-5.18,1,-1.0,1,1,-1,3,-3.0,0.0
6.0,4,-1.533333333333341,-3.6444444444444537,-7.873553719008272,91.1,98.83333333333331,86.5,100.36666666666667,Sat 11-20 11-20,H,223 (Ⅳ),Howard,"W, 73-63",76,96.3,48.2,27.7,36.4,40.4,83.1,47.5,25.1,26.3,16.4,-5.5,-4.0,141.5,96.9,102.7,100.25555555555556,103.92314049586774,96.9,107.3,103.9,111.79669421487604,20211120,97.9,104.0,-6.099999999999994,101.0,109.4,-8.400000000000006,94.5,103.1,-8.59,68.9,-2.0939198474093104,139.05840816799838,68.80199146514937,-5.638090847934663,149.5238956326765,15.374106417221707,149.5238956326765,-5.638090847934663,149.5238956326765,15.374106417221707,173.34792676181473,99.8,106.1,-6.29,70.2,97.9,104.0,-6.099999999999994,101.0,109.4,-8.400000000000006,15.375673894251804,173.33616017999108,0,92.94494455606213,98.08437916866448,-5.139434612602358,1.0399538616301462,108.10175908253684,102.8436873587745,5.258071723762342,-2.1576432880372223,2021-11-20,3.381339216019853,141.86187316444577,-4.1157003828554934,141.86187316444577,12.59,21.12,-0.6099999999999999,8.530000000000001,21.73,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,-3,0.6483807083005341,0.3737141101105744,4.945555555555546,7.056666666666659,1.9433333333333236,7.040000000000001,4.265000000000001,1,1.0,1,1,1,3,3.0,-3.0
3.0,-8,0.266666666666661,-5.329629629629637,-8.023816679188586,91.1,92.83333333333331,99.8,92.56666666666668,Sun 11-21 11-21,H,152 (Ⅳ),Georgia St.,"L, 74-66 OT",77,86.1,48.3,28.7,33.3,31.0,96.6,41.0,19.6,33.3,54.1,-5.0,11.0,145.0,94.0,96.9,97.20370370370372,101.59166040570996,98.35,96.9,102.53333333333336,109.61547708489856,20211121,97.8,103.9,-6.1000000000000085,105.9,101.5,4.400000000000006,94.1,102.0,-7.89,69.8,6.845199589327933,142.97661277227868,71.48790896159318,3.5865688178701305,152.8524781371566,0.4435172489525041,152.8524781371566,3.5865688178701305,152.8524781371566,0.4435172489525041,151.0216604127938,106.2,98.9,7.31,72.0,97.8,103.9,-6.1000000000000085,105.9,101.5,4.400000000000006,0.6369030328609929,150.82924714843188,0,89.9421659771396,95.9888113927098,-6.046645415570211,-2.6082460831680114,103.48503356376834,99.52319400499265,3.9618395587756936,10.6392274476531,2021-11-21,3.3160492849220446,137.91552906505933,7.388303837448007,137.91552906505933,-0.11000000000000032,21.01,6.633333333333334,21.12,14.376666666666669,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.14740707903152717,0.3760717629600533,2.5603703703703626,8.156666666666661,4.945555555555546,5.2524999999999995,7.040000000000001,1,1.0,1,1,1,3,3.0,3.0
6.5,3,-0.1666666666666714,-2.353086419753094,-5.910395464790662,88.3,90.16666666666669,84.7,90.33333333333331,Tue 11-30 11-30,H,68 (Ⅲ),Furman,"L, 74-70 2OT",80,88.0,41.2,15.1,27.1,41.2,93.0,43.0,17.6,35.3,35.2,0.0,10.5,144.0,91.15,94.0,94.23580246913582,99.17499487739906,91.525,98.35,96.5888888888889,105.08539034218974,20211130,97.8,103.4,-5.6000000000000085,106.0,101.1,4.900000000000006,95.1,103.0,-7.89,68.0,5.491522094857885,137.12866982805434,66.45234708392604,3.3326201091487064,141.82255083609238,2.2652770915902964,141.82255083609238,3.3326201091487064,141.82255083609238,2.2652770915902964,142.71218447436914,107.7,101.8,5.94,68.7,97.8,103.4,-5.6000000000000085,106.0,101.1,4.900000000000006,2.3166280731767275,142.38654973280575,0,86.80206241844209,93.59473980433836,-6.792677385896269,-2.3502190871882243,108.22889540411394,104.38553388574428,3.8433615183696617,-0.5923968999468799,2021-11-30,3.6211644334255695,130.53195473778572,-0.6651754939183974,130.53195473778572,10.89,31.900000000000002,11.425555555555558,21.01,20.474444444444444,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.15865525393145707,0.3650949987942339,5.536913580246906,7.723333333333328,2.5603703703703626,6.38,5.2524999999999995,1,1.0,1,1,1,3,3.0,3.0
11.5,6,0.4333333333333276,0.5646090534979342,-3.672141743919634,122.1,100.5,115.7,100.06666666666666,Sat 12-04 12-04,A,248 (Ⅳ),Elon,"W, 83-77",68,122.5,54.5,10.3,29.4,55.4,113.6,57.4,20.7,20.7,57.4,23.5,5.5,136.5,106.625,91.15,103.52386831275722,103.34317762696286,103.6125,91.525,102.95925925925928,107.01531937088252,20211204,96.8,102.1,-5.299999999999997,99.4,106.8,-7.399999999999991,94.3,102.1,-7.76,67.4,4.551833086533691,134.64940215723794,67.78349928876246,2.667037144805761,142.24508408257702,-5.118104883239174,142.24508408257702,2.667037144805761,142.24508408257702,-5.118104883239174,133.35652842170893,98.3,105.2,-6.85,70.7,96.8,102.1,-5.299999999999997,99.4,106.8,-7.399999999999991,-4.630579367716913,132.8022017972873,0,92.00058750350686,96.09141278873392,-4.090825285227055,-2.404296359690803,99.0514937687645,111.29637828520892,-12.244884516444415,-15.118226005549138,2021-12-04,-1.168407355723204,137.07427117783908,-6.886291734508191,137.07427117783908,13.76,45.660000000000004,18.250370370370373,31.900000000000002,27.40962962962963,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.30020551430745246,0.5443016100617752,8.324609053497934,8.193333333333328,5.536913580246906,7.61,6.38,1,1.0,1,1,1,3,3.0,3.0
-8.5,-19,-3.300000000000002,-6.256927297668041,-6.622661426843336,92.9,101.09999999999998,112.8,104.4,Fri 12-10 12-10,N,313 (Ⅳ),South Carolina St.,"L, 67-66",68,96.8,45.5,19.1,31.3,39.3,98.3,47.3,22.0,38.9,41.8,-11.5,-7.5,144.5,99.7625,106.625,99.98257887517148,101.44441805842416,108.20625,103.6125,106.23950617283953,108.0670794852675,20211210,98.3,102.9,-4.6000000000000085,92.3,109.6,-17.299999999999997,96.1,103.2,-7.04,67.1,-9.374306069510197,138.3389646542536,69.77254623044095,-9.11268524532386,144.76879652024368,-11.853256655707346,144.76879652024368,-9.11268524532386,144.76879652024368,-11.853256655707346,137.82294364774435,90.0,110.7,-20.63,73.1,98.3,102.9,-4.6000000000000085,92.3,109.6,-17.299999999999997,-11.460181248909615,137.31371941753855,0,90.81865618649154,97.92093217154964,-7.1022759850581,-6.8382545598148585,99.16996380388302,100.58609841808732,-1.4161346142042959,-3.853062772832944,2021-12-10,4.111538585683775,134.5889469843806,2.0828443196392783,134.5889469843806,-11.96,33.7,27.38691358024692,45.660000000000004,6.313086419753084,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.7624747379730235,0.34768609320519217,0.7830727023319595,3.739999999999998,8.324609053497934,4.814285714285715,7.61,1,1.0,1,1,1,3,3.0,3.0
-5.5,-9,-7.766666666666666,-7.437951531778693,-7.200359349235455,89.2,101.4,99.0,109.16666666666669,Sat 12-18 12-18,H,181 (Ⅳ),UNC Wilmington,"L, 71-69 OT",74,93.7,50.0,21.7,26.8,39.0,96.5,50.0,23.1,35.1,50.9,8.0,-3.5,132.0,94.48125,99.7625,96.388385916781,99.21816022961976,103.603125,108.20625,103.82633744855968,106.41851957885522,20211218,96.3,102.4,-6.1000000000000085,93.6,107.3,-13.700000000000005,94.1,102.7,-8.53,66.8,-5.083943345234594,126.73815077086698,64.0443812233286,-8.583734449726428,131.05365743881052,-13.003444803264896,131.05365743881052,-8.583734449726428,131.05365743881052,-13.003444803264896,125.26442292787947,95.6,106.9,-11.32,67.4,96.3,102.4,-6.1000000000000085,93.6,107.3,-13.700000000000005,-11.545601747913386,124.0669311545107,0,91.217920275763,100.16349508818288,-8.945574812419878,-9.58052472502258,93.17042968707072,100.03901176655737,-6.868582079486643,-6.373103921207077,2021-12-18,-2.036189065805843,121.28147192320947,0.40397377126679146,121.28147192320947,-0.47000000000000064,33.230000000000004,29.491275720164616,33.7,3.738724279835388,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.6305586598182363,0.576881822161223,1.0920484682213063,0.7633333333333336,0.7830727023319595,4.1537500000000005,4.814285714285715,1,1.0,1,1,1,3,3.0,3.0
8.0,4,-8.533333333333331,-3.591967687852465,-5.145748558465374,96.5,92.86666666666667,92.4,101.4,Tue 12-21 12-21,H,122 (Ⅲ),Florida Atlantic,"W, 55-52",56,98.2,49.1,17.9,37.5,18.9,92.8,43.6,17.9,36.1,16.4,-25.0,5.0,132.0,95.490625,94.48125,96.42559061118736,98.7239492787798,98.0015625,103.603125,100.0175582990398,103.86969783724516,20211221,95.0,102.1,-7.099999999999994,101.1,103.4,-2.300000000000012,94.3,102.6,-8.37,66.8,0.11808396077084637,128.2156978436832,64.32944523470839,-0.42675781127296375,132.89172200707958,0.22699535865808879,132.89172200707958,-0.42675781127296375,132.89172200707958,0.22699535865808879,126.91627882084059,100.5,103.2,-2.72,67.7,95.0,102.1,-7.099999999999994,101.1,103.4,-2.300000000000012,-2.170739682209819,133.03927095659742,0,91.57727575782764,99.59488608415568,-8.01761032632804,-8.220979287119802,99.71582466052328,104.7540708149833,-5.038246154460012,-0.5155185733863794,2021-12-21,-1.3762189526003183,128.82193838172182,3.234337631843765,128.82193838172182,12.37,45.6,30.737517146776415,33.230000000000004,14.862482853223586,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.31696934194067294,0.5521394290383608,4.778032312147534,-0.16333333333333222,1.0920484682213063,5.0666666666666655,4.1537500000000005,1,1.0,1,1,1,3,3.0,3.0
9.5,5,0.0,-0.4946451252349764,-3.1737942751080324,116.3,100.66666666666669,110.6,100.66666666666669,Wed 12-29 12-29,A,33 (I-A),Michigan St.,"L, 81-68",65,104.0,55.6,15.3,9.7,18.5,123.8,57.6,12.2,31.3,28.8,15.0,22.5,134.0,105.8953125,95.490625,103.05039374079158,101.9195948644562,104.30078125,98.0015625,103.54503886602652,105.09338913956422,20211229,95.2,101.8,-6.599999999999994,111.7,90.0,21.700000000000003,94.4,102.4,-8.02,65.5,22.33198882375744,129.5711585148506,65.31365576102418,22.517610608247928,134.10121836857914,21.527874814667808,134.10121836857914,22.517610608247928,134.10121836857914,21.527874814667808,140.50816891577222,111.0,89.9,21.1,70.1,95.2,101.8,-6.599999999999994,111.7,90.0,21.700000000000003,19.238115025222058,130.74162498341147,0,94.97077985265774,100.20662525574552,-5.2358454030877795,-6.856518835721023,109.17708724235156,90.11328603407866,19.063801208272906,18.201297069724237,2021-12-29,19.615135121015015,131.07019056554282,18.298693634658868,131.07019056554282,13.02,58.620000000000005,35.69167809785095,45.6,22.928321902149058,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,3,0.016062285603828275,0.030873501903755596,7.525354874765023,8.02,4.778032312147534,5.862,5.0666666666666655,1,1.0,1,1,1,3,3.0,3.0
