ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
24.5,36,,36.400000000000006,36.400000000000006,128.9,0.0,92.5,0.0,Sat 11-13 11-13,A,96 (Ⅱ),Bradley,"W, 76-64",66,116.0,65.0,26.0,34.6,28.0,97.7,43.2,27.5,51.1,44.1,-5.5,12.5,145.5,128.9,0.0,128.9,128.9,92.5,0.0,92.5,92.5,20211113,97.4,109.3,-11.899999999999991,97.3,98.7,-1.4000000000000057,97.0,105.8,-8.77,72.1,9.375283385594571,144.8549855040953,72.92048364153626,11.843115283357733,151.1890957164971,-27.254771418076963,151.1890957164971,11.843115283357733,151.1890957164971,-27.254771418076963,135.32171760773602,97.7,99.0,-1.32,71.1,97.4,109.3,-11.899999999999991,97.3,98.7,-1.4000000000000057,-27.254771418076963,135.32171760773602,0,100.62480987927935,101.5863627464006,-0.9615528671212417,1.9509630265279627,89.91501352820055,101.96586929041688,-12.05085576221633,-15.31844495854786,2021-11-13,-4.348620193171968,144.37441323827338,-10.687629137441682,144.37441323827338,44.769999999999996,44.769999999999996,0.0,0.0,44.769999999999996,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.11692964134637251,0.6606194475038304,45.17,,0.0,44.769999999999996,0.0,1,0.0,1,1,1,3,0.0,0.0
10.5,9,,27.533333333333346,31.56363636363637,136.9,0.0,127.1,0.0,Tue 11-16 11-16,A,11 (I-A),Villanova,"L, 100-81",67,121.3,67.9,21.0,20.0,24.5,149.8,69.8,12.0,34.8,49.1,38.0,29.5,143.0,132.9,128.9,131.5666666666667,130.35454545454544,109.8,92.5,104.03333333333332,98.79090909090908,20211116,99.4,108.6,-9.199999999999989,113.6,93.3,20.3,98.4,105.0,-6.58,70.5,23.838991523505726,141.69643104169245,67.29089615931721,25.293919612791626,149.61992220379256,1.6877153242226735,149.61992220379256,25.293919612791626,149.61992220379256,1.6877153242226735,166.01734343394617,114.5,92.0,22.5,67.1,99.4,108.6,-9.199999999999989,113.6,93.3,20.3,1.7361003676464755,165.98678898916836,0,89.05961149184976,107.15720491745785,-18.097593425608082,-16.790602396216208,95.76835633223064,98.40558467805408,-2.637228345823445,-2.919713735307325,2021-11-16,14.005271895651298,131.49353524401764,11.03230490059726,131.49353524401764,15.58,60.349999999999994,44.769999999999996,44.769999999999996,15.579999999999998,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,3,0.002480742455709284,0.09112890023910403,34.113333333333344,,45.17,30.175,44.769999999999996,1,1.0,1,1,1,3,3.0,0.0
-6.0,-13,11.000000000000004,13.955555555555565,23.42479338842975,84.1,116.63333333333333,97.3,105.63333333333333,Sat 11-20 11-20,A,236 (Ⅳ),High Point,"L, 73-63",76,83.1,47.5,25.1,26.3,16.4,96.3,48.2,27.7,36.4,40.4,-5.5,4.0,141.5,108.5,132.9,115.74444444444448,121.94462809917354,103.55,109.8,101.78888888888888,98.51983471074378,20211120,101.0,109.4,-8.400000000000006,97.9,104.0,-6.099999999999994,99.8,106.1,-6.29,70.2,2.0939198474093104,139.05840816799838,68.80199146514937,5.638090847934663,149.5238956326765,-16.22755799353582,149.5238956326765,5.638090847934663,149.5238956326765,-16.22755799353582,174.62037430072186,94.5,103.1,-8.59,68.9,101.0,109.4,-8.400000000000006,97.9,104.0,-6.099999999999994,-16.130033745445118,174.48301757223985,0,108.10175908253684,102.8436873587745,5.258071723762342,-2.1576432880372223,92.94494455606213,98.08437916866448,-5.139434612602358,1.0399538616301462,2021-11-20,-3.381339216019853,141.86187316444577,4.1157003828554934,141.86187316444577,-6.71,53.63999999999999,49.96333333333333,60.349999999999994,3.6766666666666623,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,-3,0.35161929169946593,0.6262858898894256,20.245555555555566,17.290000000000003,34.113333333333344,17.88,30.175,1,1.0,1,1,1,3,3.0,3.0
0.0,-14,-5.933333333333327,4.503703703703714,16.54755822689707,103.4,108.13333333333333,117.8,114.06666666666666,Sun 11-21 11-21,N,337 (Ⅳ),William & Mary,"W, 82-76",75,110.0,51.5,18.8,40.0,30.3,102.0,50.0,22.8,32.4,29.5,0.0,0.0,0.0,105.95,108.5,111.62962962962966,118.57287753568744,110.675,103.55,107.12592592592594,102.02531930879036,20211121,101.1,109.4,-8.300000000000011,90.3,104.4,-14.100000000000009,98.7,105.7,-6.96,71.3,-3.548587118744834,146.57093149784504,72.7199146514936,-5.026085244050023,151.92053046941678,-27.94112968833727,151.92053046941678,-5.026085244050023,151.92053046941678,-27.94112968833727,156.99882557442655,93.5,105.1,-11.56,71.7,101.1,109.4,-8.300000000000011,90.3,104.4,-14.100000000000009,-27.695110134668813,157.12343240721327,0,107.74950702768122,104.89132424703814,2.8581827806430766,-1.61635849645802,87.61025351013916,100.8919741901306,-13.281720679991437,-15.739499609815246,2021-11-21,-12.501682400381284,149.14701638349192,-10.270336163743366,149.14701638349192,-7.04,46.599999999999994,51.18888888888889,53.63999999999999,-4.588888888888896,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.5,0.883101826016319,11.463703703703715,1.0266666666666726,20.245555555555566,11.65,17.88,1,1.0,-1,1,1,1,3.0,3.0
-4.5,-12,-13.366666666666664,-1.16419753086419,11.266184003824874,90.2,92.56666666666666,102.7,105.93333333333334,Fri 11-26 11-26,H,282 (Ⅳ),Austin Peay,"L, 69-67",73,92.0,50.8,32.9,48.6,7.9,94.7,56.1,28.8,25.8,12.3,-11.0,-2.5,147.0,98.075,105.95,104.48641975308644,113.4141725291988,106.6875,110.675,105.65061728395064,102.14798852537392,20211126,101.0,109.8,-8.799999999999997,97.9,107.4,-9.5,100.0,106.9,-6.87,70.8,-6.848570126690291,144.99474804072696,69.28933143669985,-4.984650526471341,153.2457913475165,-7.432963387637459,153.2457913475165,-4.984650526471341,153.2457913475165,-7.432963387637459,162.509052434298,96.4,107.1,-10.61,68.8,101.0,109.8,-8.799999999999997,97.9,107.4,-9.5,-7.252805234182808,162.47115575676608,0,102.8798421173964,103.060388167404,-0.1805460500076066,-5.280212106074956,103.15076463535256,95.77719924733506,7.3735653880174965,5.947577720266392,2021-11-26,1.445695240057205,145.1788003706736,5.833085441149763,145.1788003706736,-5.13,41.46999999999999,49.659259259259265,46.599999999999994,-8.189259259259273,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,0.5940963859982835,0.4452445842500623,5.70580246913581,-6.4966666666666635,11.463703703703715,8.293999999999999,11.65,1,1.0,-1,1,1,1,1.0,3.0
2.5,-7,-11.366666666666664,-3.176131687242794,7.9086960031294415,107.1,100.23333333333332,114.3,111.59999999999998,Tue 11-30 11-30,A,247 (Ⅳ),Mount St. Mary's,"L, 72-70",67,105.2,51.7,16.5,24.2,20.7,108.2,53.9,27.0,43.8,47.1,9.0,4.5,133.0,102.5875,98.075,105.3576131687243,112.26614116025355,110.49375,106.6875,108.5337448559671,104.3574451571241,20211130,101.1,109.6,-8.5,93.7,102.8,-9.099999999999994,99.8,107.2,-7.4,71.2,0.00020614037930499762,133.93003433937128,66.43982930298719,3.0983056822614685,140.71494621207796,-11.040563598067378,140.71494621207796,3.0983056822614685,140.71494621207796,-11.040563598067378,137.0768634397026,91.9,104.4,-12.57,65.6,101.1,109.6,-8.5,93.7,102.8,-9.099999999999994,-10.9460419277175,140.1368994064658,0,104.2626905548187,105.3995056061518,-1.1368150513331017,-6.557582466011359,91.55171189380896,104.23192820672598,-12.680216312917025,-12.372494975504406,2021-11-30,-4.383953459936933,139.5145844741785,-2.1791822808885186,139.5145844741785,0.40000000000000036,41.86999999999999,46.92950617283951,41.46999999999999,-5.059506172839519,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.3341175708976246,0.6618507229765822,4.223868312757206,-3.9666666666666632,5.70580246913581,6.978333333333333,8.293999999999999,1,1.0,-1,1,1,1,1.0,1.0
29.0,22,0.7666666666666657,5.215912208504804,10.470751275287723,110.5,102.6,88.5,101.83333333333331,Sat 12-04 12-04,H,340 (Ⅳ),American,"W, 90-56",73,123.3,59.4,20.6,46.7,14.5,76.7,43.0,26.0,29.4,19.3,-1.5,-5.0,147.5,106.54375,102.5875,107.07174211248288,111.945024585662,99.496875,110.49375,101.85582990397808,101.47427331037426,20211204,101.7,110.0,-8.299999999999997,94.2,109.5,-15.299999999999995,100.1,107.6,-7.54,71.1,-8.45809070455654,145.54479676007043,69.68406827880513,-9.81643723328824,153.5254468994929,-21.17793719325267,153.5254468994929,-9.81643723328824,153.5254468994929,-21.17793719325267,162.07829116914178,94.5,107.9,-13.4,68.9,101.7,110.0,-8.299999999999997,94.2,109.5,-15.299999999999995,-20.61646401879047,154.96221031336947,0,104.5115969694649,101.74730749674104,2.76428947272386,0.5675508813685097,92.71466988400068,108.56228449958424,-15.847614615583552,-6.015799894275254,2021-12-04,-17.794412008536867,148.62575226671913,-6.485548699469248,148.62575226671913,29.54,71.41,45.24300411522634,41.86999999999999,26.166995884773655,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.6830306580593271,0.9549343875887016,12.755912208504803,8.306666666666665,4.223868312757206,10.201428571428572,6.978333333333333,1,1.0,1,1,1,3,1.0,1.0
-2.5,-10,1.400000000000001,-0.0560585276634615,6.639705588871776,92.7,103.43333333333334,103.3,102.03333333333336,Wed 12-15 12-15,A,173 (Ⅲ),Georgetown,"L, 85-73",79,92.4,50.0,26.6,30.0,31.1,107.6,61.2,29.1,41.9,39.7,0.5,9.5,157.5,99.621875,106.54375,102.2811614083219,108.44592920645071,101.3984375,99.496875,102.3372199359854,101.80622361757894,20211215,102.3,108.3,-6.0,102.5,102.0,0.5,100.8,106.8,-5.98,71.2,13.565126665581488,154.2473038871206,72.71920341394026,9.436703544239677,160.27992628746017,11.304946448462204,160.27992628746017,9.436703544239677,160.27992628746017,11.304946448462204,156.9369086040323,105.6,99.2,6.42,71.8,102.3,108.3,-6.0,102.5,102.0,0.5,3.217112991551819,161.12125437423884,0,101.60669762106608,101.82606453855522,-0.21936691748913972,-0.8760353520960639,99.78784102188524,102.82747975549604,-3.0396387336108006,-2.417965315036373,2021-12-15,2.1563533837835536,153.19271840324814,0.8813233147010493,153.19271840324814,-4.02,67.39,53.965336076817565,71.41,13.424663923182436,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.182795768782416,0.41864270479655674,5.923941472336539,7.380000000000002,12.755912208504803,8.42375,10.201428571428572,1,1.0,1,1,1,3,3.0,1.0
24.5,12,8.0,4.1626276482243565,7.723395481804179,104.5,102.56666666666666,91.9,94.56666666666666,Sat 12-18 12-18,N,284 (Ⅳ),North Carolina A&T,"W, 79-57",70,113.4,53.2,25.8,48.5,25.8,81.8,39.1,20.1,36.4,18.8,-12.0,2.5,148.0,102.0609375,99.621875,103.0207742722146,107.7284875325506,96.64921875,101.3984375,98.85814662399028,100.00509205074638,20211218,101.7,107.7,-6.0,95.8,102.7,-6.900000000000006,101.2,105.2,-4.05,71.5,-2.897299437379246,143.79183521368972,70.99146514935988,-0.9218713105879033,150.7927410246067,-1.5519220343611921,150.7927410246067,-0.9218713105879033,150.7927410246067,-1.5519220343611921,150.47295882753698,94.8,102.6,-7.8,69.8,101.7,107.7,-6.0,95.8,102.7,-6.900000000000006,-5.91866625057175,147.0897767223409,0,101.63000933982224,99.79717107471582,1.8328382651064175,-1.694800109419278,96.84657858762468,102.75357224018704,-5.906993652562363,-6.510077608820903,2021-12-18,-5.649262944010573,146.040023988754,-3.418436047832671,146.040023988754,16.05,83.44,58.440224051211715,67.39,24.999775948788283,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.4059036140017165,0.7047201199906192,8.212627648224355,12.05,5.923941472336539,9.27111111111111,8.42375,1,1.0,1,1,1,3,3.0,3.0
-1.5,-16,-4.8666666666666645,-2.7582482345170933,3.300959939657965,90.7,95.96666666666664,107.3,100.83333333333331,Tue 12-21 12-21,A,215 (Ⅲ),Harvard,"L, 77-69",76,90.6,43.4,15.8,10.3,29.5,101.1,43.9,14.4,33.3,40.9,-0.5,6.5,146.5,96.38046875,102.0609375,98.91384951480975,104.63239889026866,101.974609375,96.64921875,101.67209774932688,101.33143895061067,20211221,102.1,106.1,-4.0,97.0,98.5,-1.5,101.2,105.2,-4.02,71.5,6.269110006212003,146.23876310649393,70.99146514935988,5.844077494515744,147.86483268211506,0.0067718159022970535,147.86483268211506,5.844077494515744,147.86483268211506,0.0067718159022970535,142.1425791725182,99.8,100.7,-0.94,69.8,102.1,106.1,-4.0,97.0,98.5,-1.5,0.7962755811198878,147.4327015918453,0,101.2319788046441,98.74030057354568,2.491678231098419,-0.5466459111622486,96.529529917571,94.38931077955408,2.140219138016917,4.599576978565793,2021-12-21,3.708092914071912,138.64488653063006,5.68142134549916,138.64488653063006,-11.98,71.46,66.77348270080782,83.44,4.686517299192175,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.26794249453351904,0.3619873555371941,1.2617517654829062,-0.8466666666666649,8.212627648224355,7.146,9.27111111111111,1,1.0,1,1,1,3,3.0,3.0
