ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
16.0,-13,,-13.200000000000005,-13.200000000000005,83.2,0.0,96.4,0.0,Tue 11-09 11-09,A,124 (Ⅱ),Butler,"L, 56-47",59,80.3,40.6,15.4,17.6,31.3,95.7,42.0,23.9,33.3,52.3,-39.0,25.0,142.0,83.2,0.0,83.2,83.2,96.4,0.0,96.4,96.4,20211109,92.7,109.2,-16.5,105.8,96.0,9.799999999999995,90.4,106.5,-16.16,70.5,22.452111934531025,130.32037600617582,66.38833570412518,21.9615149109676,139.7087629963236,4.342803817304059,139.7087629963236,21.9615149109676,139.7087629963236,4.342803817304059,112.59639609443067,105.6,92.9,12.71,66.2,92.7,109.2,-16.5,105.8,96.0,9.799999999999995,4.342803817304059,112.59639609443067,0,0.0,0.0,0.0,0.0,100.86487170419234,99.91453509960446,0.950336604587875,1.3475588268100436,2021-11-09,-0.0,0.0,,0.0,3.16,3.16,0.0,0.0,3.16,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.008633971998087797,0.5,2.9599999999999955,,0.0,3.16,0.0,1,0.0,1,1,1,3,0.0,0.0
-9.0,-36,,-20.866666666666667,-17.381818181818183,69.0,0.0,105.2,0.0,Thu 11-11 11-11,A,320 (Ⅳ),Evansville,"L, 60-40",61,66.0,36.5,24.8,16.7,20.8,99.1,55.3,21.5,13.0,63.2,-30.5,11.0,130.5,76.1,83.2,78.46666666666667,80.61818181818181,100.8,96.4,99.33333333333334,98.0,20211111,89.9,105.8,-15.899999999999991,99.7,103.5,-3.799999999999997,88.6,105.5,-16.9,69.6,13.52846704343385,123.7987204011748,64.84779516358464,11.970978292598836,132.30956116054406,-1.7847453236114674,132.30956116054406,11.970978292598836,132.30956116054406,-1.7847453236114674,92.47452098138531,98.1,99.2,-1.12,65.5,89.9,105.8,-15.899999999999991,99.7,103.5,-3.799999999999997,-1.7847453236114674,92.47452098138531,0,95.15821214019913,91.49156153515706,3.666650605042065,3.054369903287686,99.56021502456504,106.99305157177768,-7.432836547212645,-10.37165233668637,2021-11-11,-3.541489116534464,128.13453336990676,-6.957172484750636,128.13453336990676,-19.1,-15.940000000000001,3.16,3.16,-19.1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.14740707903152717,0.6320488454664125,-3.9666666666666686,,2.9599999999999955,-7.969999999999999,3.16,-1,1.0,-1,-1,1,-3,3.0,0.0
-18.0,-32,-27.166666666666668,-24.61111111111111,-20.05785123966942,67.2,73.13333333333334,99.3,100.3,Mon 11-15 11-15,N,296 (Ⅳ),Denver,"L, 63-47",65,72.2,39.4,32.3,33.3,17.3,96.8,54.3,18.4,16.1,54.3,-22.5,-2.0,132.5,71.65,76.1,74.71111111111111,78.1785123966942,100.05,100.8,99.32222222222224,98.23636363636362,20211115,88.3,105.1,-16.799999999999997,94.3,109.0,-14.700000000000005,88.9,105.9,-17.0,69.3,-2.2604099140145735,133.2258672215027,70.77866287339971,2.0727797685824214,141.4703512228332,14.70626836771976,141.4703512228332,2.0727797685824214,141.4703512228332,14.70626836771976,113.09124585494217,87.8,108.2,-20.35,71.8,88.3,105.1,-16.799999999999997,94.3,109.0,-14.700000000000005,14.678446902197075,113.16257401377499,0,89.30951435177414,107.15401223099424,-17.8444978792201,-16.596306957527908,86.12031367786611,84.53655490197127,1.583758775894836,-1.053369601397933,2021-11-15,12.153084290814867,121.50094202524437,11.00108323191894,121.50094202524437,-15.0,-30.94,-3.2066666666666666,-15.940000000000001,-27.733333333333334,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.5755320005597261,0.12354701417301595,-7.611111111111111,-10.166666666666668,-3.9666666666666686,-10.313333333333333,-7.969999999999999,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
-3.0,-12,-26.933333333333334,-20.57407407407408,-18.68369646882044,81.2,72.46666666666665,93.7,99.4,Tue 11-16 11-16,N,261 (Ⅳ),Texas A&M Corpus Chris,"L, 65-59",73,80.5,45.7,34.1,30.3,48.9,88.7,38.2,20.5,29.5,63.6,-5.0,3.0,129.0,76.42500000000001,71.65,76.87407407407407,78.72787377911344,96.875,100.05,97.44814814814816,97.41157024793388,20211116,88.1,104.9,-16.80000000000001,93.1,106.7,-13.600000000000009,87.3,106.1,-18.81,68.6,-0.6259737984331508,129.9078405358697,69.18549075391181,2.5918601767832428,135.7585931457931,20.16706733186096,135.7585931457931,2.5918601767832428,135.7585931457931,20.16706733186096,138.0836856871467,88.5,108.6,-20.03,70.9,88.1,104.9,-16.80000000000001,93.1,106.7,-13.600000000000009,20.043391265979725,138.08660450252938,0,113.1520758863909,105.38116485830604,7.770911028084868,-3.994864075994641,99.2215610466195,97.18577732455576,2.0357837220637407,2.148338559685052,2021-11-16,-3.829770681478905,151.95344198057933,4.250204891502236,151.95344198057933,6.809999999999999,-24.130000000000003,-12.45111111111111,-30.94,-11.678888888888892,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,-3,0.38754848109799234,0.6423472757879027,-1.764074074074081,-8.123333333333335,-7.611111111111111,-6.032499999999999,-10.313333333333333,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
6.5,-11,-18.73333333333333,-17.582716049382718,-17.395751656307628,96.7,81.7,108.3,100.43333333333334,Wed 11-17 11-17,A,323 (Ⅳ),UTSA,"L, 60-57",58,97.9,56.4,25.8,44.0,17.0,103.1,38.9,17.2,42.2,25.4,-15.5,9.5,132.5,86.5625,76.42500000000001,83.48271604938273,81.99553309200189,102.5875,96.875,101.06543209876544,99.39128474830952,20211117,86.0,104.3,-18.3,97.4,104.3,-6.899999999999992,86.1,105.5,-19.41,69.1,12.97674414835241,137.0046453980587,72.1470839260313,12.725664133754194,141.4007892261223,7.820765543294531,141.4007892261223,12.725664133754194,141.4007892261223,7.820765543294531,118.79058743636934,96.3,103.2,-6.92,73.4,86.0,104.3,-18.3,97.4,104.3,-6.899999999999992,7.813074681722268,118.81671840692891,0,113.39177281206936,105.56947335192952,7.8222994601398455,-3.271656712602855,104.42778479425256,101.09856821717904,3.329216577073524,2.581472912866196,2021-11-17,1.4034231738762486,165.85513168416503,6.236009428322063,165.85513168416503,8.41,-15.720000000000002,-16.344074074074072,-24.130000000000003,0.6240740740740698,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,3,0.182795768782416,0.44683597537242514,1.8272839506172822,0.6766666666666694,-1.764074074074081,-3.144000000000002,-6.032499999999999,1,-1.0,1,-1,-1,1,-3.0,-3.0
-17.0,-46,-23.566666666666663,-27.25514403292181,-22.70561499152442,63.6,80.5,110.2,104.06666666666666,Thu 12-02 12-02,H,216 (Ⅳ),Detroit,"L, 69-45",63,70.9,38.8,33.1,34.3,22.4,108.8,56.9,23.6,31.0,27.5,-16.0,7.0,130.0,75.08125,86.5625,76.85514403292183,78.6508907116379,106.39375,102.5875,104.11028806584363,101.35650570316233,20211202,87.3,105.0,-17.700000000000003,105.5,112.4,-6.900000000000006,88.4,107.1,-18.7,65.5,5.828141508267251,129.3264968245972,62.23897581792318,4.348482495597793,133.32748298012456,6.04950939112845,133.32748298012456,4.348482495597793,133.32748298012456,6.04950939112845,121.44380255410901,104.8,109.7,-4.9,66.8,87.3,105.0,-17.700000000000003,105.5,112.4,-6.900000000000006,3.488826851431215,119.20433158941809,0,83.83335013546328,94.24142241043096,-10.40807227496768,-11.723260755895488,104.44154050540877,102.45854049754234,1.9830000078664227,3.5935082373801994,2021-12-02,4.713553970740321,117.61602287292747,7.86114707276694,117.61602287292747,-27.3,-43.02,-16.13604938271605,-15.720000000000002,-26.883950617283954,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,-3,0.2524925375469229,0.3267483263497648,-8.55514403292181,-4.866666666666664,1.8272839506172822,-7.170000000000002,-3.144000000000002,-1,1.0,-1,-1,-1,-3,1.0,-3.0
-18.5,-39,-32.666666666666664,-31.436762688614543,-25.81368499306544,70.5,76.93333333333334,110.3,109.6,Sat 12-04 12-04,H,169 (Ⅲ),Oakland,"L, 78-45",68,66.2,37.3,33.8,31.4,19.6,114.7,44.6,11.8,30.6,57.1,-6.5,14.5,129.5,72.790625,75.08125,74.73676268861456,77.16891058224918,108.346875,106.39375,106.1735253772291,102.98259557531463,20211204,85.0,104.8,-19.8,101.1,97.1,4.0,86.6,106.8,-20.19,65.2,11.616607563069785,124.07966190650228,64.8290184921764,12.065617872642683,124.9264069290191,17.945493342361324,124.9264069290191,12.065617872642683,124.9264069290191,17.945493342361324,114.20162056004737,101.3,97.9,3.43,69.9,85.0,104.8,-19.8,101.1,97.1,4.0,17.343423975239297,109.3877856388205,0,82.75855178658196,97.18678409179608,-14.428232305214124,-17.723409197879107,100.8913164015112,90.20793718288785,10.683379218623358,8.620120430458384,2021-12-04,12.346419022073256,114.43156652948187,15.345661195083935,114.43156652948187,-18.81,-61.83,-25.09736625514403,-43.02,-36.73263374485597,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,-3,0.08364680132758417,0.1198275248012517,-11.246762688614542,-12.476666666666663,-8.55514403292181,-8.832857142857144,-7.170000000000002,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
-18.0,-41,-42.66666666666666,-34.82450845907637,-28.68392408523536,74.3,69.46666666666665,115.9,112.13333333333333,Fri 12-10 12-10,A,262 (Ⅳ),Tennessee St.,"L, 70-44",60,73.4,38.5,31.7,33.3,18.8,116.7,56.9,15.0,25.0,27.5,-11.5,8.0,125.5,73.5453125,72.790625,74.59117512574304,76.64729047638569,112.1234375,108.346875,109.41568358481942,105.33121456162108,20211210,84.3,105.7,-21.40000000000001,97.4,109.0,-11.599999999999994,86.4,107.8,-21.43,64.9,7.645154559260817,124.63478651093169,64.62304409672832,10.952997559868777,129.39242756580703,14.025485419221793,129.39242756580703,10.952997559868777,129.39242756580703,14.025485419221793,111.09124928257694,92.8,108.3,-15.55,70.0,84.3,105.7,-21.40000000000001,97.4,109.0,-11.599999999999994,12.895220618355822,114.29617772988733,0,82.68606553452933,99.17066828881174,-16.484602754282406,-17.974153637463672,99.27511773465967,102.43928224437506,-3.164164509715391,1.7887422537416444,2021-12-10,12.515728886570031,121.69522617074364,14.434397083772161,121.69522617074364,-19.57,-81.4,-37.341577503429356,-61.83,-44.05842249657065,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.22305842386064167,0.116635684863857,-13.39450845907637,-21.236666666666657,-11.246762688614542,-10.175,-8.832857142857144,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-8.5,-31,-37.76666666666667,-33.84967230605091,-29.26866516064711,73.9,72.89999999999999,105.8,110.66666666666669,Thu 12-16 12-16,H,341 (Ⅳ),Chicago St.,"L, 61-55",64,85.6,38.7,17.1,27.5,41.5,94.9,47.1,37.3,52.9,33.3,-3.0,-2.5,119.0,73.72265625,73.5453125,74.36078341716203,76.14778311704283,108.96171875,112.1234375,108.21045572321296,105.41644827768997,20211216,81.9,105.4,-23.5,87.8,107.1,-19.3,84.7,107.6,-22.85,63.4,-3.6447098627448113,114.8577102611849,62.04722617354196,-0.14015498807668791,114.8110536847151,5.001223681055857,114.8110536847151,-0.14015498807668791,114.8110536847151,5.001223681055857,105.90189720312786,86.1,110.2,-24.02,68.8,81.9,105.4,-23.5,87.8,107.1,-19.3,3.650597122997293,105.97284685052783,0,82.27157049947105,100.8790068982562,-18.60743639878514,-20.602938298163227,93.34530921356878,99.39916277362376,-6.053853560054975,-4.781696866177249,2021-12-16,4.757077933145261,111.92694292988273,8.299825589819747,111.92694292988273,-8.149999999999999,-89.55000000000001,-52.02771833561957,-81.4,-37.52228166438044,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.5940963859982835,0.32525455401194403,-10.999672306050911,-14.916666666666671,-13.39450845907637,-9.950000000000003,-10.175,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-12.5,-44,-39.36666666666667,-37.43311487070061,-32.056180585984,87.3,78.5,131.9,117.86666666666667,Tue 12-21 12-21,H,117 (Ⅲ),Morehead St.,"L, 80-52",61,85.6,41.0,26.3,39.4,32.0,131.7,59.8,19.8,48.3,49.0,14.5,15.5,117.5,80.511328125,73.72265625,78.67385561144135,78.17545891394413,120.430859375,108.96171875,116.106970482142,110.23163949992814,20211221,80.6,105.9,-25.30000000000001,102.5,101.6,0.9000000000000057,83.7,107.8,-24.1,63.3,11.96259937210315,114.96867524449246,59.60825035561878,13.076204717789345,116.30657113391334,17.61907154117555,116.30657113391334,13.076204717789345,116.30657113391334,17.61907154117555,115.74105648819797,102.1,100.9,1.24,66.2,80.6,105.9,-25.30000000000001,102.5,101.6,0.9000000000000057,14.428443219015113,108.75838434091811,0,81.44834247017263,103.63160553373744,-22.18326306356481,-25.36079765720314,103.94526253025523,101.54970917173254,2.3955533585226902,1.401516415395453,2021-12-21,12.06567351079785,116.33093905349752,14.483460080238558,116.33093905349752,-19.9,-109.45000000000002,-64.53514555707972,-89.55000000000001,-44.9148544429203,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.06994638275525245,0.12525494929618985,-13.333114870700605,-15.266666666666666,-10.999672306050911,-10.945,-9.950000000000003,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
