ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
0.5,-3,,-3.299999999999997,-3.299999999999997,91.9,0.0,95.2,0.0,Tue 11-09 11-09,H,205 (Ⅳ),UNC Wilmington,"W, 68-63",69,98.4,41.1,15.9,28.6,57.1,91.2,38.5,11.6,29.8,29.2,-16.5,-4.5,147.5,91.9,0.0,91.9,91.9,95.2,0.0,95.2,95.2,20211109,96.9,101.6,-4.699999999999989,100.6,110.5,-9.900000000000006,96.2,99.8,-3.57,70.8,-7.600705158664127,143.28585140315738,71.70640113798008,-7.866275926293426,153.61832158447965,-1.4070746380170223,153.61832158447965,-7.866275926293426,153.61832158447965,-1.4070746380170223,122.91384173013694,98.0,106.9,-8.93,71.2,96.9,101.6,-4.699999999999989,100.6,110.5,-9.900000000000006,-1.4070746380170223,122.91384173013694,0,100.75200625864969,101.0985916822432,-0.34658542359350974,-3.282696534704633,0.0,0.0,0.0,0.0,2021-11-09,0.0,0.0,,0.0,0.5699999999999998,0.5699999999999998,0.0,0.0,0.5699999999999998,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,-3,0.6658824291023754,0.5,0.2700000000000027,,0.0,0.5699999999999998,0.0,1,0.0,1,1,1,3,0.0,0.0
-3.5,-8,,-4.999999999999996,-4.227272727272723,104.2,0.0,112.6,0.0,Fri 11-12 11-12,A,288 (Ⅳ),Eastern Michigan,"L, 103-98 2OT",95,103.3,48.1,23.2,40.0,35.9,108.6,48.6,15.8,32.6,58.9,62.0,1.5,139.0,98.05,91.9,96.0,94.13636363636364,103.9,95.2,101.0,98.36363636363636,20211112,93.8,98.8,-5.0,93.4,101.8,-8.399999999999991,95.6,99.2,-3.57,70.8,-0.21114612412526412,135.29131541956968,71.40426742532006,1.4955946361935872,137.1049616891769,5.2607105632172875,137.1049616891769,1.4955946361935872,137.1049616891769,5.2607105632172875,118.25264650611165,93.2,102.6,-9.46,70.9,93.8,98.8,-5.0,93.4,101.8,-8.399999999999991,5.2607105632172875,118.25264650611165,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-12,-0.0,0.0,,0.0,-4.43,-3.86,0.5699999999999998,0.5699999999999998,-4.43,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.4432015031835318,0.5,-1.4299999999999957,,0.2700000000000027,-1.9300000000000002,0.5699999999999998,-1,1.0,-1,-1,1,-3,3.0,0.0
-6.5,-8,-6.633333333333326,-6.06666666666666,-4.9495867768594985,99.4,98.5,107.6,105.13333333333333,Tue 11-16 11-16,H,44 (I),Murray St.,"L, 77-65",68,95.2,49.1,19.0,21.2,21.4,112.8,52.1,17.6,42.1,8.6,4.0,5.5,138.0,98.725,98.05,97.13333333333335,95.09338842975204,105.75,103.9,103.2,100.04297520661156,20211116,94.4,99.7,-5.299999999999997,103.8,95.1,8.700000000000003,96.4,100.4,-4.02,71.4,2.8853947025578464,138.61006882688238,70.79061166429587,6.015563889846817,139.72674465038486,11.701730885694127,139.72674465038486,6.015563889846817,139.72674465038486,11.701730885694127,139.01948941992023,102.9,97.2,5.69,69.7,94.4,99.7,-5.299999999999997,103.8,95.1,8.700000000000003,11.693868638184922,138.9844891903383,0,95.12101842907096,88.71219422405574,6.408824205015222,15.215290572027198,91.69378095370786,107.43988218728924,-15.746101233581385,-9.543065863584529,2021-11-16,-18.829659278739364,133.38526207392778,-19.564944721321503,133.38526207392778,-3.9800000000000004,-7.84,-0.9066666666666667,-3.86,-6.933333333333334,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.30020551430745246,0.9635375869056664,-2.0466666666666606,-2.613333333333326,-1.4299999999999957,-2.613333333333333,-1.9300000000000002,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
-1.5,-14,-10.433333333333328,-8.944444444444441,-6.722389181066863,101.6,101.73333333333332,116.3,112.16666666666669,Sat 11-20 11-20,H,321 (Ⅳ),Bucknell,"W, 105-100 OT",90,116.6,49.3,12.2,31.7,63.4,111.0,51.4,20.0,33.3,40.3,57.5,-6.5,147.5,100.1625,98.725,98.62222222222223,96.27640871525168,111.025,105.75,107.56666666666668,102.99879789631854,20211120,94.6,100.3,-5.700000000000003,93.5,104.8,-11.299999999999995,96.3,100.9,-4.64,71.0,-8.925780269618159,143.96779900447888,73.82788051209101,-8.120861951001345,145.70210365475128,-1.2117605272491183,145.70210365475128,-8.120861951001345,145.70210365475128,-1.2117605272491183,152.90163414441986,93.7,105.1,-11.43,73.1,94.6,100.3,-5.700000000000003,93.5,104.8,-11.299999999999995,-1.4639293507303712,152.80270423193178,0,100.23843668000748,106.15946833385463,-5.921031653847152,-6.903929358487804,97.9108026663755,104.5037958167524,-6.592993150376898,-6.378349627381975,2021-11-20,-5.021231949815103,157.50935773361715,-1.5418719276363788,157.50935773361715,-9.36,-17.2,-3.217777777777778,-7.84,-13.982222222222221,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.732057505466481,0.6837505404302622,-4.304444444444441,-5.793333333333329,-2.0466666666666606,-4.300000000000001,-2.613333333333333,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
5.0,3,-6.333333333333329,-4.662962962962959,-4.791045693600159,111.4,104.13333333333334,107.5,110.46666666666664,Tue 11-23 11-23,N,57 (Ⅱ),Saint Louis,"L, 82-76",72,105.3,55.6,22.2,26.5,40.7,113.6,57.4,23.6,35.7,46.3,15.5,11.0,142.5,105.78125,100.1625,102.8814814814815,99.02615258520592,109.2625,111.025,107.54444444444444,103.81719827880607,20211123,96.1,102.4,-6.300000000000011,101.0,93.9,7.099999999999994,97.6,102.7,-5.04,71.3,9.59656431922889,142.31539703021167,71.40142247510668,9.630631809940368,141.44337252967028,16.59866073321631,141.44337252967028,9.630631809940368,141.44337252967028,16.59866073321631,144.863021339538,104.1,95.7,8.33,70.4,96.1,102.4,-6.300000000000011,101.0,93.9,7.099999999999994,16.355228879631884,145.04310646209973,0,102.78017202319464,105.36642227300848,-2.586250249813844,-3.548264219731492,104.8142375011614,97.70172256574956,7.112514935411838,11.99379707802298,2021-11-23,7.318971644913233,154.00203500151963,11.097252848549715,154.00203500151963,8.04,-9.16,-7.8785185185185185,-17.2,-1.2814814814814817,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,3,0.14740707903152717,0.24288734170429205,0.3770370370370406,-1.2933333333333286,-4.304444444444441,-1.8319999999999999,-4.300000000000001,1,-1.0,-1,-1,-1,-1,-3.0,-3.0
-6.0,-18,-9.76666666666666,-9.275308641975302,-7.283582840218309,115.2,109.4,133.7,119.16666666666669,Wed 11-24 11-24,N,123 (Ⅲ),Buffalo,"L, 106-90",77,116.7,60.3,14.3,25.0,19.1,137.4,60.5,11.7,40.0,19.7,44.5,10.0,151.5,110.490625,105.78125,106.98765432098767,101.96685211516848,121.48125,109.2625,116.26296296296296,109.25043495538678,20211124,96.2,102.6,-6.399999999999992,105.5,96.6,8.900000000000006,98.4,103.1,-4.74,71.2,10.348378705052241,152.27654707854748,73.73200568990042,11.539749141631816,151.59377308507248,9.81703279169126,151.59377308507248,11.539749141631816,151.59377308507248,9.81703279169126,163.34901748965146,107.5,98.3,9.14,72.8,96.2,102.6,-6.399999999999992,105.5,96.6,8.900000000000006,9.851449578710588,163.28363242387934,0,102.31278213952896,107.11844403576094,-4.805661896231982,-7.246959143503751,106.03287272287116,103.28047164497664,2.7524010778945183,2.6196423294493325,2021-11-24,5.9618340909723315,165.21625590164044,7.274843159437566,165.21625590164044,-13.26,-22.42,-8.30567901234568,-9.16,-14.114320987654322,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.17045190796406517,0.28508752128671055,-4.535308641975302,-5.02666666666666,0.3770370370370406,-3.7366666666666672,-1.8319999999999999,-1,1.0,-1,-1,-1,-3,-1.0,-3.0
11.5,8,-1.9999999999999905,-3.3168724279835327,-4.395658687451342,99.4,108.66666666666669,90.8,110.66666666666669,Wed 12-01 12-01,H,70 (Ⅱ),Missouri St.,"W, 79-74 OT",77,102.6,57.0,20.8,13.3,26.3,96.1,50.7,20.8,25.0,8.8,6.0,6.5,147.0,104.9453125,110.490625,104.4584362139918,101.5001517305924,106.140625,121.48125,107.77530864197531,105.89581041804372,20211201,100.3,107.0,-6.700000000000003,109.3,99.9,9.399999999999991,100.7,105.8,-5.13,71.0,7.628570072966511,149.48647042752816,68.77809388335704,7.517523511487866,152.63012491103035,17.635896529850438,152.63012491103035,7.517523511487866,152.63012491103035,17.635896529850438,157.9400837449783,111.6,100.1,11.46,68.1,100.3,107.0,-6.700000000000003,109.3,99.9,9.399999999999991,12.137783534182594,157.19922064825948,0,101.23305173260208,105.28570860918316,-4.052656876581082,-3.846489900809568,103.14646079370569,102.21060557490574,0.9358552187999436,-4.0088662348093465,2021-12-01,-0.5700074627997225,149.2800786797112,-1.9618272771271137,149.2800786797112,13.129999999999999,-9.290000000000003,-13.01045267489712,-22.42,3.7204526748971176,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.26794249453351904,0.5216465175685205,1.8131275720164672,3.1300000000000097,-4.535308641975302,-1.3271428571428574,-3.7366666666666672,1,-1.0,1,-1,-1,1,-3.0,-1.0
-16.0,-15,-8.299999999999992,-7.211248285322355,-6.32372074427837,85.6,100.06666666666666,100.6,108.36666666666666,Sat 12-04 12-04,H,286 (Ⅳ),Jackson St.,"L, 61-55",66,82.8,38.3,25.6,26.5,59.6,91.8,48.1,22.6,30.3,30.8,-22.0,-10.0,138.0,95.27265625,104.9453125,98.17229080932788,98.60921505230286,103.3703125,106.140625,105.38353909465025,104.9329357965812,20211204,100.1,106.1,-6.0,92.8,98.1,-5.299999999999997,100.5,104.7,-4.25,70.9,-7.607693349460035,131.20753337432944,67.57183499288763,-3.6299867849587883,136.16010402506754,-9.125567808547492,136.16010402506754,-3.6299867849587883,136.16010402506754,-9.125567808547492,139.80915058375567,90.3,99.9,-9.65,67.0,100.1,106.1,-6.0,92.8,98.1,-5.299999999999997,-7.708262611544029,134.716225363921,0,98.03700209759285,104.85840985676109,-6.821407759168238,-7.819112087880599,94.37018421592953,99.32256709531627,-4.952382879386747,-8.67210962126504,2021-12-04,-2.7099544290016695,135.9053746501761,-2.3123895698501684,135.9053746501761,-10.75,-20.040000000000003,-11.770301783264749,-9.290000000000003,-8.269698216735254,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.8295480920359348,0.6018316219879845,-2.9612482853223554,-4.049999999999992,1.8131275720164672,-2.505,-1.3271428571428574,-1,1.0,-1,-1,-1,-3,1.0,-3.0
-0.5,-7,-4.63333333333333,-7.307498856881571,-6.537589699864121,110.2,98.4,117.7,103.03333333333336,Sat 12-11 12-11,A,343 (Ⅳ),Chicago St.,"W, 80-71",65,123.1,70.0,29.2,33.3,46.7,109.3,45.3,16.9,51.2,32.8,14.5,-10.5,137.5,102.736328125,95.27265625,102.1815272062186,100.71663049733868,110.53515625,103.3703125,109.48902606310016,107.2542201972028,20211211,99.5,106.0,-6.5,88.1,107.4,-19.30000000000001,99.9,105.3,-5.32,70.8,-9.412285627310041,138.81249852023385,69.59146514935988,-5.608118841482053,142.4071016433332,-10.666043205764762,142.4071016433332,-5.608118841482053,142.4071016433332,-10.666043205764762,134.24497788939408,86.3,110.2,-23.9,69.1,99.5,106.0,-6.5,88.1,107.4,-19.30000000000001,-6.1825150112158695,136.78065013399177,0,102.20717882861724,105.26741174802982,-3.06023291941257,-4.2286513241812775,92.73426914036952,97.71033679076793,-4.976067650398406,-1.322948933786882,2021-12-11,2.3373381566607065,140.66241667012457,3.9165937311149293,140.66241667012457,-1.6799999999999997,-21.720000000000002,-14.526867855509835,-20.040000000000003,-7.193132144490168,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,3,0.8413447460685429,0.41192200395832435,-1.9874988568815706,0.6866666666666701,-2.9612482853223554,-2.413333333333334,-2.505,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
15.5,18,-1.4333333333333325,1.1950007620789531,-2.039846118070644,112.0,102.6,93.8,104.03333333333332,Sat 12-18 12-18,H,234 (Ⅳ),Ball St.,"W, 85-64",71,120.5,61.0,15.6,26.5,32.2,90.7,45.5,21.3,23.1,33.9,-2.0,-5.5,151.0,107.3681640625,102.736328125,105.4543514708124,102.76815222509528,102.167578125,110.53515625,104.25935070873344,104.8079983431659,20211218,100.7,107.5,-6.799999999999997,100.8,104.4,-3.6000000000000085,101.1,105.1,-3.99,70.1,-7.492359803456338,150.61485437458376,71.09715504978662,-1.9986503988898363,155.24397543997986,-3.7066996623107276,155.24397543997986,-1.9986503988898363,155.24397543997986,-3.7066996623107276,163.3830014079555,99.0,107.5,-8.49,71.3,100.7,107.5,-6.799999999999997,100.8,104.4,-3.6000000000000085,-3.9539464576178536,157.11395866033808,0,102.66163882189856,103.57873374313188,-0.9170949212333142,-1.550737995190609,98.57494192063064,103.49859076029826,-4.923648839667621,2.367579294169516,2021-12-18,-7.262769722143261,151.65883716068424,0.7869612642170978,151.65883716068424,21.990000000000002,0.2699999999999996,-16.92457857033989,-21.720000000000002,17.19457857033989,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,3,0.6997944856925475,0.7554347253287752,5.185000762078953,2.5566666666666675,-1.9874988568815706,0.026999999999999247,-2.413333333333334,1,-1.0,1,1,-1,3,-3.0,-3.0
