ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-1.0,25,,25.5,25.5,103.8,0.0,78.3,0.0,Tue 11-09 11-09,H,289 (Ⅳ),Jackson St.,"W, 71-47",67,105.7,51.8,28.3,47.2,38.2,70.0,44.1,29.8,17.6,9.8,-16.5,-25.0,134.5,103.8,0.0,103.8,103.8,78.3,0.0,78.3,78.3,20211109,113.5,92.3,21.200000000000003,96.4,97.5,-1.0999999999999943,111.5,86.7,24.83,71.8,-27.44266910349875,132.04536189944977,71.18719772403983,-19.865745007528673,145.8544515891865,-28.928575191225942,145.8544515891865,-19.865745007528673,145.8544515891865,-28.928575191225942,113.04407423295267,87.6,98.2,-10.56,69.7,113.5,92.3,21.200000000000003,96.4,97.5,-1.0999999999999943,-28.928575191225942,113.04407423295267,0,96.45628171771284,92.5051837911456,3.9510979265672432,-3.151679851210562,0.0,0.0,0.0,0.0,2021-11-09,0.0,0.0,,0.0,0.1700000000000017,0.1700000000000017,0.0,0.0,0.1700000000000017,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,3,0.9913660280019122,0.5,0.6700000000000017,,0.0,0.1700000000000017,0.0,1,0.0,1,1,1,3,0.0,0.0
22.5,36,,29.06666666666667,27.445454545454545,115.5,0.0,79.3,0.0,Fri 11-12 11-12,H,199 (Ⅳ),Arkansas St.,"W, 92-53",76,120.5,49.3,17.0,52.2,54.3,69.4,33.1,24.9,23.8,27.1,5.0,-16.5,140.0,109.65,103.8,107.7,105.92727272727272,78.8,78.3,78.63333333333333,78.48181818181818,20211112,110.8,88.8,22.0,102.5,102.0,0.5,110.9,86.1,24.83,71.8,-23.20519298445646,144.0711488993383,72.41280227596017,-20.519659136624625,151.55916739988936,-32.92435197479933,151.55916739988936,-20.519659136624625,151.55916739988936,-32.92435197479933,124.41167728173247,100.2,101.8,-1.59,70.9,110.8,88.8,22.0,102.5,102.0,0.5,-32.92435197479933,124.41167728173247,0,99.69935168666076,100.58939466021056,-0.8900429735497966,1.1733638152464705,91.40751434853992,102.21623262955214,-10.808718281012219,-3.021264417132143,2021-11-12,-11.397045396399534,143.77007768648375,-5.0462726793234225,143.77007768648375,11.170000000000002,11.340000000000003,0.1700000000000017,0.1700000000000017,11.170000000000002,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.9419584331306725,0.8611350151385095,4.236666666666672,,0.6700000000000017,5.670000000000002,0.1700000000000017,1,1.0,1,1,1,3,3.0,0.0
-9.0,13,24.9,23.71111111111112,24.81900826446281,93.4,104.23333333333332,80.4,79.33333333333333,Mon 11-15 11-15,A,70 (I),Marquette,"L, 67-66",77,85.7,44.7,33.8,45.2,16.7,87.0,45.4,18.2,18.4,57.4,-14.5,-8.0,147.5,101.525,109.65,102.93333333333334,103.6495867768595,79.6,78.8,79.22222222222223,78.8305785123967,20211115,110.9,87.9,23.0,101.5,95.8,5.700000000000003,111.5,86.0,25.5,72.0,-8.675125463875162,143.70559709328498,74.3556187766714,-8.778341129519475,148.16967121734575,-21.82006926642902,148.16967121734575,-8.778341129519475,148.16967121734575,-21.82006926642902,140.98039718074673,103.2,95.0,8.15,72.6,110.9,87.9,23.0,101.5,95.8,5.700000000000003,-21.760122502524858,140.98654527060728,0,101.43270424177628,100.86808746708456,0.5646167746917143,-2.5782649130605715,95.3467104851291,103.85232293944192,-8.505612454312825,-5.054451256849665,2021-11-15,-2.678299300098189,152.9372478416025,0.16131870103252766,152.9372478416025,-12.5,-1.1599999999999966,3.8933333333333358,11.340000000000003,-5.053333333333333,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,3,0.7769415761393583,0.6006678476149161,-1.7888888888888808,-0.6000000000000014,4.236666666666672,-0.38666666666666316,5.670000000000002,-1,1.0,-1,-1,1,-3,3.0,3.0
-30.0,-10,12.766666666666666,12.174074074074078,18.324643125469567,88.0,98.96666666666664,98.9,86.2,Mon 11-22 11-22,N,95 (Ⅱ),Cincinnati,"L, 71-51",66,77.0,30.7,21.1,34.1,36.8,107.2,46.6,16.6,37.1,34.5,-15.5,-10.0,137.5,94.7625,101.525,97.95555555555556,100.80420736288504,89.25,79.6,85.78148148148149,82.47956423741547,20211122,109.4,87.2,22.200000000000003,100.2,90.5,9.700000000000005,110.5,85.8,24.66,71.9,-11.891870130145868,137.47001870448614,72.10455192034141,-8.577399111129978,137.4299515749843,-8.310891151447954,137.4299515749843,-8.577399111129978,137.4299515749843,-8.310891151447954,125.85843586379592,102.0,94.2,7.75,70.5,109.4,87.2,22.200000000000003,100.2,90.5,9.700000000000005,-8.382039740501478,126.0135522913641,0,93.29076249793415,95.0219894407133,-1.731226942779145,11.657312731263271,106.3130365222124,90.84487066277087,15.468165859441527,20.69868904158264,2021-11-22,11.997482571831561,136.97959857695355,6.519243875987684,136.97959857695355,-34.66,-35.81999999999999,2.2088888888888922,-1.1599999999999966,-38.028888888888886,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.8295480920359348,0.12659874153166417,-12.485925925925923,-11.893333333333334,-1.7888888888888808,-8.954999999999998,-0.38666666666666316,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
-1.5,23,8.366666666666665,15.78271604938272,19.174708011747825,112.2,97.86666666666667,89.2,89.5,Tue 11-23 11-23,N,63 (Ⅱ),Kansas St.,"W, 72-64",67,106.8,64.6,26.7,30.0,41.7,95.0,43.1,5.9,13.2,13.8,0.5,-9.5,135.5,103.48125,94.7625,102.70370370370372,102.8761696605423,89.225,89.25,86.92098765432101,83.70146164879448,20211123,109.7,87.7,22.0,99.3,93.1,6.200000000000003,108.8,87.1,21.67,70.9,-8.622634988358378,132.31800902344608,68.88293029871978,-10.61099834002109,133.4551367736,-10.68989930732774,133.4551367736,-10.61099834002109,133.4551367736,-10.68989930732774,119.64857486167396,103.6,94.5,9.11,68.3,109.7,87.7,22.0,99.3,93.1,6.200000000000003,-10.649031325234382,119.54559852036354,0,93.97004363159311,99.15070119639309,-5.180657564799972,6.880941141695684,98.83676607247205,98.67160119463466,0.16516487783738398,-4.837552514156108,2021-11-23,3.7208953276455077,134.51470842472327,-8.072041817020278,134.51470842472327,1.3299999999999983,-34.489999999999995,-10.467407407407403,-35.81999999999999,-24.02259259259259,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.817204231217584,0.361530438606502,-5.887283950617281,-13.303333333333336,-12.485925925925923,-6.898,-8.954999999999998,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-16.5,-14,-0.7666666666666705,5.721810699588478,13.070215645975493,113.6,104.6,128.0,105.36666666666667,Fri 11-26 11-26,H,313 (Ⅳ),UT Rio Grande Valley,"W, 94-85",72,130.4,69.8,18.0,26.1,45.3,117.9,52.5,11.1,26.5,44.3,32.5,-25.5,146.5,108.540625,103.48125,106.3358024691358,104.82595699498916,108.6125,89.225,100.61399176954734,91.75574134901365,20211126,108.6,89.1,19.5,92.8,105.1,-12.299999999999995,109.3,87.8,21.47,70.3,-27.392879431450744,142.971254570794,72.0,-27.22244269368357,145.60157811137907,-25.76120249806304,145.60157811137907,-27.22244269368357,145.60157811137907,-25.76120249806304,142.05349650286828,94.5,105.8,-11.27,72.0,108.6,89.1,19.5,92.8,105.1,-12.299999999999995,-25.813124560828633,141.97353429398134,0,96.16702597412149,103.55011541263278,-7.383089438511291,0.7503678960943748,105.64773030517549,106.93786049509632,-1.2901301899208306,0.1919327983839659,2021-11-26,0.4550651238282768,156.16963124060038,-2.4275716613518483,156.16963124060038,-35.47,-69.96,-18.474938271604934,-34.489999999999995,-51.48506172839506,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,0.9924207805612802,0.4827154379807802,-15.748189300411521,-22.236666666666668,-5.887283950617281,-11.660000000000002,-6.898,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
6.0,28,12.399999999999997,13.347873799725653,15.893812801252674,129.7,118.5,101.1,106.09999999999998,Mon 11-29 11-29,H,40 (Ⅱ),Notre Dame,"W, 82-72",65,125.5,63.2,18.4,29.6,35.8,110.2,52.5,12.2,28.6,19.7,15.0,-4.0,139.0,119.1203125,108.540625,114.12386831275722,109.34851026862748,104.85625,108.6125,100.77599451303158,93.4546974673748,20211129,109.5,92.7,16.799999999999997,109.6,96.7,12.899999999999991,110.5,90.6,19.93,69.8,-7.438203982980866,140.61338342966374,67.7149359886202,-7.004609865782669,144.0403611220446,-3.7063887018507646,144.0403611220446,-7.004609865782669,144.0403611220446,-3.7063887018507646,131.36656023252755,112.2,96.7,15.54,68.2,109.5,92.7,16.799999999999997,109.6,96.7,12.899999999999991,-5.696011882888656,129.50248323470757,0,101.36627051873296,101.9673434459258,-0.6010729271928454,7.691483109113618,101.34774353485884,102.27761624224428,-0.9298727073854423,-8.037107999081925,2021-11-29,-4.252218315942827,143.63809958661332,-12.543347053085746,143.63809958661332,8.07,-61.88999999999999,-35.636625514403285,-69.96,-26.25337448559671,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,3,0.6483807083005341,0.6572513847338752,-6.582126200274347,-7.530000000000003,-15.748189300411521,-8.84142857142857,-11.660000000000002,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
26.0,48,21.0,25.1652491998171,21.87675592829764,125.0,122.76666666666664,76.2,101.76666666666668,Fri 12-03 12-03,H,74 (Ⅲ),Rutgers,"W, 86-51",70,123.6,57.6,14.4,39.4,16.7,73.3,36.0,20.1,27.7,5.9,4.0,-9.0,133.0,122.06015625,119.1203125,117.74924554183816,112.19423567433157,90.528125,104.85625,92.58399634202108,90.31747974603392,20211203,111.4,93.9,17.5,101.3,94.0,7.299999999999997,111.5,91.4,20.1,69.0,-10.569173581452766,129.11355433866171,64.5832147937411,-10.06540000302995,132.59966822350418,-7.937395987776542,132.59966822350418,-10.06540000302995,132.59966822350418,-7.937395987776542,135.51326449229728,103.8,94.8,8.97,65.8,111.4,93.9,17.5,101.3,94.0,7.299999999999997,-12.453571826817587,124.19775946254208,0,104.11042496417974,99.95340877259038,4.1570161915893635,14.036733711023912,93.03061443717696,100.61292149068233,-7.58230705350536,-9.30718034209032,2021-12-03,-11.461705949725186,131.24769495060957,-16.92734313496844,131.24769495060957,27.9,-33.989999999999995,-44.38775034293552,-61.88999999999999,10.397750342935524,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,3,0.804317030846224,0.8624935525363409,5.065249199817099,0.8999999999999986,-6.582126200274347,-4.248750000000001,-8.84142857142857,1,-1.0,1,-1,-1,1,-3.0,-3.0
7.5,34,37.3,28.27683279987807,24.171891214061706,129.9,128.20000000000002,95.4,90.9,Mon 12-06 12-06,A,14 (I-A),Iowa,"W, 87-83",72,120.6,53.4,24.9,57.6,47.5,115.0,50.7,5.5,21.4,27.5,18.5,3.5,151.5,125.980078125,122.06015625,121.7994970278921,115.41346555172582,92.9640625,90.528125,93.52266422801404,91.2415743376641,20211206,112.0,93.0,19.0,115.1,97.5,17.599999999999994,112.2,90.9,21.29,68.9,2.9217963810319105,150.6898437072531,70.46813655761025,2.8103080104255866,155.91464607555713,10.354374226941697,155.91464607555713,2.8103080104255866,155.91464607555713,10.354374226941697,162.60632523132043,117.2,96.6,20.64,71.9,112.0,93.0,19.0,115.1,97.5,17.599999999999994,6.6801676364742715,152.9437495369414,0,104.12732936570328,100.429364947295,3.697964418408276,11.690577350236676,115.02442133796654,100.81440744440596,14.210013893560586,15.46267192446196,2021-12-06,12.055549922395244,159.2366990829778,4.899114022162479,159.2366990829778,12.71,-21.279999999999994,-40.921833561957015,-33.989999999999995,19.64183356195702,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.36944134018176367,0.12545381596773875,6.986832799878069,16.009999999999998,5.065249199817099,-2.3644444444444446,-4.248750000000001,1,1.0,1,-1,-1,1,1.0,-3.0
-1.5,20,34.56666666666666,25.651221866585377,23.486092811505028,115.6,123.5,95.2,88.93333333333334,Sat 12-11 12-11,H,7 (I-A),Arizona,"L, 83-79",75,105.2,51.5,21.3,38.6,20.6,110.5,50.7,18.6,39.0,25.7,5.5,2.5,156.5,120.7900390625,125.980078125,119.73299801859474,115.44738090595747,94.08203125,92.9640625,94.08177615200938,91.96128809445244,20211211,113.3,93.9,19.39999999999999,113.4,89.3,24.10000000000001,113.4,91.8,21.6,69.0,-2.6745279509155466,147.92063947902315,72.43527738264581,-0.3760470826628932,153.72302505805447,3.6988390879330457,153.72302505805447,-0.3760470826628932,153.72302505805447,3.6988390879330457,155.8467866931147,112.9,89.6,23.3,73.8,113.3,93.9,19.39999999999999,113.4,89.3,24.10000000000001,6.4300071622385016,142.08894679323322,0,106.71432862243732,98.51993875438816,8.194389868049157,13.985671520920748,111.37370911030222,86.52398802782146,24.849721082480755,30.3174195404871,2021-12-11,8.693432619036429,149.32341423218898,9.35248427610172,149.32341423218898,-1.6000000000000014,-22.879999999999995,-34.374555707971346,-21.279999999999994,11.494555707971351,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.4059036140017165,0.20385055139673103,4.051221866585376,12.966666666666661,6.986832799878069,-2.2880000000000003,-2.3644444444444446,1,1.0,1,-1,-1,1,1.0,1.0
