ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
5.5,6,,6.200000000000003,6.200000000000003,94.8,0.0,88.6,0.0,Tue 11-09 11-09,H,167 (Ⅳ),Appalachian St.,"W, 65-53",65,99.6,52.0,18.4,20.0,40.8,81.2,37.5,16.8,31.0,28.3,-19.0,-6.5,137.0,94.8,0.0,94.8,94.8,88.6,0.0,88.6,88.6,20211109,106.2,99.9,6.299999999999997,101.0,101.6,-0.5999999999999943,98.1,97.0,1.06,70.2,-5.3208531875224665,130.60948721598453,68.40256045519203,-9.000264476889015,146.43391423290475,-5.694549377901282,146.43391423290475,-9.000264476889015,146.43391423290475,-5.694549377901282,112.39475014664794,97.6,99.0,-1.33,68.5,106.2,99.9,6.299999999999997,101.0,101.6,-0.5999999999999943,-5.694549377901282,112.39475014664794,0,0.0,0.0,0.0,0.0,96.2125498808276,101.11935437671288,-4.906804495885282,-5.342915606996386,2021-11-09,0.0,0.0,,0.0,4.9399999999999995,4.9399999999999995,0.0,0.0,4.9399999999999995,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,-3,0.732057505466481,0.5,5.140000000000002,,0.0,4.9399999999999995,0.0,1,0.0,1,1,1,3,0.0,0.0
-6.5,-4,,2.666666666666667,4.272727272727274,100.6,0.0,105.0,0.0,Sat 11-13 11-13,H,211 (Ⅳ),Harvard,"W, 90-87 OT",87,103.1,45.3,18.3,30.0,65.6,99.6,57.5,27.5,22.2,62.3,39.0,-9.5,138.0,97.7,94.8,96.73333333333332,95.85454545454544,96.8,88.6,94.06666666666666,91.58181818181818,20211113,102.4,96.2,6.200000000000003,95.1,98.2,-3.1000000000000085,98.0,97.0,1.07,70.2,-6.138981326639794,137.836345620905,70.59943100995733,-10.438123579518162,138.93914203254465,-1.481088474335607,138.93914203254465,-10.438123579518162,138.93914203254465,-1.481088474335607,130.12402676894476,99.4,101.7,-2.29,70.7,102.4,96.2,6.200000000000003,95.1,98.2,-3.1000000000000085,-1.481088474335607,130.12402676894476,0,93.15567070762246,96.0104835581393,-2.8548128505168364,-3.276712790512064,114.39733365004618,95.49984207878994,18.89749157125624,16.35015994330841,2021-11-13,11.058006288135687,143.21343605315164,11.750459496601238,143.21343605315164,-5.07,-0.13000000000000078,4.9399999999999995,4.9399999999999995,-5.07,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.817204231217584,0.1461376244121071,1.596666666666667,,5.140000000000002,-0.06499999999999995,4.9399999999999995,1,1.0,-1,-1,1,-1,3.0,0.0
2.5,17,6.399999999999996,7.577777777777776,6.659504132231405,111.8,102.4,94.4,96.0,Tue 11-16 11-16,H,91 (Ⅲ),Hofstra,"W, 82-74",73,111.7,60.2,16.3,19.4,53.7,100.8,48.4,16.3,25.0,27.0,9.5,-5.5,146.5,104.75,97.7,101.75555555555556,98.75371900826444,95.6,96.8,94.17777777777778,92.09421487603304,20211116,102.6,97.2,5.399999999999992,101.9,103.3,-1.3999999999999917,97.9,97.2,0.78,71.4,-3.132489625396218,140.38878056353957,70.58748221906117,-9.159220567949376,148.25691943048483,11.377644544434732,148.25691943048483,-9.159220567949376,148.25691943048483,11.377644544434732,146.66565224523475,103.4,101.5,1.93,69.5,102.6,97.2,5.399999999999992,101.9,103.3,-1.3999999999999917,11.460336598780058,146.8117316557652,0,103.20352794143452,103.48611244840284,-0.2825845069683197,-4.936689043947405,95.95395915745354,105.85184916533538,-9.897890007881841,-5.681034930422436,2021-11-16,-11.400887429355606,150.85279773405745,-2.396937546082924,150.85279773405745,16.22,16.089999999999996,3.25,-0.13000000000000078,12.839999999999996,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,3,0.6997944856925475,0.8612159919022511,6.7977777777777755,5.619999999999996,1.596666666666667,5.363333333333333,-0.06499999999999995,1,1.0,1,1,-1,3,-1.0,3.0
5.0,6,6.633333333333326,7.351851851851848,6.703230653643875,86.8,99.73333333333332,79.9,93.1,Fri 11-19 11-19,N,99 (Ⅲ),Liberty,"W, 54-50",61,88.5,35.2,18.0,37.5,48.1,82.0,38.6,8.2,24.3,24.6,-29.5,1.0,133.5,95.775,104.75,96.7703703703704,96.58031555221636,87.75,95.6,89.41851851851852,89.87708489857249,20211119,102.5,97.0,5.5,102.8,95.0,7.799999999999997,98.3,97.1,1.24,71.9,4.5108546621090895,131.9356906460585,68.42261735419632,1.640391514688318,138.1061102184667,0.963029017530151,138.1061102184667,1.640391514688318,138.1061102184667,0.963029017530151,135.1440620046535,103.2,95.2,7.92,66.9,102.5,97.0,5.5,102.8,95.0,7.799999999999997,1.0428029266787466,135.16787691532923,0,97.80494891928468,92.50028691668786,5.304662002596828,9.064309121642278,93.98287798208952,95.23218687524808,-1.249308893158556,-2.1817257805801757,2021-11-19,-4.349637154024904,126.1834724688408,-7.694831428667044,126.1834724688408,4.76,20.849999999999994,7.5299999999999985,16.089999999999996,13.319999999999997,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.46206285593374585,0.6606549100875463,6.111851851851847,5.3933333333333255,6.7977777777777755,5.2125,5.363333333333333,1,1.0,1,1,1,3,3.0,-1.0
2.5,6,10.233333333333324,7.034567901234563,6.6480978075268045,107.1,101.9,100.7,91.66666666666669,Sat 11-20 11-20,N,300 (Ⅳ),North Alabama,"W, 81-65",75,108.2,50.8,18.7,38.2,45.0,86.8,32.8,13.4,30.2,37.3,9.5,-13.5,136.5,101.4375,95.775,100.2135802469136,98.49298545181338,94.225,87.75,93.179012345679,91.8448876442866,20211120,102.6,97.0,5.599999999999994,91.9,104.3,-12.399999999999991,98.0,95.9,2.09,70.8,-9.752712701641151,134.14812119997453,71.70640113798008,-13.10492478263022,143.85934700438065,-13.216780516299865,143.85934700438065,-13.10492478263022,143.85934700438065,-13.216780516299865,111.3822144844157,90.9,102.9,-12.06,71.2,102.6,97.0,5.599999999999994,91.9,104.3,-12.399999999999991,-12.929815330422027,111.24325118205729,0,99.10963043916422,93.84886905889888,5.260761380265336,10.013923352919916,90.90114845724472,96.32629806036904,-5.425149603124325,-7.389064972706175,2021-11-20,-7.450535091160518,132.58229536150333,-12.479056618769292,132.58229536150333,3.91,24.759999999999994,11.969999999999997,20.849999999999994,12.789999999999997,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.900728603156669,0.7610160652558654,4.944567901234564,8.143333333333324,6.111851851851847,4.952,5.2125,1,1.0,1,1,1,3,3.0,3.0
17.0,15,9.666666666666664,9.92304526748971,8.293898206158294,98.0,97.3,82.3,87.63333333333333,Thu 11-25 11-25,N,26 (I-A),Alabama,"W, 72-68",75,96.1,47.5,17.4,14.3,35.6,90.8,49.1,17.4,23.5,44.6,-12.5,13.0,152.5,99.71875,101.4375,99.47572016460909,98.40335173330186,88.26249999999999,94.225,89.55267489711935,90.10945352714356,20211125,102.1,96.6,5.5,110.4,91.4,19.0,99.2,96.8,2.44,70.3,13.460532537313412,146.476183880597,73.8,10.051607960199007,150.81997651741295,12.24419192597015,150.81997651741295,10.051607960199007,150.81997651741295,12.24419192597015,144.9952610754627,112.5,91.3,21.14,73.8,102.1,96.6,5.5,110.4,91.4,19.0,11.946860457134331,144.7233832927164,0,102.5147369937586,90.11410845103666,12.400628542721947,14.9237458861138,109.25581032006156,93.65018424018956,15.605626079871996,22.95025121149897,2021-11-25,1.8476037555441565,146.66744847503574,5.923560930134244,146.66744847503574,12.56,37.31999999999999,16.233333333333327,24.759999999999994,21.086666666666666,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.10784037468050733,0.4301617950065443,7.483045267489711,7.226666666666665,4.944567901234564,6.220000000000001,4.952,1,1.0,1,1,1,3,3.0,3.0
-3.5,0,7.399999999999996,6.648696844993139,6.80409853231133,93.6,99.56666666666666,93.5,92.16666666666669,Fri 11-26 11-26,N,69 (I),Belmont,"L, 72-65",71,91.1,40.0,18.2,38.6,15.7,100.9,47.4,7.0,5.7,37.9,-10.0,3.5,147.0,96.659375,99.71875,97.51714677640608,97.5300150545197,90.88125,88.26249999999999,90.8684499314129,90.72591652220837,20211126,102.3,96.7,5.599999999999994,107.7,98.2,9.5,99.7,95.7,3.99,70.4,4.799220357954212,144.9431606938282,72.0022759601707,2.715110369631219,150.6586932506741,2.6195900064722264,150.6586932506741,2.715110369631219,150.6586932506741,2.6195900064722264,143.47424254137655,109.2,98.1,11.08,71.9,102.3,96.7,5.599999999999994,107.7,98.2,9.5,1.336761986993856,145.22032942157654,0,100.95098143557338,91.3036355879028,9.647345847670579,11.535420164198683,106.6106462654978,97.77640870829076,8.834237557207047,15.06247458318135,2021-11-26,-1.0064664736491409,144.3564533778474,2.5395594560213084,144.3564533778474,-3.99,33.32999999999999,23.262222222222217,37.31999999999999,10.067777777777774,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.36944134018176367,0.5381817156105031,2.6586968449931385,3.4099999999999957,7.483045267489711,4.761428571428571,6.220000000000001,1,1.0,1,1,1,3,3.0,3.0
0.5,5,7.066666666666663,6.232464563328757,6.548807890072904,119.8,103.8,114.4,96.73333333333336,Sun 11-28 11-28,N,7 (I-A),Kansas,"L, 96-83",73,113.4,63.0,24.6,25.9,52.0,131.2,59.2,12.3,51.6,26.8,33.0,13.5,146.0,108.2296875,96.659375,104.94476451760406,101.5791032264252,102.640625,90.88125,98.71229995427528,95.0302953363523,20211128,101.2,95.1,6.1000000000000085,114.5,92.8,21.700000000000003,99.5,95.4,4.08,69.7,14.518890357600348,140.10673510258098,70.39402560455193,10.787718289066746,146.08689367246274,10.18460159369483,146.08689367246274,10.787718289066746,146.08689367246274,10.18460159369483,139.66394905375782,115.7,90.1,25.65,71.0,101.2,95.1,6.1000000000000085,114.5,92.8,21.700000000000003,11.800479535868032,140.7746018736638,0,104.58294342853976,90.4104098526566,14.172533575883165,15.148812731728542,114.85425367901269,102.74916845754724,12.105085221465444,11.354284178135297,2021-11-28,-2.6061152195327963,152.20631830498291,-2.671121401588451,152.20631830498291,0.9199999999999999,34.24999999999999,26.618148148148144,33.32999999999999,7.631851851851849,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.09927139684333097,0.5980107275432611,2.152464563328757,2.986666666666663,2.6586968449931385,4.28125,4.761428571428571,1,1.0,1,1,1,3,3.0,3.0
-1.0,8,4.63333333333333,6.954976375552507,6.885388273696013,107.2,106.86666666666667,98.8,102.23333333333332,Wed 12-01 12-01,A,181 (Ⅲ),Marist,"W, 78-71",72,108.1,47.1,18.0,44.2,27.9,98.4,51.7,23.6,26.7,18.6,15.5,-8.0,133.5,107.71484375,108.2296875,105.69650967840272,102.60108445798426,100.7203125,102.640625,98.74153330285016,95.71569618428823,20211201,103.1,97.0,6.099999999999994,97.8,102.3,-4.5,101.5,96.9,4.57,70.0,-4.458275666576235,128.28166612767185,65.12091038406828,-3.3379691159001226,133.62712527408206,-7.409480883526839,133.62712527408206,-3.3379691159001226,133.62712527408206,-7.409480883526839,128.34562747805603,95.9,103.8,-7.91,65.4,103.1,97.0,6.099999999999994,97.8,102.3,-4.5,-7.297559414241783,129.19967356130854,0,104.85040783174102,91.87118432566052,12.979223506080501,14.429886570401411,102.2457333311722,102.29232962694668,-0.04659629577447788,0.416067581594655,2021-12-01,-5.135181855053972,134.14483017823716,-7.167191527346745,134.14483017823716,3.4299999999999997,37.67999999999999,29.162098765432095,34.24999999999999,8.517901234567898,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.7769415761393583,0.6876021385291708,2.3849763755525064,0.06333333333332991,2.152464563328757,4.1866666666666665,4.28125,1,1.0,1,1,1,3,3.0,3.0
13.5,26,13.366666666666664,13.403317583701671,10.415317678478557,101.1,109.36666666666666,74.8,96.0,Fri 12-03 12-03,H,256 (Ⅳ),Rider,"W, 80-54",78,103.0,47.6,23.2,35.9,41.9,69.6,31.3,23.2,19.5,41.1,-7.0,-12.5,141.0,104.407421875,107.71484375,104.1643397856018,102.328160011078,87.76015625,100.7203125,90.76102220190012,91.91284233259948,20211203,103.2,97.2,6.0,96.0,102.5,-6.5,101.9,96.9,5.0,70.6,-12.887451760852564,137.88159399353424,69.59573257467994,-12.855188126872747,142.1087140034878,-13.354269228568146,142.1087140034878,-12.855188126872747,142.1087140034878,-13.354269228568146,132.2347187558052,95.8,103.9,-8.13,69.3,103.2,97.2,6.0,96.0,102.5,-6.5,-14.550059655138071,132.5231875185778,0,104.54510503315736,90.87345412707602,13.67165090608134,15.959698398430714,90.7845263232052,100.0290129150505,-9.244486591845302,-8.041917457166647,2021-12-03,-19.461795969420088,133.7374640509091,-18.729927023650802,133.7374640509091,21.0,58.67999999999999,32.00139917695473,37.67999999999999,26.678600823045265,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.8830703586536275,0.9680949503900305,8.403317583701671,8.366666666666664,2.3849763755525064,5.868,4.1866666666666665,1,1.0,1,1,1,3,3.0,3.0
