ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
13.0,46,,46.900000000000006,46.900000000000006,140.5,0.0,93.6,0.0,Tue 11-09 11-09,H,145 (Ⅲ),Longwood,"W, 106-73",75,141.3,66.9,10.7,32.3,33.8,97.3,41.2,16.0,34.0,21.6,34.5,-20.0,144.5,140.5,0.0,140.5,140.5,93.6,0.0,93.6,93.6,20211109,108.7,98.0,10.700000000000005,100.0,102.5,-2.5,112.8,93.5,19.27,73.4,-23.209665294702788,148.59250641248667,73.19118065433855,-14.427593836251205,156.9918799378966,-62.9159875437385,156.9918799378966,-14.427593836251205,156.9918799378966,-62.9159875437385,193.99967716206265,94.7,101.7,-7.06,70.1,108.7,98.0,10.700000000000005,100.0,102.5,-2.5,-62.9159875437385,193.99967716206265,0,98.83263682017144,97.59599977202984,1.2366370481416027,-1.5328073963028268,91.67292285567224,95.3829429473309,-3.710020091658663,-4.646131202769784,2021-11-09,-7.441303207896212,137.59537632362583,-4.264717376291287,137.59537632362583,26.73,26.73,0.0,0.0,26.73,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.9715944860326362,0.7607432845486573,27.630000000000006,,0.0,26.73,0.0,1,0.0,1,1,1,3,0.0,0.0
12.5,27,,40.53333333333334,43.42727272727273,116.0,0.0,88.2,0.0,Fri 11-12 11-12,H,224 (Ⅳ),UMKC,"W, 89-57",73,122.5,55.4,11.0,30.3,33.8,78.5,47.3,23.4,12.1,10.7,8.0,-19.5,138.0,128.25,140.5,132.33333333333334,136.04545454545453,90.9,93.6,91.8,92.61818181818182,20211112,108.3,95.5,12.799999999999995,97.2,101.0,-3.799999999999997,112.2,92.9,19.27,73.4,-21.776360112407758,138.98571780799938,69.74566145092462,-15.864070253053313,144.71366120610406,-44.41307742170658,144.71366120610406,-15.864070253053313,144.71366120610406,-44.41307742170658,160.10586451796388,93.5,100.4,-6.93,66.8,108.3,95.5,12.799999999999995,97.2,101.0,-3.799999999999997,-44.41307742170658,160.10586451796388,0,103.95008387511608,91.83226217112082,12.117821703995261,14.277901837227557,93.779671011181,95.2379306374477,-1.4582596262667096,-1.4114861152902902,2021-11-12,-12.896940960625727,132.43808154125634,-13.021178660215213,132.43808154125634,7.73,34.46,26.73,26.73,7.73,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.9683545838833274,0.8903290790806972,21.26333333333334,,27.630000000000006,17.23,26.73,1,1.0,1,1,1,3,3.0,0.0
-12.5,5,26.7,28.822222222222223,36.51322314049586,114.3,123.6,108.9,96.9,Tue 11-16 11-16,H,289 (Ⅳ),North Carolina Central,"W, 86-69",71,121.0,41.8,11.3,43.9,67.2,97.1,51.7,21.1,23.5,20.3,4.0,-29.5,151.0,121.275,128.25,126.32222222222224,132.09173553719006,99.9,90.9,97.5,95.5785123966942,20211116,108.8,95.0,13.799999999999995,94.1,106.3,-12.200000000000005,112.9,93.0,19.88,73.4,-32.52686372097162,148.7436639831911,73.81763869132291,-24.145413332681017,155.2751674580348,-37.116485606259424,155.2751674580348,-24.145413332681017,155.2751674580348,-37.116485606259424,144.98161935226426,87.5,106.3,-18.79,70.7,108.8,95.0,13.799999999999995,94.1,106.3,-12.200000000000005,-37.372383388706936,145.05516031443142,0,96.4778534848111,94.10790367288912,2.369949811921984,6.481841334145435,93.66005067703344,91.94432920294147,1.7157214740919642,4.836230815062205,2021-11-16,-4.161478161627372,133.4525410856113,-3.3986109810832517,133.4525410856113,-14.879999999999999,19.580000000000002,29.306666666666672,34.46,-9.72666666666667,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,3,0.9975192575442907,0.6540696630056289,8.942222222222224,6.82,21.26333333333334,6.526666666666667,17.23,1,1.0,-1,1,1,1,3.0,3.0
-2.0,18,17.39999999999999,25.548148148148147,33.32900075131479,138.2,122.83333333333331,119.2,105.43333333333334,Thu 11-18 11-18,H,325 (Ⅳ),Alabama St.,"W, 108-82",74,146.3,65.8,13.5,47.4,21.9,111.1,58.5,19.0,21.2,32.2,38.5,-28.0,151.5,129.7375,121.275,130.28148148148148,133.20232907588277,109.55,99.9,104.73333333333336,99.87332832456798,20211118,108.9,95.3,13.600000000000009,89.7,104.2,-14.5,112.7,93.6,19.07,73.1,-31.42475121426145,150.16649774707574,77.05135135135134,-26.402370419333565,157.14355208641524,-26.37796370665999,157.14355208641524,-26.402370419333565,157.14355208641524,-26.37796370665999,162.69865570425554,85.1,102.2,-17.14,74.1,108.9,95.3,13.600000000000009,89.7,104.2,-14.5,-26.777784357556968,162.88294017504992,0,118.44428471277052,106.73690755498669,11.707377157783839,16.099803629132577,108.15593585832252,101.47785548400394,6.678080374318583,-0.9985056163340484,2021-11-18,-8.92862349705456,185.4885087004019,-15.494816728369301,185.4885087004019,-1.0700000000000003,18.51,26.06444444444445,19.580000000000002,-7.554444444444449,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9961696194324102,0.8024333739894849,6.478148148148147,-1.6700000000000088,8.942222222222224,4.627500000000001,6.526666666666667,1,1.0,-1,1,1,1,1.0,3.0
19.0,30,18.333333333333325,27.2320987654321,32.83281879653028,119.0,123.83333333333331,88.4,105.5,Mon 11-22 11-22,H,326 (Ⅳ),Western Michigan,"W, 109-61",78,139.5,61.1,9.0,30.6,31.9,78.1,42.9,30.7,33.3,11.1,20.5,-29.0,149.5,124.36875,129.7375,126.520987654321,130.62008742572226,98.975,109.55,99.2888888888889,97.78726862919198,20211122,111.1,96.4,14.699999999999989,96.2,106.1,-9.899999999999991,114.3,95.2,19.08,72.1,-27.629031836263707,148.64932312934258,70.04879089615932,-22.25441382729636,151.5240619749542,-40.89250484720943,151.5240619749542,-22.25441382729636,151.5240619749542,-40.89250484720943,151.53835709362008,93.8,107.6,-13.76,68.3,111.1,96.4,14.699999999999989,96.2,106.1,-9.899999999999991,-40.80787244390098,151.50368938915324,0,121.65663151599098,102.49021637658008,19.1664151394109,23.30296636875759,88.79548797061186,103.508014693514,-14.71252672290214,-2.4488878786756705,2021-11-22,-29.392027941373193,156.25000131340215,-20.20474109644846,156.25000131340215,10.920000000000002,29.430000000000003,23.546296296296305,18.51,5.8837037037036986,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,3,0.9971267380880181,0.9974388535210249,8.1520987654321,-0.7466666666666733,6.478148148148147,5.885999999999999,4.627500000000001,1,1.0,1,1,1,3,1.0,1.0
10.0,21,23.63333333333333,25.254732510288072,30.73594265170659,100.9,119.36666666666667,79.6,95.73333333333332,Fri 11-26 11-26,H,291 (Ⅳ),Portland St.,"W, 85-51",76,112.4,53.0,17.2,36.1,28.8,67.4,33.8,30.4,34.8,13.8,-19.5,-24.0,155.5,112.634375,124.36875,117.980658436214,125.21643516650002,89.2875,98.975,92.72592592592596,94.48049251479344,20211126,112.6,96.8,15.799999999999995,97.9,101.7,-3.799999999999997,115.2,95.6,19.68,72.4,-23.53899718205345,151.75008449513524,73.1209103840683,-19.14331170618769,156.87588302447742,-33.16575943118269,156.87588302447742,-19.14331170618769,156.87588302447742,-33.16575943118269,145.3772070667617,94.8,101.7,-6.93,71.0,112.6,96.8,15.799999999999995,97.9,101.7,-3.799999999999997,-33.32917068027192,145.6835328051632,0,120.47343714058512,99.98444844038644,20.488988700198675,26.539004944592754,81.36710428405031,96.56207139810796,-15.194967114057647,-19.984896633088685,2021-11-26,-30.287003626237002,148.52577870827545,-36.133179801851504,148.52577870827545,1.3200000000000003,30.750000000000004,25.50753086419754,29.430000000000003,5.242469135802462,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9888645105203836,0.9980396751267109,5.574732510288072,3.9533333333333296,8.1520987654321,5.125,5.885999999999999,1,1.0,1,1,1,3,3.0,1.0
3.0,31,27.666666666666668,27.203155006858715,30.80213489685084,148.0,122.63333333333333,116.9,94.96666666666664,Mon 11-29 11-29,A,69 (Ⅱ),Virginia,"W, 75-74",57,132.7,62.5,7.1,31.0,17.9,130.9,60.5,8.8,30.0,15.8,19.5,2.0,129.5,130.3171875,112.634375,127.98710562414269,129.35890149986366,103.09375,89.2875,100.78395061728398,98.5567666030128,20211129,112.6,96.0,16.599999999999994,101.1,91.1,10.0,115.7,95.5,20.19,72.7,0.6600891415289993,129.01838034131546,63.082503556187774,0.04279668096091882,129.2059925145955,0.8628589357841349,129.2059925145955,0.04279668096091882,129.2059925145955,0.8628589357841349,122.50278960797768,105.2,90.9,14.31,61.0,112.6,96.0,16.599999999999994,101.1,91.1,10.0,-3.4034471375129853,129.22914973686105,0,118.68329589512062,103.46086167671368,15.222434218406946,20.7628358383107,103.41683212921812,95.8478081020242,7.569024027193919,2.973188501561981,2021-11-29,-0.375393916012996,142.8611384630609,-9.246218916688335,142.8611384630609,10.809999999999999,41.56,27.255020576131695,30.750000000000004,14.304979423868307,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.4244679994402739,0.51425986735774,7.013155006858714,7.476666666666667,5.574732510288072,5.937142857142856,5.125,1,1.0,1,1,1,3,3.0,3.0
8.5,10,21.066666666666677,21.73543667123915,27.165383097423412,94.4,114.43333333333334,83.6,93.36666666666667,Fri 12-03 12-03,A,9 (I-A),Purdue,"L, 77-70",76,92.1,44.4,11.8,15.0,35.5,101.3,50.0,22.4,25.0,74.0,-11.0,15.5,158.0,112.35859375,130.3171875,116.79140374942848,123.00273759079752,93.346875,103.09375,95.05596707818933,95.8373544933741,20211203,115.9,98.2,17.700000000000003,120.2,93.2,27.0,118.0,97.6,20.39,71.4,10.924203257366798,157.25486370882805,69.36870554765292,11.610097012212648,160.76067198706932,19.77268942437807,160.76067198706932,11.610097012212648,160.76067198706932,19.77268942437807,168.75504908069902,121.4,92.4,29.09,68.3,115.9,98.2,17.700000000000003,120.2,93.2,27.0,13.887273272750102,168.7089943989479,0,114.71132680105563,100.76220710311884,13.949119697936794,17.47161704213828,119.6078191623992,86.5506257776376,33.05719338476159,38.68643861857605,2021-12-03,19.45400795132889,156.5428470937493,17.20415649496931,156.5428470937493,-10.39,31.17,32.02334705075447,41.56,-0.8533470507544649,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.06994638275525245,0.0319581920594082,1.345436671239149,0.6766666666666765,7.013155006858714,3.896250000000002,5.937142857142856,1,1.0,-1,1,1,1,3.0,3.0
-7.5,14,18.933333333333334,19.456957780826095,24.935313443346427,124.8,122.4,109.9,103.46666666666664,Mon 12-06 12-06,H,12 (I-A),Illinois,"L, 87-83",72,115.0,50.7,5.5,21.4,27.5,120.6,53.4,24.9,57.6,47.5,18.5,-3.5,151.5,118.579296875,112.35859375,119.46093583295232,123.32951257428888,101.6234375,93.346875,100.00397805212624,98.39419913094244,20211206,115.1,97.5,17.599999999999994,112.0,93.0,19.0,117.2,96.6,20.64,71.9,-2.9217963810319105,150.6898437072531,70.46813655761025,-2.8103080104255866,155.91464607555713,-9.874259718990114,155.91464607555713,-2.8103080104255866,155.91464607555713,-9.874259718990114,163.80914165132896,112.2,90.9,21.29,68.9,115.1,97.5,17.599999999999994,112.0,93.0,19.0,-7.000489118230187,154.54250530201165,0,115.02442133796654,100.81440744440596,14.210013893560586,15.46267192446196,104.12732936570328,100.429364947295,3.697964418408276,11.690577350236676,2021-12-06,-12.055549922395244,159.2366990829778,-4.899114022162479,159.2366990829778,-6.640000000000001,24.53,31.738898033836314,31.17,-7.208898033836313,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.6305586598182363,0.8745461840322613,-1.183042219173906,-1.706666666666667,1.345436671239149,2.7255555555555553,3.896250000000002,-1,1.0,-1,1,1,-1,1.0,3.0
-25.0,-11,4.766666666666666,9.1713051872174,18.32889281728344,95.3,104.83333333333331,106.7,100.06666666666666,Thu 12-09 12-09,A,32 (I),Iowa St.,"L, 73-53",66,80.2,31.0,18.2,34.1,23.8,110.4,50.0,24.2,55.3,27.4,-25.0,-5.0,151.0,106.9396484375,118.579296875,111.40729055530156,118.2332375607818,104.16171875,101.6234375,102.23598536808416,99.90434474349836,20211209,116.3,98.8,17.5,102.1,93.6,8.5,118.2,98.2,19.98,72.1,-1.3111321667847449,149.19258256845808,70.76671408250355,-1.5285207054508305,151.7234582257929,6.006183543780772,151.7234582257929,-1.5285207054508305,151.7234582257929,6.006183543780772,149.4860672976734,104.0,93.0,11.03,69.0,116.3,98.8,17.5,102.1,93.6,8.5,1.0158925111965504,146.35433218848655,0,111.33014073113804,101.8486951369747,9.481445594163347,13.183432748266997,101.0625414691198,87.05597642951135,14.006565039608446,14.230840117819865,2021-12-09,8.40497447553065,144.85131008960482,2.994286294157817,144.85131008960482,-30.98,-6.449999999999999,29.335932022557543,24.53,-35.785932022557546,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.6830306580593271,0.2117181804468069,-10.808694812782601,-15.213333333333335,-1.183042219173906,-0.644999999999996,2.7255555555555553,-1,-1.0,-1,-1,1,-3,-1.0,1.0
