ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
11.0,1,,1.2999999999999972,1.2999999999999972,86.5,0.0,85.2,0.0,Sat 11-13 11-13,H,283 (Ⅳ),North Carolina A&T,"W, 63-54",69,91.6,46.0,21.8,25.7,54.0,78.5,44.5,24.7,20.0,14.5,-24.5,2.0,141.5,86.5,0.0,86.5,86.5,85.2,0.0,85.2,85.2,20211113,96.0,105.6,-9.599999999999994,95.3,102.1,-6.799999999999997,94.2,104.0,-9.81,71.0,-1.3235930977125605,140.00511566875946,73.32290184921764,-2.204198976991094,148.86080348069123,-3.9512204918039373,148.86080348069123,-2.204198976991094,148.86080348069123,-3.9512204918039373,105.83958183114356,94.0,100.0,-6.03,72.6,96.0,105.6,-9.599999999999994,95.3,102.1,-6.799999999999997,-3.9512204918039373,105.83958183114356,0,95.6280746930928,89.01096545845039,6.617109234642413,6.846759207090229,103.35833116531902,101.46828645696388,1.8900447083551342,1.0723339762307835,2021-11-13,-7.739007892647621,141.80968632703815,-6.368308521067803,141.80968632703815,10.81,10.81,0.0,0.0,10.81,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,3,0.4244679994402739,0.7694535327644503,11.109999999999998,,0.0,10.81,0.0,1,0.0,1,1,1,3,0.0,0.0
9.0,3,,2.0,1.6818181818181803,97.4,0.0,94.0,0.0,Tue 11-16 11-16,A,98 (Ⅱ),UCF,"L, 63-54",61,88.4,56.4,39.3,41.7,4.3,103.2,49.1,13.1,23.5,24.1,-19.5,18.0,136.5,91.95,86.5,90.13333333333334,88.48181818181817,89.6,85.2,88.13333333333334,86.8,20211116,95.7,104.3,-8.599999999999994,106.6,92.5,14.099999999999994,93.7,102.6,-8.92,70.1,18.931951965576047,137.79336912947036,69.90056899004267,20.21623505980598,143.35754283008407,15.036114282328711,143.35754283008407,20.21623505980598,143.35754283008407,15.036114282328711,127.06798178608692,106.8,93.8,13.03,70.1,95.7,104.3,-8.599999999999994,106.6,92.5,14.099999999999994,14.989415050401519,127.07638051033913,0,99.84448299770216,103.540786345711,-3.69630334800884,-9.678666951732204,104.95345151034228,90.6156369912085,14.337814519133772,12.26428628462049,2021-11-16,17.00897211773721,142.86595350913862,17.32076817390918,142.86595350913862,11.92,22.73,10.81,10.81,11.92,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,3,0.04323813274683286,0.0526266536498623,10.92,,11.109999999999998,11.365,10.81,1,1.0,1,1,1,3,3.0,0.0
2.5,-13,-2.966666666666664,-3.199999999999998,-1.0966942148760332,70.2,84.7,83.8,87.66666666666667,Wed 11-24 11-24,A,110 (Ⅱ),Minnesota,"L, 55-44",63,69.5,32.5,25.3,40.5,13.3,86.9,46.3,15.8,9.4,11.1,-31.0,13.5,130.0,81.075,91.95,83.48888888888891,85.15785123966941,86.69999999999999,89.6,86.6888888888889,86.25454545454545,20211124,96.6,103.8,-7.200000000000003,99.9,94.0,5.900000000000006,94.2,102.4,-8.21,67.3,13.9549832446423,128.5094654652816,66.72560455192034,12.542068925455297,133.2793280532568,11.09491404246555,133.2793280532568,12.542068925455297,133.2793280532568,11.09491404246555,113.7247535169672,101.9,94.2,7.71,69.7,96.6,103.8,-7.200000000000003,99.9,94.0,5.900000000000006,11.137404557203707,113.47042845284072,0,90.6639415848498,90.53893596838586,0.12500561646393749,0.5756410746317946,99.04073511908706,89.44666490929944,9.594070209787617,14.70553291653474,2021-11-24,9.134482673464582,116.96335931581055,11.439323061691283,116.96335931581055,-4.789999999999999,17.94,14.783333333333335,22.73,3.1566666666666663,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.09927139684333097,0.1921636649250581,5.010000000000003,5.243333333333337,10.92,5.98,11.365,1,1.0,1,1,1,3,3.0,3.0
8.5,3,-2.3999999999999964,-1.1333333333333324,-0.351840721262209,88.6,85.39999999999999,85.6,87.8,Thu 12-02 12-02,A,343 (Ⅳ),Charleston Southern,"W, 67-56",71,94.7,50.0,24.0,29.7,29.8,79.2,40.6,18.4,18.9,45.3,-13.0,-2.5,136.0,84.8375,81.075,85.1925925925926,85.78369646882042,86.14999999999999,86.69999999999999,86.32592592592593,86.13553719008263,20211202,96.2,103.8,-7.599999999999994,94.6,109.0,-14.400000000000006,94.5,102.6,-8.1,66.3,-3.7520042012001795,135.0233906276639,68.9406827880512,-0.6910734876050384,143.22678827116238,-8.141772813070842,143.22678827116238,-0.6910734876050384,143.22678827116238,-8.141772813070842,117.32355488873094,90.7,110.1,-19.4,73.1,96.2,103.8,-7.599999999999994,94.6,109.0,-14.400000000000006,-8.305413479103787,117.38310895854197,0,92.01867309634495,89.75561912982961,2.2630539665153435,-2.2008013334428678,92.6264430050378,104.30232358786856,-11.675880582830757,-3.898849355753746,2021-12-02,-5.525235907804891,126.20427456026292,0.7008212457558614,126.20427456026292,11.1,29.04,15.835555555555558,17.94,13.20444444444444,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,3,0.5940963859982835,0.7006298691163999,6.966666666666667,5.700000000000003,5.010000000000003,7.26,5.98,1,1.0,1,1,1,3,3.0,3.0
-2.0,-12,-7.799999999999997,-5.02222222222222,-2.6151424083054438,77.5,78.76666666666667,90.3,86.56666666666666,Tue 12-07 12-07,A,191 (Ⅲ),Georgia,"L, 69-58",72,80.8,37.9,23.7,34.1,24.2,96.2,54.3,22.3,11.1,51.1,-4.0,9.0,131.0,81.16875,84.8375,82.62839506172841,84.2775698381258,88.225,86.14999999999999,87.65061728395062,86.89271224643124,20211207,95.6,101.9,-6.300000000000011,101.8,103.0,-1.2000000000000028,94.1,101.5,-7.4,66.0,8.64297501458303,127.65918451624644,64.02844950213371,7.180277718905259,132.96965870309674,4.032673429288577,132.96965870309674,7.180277718905259,132.96965870309674,4.032673429288577,117.26269978768565,102.5,102.1,0.39,68.2,95.6,101.9,-6.300000000000011,101.8,103.0,-1.2000000000000028,4.1068247188889115,113.02090847643642,0,91.97725636114664,89.19416035678123,2.7830960043654187,-0.1099060790834638,101.6658235303582,100.04706992454938,1.6187536058088199,2.395024109803276,2021-12-07,2.4800283685193776,120.03302041267432,3.4171483061358785,120.03302041267432,-4.6,24.439999999999998,20.23703703703704,29.04,4.202962962962957,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.19568296915377603,0.4066413864927312,2.37777777777778,-0.3999999999999968,6.966666666666667,4.888,7.26,1,1.0,1,1,1,3,3.0,3.0
26.0,34,8.233333333333334,8.151851851851852,4.133065302295546,107.8,91.3,73.3,83.06666666666666,Sat 12-11 12-11,H,160 (Ⅳ),UNC Wilmington,"W, 77-48",68,113.5,66.3,22.1,22.2,26.5,70.8,36.5,28.0,35.3,42.3,-3.0,-3.0,128.0,94.484375,81.16875,91.01893004115227,88.55437532210291,80.76249999999999,88.225,82.86707818930043,84.42131001980738,20211211,94.3,100.8,-6.5,96.4,107.6,-11.199999999999989,93.7,101.1,-7.47,66.7,-4.867530935506835,125.92849190681105,63.28435277382647,-6.403911667488416,129.13778286735564,-8.696138877185298,129.13778286735564,-6.403911667488416,129.13778286735564,-8.696138877185298,107.0206245308206,97.8,107.8,-10.05,66.7,94.3,100.8,-6.5,96.4,107.6,-11.199999999999989,-7.393724184269419,105.73575336679193,0,93.09306352014052,86.81328135337965,6.279782166760867,8.315809786656143,91.24472549278715,101.17089891729884,-9.926173424511688,-8.56669748776241,2021-12-11,-12.880544847401104,112.9314005942864,-12.453724521067421,112.9314005942864,41.47,65.91,21.638024691358027,24.439999999999998,44.27197530864197,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.6124515189020077,0.8900358047207675,15.62185185185185,15.703333333333333,2.37777777777778,10.985,4.888,1,1.0,1,1,1,3,3.0,3.0
7.5,4,8.700000000000003,6.901234567901237,4.181598883696356,93.9,93.06666666666666,89.5,84.36666666666666,Tue 12-14 12-14,A,329 (Ⅳ),Southern Miss,"W, 62-51",61,101.2,44.4,13.1,28.9,38.9,83.2,48.8,31.0,24.1,38.1,-12.0,-3.5,125.0,94.1921875,94.484375,91.97928669410152,89.52630708172056,85.13125,80.76249999999999,85.07805212620029,85.34470819802422,20211214,93.8,97.7,-3.9000000000000057,91.7,100.5,-8.799999999999997,93.6,99.0,-5.45,66.8,1.3214486168339619,122.42079451418773,65.7547652916074,0.31622955242960415,123.8900600844262,-6.66446094123342,123.8900600844262,0.31622955242960415,123.8900600844262,-6.66446094123342,108.82668269211587,92.9,101.7,-8.84,69.2,93.8,97.7,-3.9000000000000057,91.7,100.5,-8.799999999999997,-7.538046840851948,106.89011070646445,0,94.5903443278482,86.93998617732115,7.650358150527055,8.45041570724655,89.26450242544456,104.90599721548742,-15.641494790042856,-14.334902902782614,2021-12-14,-11.243371763781,118.83489209540465,-13.195469975221172,118.83489209540465,9.45,75.36,36.39534979423868,65.91,38.964650205761316,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.6305586598182363,0.8578697118287182,12.351234567901237,14.150000000000002,15.62185185185185,10.765714285714285,10.985,1,1.0,1,1,1,3,3.0,3.0
-3.5,-14,8.000000000000005,-0.3658436213991711,0.7122172684788382,91.9,97.86666666666667,106.8,89.86666666666667,Tue 12-21 12-21,A,195 (Ⅲ),Pittsburgh,"L, 64-55",61,89.7,43.6,19.6,28.9,23.6,104.4,46.2,9.8,29.4,45.3,1.5,5.5,117.5,93.04609375,94.1921875,91.95285779606768,89.95788761231682,95.965625,85.13125,92.31870141746684,89.245670343838,20211221,93.8,96.3,-2.5,94.3,97.7,-3.4000000000000057,93.7,98.0,-4.28,65.7,4.812998306651714,112.61731413626237,60.372972972972974,2.654317542701918,113.24323602243669,2.0527195085571215,113.24323602243669,2.654317542701918,113.24323602243669,2.0527195085571215,96.65642340870052,97.0,98.5,-1.5,64.6,93.8,96.3,-2.5,94.3,97.7,-3.4000000000000057,1.0838148105684122,100.3232000478799,0,95.17565230637508,89.95803522184136,5.217617084533728,8.286408623958952,95.72321275634188,98.39439779710634,-2.671185040764456,-7.570600355482143,2021-12-21,-1.5546914841323272,111.45363479838753,-7.876854335982095,111.45363479838753,-9.719999999999999,65.64,49.383566529492455,75.36,16.256433470507545,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.30020551430745246,0.5588546021805361,3.914156378600829,12.280000000000005,12.351234567901237,8.205,10.765714285714285,1,1.0,1,1,1,3,3.0,3.0
4.5,-1,-4.033333333333327,-0.7772290809327789,0.291814128755414,101.2,95.66666666666669,102.8,99.7,Sat 1-08 1-08,H,188 (Ⅳ),Florida Gulf Coast,"W, 69-66",64,107.6,46.9,15.6,36.6,18.8,102.9,50.9,15.6,23.5,29.6,1.0,1.5,134.0,97.123046875,93.04609375,95.0352385307118,92.00190804644105,99.3828125,95.965625,95.81246761164458,91.71009391768564,20220108,95.1,98.7,-3.6000000000000085,103.0,105.0,-2.0,95.3,99.8,-4.57,65.7,-1.7452258694521134,132.57047304414715,66.16728307254623,-2.6019513156906413,136.6770501982794,-5.402656605736721,136.6770501982794,-2.6019513156906413,136.6770501982794,-5.402656605736721,121.95575460182387,102.4,104.1,-1.65,70.8,95.1,98.7,-3.6000000000000085,103.0,105.0,-2.0,-4.209773679174625,119.29579251805987,0,94.55864212153035,90.46011632275098,4.098525798779377,7.184328488499047,101.8735466594398,102.03922213999562,-0.16567548055581938,1.2622099952878263,2022-01-08,-6.521536454453859,128.05960112774076,-5.849432663723562,128.05960112774076,3.5700000000000003,69.21000000000001,54.80237768632831,65.64,14.407622313671695,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.4432015031835318,0.7327326609912179,3.7927709190672214,0.5366666666666733,3.914156378600829,7.69,8.205,1,1.0,1,1,1,3,3.0,3.0
1.5,-7,-7.866666666666664,-2.884819387288522,-1.0521520764728447,85.6,92.9,92.7,100.76666666666668,Tue 1-11 1-11,H,306 (Ⅳ),Stetson,"W, 57-50",60,94.7,47.7,18.3,30.0,61.4,83.1,37.8,19.9,22.2,36.7,-16.5,-5.5,123.5,91.3615234375,97.123046875,91.89015902047454,90.83792476526996,96.04140625,99.3828125,94.77497840776306,91.89007684174278,20220111,96.1,99.3,-3.200000000000003,97.3,107.9,-10.600000000000009,96.1,100.5,-4.37,65.1,-4.895673765130233,122.00730697489979,60.65504978662873,-7.907060243263388,125.02837311618056,-7.432286072483988,125.02837311618056,-7.907060243263388,125.02837311618056,-7.432286072483988,112.2087179870192,99.3,106.4,-7.13,65.5,96.1,99.3,-3.200000000000003,97.3,107.9,-10.600000000000009,-10.243373857515921,110.93965321693076,0,93.42294277676888,90.6079747733707,2.814968003398178,5.569599505606444,93.45768451788054,100.09497898905586,-6.6372944711753235,-5.1494308666302375,2022-01-11,-8.61750749471608,111.26663999186303,-8.203542551909841,111.26663999186303,-2.63,66.58000000000001,59.604918457552216,69.21000000000001,6.975081542447796,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.6997944856925475,0.7940956875172068,1.4851806127114782,-3.4966666666666635,3.7927709190672214,6.6579999999999995,7.69,1,1.0,1,1,1,3,3.0,3.0
