ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-6.0,-3,,-3.5,-3.5,90.0,0.0,93.5,0.0,Wed 11-10 11-10,H,309 (Ⅳ),Florida A&M,"W, 67-57",68,98.2,51.0,20.5,27.3,50.0,83.5,44.3,26.4,23.5,26.4,-5.5,-16.0,129.5,90.0,0.0,90.0,90.0,93.5,0.0,93.5,93.5,20211110,101.2,94.3,6.900000000000006,94.1,101.5,-7.400000000000006,103.3,93.6,9.73,68.9,-16.40087061099961,131.00113126894803,69.39004267425321,-13.741809512384485,136.30405848802548,0.5640519818875092,136.30405848802548,-13.741809512384485,136.30405848802548,0.5640519818875092,114.16482036085057,91.2,100.5,-9.32,70.8,101.2,94.3,6.900000000000006,94.1,101.5,-7.400000000000006,0.5640519818875092,114.16482036085057,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-10,0.0,0.0,,0.0,-12.73,-12.73,0.0,0.0,-12.73,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,3,0.9362218501099964,0.5,-13.23,,0.0,-12.73,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-2.5,5,,-0.4666666666666641,-1.8454545454545437,100.7,0.0,95.1,0.0,Wed 11-17 11-17,H,344 (Ⅳ),Nebraska Omaha,"W, 79-64",70,113.0,61.3,22.9,30.8,30.2,91.5,43.2,15.7,25.0,16.7,10.5,-17.5,132.5,95.35,90.0,93.56666666666666,91.94545454545454,94.3,93.5,94.03333333333332,93.79090909090908,20211117,98.3,91.9,6.399999999999992,88.1,107.0,-18.90000000000001,103.6,93.8,9.73,68.4,-20.23894714582461,135.93709858930134,69.37297297297297,-20.90333549206006,132.70363598752624,-17.15991118126471,132.70363598752624,-20.90333549206006,132.70363598752624,-17.15991118126471,128.0957690759487,91.9,106.2,-14.28,71.3,98.3,91.9,6.399999999999992,88.1,107.0,-18.90000000000001,-17.15991118126471,128.0957690759487,0,97.23770408186424,96.51791409665928,0.7197899852049545,1.8430865317353096,100.3892447682887,99.41951855791544,0.9697262103732669,-0.0191176811379903,2021-11-17,-3.6925614919961447,137.4896507897024,-3.2520244483900456,137.4896507897024,-4.73,-17.46,-12.73,-12.73,-4.73,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.9522096477271853,0.6374580653548045,-10.196666666666665,,-13.23,-8.73,-12.73,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-0.5,-2,-0.1666666666666619,-1.177777777777774,-1.9826446280991707,93.7,94.8,96.3,94.96666666666664,Mon 11-22 11-22,N,18 (I-A),Arkansas,"L, 72-64",73,87.6,39.8,20.5,30.0,39.0,98.6,38.8,16.4,31.0,58.6,-3.5,7.5,139.5,94.525,95.35,93.61111111111111,92.26446280991736,95.3,94.3,94.78888888888888,94.24710743801651,20211122,99.0,92.8,6.200000000000003,106.7,93.4,13.299999999999995,104.1,94.8,9.26,68.0,7.290756408568825,138.6218011337339,69.74110953058322,4.676806499508146,136.68901413841178,8.372169075636888,136.68901413841178,4.676806499508146,136.68901413841178,8.372169075636888,141.98698234895963,110.9,90.9,20.03,72.1,99.0,92.8,6.200000000000003,106.7,93.4,13.299999999999995,8.454287545831576,142.09146194233045,0,95.68223017930096,96.02179971861048,-0.3395695393095224,-2.586589153806892,102.1986816494488,102.20365188427743,-0.004970234828633124,0.9383216086781344,2021-11-22,0.2443337728067263,139.85857694370992,2.458311875720014,139.85857694370992,-11.26,-28.72,-14.306666666666668,-17.46,-14.41333333333333,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.23752526202697655,0.49071749749566784,-10.437777777777773,-9.426666666666662,-10.196666666666665,-9.573333333333332,-8.73,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
1.5,8,3.866666666666669,2.081481481481481,-0.0585274229902315,104.5,99.63333333333333,95.9,95.76666666666668,Tue 11-23 11-23,N,16 (I-A),Illinois,"L, 72-64",67,95.0,43.1,5.9,13.2,13.8,106.8,64.6,26.7,30.0,41.7,0.5,9.5,135.5,99.5125,94.525,97.24074074074076,94.48910593538692,95.6,95.3,95.15925925925929,94.54763335837714,20211123,99.3,93.1,6.200000000000003,109.7,87.7,22.0,103.6,94.5,9.11,68.3,8.622634988358357,132.31800902344605,68.88293029871977,10.610998340021084,133.45513677359997,10.702011681791465,133.45513677359997,10.610998340021084,133.45513677359997,10.702011681791465,120.03716587043591,108.8,87.1,21.67,70.9,99.3,93.1,6.200000000000003,109.7,87.7,22.0,10.706530717304116,120.26538303772237,0,98.83676607247205,98.67160119463466,0.16516487783738398,-4.837552514156108,93.97004363159311,99.15070119639309,-5.180657564799972,6.880941141695684,2021-11-23,-3.720895327645536,134.51470842472324,8.072041817020278,134.51470842472324,-1.1099999999999994,-29.83,-19.111111111111114,-28.72,-10.718888888888884,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.182795768782416,0.638469561393499,-7.028518518518519,-5.2433333333333305,-10.437777777777773,-7.4575,-9.573333333333332,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
25.5,26,10.800000000000002,10.187654320987654,4.752113926644357,98.4,98.86666666666667,72.0,88.06666666666666,Sun 11-28 11-28,H,343 (Ⅳ),North Dakota,"W, 84-42",70,119.2,68.1,17.0,16.0,17.2,59.6,31.9,24.1,23.9,22.4,-10.0,-16.5,136.0,98.95625,99.5125,97.62716049382718,95.2001775834984,83.8,95.6,87.43950617283951,90.44806365685402,20211128,99.2,94.3,4.900000000000006,97.2,110.5,-13.299999999999995,104.3,95.3,8.97,67.4,-19.594821733762494,136.2255711034877,65.48250355618777,-15.843707536796643,135.5141530137193,-10.845054175551459,135.5141530137193,-15.843707536796643,135.5141530137193,-10.845054175551459,139.06555909789958,96.6,111.5,-14.89,68.3,99.2,94.3,4.900000000000006,97.2,110.5,-13.299999999999995,-13.84950743485075,136.45436862994887,0,99.20117577911094,94.13457347214587,5.066602306965066,4.944394689259406,94.59648169836233,106.28520005906896,-11.68871836070663,-5.930673845744431,2021-11-28,-14.66280129633958,130.92354407275212,-8.945735475772942,130.92354407275212,17.03,-12.799999999999997,-22.684074074074076,-29.83,9.884074074074078,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.9419584331306725,0.9187115797102231,1.2176543209876538,1.8300000000000018,-7.028518518518519,-2.5599999999999996,-7.4575,1,-1.0,1,-1,-1,1,-3.0,-3.0
10.5,21,18.966666666666665,14.0917695473251,7.8699113945272,104.6,102.5,82.7,83.53333333333333,Wed 12-01 12-01,H,292 (Ⅳ),Albany,"W, 71-43",64,111.5,55.4,25.1,45.5,23.2,67.6,32.4,18.9,21.4,27.8,-16.0,-17.5,130.0,101.778125,98.95625,99.95144032921812,96.9092362046805,83.25,83.8,85.85967078189302,89.03932481015327,20211201,100.0,93.7,6.299999999999997,94.6,102.9,-8.300000000000011,104.9,95.2,9.72,68.0,-17.45918888169861,128.025869060761,65.67852062588905,-13.21631573198902,129.28080055670125,-17.09570538466853,129.28080055670125,-13.21631573198902,129.28080055670125,-17.09570538466853,118.19033188672908,91.4,103.2,-11.85,67.9,100.0,93.7,6.299999999999997,94.6,102.9,-8.300000000000011,-17.00523788501618,118.21436281183601,0,99.22891236583489,92.01198104902808,7.216931316806807,10.011988088989844,93.40310321043331,102.42135849787748,-9.018255287444163,-12.204743855610102,2021-12-01,-14.104534801045922,126.63608651538505,-16.410457076479076,126.63608651538505,11.28,-1.5199999999999978,-19.389382716049383,-12.799999999999997,17.869382716049387,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.9522096477271853,0.9104107983638328,4.3717695473250995,9.246666666666664,1.2176543209876538,-0.25333333333333385,-2.5599999999999996,1,1.0,1,-1,-1,1,1.0,-3.0
11.5,11,20.066666666666663,13.36117969821673,8.602654777340435,96.1,99.7,84.2,79.63333333333333,Sun 12-05 12-05,A,87 (Ⅱ),Wichita St.,"W, 65-59",71,92.0,38.7,9.9,25.0,40.3,83.5,39.8,19.8,15.8,37.0,-3.5,5.5,127.5,98.9390625,101.778125,98.6676268861454,96.76210234928404,83.725,83.25,85.30644718792868,88.15944757194359,20211205,100.1,92.9,7.199999999999989,101.2,90.9,10.299999999999995,104.7,94.4,10.3,67.3,5.504179587405183,126.9132798144609,65.2896159317212,5.493411950951199,123.95124231620021,4.475274782603247,123.95124231620021,5.493411950951199,123.95124231620021,4.475274782603247,111.59655118744895,105.0,91.8,13.19,68.2,100.1,92.9,7.199999999999989,101.2,90.9,10.299999999999995,3.74654382355973,111.41934089732769,0,98.37359480421972,90.62382267020334,7.749772134016382,8.639699650846719,95.01406936135275,92.92023609074457,2.0938332706081866,-1.8300948636916965,2021-12-05,-0.22378469821391178,118.77832471267965,-4.945335873926325,118.77832471267965,0.6999999999999993,-0.8199999999999985,-13.43292181069959,-1.5199999999999978,12.612921810699591,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.30020551430745246,0.5085019447102032,3.06117969821673,9.766666666666662,4.3717695473250995,-0.11714285714285744,-0.25333333333333385,1,1.0,1,-1,-1,1,1.0,1.0
-3.0,9,14.26666666666666,11.907453132144488,8.674899363278538,96.2,98.96666666666664,87.2,84.7,Wed 12-08 12-08,H,51 (Ⅱ),Marquette,"L, 64-63",70,90.5,43.8,15.8,21.4,15.6,92.0,50.0,15.8,17.9,4.8,-15.5,-2.0,142.5,97.56953125,98.9390625,97.84508459076362,96.65990192214149,85.4625,83.725,85.93763145861912,87.98500255886293,20211208,99.9,92.3,7.600000000000008,103.5,96.8,6.700000000000003,104.9,93.6,11.26,68.1,-5.209147133654241,145.09581835935103,72.94352773826458,-4.8884607589808695,143.40254877132094,-8.857602845982894,143.40254877132094,-4.8884607589808695,143.40254877132094,-8.857602845982894,132.7171746824808,105.9,96.0,9.89,75.3,99.9,92.3,7.600000000000008,103.5,96.8,6.700000000000003,-7.322382210328002,133.89538432347814,0,97.66331521815476,90.02987618010658,7.633439038048181,8.85424351543852,100.25421072235272,97.18490237313006,3.0693083492226663,-1.085629759004899,2021-12-08,-7.338503719674733,138.20882579079114,-9.372246808787636,138.20882579079114,-2.26,-3.0799999999999983,-9.228614540466394,-0.8199999999999985,6.148614540466395,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.5755320005597261,0.7576943350137249,0.6474531321444879,3.0066666666666606,3.06117969821673,-0.3849999999999998,-0.11714285714285744,1,1.0,1,-1,-1,1,1.0,1.0
0.0,6,9.1,10.071635421429662,8.261281297227894,125.0,105.76666666666668,118.6,96.66666666666669,Sun 12-12 12-12,H,337 (Ⅳ),Green Bay,"W, 82-64",61,134.4,65.7,13.1,27.3,33.3,104.9,52.3,19.7,23.1,52.3,20.0,-18.0,126.0,111.284765625,97.56953125,106.89672306050907,101.81264702720664,102.03125,85.4625,96.8250876390794,93.55136572997876,20211212,99.3,92.1,7.200000000000003,94.6,107.7,-13.100000000000009,103.5,93.0,10.49,67.3,-18.087935826959907,122.5740460770685,61.843243243243236,-16.044931571442355,123.66257343914486,-22.26063862154412,123.66257343914486,-16.044931571442355,123.66257343914486,-22.26063862154412,111.14978215543628,93.9,107.4,-13.55,64.6,99.3,92.1,7.200000000000003,94.6,107.7,-13.100000000000009,-17.873848449494474,113.65453364913532,0,99.50324168508077,93.28713612393302,6.216105561147742,7.892508732066929,95.07498196617205,104.91637492782785,-9.8413929616558,-11.057426757398842,2021-12-12,-13.411531535310317,122.96363412698356,-13.423463478658832,122.96363412698356,-4.49,-7.5699999999999985,-7.17907636031093,-3.0799999999999983,-0.39092363968906874,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.9567618672531671,0.8992498323343305,-0.4183645785703387,-1.3900000000000006,0.6474531321444879,-0.8411111111111111,-0.3849999999999998,-1,1.0,-1,-1,-1,-3,1.0,1.0
6.5,11,8.800000000000002,10.381090280953108,8.759230152277368,86.3,102.5,75.3,93.7,Sun 12-19 12-19,A,111 (Ⅲ),Nebraska,"W, 67-58",77,87.6,44.1,24.8,27.0,30.5,75.8,37.1,22.2,20.9,37.9,-12.0,-2.5,137.0,98.7923828125,111.284765625,100.03114870700608,98.9921657495327,88.665625,102.03125,89.65005842605295,90.23293559725532,20211219,99.8,92.8,7.0,100.5,99.2,1.2999999999999972,104.0,93.5,10.42,67.2,-0.6598498430709014,136.26401957257863,69.01621621621622,-0.2510566474118576,135.77355866410375,-8.06561606934299,135.77355866410375,-0.2510566474118576,135.77355866410375,-8.06561606934299,131.7402637070643,102.7,98.6,4.05,72.2,99.8,92.8,7.0,100.5,99.2,1.2999999999999972,-1.9418443109211296,134.11063354275143,0,98.20316225776392,90.7651814863488,7.437980771415127,9.054295375567662,96.56579985829,100.00900432279012,-3.4432044645001127,-6.79911924144823,2021-12-19,-3.7888516708296223,131.15088839589862,-8.987182734363927,131.15088839589862,0.5800000000000001,-6.989999999999998,-7.309384240207287,-7.5699999999999985,0.3193842402072882,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.5940963859982835,0.6408915980778642,-0.038909719046891666,-1.6199999999999974,-0.4183645785703387,-0.6990000000000016,-0.8411111111111111,-1,-1.0,1,-1,-1,-1,-3.0,1.0
