ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
8.5,30,,30.0,30.0,119.6,0.0,89.6,0.0,Tue 11-09 11-09,N,28 (I),Michigan St.,"W, 87-74",77,113.0,53.1,11.7,20.6,37.5,96.1,51.6,20.8,30.3,25.4,20.0,-4.5,141.0,119.6,0.0,119.6,119.6,89.6,0.0,89.6,89.6,20211109,113.3,92.2,21.099999999999994,108.3,93.4,14.899999999999991,114.7,87.8,26.95,72.6,-6.0064458572004895,146.31774518757567,74.56216216216217,-4.547716251176553,156.68564567433106,-13.920941153691002,156.68564567433106,-4.547716251176553,156.68564567433106,-13.920941153691002,154.8486210246067,107.7,89.5,18.21,72.2,113.3,92.2,21.099999999999994,108.3,93.4,14.899999999999991,-13.920941153691002,154.8486210246067,0,95.38294294733092,91.67292285567228,3.7100200916586346,2.773908980547548,0.0,0.0,0.0,0.0,2021-11-09,-0.0,0.0,,0.0,3.0500000000000007,3.0500000000000007,0.0,0.0,3.0500000000000007,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,-3,0.6658824291023754,0.5,3.0500000000000007,,0.0,3.0500000000000007,0.0,1,0.0,1,1,1,3,0.0,0.0
-0.5,23,,27.76666666666667,28.78181818181818,126.6,0.0,103.3,0.0,Fri 11-12 11-12,H,212 (Ⅳ),Tarleton St.,"W, 88-62",66,133.0,66.4,19.7,46.4,29.3,93.7,42.7,13.6,26.3,17.7,16.5,-26.5,133.5,123.1,119.6,121.93333333333334,120.87272727272726,96.45,89.6,94.16666666666666,92.09090909090908,20211112,111.5,89.7,21.8,97.4,98.1,-0.6999999999999886,114.1,87.2,26.95,72.5,-24.74070294303462,136.416032318018,69.09672830725462,-19.47342577798605,139.64971221357234,-27.028255297904245,139.64971221357234,-19.47342577798605,139.64971221357234,-27.028255297904245,136.14757121589378,95.8,99.9,-4.09,67.0,111.5,89.7,21.8,97.4,98.1,-0.6999999999999886,-27.028255297904245,136.14757121589378,0,97.03491917505528,107.39959562661072,-10.36467645155544,-9.613467399827066,100.25544773707426,103.40423448823296,-3.1487867511586956,1.392798754820165,2021-11-12,1.0702196907927828,147.0376062089452,5.749784412148308,147.0376062089452,-3.9499999999999993,-0.8999999999999986,3.0500000000000007,3.0500000000000007,-3.9499999999999993,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.9941954594266154,0.45940783128897167,0.81666666666667,,3.0500000000000007,-0.4499999999999993,3.0500000000000007,1,1.0,-1,-1,1,-1,3.0,0.0
2.5,16,23.16666666666666,23.91111111111111,26.494214876033052,108.1,118.09999999999998,91.9,94.93333333333334,Thu 11-18 11-18,H,242 (Ⅳ),Stony Brook,"W, 88-59",69,127.1,57.1,10.1,32.4,14.3,85.2,45.5,20.2,17.1,17.9,2.0,-26.5,145.0,115.6,123.1,117.32222222222224,118.55041322314048,94.175,96.45,93.41111111111113,92.05619834710744,20211118,112.6,90.6,22.0,97.6,98.0,-0.4000000000000057,115.1,87.8,27.25,71.6,-25.379629053386786,142.90429739289843,70.88705547652916,-19.938676545990653,144.63285691583351,-32.40568342086552,144.63285691583351,-19.938676545990653,144.63285691583351,-32.40568342086552,138.41712737992447,97.6,100.8,-3.23,69.6,112.6,90.6,22.0,97.6,98.0,-0.4000000000000057,-32.37978275653218,138.50424296732814,0,112.87723508518286,101.91240463099868,10.964830454184181,9.055438640320387,91.4769563084798,99.60607137972217,-8.129115071242367,-2.385732350544934,2021-11-18,-18.108211186712964,149.5722360779789,-10.161338198370643,149.5722360779789,-11.25,-12.149999999999999,1.7333333333333347,-0.8999999999999986,-13.883333333333333,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.9941954594266154,0.9576994455766443,-3.3388888888888886,-4.083333333333339,0.81666666666667,-4.050000000000001,-0.4499999999999993,-1,1.0,-1,-1,-1,-3,-1.0,3.0
-2.5,36,25.399999999999995,28.17407407407408,28.34981217129977,116.0,116.9,79.3,91.5,Thu 11-25 11-25,N,37 (I),North Texas,"W, 71-59",69,102.7,56.9,21.7,17.9,37.3,85.4,43.1,15.9,17.6,19.0,0.0,-14.5,130.0,115.8,115.6,116.8814814814815,118.08670172802402,86.7375,94.175,88.7074074074074,89.73688955672425,20211125,114.1,91.8,22.3,98.7,92.6,6.1000000000000085,116.3,88.8,27.5,70.2,-13.71175117301118,126.07127934268911,63.70924608819346,-9.840041329624981,128.32146175976447,2.364566025105027,128.32146175976447,-9.840041329624981,128.32146175976447,2.364566025105027,121.51681346806411,99.8,94.8,5.0,63.8,114.1,91.8,22.3,98.7,92.6,6.1000000000000085,2.638746486825839,121.12650968805622,0,115.3109425891529,98.92285597936096,16.38808660979194,14.363083793159497,92.69112785592672,89.8512924466649,2.8398354092618234,5.0138783020907525,2021-11-25,-7.790737541432421,127.69240731215181,-5.956308333595885,127.69240731215181,8.5,-3.6499999999999986,-2.894444444444442,-12.149999999999999,-0.7555555555555564,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.9163531986724158,0.7709487598292615,0.6740740740740812,-2.100000000000005,-3.3388888888888886,-0.9125000000000014,-4.050000000000001,1,-1.0,-1,-1,-1,-1,-3.0,-1.0
-17.0,18,23.86666666666666,25.016049382716048,26.595300867427085,121.1,115.06666666666666,102.4,91.2,Fri 11-26 11-26,N,34 (Ⅱ),Dayton,"L, 74-73",67,108.5,53.3,10.4,35.3,33.3,110.0,57.3,29.7,51.9,34.5,7.5,-16.0,139.5,118.45,115.8,118.28765432098768,118.63457414111056,94.56875,86.7375,93.2716049382716,92.03927327368348,20211126,114.4,92.1,22.30000000000001,98.6,99.9,-1.3000000000000114,116.1,88.8,27.25,70.7,-14.787068687289029,134.28728549797242,65.9732574679943,-15.87733551304644,138.71698316723635,-23.399436827149824,138.71698316723635,-15.87733551304644,138.71698316723635,-23.399436827149824,140.37728742430616,102.5,97.8,4.77,65.6,114.4,92.1,22.30000000000001,98.6,99.9,-1.3000000000000114,-23.23731510922995,139.99810061282614,0,112.97007726620282,100.40794253753148,12.562134728671339,11.064939156136688,97.77383981269809,103.1799368362545,-5.406097023556413,-20.081233412123087,2021-11-26,-12.437924850499215,145.2362984688773,-20.548144619883836,145.2362984688773,-9.25,-12.899999999999999,-3.1462962962962946,-3.6499999999999986,-9.753703703703703,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,3,0.9362218501099964,0.8819051147816329,-2.233950617283952,-3.38333333333334,0.6740740740740812,-2.5799999999999983,-0.9125000000000014,-1,1.0,-1,-1,-1,-3,-1.0,-3.0
-0.5,34,29.86666666666666,28.077366255144028,27.977973436985792,139.6,125.56666666666666,105.4,95.7,Sun 11-28 11-28,N,86 (Ⅱ),Iona,"W, 96-83",73,131.2,59.2,12.3,51.6,26.8,113.4,63.0,24.6,25.9,52.0,33.0,-13.5,146.0,129.02499999999998,118.45,125.39176954732513,122.44646975181772,99.984375,94.56875,97.31440329218108,94.46849631483192,20211128,114.5,92.8,21.700000000000003,101.2,95.1,6.1000000000000085,115.7,90.1,25.65,71.0,-14.518890357600348,140.10673510258098,70.39402560455193,-10.787718289066746,146.08689367246274,-9.665656283592,146.08689367246274,-10.787718289066746,146.08689367246274,-9.665656283592,139.61083578082588,99.5,95.4,4.08,69.7,114.5,92.8,21.700000000000003,101.2,95.1,6.1000000000000085,-11.73293900388626,141.37944682084074,0,114.85425367901269,102.74916845754724,12.105085221465444,11.354284178135297,104.58294342853976,90.4104098526566,14.172533575883165,15.148812731728542,2021-11-28,2.6061152195327963,152.20631830498291,2.671121401588451,152.20631830498291,8.350000000000001,-4.549999999999997,-6.397530864197529,-12.899999999999999,1.847530864197532,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.900728603156669,0.4019892724567389,2.4273662551440296,4.2166666666666615,-2.233950617283952,-0.7583333333333329,-2.5799999999999983,1,-1.0,1,-1,-1,1,-3.0,-1.0
13.0,38,30.56666666666666,31.65157750342935,29.9456146302611,132.6,131.1,93.8,100.53333333333336,Fri 12-03 12-03,A,63 (I),St. John's,"W, 95-75",76,125.6,55.0,17.2,48.7,35.7,99.2,53.6,22.5,24.3,47.3,12.5,-7.0,157.5,130.8125,129.02499999999998,127.79451303155008,124.29256616057812,96.8921875,99.984375,96.14293552812072,94.34695153031704,20211203,117.8,94.7,23.099999999999994,106.0,96.3,9.700000000000005,117.5,91.8,25.7,71.5,-5.620380598941907,155.6915004638372,73.83926031294452,-5.3388608925012875,161.1109974512631,-10.507752837254948,161.1109974512631,-5.3388608925012875,161.1109974512631,-10.507752837254948,167.27372842241112,108.2,96.1,12.02,72.6,117.8,94.7,23.099999999999994,106.0,96.3,9.700000000000005,-7.209736567667361,164.40978766510636,0,114.34889268323997,101.82023427945832,12.528658403781648,9.863894577560194,103.32883106619734,101.8687227887631,1.4601082774342444,-3.076736963499452,2021-12-03,-3.8265526175886038,167.0902173483115,-7.417605103280621,167.0902173483115,12.3,7.7500000000000036,-5.781687242798353,-4.549999999999997,13.531687242798355,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,-3,0.7475074624530771,0.6422328690915708,5.951577503429352,4.86666666666666,2.4273662551440296,1.1071428571428577,-0.7583333333333329,1,1.0,1,1,-1,3,1.0,-3.0
8.0,36,36.53333333333333,33.30105166895291,31.15550287930453,113.7,128.63333333333333,77.1,92.1,Tue 12-07 12-07,H,175 (Ⅳ),UTEP,"W, 78-52",70,111.2,58.9,22.8,33.3,28.6,74.1,33.6,20.0,26.2,19.7,-11.0,-18.0,141.0,122.25625,130.8125,123.0963420210334,122.366645040473,86.99609375,96.8921875,89.79529035208049,91.21114216116848,20211207,119.4,95.1,24.30000000000001,98.2,96.7,1.5,118.4,92.1,26.39,71.4,-21.65940886667284,144.00043427297717,69.77496443812235,-19.942491777547303,149.62540394864746,-24.840235289620736,149.62540394864746,-19.942491777547303,149.62540394864746,-24.840235289620736,147.37860212488346,98.4,98.0,0.45,68.7,119.4,95.1,24.30000000000001,98.2,96.7,1.5,-24.37469310652901,147.7116776821472,0,113.84305852129452,100.06337233689013,13.779686184404397,13.027832459412164,89.87307519982025,96.78776599827587,-6.914690798455624,-10.862682850906769,2021-12-07,-18.471052520386287,143.35179939088536,-18.644447819297774,143.35179939088536,9.61,17.360000000000003,-1.2711248285322347,7.7500000000000036,18.631124828532236,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.9567618672531671,0.9607238011153573,6.911051668952908,10.14333333333333,5.951577503429352,2.1700000000000017,1.1071428571428577,1,1.0,1,1,1,3,3.0,1.0
14.0,43,39.56666666666666,36.6340344459686,33.36359326488552,137.7,128.0,94.4,88.43333333333334,Sat 12-11 12-11,H,143 (Ⅲ),Missouri,"W, 102-65",72,141.4,67.8,15.2,46.4,54.2,90.1,48.2,27.7,32.4,30.9,25.0,-23.0,142.0,129.97812499999998,122.25625,127.96422801402228,125.15452776038698,90.698046875,86.99609375,91.33019356805366,91.79093449550146,20211211,119.6,94.0,25.599999999999994,93.6,98.8,-5.200000000000003,118.6,91.9,26.75,71.3,-20.257245008441842,142.22329933704242,68.4601706970128,-25.210636341240225,145.15094360942118,-31.679892999186816,145.15094360942118,-25.210636341240225,145.15094360942118,-31.679892999186816,139.84945237131282,100.2,97.8,2.4,67.5,119.6,94.0,25.599999999999994,93.6,98.8,-5.200000000000003,-29.46882570704684,139.47924148775908,0,115.82747424375604,99.64552461372976,16.18194963002628,16.503486473536306,89.62856965595255,102.70583680501156,-13.077267149059011,-11.061433155130157,2021-12-11,-24.880613606783115,146.62970211575634,-20.84003475567266,146.62970211575634,16.25,33.61,4.939250114311844,17.360000000000003,28.670749885688156,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,3,0.9857551401446322,0.9910959031357078,9.884034445968602,12.816666666666663,6.911051668952908,3.7344444444444456,2.1700000000000017,1,1.0,1,1,1,3,3.0,3.0
-16.0,11,30.433333333333326,28.222689630645736,29.370212671269968,115.3,122.23333333333332,103.9,91.8,Sat 12-18 12-18,H,130 (Ⅲ),Stephen F. Austin,"W, 80-72",72,110.6,54.6,20.7,28.1,50.0,99.5,59.5,27.6,29.6,6.9,1.5,-24.0,150.5,122.6390625,129.97812499999998,123.74281867601483,123.36279544031662,97.2990234375,90.698046875,95.52012904536912,93.99258276904663,20211218,120.2,93.3,26.90000000000001,101.4,99.8,1.6000000000000083,118.5,91.8,26.69,71.6,-21.36716140827324,148.7211033962417,70.78520625889047,-22.716379957203387,155.93976967160023,-28.089525767013292,155.93976967160023,-22.716379957203387,155.93976967160023,-28.089525767013292,157.81950080963068,101.3,99.1,2.29,69.5,120.2,93.3,26.90000000000001,101.4,99.8,1.6000000000000083,-23.94553470744976,152.93540785188563,0,115.42147456061268,98.73415624278398,16.687318317828698,15.187403847268346,98.04992415883588,99.64161577810304,-1.5916916192671664,-5.644259884532048,2021-12-18,-17.478218187865693,153.80323567423193,-16.8222937928888,153.80323567423193,-15.690000000000001,17.919999999999998,14.496166742874562,33.61,3.4238332571254357,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.9888645105203836,0.952002929548296,1.5326896306457343,3.743333333333325,9.884034445968602,1.7920000000000016,3.7344444444444456,1,1.0,1,1,1,3,3.0,3.0
