ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-13.5,-24,,-24.0,-24.0,102.4,0.0,126.4,0.0,Tue 11-09 11-09,A,23 (I-A),San Francisco,"L, 98-64",72,89.4,49.1,25.1,21.9,15.8,136.9,62.9,16.8,48.4,40.3,10.0,20.5,152.0,102.4,0.0,102.4,102.4,126.4,0.0,126.4,126.4,20211109,99.0,101.3,-2.299999999999997,106.9,95.7,11.200000000000005,94.3,102.3,-7.96,74.5,23.216231589054743,147.85554986977513,74.5,14.641012065868637,154.8662970517791,56.93766258203382,154.8662970517791,14.641012065868637,154.8662970517791,56.93766258203382,197.59645798689752,109.7,91.7,18.05,70.3,99.0,101.3,-2.299999999999997,106.9,95.7,11.200000000000005,56.93766258203382,197.59645798689752,0,0.0,0.0,0.0,0.0,99.41983185519908,97.87704316855783,1.542788686641245,3.4400109088634974,2021-11-09,-0.0,0.0,,0.0,-16.04,-16.04,0.0,0.0,-16.04,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.025446496381253736,0.5,-16.04,,0.0,-16.04,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-13.0,-15,,-21.23333333333333,-22.49090909090909,90.2,0.0,105.9,0.0,Fri 11-12 11-12,A,46 (I),Fresno St.,"L, 84-60",75,79.6,43.8,21.2,22.0,9.2,111.5,55.9,23.9,38.2,42.4,2.5,11.0,141.5,96.3,102.4,98.33333333333334,100.1818181818182,116.15,126.4,119.56666666666668,122.67272727272729,20211112,96.5,100.6,-4.099999999999994,102.9,98.5,4.400000000000006,93.7,101.6,-7.97,74.4,12.837088201454733,141.99058525042892,73.44751066856332,10.530007360459251,149.27784478549583,41.07835648230451,149.27784478549583,10.530007360459251,149.27784478549583,41.07835648230451,163.889350932192,101.4,97.0,4.44,69.4,96.5,100.6,-4.099999999999994,102.9,98.5,4.400000000000006,41.07835648230451,163.889350932192,0,103.06087152301868,104.06377322370018,-1.0029017006815053,-3.835126736597192,90.07146150458333,99.91555066368682,-9.84408915910349,-3.9262134407083935,2021-11-12,-2.804793522975345,147.50579522402165,1.909822225833551,147.50579522402165,-7.03,-23.07,-16.04,-16.04,-7.030000000000001,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.14740707903152717,0.6053128444789536,-13.263333333333332,,-16.04,-11.535,-16.04,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-23.5,-28,-22.63333333333333,-23.555555555555557,-23.528925619834705,70.9,87.83333333333333,99.1,110.46666666666664,Wed 11-17 11-17,A,24 (I-A),Connecticut,"L, 93-40",76,52.4,29.4,34.1,22.0,33.3,121.9,51.6,15.7,43.2,62.9,-15.5,29.5,148.5,83.60000000000001,96.3,89.1888888888889,94.85785123966942,107.625,116.15,112.74444444444444,118.38677685950414,20211117,95.4,100.9,-5.5,108.3,90.5,17.799999999999997,93.6,102.5,-8.93,73.8,24.448894679419297,143.32033411124058,73.59004267425318,21.375302166796317,147.63923376077713,43.51720460361052,147.63923376077713,21.375302166796317,147.63923376077713,43.51720460361052,157.22423280969159,108.7,89.2,19.52,70.1,95.4,100.9,-5.5,108.3,90.5,17.799999999999997,43.632328509252076,157.2708291198824,0,104.65527825571084,99.1458119496492,5.50946630606164,7.993184675137287,96.42298505786408,98.11125329931248,-1.688268241448398,-0.7736410580143137,2021-11-17,-1.1499151775912253,149.0128699045072,-4.316609490122403,149.0128699045072,-19.07,-42.14,-18.383333333333333,-23.07,-23.756666666666668,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.002480742455709284,0.5436032774382893,-14.625555555555557,-13.70333333333333,-13.263333333333332,-14.046666666666665,-11.535,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
9.0,-4,-16.099999999999998,-17.17037037037037,-20.05093914350112,80.1,80.39999999999999,84.5,96.5,Tue 11-23 11-23,A,161 (Ⅲ),Saint Peter's,"L, 64-62",81,76.3,41.3,28.3,18.2,80.4,78.8,44.6,28.3,20.0,41.1,-11.0,11.0,137.0,81.85,83.60000000000001,86.15925925925927,92.17460555972951,96.0625,107.625,103.32962962962964,112.22554470323064,20211123,94.8,101.5,-6.700000000000003,95.2,94.5,0.7000000000000028,93.6,103.3,-9.66,73.3,10.035939524650779,134.65436207240265,72.3615931721195,9.069430122141483,137.95568236529067,12.820842255150218,137.95568236529067,9.069430122141483,137.95568236529067,12.820842255150218,135.48491258021497,94.6,95.1,-0.51,69.4,94.8,101.5,-6.700000000000003,95.2,94.5,0.7000000000000028,12.7806139054702,135.69384763199434,0,86.22879083203208,104.3799488090651,-18.151157977033023,-10.676732732390922,88.25267265245468,101.20057687566202,-12.947904223207345,-13.12249831064982,2021-11-23,7.308680439248583,132.85434902911618,0.015228632699496814,132.85434902911618,5.66,-36.480000000000004,-26.302222222222223,-42.14,-10.17777777777778,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.14740707903152717,0.24319412353391823,-7.510370370370371,-6.439999999999998,-14.625555555555557,-9.120000000000001,-14.046666666666665,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
21.0,10,-7.533333333333331,-8.113580246913582,-14.587132026500916,119.2,90.06666666666668,109.2,97.6,Sat 11-27 11-27,H,357 (Ⅳ),Delaware St.,"W, 99-65",75,132.8,55.0,12.1,46.7,18.8,87.2,39.0,14.8,30.4,27.9,18.0,-13.0,146.0,100.525,81.85,97.17283950617286,97.08831363977868,102.63125,96.0625,105.28641975308642,111.67544566627964,20211127,93.9,100.8,-6.899999999999992,95.3,109.3,-14.0,93.5,102.4,-8.88,74.0,-12.955866431522395,142.33236814004084,73.78947368421052,-9.151334293517678,150.00887049019326,0.20093831352113747,150.00887049019326,-9.151334293517678,150.00887049019326,0.20093831352113747,125.78034358693212,88.5,110.0,-21.49,70.1,93.9,100.8,-6.899999999999992,95.3,109.3,-14.0,0.13924932416420924,125.6280667643063,0,90.70505920864156,104.14604804176004,-13.440988833118482,-3.856080799179912,91.72291565666596,105.55746082492917,-13.834545168263205,-11.302379588509408,2021-11-27,-4.204858568155657,144.275559247112,-7.404095074815984,144.275559247112,18.880000000000003,-17.6,-29.69481481481482,-36.480000000000004,12.094814814814818,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.8921596253194927,0.6555921320804823,0.766419753086419,1.3466666666666693,-7.510370370370371,-3.5199999999999996,-9.120000000000001,1,-1.0,1,-1,-1,1,-3.0,-3.0
2.5,-7,-0.733333333333339,-8.009053497942393,-13.353108021682567,94.1,97.8,101.9,98.53333333333336,Tue 11-30 11-30,A,128 (Ⅲ),Delaware,"L, 75-67",69,96.5,50.0,23.0,31.3,17.2,108.0,50.8,15.8,30.8,23.4,-9.0,10.5,151.0,97.3125,100.525,96.1485596707819,96.54498388709165,102.265625,102.63125,104.1576131687243,109.89809190877423,20211130,95.9,101.3,-5.399999999999992,106.5,106.1,0.4000000000000057,95.1,102.9,-7.84,74.2,11.60603797231613,152.17344702858702,73.03897581792319,8.964033287146009,156.68381347428917,16.04399854721539,156.68381347428917,8.964033287146009,156.68381347428917,16.04399854721539,159.90875974530263,106.5,104.6,1.89,69.2,95.9,101.3,-5.399999999999992,106.5,106.1,0.4000000000000057,16.374940209895023,159.44920690874136,0,89.8687042805118,101.88704460747262,-12.01834032696081,-4.362593894163679,109.4640595085746,111.38453560234744,-1.9204760937728338,-2.933030394494037,2021-11-30,12.960256605149553,158.2844898598966,3.0146287720879883,158.2844898598966,0.8399999999999999,-16.76,-25.663209876543217,-17.6,8.903209876543215,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,-3,0.15865525393145707,0.10854367704954704,-0.169053497942393,7.106666666666661,0.766419753086419,-2.793333333333333,-3.5199999999999996,-1,1.0,1,-1,-1,-1,1.0,-3.0
1.5,0,0.8333333333333286,-5.239368998628263,-10.870724745013009,97.2,103.5,96.9,102.66666666666669,Thu 12-02 12-02,A,82 (Ⅱ),Towson,"L, 72-63",68,92.8,43.1,17.7,27.8,32.8,106.1,50.8,16.2,40.6,19.0,-7.5,10.5,142.5,97.25625,97.3125,96.49903978052129,96.66407772580224,99.5828125,102.265625,101.73840877914954,107.53480247081528,20211202,95.3,101.3,-6.0,103.1,102.7,0.3999999999999915,95.2,102.9,-7.69,73.7,8.37857154365986,139.71454858549066,69.29687055476529,8.678540534745537,143.68407601130497,18.282900900448404,143.68407601130497,8.678540534745537,143.68407601130497,18.282900900448404,134.26712936028449,101.5,102.9,-1.4,66.1,95.3,101.3,-6.0,103.1,102.7,0.3999999999999915,17.52994420619029,138.94765596083016,0,93.7305403495065,102.52117416971272,-8.790633820206224,-2.6309012591710417,101.96277626065783,95.8359484555928,6.126827805065034,4.758063289696607,2021-12-02,14.295464595872197,138.20302248193153,7.081270368362723,138.20302248193153,7.69,-9.07,-22.69547325102881,-16.76,13.625473251028811,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,-3,0.15865525393145707,0.08668215884246222,2.450631001371737,8.52333333333333,-0.169053497942393,-1.2957142857142845,-2.793333333333333,1,-1.0,1,-1,-1,1,-1.0,1.0
-8.0,-15,-7.666666666666671,-8.659579332418842,-11.712411155010644,96.9,96.06666666666666,112.4,103.73333333333336,Thu 12-09 12-09,A,181 (Ⅲ),Fordham,"L, 73-57",66,86.2,48.1,24.2,21.2,23.1,110.4,49.2,9.1,28.2,25.4,-14.5,8.0,144.5,97.078125,97.25625,96.6326931870142,96.70697268474729,105.99140625,99.5828125,105.29227251943304,108.41938383975796,20211209,95.7,101.8,-6.099999999999994,95.1,97.1,-2.0,95.6,103.4,-7.78,73.4,6.680663390286128,140.3742956442434,73.08677098150783,6.87397637199885,141.8673216895755,5.630077879620661,141.8673216895755,6.87397637199885,141.8673216895755,5.630077879620661,134.84071807747605,95.1,98.9,-3.79,70.0,95.7,101.8,-6.099999999999994,95.1,97.1,-2.0,9.748847019082694,137.72736293286536,0,93.5230527596225,102.96995417474946,-9.446901415126959,-2.930854289245126,96.05423183025496,96.08812875791568,-0.033896927660720166,5.963312310264945,2021-12-09,10.706269923351655,141.25408350509633,8.57791731986498,141.25408350509633,-7.22,-16.29,-18.153648834019208,-9.07,1.8636488340192088,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.22305842386064167,0.15394848566898833,-0.8795793324188415,0.11333333333332885,2.450631001371737,-2.036249999999999,-1.2957142857142845,-1,1.0,1,-1,-1,-1,1.0,-1.0
24.0,23,2.799999999999997,2.093613778387436,-5.291972763190526,114.3,102.8,90.7,100.0,Sun 12-19 12-19,H,279 (Ⅳ),Army,"W, 90-65",76,119.1,54.5,13.2,36.4,13.0,86.0,44.4,23.8,35.6,38.7,13.0,-1.0,142.0,105.6890625,97.078125,102.52179545800946,99.90570492388412,98.345703125,105.99140625,100.42818167962204,105.19767768707467,20211219,95.0,101.5,-6.5,92.4,100.3,-7.899999999999991,94.4,103.1,-8.72,72.4,-2.048904433907069,141.48851092327718,73.4298719772404,-5.0986704157317035,141.96579642840868,-9.718804643236956,141.96579642840868,-5.0986704157317035,141.96579642840868,-9.718804643236956,139.12759342115768,95.2,101.2,-6.05,71.3,95.0,101.5,-6.5,92.4,100.3,-7.899999999999991,0.45871273954508923,138.63224238223452,0,95.1856639118878,102.35982514387794,-7.174161231990141,0.7598486246170157,93.67707233197594,100.5162286797746,-6.839156347798664,-4.487639530344216,2021-12-19,-3.867655982441832,143.80189136689273,-5.870937880316447,143.80189136689273,31.72,15.43,-17.532432556012807,-16.29,32.96243255601281,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.5379371440662541,0.6436931875064609,10.813613778387436,11.519999999999998,-0.8795793324188415,1.714444444444445,-2.036249999999999,1,-1.0,1,1,-1,3,-1.0,1.0
-3.0,-14,-2.1666666666666665,-3.470924147741707,-6.984341351701338,82.2,97.8,96.8,99.96666666666668,Wed 12-29 12-29,A,331 (Ⅳ),Sacred Heart,"L, 69-65",72,90.4,40.7,15.3,31.1,14.3,95.9,43.8,19.5,34.1,26.2,-13.5,1.0,147.5,93.94453125,105.6890625,95.74786363867298,96.68648584681428,97.5728515625,98.345703125,99.21878778641472,103.67082719851564,20211229,96.4,101.3,-4.899999999999992,99.2,110.1,-10.899999999999991,95.9,102.8,-6.93,72.3,1.9925385694348847,143.36883267655134,69.52318634423897,0.09794137988006923,146.9665466442116,-6.079162394598243,146.9665466442116,0.09794137988006923,146.9665466442116,-6.079162394598243,152.54331282295124,99.4,109.6,-10.22,67.6,96.4,101.3,-4.899999999999992,99.2,110.1,-10.899999999999991,-0.7040481165036776,144.97061759223854,0,94.95241006641608,101.32437496532808,-6.3719648989119975,1.3512652847116975,98.93243580606229,104.49463375718,-5.56219795111771,-8.297751493404762,2021-12-29,4.702495891591596,142.00061834088314,-4.8292665571155595,142.00061834088314,-7.07,8.36,-6.5449550373418734,15.43,14.904955037341873,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,3,0.46206285593374585,0.327128291277609,3.4590758522582927,4.763333333333334,10.813613778387436,0.8360000000000003,1.714444444444445,1,1.0,1,1,1,3,3.0,-1.0
