ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
42.0,51,,51.8,51.8,116.6,0.0,64.8,0.0,Tue 11-09 11-09,H,264 (Ⅳ),Louisiana Monroe,"W, 101-39",75,135.5,61.1,16.1,47.2,26.4,52.3,30.9,33.5,18.9,36.2,-7.0,-20.0,147.0,116.6,0.0,116.6,116.6,64.8,0.0,64.8,64.8,20211109,112.0,99.6,12.400000000000006,97.7,104.9,-7.200000000000003,109.9,92.8,17.09,73.3,-22.259233274766686,146.93389116348345,73.40426742532007,-19.655436548120463,161.61595963475358,-70.70441084911043,161.61595963475358,-19.655436548120463,161.61595963475358,-70.70441084911043,137.69988386053643,94.6,102.5,-7.88,70.4,112.0,99.6,12.400000000000006,97.7,104.9,-7.200000000000003,-70.70441084911043,137.69988386053643,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-09,0.0,0.0,,0.0,33.91,33.91,0.0,0.0,33.91,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,-3,0.9715944860326362,0.5,34.709999999999994,,0.0,33.91,0.0,1,0.0,1,1,1,3,0.0,0.0
11.5,20,,41.2,46.018181818181816,116.8,0.0,96.8,0.0,Fri 11-12 11-12,H,126 (Ⅲ),Texas St.,"W, 84-59",66,126.8,63.5,19.6,33.3,44.2,89.1,46.0,24.2,27.3,36.0,5.5,-13.5,137.5,116.7,116.6,116.66666666666666,116.63636363636364,80.8,64.8,75.46666666666667,70.61818181818181,20211112,109.9,95.5,14.400000000000006,97.4,94.8,2.6000000000000085,109.3,92.2,17.09,73.3,-14.254738486457818,137.01144218938367,69.44210526315788,-11.865823220695106,140.43425190637907,-32.320126245589805,140.43425190637907,-11.865823220695106,140.43425190637907,-32.320126245589805,130.87136221467975,99.1,97.4,1.63,66.6,109.9,95.5,14.400000000000006,97.4,94.8,2.6000000000000085,-32.320126245589805,130.87136221467975,0,94.96892955464784,93.84673813556633,1.122191419081517,3.52980160227596,94.33546574971892,94.5406036397424,-0.20513789002347949,-0.2872621716284405,2021-11-12,-4.440433385285431,126.80796172479496,-4.626552018229816,126.80796172479496,2.91,36.81999999999999,33.91,33.91,2.9099999999999966,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.900728603156669,0.6638153113214137,24.110000000000003,,34.709999999999994,18.41,33.91,1,1.0,1,1,1,3,3.0,0.0
8.5,12,28.166666666666668,31.700000000000006,39.9603305785124,99.3,110.9,86.6,82.73333333333333,Mon 11-15 11-15,H,114 (Ⅲ),Liberty,"W, 74-58",71,104.4,52.5,19.8,23.5,23.7,81.8,46.0,29.6,25.7,34.0,-8.0,-7.5,140.0,108.0,116.7,110.87777777777778,113.48429752066112,83.69999999999999,80.8,79.17777777777778,73.52396694214875,20211115,110.9,95.9,15.0,104.1,96.1,8.0,110.5,92.6,17.88,72.4,-10.247340682734233,138.09752424795076,68.4864864864865,-8.783606553455414,144.92586897489377,-22.31154217424536,144.92586897489377,-8.783606553455414,144.92586897489377,-22.31154217424536,131.0854562835945,104.2,95.8,8.42,66.5,110.9,95.9,15.0,104.1,96.1,8.0,-22.183465928444228,131.21610887214663,0,106.12572286887163,101.08360188404605,5.042120984825587,12.612533000390084,107.8411157773662,107.9311343198748,-0.0900185425086022,3.7777700703517136,2021-11-15,-8.271510978014277,156.92965556532513,-8.125392339582405,156.92965556532513,-5.879999999999999,30.939999999999994,34.879999999999995,36.81999999999999,-3.9400000000000013,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,3,0.7624747379730235,0.7845823118565916,13.820000000000007,10.286666666666669,24.110000000000003,10.313333333333333,18.41,1,1.0,-1,1,1,1,3.0,3.0
11.5,30,20.966666666666665,31.200000000000003,38.18572501878287,97.6,104.56666666666666,67.4,83.6,Thu 11-18 11-18,H,302 (Ⅳ),McNeese St.,"W, 85-46",77,110.3,49.3,19.5,43.5,23.0,59.7,32.2,35.0,37.5,32.2,-21.5,-27.5,152.5,102.8,108.0,106.45185185185186,110.59624342599548,75.55,83.69999999999999,75.25185185185185,72.4105184072126,20211118,109.8,94.6,15.200000000000005,93.2,106.6,-13.399999999999991,110.0,91.6,18.34,72.7,-29.972564364094474,150.53882847750805,76.52631578947368,-27.05934987336329,161.00852228858236,-25.63518274376377,161.00852228858236,-27.05934987336329,161.00852228858236,-25.63518274376377,133.73495922686448,88.9,104.8,-15.92,74.0,109.8,94.6,15.200000000000005,93.2,106.6,-13.399999999999991,-25.743475237625873,133.6628117906413,0,109.67441670887084,82.37636778310926,27.298048925761577,42.2041758920267,92.8079900059671,91.97790691717258,0.8300830887945239,-6.354414942831593,2021-11-18,-22.967466906243644,139.11794231088055,-39.68692042513986,139.11794231088055,11.66,42.599999999999994,33.56666666666666,30.939999999999994,9.033333333333331,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,-3,0.995591218107113,0.9856425223035216,12.860000000000003,2.626666666666665,13.820000000000007,10.649999999999999,10.313333333333333,1,1.0,1,1,1,3,1.0,3.0
23.5,36,26.5,33.0,37.89741137900416,111.3,102.73333333333332,74.7,76.23333333333333,Mon 11-22 11-22,H,90 (Ⅱ),Belmont,"W, 83-53",73,113.3,59.3,16.4,17.2,25.4,72.4,40.3,21.8,15.9,8.1,-22.0,-6.5,158.0,107.05,102.8,108.06790123456793,110.72419916672357,75.125,75.55,75.0679012345679,72.8267877877194,20211122,109.4,93.9,15.5,108.9,97.5,11.400000000000006,110.2,91.8,18.44,72.1,-9.521089922741353,154.7894642418089,74.35633001422475,-7.794106764329001,158.85647263290082,-17.76823603171641,158.85647263290082,-7.794106764329001,158.85647263290082,-17.76823603171641,147.566497344436,110.0,98.0,11.98,72.5,109.4,93.9,15.5,108.9,97.5,11.400000000000006,-18.116377337333244,148.01292474624123,0,109.3152959042997,78.70894917304588,30.606346731253822,45.20824349817896,105.68476391243604,100.93438660159173,4.750377310844314,14.74100437885214,2021-11-22,-24.751030390846083,147.63615266378412,-25.36036295448281,147.63615266378412,17.56,60.16,36.577777777777776,42.599999999999994,23.58222222222222,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.732057505466481,0.9907943529009903,14.559999999999999,8.059999999999999,12.860000000000003,12.032,10.649999999999999,1,1.0,1,1,1,3,3.0,1.0
-3.0,10,25.83333333333333,25.56666666666667,32.952427491912495,104.2,104.36666666666667,93.5,78.53333333333335,Fri 11-26 11-26,N,95 (Ⅱ),Penn St.,"W, 68-63 OT",68,100.1,37.7,10.3,38.6,30.4,92.8,53.6,23.6,24.2,10.7,-10.5,-8.0,141.5,105.625,107.05,106.77860082304528,109.53798113641017,84.3125,75.125,81.2119341563786,76.58555364449768,20211126,110.0,92.8,17.200000000000003,103.8,97.7,6.099999999999994,111.0,90.9,20.08,71.2,-7.759277773295693,137.14866252521182,67.35135135135135,-7.689788247949423,140.6323954282641,-21.316379637369902,140.6323954282641,-7.689788247949423,140.6323954282641,-21.316379637369902,128.13930612161892,106.2,97.4,8.81,66.5,110.0,92.8,17.200000000000003,103.8,97.7,6.099999999999994,-21.68091487930079,128.0072751163426,0,109.38282166957777,78.80916974743215,30.573651922145615,41.79457780921976,98.95117559139456,103.56111803016404,-4.60994243876948,-2.1814197574048144,2021-11-26,-24.3561070359627,131.98195156640347,-29.618428631359023,131.98195156640347,-10.079999999999998,50.08,44.43851851851852,60.16,5.6414814814814775,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.7769415761393583,0.9898195287050305,5.486666666666672,5.75333333333333,14.559999999999999,8.346666666666668,12.032,1,1.0,1,1,1,3,3.0,3.0
7.0,34,27.13333333333333,28.41111111111111,33.16107703883749,112.6,109.36666666666667,78.5,82.23333333333333,Sat 11-27 11-27,N,33 (I),Wake Forest,"W, 75-61",72,104.9,50.0,22.4,37.1,28.8,85.3,36.2,29.4,41.5,39.7,-8.0,-7.0,144.0,109.1125,105.625,108.71906721536352,110.09471183888104,81.40625,84.3125,80.30795610425241,76.93363480004355,20211127,110.1,92.8,17.299999999999997,105.7,96.2,9.5,110.6,90.5,20.08,70.2,-8.031124328570513,141.91925720897646,70.59943100995733,-5.653798077040122,147.37019903215077,-6.032724737664344,147.37019903215077,-5.653798077040122,147.37019903215077,-6.032724737664344,132.3289359746193,105.3,96.5,8.78,70.7,110.1,92.8,17.299999999999997,105.7,96.2,9.5,-9.215531404794296,130.23351461337313,0,108.0189654031776,79.7382046754116,28.28076072776601,36.79453598153409,105.48430568552436,95.77603661730645,9.708269068217916,11.347826555884284,2021-11-27,-13.974481922011762,135.49551494383334,-17.965232065265937,135.49551494383334,13.920000000000002,64.0,46.31901234567901,50.08,17.680987654320987,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.7475074624530771,0.9083895416118413,8.331111111111113,7.053333333333331,5.486666666666672,9.142857142857146,8.346666666666668,1,1.0,1,1,1,3,3.0,3.0
4.0,21,22.2,26.20740740740741,31.09542666813977,94.1,103.63333333333333,72.3,81.43333333333334,Wed 12-01 12-01,H,142 (Ⅲ),Ohio,"W, 66-51",71,93.0,51.0,24.0,13.8,38.8,71.9,35.3,16.9,23.5,8.8,-27.5,-11.0,144.5,101.60625,109.1125,103.84604481024236,107.18658241362994,76.853125,81.40625,77.63863740283495,76.09115574549017,20211201,110.2,91.7,18.5,109.3,97.0,12.299999999999995,111.1,90.3,20.85,70.3,-13.748452466690146,141.5266940717194,68.1,-8.695626215717823,144.6287444111956,-12.50748301562773,144.6287444111956,-8.695626215717823,144.6287444111956,-12.50748301562773,128.69791661763696,107.4,100.3,7.16,68.1,110.2,91.7,18.5,109.3,97.0,12.299999999999995,-14.87867551680132,131.19024934043574,0,106.5500697780883,78.18665051741024,28.363419260678057,37.72233346262567,100.59213893321358,98.86335927158716,1.7287796616264188,1.7736620006158872,2021-12-01,-22.21316674017165,128.88074450478334,-26.76440008637522,128.88074450478334,0.14999999999999858,64.15,52.21267489711934,64.0,11.937325102880664,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.8525929209684728,0.9828080120429247,5.357407407407408,1.3499999999999979,8.331111111111113,8.01875,9.142857142857146,1,1.0,1,1,1,3,3.0,3.0
8.5,11,22.33333333333333,21.171604938271606,27.459894546659804,88.6,98.43333333333332,77.5,76.10000000000001,Sat 12-11 12-11,N,143 (Ⅲ),Georgia Tech,"W, 69-53",76,90.8,41.8,27.6,41.0,39.3,69.8,44.8,31.6,19.4,37.5,-17.0,-7.5,139.0,95.103125,101.60625,98.7640298734949,103.80720379296994,77.1765625,76.853125,77.5924249352233,76.34730924631013,20211211,109.7,89.4,20.3,104.1,97.2,6.899999999999992,110.5,89.0,21.52,70.3,-8.905271641791046,138.04719402985074,68.4,-9.500847761194024,139.88501014925376,-18.271780790686567,139.88501014925376,-9.500847761194024,139.88501014925376,-18.271780790686567,129.4411239431642,106.6,97.7,8.93,68.4,109.7,89.4,20.3,104.1,97.2,6.899999999999992,-17.617423220417912,128.0719377918806,0,105.16414084138076,77.28076347094026,27.8833773704405,35.96577120057207,100.90508653391257,95.96644399773623,4.9386425361763315,-2.436166347235889,2021-12-11,-16.0708595129988,125.32076152914223,-26.266925282700655,125.32076152914223,-10.52,53.63000000000001,56.191783264746235,64.15,-2.561783264746225,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.7624747379730235,0.9370606717394144,-0.3483950617283931,0.813333333333329,5.357407407407408,5.95888888888889,8.01875,-1,1.0,-1,1,1,-1,3.0,3.0
4.5,28,20.3,23.44773662551441,27.5580955381762,102.8,95.16666666666669,74.8,74.86666666666667,Tue 12-14 12-14,H,330 (Ⅳ),Northwestern St.,"W, 89-49",74,119.9,48.6,13.5,43.2,31.1,66.0,31.1,22.9,29.2,29.5,-7.0,-35.5,145.0,98.9515625,95.103125,100.1093532489966,103.62407583061176,75.98828125,77.1765625,76.6616166234822,76.06598029243555,20211214,107.2,86.9,20.3,92.7,111.0,-18.3,109.0,86.7,22.29,71.1,-32.45520716013735,144.83575100236416,71.80796586059745,-32.33639774469494,147.36888512519977,-36.19117202378617,147.36888512519977,-32.33639774469494,147.36888512519977,-36.19117202378617,137.0969223664852,93.3,110.7,-17.43,71.0,107.2,86.9,20.3,92.7,111.0,-18.3,-36.483600007484114,137.97699563006003,0,104.97611064442206,77.12578478048921,27.850325863932852,35.48714572709138,93.76176565238532,103.61713846635386,-9.855372813968543,-6.049224311617308,2021-12-14,-30.504609735042543,133.7679985785622,-32.13298827706541,133.7679985785622,5.710000000000001,59.34000000000001,55.33785550983083,53.63000000000001,4.002144490169179,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.9996388246991121,0.9981649129483204,1.15773662551441,-1.9899999999999984,-0.3483950617283931,5.934000000000001,5.95888888888889,1,-1.0,1,1,1,3,-1.0,3.0
