ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-17.0,-46,,-46.000000000000014,-46.000000000000014,94.8,0.0,140.8,0.0,Sat 11-13 11-13,A,263 (Ⅳ),Miami OH,"L, 104-75",73,102.9,55.8,20.6,24.3,23.3,142.6,74.2,16.5,33.3,20.3,42.0,12.0,137.0,94.8,0.0,94.8,94.8,140.8,0.0,140.8,140.8,20211113,93.9,104.3,-10.399999999999991,103.4,99.1,4.300000000000011,94.7,103.6,-8.87,72.1,13.936525548344548,144.9467108561425,71.79231863442389,14.993005742590697,147.84502724382733,42.261642209922,147.84502724382733,14.993005742590697,147.84502724382733,42.261642209922,170.7766652754358,104.4,99.6,4.81,70.0,93.9,104.3,-10.399999999999991,103.4,99.1,4.300000000000011,42.261642209922,170.7766652754358,0,96.90327694200846,103.61022804140228,-6.7069510993938195,-2.9129924404252074,102.0803368002218,98.03213373812376,4.04820306209804,-0.7967045641618354,2021-11-13,12.036420780727596,147.6601992079885,3.49223117219789,147.6601992079885,-37.13,-37.13,0.0,0.0,-37.13,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,3,0.12654895447355774,0.12583018812103797,-37.13000000000002,,0.0,-37.13,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
10.0,-16,,-36.16666666666668,-40.63636363636365,100.2,0.0,116.7,0.0,Mon 11-15 11-15,A,146 (Ⅲ),Georgia Tech,"L, 75-66",67,98.4,44.7,11.9,16.7,33.3,111.8,54.8,14.9,31.6,21.0,3.0,19.0,138.0,97.5,94.8,96.6,95.78181818181818,128.75,140.8,132.76666666666668,136.41818181818184,20211115,95.0,106.8,-11.799999999999995,100.6,90.9,9.699999999999989,95.1,105.0,-9.94,72.2,20.915747594692327,143.8877776790213,73.12432432432433,19.821022405974794,145.33319038670254,38.61336590275365,145.33319038670254,19.821022405974794,145.33319038670254,38.61336590275365,156.55679143243952,104.9,91.4,13.47,71.2,95.0,106.8,-11.799999999999995,100.6,90.9,9.699999999999989,38.53003961512505,156.50728977441412,0,85.17505055205625,107.3769290439901,-22.201878491933854,-25.91461214804162,109.6590569550215,103.000547241236,6.658509713785492,11.548761153787368,2021-11-15,26.74355931795241,154.25532948863665,29.295250636521025,154.25532948863665,-6.0600000000000005,-43.190000000000005,-37.13,-37.13,-6.060000000000002,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.03518483230489555,0.005432583712085548,-26.22666666666668,,-37.13000000000002,-21.595,-37.13,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
0.0,-13,-25.200000000000006,-28.47777777777779,-35.62975206611571,92.8,95.93333333333334,105.9,121.13333333333334,Fri 11-19 11-19,H,304 (Ⅳ),Stetson,"L, 60-59",60,98.0,44.3,11.6,32.5,13.1,99.7,43.0,16.6,34.2,28.1,-25.0,1.0,144.0,95.15,97.5,95.33333333333334,95.2396694214876,117.325,128.75,123.81111111111112,130.86942148760332,20211119,95.2,106.8,-11.599999999999994,98.2,103.8,-5.599999999999994,95.6,104.7,-9.05,71.2,-0.274449075845709,141.87471502777845,70.89615931721195,0.25946837379758847,147.65312493729027,-4.781225985836143,147.65312493729027,0.25946837379758847,147.65312493729027,-4.781225985836143,153.5205627082073,98.6,102.5,-3.91,70.0,95.2,106.8,-11.599999999999994,98.2,103.8,-5.599999999999994,-4.998930390711644,153.64435722887302,0,100.83043169940818,105.69216232875368,-4.861730629345502,-3.367119270483619,90.96208469994498,94.27316733644956,-3.3110826365045796,1.6835287223573747,2021-11-19,-3.096830759879154,138.68618714560802,1.61233340119567,138.68618714560802,-3.9499999999999993,-47.14,-39.150000000000006,-43.190000000000005,-7.989999999999995,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.46206285593374585,0.6159787151576319,-19.427777777777788,-16.150000000000006,-26.22666666666668,-15.713333333333333,-21.595,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-2.0,-17,-15.73333333333334,-24.851851851851865,-32.35161532682194,100.3,97.76666666666664,117.9,113.5,Sun 11-21 11-21,A,328 (Ⅳ),Southern Miss,"L, 82-75",72,104.2,53.3,20.8,25.0,23.3,113.9,54.4,15.3,28.6,49.1,25.5,5.0,131.5,97.725,95.15,96.98888888888892,96.15972952667168,117.6125,117.325,121.84074074074076,128.5113448534936,20211121,94.9,106.2,-11.299999999999995,94.6,95.7,-1.1000000000000083,95.5,104.6,-9.11,69.2,5.923499786781818,132.45143386824066,69.5937411095306,10.688309108786804,136.48550802641483,3.4801949469509426,136.48550802641483,10.688309108786804,136.48550802641483,3.4801949469509426,122.36832195774834,92.9,98.4,-5.52,70.7,94.9,106.2,-11.299999999999995,94.6,95.7,-1.1000000000000083,3.6596745694671604,122.43129010435382,0,100.9994661902013,108.23032417458928,-7.230857984387981,-5.267677564998309,84.23562293213583,104.8867605289622,-20.651137596826374,-22.214989964515368,2021-11-21,-6.589883407033099,140.14472973735758,-10.113410996143188,140.14472973735758,-7.890000000000001,-55.03,-41.81333333333334,-47.14,-13.216666666666661,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.31696934194067294,0.7348695981523957,-15.741851851851866,-6.62333333333334,-19.427777777777788,-13.7575,-15.713333333333333,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-1.5,-22,-17.66666666666667,-24.001234567901243,-30.524048903763404,101.2,98.1,123.5,115.76666666666668,Wed 11-24 11-24,A,311 (Ⅳ),UTSA,"L, 79-73",69,105.3,46.8,18.7,43.6,38.7,113.9,52.8,17.3,28.1,52.8,10.5,4.5,141.5,99.4625,97.725,98.39259259259262,97.0761423400041,120.55625,117.6125,122.39382716049386,127.60019124376748,20211124,96.8,107.7,-10.900000000000006,95.9,106.1,-10.199999999999989,96.7,105.9,-9.26,68.9,3.123870891517612,138.858865796203,68.9,4.477852380933328,145.35960318735562,0.16960415691089192,145.35960318735562,4.477852380933328,145.35960318735562,0.16960415691089192,146.4895415834967,95.1,105.3,-10.27,70.3,96.8,107.7,-10.900000000000006,95.9,106.1,-10.199999999999989,0.42026978560474,146.59381579427307,0,99.74623818374992,108.81346931568676,-9.067231131936836,-6.499017402625159,88.4240596887874,113.13826067810822,-24.71420098932083,-23.615237200630773,2021-11-24,-7.607263589140317,147.19240357969068,-10.154357540728874,147.19240357969068,-12.74,-67.77,-46.2188888888889,-55.03,-21.551111111111098,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.3341175708976246,0.7656209835441338,-14.741234567901243,-8.406666666666672,-15.741851851851866,-13.554000000000002,-13.7575,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-5.0,-14,-18.23333333333333,-20.934156378600832,-27.665130921260964,104.2,101.9,119.0,120.13333333333333,Sat 11-27 11-27,A,6 (I-A),Texas Tech,"L, 89-57",68,83.6,46.4,23.5,25.0,23.6,130.5,65.0,24.9,53.8,64.0,6.0,27.0,140.0,101.83125,99.4625,100.32839506172844,98.37138918727608,119.778125,120.55625,121.26255144032925,126.03652010853703,20211127,97.5,109.1,-11.599999999999994,107.7,91.9,15.799999999999995,97.6,107.2,-9.63,68.4,24.402678080124964,134.98439315353562,65.2864864864865,22.564444673515965,139.20934117870036,32.86022221891512,139.20934117870036,22.564444673515965,139.20934117870036,32.86022221891512,149.36051746436996,111.3,89.7,21.58,67.1,97.5,109.1,-11.599999999999994,107.7,91.9,15.799999999999995,32.87004186930186,149.26768343385035,0,98.23617785066372,108.81441037878076,-10.578232528117042,-9.328464307280449,109.4318116735633,95.46425599747744,13.967555676085865,18.66866888295597,2021-11-27,20.93053422087879,143.01428508793586,20.19173667804249,143.01428508793586,-4.369999999999999,-72.14,-53.4025925925926,-67.77,-18.737407407407403,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.005063995274695365,0.023109695700505695,-11.304156378600831,-8.60333333333333,-14.741234567901243,-12.023333333333332,-13.554000000000002,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
8.0,-9,-15.366666666666664,-16.956104252400557,-24.27147075375897,104.6,103.33333333333331,113.6,118.7,Thu 12-02 12-02,A,58 (I),Mississippi St.,"L, 75-60",62,96.7,49.1,11.3,15.2,20.0,120.9,52.8,17.7,45.7,50.0,2.0,23.0,133.0,103.215625,101.83125,101.75226337448562,99.5038638804986,116.6890625,119.778125,118.70836762688616,123.77533463425756,20211202,98.2,110.7,-12.5,106.3,92.9,13.399999999999991,98.2,108.5,-10.33,68.3,20.46981513555626,135.26164978837812,64.41379800853485,21.345418915890967,138.56584145650223,25.664139705956295,138.56584145650223,21.345418915890967,138.56584145650223,25.664139705956295,139.89004922813686,108.9,93.8,15.13,66.3,98.2,110.7,-12.5,106.3,92.9,13.399999999999991,29.47642832899837,141.0023647371158,0,100.10228131048724,106.98746157478774,-6.885180264300502,-7.699740474754308,105.66668286446664,88.56999354462718,17.096689319839456,19.107386572358497,2021-12-02,19.85289965465217,133.77465519716048,19.173948385865266,133.77465519716048,1.33,-70.81,-59.6483950617284,-72.14,-11.161604938271601,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.01424485985536783,0.02932870546183375,-6.626104252400557,-5.0366666666666635,-11.304156378600831,-10.115714285714288,-12.023333333333332,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-1.0,-24,-16.13333333333333,-19.50406950160037,-24.33120334398461,69.0,92.6,93.6,108.73333333333332,Sat 12-11 12-11,A,230 (Ⅲ),UT Arlington,"L, 56-47",65,71.9,29.0,21.4,34.0,21.0,85.6,42.6,19.9,23.7,25.9,-37.5,8.0,140.5,86.1078125,103.215625,90.83484224965709,93.95770681131702,105.14453125,116.6890625,110.33891175125746,118.28891015530164,20211211,98.6,111.6,-13.0,93.8,101.0,-7.200000000000003,99.0,109.2,-10.26,67.5,5.380633535991862,135.4288360103546,66.82788051209104,7.40688598125999,140.01816035981997,9.662247596948006,140.01816035981997,7.40688598125999,140.01816035981997,9.662247596948006,136.84514180743298,94.3,101.6,-7.38,69.6,98.6,111.6,-13.0,93.8,101.0,-7.200000000000003,7.908815015784896,138.31670756611513,0,97.35427511105031,104.80219594640378,-7.447920835353472,-7.250352676171031,89.96329411531084,97.18868600677398,-7.225391891463133,-6.250694061171525,2021-12-11,3.393677028704232,129.3885571866906,2.4129168317580607,129.3885571866906,-13.74,-84.55,-63.36893004115227,-70.81,-21.18106995884773,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.22305842386064167,0.3732691127231341,-9.24406950160037,-5.8733333333333295,-6.626104252400557,-10.56875,-10.115714285714288,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-5.5,-25,-19.66666666666666,-21.469379667733577,-24.52553000871468,84.4,86.0,109.8,105.66666666666669,Wed 12-15 12-15,A,128 (Ⅱ),Texas St.,"L, 67-47",58,81.4,36.8,26.0,38.9,18.9,116.0,54.5,17.3,43.8,17.9,-17.5,14.5,131.5,85.25390625,86.1078125,88.68989483310473,92.21994193653212,107.472265625,105.14453125,110.15927450083832,116.7454719452468,20211215,96.0,110.1,-14.099999999999994,102.7,98.7,4.0,97.1,107.9,-10.81,67.2,11.985191686901544,129.84343490307702,62.61166429587483,15.521832062602194,133.9669261974875,18.126710999721716,133.9669261974875,15.521832062602194,133.9669261974875,18.126710999721716,134.65084759206965,102.6,100.2,2.46,65.5,96.0,110.1,-14.099999999999994,102.7,98.7,4.0,21.167584121568424,139.0959477969371,0,95.4747288535394,104.04707266468527,-8.57234381114587,-7.6197213435373055,106.13254689371944,101.43959341332987,4.692953480389562,5.583223037141734,2021-12-15,12.462688961466142,133.52936679837873,10.00185861632444,133.52936679837873,-14.19,-98.74,-70.4292866941015,-84.55,-28.31071330589849,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.08364680132758417,0.11762904476170677,-10.659379667733576,-8.85666666666666,-9.24406950160037,-10.971111111111112,-10.56875,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
4.5,-14,-21.36666666666666,-19.01291977848905,-22.62997909803928,82.7,78.7,96.8,100.06666666666666,Sat 12-18 12-18,A,248 (Ⅳ),Texas A&M Corpus Chris,"L, 57-53",63,84.0,47.9,39.6,48.1,23.4,90.3,40.0,15.8,23.5,42.0,-33.0,8.5,143.0,83.976953125,85.25390625,86.69326322206983,90.48904340261716,102.1361328125,107.472265625,105.70618300055888,113.11902250065646,20211218,95.2,110.2,-15.0,95.2,103.9,-8.700000000000003,95.4,107.6,-12.17,65.9,4.072748130922591,133.38095162662648,67.49359886201992,8.094327521446516,141.08312615046123,12.952602178654105,141.08312615046123,8.094327521446516,141.08312615046123,12.952602178654105,132.1131061336846,92.5,103.8,-11.31,72.0,95.2,110.2,-15.0,95.2,103.9,-8.700000000000003,13.389307814213284,139.02156921747525,0,95.55776334061308,101.91993482989,-6.362171489276918,-4.895588237062403,103.40073334845776,93.03460857889053,10.366124769567236,4.727801601168943,2021-12-18,15.162367089752443,134.6913096848203,8.383407469135179,134.6913096848203,-1.83,-100.57,-79.866191129401,-98.74,-20.70380887059899,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,-3,0.20910695659274503,0.07436457066654856,-6.842919778489049,-9.19666666666666,-10.659379667733576,-10.056999999999999,-10.971111111111112,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
