ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-8.5,7,,7.900000000000006,7.900000000000006,102.0,0.0,94.1,0.0,Mon 11-15 11-15,A,21 (I-A),LSU,"L, 74-58",71,81.8,46.0,29.6,25.7,34.0,104.4,52.5,19.8,23.5,23.7,-8.0,7.5,140.0,102.0,0.0,102.0,102.0,94.1,0.0,94.1,94.1,20211115,104.1,96.1,8.0,110.9,95.9,15.0,104.2,95.8,8.42,66.5,10.247340682734233,138.09752424795076,68.4864864864865,8.783606553455414,144.92586897489377,22.072220633936585,144.92586897489377,8.783606553455414,144.92586897489377,22.072220633936585,131.6192747588417,110.5,92.6,17.88,72.4,104.1,96.1,8.0,110.9,95.9,15.0,21.946854152155147,131.74350718905083,0,107.8411157773662,107.9311343198748,-0.0900185425086022,3.7777700703517136,106.12572286887163,101.08360188404605,5.042120984825587,12.612533000390084,2021-11-15,8.271510978014277,156.92965556532513,8.125392339582405,156.92965556532513,-1.42,-1.42,0.0,0.0,-1.42,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,3,0.23752526202697655,0.21541768814340845,-0.5199999999999942,,0.0,-1.42,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-5.0,5,,7.23333333333334,7.5363636363636415,88.4,0.0,82.5,0.0,Fri 11-19 11-19,N,92 (Ⅱ),Iona,"L, 54-50",61,82.0,38.6,8.2,24.3,24.6,88.5,35.2,18.0,37.5,48.1,-29.5,-1.0,133.5,95.2,102.0,97.46666666666668,99.52727272727272,88.3,94.1,90.23333333333332,91.99090909090908,20211119,102.8,95.0,7.799999999999997,102.5,97.0,5.5,103.2,95.2,7.92,66.9,-4.5108546621090895,131.9356906460585,68.42261735419632,-1.640391514688318,138.1061102184667,-1.8596707488805897,138.1061102184667,-1.640391514688318,138.1061102184667,-1.8596707488805897,133.07095288536246,98.3,97.1,1.24,71.9,102.8,95.0,7.799999999999997,102.5,97.0,5.5,-1.8839993261865489,132.97109717630812,0,93.98287798208952,95.23218687524808,-1.249308893158556,-2.1817257805801757,97.80494891928468,92.50028691668786,5.304662002596828,9.064309121642278,2021-11-19,4.349637154024904,126.1834724688408,7.694831428667044,126.1834724688408,-2.92,-4.34,-1.42,-1.42,-2.92,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.5379371440662541,0.3393450899124537,-0.6866666666666603,,-0.5199999999999942,-2.17,-1.42,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-28.0,-31,-5.966666666666664,-5.744444444444439,0.4024793388429781,90.0,93.46666666666664,121.7,99.43333333333334,Sat 11-20 11-20,N,273 (Ⅳ),Manhattan,"L, 76-60",64,94.2,48.0,23.5,30.0,27.5,119.3,62.3,17.3,23.8,18.9,12.0,-12.0,124.0,92.6,95.2,94.9777777777778,97.79504132231403,105.0,88.3,100.72222222222224,97.39256198347108,20211120,103.0,95.1,7.900000000000006,93.8,100.8,-7.0,101.9,94.9,7.02,65.5,-9.409007809459105,120.32858691959834,64.75462304409673,-9.711103878898541,128.21391070677905,-9.66527707162764,128.21391070677905,-9.711103878898541,128.21391070677905,-9.66527707162764,112.03931937653272,90.7,98.8,-8.15,69.5,103.0,95.1,7.900000000000006,93.8,100.8,-7.0,-9.578198649889249,112.04053623509975,0,93.156358336039,105.2311799973309,-12.074821661291892,-20.9935227456678,97.61542280675404,103.5869734457156,-5.97155063896156,-4.217209273302821,2021-11-20,4.134143101687485,132.32673506872112,10.86343854972597,132.32673506872112,-38.019999999999996,-42.36,-2.3933333333333335,-4.34,-39.96666666666667,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.8734510455264423,0.3468909649483225,-12.76444444444444,-12.986666666666665,-0.6866666666666603,-14.12,-2.17,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-9.5,1,-8.033333333333331,-3.262962962962959,0.6383921863260735,95.4,91.26666666666668,93.7,99.3,Tue 11-23 11-23,A,338 (Ⅳ),Bethune Cookman,"W, 59-51",59,99.9,58.7,27.1,19.2,10.9,86.4,47.8,25.4,26.7,26.1,-23.0,-17.5,133.0,94.0,92.6,95.11851851851854,97.35957926371148,99.35,105.0,98.3814814814815,96.72118707738542,20211123,101.4,96.8,4.6000000000000085,90.7,109.0,-18.3,102.2,97.6,4.54,64.6,-14.779038862715268,126.31751124176564,63.037837837837834,-11.11777765247949,127.9569799191297,-3.917250587582119,127.9569799191297,-11.11777765247949,127.9569799191297,-3.917250587582119,125.10555255475181,88.6,113.2,-24.52,68.6,101.4,96.8,4.6000000000000085,90.7,109.0,-18.3,-4.185582513848251,124.90696328148859,0,94.30813635475964,99.76133458476008,-5.453198230000439,-8.881307944520998,102.21162646814676,105.45992203498965,-3.2482955668428843,-3.905648855406943,2021-11-23,5.274721881176774,130.42172881458032,4.78875867213177,130.42172881458032,-3.54,-45.9,-15.715555555555556,-42.36,-30.184444444444445,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9522096477271853,0.3077091017735094,-7.802962962962959,-12.57333333333333,-12.76444444444444,-11.475,-14.12,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-8.0,2,-9.199999999999998,-1.375308641975305,0.9586845160849704,109.7,98.36666666666667,107.3,107.56666666666666,Sat 11-27 11-27,H,309 (Ⅳ),Maryland Eastern Shore,"W, 73-61",65,112.0,56.9,16.9,22.2,35.3,93.6,50.9,16.9,12.1,14.5,12.5,-20.0,121.5,101.85,94.0,99.97901234567902,99.60329212485485,103.325,99.35,101.35432098765436,98.64460760876987,20211127,101.2,97.0,4.200000000000003,84.2,107.9,-23.700000000000003,102.1,98.0,4.1,63.7,-19.80545064341908,116.84122187950254,61.07226173541964,-20.629035531265664,120.29342126190522,-6.231244261006983,120.29342126190522,-20.629035531265664,120.29342126190522,-6.231244261006983,113.33335528151426,83.8,107.1,-23.27,67.4,101.2,97.0,4.200000000000003,84.2,107.9,-23.700000000000003,-6.051385595254173,113.33668893633303,0,97.44963073520849,101.82742186204366,-4.377791126835177,-6.893443717756205,107.62240857281806,94.3910974095329,13.231311163285156,6.25087416345691,2021-11-27,7.508898720088041,126.21949373986192,6.323002935798762,126.21949373986192,-2.0999999999999996,-48.0,-25.777037037037037,-45.9,-22.222962962962963,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.9715944860326362,0.23726336690603045,-5.475308641975305,-13.299999999999997,-7.802962962962959,-9.600000000000001,-11.475,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
15.0,39,14.366666666666667,12.083127572016464,7.875287331342248,110.1,105.06666666666666,71.1,90.7,Thu 12-02 12-02,H,157 (Ⅲ),Missouri,"W, 66-45",62,106.7,59.0,19.4,24.1,28.0,72.7,31.6,30.7,38.9,34.7,-13.5,-6.0,124.5,105.975,101.85,103.35267489711936,101.51178446579031,87.21249999999999,103.325,91.2695473251029,93.63649713444808,20211202,102.0,98.6,3.4000000000000057,95.9,98.7,-2.799999999999997,102.7,99.3,3.45,63.8,-3.007311996387969,123.87974275272951,61.80341394025604,-7.354392913958868,124.07759768666523,-6.632518153110017,124.07759768666523,-7.354392913958868,124.07759768666523,-6.632518153110017,112.6658630556104,101.8,97.7,4.16,68.1,102.0,98.6,3.4000000000000057,95.9,98.7,-2.799999999999997,-6.521317241323965,115.69852737449828,0,97.94834455107024,97.20907309143888,0.7392714596313539,2.1580652107281364,88.64108757041312,100.36711593690843,-11.726028366495314,-10.90226913197302,2021-12-02,-10.988428083639107,117.35460724850701,-9.726569054495009,117.35460724850701,35.55,-12.450000000000003,-33.18469135802469,-48.0,20.73469135802469,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.7161454169013237,0.8523387907135116,8.633127572016463,10.916666666666668,-5.475308641975305,-2.0750000000000006,-9.600000000000001,1,-1.0,1,-1,-1,1,-3.0,-3.0
13.0,22,21.26666666666667,15.52208504801098,10.516144180189112,138.0,119.26666666666664,115.6,98.0,Mon 12-06 12-06,H,356 (Ⅳ),Delaware St.,"W, 96-60",63,151.7,71.8,14.2,38.5,34.5,94.8,41.4,12.6,25.6,31.0,29.5,-23.0,126.5,121.9875,105.975,114.90178326474624,108.14600547201026,101.40625,87.21249999999999,99.37969821673528,97.62986129182114,20211206,102.6,96.6,6.0,92.7,109.9,-17.200000000000003,102.9,97.9,4.97,63.3,-20.86459319980961,124.78547589745932,62.4896159317212,-18.530854228926998,130.2594691295315,-16.68222941575859,130.2594691295315,-18.530854228926998,130.2594691295315,-16.68222941575859,113.96022318363818,87.8,110.7,-22.9,69.4,102.6,96.6,6.0,92.7,109.9,-17.200000000000003,-16.964423966602403,114.1210093712707,0,101.8836608756459,100.90502549089663,0.9786353847492677,2.9276386866323447,90.14455450257776,104.00940936041296,-13.864854857835198,-9.091639034022396,2021-12-06,-13.170743939768059,126.6613323047804,-9.206583689488674,126.6613323047804,17.03,4.579999999999998,-26.273127572016463,-12.450000000000003,30.85312757201646,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.9857551401446322,0.8951437838565512,10.55208504801098,16.29666666666667,8.633127572016463,0.6542857142857139,-2.0750000000000006,1,1.0,1,1,-1,3,1.0,-3.0
-14.5,-9,17.433333333333334,7.314723365340652,6.949572511063817,88.6,112.23333333333332,97.7,94.8,Sat 12-11 12-11,N,112 (Ⅲ),Stephen F. Austin,"L, 63-51",63,81.4,39.0,19.2,31.7,10.2,100.6,47.1,22.4,34.3,47.1,-17.0,-2.5,131.0,105.29375,121.9875,106.1345221764975,104.59218629528112,99.553125,101.40625,98.81979881115686,97.64261378421727,20211211,104.2,97.4,6.799999999999997,102.1,100.3,1.7999999999999972,104.2,98.6,5.59,63.1,-2.339177459501947,128.67115431377962,63.369274537695595,-3.295912317785181,132.6625522005902,-1.0416733533461016,132.6625522005902,-3.295912317785181,132.6625522005902,-1.0416733533461016,132.53751656022453,101.6,99.7,1.91,70.6,104.2,97.4,6.799999999999997,102.1,100.3,1.7999999999999972,-1.1152608130584933,127.58762459618049,0,98.03015213844132,100.89314741675804,-2.862995278316717,0.6071460887768405,98.5388612725672,96.52361231450348,2.0152489580637223,3.48493364323791,2021-12-11,3.1199776247255,126.21226509740418,1.8236330959980762,126.21226509740418,-14.59,-10.010000000000002,-15.988751714677646,4.579999999999998,5.978751714677644,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.5940963859982835,0.38317953636233515,1.724723365340652,11.843333333333334,10.55208504801098,-1.2512499999999998,0.6542857142857139,1,1.0,1,-1,1,1,3.0,1.0
7.0,5,6.400000000000001,6.843148910227104,6.758741145415852,100.7,109.09999999999998,94.8,102.7,Fri 12-17 12-17,N,170 (Ⅲ),East Carolina,"W, 74-64",71,104.0,53.3,15.5,22.9,21.3,90.0,42.2,21.1,24.3,29.3,9.5,-3.0,128.5,102.996875,105.29375,104.32301478433168,103.88451605977544,97.1765625,99.553125,97.47986587410458,97.1257749143596,20211217,101.6,96.4,5.199999999999989,103.2,100.2,3.0,101.8,97.4,4.37,63.8,-2.676173023927298,126.8229471272372,63.164722617354194,-1.5032626160803204,130.5161859323581,-6.529649203279077,130.5161859323581,-1.5032626160803204,130.5161859323581,-6.529649203279077,130.5950346250245,101.4,101.2,0.2,69.6,101.6,96.4,5.199999999999989,103.2,100.2,3.0,0.09183189056368364,130.26524626594934,0,97.18866695342622,99.41244719193152,-2.2237802385052987,0.8232106575118204,100.2625540171397,101.72400197389108,-1.4614479567513712,-2.6420566728461963,2021-12-17,0.5247264960107003,128.73285121021354,-2.1888264971704388,128.73285121021354,0.6299999999999999,-9.380000000000003,-13.995834476451765,-10.010000000000002,4.615834476451763,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.6124515189020077,0.4800715728350533,2.4731489102271036,2.030000000000001,1.724723365340652,-1.0422222222222217,-1.2512499999999998,1,1.0,1,-1,-1,1,1.0,3.0
4.0,13,3.333333333333333,8.962099273484736,7.929879118976606,116.2,101.83333333333331,103.0,98.5,Wed 12-22 12-22,N,97 (Ⅲ),Northern Iowa,"W, 76-74",67,114.1,68.3,16.5,10.3,21.2,111.1,54.7,15.0,18.5,39.6,25.0,2.0,125.0,109.5984375,102.996875,108.28200985622112,106.12369495799808,100.08828125,97.1765625,99.31991058273638,98.19381583902148,20211222,101.4,96.1,5.300000000000011,102.9,99.0,3.9000000000000057,101.8,97.4,4.42,63.4,0.3846109628245813,121.19659490541602,60.60426742532005,-0.9338314158935006,124.13267584297571,-4.192462148221735,124.13267584297571,-0.9338314158935006,124.13267584297571,-4.192462148221735,126.16550182603,103.5,98.4,5.1,67.2,101.4,96.1,5.300000000000011,102.9,99.0,3.9000000000000057,-1.343629546183393,121.13463383809396,0,99.1001521632223,101.09014634637664,-1.9899941831543373,0.9063321422457162,100.3628074279192,102.02377159372088,-1.660964165801687,-10.156879138792798,2021-12-22,0.21876984269081134,126.1819357754398,-6.704778150588766,126.1819357754398,8.58,-0.8000000000000025,-12.457222984301179,-9.380000000000003,11.657222984301177,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.4244679994402739,0.49168854992526134,4.542099273484736,-1.086666666666667,2.4731489102271036,-0.07999999999999918,-1.0422222222222217,1,1.0,1,-1,-1,1,1.0,1.0
