ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
18.0,6,,6.899999999999992,6.899999999999992,74.8,0.0,67.9,0.0,Fri 11-12 11-12,A,333 (Ⅳ),Southern Miss,"W, 66-45",77,85.7,41.8,24.7,31.8,39.3,58.4,36.5,32.5,17.9,26.9,-29.5,-3.0,140.5,74.8,0.0,74.8,74.8,67.9,0.0,67.9,67.9,20211112,102.6,101.1,1.5,99.1,96.7,2.3999999999999915,98.0,99.1,-1.1,73.6,2.9794989668461653,140.23813263707075,73.49530583214793,4.927410851629659,149.84181232282987,-11.504623776513032,149.84181232282987,4.927410851629659,149.84181232282987,-11.504623776513032,76.24250440943493,96.1,98.5,-2.38,70.2,102.6,101.1,1.5,99.1,96.7,2.3999999999999915,-11.504623776513032,76.24250440943493,0,94.66792250346852,100.10670869013389,-5.438786186665368,-2.047076963438134,93.12375007697284,98.08558659448224,-4.961836517509397,-10.377294132447712,2021-11-12,4.190034527523167,139.8169087902989,-4.192288635030536,139.8169087902989,7.1,7.1,0.0,0.0,7.1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,-3,0.6124515189020077,0.3449278471625882,7.999999999999993,,0.0,7.1,0.0,1,0.0,1,1,1,3,0.0,0.0
-20.0,-25,,-3.9666666666666712,0.9727272727272648,68.8,0.0,94.5,0.0,Sun 11-21 11-21,A,22 (I),Indiana,"L, 76-44",75,58.4,20.5,15.9,36.2,32.9,100.9,63.5,35.9,38.5,25.0,-21.5,12.0,141.5,71.8,74.8,72.8,73.7090909090909,81.2,67.9,76.76666666666668,72.73636363636363,20211121,101.0,98.3,2.700000000000003,105.6,90.3,15.299999999999995,97.6,96.6,0.93,73.5,15.051110534024957,140.1135854808069,73.91820768136557,13.646005755477418,147.60529492333524,7.974936810326001,147.60529492333524,13.646005755477418,147.60529492333524,7.974936810326001,98.80070266223741,106.2,89.6,16.61,70.7,101.0,98.3,2.700000000000003,105.6,90.3,15.299999999999995,7.959489967110965,98.94029057917611,0,86.86756205496569,89.79392368908381,-2.9263616341181233,-2.2945144758116163,100.30575878772017,85.33141239002732,14.974346397692841,17.965042722866222,2021-11-21,15.51882230081496,124.39435113665986,17.2073786111239,124.39435113665986,-25.93,-18.83,7.1,7.1,-25.93,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.12654895447355774,0.0697061540627667,-4.896666666666671,,7.999999999999993,-9.415,7.1,-1,1.0,-1,-1,1,-3,3.0,0.0
-9.0,-14,-11.03333333333334,-7.4111111111111185,-1.804132231404968,93.1,78.89999999999999,107.4,89.93333333333334,Tue 11-23 11-23,A,244 (Ⅲ),Marshall,"L, 93-79",85,93.2,48.4,33.0,38.5,39.3,109.7,50.7,11.8,26.2,49.3,20.0,5.0,152.0,82.44999999999999,71.8,79.56666666666666,77.23471074380164,94.3,81.2,86.97777777777779,79.0388429752066,20211123,98.9,98.2,0.7000000000000028,103.0,99.8,3.200000000000003,96.9,96.9,-0.02,73.1,8.091927763290045,154.29547421336983,78.29914651493598,6.423954560349543,159.76397822372394,8.640019485361877,159.76397822372394,6.423954560349543,159.76397822372394,8.640019485361877,121.54981494769433,104.6,99.6,5.06,75.3,98.9,98.2,0.7000000000000028,103.0,99.8,3.200000000000003,8.544725291959951,121.5189039774145,0,88.76085736808558,95.1110745583594,-6.350217190273824,-4.238606624058007,100.23684939472123,104.13706764670457,-3.9002182519833326,-2.4486773607892105,2021-11-23,6.521009720444113,150.12136884198893,3.520570230786447,150.12136884198893,-13.98,-32.81,-1.5433333333333321,-18.83,-31.26666666666667,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,3,0.31696934194067294,0.2672838415714167,-7.391111111111119,-11.01333333333334,-4.896666666666671,-10.936666666666667,-9.415,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
-19.5,-24,-21.40000000000001,-13.007407407407412,-5.876108189331338,92.5,84.8,116.7,106.2,Sat 11-27 11-27,H,281 (Ⅳ),Jackson St.,"L, 75-70",74,94.4,49.2,25.6,33.3,32.2,101.1,52.8,21.6,28.1,48.1,14.0,-14.5,131.0,87.475,82.44999999999999,83.87777777777778,80.01021788129225,105.5,94.3,96.8851851851852,85.88632607062358,20211127,99.0,98.8,0.2000000000000028,92.9,98.0,-5.099999999999994,97.4,97.8,-0.38,73.6,-10.487591572787771,128.12683210683016,69.62162162162161,-7.498799191910706,134.6834120158343,-5.087852896795269,134.6834120158343,-7.498799191910706,134.6834120158343,-5.087852896795269,110.53118046604719,89.3,99.9,-10.6,66.5,99.0,98.8,0.2000000000000028,92.9,98.0,-5.099999999999994,-5.230901106029607,110.0888939075832,0,88.00136897506394,97.03224997300354,-9.030880997939605,-10.18545121332274,95.94146160623184,102.95546600976353,-7.014004403531686,-11.764785044206675,2021-11-27,-1.8892934616294355,130.88770006697297,-2.8350136832339174,130.88770006697297,-23.62,-56.43000000000001,-11.965555555555556,-32.81,-44.46444444444445,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.9163531986724158,0.5713973025452959,-12.62740740740741,-21.02000000000001,-7.391111111111119,-14.1075,-10.936666666666667,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
3.5,6,-10.73333333333334,-6.571604938271611,-3.66227033672564,99.1,94.9,92.8,105.63333333333333,Fri 12-03 12-03,H,243 (Ⅳ),New Orleans,"W, 80-67",79,101.9,49.2,20.4,35.1,32.3,85.3,43.7,20.4,20.0,27.0,-4.5,-9.5,151.5,93.2875,87.475,88.95185185185186,83.48108735742092,99.15,105.5,95.52345679012348,87.14335769414656,20211203,98.7,100.4,-1.7000000000000028,100.2,106.8,-6.599999999999994,97.5,99.4,-1.91,73.7,-11.353073135332053,152.10826766052003,75.3773826458037,-8.145867476564376,158.74873234814106,4.211950444646543,158.74873234814106,-8.145867476564376,158.74873234814106,4.211950444646543,134.83242284531585,97.1,108.7,-11.6,71.9,98.7,100.4,-1.7000000000000028,100.2,106.8,-6.599999999999994,4.3068652707509125,136.538868316047,0,86.55895821169007,96.56504912226764,-10.00609091057757,-11.696990512905211,97.77989293513131,103.87691368137834,-6.097020746247026,-4.029017209777117,2021-12-03,-0.503604903100495,141.85539805265867,3.835304806018911,141.85539805265867,7.91,-48.52000000000001,-26.787037037037038,-56.43000000000001,-21.732962962962972,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.817204231217584,0.5191268844552346,-4.661604938271611,-8.82333333333334,-12.62740740740741,-9.703999999999999,-14.1075,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
1.0,3,-4.800000000000002,-3.2144032921810752,-2.3600393664118875,104.0,98.53333333333336,100.5,103.33333333333331,Wed 12-08 12-08,H,302 (Ⅳ),McNeese St.,"W, 83-68",73,113.0,54.8,19.1,39.5,38.1,92.6,41.7,12.3,26.2,30.3,2.0,-14.0,149.0,98.64375,93.2875,93.9679012345679,87.21179874698075,99.825,99.15,97.182304526749,89.57183811339263,20211208,98.2,99.8,-1.5999999999999943,92.4,105.2,-12.799999999999995,97.6,99.4,-1.84,74.1,-14.644893687061355,149.31498707150723,77.89459459459461,-13.171064074696432,155.71136576891357,-5.0440989687242705,155.71136576891357,-13.171064074696432,155.71136576891357,-5.0440989687242705,132.4362459376473,89.9,105.4,-15.47,73.9,98.2,99.8,-1.5999999999999943,92.4,105.2,-12.799999999999995,-3.6881096423218738,130.2777192691325,0,90.09737055405324,98.34432853943976,-8.246957985386516,-9.146759025640293,98.96880602028106,96.59186026711303,2.3769457531680303,-0.1191745190794515,2021-12-08,4.088939213101185,146.3578111687383,4.951998963602236,146.3578111687383,4.84,-43.68000000000001,-34.031358024691365,-48.52000000000001,-9.648641975308642,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.9087887802741321,0.3484817108756202,-1.3744032921810752,-2.9600000000000017,-4.661604938271611,-7.28,-9.703999999999999,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
0.0,4,4.833333333333333,-0.5762688614540494,-1.0763958452460891,103.0,102.03333333333336,98.3,97.2,Sat 12-11 12-11,A,100 (Ⅱ),Louisiana Tech,"L, 78-69",72,95.4,55.3,22.1,20.0,15.8,107.8,51.8,16.6,18.2,42.9,-2.0,9.0,149.0,100.821875,98.64375,96.97860082304528,90.08238079298424,99.0625,99.825,97.55486968449934,91.15877663823034,20211211,98.3,99.9,-1.6000000000000083,107.7,99.4,8.299999999999997,98.0,99.7,-1.74,73.7,12.021053419070256,150.22827304079658,72.96614509246088,11.660783878553033,153.37807591726585,23.713072552754404,153.37807591726585,11.660783878553033,153.37807591726585,23.713072552754404,154.29650166332476,109.0,99.9,9.08,69.6,98.3,99.9,-1.6000000000000083,107.7,99.4,8.299999999999997,16.237904367360503,144.21218732048166,0,90.5762606267389,98.52889817459624,-7.952637547857336,-8.801016475133274,105.27941247271318,105.2994173057736,-0.020004833060426108,1.1857696404764029,2021-12-11,10.391577037289167,148.7237815479255,9.252233181015043,148.7237815479255,5.74,-37.940000000000005,-37.247572016460914,-43.68000000000001,-0.6924279835390905,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.19568296915377603,0.16116674275355303,1.1637311385459506,6.573333333333333,-1.3744032921810752,-5.42,-7.28,1,-1.0,-1,-1,-1,-1,-3.0,-3.0
7.0,3,4.033333333333336,0.9158207590306356,-0.1715966006558902,97.0,101.33333333333331,93.1,97.3,Tue 12-14 12-14,A,2 (I-A),Houston,"L, 71-56",67,84.1,42.1,28.5,34.1,21.1,106.6,40.3,13.5,47.7,32.8,-13.0,22.0,140.0,98.9109375,100.821875,96.9857338820302,91.34012973971438,96.08125,99.0625,96.06991312299957,91.51172634037026,20211214,97.5,98.8,-1.2999999999999972,113.3,87.0,26.3,97.5,99.1,-1.54,73.5,23.322029081232415,139.25675194051777,69.8406827880512,23.325094080273928,141.22462668617186,35.02827947800262,141.22462668617186,23.325094080273928,141.22462668617186,35.02827947800262,142.1413966120917,114.8,88.0,26.77,66.8,97.5,98.8,-1.2999999999999972,113.3,87.0,26.3,29.208361867555375,131.15724050798278,0,92.0545219679616,97.39825710263942,-5.343735134677814,-7.293294066874558,112.45600203915654,85.97384321678328,26.482158822373265,30.214366927288207,2021-12-14,25.50249554180167,135.50426806381878,28.3752609272491,135.50426806381878,4.54,-33.400000000000006,-37.47838134430728,-37.940000000000005,4.0783813443072745,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.01807491618842949,0.007574253118528107,2.455820759030636,5.573333333333336,1.1637311385459506,-4.175,-5.42,1,1.0,1,-1,-1,1,-1.0,-3.0
20.0,36,14.900000000000006,12.643880506020423,6.423239144917909,115.9,105.3,79.8,90.4,Thu 12-30 12-30,A,150 (Ⅲ),Appalachian St.,"W, 71-55",66,107.8,56.4,22.8,34.5,21.8,83.5,42.6,19.7,23.1,31.5,-7.0,4.0,133.0,107.40546875,98.9109375,103.2904892546868,95.80556069612994,87.940625,96.08125,90.64660874866638,89.38232155121203,20211230,97.3,98.5,-1.2000000000000028,98.2,98.1,0.1000000000000085,97.6,98.8,-1.25,73.5,3.8269300856591926,131.62964793546027,67.74964438122332,4.620093210556973,133.42772903810663,6.138200111742929,133.42772903810663,4.620093210556973,133.42772903810663,6.138200111742929,134.48729721726073,98.9,99.9,-0.96,64.8,97.3,98.5,-1.2000000000000028,98.2,98.1,0.1000000000000085,7.324975197207568,123.4500751042621,0,94.21345792886528,95.877597837419,-1.6641399085537216,-5.768956729433763,96.02534390328256,101.49409079318694,-5.468746889904381,-4.866564566285272,2021-12-30,1.180028421121321,130.21679234158188,2.407480134148237,130.21679234158188,37.25,3.8499999999999943,-36.118920896204855,-33.400000000000006,39.96892089620485,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,0.35161929169946593,0.4552596056740106,13.893880506020423,16.150000000000006,2.455820759030636,0.4277777777777777,-4.175,1,1.0,1,1,-1,3,1.0,-1.0
6.0,8,16.16666666666667,11.262587004013618,6.800832027660107,99.9,104.26666666666668,91.4,88.09999999999998,Sat 1-01 1-01,A,154 (Ⅲ),Coastal Carolina,"W, 65-64",68,96.1,42.7,19.2,36.6,25.8,94.6,42.7,19.2,22.9,64.6,-11.0,5.0,140.0,103.652734375,107.40546875,102.1603261697912,96.5500042059245,89.6703125,87.940625,90.8977391657776,89.74917217826439,20220101,98.4,97.4,1.0,102.7,101.5,1.2000000000000028,98.4,97.9,0.49,73.4,3.124583652928905,138.9720205107646,70.37211948790898,4.141552179604361,143.98759958292945,-0.5998319069142324,143.98759958292945,4.141552179604361,143.98759958292945,-0.5998319069142324,147.2238376836508,100.8,101.4,-0.61,67.4,98.4,97.4,1.0,102.7,101.5,1.2000000000000028,7.422878413367036,134.52698502160482,0,94.89051166884998,95.5600842641776,-0.6695725953276224,-5.497358578405758,100.2513718521746,96.21345785285077,4.037913999323834,10.719153100878028,2022-01-01,7.015754837756646,134.85013411591945,13.433767946108489,134.85013411591945,7.51,11.359999999999994,-22.795947264136576,3.8499999999999943,34.15594726413657,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.31696934194067294,0.252013458189585,10.772587004013618,15.676666666666671,13.893880506020423,1.136,0.4277777777777777,1,1.0,1,1,1,3,3.0,1.0
