ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-17.5,-11,,-11.799999999999995,-11.799999999999995,97.0,0.0,108.8,0.0,Tue 11-09 11-09,A,26 (I-A),Alabama,"L, 93-64",72,88.9,43.3,15.3,31.4,28.4,129.2,60.2,19.5,43.2,35.9,3.5,11.5,153.5,97.0,0.0,97.0,97.0,108.8,0.0,108.8,108.8,20211109,101.5,95.5,6.0,110.3,92.8,17.5,103.8,95.6,8.22,70.8,14.245767998848947,150.94311159607338,75.13058321479373,12.842420405077632,153.4013358592947,42.98014635740479,153.4013358592947,12.842420405077632,153.4013358592947,42.98014635740479,170.44037367255714,112.4,90.6,21.77,74.6,101.5,95.5,6.0,110.3,92.8,17.5,42.98014635740479,170.44037367255714,0,100.01302633268092,101.81470478045097,-1.801678447770044,0.0955437744521705,101.70006622212998,99.90004540730328,1.800020814826695,-4.302756962951064,2021-11-09,7.160571964504371,156.25679216723665,-1.245065318815918,156.25679216723665,-19.22,-19.22,0.0,0.0,-19.22,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.13670617005697383,0.24763236404443156,-20.019999999999996,,0.0,-19.22,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-15.5,-2,,-8.833333333333329,-10.181818181818176,98.9,0.0,101.8,0.0,Fri 11-12 11-12,H,286 (Ⅳ),Jackson St.,"W, 70-68",73,95.8,46.6,19.2,27.8,37.9,93.1,46.0,23.3,33.3,19.0,9.0,-17.5,129.0,97.95,97.0,97.63333333333334,97.34545454545454,105.3,108.8,106.46666666666668,107.52727272727272,20211112,99.2,94.3,4.900000000000006,92.9,94.8,-1.8999999999999917,103.2,95.0,8.22,70.8,-16.212205200648903,128.4583238419075,70.19573257467995,-8.278629363470223,130.64348385151413,-7.411985134631127,130.64348385151413,-8.278629363470223,130.64348385151413,-7.411985134631127,123.55147549906886,87.0,97.6,-10.56,69.7,99.2,94.3,4.900000000000006,92.9,94.8,-1.8999999999999917,-7.411985134631127,123.55147549906886,0,97.27148013584784,99.29365480250054,-2.0221746666527025,-3.770965614924336,0.0,0.0,0.0,0.0,2021-11-12,0.0,0.0,,0.0,-10.22,-29.439999999999998,-19.22,-19.22,-10.219999999999999,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,3,0.9522096477271853,0.5,-17.053333333333327,,-20.019999999999996,-14.72,-19.22,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
4.0,18,1.400000000000001,0.4111111111111105,-4.894214876033055,108.1,101.33333333333331,89.2,99.93333333333334,Fri 11-19 11-19,A,328 (Ⅳ),Northwestern St.,"W, 83-64",71,117.2,57.6,16.9,25.0,30.5,90.4,46.6,22.6,32.4,29.3,1.5,-15.0,145.5,103.025,97.95,101.12222222222223,99.30082644628098,97.25,105.3,100.71111111111112,104.19504132231404,20211119,99.1,94.6,4.5,92.8,108.4,-15.600000000000009,102.7,96.0,6.72,70.9,-12.31241187214711,144.594068108582,73.11877667140826,-10.593974149007309,145.529859599252,-3.200870843633998,145.529859599252,-10.593974149007309,145.529859599252,-3.200870843633998,149.0956532691529,92.1,108.0,-15.88,72.5,99.1,94.6,4.5,92.8,108.4,-15.600000000000009,-3.1230038320752236,149.21943729647802,0,96.09476322452063,102.24726987323896,-6.1525066487183295,-5.310513390464849,92.41045389803594,105.7177219625924,-13.307268064556467,-16.063729293413733,2021-11-19,-1.2058486946269653,146.43746631886285,-6.034094361097345,146.43746631886285,11.280000000000001,-18.159999999999997,-22.626666666666665,-29.439999999999998,4.466666666666669,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.9234362744901652,0.5457151113907541,-6.308888888888889,-5.3199999999999985,-17.053333333333327,-6.053333333333333,-14.72,-1,-1.0,1,-1,-1,-1,-3.0,-3.0
5.5,19,11.699999999999998,6.640740740740738,-0.5316303531179543,120.6,109.2,101.5,97.5,Wed 11-24 11-24,H,269 (Ⅳ),Louisiana Monroe,"W, 96-74",75,128.6,67.0,20.1,32.1,60.4,99.1,50.0,21.4,28.6,27.9,31.0,-16.5,139.0,111.8125,103.025,107.61481481481482,103.17340345604806,99.375,97.25,100.97407407407408,103.70503380916604,20211124,100.6,95.3,5.299999999999997,95.7,102.8,-7.099999999999994,103.7,96.6,7.07,69.6,-13.270450536516933,138.94882332076978,70.19402560455192,-12.69064890252541,140.07728265691276,-10.777345945709175,140.07728265691276,-12.69064890252541,140.07728265691276,-10.777345945709175,139.58030980766654,95.8,102.2,-6.42,70.9,100.6,95.3,5.299999999999997,95.7,102.8,-7.099999999999994,-10.942163678172294,139.5844892017255,0,99.29726506637518,106.69559367083592,-7.398328604460744,-10.388439073459685,95.2242732544752,109.4917550258356,-14.267481771360409,-1.4204396079981123,2021-11-24,-9.347609388543319,151.25766623276638,4.445614906628542,151.25766623276638,11.93,-6.229999999999997,-21.137777777777778,-18.159999999999997,14.907777777777781,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.9419584331306725,0.8133337697610079,-0.4292592592592621,4.629999999999997,-6.308888888888889,-1.5575,-6.053333333333333,-1,-1.0,1,-1,-1,-1,-1.0,-3.0
-5.5,-6,10.633333333333326,2.3938271604938235,-1.5440611980056005,115.3,114.66666666666669,121.4,104.03333333333336,Sat 11-27 11-27,A,108 (Ⅱ),North Carolina St.,"L, 90-81",69,116.9,55.0,20.2,40.6,30.0,129.9,60.5,8.7,24.2,30.6,28.5,3.5,142.5,113.55625,111.8125,110.17654320987654,105.37823919131203,110.3875,99.375,107.78271604938271,106.92230038931766,20211127,102.6,96.5,6.099999999999994,104.0,97.0,7.0,105.2,97.6,7.53,69.7,6.445058761598801,137.21645780997144,67.41963015647227,4.4448320251218405,138.11027881694434,0.3897176567775379,138.11027881694434,4.4448320251218405,138.11027881694434,0.3897176567775379,144.08150613545033,106.7,95.3,11.42,68.0,102.6,96.5,6.099999999999994,104.0,97.0,7.0,0.44554456357162636,144.20807163030534,0,101.61694681243276,111.45122515482488,-9.834278342392125,-10.298815342812704,102.20138671948304,102.9579384407373,-0.7565517212542545,-4.462339389979233,2021-11-27,10.639211668081415,151.15529605644406,5.683353322965559,151.15529605644406,-13.530000000000001,-19.759999999999998,-16.168518518518518,-6.229999999999997,-3.5914814814814804,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.36944134018176367,0.15546841092338837,-5.136172839506177,3.1033333333333255,-0.4292592592592621,-3.9520000000000013,-1.5575,-1,-1.0,-1,-1,-1,-3,-1.0,-1.0
14.5,30,14.499999999999996,11.762551440329217,4.282131747086328,123.2,119.7,92.7,105.2,Wed 12-01 12-01,H,201 (Ⅳ),Texas Southern,"W, 87-60",71,122.0,61.3,9.8,13.3,21.0,84.2,37.5,21.0,33.3,40.0,3.5,-12.5,143.5,118.378125,113.55625,114.51769547325104,108.61855933834622,101.54375,110.3875,102.75514403292183,104.33642759125988,20211201,105.1,99.4,5.699999999999989,98.4,102.4,-4.0,107.2,99.9,7.38,69.5,-12.022782257523616,141.3403956181043,68.41251778093884,-10.906457128094928,144.15090468091975,-6.91395079195826,144.15090468091975,-10.906457128094928,144.15090468091975,-6.91395079195826,137.29303076272956,97.8,102.2,-4.45,69.2,105.1,99.4,5.699999999999989,98.4,102.4,-4.0,-7.500594693484667,141.41587674170256,0,104.4143088499423,107.89282973086183,-3.4785208809195325,-2.241709695874723,94.99720326896632,99.34141633021018,-4.344213061243863,-2.057224101361993,2021-12-01,-4.9085126183238685,144.53603799780032,-1.7481651338390378,144.53603799780032,22.62,2.860000000000003,-17.36567901234568,-19.759999999999998,20.225679012345683,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.8830703586536275,0.6799208183717061,4.382551440329217,7.1199999999999966,-5.136172839506177,0.47666666666666657,-3.9520000000000013,1,-1.0,1,1,-1,3,-3.0,-1.0
6.5,16,13.599999999999994,13.308367626886142,6.485380520343357,115.6,118.03333333333336,99.2,104.43333333333334,Sat 12-04 12-04,A,80 (I),Santa Clara,"W, 78-75",70,112.2,47.1,14.4,37.5,18.8,107.9,48.3,14.4,31.4,43.1,5.5,3.5,147.5,116.9890625,118.378125,114.87846364883404,109.88791218591962,100.371875,101.54375,101.57009602194788,103.40253166557628,20211204,106.2,99.1,7.1000000000000085,108.5,98.0,10.5,107.6,99.4,8.23,69.7,5.0868923763488,145.80969797551705,69.40256045519205,6.659238459129099,150.43382979535318,5.736014074590595,150.43382979535318,6.659238459129099,150.43382979535318,5.736014074590595,150.35021317423727,106.9,97.4,9.5,70.0,106.2,99.1,7.1000000000000085,108.5,98.0,10.5,9.569849629274874,156.09103176287903,0,105.17994306425996,105.64279333780044,-0.46285027354048225,-0.1021542905209479,108.4323995141225,97.48819482543652,10.944204688685971,15.731985234605592,2021-12-04,12.85518603202344,154.50516340489958,13.084434989410965,154.50516340489958,7.77,10.630000000000003,-10.623786008230454,2.860000000000003,21.253786008230456,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.36944134018176367,0.11041889144497863,5.078367626886141,5.369999999999994,4.382551440329217,1.5185714285714278,0.47666666666666657,1,1.0,1,1,1,3,3.0,-3.0
0.0,0,15.666666666666664,8.905578417924094,5.32440224391729,103.5,114.09999999999998,103.4,98.43333333333334,Sat 12-11 12-11,H,193 (Ⅳ),Louisiana Lafayette,"W, 78-69",72,107.8,51.8,16.6,18.2,42.9,95.4,55.3,22.1,20.0,15.8,-2.0,-9.0,149.0,110.24453125,116.9890625,111.08564243255604,108.7264736066615,101.8859375,100.371875,102.18006401463194,103.40207136274422,20211211,107.7,99.4,8.299999999999997,98.3,99.9,-1.6000000000000083,109.0,99.9,9.08,69.6,-12.021053419070256,150.22827304079658,72.96614509246088,-11.660783878553033,153.37807591726585,-23.70954551900161,153.37807591726585,-11.660783878553033,153.37807591726585,-23.70954551900161,153.78230697146566,98.0,99.7,-1.74,73.7,107.7,99.4,8.299999999999997,98.3,99.9,-1.6000000000000083,-16.506779511080047,143.93426138669088,0,105.27941247271318,105.2994173057736,-0.020004833060426108,1.1857696404764029,90.5762606267389,98.52889817459624,-7.952637547857336,-8.801016475133274,2021-12-11,-10.391577037289167,148.7237815479255,-9.252233181015043,148.7237815479255,-9.08,1.5500000000000025,-3.5391906721536364,10.630000000000003,5.089190672153639,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.804317030846224,0.838833257246447,-0.1744215820759063,6.586666666666664,5.078367626886141,0.19374999999999964,1.5185714285714278,-1,1.0,1,1,1,1,3.0,3.0
2.0,12,9.566666666666665,10.003718945282731,6.57451092684142,99.2,106.1,87.0,96.53333333333336,Sat 12-18 12-18,N,25 (I-A),LSU,"L, 66-57",71,80.8,40.9,22.7,20.5,30.9,93.6,44.1,19.8,30.0,32.2,-21.0,11.0,144.0,104.722265625,110.24453125,107.12376162170402,106.9943874963594,94.44296875,101.8859375,97.1200426764213,100.419876569518,20211218,107.5,99.2,8.299999999999997,107.2,86.0,21.200000000000003,107.7,98.7,9.07,69.6,10.600136003906492,138.0276461391478,70.19402560455192,9.979584888643558,142.80222503074953,9.203361397162691,142.80222503074953,9.979584888643558,142.80222503074953,9.203361397162691,137.15791241500642,107.8,84.7,23.1,70.9,107.5,99.2,8.299999999999997,107.2,86.0,21.200000000000003,14.504885411787944,134.97905071921429,0,106.73628925539631,102.370544588922,4.365744666474313,5.5711889962133885,103.11683130883962,78.05641372873859,25.06041758010103,31.99927476803807,2021-12-18,15.980914213384096,135.67863673864068,18.55093729346757,135.67863673864068,2.9299999999999997,4.480000000000002,-1.842793781435757,1.5500000000000025,6.3227937814357595,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.14740707903152717,0.06400556393351653,0.933718945282731,0.49666666666666437,-0.1744215820759063,0.4977777777777783,0.19374999999999964,1,-1.0,1,1,1,3,1.0,3.0
16.0,20,11.0,13.569145963521825,9.142781667415708,102.2,101.63333333333333,81.5,90.63333333333334,Thu 12-30 12-30,H,249 (Ⅳ),Marshall,"W, 79-56",72,109.8,55.3,11.1,18.9,15.2,77.8,33.8,16.7,27.5,19.1,-20.0,-7.0,155.0,103.4611328125,104.722265625,105.48250774780269,106.1226806788395,87.971484375,94.44296875,91.91336178428088,96.9798990114238,20211230,107.3,98.2,9.099999999999994,102.1,102.6,-0.5,108.0,99.0,8.94,69.2,-10.00721885682836,157.2308280974306,74.1217638691323,-11.90633931072449,159.56667000893643,-19.028973913110928,159.56667000893643,-11.90633931072449,159.56667000893643,-19.028973913110928,151.43226344057672,103.7,102.1,1.65,75.3,107.3,98.2,9.099999999999994,102.1,102.6,-0.5,-13.954730899323168,159.13759706105,0,106.32420605886712,100.43038804816403,5.893818010703086,8.930825314420549,94.45912757136333,101.75442272833878,-7.295295156975456,-4.468538626199165,2021-12-30,-14.40032311314684,154.11295621867507,-12.053559646798405,154.11295621867507,11.06,15.540000000000003,0.26480414570949606,4.480000000000002,15.275195854290507,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.7475074624530771,0.914884095538833,4.629145963521825,2.0600000000000005,0.933718945282731,1.5539999999999985,0.4977777777777783,1,1.0,1,1,1,3,3.0,1.0
