ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-14.5,6,,6.700000000000003,6.700000000000003,95.8,0.0,89.1,0.0,Tue 11-09 11-09,H,224 (Ⅳ),Southern,"W, 72-60",75,95.9,46.9,25.3,41.9,29.2,79.9,36.8,18.7,29.4,25.0,-6.5,-26.5,138.5,95.8,0.0,95.8,95.8,89.1,0.0,89.1,89.1,20211109,111.0,95.0,16.0,97.3,106.7,-9.400000000000006,106.4,90.6,15.77,70.6,-24.434817094420033,139.41708634433792,73.21109530583215,-23.88159004843739,158.38587583778036,-13.53473984370355,158.38587583778036,-23.88159004843739,158.38587583778036,-13.53473984370355,120.93415891784095,89.6,102.8,-13.26,72.9,111.0,95.0,16.0,97.3,106.7,-9.400000000000006,-13.53473984370355,120.93415891784095,0,94.73817447071065,98.45237578272544,-3.7142013120147936,-8.81697908979251,0.0,0.0,0.0,0.0,2021-11-09,0.0,0.0,,0.0,-9.77,-9.77,0.0,0.0,-9.77,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,3,0.9941954594266154,0.5,-9.069999999999997,,0.0,-9.77,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-17.0,1,,5.033333333333337,5.790909090909094,92.3,0.0,90.6,0.0,Fri 11-12 11-12,H,70 (Ⅲ),Furman,"L, 80-72 OT",79,90.9,41.3,8.8,15.6,27.5,101.0,49.2,15.2,12.8,42.6,6.5,-9.0,145.5,94.05,95.8,94.63333333333334,95.16363636363636,89.85,89.1,89.6,89.37272727272726,20211112,106.9,92.0,14.900000000000006,99.3,96.6,2.700000000000003,105.8,90.1,15.77,70.6,-11.376063736868268,139.16223376344198,71.10213371266002,-12.62821789362846,141.834875786493,-1.4697050680189179,141.834875786493,-12.62821789362846,141.834875786493,-1.4697050680189179,127.59246805148467,103.1,97.8,5.37,70.8,106.9,92.0,14.900000000000006,99.3,96.6,2.700000000000003,-1.4697050680189179,127.59246805148467,0,97.19732360065616,103.17105175052204,-5.973728149865877,-1.7996819116167335,99.0077747352657,97.91652429241414,1.0912504428515604,-0.4908738387534144,2021-11-12,1.0558273995512053,143.41327503903648,-1.0374684017716618,143.41327503903648,-14.77,-24.54,-9.77,-9.77,-14.77,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.804317030846224,0.4599518639811391,-10.736666666666663,,-9.069999999999997,-12.27,-9.77,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
3.0,26,11.566666666666668,12.122222222222224,9.519834710743805,119.3,102.46666666666664,93.0,90.9,Mon 11-15 11-15,H,173 (Ⅳ),Navy,"W, 77-60",69,111.0,66.0,23.1,16.7,32.0,86.5,45.5,27.4,34.3,23.2,2.5,-14.0,134.5,106.675,94.05,102.85555555555555,99.55206611570246,91.425,89.85,90.73333333333332,90.03223140495867,20211115,106.1,92.7,13.399999999999991,101.1,100.1,1.0,105.1,91.0,14.13,70.1,-13.617873274634235,131.951321222563,68.30512091038406,-12.6526620204504,140.13077114937417,-5.044159078676169,140.13077114937417,-12.6526620204504,140.13077114937417,-5.044159078676169,124.42528740011093,98.4,99.1,-0.67,68.5,106.1,92.7,13.399999999999991,101.1,100.1,1.0,-4.994368036439298,124.43537868045945,0,92.17209813701866,107.32331822244072,-15.151220085422054,-13.33282668996982,105.14556268363206,109.03166691853376,-3.886104234901694,-5.741421815830599,2021-11-15,4.461585849400862,149.03183475198574,3.455176531651695,149.03183475198574,11.87,-12.67,-14.693333333333333,-24.54,2.0233333333333334,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.9087887802741321,0.33545007133446747,-2.007777777777777,-2.5633333333333326,-10.736666666666663,-4.2233333333333345,-12.27,-1,-1.0,1,-1,-1,-1,-3.0,-3.0
-10.5,1,9.966666666666663,8.714814814814815,8.13441021788129,98.6,103.4,96.7,93.43333333333334,Sat 11-20 11-20,H,221 (Ⅳ),Detroit,"W, 73-67",68,106.8,56.4,21.9,31.3,30.9,98.0,48.3,19.0,28.9,27.1,-2.0,-16.5,142.0,102.6375,106.675,101.43703703703704,99.37896318557472,94.0625,91.425,92.72222222222224,91.24455296769344,20211120,105.8,91.7,14.099999999999994,103.4,109.7,-6.299999999999997,105.1,90.7,14.43,69.9,-17.465186630825585,138.78165400929794,67.71251778093884,-18.83529234933623,146.71993860000953,-20.402192974618227,146.71993860000953,-18.83529234933623,146.71993860000953,-20.402192974618227,140.84671845946357,102.1,107.3,-5.27,68.1,105.8,91.7,14.099999999999994,103.4,109.7,-6.299999999999997,-20.37761237380882,141.02155660240933,0,94.86429975383852,95.1985692358561,-0.3342694820175751,-5.138211398202556,102.42972130531356,105.389571161012,-2.9598498556984367,-3.147388899994388,2021-11-20,-5.546214563106972,137.0641384107969,-0.46936901972770784,137.0641384107969,-13.43,-26.1,-14.01888888888889,-12.67,-12.081111111111111,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.9419584331306725,0.7013235213059404,-5.7151851851851845,-4.4633333333333365,-2.007777777777777,-6.525,-4.2233333333333345,-1,-1.0,-1,-1,-1,-3,-1.0,-3.0
16.0,35,21.266666666666666,17.67654320987654,13.128153814630146,108.5,108.8,72.9,87.53333333333335,Thu 11-25 11-25,N,60 (Ⅱ),Mississippi St.,"W, 72-58",73,99.1,46.8,20.6,34.9,34.9,79.8,34.2,15.1,23.8,38.3,-2.5,2.0,132.5,105.56875,102.6375,103.79135802469136,101.03733351547024,83.48125,94.0625,86.11481481481482,87.90917970084008,20211125,105.9,92.8,13.100000000000009,106.3,91.9,14.399999999999991,105.6,92.0,13.57,68.9,0.8969132578925993,128.3020449638012,64.97965860597441,0.882598625789953,130.60600226392933,10.0052264206163,130.60600226392933,0.882598625789953,130.60600226392933,10.0052264206163,123.45579033397713,108.6,93.3,15.35,66.3,105.9,92.8,13.100000000000009,106.3,91.9,14.399999999999991,10.098901174050322,123.42137997752253,0,96.02516044207586,91.87477713178244,4.150383310293421,-3.205366666681904,103.35174839235756,89.44423710306208,13.907511289295485,15.670224690029738,2021-11-25,6.041642724632247,120.52550411626513,12.265294823450034,120.52550411626513,21.43,-4.670000000000002,-18.04592592592593,-26.1,13.375925925925927,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.4244679994402739,0.28251224621674975,4.106543209876541,7.696666666666665,-5.7151851851851845,-0.9339999999999993,-6.525,1,-1.0,1,-1,-1,1,-3.0,-1.0
5.5,13,17.099999999999998,16.384362139917698,13.250307666515576,89.9,99.0,76.1,81.89999999999999,Sat 11-27 11-27,N,85 (Ⅱ),Maryland,"W, 63-55",70,89.9,40.0,24.3,42.5,31.7,78.5,42.3,18.6,5.6,32.7,-21.5,-2.5,139.5,97.734375,105.56875,99.16090534979423,99.01236378538474,79.790625,83.48125,82.77654320987655,85.76205611886917,20211127,106.2,91.4,14.799999999999995,105.4,94.1,11.300000000000011,105.8,91.0,14.76,69.7,0.23178482127060818,133.9926980417967,68.31194879089617,-2.517657501680773,137.3145485253675,-6.25905337224785,137.3145485253675,-2.517657501680773,137.3145485253675,-6.25905337224785,128.40856249573903,108.5,93.0,15.52,68.9,106.2,91.4,14.799999999999995,105.4,94.1,11.300000000000011,-5.237045429862111,128.39444955979044,0,95.53134959608722,89.66537159426815,5.865978001819073,-0.5881482096383159,97.42347038267768,97.14030956740967,0.28316081526800474,-6.79300886630983,2021-11-27,-3.8089710675192947,126.03998588844264,-4.238661234331914,126.03998588844264,-1.7599999999999998,-6.4300000000000015,-13.587283950617287,-4.670000000000002,7.157283950617286,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.5940963859982835,0.6416075948817377,1.6243621399176984,2.339999999999998,4.106543209876541,-1.071666666666669,-0.9339999999999993,1,1.0,1,-1,-1,1,1.0,-3.0
-5.0,1,17.066666666666674,11.52290809327847,11.168433545330926,95.9,98.1,94.1,81.03333333333335,Wed 12-01 12-01,A,43 (I-A),Michigan St.,"L, 73-64",72,89.4,46.7,22.4,25.6,18.0,102.0,57.1,26.5,27.6,46.9,-0.5,4.0,137.5,96.8171875,97.734375,98.07393689986284,98.44647946076932,86.9453125,79.790625,86.55102880658437,87.27804591543841,20211201,105.9,90.8,15.100000000000009,106.2,89.3,16.900000000000006,105.9,90.4,15.53,69.9,6.5069144711002025,132.60668497231163,69.70113798008535,5.143373856969291,136.3305039234529,5.156825716683429,136.3305039234529,5.143373856969291,136.3305039234529,5.156825716683429,121.20124195636178,107.9,88.3,19.66,70.1,105.9,90.8,15.100000000000009,106.2,89.3,16.900000000000006,6.4850065134185915,121.78444290393507,0,96.78328065217244,91.2072359396998,5.576044712472637,0.3809058672814803,104.47926753354814,80.61229266685237,23.86697486669577,23.3424612928449,2021-12-01,15.788197222824287,124.01764049842765,18.18759368927735,124.01764049842765,-14.53,-20.96,-11.201522633744858,-6.4300000000000015,-9.758477366255143,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.35161929169946593,0.0663373223859125,-4.007091906721529,1.5366666666666742,1.6243621399176984,-2.994285714285713,-1.071666666666669,-1,1.0,-1,-1,-1,-3,1.0,1.0
0.5,12,9.500000000000004,11.981938728852311,11.48326380981621,107.3,97.7,94.4,88.19999999999999,Sat 12-04 12-04,A,124 (Ⅲ),North Carolina St.,"W, 73-68",67,109.2,50.8,19.5,37.8,25.0,101.7,46.7,9.0,17.9,30.0,2.5,-4.5,138.5,102.05859375,96.8171875,101.14929126657525,100.05621046790216,90.67265625,86.9453125,89.16735253772292,88.57294665808598,20211204,105.4,91.0,14.400000000000006,106.6,99.4,7.199999999999989,105.5,90.3,15.28,70.1,0.4684471620442565,135.3104995999621,68.10568990042674,-1.4742846226767483,140.62700736550136,-4.084941606208368,140.62700736550136,-1.4742846226767483,140.62700736550136,-4.084941606208368,133.06140764549542,107.9,97.0,10.92,68.3,105.4,91.0,14.400000000000006,106.6,99.4,7.199999999999989,-2.7999726426015425,133.87986680105112,0,97.46746268445398,93.01227536126932,4.45518732318466,0.3884330289032877,103.12819134096536,102.74685955925152,0.38133178171383975,-2.62895655334693,2021-12-04,0.8832329036632274,136.7143424794629,-0.1694176108150316,136.7143424794629,-3.2799999999999994,-24.240000000000002,-14.454348422496572,-20.96,-9.78565157750343,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.6658824291023754,0.46648153752632104,-3.298061271147688,-5.779999999999996,-4.007091906721529,-3.0299999999999994,-2.994285714285713,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
-14.5,0,4.733333333333334,7.821292485901542,9.304488571667806,79.0,94.06666666666666,79.5,89.33333333333333,Fri 12-10 12-10,H,103 (Ⅲ),DePaul,"L, 62-55",74,74.6,35.8,20.3,30.8,4.1,84.0,40.9,19.0,29.8,22.7,-30.0,-7.5,147.0,90.529296875,102.05859375,93.76619417771684,96.22780856464722,85.086328125,90.67265625,85.94490169181529,86.92331999297943,20211210,105.6,91.3,14.299999999999995,107.8,100.1,7.700000000000003,106.4,91.0,15.45,69.8,-10.176889775372047,143.70789518119227,71.6864864864865,-9.532453206509217,149.84456179744222,-8.619920943362983,149.84456179744222,-9.532453206509217,149.84456179744222,-8.619920943362983,139.2840387555322,105.8,98.6,7.16,72.2,105.6,91.3,14.299999999999995,107.8,100.1,7.700000000000003,-8.410645103357224,144.3696496985311,0,94.60169991951096,90.94143447598148,3.6602654435294824,-1.903140141327794,106.8476594751283,95.40119544933802,11.446464025790277,17.91221683040011,2021-12-10,1.2253505013284496,137.3010107142924,12.037042751802645,137.3010107142924,-15.45,-39.69,-17.716232281664382,-24.240000000000002,-21.973767718335615,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.7624747379730235,0.45354887621982587,-7.6287075140984575,-10.716666666666665,-3.298061271147688,-4.41,-3.0299999999999994,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
2.5,18,10.166666666666664,11.24752832393436,10.903672467728205,102.5,96.26666666666668,84.4,86.10000000000001,Tue 12-14 12-14,H,269 (Ⅳ),Southeastern Louisiana,"W, 86-60",74,116.3,57.8,18.9,31.0,39.7,81.1,37.1,21.6,29.5,30.6,5.5,-23.5,140.5,96.5146484375,90.529296875,96.67746278514456,97.36820700743864,84.7431640625,85.086328125,85.4299344612102,86.46453453971044,20211214,102.3,89.0,13.299999999999995,94.3,107.0,-12.700000000000005,103.8,89.6,14.2,70.0,-22.055680336140078,135.75455123383932,69.70128022759602,-22.08390060901162,138.50893455843806,-18.73035347582853,138.50893455843806,-22.08390060901162,138.50893455843806,-18.73035347582853,127.83634780600619,94.1,106.6,-12.47,70.0,102.3,89.0,13.299999999999995,94.3,107.0,-12.700000000000005,-16.92023473920105,130.00473160016008,0,96.02898509956438,90.70400568051627,5.3249794190481055,0.1788524074398123,96.35207386725575,98.6088122937356,-2.256738426479842,-3.2225404133905817,2021-12-14,-8.845121290883881,130.0812911438357,-4.2927493349730526,130.0812911438357,3.8000000000000007,-35.89,-25.04082152110959,-39.69,-10.849178478890412,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.9873925774343177,0.8002158562331512,-2.95247167606564,-4.033333333333335,-7.6287075140984575,-3.5889999999999986,-4.41,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
