ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-18.5,-1,,-1.7999999999999972,-1.7999999999999972,109.7,0.0,111.5,0.0,Tue 11-09 11-09,H,78 (Ⅱ),Chattanooga,"L, 75-64",63,101.7,44.7,19.1,37.5,36.8,119.2,50.0,9.5,38.7,44.6,-2.5,-7.5,141.5,109.7,0.0,109.7,109.7,111.5,0.0,111.5,111.5,20211109,107.3,98.2,9.099999999999994,103.3,100.4,2.8999999999999915,106.9,96.9,10.06,68.6,-8.477852075416436,137.42579827459713,67.03869132290185,-8.344124061142693,143.83876659588492,3.689605218337576,143.83876659588492,-8.344124061142693,143.83876659588492,3.689605218337576,155.82250901020467,102.6,99.5,3.08,68.7,107.3,98.2,9.099999999999994,103.3,100.4,2.8999999999999915,3.689605218337576,155.82250901020467,0,98.06732095746108,96.57483651049333,1.492484446967751,2.556373335856714,93.19086623058,103.82883165293376,-10.637965422353759,-6.907409866798209,2021-11-09,-11.813196375393268,132.02514703804945,-8.180643474447173,132.02514703804945,-11.06,-11.06,0.0,0.0,-11.06,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.7624747379730235,0.869719534308738,-11.859999999999998,,0.0,-11.06,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
6.0,9,,1.9000000000000008,0.2181818181818202,97.1,0.0,87.8,0.0,Wed 11-17 11-17,H,314 (Ⅳ),Little Rock,"W, 82-63",77,106.4,63.2,22.1,14.8,26.3,81.7,50.0,28.5,13.8,38.0,10.0,-13.0,135.0,103.4,109.7,105.5,107.4090909090909,99.65,111.5,103.6,107.19090909090907,20211117,106.1,96.9,9.199999999999989,91.1,102.6,-11.5,106.6,96.5,10.13,68.5,-18.03795572635437,138.88664961464448,69.37695590327169,-18.541318549460918,140.44531398349977,-1.103368226126804,140.44531398349977,-18.541318549460918,140.44531398349977,-1.103368226126804,147.77088769003745,93.3,103.7,-10.4,71.2,106.1,96.9,9.199999999999989,91.1,102.6,-11.5,-1.103368226126804,147.77088769003745,0,93.82400497618356,95.36766618452862,-1.543661208345057,1.526773108941912,108.29426947248854,95.15428966307718,13.139979809411358,10.359729209198251,2021-11-17,6.115938407013132,136.50471333691064,4.070030384734807,136.50471333691064,-1.1300000000000008,-12.190000000000001,-11.06,-11.06,-1.1300000000000008,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.8921596253194927,0.2801249623074854,-8.23,,-11.859999999999998,-6.095000000000001,-11.06,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-21.0,-25,-6.099999999999999,-7.33333333333333,-4.512396694214874,71.5,92.76666666666668,97.3,98.86666666666667,Sun 11-21 11-21,N,104 (Ⅲ),Florida St.,"L, 73-45",70,64.4,43.2,34.3,18.2,36.4,104.4,57.9,24.3,30.0,19.3,-20.5,7.0,138.5,87.45,103.4,94.16666666666669,100.88016528925618,98.475,99.65,101.5,105.39256198347108,20211121,105.6,96.5,9.099999999999994,104.4,90.3,14.100000000000009,106.3,96.2,10.17,69.6,5.276482771915667,140.2688065289484,70.5900426742532,3.892559780896363,141.64289174667203,6.99132220438666,141.64289174667203,3.892559780896363,141.64289174667203,6.99132220438666,134.44490764798337,107.7,90.4,17.3,71.3,105.6,96.5,9.099999999999994,104.4,90.3,14.100000000000009,6.9530491612342855,134.39828368337658,0,88.51236332471511,104.5522310547202,-16.039867730005085,-16.130848884983433,99.81924146941664,90.67489515263468,9.144346316781963,17.88135307290028,2021-11-21,17.410596300092465,133.35024616755166,24.009227876523305,133.35024616755166,-35.17,-47.36,-11.436666666666667,-12.190000000000001,-35.92333333333333,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.2524925375469229,0.048643392293408305,-17.50333333333333,-16.27,-8.23,-15.786666666666665,-6.095000000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
10.0,18,0.6666666666666666,1.2777777777777786,-0.3283245679939872,129.4,99.33333333333331,110.9,98.66666666666669,Mon 11-22 11-22,N,45 (I),SMU,"W, 76-70",61,123.7,59.1,19.5,36.0,20.0,113.9,54.6,19.5,43.3,25.9,7.0,4.0,139.0,108.425,87.45,105.91111111111113,106.06558978211868,104.6875,98.475,104.63333333333334,106.39391435011268,20211122,106.1,96.9,9.199999999999989,102.5,95.0,7.5,105.0,96.6,8.32,69.3,2.023991975541918,141.74094889790027,70.08862019914652,-1.056223813365591,143.54422340997712,10.645346462191807,143.54422340997712,-1.056223813365591,143.54422340997712,10.645346462191807,127.81326559532121,106.7,95.4,11.29,71.1,106.1,96.9,9.199999999999989,102.5,95.0,7.5,10.482756994173423,127.77109636899985,0,96.05870821584294,107.60803704294344,-11.549328827100496,-15.884576566577408,98.1174038642679,102.67892688790998,-4.561523023642081,4.416126289843898,2021-11-22,4.985348795542208,146.48283034834174,14.22848252279443,146.48283034834174,9.68,-37.68,-23.41111111111111,-47.36,-14.268888888888888,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.35161929169946593,0.3174665046085702,-7.042222222222222,-7.653333333333333,-17.50333333333333,-9.42,-15.786666666666665,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-10.5,-11,-6.23333333333333,-2.9481481481481446,-2.341356464722352,109.2,103.36666666666666,120.6,109.59999999999998,Sat 11-27 11-27,H,274 (Ⅳ),Prairie View A&M,"W, 83-80",72,115.3,52.0,20.8,34.5,73.5,111.1,54.5,22.2,33.3,44.6,26.5,-13.5,136.5,108.8125,108.425,107.0074074074074,106.6354825490062,112.64375,104.6875,109.95555555555558,108.97683901372856,20211127,105.6,98.5,7.099999999999994,94.8,102.3,-7.5,106.9,97.8,9.02,67.4,-14.94174309082321,141.4665007290327,69.22162162162164,-14.381142091854073,143.05022021771003,-13.01019313561753,143.05022021771003,-14.381142091854073,143.05022021771003,-13.01019313561753,139.15415571354026,96.6,103.3,-6.71,72.2,105.6,98.5,7.099999999999994,94.8,102.3,-7.5,-11.953651830950115,142.79666467523464,0,96.27994410239968,109.6175297210363,-13.337585618636624,-17.6482425556153,97.5398203486858,106.9598469574532,-9.420026608767401,-7.032611112205635,2021-11-27,-1.372424715723696,148.70255867801595,5.649289645042465,148.70255867801595,-20.02,-57.7,-28.16740740740741,-37.68,-29.532592592592593,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.900728603156669,0.551996498469474,-11.968148148148144,-15.25333333333333,-7.042222222222222,-11.540000000000001,-9.42,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-9.5,2,3.333333333333333,-0.998765432098766,-1.388382562045562,116.8,118.46666666666664,113.9,115.13333333333333,Mon 11-29 11-29,H,91 (Ⅲ),Grand Canyon,"L, 78-72",67,108.1,60.0,22.5,21.7,28.0,117.2,53.3,15.0,40.6,33.3,18.5,-3.5,131.5,112.80625,108.8125,110.27160493827162,108.48357663100506,113.271875,112.64375,111.2703703703704,109.87195919305064,20211129,106.3,100.6,5.700000000000003,103.8,98.3,5.5,107.6,99.8,7.82,67.7,-6.371190235439961,127.58570724348846,62.403413940256044,-3.793555470193752,133.90694402052887,3.8990896807269158,133.90694402052887,-3.793555470193752,133.90694402052887,3.8990896807269158,128.00138333569635,100.6,97.5,3.12,64.8,106.3,100.6,5.700000000000003,103.8,98.3,5.5,4.435576423382701,128.38297298911655,0,99.03584609530424,111.18536963839269,-12.14952354308845,-16.692276492375612,101.81949168902396,97.62948706591158,4.190004623112387,3.5956808210623,2021-11-29,6.82248352506889,134.23795250689253,11.027500511323858,134.23795250689253,-5.82,-63.52,-38.01160493827161,-57.7,-25.508395061728393,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.6305586598182363,0.25792352177234257,-8.818765432098767,-4.486666666666667,-11.968148148148144,-10.586666666666668,-11.540000000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-5.0,3,-1.7000000000000028,0.4674897119341529,-0.5177675507645523,114.8,113.6,111.4,115.3,Sat 12-04 12-04,A,180 (Ⅲ),Long Beach St.,"W, 77-74",67,115.0,50.9,13.4,29.4,38.6,110.5,50.0,14.9,27.0,34.5,3.0,-8.0,148.0,113.803125,112.80625,111.78106995884777,109.6320172435496,112.3359375,113.271875,111.3135802469136,110.14978479431414,20211204,106.6,102.0,4.599999999999994,95.8,107.0,-11.200000000000005,107.4,101.0,6.46,67.8,-8.377781930227485,146.27804919080103,70.01820768136557,-7.46654666893555,151.46168640613223,-5.937335081896397,151.46168640613223,-7.46654666893555,151.46168640613223,-5.937335081896397,143.46676310366934,95.3,106.3,-10.93,72.6,106.6,102.0,4.599999999999994,95.8,107.0,-11.200000000000005,-3.2265850988984908,149.27260697729557,0,99.6514961027334,110.65862757225234,-11.007131469518939,-13.540999700353764,94.48368899688047,103.71335570741245,-9.229666710531973,-10.07794196859318,2021-12-04,5.033430628133289,149.0387657957954,4.153754935009296,149.0387657957954,-3.46,-66.98,-46.51440329218107,-63.52,-20.465596707818932,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.7769415761393583,0.3158361704194449,-5.992510288065847,-8.160000000000004,-8.818765432098767,-9.568571428571428,-10.586666666666668,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
8.0,8,4.999999999999996,3.211659807956103,1.1581901857380943,89.4,107.0,80.7,102.0,Tue 12-07 12-07,A,156 (Ⅲ),Tulsa,"W, 60-55",67,89.3,52.1,32.8,33.3,31.3,81.9,45.4,19.4,14.3,20.4,-18.5,3.0,133.5,101.6015625,113.803125,104.32071330589852,105.9534686538133,96.51796875,112.3359375,101.1090534979424,104.7952784680752,20211207,106.6,103.1,3.5,103.1,101.8,1.2999999999999972,107.7,101.9,5.82,67.3,1.4305140680907158,134.6728880645827,63.37496443812235,2.466478075067016,139.7233863419491,5.379935828915349,139.7233863419491,2.466478075067016,139.7233863419491,5.379935828915349,145.17028570477703,103.0,100.9,2.08,66.2,106.6,103.1,3.5,103.1,101.8,1.2999999999999972,2.4175932061001535,139.25532175628442,0,97.47057700193042,106.2699465399634,-8.799369538032977,-11.440293815321674,97.55800011810491,102.92006003255564,-5.362059914450725,-10.65926919576296,2021-12-07,5.900322437640575,132.78313510315772,2.073394816376158,132.78313510315772,2.1799999999999997,-64.80000000000001,-53.33626886145405,-66.98,-11.46373113854596,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,-3,0.38754848109799234,0.28707999287372954,-2.6083401920438973,-0.8200000000000047,-5.992510288065847,-8.1,-9.568571428571428,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-6.5,1,4.433333333333333,2.541106538637403,1.1657919701493502,87.0,97.06666666666666,85.8,92.63333333333333,Sat 12-11 12-11,H,79 (Ⅲ),New Mexico St.,"L, 63-58",71,81.7,39.3,19.7,22.9,33.9,88.8,48.8,36.6,41.7,58.1,-17.5,-1.5,138.5,94.30078125,101.6015625,98.54714220393237,102.50738344402906,91.158984375,96.51796875,96.00603566529492,101.34159147387967,20211211,105.0,101.8,3.200000000000003,109.2,103.0,6.200000000000003,107.0,101.0,5.97,67.5,-4.175574293102059,137.07691205827905,63.56330014224752,-2.038428722857361,143.04812784178458,-7.971007368048695,143.04812784178458,-2.038428722857361,143.04812784178458,-7.971007368048695,150.85848962325844,107.0,101.5,5.41,66.2,105.0,101.8,3.200000000000003,109.2,103.0,6.200000000000003,-0.03672850065275696,139.9927712323444,0,94.69634913671996,104.00457686301236,-9.308227726292401,-12.717887515370068,102.35740199605888,101.68537347989272,0.672028516166165,4.075685700285773,2021-12-11,2.9285427138690636,132.1076781377968,8.971682705193174,132.1076781377968,-4.97,-69.77000000000001,-57.15751257430271,-64.80000000000001,-12.612487425697303,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,0.5567984968164682,0.3901573960305941,-3.4288934613625965,-1.536666666666667,-2.6083401920438973,-7.752222222222221,-8.1,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
1.5,-1,2.733333333333339,1.127404359091606,0.6447388846676521,88.9,88.43333333333334,90.6,85.7,Sat 12-18 12-18,A,127 (Ⅱ),Nevada,"L, 68-63",72,87.6,43.8,25.0,29.7,33.9,94.6,41.5,18.1,21.6,54.7,-17.5,6.5,148.5,91.600390625,94.30078125,95.33142813595492,100.03331372693287,90.8794921875,91.158984375,94.2040237768633,99.3885748422652,20211218,102.1,99.9,2.1999999999999886,105.8,98.8,7.0,103.6,98.6,4.99,68.2,7.2855868685479095,144.76907843288038,69.84921763869133,7.581183855788268,147.8052298375723,10.575548070822139,147.8052298375723,7.581183855788268,147.8052298375723,10.575548070822139,145.7870416376412,107.9,98.2,9.73,72.0,102.1,99.9,2.1999999999999886,105.8,98.8,7.0,7.439299220231044,147.75899621893487,0,94.11442073880762,102.79111972648184,-8.676698987674214,-12.677551459480116,99.32914118995426,102.3441269379596,-3.014985748005344,2.6290721868981755,2021-12-18,8.105668848654986,141.99898760924077,12.549071979586735,141.99898760924077,-5.99,-75.76,-61.361675049535144,-69.77000000000001,-14.398324950464861,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.26794249453351904,0.22006655352166749,-3.862595640908394,-2.256666666666661,-3.4288934613625965,-7.5760000000000005,-7.752222222222221,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
