ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
2.0,-2,,-2.3999999999999915,-2.3999999999999915,87.2,0.0,89.6,0.0,Fri 11-12 11-12,H,175 (Ⅳ),Fordham,"W, 66-60",76,86.6,40.7,24.9,33.3,49.2,78.8,45.2,34.1,31.3,30.8,-8.0,-4.0,134.0,87.2,0.0,87.2,87.2,89.6,0.0,89.6,89.6,20211112,94.2,100.4,-6.200000000000003,93.9,97.9,-4.0,91.7,98.8,-7.04,69.8,-3.030468013602878,123.98689411222887,69.00568990042674,-2.238074373702162,131.7501370729779,-1.8421684095375,131.7501370729779,-2.238074373702162,131.7501370729779,-1.8421684095375,123.4976349532123,91.7,98.1,-6.37,69.5,94.2,100.4,-6.200000000000003,93.9,97.9,-4.0,-1.8421684095375,123.4976349532123,0,100.50395547992696,111.39791815381332,-10.893962673886364,-10.131021581928684,101.9407275206892,95.1384010358782,6.80232648481099,1.8571933259484608,2021-11-12,8.540841970278606,147.46315250285323,6.420322858483509,147.46315250285323,5.04,5.04,0.0,0.0,5.04,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,4.640000000000009,,0.0,5.04,0.0,1,0.0,1,1,1,3,0.0,0.0
-13.5,-20,,-8.399999999999991,-5.672727272727264,100.2,0.0,120.6,0.0,Mon 11-15 11-15,A,212 (Ⅲ),Old Dominion,"L, 79-58",62,92.9,46.9,25.6,32.4,43.8,126.6,55.3,9.6,38.2,43.9,11.0,7.5,126.0,93.7,87.2,91.53333333333332,89.56363636363636,105.1,89.6,99.93333333333334,95.23636363636362,20211115,93.6,99.7,-6.1000000000000085,100.7,96.0,4.700000000000003,91.6,98.4,-6.76,71.1,10.56755337986592,126.73029518682804,69.58293029871977,11.304458557328914,135.74856055688707,-2.0036017790414533,135.74856055688707,11.304458557328914,135.74856055688707,-2.0036017790414533,94.49228025602461,98.0,94.2,3.81,68.8,93.6,99.7,-6.1000000000000085,100.7,96.0,4.700000000000003,-2.0036017790414533,94.49228025602461,0,100.9522107442736,106.903949514265,-5.951738769991394,-14.812462058471493,101.17976271545014,92.22727581807628,8.95248689737386,12.645232766562962,2021-11-15,14.742677661441007,143.68706739839578,21.033078397036647,143.68706739839578,-13.24,-8.2,5.04,5.04,-13.239999999999998,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,-1.6399999999999917,,4.640000000000009,-4.1,5.04,-1,1.0,-1,-1,1,-3,3.0,0.0
0.0,-5,-9.499999999999996,-7.4999999999999964,-5.677685950413216,80.5,89.3,86.2,98.8,Fri 11-19 11-19,N,300 (Ⅳ),North Alabama,"W, 55-51",68,81.0,43.6,26.5,22.6,40.4,75.1,36.0,25.0,28.6,17.5,-27.5,-4.0,133.5,87.1,93.7,87.85555555555555,87.91570247933885,95.65,105.1,95.35555555555555,93.59338842975204,20211119,93.8,100.4,-6.6000000000000085,91.8,104.3,-12.5,91.8,99.8,-8.08,69.9,-2.6007036453578394,133.22773094414134,71.49089615931723,-4.143424037989277,138.9384513911241,-5.775921078862027,138.9384513911241,-4.143424037989277,138.9384513911241,-5.775921078862027,122.28253890611836,92.0,104.0,-11.9,71.9,93.8,100.4,-6.6000000000000085,91.8,104.3,-12.5,-5.778876604985039,122.56070237160571,0,89.81968491131857,104.32829927038196,-14.508614359063387,-7.18835907966924,88.7915941938841,95.07917817054626,-6.287583976662162,-8.14392915896808,2021-11-19,5.29057076194384,130.18826578614141,-0.6831456131210416,130.18826578614141,3.08,-5.119999999999999,0.6266666666666674,-8.2,-5.746666666666666,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.5800000000000036,-1.4199999999999964,-1.6399999999999917,-1.706666666666667,-4.1,1,-1.0,-1,-1,-1,-1,-3.0,3.0
28.0,31,1.7666666666666704,5.46666666666667,1.0637114951164603,120.9,100.53333333333336,89.5,98.76666666666668,Sat 11-20 11-20,N,91 (Ⅱ),Liberty,"W, 76-60",64,119.3,62.3,17.3,23.8,18.9,94.2,48.0,23.5,30.0,27.5,12.0,12.0,124.0,104.0,87.1,98.87037037037038,93.91284748309542,92.575,95.65,93.40370370370373,92.84913598797894,20211120,93.8,100.8,-7.0,103.0,95.1,7.900000000000006,90.7,98.8,-8.15,69.5,9.409007809459105,120.32858691959834,64.75462304409673,9.711103878898541,128.21391070677905,9.836873117827999,128.21391070677905,9.711103878898541,128.21391070677905,9.836873117827999,112.2890732733739,101.9,94.9,7.02,65.5,93.8,100.8,-7.0,103.0,95.1,7.900000000000006,9.890514017675843,112.21676603191972,0,97.61542280675404,103.5869734457156,-5.97155063896156,-4.217209273302821,93.156358336039,105.2311799973309,-12.074821661291892,-20.9935227456678,2021-11-20,-4.134143101687485,132.32673506872112,-10.86343854972597,132.32673506872112,39.15,34.03,-1.288888888888888,-5.119999999999999,35.31888888888889,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,13.61666666666667,9.916666666666671,0.5800000000000036,8.5075,-1.706666666666667,1,1.0,1,1,-1,3,-1.0,-3.0
-4.0,-22,1.0666666666666675,-3.855555555555553,-3.2205996858138053,102.9,101.43333333333334,125.4,100.36666666666667,Tue 11-30 11-30,H,344 (Ⅳ),Fairleigh Dickinson,"W, 78-73",66,117.8,50.9,24.2,53.1,47.3,110.2,50.0,21.1,46.2,23.8,15.5,-9.0,135.5,103.45,104.0,100.2135802469136,95.5468752134417,108.9875,92.575,104.06913580246916,98.76747489925548,20211130,96.1,100.7,-4.6000000000000085,97.3,110.2,-12.900000000000006,94.4,100.1,-5.67,68.1,-9.796500589331067,137.4014400912937,68.77809388335704,-9.600034256040558,143.77112090644624,-16.527813332325493,143.77112090644624,-9.600034256040558,143.77112090644624,-16.527813332325493,130.17178507462745,95.8,110.8,-14.99,71.0,96.1,100.7,-4.6000000000000085,97.3,110.2,-12.900000000000006,-16.63432822410545,129.9796589152852,0,101.68169308684612,104.26102754604972,-2.5793344592035936,-4.883790571681761,96.1731096688534,98.27634184753995,-2.1032321786865538,-1.084758803930784,2021-11-30,-3.7068792613927855,141.01375516545903,0.7445857700507901,141.01375516545903,-16.33,17.700000000000003,10.484074074074075,34.03,7.215925925925928,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1.814444444444447,6.736666666666667,13.61666666666667,3.5400000000000005,8.5075,1,1.0,1,1,1,3,3.0,-1.0
8.5,-2,2.0333333333333363,-3.503703703703701,-3.1441270156658403,102.4,108.73333333333336,105.2,106.7,Fri 12-03 12-03,A,248 (Ⅳ),Siena,"W, 77-72 OT",74,103.5,53.8,22.8,25.0,53.8,96.7,52.6,20.2,26.7,31.0,22.5,3.5,126.5,102.925,103.45,100.94238683127574,96.79289790190684,107.09375,108.9875,104.44609053497943,99.93702491757269,20211203,96.9,102.1,-5.199999999999989,97.6,106.9,-9.300000000000011,95.3,101.2,-5.86,67.5,0.5388530880692954,122.34034289713358,62.79516358463728,1.1304196771950359,130.98636456260175,-3.408297690150254,130.98636456260175,1.1304196771950359,130.98636456260175,-3.408297690150254,125.54699244835014,94.5,105.2,-10.77,65.4,96.9,102.1,-5.199999999999989,97.6,106.9,-9.300000000000011,-3.9109376597119794,125.65750008458265,0,102.69893503256353,104.31326847747694,-1.614333444913413,-4.440886583757,91.91041342762786,105.99285317560758,-14.08243974797972,-18.7881870345839,2021-12-03,-4.67358610447527,131.78563165653918,-7.455360494595965,131.78563165653918,3.8600000000000003,21.560000000000002,12.889382716049385,17.700000000000003,8.670617283950618,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,2.3562962962962994,7.893333333333336,1.814444444444447,3.5933333333333333,3.5400000000000005,1,1.0,1,1,1,3,3.0,3.0
-22.5,-24,-16.599999999999998,-10.502469135802468,-7.0270130128175055,93.6,99.63333333333333,118.1,116.23333333333336,Sun 12-05 12-05,H,241 (Ⅳ),Quinnipiac,"L, 90-73",75,97.0,50.8,23.9,31.4,27.9,119.6,61.2,17.3,25.0,37.9,27.0,-5.5,136.0,98.2625,102.925,98.49492455418384,96.21237101065104,112.596875,107.09375,108.9973936899863,103.23938402346856,20211205,97.1,102.1,-5.0,95.1,103.6,-8.5,95.9,101.2,-5.31,67.6,-6.154970906473821,135.297170327201,68.85007112375533,-6.369161473666168,139.46494994147335,-14.014409042626456,139.46494994147335,-6.369161473666168,139.46494994147335,-14.014409042626456,141.53822938676208,95.8,104.7,-8.97,71.6,97.1,102.1,-5.0,95.1,103.6,-8.5,-13.081565491915738,138.33261859624008,0,100.51986072388382,107.91862186360702,-7.398761139723192,-11.887065718229238,97.28972727328524,106.59794162258412,-9.30821434929888,-13.531873908480788,2021-12-05,-5.709511843719298,149.62960485300744,-2.8152401881361797,149.62960485300744,-18.69,2.870000000000001,15.779588477366259,21.560000000000002,-12.909588477366258,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,-5.192469135802468,-11.29,2.3562962962962994,0.41000000000000014,3.5933333333333333,-1,1.0,-1,1,1,-1,3.0,3.0
-18.0,-29,-18.899999999999995,-16.801646090534977,-11.094828828668868,99.8,98.6,129.2,117.5,Sat 12-11 12-11,A,110 (Ⅱ),Utah,"L, 96-62",67,92.6,37.1,9.0,27.5,48.3,143.4,66.7,14.9,40.7,30.0,20.5,16.0,137.5,99.03125,98.2625,98.92994970278924,96.86466719053266,120.8984375,112.596875,115.7315957933242,107.95949601920152,20211211,97.4,104.0,-6.599999999999994,106.3,98.0,8.299999999999997,96.1,103.0,-6.9,68.6,14.887642046839119,136.28958463921035,67.03869132290185,14.337427559906295,141.8330715054884,9.459347571800333,141.8330715054884,14.337427559906295,141.8330715054884,9.459347571800333,142.22499982218167,107.0,97.4,9.54,68.7,97.4,104.0,-6.599999999999994,106.3,98.0,8.299999999999997,14.933529390212533,139.04927522839,0,99.7662671708386,109.9004347978308,-10.134167626992195,-12.987586331236004,103.33969577906508,98.25337420254772,5.0863215765173635,9.236336250845406,2021-12-11,14.7521218596126,145.68282828025045,16.740503171213497,145.68282828025045,-22.1,-19.23,11.476392318244175,2.870000000000001,-30.706392318244177,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,-9.901646090534976,-11.999999999999995,-5.192469135802468,-2.4037500000000005,0.41000000000000014,-1,-1.0,-1,-1,1,-3,-1.0,3.0
16.0,12,-13.833333333333334,-7.067764060356656,-6.823041768910891,111.1,101.5,98.7,115.33333333333331,Mon 12-20 12-20,N,348 (Ⅳ),Charleston Southern,"W, 99-75",83,118.9,58.2,19.2,22.6,74.5,90.1,49.2,21.6,19.0,29.7,35.5,-8.0,138.5,105.065625,99.03125,102.98663313519285,99.45290951952671,109.79921875,120.8984375,110.05439719554948,106.2759512884376,20211220,96.8,104.9,-8.100000000000009,92.7,106.7,-14.0,96.3,103.7,-7.38,69.6,-8.858769449480903,146.4024723857243,74.0551920341394,-4.573376537511592,151.75311385773833,-7.574381635509734,151.75311385773833,-4.573376537511592,151.75311385773833,-7.574381635509734,153.00664504261465,90.0,109.4,-19.41,74.8,96.8,104.9,-8.100000000000009,92.7,106.7,-14.0,-6.670833419578184,149.92666738935716,0,101.6911315034168,108.47455371914764,-6.7834222157308375,-11.22791019090433,92.46374020318606,103.7300609858457,-11.266320782659633,-9.282352075211843,2021-12-20,-3.9235724707566817,155.73068859857557,1.440786798711855,155.73068859857557,19.38,0.14999999999999858,1.2409282121627836,-19.23,-1.090928212162785,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0.31223593964334384,-6.453333333333334,-9.901646090534976,0.016666666666666607,-2.4037500000000005,1,-1.0,-1,1,-1,1,-3.0,-1.0
5.5,-3,-6.833333333333333,-5.878509373571104,-6.218852356381638,101.3,104.06666666666666,104.8,110.9,Tue 12-21 12-21,A,258 (Ⅲ),The Citadel,"W, 77-74",71,108.6,50.0,21.2,40.0,54.5,104.4,50.0,19.7,29.7,30.0,6.0,2.5,145.0,103.1828125,105.065625,102.42442209012856,99.78874415234004,107.299609375,109.79921875,108.30293146369964,106.00759650872166,20211221,96.9,105.1,-8.199999999999989,102.1,105.6,-3.5,96.3,103.7,-7.38,69.6,4.968299793691287,139.51100386495023,68.70896159317212,7.634748568314407,147.61923826063753,9.439401616900872,147.61923826063753,7.634748568314407,147.61923826063753,9.439401616900872,157.94476188442485,99.1,105.1,-6.05,69.4,96.9,105.1,-8.199999999999989,102.1,105.6,-3.5,7.8365667017921545,147.6029066887568,0,102.63789094850804,107.5577731528432,-4.919882204335153,-8.78655531701043,97.92035566467484,101.74920963179362,-3.828853967118775,-9.152622043525254,2021-12-21,4.756850547110375,147.6235418747737,1.4997687633234165,147.6235418747737,4.38,4.5299999999999985,0.8772854747751886,0.14999999999999858,3.65271452522481,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1.5014906264288959,0.5466666666666669,0.31223593964334384,0.4529999999999994,0.016666666666666607,1,1.0,1,1,1,3,1.0,-3.0
