ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-9.5,-2,,-2.799999999999997,-2.799999999999997,101.4,0.0,104.2,0.0,Tue 11-09 11-09,H,290 (Ⅳ),SIU Edwardsville,"W, 88-77",83,106.3,49.3,16.9,33.3,42.6,93.0,48.3,29.0,36.8,48.3,26.5,-20.5,138.5,101.4,0.0,101.4,101.4,104.2,0.0,104.2,104.2,20211109,104.5,97.1,7.400000000000006,96.3,108.5,-12.200000000000005,103.4,94.4,9.01,72.9,-20.192421085718266,148.71241513689898,76.32204836415363,-20.00680999067717,161.6994584141377,0.8046822892391248,161.6994584141377,-20.00680999067717,161.6994584141377,0.8046822892391248,155.67445869015455,92.2,104.6,-12.42,73.6,104.5,97.1,7.400000000000006,96.3,108.5,-12.200000000000005,0.8046822892391248,155.67445869015455,0,97.67134341682667,100.44438369628423,-2.773040279457561,0.790848609431207,0.0,0.0,0.0,0.0,2021-11-09,0.0,0.0,,0.0,-11.01,-11.01,0.0,0.0,-11.01,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,3,0.9745535036187463,0.5,-11.809999999999997,,0.0,-11.01,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-7.5,-4,,-3.466666666666664,-3.1636363636363605,97.5,0.0,102.3,0.0,Fri 11-12 11-12,H,246 (Ⅳ),New Hampshire,"W, 75-70",70,106.7,47.2,12.8,21.6,59.3,99.6,49.1,15.6,23.1,42.1,6.5,-12.5,138.5,99.45,101.4,100.1,100.69090909090907,103.25,104.2,103.56666666666668,103.85454545454544,20211112,101.5,94.9,6.599999999999994,98.4,103.2,-4.799999999999997,102.8,93.8,9.01,72.9,-13.63602838671467,138.2449647123363,72.27780938833571,-12.502512282274395,146.69807680778933,5.339163063688076,146.69807680778933,-12.502512282274395,146.69807680778933,5.339163063688076,152.90229990714496,95.0,99.9,-4.98,69.7,101.5,94.9,6.599999999999994,98.4,103.2,-4.799999999999997,5.339163063688076,152.90229990714496,0,98.08558659448222,93.12375007697288,4.96183651750934,-0.453621097428975,97.5762122876019,99.00105443875084,-1.4248421511489369,1.607768032045526,2021-11-12,-8.502101761242969,139.08348449350115,-0.5455304468204218,139.08348449350115,-13.01,-24.02,-11.01,-11.01,-13.01,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.8830703586536275,0.7909505829116017,-12.476666666666663,,-11.809999999999997,-12.01,-11.01,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
9.0,12,1.733333333333339,1.9555555555555608,-0.2611570247933836,93.4,97.43333333333334,80.6,95.7,Mon 11-15 11-15,H,19 (I-A),Illinois,"W, 67-66",77,87.0,45.4,18.2,18.4,57.4,85.7,44.7,33.8,45.2,16.7,-14.5,8.0,147.5,96.425,99.45,97.86666666666667,99.36528925619834,91.925,103.25,95.91111111111113,99.62644628099171,20211115,101.5,95.8,5.700000000000003,110.9,87.9,23.0,103.2,95.0,8.15,72.6,8.675125463875162,143.70559709328498,74.3556187766714,8.778341129519475,148.16967121734575,21.643978540994095,148.16967121734575,8.778341129519475,148.16967121734575,21.643978540994095,140.92649695193606,111.5,86.0,25.5,72.0,101.5,95.8,5.700000000000003,110.9,87.9,23.0,21.670302742952778,140.98862627448153,0,95.3467104851291,103.85232293944192,-8.505612454312825,-5.054451256849665,101.43270424177628,100.86808746708456,0.5646167746917143,-2.5782649130605715,2021-11-15,2.678299300098189,152.9372478416025,-0.16131870103252766,152.9372478416025,3.8499999999999996,-20.17,-15.346666666666668,-24.02,-4.823333333333334,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,3,0.22305842386064167,0.3993321523850839,-6.194444444444439,-6.416666666666662,-12.476666666666663,-6.7233333333333345,-12.01,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
9.5,9,5.733333333333339,4.370370370370375,1.4590533433508686,113.8,101.56666666666666,104.6,95.83333333333331,Thu 11-18 11-18,N,100 (Ⅲ),Mississippi,"W, 78-72",69,113.7,54.5,14.6,18.2,33.9,105.0,53.2,13.1,26.3,24.2,11.5,3.5,138.5,105.1125,96.425,103.17777777777778,101.98978211870772,98.2625,91.925,98.80740740740742,100.53072877535686,20211118,100.7,94.3,6.400000000000006,101.0,91.3,9.700000000000005,102.7,93.6,9.09,73.0,3.22881495792727,136.6350996086424,72.68847795163585,2.455355843824975,139.10792187851638,4.778031605471928,139.10792187851638,2.455355843824975,139.10792187851638,4.778031605471928,140.98495528663935,103.3,89.8,13.49,70.0,100.7,94.3,6.400000000000006,101.0,91.3,9.700000000000005,4.703328564545691,141.1539044288373,0,102.05624984518995,98.89267897128865,3.163570873901307,-1.564862674828965,103.71580760967112,101.13080955549222,2.5849980541788966,0.659403461602394,2021-11-18,-0.4778360795250194,152.92755869813385,1.6167852001656087,152.92755869813385,-0.08999999999999986,-20.26,-16.954444444444448,-20.17,-3.3055555555555536,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.36944134018176367,0.518148879714433,-4.719629629629625,-3.356666666666661,-6.194444444444439,-5.0649999999999995,-6.7233333333333345,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
16.5,19,13.766666666666673,9.346913580246916,4.702861826377983,119.3,108.83333333333331,100.0,95.06666666666666,Fri 11-19 11-19,N,58 (Ⅱ),West Virginia,"W, 82-71",70,116.9,63.2,18.5,21.4,19.3,101.2,47.7,14.3,24.4,23.4,10.0,5.5,143.0,112.20625,105.1125,108.55185185185186,105.13709446076084,99.13125,98.2625,99.20493827160496,100.43423263438288,20211119,100.6,94.2,6.399999999999992,105.8,92.0,13.799999999999995,103.8,93.9,9.89,72.8,4.159096256979694,143.88433950531837,74.249786628734,5.395601816805026,145.83481081307545,7.624244204200156,145.83481081307545,5.395601816805026,145.83481081307545,7.624244204200156,138.90019812635654,106.7,91.1,15.6,71.7,100.6,94.2,6.399999999999992,105.8,92.0,13.799999999999995,7.354744511570615,138.78659727527346,0,105.38016093654792,99.94955511959849,5.430605816949438,-1.4633714564721645,103.1175378327242,96.0167456045938,7.100792228130402,5.649593621968648,2021-11-19,1.4285790305637391,154.96393704364374,5.2813613937186545,154.96393704364374,9.11,-11.150000000000002,-18.056296296296303,-20.26,6.906296296296301,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,3,0.30020551430745246,0.44588884310357335,-0.5430864197530845,3.8766666666666723,-4.719629629629625,-2.2299999999999995,-5.0649999999999995,-1,-1.0,1,-1,-1,-1,-3.0,-3.0
-13.0,-12,5.199999999999998,1.93127572016461,1.502341494309258,76.8,103.3,89.7,98.1,Sun 11-21 11-21,N,88 (Ⅱ),St. Bonaventure,"L, 70-54",74,73.2,35.7,23.1,23.3,42.9,94.9,49.2,17.6,21.2,28.8,-13.5,3.0,137.5,94.503125,112.20625,97.96790123456792,99.98489546789524,94.415625,99.13125,96.03662551440333,98.482553973586,20211121,103.0,95.0,8.0,106.3,91.0,15.299999999999995,105.3,94.1,11.27,72.2,4.426072609923352,135.23639580476,68.2972972972973,5.074695441710375,136.1983904800323,2.8179340774452006,136.1983904800323,5.074695441710375,136.1983904800323,2.8179340774452006,140.00901532995024,109.2,91.4,17.8,66.5,103.0,95.0,8.0,106.3,91.0,15.299999999999995,2.6156914615005995,139.8132080183488,0,102.7502483415122,96.92922221225854,5.821026129253667,-2.1399977744607463,96.58285076517494,94.84994537712905,1.732905388045893,2.1446689390423117,2021-11-21,-2.6870693455837795,133.65269134505903,2.926311563519519,133.65269134505903,-23.27,-34.42,-15.754197530864204,-11.150000000000002,-18.665802469135798,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.38754848109799234,0.6009903610928602,-9.33872427983539,-6.070000000000001,-0.5430864197530845,-5.736666666666668,-2.2299999999999995,-1,-1.0,-1,-1,-1,-3,-1.0,-3.0
-7.0,6,4.333333333333329,3.487517146776405,2.4291884953439373,102.1,99.4,95.5,95.06666666666666,Sat 11-27 11-27,H,301 (Ⅳ),Northern Illinois,"W, 80-66",77,104.3,57.7,26.1,28.6,53.8,86.1,48.3,20.9,18.4,28.8,9.5,-21.0,136.5,98.3015625,94.503125,99.34526748971196,100.36945992827792,94.9578125,94.415625,95.85775034293556,97.94027143293398,20211127,102.4,95.7,6.700000000000003,90.4,103.7,-13.299999999999995,104.7,94.7,10.0,72.6,-20.65800073729435,135.81195233301935,69.29530583214793,-17.788711779032262,137.12130224496494,-17.38116168748203,137.12130224496494,-17.788711779032262,137.12130224496494,-17.38116168748203,123.02129024792099,90.7,105.4,-14.69,67.1,102.4,95.7,6.700000000000003,90.4,103.7,-13.299999999999995,-16.863985702582706,124.16250404527256,0,98.50177743011808,98.09162594201004,0.4101514881080419,-6.560954697420511,94.76384867588152,98.29071940522633,-3.5268707293448074,-3.0168804485331835,2021-11-27,-6.510304915950073,134.72958202157866,0.608526388575541,134.72958202157866,-4.0,-38.42,-21.976131687242805,-34.42,-16.443868312757196,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.9772498680518208,0.7323806658202121,-6.512482853223595,-5.666666666666671,-9.33872427983539,-5.488571428571429,-5.736666666666668,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
9.5,12,2.0333333333333266,6.4583447645176,4.242063314372311,97.6,92.16666666666669,85.2,90.13333333333333,Tue 11-30 11-30,H,286 (Ⅳ),Jackson St.,"W, 83-54",78,106.4,59.6,25.6,34.4,40.4,69.2,33.3,25.6,32.7,21.7,-1.0,-19.5,138.0,97.95078125,98.3015625,98.76351165980796,99.86592175950013,90.07890625,94.9578125,92.30516689529036,95.6238584451278,20211130,102.3,96.4,5.899999999999992,93.9,98.3,-4.399999999999992,104.8,95.4,9.44,73.7,-16.47845072912022,133.84399370964664,70.0307254623044,-11.032901133417454,137.18026482486985,-15.859020762899455,137.18026482486985,-11.032901133417454,137.18026482486985,-15.859020762899455,133.6903143502306,90.8,100.1,-9.24,66.8,102.3,96.4,5.899999999999992,93.9,98.3,-4.399999999999992,-14.37676769817091,132.61219864046484,0,98.94368954266184,95.51687814541808,3.4268113972437675,-1.2541057633916273,93.0812295848952,102.51000100720503,-9.428771422309836,-11.45603916664188,2021-11-30,-12.79404667016243,136.69589464034334,-8.980734192596472,136.69589464034334,2.5600000000000005,-35.86,-27.45742112482854,-38.42,-8.40257887517146,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.9683545838833274,0.8884793103975207,-2.9816552354823997,-7.406666666666673,-6.512482853223595,-4.4825,-5.488571428571429,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-6.5,7,8.699999999999994,6.672229843011731,4.761688166304617,114.1,104.59999999999998,107.0,95.90000000000002,Sat 12-04 12-04,A,34 (I-A),Wisconsin,"L, 89-76",76,100.3,51.6,17.2,20.0,29.5,117.5,59.0,14.5,21.9,37.7,27.0,6.5,138.0,106.025390625,97.95078125,103.875674439872,102.45393598504556,98.539453125,90.07890625,97.20344459686024,97.69224781874092,20211204,102.1,95.4,6.699999999999989,105.2,90.3,14.900000000000006,104.8,94.7,10.06,74.5,9.459489502929891,135.75614301961755,69.51920341394026,9.648117767261525,137.2196949519722,12.913783916223267,137.2196949519722,9.648117767261525,137.2196949519722,12.913783916223267,135.37614764070133,107.8,89.6,18.15,65.6,102.1,95.4,6.699999999999989,105.2,90.3,14.900000000000006,15.153876634558857,131.61817962797662,0,100.6795239010538,98.40491441186563,2.2746094891881654,-1.685302320778466,104.9092067288467,92.63977764993764,12.269429078909056,14.067353046296112,2021-12-04,11.009420169586093,140.06568442108664,13.018168865753537,140.06568442108664,-3.0600000000000005,-38.92,-30.258280749885696,-35.86,-8.661719250114306,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.26794249453351904,0.14720041969762976,-3.387770156988269,-1.3600000000000065,-2.9816552354823997,-4.3244444444444445,-4.4825,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
3.0,13,11.066666666666658,9.014819895341152,6.386835772431048,97.6,103.1,83.9,92.03333333333336,Wed 12-08 12-08,A,60 (I),Kansas St.,"W, 64-63",70,92.0,50.0,15.8,17.9,4.8,90.5,43.8,15.8,21.4,15.6,-15.5,2.0,142.5,101.8126953125,106.025390625,101.78378295991466,101.57140216958273,91.2197265625,98.539453125,92.76896306457353,95.18456639715166,20211208,103.5,96.8,6.700000000000003,99.9,92.3,7.600000000000008,105.9,96.0,9.89,75.3,5.209147133654241,145.09581835935103,72.94352773826458,4.8884607589808695,143.40254877132094,8.436490964408783,143.40254877132094,4.8884607589808695,143.40254877132094,8.436490964408783,133.26607374003856,104.9,93.6,11.26,68.1,103.5,96.8,6.700000000000003,99.9,92.3,7.600000000000008,6.992134574359764,134.63933809335688,0,100.25421072235272,97.18490237313006,3.0693083492226663,-1.085629759004899,97.66331521815476,90.02987618010658,7.633439038048181,8.85424351543852,2021-12-08,7.338503719674733,138.20882579079114,9.372246808787636,138.20882579079114,3.1099999999999994,-35.81,-33.1455204999238,-38.92,-2.6644795000762045,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.4244679994402739,0.24230566498627515,-0.875180104658849,1.176666666666657,-3.387770156988269,-3.5809999999999995,-4.3244444444444445,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
