ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
6.0,10,,10.900000000000006,10.900000000000006,107.0,0.0,96.1,0.0,Tue 11-09 11-09,A,16 (I-A),Arkansas,"L, 74-61",69,88.9,57.8,26.2,14.3,11.8,107.8,52.7,21.8,37.9,40.0,-15.5,19.0,150.5,107.0,0.0,107.0,107.0,96.1,0.0,96.1,96.1,20211109,99.6,103.8,-4.200000000000003,107.6,93.3,14.299999999999995,100.8,101.6,-0.72,70.3,19.81688210407166,146.66349062829852,73.0,18.279786680597013,153.12017959522387,1.8977190277213936,153.12017959522387,18.279786680597013,153.12017959522387,1.8977190277213936,140.92890548583085,109.7,89.1,20.6,73.0,99.6,103.8,-4.200000000000003,107.6,93.3,14.299999999999995,1.8977190277213936,140.92890548583085,0,0.0,0.0,0.0,0.0,94.557906205352,96.04519460296022,-1.487288397608225,-4.423399508719249,2021-11-09,-0.0,0.0,,0.0,10.72,10.72,0.0,0.0,10.72,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.03518483230489555,0.5,11.620000000000006,,0.0,10.72,0.0,1,0.0,1,1,1,3,0.0,0.0
2.0,1,,7.733333333333335,9.172727272727274,108.3,0.0,106.9,0.0,Sat 11-13 11-13,A,202 (Ⅲ),Winthrop,"L, 88-85 OT",80,106.6,57.0,21.3,25.6,34.4,110.3,62.5,15.0,16.2,26.6,26.0,5.0,147.0,107.65,107.0,107.43333333333334,107.23636363636362,101.5,96.1,99.70000000000002,98.06363636363636,20211113,97.1,100.4,-3.300000000000012,98.9,97.8,1.1000000000000083,100.8,101.5,-0.72,70.1,5.1114485395665525,146.17854399342707,72.99174964438123,7.291669609044831,145.07267034057497,-6.213471486767176,145.07267034057497,7.291669609044831,145.07267034057497,-6.213471486767176,155.76977572363853,99.8,99.1,0.71,73.2,97.1,100.4,-3.300000000000012,98.9,97.8,1.1000000000000083,-6.213471486767176,155.76977572363853,0,114.80763932117246,94.28049568051968,20.52714364065278,20.17668525396761,109.05524965728056,103.09877262232358,5.956477034956976,7.450272658375,2021-11-13,-6.9823345547579265,164.75136756571862,-6.963146631090964,164.75136756571862,1.72,12.440000000000001,10.72,10.72,1.7200000000000006,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.31696934194067294,0.746969714404133,8.453333333333335,,11.620000000000006,6.22,10.72,1,1.0,1,1,1,3,3.0,0.0
-6.5,1,4.566666666666663,5.622222222222222,7.759504132231403,101.6,105.63333333333333,100.2,101.06666666666666,Sat 11-20 11-20,A,48 (I),Saint Louis,"L, 75-58",66,88.2,41.8,21.3,31.4,27.3,114.1,55.9,21.3,36.7,51.0,-7.5,10.5,140.5,104.625,107.65,105.4888888888889,106.21157024793386,100.85,101.5,99.86666666666667,98.45206611570246,20211120,98.2,101.0,-2.799999999999997,99.9,93.2,6.700000000000003,100.9,101.6,-0.71,69.2,9.843311945374793,141.28321491786045,70.57809388335706,10.663734689323022,139.1778177998321,10.720739033441612,139.1778177998321,10.663734689323022,139.1778177998321,10.720739033441612,143.19507734406918,103.0,95.4,7.63,71.7,98.2,101.0,-2.799999999999997,99.9,93.2,6.700000000000003,10.660055734944924,143.12149363091308,0,96.80018084008428,101.53995599199706,-4.739775151912781,-7.809558805736364,104.67241351365324,96.26549703807734,8.406916475575898,16.663729426298808,2021-11-20,13.495091894311102,144.34401360988733,19.33645444142877,144.34401360988733,1.71,14.150000000000002,11.293333333333335,12.440000000000001,2.8566666666666674,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.15865525393145707,0.09935301889054204,6.332222222222222,5.276666666666663,8.453333333333335,4.716666666666667,6.22,1,1.0,1,1,1,3,3.0,3.0
3.5,0,0.7999999999999924,3.614814814814813,6.275957926371146,97.1,102.33333333333331,97.5,101.53333333333336,Tue 11-23 11-23,N,326 (Ⅳ),Bucknell,"W, 78-68",72,108.1,52.3,13.9,23.7,15.2,94.3,50.0,18.0,12.1,37.0,-3.0,-6.5,149.0,100.8625,104.625,102.6925925925926,104.55492111194587,99.175,100.85,99.0777777777778,98.27896318557472,20211123,99.0,101.9,-2.9000000000000057,95.5,106.3,-10.799999999999995,101.2,102.5,-1.39,67.6,-6.927150727160793,144.04488325937876,70.38862019914652,-5.706456154504849,145.89476223151667,-5.100950249801574,145.89476223151667,-5.706456154504849,145.89476223151667,-5.100950249801574,150.8168475022061,95.5,106.5,-11.05,73.2,99.0,101.9,-2.9000000000000057,95.5,106.3,-10.799999999999995,-5.0295455471073645,150.79859749795682,0,97.26531279069104,100.61843729316917,-3.353124502478124,-4.481610267976725,98.7654290051706,104.31793798737344,-5.552508982202838,-4.105398785471682,2021-11-23,-1.504629832745124,144.66300318286937,0.2648100715660462,144.66300318286937,1.39,15.540000000000003,12.245555555555558,14.150000000000002,3.2944444444444443,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.732057505466481,0.5569726136659485,5.004814814814813,2.1899999999999924,6.332222222222222,3.885,4.716666666666667,1,1.0,1,1,1,3,3.0,3.0
-28.5,-22,-7.300000000000007,-5.223456790123459,0.9712383033945722,85.0,94.56666666666666,107.9,101.86666666666667,Wed 11-24 11-24,N,105 (Ⅲ),Middle Tennessee,"L, 82-58",73,80.0,37.0,15.2,10.0,40.7,113.1,63.4,20.7,22.2,32.1,8.5,-4.5,131.5,92.93125,100.8625,96.79506172839508,100.9994809097739,103.5375,99.175,102.01851851851856,100.02824260637932,20211124,99.1,101.9,-2.800000000000012,97.6,102.5,-4.900000000000006,101.1,102.3,-1.16,67.5,-4.233186238084109,131.89481599116795,66.92389758179233,-1.4560430542875906,137.86967250023002,-1.3037400005159132,137.86967250023002,-1.4560430542875906,137.86967250023002,-1.3037400005159132,131.6548588580922,93.7,101.1,-7.38,69.7,99.1,101.9,-2.800000000000012,97.6,102.5,-4.900000000000006,-1.262007270166239,131.65571312666185,0,94.98115367727556,104.39712100377434,-9.415967326498787,-15.966752080290748,98.84607502535567,92.16842832061322,6.6776467047424575,6.337993363340587,2021-11-24,10.732801903546054,130.80802011800762,14.927204996575327,130.80802011800762,-20.84,-5.299999999999997,13.343703703703707,15.540000000000003,-18.643703703703704,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,3,0.6658824291023754,0.15334984259736406,-4.063456790123459,-6.140000000000007,5.004814814814813,-1.06,3.885,-1,1.0,-1,-1,1,-3,3.0,3.0
-2.0,2,-7.066666666666667,-2.78230452674897,1.1764677027773789,111.7,97.93333333333334,109.6,105.0,Wed 12-01 12-01,A,234 (Ⅲ),Kennesaw St.,"W, 73-71",64,114.8,59.2,17.3,24.0,38.8,111.6,48.4,17.3,42.1,20.6,2.0,-4.0,142.0,102.315625,92.93125,101.76337448559671,102.94502983526957,106.56875,103.5375,104.5456790123457,101.76856213249216,20211201,99.4,103.6,-4.199999999999989,95.7,102.8,-7.099999999999994,101.1,104.5,-3.42,67.5,0.1483151887839398,137.5053624802439,67.9800853485064,1.809455049070337,140.15708725280308,3.9119157527151693,140.15708725280308,1.809455049070337,140.15708725280308,3.9119157527151693,133.4095191726966,94.7,103.3,-8.6,70.8,99.4,103.6,-4.199999999999989,95.7,102.8,-7.099999999999994,3.903308592400201,133.65198236535346,0,98.58271358710536,105.03635018562603,-6.453636598520674,-11.661054657267568,96.56814587480017,97.86920508593214,-1.301059211131971,1.6068945395393563,2021-12-01,7.305846759776344,137.93468393308706,10.827318004936501,137.93468393308706,5.42,0.12000000000000277,7.12913580246914,-5.299999999999997,-7.009135802469137,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.6483807083005341,0.24327863255875493,0.6376954732510298,-3.6466666666666674,-4.063456790123459,0.020000000000000018,-1.06,1,-1.0,-1,1,-1,1,-3.0,3.0
7.5,6,-4.699999999999998,0.3784636488340207,2.180746302272401,130.5,109.06666666666666,123.8,113.76666666666668,Sat 12-04 12-04,H,155 (Ⅳ),Georgia St.,"W, 83-77",65,126.9,60.3,15.3,34.5,27.6,117.7,56.7,13.8,27.3,18.3,14.0,1.5,146.0,116.4078125,102.315625,111.3422496570645,107.9550244106751,115.184375,106.56875,110.96378600823049,105.77427810840268,20211204,100.3,104.3,-4.0,106.2,102.5,3.700000000000003,101.6,105.0,-3.43,66.5,1.65890966208309,143.23704099576284,67.16216216216218,1.3630005337723219,146.85302071983125,-2.4216540580324994,146.85302071983125,1.3630005337723219,146.85302071983125,-2.4216540580324994,143.80779722379836,106.2,101.4,4.87,71.0,100.3,104.3,-4.0,106.2,102.5,3.700000000000003,-4.208510622146643,143.4722156027407,0,99.63702067326612,105.16868427341088,-5.5316636001447534,-9.804616919765891,101.24632007481082,107.17171975638792,-5.92539968157709,2.4165292859482195,2021-12-04,-4.318117222639728,146.79749618405103,6.396913483778398,146.79749618405103,9.43,9.550000000000002,4.792757201646094,0.12000000000000277,4.757242798353908,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,3,0.4432015031835318,0.659555114185524,3.808463648834021,-1.2699999999999982,0.6376954732510298,1.3642857142857143,0.020000000000000018,1,1.0,1,1,1,3,1.0,-3.0
7.0,16,8.5,5.818975765889343,4.820610610950144,123.6,121.93333333333332,106.9,113.43333333333332,Mon 12-06 12-06,A,171 (Ⅲ),Coastal Carolina,"W, 74-69",62,120.2,54.8,11.4,31.4,11.1,112.1,58.3,16.2,25.9,14.8,5.0,2.0,138.0,120.00390625,116.4078125,115.428166438043,110.79956542691598,111.0421875,115.184375,109.60919067215366,105.97895481596582,20211206,101.7,104.8,-3.0999999999999943,99.2,100.5,-1.2999999999999972,102.8,105.7,-2.88,65.9,3.9624728103091513,133.1085264895323,64.86884779516359,5.007649261142191,137.2372292592122,9.178553377435385,137.2372292592122,5.007649261142191,137.2372292592122,9.178553377435385,131.22400466980886,97.7,100.1,-2.39,69.2,101.7,104.8,-3.0999999999999943,99.2,100.5,-1.2999999999999972,7.631824217068855,130.53019722395308,0,101.42515572753734,104.7672305885652,-3.3420748610278537,-9.245837864563985,96.47523460055255,95.89681555235808,0.5784190481944762,8.599865652506976,2021-12-06,6.231209082113466,132.06331725736737,13.386763504494965,132.06331725736737,18.88,28.43,6.378504801097398,9.550000000000002,22.0514951989026,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.4244679994402739,0.2764405248643187,8.698975765889344,11.379999999999999,3.808463648834021,3.55375,1.3642857142857143,1,1.0,1,1,1,3,3.0,1.0
4.0,5,9.499999999999996,5.57931717725956,4.87140868168648,108.0,120.7,102.9,111.2,Sat 12-11 12-11,H,253 (Ⅳ),Georgia Southern,"W, 77-68",71,108.1,53.8,25.3,29.6,42.3,95.5,44.6,21.1,16.9,37.5,14.0,-5.0,131.0,114.001953125,120.00390625,112.95211095869534,110.29055353111306,106.97109375,111.0421875,107.37279378143576,105.41914484942656,20211211,103.5,105.2,-1.7000000000000028,97.4,98.9,-1.5,104.4,106.5,-2.11,65.2,-4.550467765971476,125.47003957051332,60.56273115220484,-3.5058885561323123,127.53058133267933,-1.275615158975179,127.53058133267933,-3.5058885561323123,127.53058133267933,-1.275615158975179,129.13352493868592,96.9,100.5,-3.62,65.3,103.5,105.2,-1.7000000000000028,97.4,98.9,-1.5,-2.855635936631632,128.30803367900364,0,101.93775679360864,103.73999670880772,-1.802239915199081,-6.625436038988184,101.48742174087296,97.57084035872074,3.9165813821522164,4.38182358448067,2021-12-11,0.05591114625965332,127.38002470227954,4.989563682429782,127.38002470227954,7.109999999999999,35.54,13.729003200731599,28.43,21.810996799268402,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.6830306580593271,0.49787569383041064,7.689317177259559,11.609999999999996,8.698975765889344,3.948888888888889,3.55375,1,1.0,1,1,1,3,3.0,3.0
-8.5,-7,4.899999999999992,1.352878118173038,2.6947889213798453,89.1,106.9,96.2,102.0,Sun 12-19 12-19,A,205 (Ⅲ),Florida Gulf Coast,"L, 67-55",64,85.5,43.0,18.7,21.1,12.3,104.2,50.8,15.5,28.6,11.5,-23.0,3.5,145.0,101.5509765625,114.001953125,105.0014073057969,106.43772561636524,101.585546875,106.97109375,103.64852918762384,103.74293669498536,20211219,103.8,104.5,-0.7000000000000028,103.0,102.5,0.5,103.8,105.6,-1.79,65.9,4.059672743549584,141.48823111606922,67.024893314367,4.967788907163751,147.05164225235217,2.653291774663132,147.05164225235217,4.967788907163751,147.05164225235217,2.653291774663132,149.4620023088237,100.5,102.1,-1.57,71.5,103.8,104.5,-0.7000000000000028,103.0,102.5,0.5,2.63972287692467,147.09539563374912,0,99.78726300768344,102.42894076489029,-2.6416777572068497,-6.158492503943929,101.28016208786258,99.73751033996172,1.5426517479008623,2.7942825545726007,2021-12-19,6.804361617760989,139.71420363998965,7.845716930636115,139.71420363998965,-5.21,30.33,20.9993354671544,35.54,9.3306645328456,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,0.36944134018176367,0.25848133771814463,3.142878118173038,6.689999999999992,7.689317177259559,3.0329999999999995,3.948888888888889,1,1.0,1,1,1,3,3.0,3.0
