ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
12.5,5,,5.6000000000000085,5.6000000000000085,103.9,0.0,98.3,0.0,Tue 11-09 11-09,A,146 (Ⅲ),Georgia Tech,"W, 72-69",73,99.0,43.8,11.0,22.0,32.8,94.9,42.6,19.2,32.4,32.8,0.5,9.5,140.5,103.9,0.0,103.9,103.9,98.3,0.0,98.3,98.3,20211109,106.2,102.6,3.6000000000000085,103.7,94.6,9.100000000000009,104.4,99.6,4.75,70.3,9.839991867882986,143.52915613213614,71.4,8.562808706650756,151.23176260741258,-6.923114386686592,151.23176260741258,8.562808706650756,151.23176260741258,-6.923114386686592,133.58914428512716,105.4,92.7,12.7,71.4,106.2,102.6,3.6000000000000085,103.7,94.6,9.100000000000009,-6.923114386686592,133.58914428512716,0,95.92423762652642,107.7427695011417,-11.818531874615275,-10.587976319059813,0.0,0.0,0.0,0.0,2021-11-09,-0.0,0.0,,0.0,0.25,0.25,0.0,0.0,0.25,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.182795768782416,0.5,0.8500000000000085,,0.0,0.25,0.0,1,0.0,1,1,1,3,0.0,0.0
17.0,16,,9.166666666666668,7.545454545454548,131.7,0.0,115.4,0.0,Sat 11-13 11-13,H,348 (Ⅳ),Lamar,"W, 104-75",73,142.6,74.2,16.5,33.3,20.3,102.9,55.8,20.6,24.3,23.3,42.0,-12.0,137.0,117.8,103.9,113.16666666666669,108.95454545454544,106.85,98.3,104.0,101.4090909090909,20211113,103.4,99.1,4.300000000000011,93.9,104.3,-10.399999999999991,104.4,99.6,4.81,70.0,-13.936525548344548,144.9467108561425,71.79231863442389,-14.993005742590697,147.84502724382733,-42.687397041565404,147.84502724382733,-14.993005742590697,147.84502724382733,-42.687397041565404,172.67029332999496,94.7,103.6,-8.87,72.1,103.4,99.1,4.300000000000011,93.9,104.3,-10.399999999999991,-42.687397041565404,172.67029332999496,0,102.0803368002218,98.03213373812376,4.04820306209804,-0.7967045641618354,96.90327694200846,103.61022804140228,-6.7069510993938195,-2.9129924404252074,2021-11-13,-12.036420780727596,147.6601992079885,-3.49223117219789,147.6601992079885,11.190000000000001,11.440000000000001,0.25,0.25,11.190000000000001,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,3,0.8734510455264423,0.874169811878962,4.356666666666668,,0.8500000000000085,5.720000000000001,0.25,1,1.0,1,1,1,3,3.0,0.0
4.5,7,9.799999999999995,8.611111111111112,7.53719008264463,112.9,116.16666666666669,105.4,106.36666666666667,Wed 11-17 11-17,H,305 (Ⅳ),Stetson,"W, 80-65",66,120.9,53.4,7.6,21.9,30.5,98.2,52.7,16.6,9.4,14.5,1.5,-10.5,143.5,115.35,117.8,113.07777777777778,109.67190082644626,106.125,106.85,104.4666666666667,102.13471074380163,20211117,105.7,99.8,5.900000000000006,98.4,103.3,-4.899999999999992,105.5,99.7,5.81,70.3,-10.60374888210707,145.0687472232064,70.7,-12.148502351413725,150.27525903036778,-33.7511932387069,150.27525903036778,-12.148502351413725,150.27525903036778,-33.7511932387069,147.1368188241631,98.6,102.0,-3.39,70.7,105.7,99.8,5.900000000000006,98.4,103.3,-4.899999999999992,-34.231043329506996,147.45714798873075,0,101.82851963605744,102.37372267278464,-0.5452030367272016,-0.5511653250072562,91.96343480321585,98.40890333932089,-6.4454685361050394,-12.51017134932393,2021-11-17,-8.32256440732489,140.74325680176918,-10.305336148789351,140.74325680176918,1.1900000000000004,12.630000000000003,3.98,11.440000000000001,8.650000000000002,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.8413447460685429,0.7860018835852502,2.801111111111113,3.9899999999999958,4.356666666666668,4.210000000000001,5.720000000000001,1,1.0,1,1,1,3,3.0,3.0
-15.5,-16,2.2999999999999923,0.1074074074074076,3.0940646130728777,102.3,115.63333333333333,119.2,113.33333333333331,Sat 11-27 11-27,A,237 (Ⅲ),Western Illinois,"L, 79-67",65,102.4,37.9,7.6,28.6,37.1,120.7,56.5,22.9,42.4,38.9,-3.5,-3.5,149.5,108.825,115.35,109.4851851851852,108.33155522163784,112.6625,106.125,109.3777777777778,105.23749060856495,20211127,107.3,100.8,6.5,98.5,101.7,-3.200000000000003,107.0,100.9,6.14,68.6,-2.8805103708754416,148.88548408341615,72.0153627311522,-2.9477182164975915,153.3167759745889,-2.3585522415166915,153.3167759745889,-2.9477182164975915,153.3167759745889,-2.3585522415166915,150.9129290827815,98.2,101.8,-3.52,73.8,107.3,100.8,6.5,98.5,101.7,-3.200000000000003,-2.3007736026147954,150.77884991544676,0,107.47132188160884,105.1121551576444,2.3591667239644494,8.037710034646768,97.41300309208684,87.92749802517652,9.48550506691032,6.4098926626574855,2021-11-27,9.876465062101815,145.19489240069464,0.9898144802713489,145.19489240069464,-22.14,-9.509999999999998,6.863333333333335,12.630000000000003,-16.373333333333335,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.6305586598182363,0.17345091148169645,-6.032592592592592,-3.8400000000000074,2.801111111111113,-2.3774999999999995,4.210000000000001,-1,1.0,-1,-1,1,-3,3.0,3.0
2.5,3,-2.0,1.2049382716049402,3.1496892288778096,101.4,105.53333333333336,98.0,107.53333333333336,Wed 12-01 12-01,H,98 (Ⅲ),Cincinnati,"L, 59-58",60,96.7,43.1,15.0,29.7,19.0,98.4,43.2,16.7,46.8,15.2,-20.0,3.5,137.0,105.1125,108.825,106.79012345679013,107.07127245406733,105.33125,112.6625,105.58518518518522,103.92158322518952,20211201,107.8,102.7,5.099999999999994,101.9,90.7,11.200000000000005,107.6,102.9,4.67,67.5,-0.015388898414215646,135.27310362845665,65.5796586059744,0.8137281037116253,136.0153449660085,5.764696474684324,136.0153449660085,0.8137281037116253,136.0153449660085,5.764696474684324,142.88674199333798,103.6,93.7,9.89,68.3,107.8,102.7,5.099999999999994,101.9,90.7,11.200000000000005,4.370702816388468,139.2612134329907,0,106.57911629159598,102.31535304999504,4.263763241600941,9.03595950833043,100.53031379192451,90.7709816915708,9.759332100353717,12.537445989553508,2021-12-01,0.35464858863237225,134.12965631417921,0.26196372010042523,134.12965631417921,-1.67,-11.179999999999998,1.4055555555555586,-9.509999999999998,-12.585555555555556,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,3,0.36944134018176367,0.48652786477234955,-3.4650617283950598,-6.67,-6.032592592592592,-2.2359999999999998,-2.3774999999999995,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
-3.5,0,-4.233333333333334,1.069958847736626,2.72247300544548,98.7,100.8,97.9,105.03333333333336,Sat 12-04 12-04,A,208 (Ⅲ),Indiana St.,"L, 69-68",72,95.1,47.7,18.2,25.0,10.8,96.5,50.8,15.4,17.1,16.4,-11.0,-2.5,148.0,101.90625,105.1125,104.09341563786008,105.54922291696415,101.615625,105.33125,103.0234567901235,102.82674991151868,20211204,107.6,102.2,5.399999999999992,100.5,102.9,-2.4000000000000057,107.0,102.3,4.65,66.5,-0.10903506061649182,144.75594232420858,67.35135135135135,-1.4042031433100561,147.15526566179653,2.7053807854345737,147.15526566179653,-1.4042031433100561,147.15526566179653,2.7053807854345737,155.69964020525651,102.6,103.9,-1.26,71.2,107.6,102.2,5.399999999999992,100.5,102.9,-2.4000000000000057,0.8083902821108643,155.2208255908952,0,103.97063107790323,98.97861839190804,4.992012685995192,10.853369273842256,103.2401416398696,99.17224822602653,4.0678934138430805,-2.374071908570654,2021-12-04,3.328693248004825,141.67689882653985,-6.943069648673884,141.67689882653985,-4.65,-15.829999999999998,-2.7896296296296264,-11.179999999999998,-13.040370370370372,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,3,0.5940963859982835,0.37561481858408163,-3.5800411522633744,-8.883333333333335,-3.4650617283950598,-2.6383333333333328,-2.2359999999999998,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-4.5,4,3.0,2.313305898491083,3.1002051862735738,123.3,107.8,118.5,104.8,Tue 12-14 12-14,A,84 (Ⅱ),Clemson,"L, 89-76",67,113.3,51.6,13.4,28.9,26.2,132.7,61.9,11.9,25.8,30.5,29.0,8.5,136.0,112.603125,101.90625,110.49561042524006,108.7766369320616,110.0578125,101.615625,108.182304526749,105.676431745788,20211214,106.3,101.3,5.0,108.4,96.5,11.900000000000006,106.1,101.8,4.37,66.9,9.822627248275595,135.31077590912724,63.28378378378379,8.560295952805873,138.12409069817147,10.250614186012129,138.12409069817147,8.560295952805873,138.12409069817147,10.250614186012129,145.91092880893893,110.1,96.6,13.48,66.5,106.3,101.3,5.0,108.4,96.5,11.900000000000006,11.582989225967061,142.1442967857264,0,103.7670399673299,100.910502556473,2.8565374108568875,8.718648470239168,108.33588922323128,100.74724311564948,7.588646107581795,8.838895068047336,2021-12-14,6.995438257178279,139.03852879369106,2.00359763337741,139.03852879369106,-0.3700000000000001,-16.2,-7.136419753086416,-15.829999999999998,-9.063580246913583,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.20910695659274503,0.2526313423711173,-2.056694101508917,-1.37,-3.5800411522633744,-2.314285714285715,-2.6383333333333328,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-18.0,-10,-1.6333333333333353,-1.9577960676726112,0.6274406069511054,113.6,111.86666666666667,124.1,113.5,Sat 12-18 12-18,H,185 (Ⅳ),Bellarmine,"L, 77-68",58,116.8,57.5,18.9,40.0,22.6,132.2,67.0,10.3,20.0,18.9,2.5,-9.0,142.5,113.1015625,112.603125,111.53040695016004,109.65361203532312,117.07890625,110.0578125,113.48820301783267,109.026171428372,20211218,107.6,102.2,5.399999999999992,100.8,107.4,-6.6000000000000085,107.1,104.6,2.47,66.8,-6.912656658835374,139.11395117946117,62.333997155049786,-11.94979913886452,140.17391914666985,-8.863196082891411,140.17391914666985,-11.94979913886452,140.17391914666985,-8.863196082891411,137.1940025772096,104.8,106.9,-2.11,65.6,107.6,102.2,5.399999999999992,100.8,107.4,-6.6000000000000085,-8.525067294596067,141.2111576217238,0,103.82092715114456,104.1941349870865,-0.3732078359419404,1.945260624244776,100.02652063394284,104.9075902746055,-4.881069640662659,-2.006946412538692,2021-12-18,-6.8258328996913775,136.5487586790353,-4.20838222516641,136.5487586790353,-12.47,-28.67,-10.157613168724279,-16.2,-18.512386831275723,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.804317030846224,0.7421795079220929,-4.427796067672611,-4.103333333333335,-2.056694101508917,-3.58375,-2.314285714285715,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
17.5,9,1.1999999999999982,1.794802621551591,2.204269587505449,111.5,116.13333333333333,102.2,114.93333333333334,Wed 12-29 12-29,A,140 (Ⅱ),Buffalo,"W, 91-81",79,115.5,48.6,10.2,30.4,32.9,102.8,44.3,21.6,46.9,45.7,22.0,7.5,150.0,112.30078125,113.1015625,111.52027130010671,109.98931893799164,109.639453125,117.07890625,109.72546867855512,107.78504935048616,20211229,108.3,104.6,3.700000000000003,105.9,99.5,6.400000000000006,107.2,104.9,2.31,66.6,9.252698456695043,149.30786823522135,68.21052631578947,6.379955585067094,152.7565132980223,10.53959878828321,152.7565132980223,6.379955585067094,152.7565132980223,10.53959878828321,154.72185020762865,108.3,99.0,9.37,72.0,108.3,104.6,3.700000000000003,105.9,99.5,6.400000000000006,8.521684989605555,156.13496966894314,0,103.66774401081015,103.5538934855002,0.11385052530995665,0.5343439953679654,97.79208174019725,100.20389764243744,-2.4118159022401926,-3.723595698049121,2021-12-29,2.1880406891109487,143.29494193609037,-1.0249240134536706,143.29494193609037,6.6899999999999995,-21.980000000000004,-16.32840877914952,-28.67,-5.651591220850484,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,3,0.23752526202697655,0.4174642510869859,-0.515197378448409,-1.1100000000000019,-4.427796067672611,-2.442222222222222,-3.58375,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-2.0,-7,-2.7333333333333343,-1.1367982522989388,0.530766026140822,95.6,106.9,102.6,109.63333333333333,Sat 1-08 1-08,A,269 (Ⅳ),Bowling Green,"L, 87-83 OT",82,101.7,50.0,15.9,27.1,11.7,106.6,47.9,11.0,23.3,31.9,14.0,2.0,156.0,103.950390625,112.30078125,106.21351420007116,107.37307913108408,106.1197265625,109.639453125,107.35031245237008,106.84231310494322,20220108,109.9,106.3,3.6000000000000085,104.0,107.0,-3.0,109.3,106.0,3.31,67.7,1.6436165287646531,159.43907937909057,70.39644381223329,-0.4713476987213454,164.23732506691823,2.5303064920284584,164.23732506691823,-0.4713476987213454,164.23732506691823,2.5303064920284584,162.1501771042021,105.5,106.0,-0.44,73.1,109.9,106.3,3.6000000000000085,104.0,107.0,-3.0,-0.3090242323253128,161.22266596104743,0,102.3099385645394,103.54605886973172,-1.2361203051923297,-1.402869318687193,98.4435164309605,103.84210388303283,-5.398587452072334,-3.5216177783750107,2022-01-08,1.096139507509804,149.90414642136975,0.43104356470331595,149.90414642136975,-10.31,-32.290000000000006,-18.212272519433014,-21.980000000000004,-14.077727480566992,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.4244679994402739,0.4584282472329818,-4.446798252298938,-6.043333333333335,-0.515197378448409,-3.2289999999999996,-2.442222222222222,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
