ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
8.5,14,,14.300000000000011,14.300000000000011,106.9,0.0,92.6,0.0,Tue 11-09 11-09,H,224 (Ⅳ),UMKC,"W, 71-56",65,109.9,53.8,13.9,16.1,38.5,86.7,48.0,18.6,12.5,19.6,-4.0,-6.5,131.0,106.9,0.0,106.9,106.9,92.6,0.0,92.6,92.6,20211109,101.1,99.1,2.0,100.3,103.1,-2.799999999999997,101.6,95.8,5.76,71.2,-12.028507584415067,130.0263394204281,67.6551920341394,-7.304734591417102,141.25569913051805,-21.910731228834404,141.25569913051805,-7.304734591417102,141.25569913051805,-21.910731228834404,131.84603192180117,94.1,101.0,-6.93,66.8,101.1,99.1,2.0,100.3,103.1,-2.799999999999997,-21.910731228834404,131.84603192180117,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-09,0.0,0.0,,0.0,8.24,8.24,0.0,0.0,8.24,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,-3,0.732057505466481,0.5,8.540000000000012,,0.0,8.24,0.0,1,0.0,1,1,1,3,0.0,0.0
6.5,17,,15.366666666666674,14.88181818181819,107.4,0.0,89.9,0.0,Fri 11-12 11-12,N,123 (Ⅲ),Western Kentucky,"W, 73-69",70,104.2,50.8,17.1,24.3,30.5,98.5,47.3,14.3,16.7,35.7,3.5,2.5,138.5,107.15,106.9,107.06666666666668,106.9909090909091,91.25,92.6,91.7,92.1090909090909,20211112,99.0,96.0,3.0,101.4,96.0,5.400000000000006,101.0,95.3,5.76,71.2,1.0275296303687895,140.8066291257794,72.82048364153628,1.71528750557313,143.22650671535638,-22.13648507052222,143.22650671535638,1.71528750557313,143.22650671535638,-22.13648507052222,141.2994897523761,102.7,95.5,7.25,71.9,99.0,96.0,3.0,101.4,96.0,5.400000000000006,-22.13648507052222,141.2994897523761,0,90.82150754782884,98.83142853439357,-8.009920986564723,-7.7169096126877665,105.36891883612977,92.94141284218507,12.427505993944692,18.17871504567308,2021-11-12,14.686267380485013,140.3709699261414,18.8573191182153,140.3709699261414,11.24,19.48,8.24,8.24,11.24,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.4059036140017165,0.08095266240529209,9.606666666666674,,8.540000000000012,9.74,8.24,1,1.0,1,1,1,3,3.0,0.0
4.5,9,13.866666666666667,13.511111111111116,13.957851239669427,96.2,103.5,86.4,89.63333333333333,Sun 11-14 11-14,N,126 (Ⅲ),Princeton,"W, 87-80 2OT",88,99.2,57.1,16.0,7.7,46.0,91.2,45.7,11.4,17.6,14.8,35.5,-2.5,131.5,101.675,107.15,103.44444444444446,105.02892561983472,88.825,91.25,89.93333333333334,91.07107438016529,20211114,100.1,95.9,4.199999999999989,97.3,99.1,-1.7999999999999972,102.0,95.8,6.22,70.4,-3.5050350613929027,135.21226925061748,67.79630156472263,-4.089438230186175,133.69623935287999,-4.564756184143298,133.69623935287999,-4.089438230186175,133.69623935287999,-4.564756184143298,132.62127192081246,101.9,100.8,1.11,67.7,100.1,95.9,4.199999999999989,97.3,99.1,-1.7999999999999972,-4.578538160366309,132.61459600887852,0,102.43818364736796,87.41958626710229,15.018597380265675,17.136426183954477,95.50719815422258,106.17112036099132,-10.663922206768746,-16.89839084828563,2021-11-14,-17.54822765197691,133.51703629825346,-23.074347192179083,133.51703629825346,2.7800000000000002,22.26,11.986666666666668,19.48,10.273333333333333,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.5940963859982835,0.9526648111337059,7.291111111111117,7.646666666666667,9.606666666666674,7.420000000000001,9.74,1,1.0,1,1,1,3,3.0,3.0
18.5,18,15.333333333333334,15.240740740740746,14.820060105184076,98.3,100.63333333333333,79.6,85.3,Fri 11-19 11-19,H,216 (Ⅳ),Fort Wayne,"W, 78-49",73,106.6,56.1,16.4,12.9,31.6,67.0,36.9,27.3,27.3,13.1,-11.5,-10.5,138.5,99.9875,101.675,101.72962962962964,103.8054845980466,84.2125,88.825,86.4888888888889,88.98542449286249,20211119,99.7,95.1,4.6000000000000085,100.4,104.4,-4.0,101.4,94.8,6.58,70.3,-13.072313959424463,142.4060796119331,71.3,-10.353875499577342,145.7592704219797,-16.600742582047005,145.7592704219797,-10.353875499577342,145.7592704219797,-16.600742582047005,133.4685299371926,98.9,105.1,-6.24,71.3,99.7,95.1,4.6000000000000085,100.4,104.4,-4.0,-16.659201706439358,133.5141487567963,0,102.10772979320691,92.73686756925709,9.370862223949828,15.818331505410791,86.98483892537156,96.87359902383456,-9.888760098462996,-6.093874189467559,2021-11-19,-16.979564332814398,131.37737798857245,-17.716872193376005,131.37737798857245,11.42,33.68,15.411111111111113,22.26,18.26888888888889,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.8413447460685429,0.9470717988601276,8.660740740740746,8.753333333333334,7.291111111111117,8.42,7.420000000000001,1,1.0,1,1,1,3,3.0,3.0
-2.5,17,15.466666666666669,16.12716049382717,15.38004917696879,89.7,94.73333333333332,71.8,79.26666666666667,Wed 11-24 11-24,H,177 (Ⅳ),Jacksonville,"W, 55-44",63,86.9,46.3,15.8,9.4,11.1,69.5,32.5,25.3,40.5,13.3,-31.0,-13.5,130.0,94.84375,99.9875,97.71975308641976,101.24085103476538,78.00625,84.2125,81.59259259259261,85.86080185779659,20211124,99.9,94.0,5.900000000000006,96.6,103.8,-7.200000000000003,101.9,94.2,7.71,69.7,-13.9549832446423,128.5094654652816,66.72560455192034,-12.542068925455297,133.2793280532568,-9.995490114162605,133.2793280532568,-12.542068925455297,133.2793280532568,-9.995490114162605,113.81290237821199,94.2,102.4,-8.21,67.3,99.9,94.0,5.900000000000006,96.6,103.8,-7.200000000000003,-10.080038434291907,113.74386381381439,0,99.04073511908706,89.44666490929944,9.594070209787617,14.70553291653474,90.6639415848498,90.53893596838586,0.12500561646393749,0.5756410746317946,2021-11-24,-9.134482673464582,116.96335931581055,-11.439323061691283,116.96335931581055,9.29,42.97,21.500740740740746,33.68,21.469259259259253,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.900728603156669,0.8078363350749419,8.417160493827168,7.756666666666669,8.660740740740746,8.594,8.42,1,1.0,1,1,1,3,3.0,3.0
-2.0,2,13.033333333333337,11.584773662551449,13.038222053883556,92.0,93.33333333333331,89.5,80.3,Tue 11-30 11-30,A,170 (Ⅲ),Pittsburgh,"W, 54-53",60,89.6,43.2,11.6,23.1,8.5,88.0,41.3,19.9,29.4,28.8,-21.0,-3.0,128.0,93.421875,94.84375,95.81316872427983,99.56069630117167,83.753125,78.00625,84.2283950617284,86.5224742472881,20211130,99.5,93.2,6.299999999999997,95.6,101.1,-5.5,101.7,94.3,7.38,68.7,-3.2572456826390876,126.33357803248452,64.8887624466572,-4.117239255439955,126.06302865513243,-8.788569296542466,126.06302865513243,-4.117239255439955,126.06302865513243,-8.788569296542466,116.36400860983544,98.3,101.5,-3.19,66.4,99.5,93.2,6.299999999999997,95.6,101.1,-5.5,-11.79056423715474,117.28606324389693,0,93.80339448203569,89.12163000276406,4.681764479271621,10.238605970457352,94.37612127940244,102.914577059685,-8.538455780282561,-16.5018109850275,2021-11-30,-4.906607941169675,120.02328643906876,-15.59153791411213,120.02328643906876,-5.38,37.589999999999996,28.657160493827163,42.97,8.932839506172833,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.6124515189020077,0.6798559390569296,4.204773662551449,5.653333333333337,8.417160493827168,6.2650000000000015,8.594,1,1.0,1,1,1,3,3.0,3.0
16.5,32,17.566666666666674,18.48984910836764,16.540363498632,133.8,105.16666666666669,101.5,87.60000000000001,Sun 12-05 12-05,A,42 (I),Mississippi St.,"W, 81-76",66,122.4,59.3,6.0,12.5,22.0,114.8,50.8,16.6,37.8,20.3,29.5,11.5,127.5,113.6109375,93.421875,108.47544581618658,105.78602424641318,92.6265625,83.753125,89.98559670781894,89.24566074778117,20211205,98.6,92.7,5.899999999999992,106.7,93.2,13.5,101.0,93.7,7.26,67.5,7.96738152061652,123.6636303834772,62.98719772403983,7.9922263723453995,123.53383281306954,-1.2176429884714552,123.53383281306954,7.9922263723453995,123.53383281306954,-1.2176429884714552,114.9118552041556,109.0,94.0,15.03,65.6,98.6,92.7,5.899999999999992,106.7,93.2,13.5,3.220587007384176,115.24269438230141,0,98.9462563198907,91.67889108921057,7.267365230680127,10.636609114783043,108.76175928353192,93.36671225061576,15.395047032916153,14.86400811939962,2021-12-05,8.217995986759234,124.3727548193782,4.651231444669065,124.3727548193782,24.740000000000002,62.33,31.634773662551442,37.589999999999996,30.695226337448556,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.13670617005697383,0.21691155299521836,11.22984910836764,10.306666666666674,4.204773662551449,8.904285714285713,6.2650000000000015,1,1.0,1,1,1,3,3.0,3.0
-1.0,-4,10.066666666666672,10.79323273891176,12.696661044335272,105.4,110.40000000000002,110.0,100.33333333333331,Wed 12-08 12-08,H,28 (I),Michigan St.,"L, 75-67",65,102.8,44.1,4.6,20.9,13.2,115.1,57.7,20.0,33.3,36.5,6.5,7.0,135.5,109.50546875,113.6109375,107.45029721079106,105.7158380197926,101.31328125,92.6265625,96.6570644718793,93.01917697545731,20211208,101.5,93.2,8.299999999999997,106.1,88.1,18.0,103.2,94.6,8.62,67.7,4.067717482226627,130.83458228231348,68.37411095305833,2.936083034340399,131.70015909841328,-3.38618871668054,131.70015909841328,2.936083034340399,131.70015909841328,-3.38618871668054,120.37960285291456,107.8,87.8,19.93,71.0,101.5,93.2,8.299999999999997,106.1,88.1,18.0,-1.1632773636321054,121.74880856268045,0,102.38209821240326,93.08673237361648,9.295365838786779,12.039356919018298,104.80458421978544,83.56445246907649,21.240131750708954,20.396485388178085,2021-12-08,4.8171451229959885,128.0136431928798,3.4891491219997732,128.0136431928798,-12.62,49.71,41.866515775034294,62.33,7.843484224965707,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.2524925375469229,0.32319761393803337,2.1732327389117607,1.4466666666666725,11.22984910836764,6.21375,8.904285714285713,1,1.0,1,1,1,3,3.0,3.0
23.5,30,19.466666666666672,17.428821825941174,15.969995399910676,123.2,120.8,92.5,101.33333333333331,Sat 12-11 12-11,A,22 (I-A),Michigan,"W, 75-65",64,117.9,56.1,6.3,15.6,28.1,102.2,50.0,12.6,23.3,29.1,5.5,13.5,134.5,116.352734375,109.50546875,112.70019814052738,108.89477656164848,96.906640625,101.31328125,95.2713763145862,92.9247811617378,20211211,102.3,94.5,7.799999999999997,109.9,91.0,18.90000000000001,103.9,95.6,8.25,66.9,12.71826698550165,129.10227505220158,64.33058321479375,10.74434498716208,130.21152314894294,4.8558744700742285,130.21152314894294,10.74434498716208,130.21152314894294,4.8558744700742285,124.0005398840605,112.7,90.0,22.72,67.6,102.3,94.5,7.799999999999997,109.9,91.0,18.90000000000001,6.428677022965322,123.2030510422007,0,104.72081848210637,93.31455562952056,11.406262852585812,11.31289902731734,106.615342119158,94.47199515539086,12.143346963767144,7.293732802379325,2021-12-11,4.033718211586752,130.99394657707052,-0.616720176042989,130.99394657707052,21.75,71.46000000000001,44.48101051668954,49.71,26.97898948331047,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.09927139684333097,0.3504285830640136,9.178821825941174,11.216666666666672,2.1732327389117607,7.94,6.21375,1,1.0,1,1,1,3,3.0,3.0
-7.5,9,11.866666666666667,14.785881217294117,14.793632599926916,106.5,111.7,97.0,99.83333333333331,Tue 12-14 12-14,H,277 (Ⅳ),Texas A&M Corpus Chris,"W, 79-71",75,105.2,70.9,37.3,27.3,53.5,94.6,44.3,8.0,16.3,15.7,6.5,-15.5,143.5,111.4263671875,116.352734375,110.63346542701828,108.45936264134876,96.9533203125,96.906640625,95.84758420972416,93.66573004142184,20211214,104.3,93.6,10.700000000000005,94.9,104.1,-9.199999999999989,105.3,94.5,10.79,66.5,-19.840475192408718,134.61525915841597,68.01351351351352,-17.6120885213194,137.93316187943864,-16.34304321835232,137.93316187943864,-17.6120885213194,137.93316187943864,-16.34304321835232,131.88127300299135,92.3,105.4,-13.09,71.9,104.3,93.6,10.700000000000005,94.9,104.1,-9.199999999999989,-17.85439594748069,131.55578508255013,0,105.17859371361408,93.6621882152609,11.51640549835318,11.441118338270243,105.78629512800303,92.3566629652142,13.429632162788835,6.804864017747103,2021-12-14,-2.4741544779877813,136.6867711650416,-5.231394108643599,136.6867711650416,-1.7899999999999991,69.67000000000002,53.47400701112636,71.46000000000001,16.195992988873655,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.9300536172447476,0.5931415627804397,3.9958812172941176,1.076666666666668,9.178821825941174,6.9670000000000005,7.94,1,1.0,1,1,1,3,3.0,3.0
