ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-2.5,15,,15.299999999999995,15.299999999999995,108.0,0.0,92.7,0.0,Tue 11-09 11-09,H,251 (Ⅳ),New Orleans,"W, 82-61",73,112.3,60.2,16.4,21.9,14.1,83.5,49.1,26.0,16.1,18.5,1.0,-23.5,142.0,108.0,0.0,108.0,108.0,92.7,0.0,92.7,92.7,20211109,103.1,93.9,9.199999999999989,99.9,107.8,-7.899999999999991,103.5,89.8,13.63,69.4,-24.186766667331653,142.37584464518505,72.75647226173542,-17.166197806572384,152.84051457568626,-24.912449889912033,152.84051457568626,-17.166197806572384,152.84051457568626,-24.912449889912033,143.26467251645155,93.5,108.1,-14.54,73.7,103.1,93.9,9.199999999999989,99.9,107.8,-7.899999999999991,-24.912449889912033,143.26467251645155,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-09,0.0,0.0,,0.0,1.3699999999999992,1.3699999999999992,0.0,0.0,1.3699999999999992,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,3,0.9873925774343177,0.5,1.6699999999999946,,0.0,1.3699999999999992,0.0,1,0.0,1,1,1,3,0.0,0.0
1.5,5,,11.966666666666663,13.481818181818175,106.0,0.0,100.7,0.0,Fri 11-12 11-12,H,346 (Ⅳ),Charleston Southern,"W, 93-68",78,119.3,58.0,11.5,23.7,9.3,87.2,43.1,18.0,23.3,27.7,26.0,-23.5,135.0,107.0,108.0,107.33333333333334,107.63636363636364,96.7,92.7,95.36666666666667,94.15454545454546,20211112,100.6,91.1,9.5,94.5,104.8,-10.299999999999995,102.9,89.3,13.63,69.4,-25.062900602674404,134.1756543290074,70.88079658605974,-17.91605989746202,139.30554243322922,-26.960287745326582,139.30554243322922,-17.91605989746202,139.30554243322922,-26.960287745326582,147.21918690021744,89.1,106.7,-17.63,71.8,100.6,91.1,9.5,94.5,104.8,-10.299999999999995,-26.960287745326582,147.21918690021744,0,0.0,0.0,0.0,0.0,102.78142437463168,99.50983816083144,3.271586213800248,1.3561285988619298,2021-11-12,0.0,0.0,,0.0,-8.63,-7.260000000000002,1.3699999999999992,1.3699999999999992,-8.63,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,-3,0.9873925774343177,0.5,-1.6633333333333375,,1.6699999999999946,-3.630000000000001,1.3699999999999992,-1,1.0,-1,-1,1,-3,3.0,0.0
-9.5,13,11.199999999999998,12.31111111111111,13.394214876033052,116.5,110.16666666666669,103.5,98.96666666666664,Thu 11-18 11-18,N,41 (I),Marquette,"L, 78-72",69,105.0,53.2,13.1,26.3,24.2,113.7,54.5,14.6,18.2,33.9,11.5,-3.5,138.5,111.75,107.0,110.3888888888889,109.24793388429752,100.1,96.7,98.07777777777778,95.85371900826443,20211118,101.0,91.3,9.700000000000005,100.7,94.3,6.400000000000006,103.3,89.8,13.49,70.0,-3.22881495792727,136.6350996086424,72.68847795163585,-2.455355843824975,139.10792187851638,-5.66122222351967,139.10792187851638,-2.455355843824975,139.10792187851638,-5.66122222351967,141.15727421604637,102.7,93.6,9.09,73.0,101.0,91.3,9.700000000000005,100.7,94.3,6.400000000000006,-5.460910650248048,141.09147074009752,0,103.71580760967112,101.13080955549222,2.5849980541788966,0.659403461602394,102.05624984518995,98.89267897128865,3.163570873901307,-1.564862674828965,2021-11-18,0.4778360795250194,152.92755869813385,-1.6167852001656087,152.92755869813385,-0.4900000000000002,-7.750000000000002,-1.5066666666666675,-7.260000000000002,-6.243333333333334,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.6305586598182363,0.481851120285567,-1.1788888888888902,-2.2900000000000027,-1.6633333333333375,-2.583333333333334,-3.630000000000001,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
7.5,21,13.300000000000002,15.40740740740741,14.886175807663408,99.7,107.4,78.1,94.1,Fri 11-19 11-19,N,248 (Ⅳ),Elon,"W, 74-56",73,100.9,52.8,17.7,24.2,52.8,76.3,37.5,23.2,12.8,46.2,-2.5,-10.5,132.5,105.725,111.75,106.82592592592594,107.51194590533431,89.1,100.1,91.41851851851852,92.62577009767092,20211119,100.9,91.3,9.600000000000009,99.2,101.7,-2.5,103.8,91.2,12.59,69.3,-11.01592658754592,132.47456739432286,68.70853485064012,-8.474963166670207,135.91861924644206,-16.191347525535296,135.91861924644206,-8.474963166670207,135.91861924644206,-16.191347525535296,145.84575359505703,97.4,101.1,-3.7,69.7,100.9,91.3,9.600000000000009,99.2,101.7,-2.5,-16.172637959048682,145.86452079467293,0,100.27742081628509,96.2451367808731,4.03228403541199,2.207813533462566,96.9215565681742,100.366169841577,-3.4446132734028083,-5.976162008189849,2021-11-19,-5.179890423675658,136.44066013298837,-5.6230896872041,136.44066013298837,8.41,0.6599999999999984,-3.587777777777779,-7.750000000000002,4.247777777777777,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.8413447460685429,0.6891077740452969,2.8174074074074102,0.7100000000000026,-1.1788888888888902,0.16499999999999915,-2.583333333333334,1,-1.0,1,1,-1,3,-3.0,-3.0
-12.0,7,14.133333333333336,12.871604938271606,13.59778020627006,88.0,101.4,80.2,87.26666666666667,Sun 11-21 11-21,N,27 (I),Boise St.,"L, 60-50",67,74.2,38.6,20.8,19.4,10.5,89.0,47.2,25.2,32.4,39.6,-26.5,-2.0,136.5,96.8625,105.725,100.55061728395064,103.96431937709173,84.65,89.1,87.67901234567903,90.36653917082164,20211121,101.3,90.8,10.5,104.3,93.3,11.0,103.6,90.5,13.14,69.7,-1.0471695089276096,129.159249009009,67.61792318634424,0.1326550476635191,131.07378564106918,1.5233445923596547,131.07378564106918,0.1326550476635191,131.07378564106918,1.5233445923596547,137.49040986766755,105.2,93.4,11.77,68.2,101.3,90.8,10.5,104.3,93.3,11.0,1.490819651394806,137.4997101041041,0,98.7352026683326,94.02966870504008,4.705533963292524,1.5971475842306426,102.41988618971683,91.82921702854009,10.590669161176749,9.910420252086244,2021-11-21,3.905057127792766,129.51901529168674,5.621262326821949,129.51901529168674,-6.140000000000001,-5.480000000000002,-2.1718518518518537,0.6599999999999984,-3.3081481481481485,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.5755320005597261,0.3549798542726985,-0.2683950617283948,0.9933333333333358,2.8174074074074102,-1.0960000000000019,0.16499999999999915,-1,1.0,-1,-1,1,-3,3.0,-3.0
-27.0,-9,6.766666666666666,5.5477366255144025,9.470911077857318,98.8,95.5,107.9,88.73333333333333,Fri 11-26 11-26,H,354 (Ⅳ),Mississippi Valley St.,"W, 73-58",62,117.2,46.7,14.4,43.6,40.0,93.1,45.5,19.3,31.6,19.6,-16.5,-42.0,147.5,97.83125,96.8625,99.96707818930042,103.0253522176205,96.275,84.65,94.41934156378602,93.55444113976316,20211126,101.3,91.2,10.099999999999994,86.1,114.4,-28.30000000000001,103.2,91.1,12.04,68.7,-38.14502904300766,141.92116293565476,72.51123755334282,-31.743132510351266,144.94081359940563,-42.189141228401624,144.94081359940563,-31.743132510351266,144.94081359940563,-42.189141228401624,148.9832606997821,81.2,117.6,-36.34,74.2,101.3,91.2,10.099999999999994,86.1,114.4,-28.30000000000001,-42.197304182509555,149.04483952226784,0,98.45906913849832,99.62485611258352,-1.1657869740851936,-7.942300472055763,100.5566511487437,101.50915647840836,-0.9525053296646604,-2.519469251141908,2021-11-26,-3.9805967890332425,148.39750702385123,2.008050798967872,148.39750702385123,-21.04,-26.520000000000003,-3.27456790123457,-5.480000000000002,-23.245432098765434,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,3,0.9999683287581669,0.6476948513126235,-6.492263374485597,-5.273333333333333,-0.2683950617283948,-4.42,-1.0960000000000019,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
9.0,16,5.066666666666663,9.198491083676268,10.748927245519624,100.3,95.7,83.8,90.63333333333333,Tue 11-30 11-30,H,246 (Ⅳ),Rider,"W, 75-51",70,106.7,46.2,18.5,44.4,34.8,72.6,31.7,15.7,22.9,25.4,-8.0,-15.0,134.0,99.065625,97.83125,100.07805212620028,102.52983363259858,90.0375,96.275,90.87956104252402,91.78090638707894,20211130,101.8,93.8,8.0,97.7,103.1,-5.399999999999992,103.5,93.0,10.54,67.2,-15.26673813367151,130.07412555459615,66.0529160739687,-12.74422191360626,133.4038286197581,-13.608244669603064,133.4038286197581,-12.74422191360626,133.4038286197581,-13.608244669603064,122.59294551088382,96.6,103.9,-7.29,69.1,101.8,93.8,8.0,97.7,103.1,-5.399999999999992,-14.849067371151737,125.81677186606782,0,97.7678041205349,98.01508956991562,-0.24728544938071195,-6.378462408280544,92.1173605860646,100.31152619742772,-8.194165611363118,-7.67368094527122,2021-11-30,-8.84288707979443,127.72018640753686,-2.5750653569012485,127.72018640753686,5.460000000000001,-21.060000000000002,-11.023045267489714,-26.520000000000003,-10.036954732510289,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.9234362744901652,0.8001563187117418,-1.3415089163237308,-5.473333333333336,-6.492263374485597,-3.008571428571429,-4.42,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
5.0,16,8.1,11.765660722450846,11.867304109970602,98.5,99.2,81.6,91.1,Sat 12-04 12-04,H,28 (Ⅱ),Memphis,"W, 67-63",73,91.6,43.1,21.9,25.0,56.9,86.1,40.8,27.3,33.3,75.5,-6.0,1.0,136.0,98.7828125,99.065625,99.5520347508002,101.79713660848974,85.81875,90.0375,87.78637402834934,89.92983249851912,20211204,101.5,93.3,8.200000000000003,108.5,90.5,18.0,103.3,92.5,10.78,66.9,0.8335684280355906,134.6647163167625,70.04039829302987,2.8446087490116128,138.24832081646122,-2.687554859919487,138.24832081646122,2.8446087490116128,138.24832081646122,-2.687554859919487,128.4312041843137,108.1,90.4,17.74,73.6,101.5,93.3,8.200000000000003,108.5,90.5,18.0,-0.22655883403326543,130.540732405112,0,97.8241248888901,96.46462241465908,1.3595024742310216,-3.430435971361674,98.82503882784042,93.97107621639076,4.85396261144966,5.478705643460241,2021-12-04,-1.317319537266485,134.18793032648946,4.258782491996172,134.18793032648946,5.220000000000001,-15.840000000000002,-14.368696844993144,-21.060000000000002,-1.4713031550068578,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,3,0.46206285593374585,0.5499199105147453,0.9856607224508469,-2.6799999999999997,-1.3415089163237308,-1.9800000000000004,-3.008571428571429,1,-1.0,-1,-1,-1,-1,-3.0,-3.0
-28.5,-27,1.9666666666666688,-1.322892851699434,4.70961245361231,74.0,90.93333333333334,101.5,88.96666666666665,Sat 12-11 12-11,N,123 (Ⅲ),Western Kentucky,"L, 71-48",66,72.4,33.1,15.1,22.2,14.5,107.0,56.8,18.1,25.9,8.5,-17.5,-5.5,136.5,86.39140625,98.7828125,91.0346898338668,96.7431117705825,93.659375,85.81875,92.35758268556624,92.03349931697018,20211211,101.5,92.9,8.599999999999994,101.5,100.6,0.9000000000000057,103.4,92.3,11.14,66.6,-4.803881194029856,131.41743940298508,66.6,-5.334759203980099,134.06180597014924,-6.729930437373133,134.06180597014924,-5.334759203980099,134.06180597014924,-6.729930437373133,124.92599985456715,103.5,99.4,4.08,70.3,101.5,92.9,8.599999999999994,101.5,100.6,0.9000000000000057,-9.564350400716418,128.6270602767761,0,95.6656911023583,97.30777495568654,-1.642083853328245,-8.58749420786941,96.12113186405648,99.9362996325762,-3.8151677685197143,-7.592705377249315,2021-12-11,-1.4139224678348654,129.10321120392734,0.6625293611929806,129.10321120392734,-38.14,-53.980000000000004,-14.85913122999543,-15.840000000000002,-39.12086877000458,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.6997944856925475,0.5535593661873301,-12.462892851699435,-9.173333333333332,0.9856607224508469,-5.997777777777778,-1.9800000000000004,-1,1.0,-1,-1,-1,-3,-1.0,-3.0
-1.5,15,1.5,4.151404765533709,6.598773825682798,88.6,87.03333333333332,73.5,85.53333333333335,Wed 12-15 12-15,H,96 (Ⅲ),Middle Tennessee,"W, 62-52",71,87.7,40.8,11.3,18.6,33.3,73.6,37.3,24.1,26.2,9.5,-21.0,-11.5,135.0,87.495703125,86.39140625,90.2231265559112,95.26254599411295,83.5796875,93.659375,86.0717217903775,88.66377216843014,20211215,98.7,93.2,5.5,99.3,100.0,-0.7000000000000028,101.0,92.6,8.44,66.1,-11.313462020312642,128.08825374431015,66.85220483641535,-7.884460317434701,131.1667741166571,0.6179485888803379,131.1667741166571,-7.884460317434701,131.1667741166571,0.6179485888803379,122.08573331321864,97.5,100.9,-3.36,71.1,98.7,93.2,5.5,99.3,100.0,-0.7000000000000028,-4.40070232526435,127.24690859466807,0,95.26624224093484,94.5156148574853,0.7506273834495403,-5.953086296675109,100.05284053658262,93.50240987888974,6.5504306576928855,7.348459200285336,2021-12-15,0.23870882318405506,125.7317185450005,7.0074549808927955,125.7317185450005,6.5600000000000005,-47.42,-27.899420819996955,-53.980000000000004,-19.520579180003047,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.8632938299430262,0.49093115812715604,-4.288595234466291,-6.9399999999999995,-12.462892851699435,-4.742,-5.997777777777778,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
