ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-8.5,-11,,-11.5,-11.5,88.1,0.0,99.6,0.0,Tue 11-09 11-09,A,7 (I-A),Auburn,"L, 77-54",69,78.2,41.5,24.6,29.7,13.6,111.5,52.9,8.7,24.3,10.1,-14.0,14.5,145.0,88.1,0.0,88.1,88.1,99.6,0.0,99.6,99.6,20211109,104.7,102.4,2.299999999999997,109.2,93.1,16.10000000000001,98.6,98.9,-0.29,69.0,17.35187127913582,142.14253141155865,71.65007112375534,14.809317132742137,153.70453618263258,38.1115946096747,153.70453618263258,14.809317132742137,153.70453618263258,38.1115946096747,132.14908343352815,110.0,91.3,18.74,73.0,104.7,102.4,2.299999999999997,109.2,93.1,16.10000000000001,38.1115946096747,132.14908343352815,0,104.59134632002136,98.11063451554884,6.48071180447252,5.044600693361372,0.0,0.0,0.0,0.0,2021-11-09,-0.0,0.0,,0.0,-10.71,-10.71,0.0,0.0,-10.71,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.08364680132758417,0.5,-11.21,,0.0,-10.71,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-1.0,-13,,-12.2,-11.88181818181818,100.9,0.0,114.5,0.0,Fri 11-12 11-12,A,61 (I),UAB,"L, 85-71",71,100.7,54.2,31.2,44.8,54.2,120.6,62.3,12.8,16.7,23.0,19.5,13.0,136.5,94.5,88.1,92.36666666666667,90.42727272727272,107.05,99.6,104.56666666666666,102.30909090909093,20211112,100.8,100.0,0.7999999999999972,106.8,95.6,11.200000000000005,98.0,98.3,-0.29,69.0,12.748446370677627,136.1064350825647,69.88335704125178,11.534138610494793,145.55257268976635,26.096744826006102,145.55257268976635,11.534138610494793,145.55257268976635,26.096744826006102,164.74691657047748,105.9,93.1,12.79,71.2,100.8,100.0,0.7999999999999972,106.8,95.6,11.200000000000005,26.096744826006102,164.74691657047748,0,102.55580213010651,99.5361265486476,3.0196755814589125,1.7708846331872734,98.39578984683132,101.26564153165856,-2.869851684827239,4.725258498367294,2021-11-12,-0.18981792161920907,144.24385948946735,4.08490575427173,144.24385948946735,-12.71,-23.42,-10.71,-10.71,-12.71,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.10784037468050733,0.5072116447636992,-11.91,,-11.21,-11.71,-10.71,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-6.0,-6,-10.633333333333336,-10.400000000000006,-10.95785123966942,85.6,91.53333333333336,92.4,102.16666666666669,Sun 11-21 11-21,A,45 (I),Mississippi St.,"L, 66-46",61,75.2,41.7,21.3,11.8,16.7,108.0,53.3,22.9,45.2,1.6,-20.5,14.0,132.5,90.05,94.5,90.11111111111111,89.5495867768595,99.725,107.05,100.51111111111112,100.50743801652892,20211121,100.5,101.2,-0.7000000000000028,105.6,92.0,13.599999999999994,99.0,99.4,-0.44,68.4,13.444963423231954,130.68431836906495,65.67567567567569,13.46186050010619,134.52285948821432,29.827248957558513,134.52285948821432,13.46186050010619,134.52285948821432,29.827248957558513,136.75751136361916,107.9,93.2,14.72,67.5,100.5,101.2,-0.7000000000000028,105.6,92.0,13.599999999999994,29.826843532715255,136.92704788311073,0,93.44690277714452,102.67770514543852,-9.230802368294007,-8.061721340553936,104.80975398250824,89.66780703818846,15.141946944319784,20.47294686979652,2021-11-21,19.655276360478943,129.3666933907445,20.693371255042265,129.3666933907445,-5.56,-28.98,-14.946666666666669,-23.42,-14.033333333333331,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.09121121972586788,0.030608069399008397,-9.960000000000006,-10.193333333333337,-11.91,-9.66,-11.71,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
26.0,32,4.033333333333331,3.899999999999994,-3.0564237415477065,111.4,99.3,78.9,95.26666666666668,Fri 11-26 11-26,A,181 (Ⅲ),Arkansas St.,"W, 75-51",67,112.1,60.8,25.4,41.9,13.3,76.2,39.2,23.9,27.8,37.3,-9.0,2.0,135.0,100.725,90.05,97.20740740740742,93.52238918106688,89.3125,99.725,93.30740740740742,96.57881292261456,20211126,100.5,101.8,-1.2999999999999972,102.4,102.3,0.1000000000000085,99.2,100.3,-1.1,66.6,3.558772439699105,131.1591039179749,64.8,4.805287719818537,137.67803718861853,8.878871267030656,137.67803718861853,4.805287719818537,137.67803718861853,8.878871267030656,118.72104706672421,101.3,102.6,-1.28,68.4,100.5,101.8,-1.2999999999999972,102.4,102.3,0.1000000000000085,8.554053887581613,118.73717817115944,0,99.62460752372456,99.1252238238791,0.4993836998454668,-2.582206822330708,83.54481511652244,102.47915183809975,-18.93433672157731,-22.009649277058955,2021-11-26,-9.376467110797051,122.56957638326173,-10.997680029197575,122.56957638326173,33.1,4.120000000000001,-19.62444444444445,-28.98,23.74444444444445,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.4244679994402739,0.8140705749586618,4.999999999999995,5.133333333333331,-9.960000000000006,1.03,-9.66,1,-1.0,1,1,-1,3,-3.0,-3.0
12.0,11,12.466666666666663,6.499999999999997,-0.37343760672085,116.0,104.33333333333331,104.3,91.86666666666667,Sat 11-27 11-27,N,224 (Ⅳ),UMKC,"W, 70-62",61,114.6,56.5,9.8,13.8,54.3,101.5,50.0,16.4,26.5,12.1,4.5,4.0,127.5,108.3625,100.725,103.4716049382716,97.60922751178198,96.80625,89.3125,96.97160493827162,97.98266511850282,20211127,100.6,102.0,-1.4000000000000057,100.2,101.6,-1.3999999999999917,100.1,98.6,1.48,66.7,-2.732014402525074,123.3888799682951,62.80995732574681,-0.0036113011047120835,131.8212606248983,0.7337982818597185,131.8212606248983,-0.0036113011047120835,131.8212606248983,0.7337982818597185,120.32018933260566,97.9,100.8,-2.86,66.2,100.6,102.0,-1.4000000000000057,100.2,101.6,-1.3999999999999917,0.7917165809596953,120.63204345186946,0,102.21671391558516,98.3203348127418,3.8963791028433548,4.406913338932635,106.41075054785472,101.40676537774304,5.003985170111676,1.1529120735888436,2021-11-27,0.6247183062651942,134.31336113840132,-2.043836806141691,134.31336113840132,9.52,13.64,-11.709629629629635,4.120000000000001,25.349629629629636,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.35161929169946593,0.47627813479754,5.019999999999998,10.986666666666663,4.999999999999995,2.728,1.03,1,1.0,1,1,1,3,3.0,-3.0
3.0,6,16.900000000000002,6.499999999999998,0.8762783217738501,100.9,109.43333333333334,94.4,92.53333333333336,Wed 12-01 12-01,H,237 (Ⅳ),Georgia Southern,"W, 59-51",58,101.2,50.9,24.0,45.7,22.2,87.4,48.0,25.7,27.6,3.9,-15.5,-5.0,125.5,104.63125,108.3625,102.6144032921811,98.20754978236708,95.603125,96.80625,96.1144032921811,97.3312714605932,20211201,102.7,100.9,1.7999999999999972,97.8,99.1,-1.2999999999999972,101.8,99.7,2.14,66.4,-6.930807081497221,123.56915141372897,62.338549075391185,-5.575285405846159,128.40941352427015,-1.454258537695599,128.40941352427015,-5.575285405846159,128.40941352427015,-1.454258537695599,122.0388529551592,97.0,100.5,-3.49,66.0,102.7,100.9,1.7999999999999972,97.8,99.1,-1.2999999999999972,-1.5066057244510667,122.25777077904173,0,102.62687297770822,97.22485095256356,5.40202202514466,5.648157621948039,102.85361864942948,96.88550579437408,5.968112855055395,4.551483300718589,2021-12-01,-3.210661105483716,127.6867369113397,-2.5181465483170484,127.6867369113397,3.86,17.5,-3.2597530864197575,13.64,20.759753086419757,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,-3,0.6830306580593271,0.6201128736846561,4.359999999999998,14.760000000000002,5.019999999999998,2.9166666666666665,2.728,1,1.0,1,1,1,3,3.0,3.0
-6.0,-3,4.833333333333338,3.100000000000004,0.0442277178149702,108.4,108.43333333333334,112.1,103.6,Mon 12-06 12-06,H,288 (Ⅳ),Presbyterian,"W, 71-66",63,112.5,65.4,30.1,35.0,66.7,104.6,47.7,12.7,33.3,9.1,15.5,-11.0,121.5,106.515625,104.63125,104.54293552812076,100.0607225492094,103.8515625,95.603125,101.44293552812071,100.01649483139444,20211206,102.3,99.9,2.3999999999999915,93.7,101.8,-8.099999999999994,101.5,99.1,2.4,65.3,-9.299438375236228,116.50846109695448,58.98364153627312,-9.75380280264639,120.19629466893454,-13.39346458875254,120.19629466893454,-9.75380280264639,120.19629466893454,-13.39346458875254,113.80454117669076,94.8,102.7,-7.95,63.5,102.3,99.9,2.3999999999999915,93.7,101.8,-8.099999999999994,-8.878083164971644,110.01879989401252,0,101.01630013677388,99.00965490578204,2.006645230991836,1.4962260841453323,93.30729579857622,97.00788838667717,-3.700592588100946,-0.6805732411784532,2021-12-06,-6.639755745592609,115.63919597004008,-2.942232898515705,115.63919597004008,-5.4,12.1,3.6601646090534943,17.5,8.439835390946506,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.8525929209684728,0.7364234128141303,0.7000000000000042,2.4333333333333385,4.359999999999998,1.7285714285714284,2.9166666666666665,1,1.0,1,1,1,3,3.0,3.0
-4.5,0,0.8666666666666695,2.0000000000000018,-0.0001773217877521,107.2,105.5,107.4,104.63333333333333,Sat 12-11 12-11,A,155 (Ⅲ),East Tennessee St.,"L, 82-75",69,108.1,52.5,20.2,35.1,33.9,118.2,56.0,13.0,28.9,13.4,29.0,2.5,128.0,106.8578125,106.515625,105.42862368541384,101.35877299480768,105.62578125,103.8515625,103.42862368541384,101.35895031659544,20211211,102.8,100.8,2.0,101.0,97.5,3.5,102.3,100.3,2.0,65.5,4.791529046567888,125.03724049368375,61.120910384068274,4.544311929424161,126.94637790735584,6.951554964787708,126.94637790735584,4.544311929424161,126.94637790735584,6.951554964787708,115.36507131812945,103.5,99.4,4.09,65.6,102.8,100.8,2.0,101.0,97.5,3.5,7.544680626824645,120.22353382234371,0,102.18564236785552,100.2400472456555,1.945595122200018,1.1041981338390652,100.0540419254478,98.44991258856228,1.6041293368855207,4.003148298541828,2021-12-11,3.339798398068588,126.19575901825743,3.52695341590384,126.19575901825743,-2.0,10.1,6.473443072702329,12.1,3.6265569272976705,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.4059036140017165,0.37521362972036243,1.7763568394002505e-15,-1.1333333333333306,0.7000000000000042,1.2625,1.7285714285714284,1,1.0,1,1,1,3,3.0,3.0
-7.5,-16,-6.766666666666661,-4.133333333333328,-2.9819632632808863,95.9,103.83333333333331,112.3,110.6,Wed 12-15 12-15,A,24 (I-A),Xavier,"L, 86-63",71,89.1,44.7,19.8,30.0,9.1,121.6,58.5,21.2,38.7,30.5,15.0,15.5,134.0,101.37890625,106.8578125,102.2524157902759,100.36626881393354,108.962890625,105.62578125,106.38574912360924,103.34823207721443,20211215,103.2,101.1,2.1000000000000085,109.7,90.3,19.40000000000001,102.5,100.6,1.85,66.1,15.251807421879562,136.4409471309262,66.57012802275959,15.98964569411956,139.61859312480834,17.718415691921738,139.61859312480834,15.98964569411956,139.61859312480834,17.718415691921738,132.06758954637846,110.7,91.8,18.93,70.8,103.2,101.1,2.1000000000000085,109.7,90.3,19.40000000000001,17.594001112216556,130.78364874064334,0,102.20065008522909,101.13816843043274,1.0624816547963434,0.9293815768109024,105.09262595353452,86.8848236785835,18.20780227495102,25.65897316192596,2021-12-15,15.663824331331085,133.4651849170019,18.57428298739606,133.4651849170019,-17.85,-7.750000000000002,7.682295381801553,10.1,-15.432295381801556,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.06994638275525245,0.0678767368738954,-5.983333333333329,-8.616666666666662,1.7763568394002505e-15,-0.8611111111111112,1.2625,-1,1.0,-1,-1,1,-3,3.0,3.0
12.5,15,-0.4333333333333324,2.3444444444444463,0.3420300573156383,123.8,108.96666666666664,108.5,109.4,Tue 12-21 12-21,A,358 (Ⅳ),IUPUI,"W, 80-52",61,131.7,59.8,19.8,48.3,49.0,85.6,41.0,26.3,39.4,32.0,14.5,-15.5,117.5,112.589453125,101.37890625,109.43494386018396,104.62694721140016,108.7314453125,108.962890625,107.09049941573949,104.28491715408455,20211221,102.5,101.6,0.9000000000000057,80.6,105.9,-25.30000000000001,102.1,100.9,1.24,66.2,-11.96259937210315,114.96867524449246,59.60825035561878,-13.076204717789345,116.30657113391334,-18.494031325920556,116.30657113391334,-13.076204717789345,116.30657113391334,-18.494031325920556,116.76526175630833,83.7,107.8,-24.1,63.3,102.5,101.6,0.9000000000000057,80.6,105.9,-25.30000000000001,-14.937576753939418,108.7701846392657,0,103.94526253025523,101.54970917173254,2.3955533585226902,1.401516415395453,81.44834247017263,103.63160553373744,-22.18326306356481,-25.36079765720314,2021-12-21,-12.06567351079785,116.33093905349752,-14.483460080238558,116.33093905349752,13.76,6.009999999999998,2.5381969212010356,-7.750000000000002,3.4718030787989624,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.9300536172447476,0.8747450507038101,1.1044444444444463,-1.6733333333333325,-5.983333333333329,0.601,-0.8611111111111112,1,-1.0,1,1,-1,3,-3.0,3.0
