ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-26.5,-31,,-31.599999999999994,-31.599999999999994,80.5,0.0,112.1,0.0,Sun 11-14 11-14,A,111 (Ⅱ),George Mason,"L, 90-53",73,72.7,40.2,23.3,17.5,8.2,123.4,64.7,21.9,35.5,34.5,-4.5,10.5,147.5,80.5,0.0,80.5,80.5,112.1,0.0,112.1,112.1,20211114,102.8,105.2,-2.4000000000000057,100.1,96.3,3.799999999999997,96.4,103.3,-6.91,72.8,8.37970086851422,143.4716255535239,73.83556187766713,9.077993143532211,154.32596417436073,39.18735220895902,154.32596417436073,9.077993143532211,154.32596417436073,39.18735220895902,134.37930659126576,97.3,98.1,-0.78,71.3,102.8,105.2,-2.4000000000000057,100.1,96.3,3.799999999999997,39.23594928963149,134.3552497856476,0,106.36834270757755,92.0045476693019,14.363795038275654,12.043203196650415,101.95130580884393,95.97616498488829,5.975140823955641,1.1218911819338089,2021-11-14,-2.116737474967252,147.6676189557881,-5.860329058218355,147.6676189557881,-24.09,-24.09,0.0,0.0,-24.09,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.15865525393145707,0.5798829495655715,-24.689999999999994,,0.0,-24.09,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-3.5,-25,,-29.53333333333333,-30.47272727272727,106.9,0.0,132.3,0.0,Thu 11-18 11-18,A,128 (Ⅱ),Seattle,"L, 93-80",76,105.0,53.4,22.3,29.4,43.1,122.0,59.0,19.7,40.5,26.9,27.0,9.5,146.0,93.7,80.5,89.30000000000001,85.3,122.2,112.1,118.83333333333334,115.77272727272728,20211118,101.0,105.6,-4.599999999999994,100.8,98.7,2.0999999999999943,95.1,103.9,-8.78,72.9,9.155823796206576,143.84043363954476,72.69260312944523,9.313026730003813,153.36986729032037,25.8723113236803,153.36986729032037,9.313026730003813,153.36986729032037,25.8723113236803,139.56851539046028,99.0,100.7,-1.7,70.1,101.0,105.6,-4.599999999999994,100.8,98.7,2.0999999999999943,25.940129775768913,139.4636810094793,0,99.4644794761307,105.90166568331468,-6.43718620718397,0.9394898058186304,100.3835644654481,100.36689358616938,0.016670879278720463,3.207399188499381,2021-11-18,9.105490635540221,153.3681241850299,3.7261979963360545,153.3681241850299,-16.22,-40.31,-24.09,-24.09,-16.220000000000002,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.182795768782416,0.19291907110347506,-20.75333333333333,,-24.689999999999994,-20.155,-24.09,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-7.5,-13,-23.53333333333333,-24.222222222222225,-27.404958677685947,86.9,91.43333333333334,100.5,114.96666666666664,Sat 11-20 11-20,A,163 (Ⅲ),Portland,"L, 74-63",73,86.5,42.2,19.2,29.5,23.4,101.6,54.8,30.2,35.7,38.5,-12.5,3.5,149.5,90.3,93.7,88.50000000000001,85.59090909090908,111.35,122.2,112.72222222222224,112.99586776859502,20211120,100.6,106.8,-6.200000000000003,97.6,107.3,-9.700000000000005,95.8,104.9,-9.1,73.3,-0.7025686770537618,149.0812867616981,75.38534850640114,1.7196720201359312,163.33189694448237,19.445691883061528,163.33189694448237,1.7196720201359312,163.33189694448237,19.445691883061528,154.34585385848953,91.7,107.2,-15.59,72.3,100.6,106.8,-6.200000000000003,97.6,107.3,-9.700000000000005,19.58748642953352,154.45240332345642,0,97.5657186866731,104.74930159345716,-7.183582906784068,-0.4940892137099573,90.80003522270216,97.31097205463492,-6.510936831932753,-3.886766409327533,2021-11-20,4.228716071785456,146.37501793220093,-0.493027095340139,146.37501793220093,-3.9000000000000004,-44.21,-29.49666666666667,-40.31,-14.713333333333331,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,3,0.36944134018176367,0.34357164159577036,-15.122222222222225,-14.433333333333332,-20.75333333333333,-14.736666666666666,-20.155,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
8.0,0,-13.166666666666666,-16.31481481481482,-22.51314800901577,99.0,97.6,99.5,110.76666666666668,Mon 11-22 11-22,A,19 (I-A),San Francisco,"L, 83-67",76,88.1,42.4,11.8,16.3,25.8,109.1,60.3,25.0,30.0,29.3,4.0,24.0,146.0,94.65,90.3,92.0,88.0289256198347,105.425,111.35,108.31481481481484,110.54207362885046,20211122,99.3,107.0,-7.700000000000003,105.5,92.9,12.599999999999994,95.4,105.6,-10.19,72.4,23.473011631560894,144.4853513563775,71.57610241820768,19.315093071326345,150.6316551792569,33.88894718537485,150.6316551792569,19.315093071326345,150.6316551792569,33.88894718537485,149.9760566412718,108.6,91.6,16.99,69.5,99.3,107.0,-7.700000000000003,105.5,92.9,12.599999999999994,33.91662361233033,150.0576439531293,0,96.67797182738212,103.5346583017739,-6.856686474391779,-3.652194146842223,101.00241809892856,96.69319707371884,4.309221025209723,1.845146802240815,2021-11-22,12.181537281579338,145.25087418475505,5.920805458889902,145.25087418475505,10.19,-34.02,-34.40111111111111,-44.21,0.3811111111111103,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,3,0.0111354894796164,0.12299460114930927,-6.124814814814821,-2.9766666666666666,-15.122222222222225,-8.505,-14.736666666666666,-1,-1.0,1,-1,-1,-1,-3.0,-3.0
-20.0,-35,-16.433333333333334,-22.60987654320988,-24.819848371012903,77.5,87.8,112.7,104.23333333333332,Sun 11-28 11-28,N,315 (Ⅳ),Grambling St.,"L, 74-59",73,81.1,37.7,27.5,41.3,41.0,101.7,57.1,23.4,29.0,28.6,-11.0,-5.0,144.0,86.075,94.65,87.16666666666669,86.11457550713747,109.0625,105.425,109.77654320987656,110.93442387815035,20211128,99.7,107.5,-7.799999999999997,94.3,104.4,-10.100000000000009,96.3,105.8,-9.5,72.6,-5.719567987091551,141.40206851319505,72.0836415362731,-2.000848042009025,151.4544590198368,-0.836825535916099,151.4544590198368,-2.000848042009025,151.4544590198368,-0.836825535916099,145.7968144370822,89.4,106.5,-17.17,69.8,99.7,107.5,-7.799999999999997,94.3,104.4,-10.100000000000009,-0.768816506494558,145.23962134361983,0,93.0040094134818,105.38766125753506,-12.383651844053261,-13.281323870286531,96.71955313210296,98.97087348411353,-2.2513203520105662,0.1888593916410555,2021-11-28,7.285698253379664,142.99053604212526,9.70979861680695,142.99053604212526,-25.5,-59.52,-34.27407407407408,-34.02,-25.245925925925924,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.6830306580593271,0.24387998031752456,-13.109876543209879,-6.933333333333334,-6.124814814814821,-11.904000000000002,-8.505,-1,-1.0,-1,-1,-1,-3,-1.0,-3.0
8.5,6,-9.833333333333334,-13.006584362139922,-19.179875939919643,88.2,88.23333333333333,82.0,98.06666666666666,Mon 11-29 11-29,N,327 (Ⅳ),Hampton,"W, 60-47",66,91.6,41.7,22.9,40.5,44.4,71.7,27.7,16.8,19.5,70.2,-38.5,-4.5,145.5,87.1375,86.075,87.51111111111112,86.49374359674883,95.53125,109.0625,100.51769547325104,105.67361953666848,20211129,100.3,108.0,-7.700000000000003,92.8,108.2,-15.400000000000006,95.4,106.7,-11.29,72.8,-3.511689967799697,146.71008142558898,72.59288762446657,-6.160852965329838,154.93692399566888,3.4362714038302338,154.93692399566888,-6.160852965329838,154.93692399566888,3.4362714038302338,141.13221524529342,92.9,109.0,-16.13,70.1,100.3,108.0,-7.700000000000003,92.8,108.2,-15.400000000000006,3.4810458518057747,141.3017786584423,0,92.18793563513546,100.60873880607885,-8.420803170943387,-10.2723573614708,90.4748223912496,101.16187251527424,-10.687050124024637,-11.101627747905011,2021-11-29,-1.657716839338505,136.77932264382974,-0.6019913197271762,136.77932264382974,17.29,-42.230000000000004,-42.68938271604939,-59.52,0.4593827160493831,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.6658824291023754,0.5627234518795412,-1.7165843621399226,1.4566666666666652,-13.109876543209879,-7.038333333333332,-11.904000000000002,-1,-1.0,1,-1,-1,-1,-3.0,-1.0
-29.5,-34,-21.066666666666663,-20.071056241426614,-21.910807587206985,75.3,80.33333333333333,109.5,101.4,Sat 12-11 12-11,A,151 (Ⅲ),Longwood,"L, 93-55",78,70.4,37.7,21.8,16.3,24.6,119.1,59.5,23.0,41.7,62.1,8.5,8.5,139.5,81.21875,87.1375,83.44074074074075,84.45851748824903,102.515625,95.53125,103.51179698216738,106.369325075456,20211211,97.4,107.0,-9.599999999999994,101.7,102.0,-0.2999999999999971,95.1,105.8,-10.76,71.6,9.108340498878249,136.1964145554386,67.32233285917496,10.554606133981864,143.7993424579775,13.542259925305252,143.7993424579775,10.554606133981864,143.7993424579775,13.542259925305252,135.12013821552208,99.7,102.6,-2.92,66.1,97.4,107.0,-9.599999999999994,101.7,102.0,-0.2999999999999971,16.576185615325564,136.05988827269465,0,88.74415082157068,101.04531803639932,-12.301167214828638,-10.650456530909551,100.6836275682229,98.62483991207162,2.0587876561512815,9.503591026155664,2021-12-11,13.46051874111172,130.84670211357172,15.442390948444967,130.84670211357172,-23.240000000000002,-65.47,-42.53625514403293,-42.230000000000004,-22.93374485596707,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.20910695659274503,0.09992936254948126,-9.311056241426614,-10.306666666666663,-1.7165843621399226,-9.352857142857143,-7.038333333333332,-1,-1.0,-1,-1,-1,-3,-1.0,-3.0
-10.0,-22,-16.8,-20.84737082761775,-21.99975166226026,91.0,84.83333333333333,113.4,101.63333333333334,Sat 12-18 12-18,A,254 (Ⅳ),Mount St. Mary's,"L, 74-60",69,87.6,44.7,19.0,29.3,6.1,108.0,56.1,27.7,45.5,26.3,1.5,4.0,132.5,86.109375,81.21875,85.9604938271605,85.64787794493103,107.9578125,102.515625,106.80786465477826,107.64762960719128,20211218,94.7,106.9,-12.200000000000005,92.7,103.6,-10.899999999999991,92.6,106.2,-13.66,72.5,4.463710380499606,131.7006272707887,67.96230440967284,4.531223488806873,137.3292447645813,3.8618509087691324,137.3292447645813,4.531223488806873,137.3292447645813,3.8618509087691324,123.4505076403419,92.2,104.5,-12.24,65.9,94.7,106.9,-12.200000000000005,92.7,103.6,-10.899999999999991,6.2412594726747495,130.02300140417142,0,88.27956352207615,101.01247940911507,-12.732915887038928,-9.559332161233115,92.64938651121602,104.54893832904526,-11.899551817829234,-14.360402429031708,2021-12-18,4.522883645735348,129.45142631093734,-1.5875631065598412,129.45142631093734,-8.34,-73.81,-50.18083676268862,-65.47,-23.62916323731138,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,3,0.35161929169946593,0.33332478001633215,-7.187370827617748,-3.1400000000000006,-9.311056241426614,-9.22625,-9.352857142857143,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
8.5,-1,-19.266666666666666,-14.29824721841183,-18.21797863275839,106.9,91.06666666666668,108.1,110.33333333333331,Mon 1-10 1-10,A,313 (Ⅳ),South Carolina St.,"W, 88-81 OT",83,106.7,61.5,24.2,21.2,27.9,98.2,40.7,14.5,39.6,28.4,19.0,1.5,150.0,96.5046875,86.109375,92.940329218107,89.51190013676174,108.02890625,107.9578125,107.23857643651884,107.72987876952013,20220110,96.6,109.8,-13.200000000000005,92.9,105.8,-12.899999999999991,95.0,108.5,-13.45,72.3,1.7953967714243078,152.2620069789112,75.59103840682788,4.261065955553107,157.68464935124373,8.338450530467142,157.68464935124373,4.261065955553107,157.68464935124373,8.338450530467142,134.91523821335045,91.8,108.3,-16.44,73.5,96.6,109.8,-13.200000000000005,92.9,105.8,-12.899999999999991,10.167375078239866,142.58514858830125,0,90.82648665940056,99.7674234058436,-8.940936746443043,-6.492637819466259,95.16621019338228,99.90732274989256,-4.741112556510274,-8.402756099949483,2022-01-10,7.25930146272033,143.4787645809986,0.5150366712366434,143.4787645809986,12.45,-61.36,-58.057224508459086,-73.81,-3.3027754915409133,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,-3,0.4432015031835318,0.2446690252163647,-0.8482472184118315,-5.816666666666666,-7.187370827617748,-6.817777777777778,-9.22625,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-4.0,-15,-13.133333333333333,-14.79883147894122,-17.77834615407504,89.0,95.63333333333333,104.8,108.76666666666668,Sat 1-15 1-15,H,318 (Ⅳ),Coppin St.,"L, 79-76",84,90.3,44.5,25.0,35.4,48.4,93.9,51.8,25.0,23.7,66.1,3.5,-1.0,151.5,92.75234375,96.5046875,91.62688614540468,89.41882738462324,106.414453125,108.02890625,106.4257176243459,107.19717353869828,20220115,97.1,110.0,-12.900000000000006,94.5,105.0,-10.5,95.9,108.8,-12.95,71.8,-3.1637679217824797,152.01661870324136,74.04694167852062,-2.8526675643090442,155.79369750723168,2.6445353441361394,155.79369750723168,-2.8526675643090442,155.79369750723168,2.6445353441361394,143.23383963705535,95.5,106.8,-11.23,72.5,97.1,110.0,-12.900000000000006,94.5,105.0,-10.5,3.4058515431765364,146.71835620163372,0,90.75016265709586,99.03270271685284,-8.282540059756982,-5.876975680418254,101.5506688190392,97.82674266775344,3.7239261512857667,1.864070002654513,2022-01-15,4.91169292427162,143.05396736453324,3.7002932902295527,143.05396736453324,-2.0500000000000007,-63.41,-59.15814967230606,-61.36,-4.251850327693937,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.5379371440662541,0.31997086263406405,-1.8488314789412215,-0.18333333333333357,-0.8482472184118315,-6.340999999999999,-6.817777777777778,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
