ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-13.5,-24,,-24.599999999999994,-24.599999999999994,97.7,0.0,122.3,0.0,Tue 11-09 11-09,A,13 (I-A),Villanova,"L, 91-51",62,82.6,47.9,29.2,25.9,17.0,147.4,69.6,9.7,26.9,25.0,12.0,26.5,130.0,97.7,0.0,97.7,97.7,122.3,0.0,122.3,122.3,20211109,98.9,102.4,-3.5,114.2,95.5,18.700000000000003,92.6,103.0,-10.4,66.5,24.889417478789845,130.33419565489308,64.32432432432432,18.752055519440432,139.94860663107576,54.47726786027911,139.94860663107576,18.752055519440432,139.94860663107576,54.47726786027911,171.20090008411128,114.5,91.5,23.02,68.0,98.9,102.4,-3.5,114.2,95.5,18.700000000000003,54.47726786027911,171.20090008411128,0,96.58701935519912,94.79259202585436,1.7944273293447566,2.691649551566976,93.82442393535176,105.88726792415544,-12.062843988803678,-21.49895509991472,2021-11-09,-5.2686138066778625,125.96742252513523,-13.928729321999292,125.96742252513523,-13.6,-13.6,0.0,0.0,-13.6,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.005804540573384642,0.6920863059443787,-14.199999999999994,,0.0,-13.6,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-15.5,-27,,-25.566666666666663,-25.12727272727272,90.0,0.0,117.5,0.0,Sat 11-13 11-13,A,151 (Ⅲ),Saint Joseph's,"L, 80-60",69,86.5,35.3,14.4,22.5,36.2,115.4,60.3,27.4,46.4,20.7,4.0,4.5,136.0,93.85,97.7,95.13333333333334,96.3,119.9,122.3,120.70000000000002,121.42727272727272,20211113,95.9,100.7,-4.799999999999997,97.8,101.8,-4.0,92.6,103.0,-10.42,66.4,7.411027018034503,134.93172046682875,69.98918918918919,4.548334740823179,140.5209438594026,16.43974087813036,140.5209438594026,4.548334740823179,140.5209438594026,16.43974087813036,153.10043157362293,96.5,101.7,-5.22,74.1,95.9,100.7,-4.799999999999997,97.8,101.8,-4.0,16.43974087813036,153.10043157362293,0,98.68633635906444,100.36672043304274,-1.6803840739783027,1.137136453069752,99.28424127541918,102.13575807139402,-2.8515167959748453,-0.2241574929820505,2021-11-13,3.19937223701767,143.58410806511915,1.0158845139769994,143.58410806511915,-16.58,-30.18,-13.6,-13.6,-16.58,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.3341175708976246,0.3802965182454846,-15.146666666666663,,-14.199999999999994,-15.09,-13.6,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
1.5,-5,-19.03333333333333,-18.711111111111112,-21.46776859504132,94.1,93.93333333333334,99.1,112.96666666666664,Tue 11-16 11-16,A,9 (I-A),Kentucky,"L, 80-55",66,82.8,39.6,24.1,30.8,39.6,120.5,56.3,18.1,48.3,12.5,-1.5,26.5,136.5,93.975,93.85,94.78888888888888,95.9,109.5,119.9,113.5,117.3677685950413,20211116,95.4,102.1,-6.699999999999989,109.8,92.6,17.200000000000003,92.0,103.6,-11.56,66.2,25.092304446572953,133.39893537484846,67.23584637268848,20.242048058598336,138.57566270384663,35.40038142029821,138.57566270384663,20.242048058598336,138.57566270384663,35.40038142029821,149.11628209279039,111.2,90.5,20.76,71.4,95.4,102.1,-6.699999999999989,109.8,92.6,17.200000000000003,35.23955402860813,148.96815291861097,0,93.33016110505514,104.17616787615644,-10.846006771101301,-2.2423911648487755,96.79880131913984,102.88714505315686,-6.088343734017016,-2.084950160316711,2021-11-16,7.116298745556648,135.7432278816317,1.9477271464543264,135.7432278816317,6.5600000000000005,-23.619999999999997,-19.126666666666665,-30.18,-4.493333333333332,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,0.005804540573384642,0.24896741182959214,-7.151111111111112,-7.473333333333331,-15.146666666666663,-7.873333333333333,-15.09,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
8.5,-9,-14.033333333333337,-15.67407407407408,-19.309992486851986,82.8,88.96666666666665,92.4,103.0,Fri 11-19 11-19,A,310 (Ⅳ),Robert Morris,"W, 74-70 OT",80,92.8,43.1,22.6,30.8,58.6,87.7,44.5,18.8,25.6,37.5,14.0,4.5,130.0,88.38749999999999,93.975,90.7925925925926,93.5181818181818,100.95,109.5,106.46666666666668,112.82817430503378,20211119,94.9,102.1,-7.199999999999989,101.4,108.3,-6.899999999999992,91.8,103.4,-11.61,66.1,5.185199721449557,128.9814840482965,66.19402560455192,4.43052060422184,140.03023073731913,8.577019780205239,140.03023073731913,4.43052060422184,140.03023073731913,8.577019780205239,138.7105278716351,95.8,105.3,-9.47,70.4,94.9,102.1,-7.199999999999989,101.4,108.3,-6.899999999999992,8.634986757167628,138.71633028268195,0,93.42883797982032,102.23678336666006,-8.807945386839748,-6.471286261265268,91.39960342974116,102.95443364948656,-11.554830219745398,-10.665018387113228,2021-11-19,1.739845766193902,128.648165283757,-1.0813723386553704,128.648165283757,2.6099999999999994,-21.009999999999998,-20.624444444444443,-23.619999999999997,-0.38555555555555543,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,3,0.3341175708976246,0.43419668169580583,-4.06407407407408,-2.4233333333333373,-7.151111111111112,-5.2524999999999995,-7.873333333333333,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
0.5,-15,-10.133333333333336,-15.716049382716053,-18.67181203469708,96.0,90.96666666666664,111.8,101.09999999999998,Mon 11-22 11-22,A,142 (Ⅱ),Ohio,"L, 73-59",64,92.3,60.5,31.3,27.3,23.3,114.2,50.0,17.2,41.2,24.2,-2.0,14.5,134.0,92.19375,88.38749999999999,92.5283950617284,93.96942148760328,106.375,100.95,108.24444444444448,112.64123352230035,20211122,94.3,101.4,-7.1000000000000085,107.2,94.7,12.5,92.2,103.0,-10.86,66.3,15.561752575958899,130.72871792323002,65.54551920341395,16.766466909480336,133.46784374684742,23.50628437203811,133.46784374684742,16.766466909480336,133.46784374684742,23.50628437203811,134.05022090142614,105.9,98.5,7.39,69.5,94.3,101.4,-7.1000000000000085,107.2,94.7,12.5,23.481297980852677,134.409392078214,0,93.69912946377006,104.51252451448616,-10.813395050716096,-7.37757120746109,101.3927736038354,101.81277907629614,-0.42000547246074404,-0.4282804097481517,2021-11-22,10.895176180481585,135.56236204788166,6.318593868421132,135.56236204788166,-4.140000000000001,-25.15,-20.75296296296296,-21.009999999999998,-4.3970370370370375,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,3,0.08364680132758417,0.14971981590372696,-4.856049382716053,0.726666666666663,-4.06407407407408,-5.029999999999999,-5.2524999999999995,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-23.5,-40,-22.03333333333333,-24.044032921810704,-22.676937119297605,67.8,82.19999999999999,108.5,104.23333333333336,Sat 11-27 11-27,H,193 (Ⅳ),Navy,"L, 67-40",66,60.8,25.5,24.3,23.1,53.2,101.9,51.8,19.8,28.1,25.5,-16.0,3.5,123.0,79.99687499999999,92.19375,84.28559670781894,89.21134485349359,107.4375,106.375,108.32962962962966,111.8882819727912,20211127,95.1,102.3,-7.200000000000003,100.2,96.7,3.5,93.0,103.8,-10.75,65.3,4.345451037993428,120.43610610671553,62.69914651493599,3.2831823367806976,125.02657118149205,10.541032402107524,125.02657118149205,3.2831823367806976,125.02657118149205,10.541032402107524,115.41616585922903,99.1,97.3,1.81,67.5,95.1,102.3,-7.200000000000003,100.2,96.7,3.5,10.882706070096681,115.96038942538888,0,90.56153902298313,103.97704127999432,-13.415502257011198,-13.661546948799804,98.85574216562472,87.809813857476,11.045928308148717,4.589643277571181,2021-11-27,11.694296412589068,116.96929554076715,9.76739648477706,116.96929554076715,-29.25,-54.4,-22.218641975308643,-25.15,-32.181358024691356,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.36944134018176367,0.1326948321735485,-13.294032921810704,-11.283333333333331,-4.856049382716053,-9.066666666666668,-5.029999999999999,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-2.5,-6,-21.066666666666663,-18.262688614540476,-19.77203946124349,103.3,89.03333333333335,110.0,110.09999999999998,Tue 11-30 11-30,H,254 (Ⅳ),Howard,"W, 72-70",67,108.2,53.9,27.0,43.8,47.1,105.2,51.7,16.5,24.2,20.7,9.0,-4.5,133.0,91.6484375,79.99687499999999,90.62373113854596,91.77291851649474,108.71875,107.4375,108.88641975308644,111.54495797773824,20211130,93.7,102.8,-9.099999999999994,101.1,109.6,-8.5,91.9,104.4,-12.57,65.6,-0.00020614037930499762,133.93003433937128,66.43982930298719,-3.0983056822614685,140.71494621207796,11.02491019142495,140.71494621207796,-3.0983056822614685,140.71494621207796,11.02491019142495,136.97016579264871,99.8,107.2,-7.4,71.2,93.7,102.8,-9.099999999999994,101.1,109.6,-8.5,11.41122649190715,140.4745853502487,0,91.55171189380896,104.23192820672598,-12.680216312917025,-12.372494975504406,104.2626905548187,105.3995056061518,-1.1368150513331017,-6.557582466011359,2021-11-30,4.383953459936933,139.5145844741785,2.1791822808885186,139.5145844741785,6.57,-47.83,-32.94576131687243,-54.4,-14.88423868312757,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.6658824291023754,0.3381492770234178,-5.692688614540476,-8.496666666666663,-13.294032921810704,-6.832857142857142,-9.066666666666668,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-3.5,-12,-20.0,-16.37512574302698,-18.468032286471946,87.2,86.10000000000001,99.8,106.1,Sat 12-04 12-04,A,290 (Ⅳ),Loyola MD,"L, 61-55",64,86.1,44.0,20.4,15.6,30.0,95.5,46.9,18.8,20.7,32.7,-12.0,2.5,128.0,89.42421875,91.6484375,89.48248742569731,90.94147878622296,104.259375,108.71875,105.8576131687243,109.40951107269493,20211204,93.8,103.3,-9.5,92.4,102.1,-9.699999999999989,92.3,104.8,-12.44,65.4,4.970803531574205,124.18133791367165,64.0045519203414,3.3057898176026868,125.60403665252895,5.123952011302047,125.60403665252895,3.3057898176026868,125.60403665252895,5.123952011302047,115.24631951486175,94.1,104.3,-10.14,68.8,93.8,103.3,-9.5,92.4,102.1,-9.699999999999989,8.316143271640232,120.63776105389651,0,93.28413517338235,102.85949106339233,-9.575355890009973,-9.799683308682798,96.06045869247914,96.849959358214,-0.7895006657348489,0.1795648781504942,2021-12-04,9.036773764879769,124.40836520230647,8.093098149031647,124.40836520230647,0.4399999999999995,-47.39,-37.90717421124829,-47.83,-9.482825788751711,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.4059036140017165,0.19471676360729562,-3.9351257430269815,-7.5600000000000005,-5.692688614540476,-5.92375,-6.832857142857142,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
5.0,1,-6.099999999999999,-10.583417162017987,-14.928390052567954,110.4,100.3,109.4,106.4,Tue 12-07 12-07,A,76 (I),Santa Clara,"L, 88-77",73,105.9,49.4,4.1,18.2,2.6,121.0,63.6,13.8,11.1,40.0,32.0,16.0,133.0,99.912109375,89.42421875,96.45499161713155,94.47939173418244,106.8296875,104.259375,107.03840877914956,109.40778178675038,20211207,93.3,103.2,-9.900000000000006,109.2,98.7,10.5,91.9,104.6,-12.62,65.1,17.88684228967673,130.90483829012132,64.72958748221906,17.49259434341461,136.37976737951436,20.831383352350176,136.37976737951436,17.49259434341461,136.37976737951436,20.831383352350176,128.1879757537136,107.4,98.2,9.21,69.9,93.3,103.2,-9.900000000000006,109.2,98.7,10.5,24.55146227462514,137.16072179930526,0,95.09662389852411,103.01327267899823,-7.9166487804741195,-8.963787367389523,108.50326019268604,99.31514294976242,9.188117242923624,12.939904275914492,2021-12-07,15.34110858994125,137.27284958292964,16.026629830607895,137.27284958292964,13.62,-33.77,-41.068116140832196,-47.39,7.298116140832192,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,3,0.06377814989000363,0.07199976788286544,2.036582837982012,6.5200000000000005,-3.9351257430269815,-3.752222222222221,-5.92375,1,-1.0,1,-1,-1,1,-3.0,-3.0
-12.5,-21,-11.1,-14.28894477467866,-16.159591861191963,86.7,94.76666666666668,108.4,105.86666666666667,Sat 12-11 12-11,H,342 (Ⅳ),American,"L, 72-66 OT",72,91.8,42.1,16.7,26.8,27.0,100.2,50.9,18.1,20.0,24.1,7.5,-6.5,130.5,93.3060546875,99.912109375,93.20332774475438,93.06495687342198,107.61484375,106.8296875,107.49227251943304,109.22454873461392,20211211,94.0,103.7,-9.700000000000005,94.1,112.0,-17.900000000000006,93.1,105.3,-12.13,66.1,-4.700127041845668,130.1414810758731,64.40753911806543,-8.841081137475143,134.2139403563462,-11.193369081160718,134.2139403563462,-8.841081137475143,134.2139403563462,-11.193369081160718,140.8134859099228,95.6,109.9,-14.28,68.5,94.0,103.7,-9.700000000000005,94.1,112.0,-17.900000000000006,-8.072867731011609,132.20850823263714,0,92.65655510224678,104.118118506359,-11.461563404112212,-14.469401455552772,95.65821707103056,106.52813480696317,-10.869917735932603,-3.121365870221315,2021-12-11,-3.0792407003076647,131.0420435187636,5.664196288299728,131.0420435187636,-8.87,-42.64,-38.635410760554805,-33.77,-4.004589239445195,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.732057505466481,0.6153386766633264,-2.158944774678659,1.0300000000000011,2.036582837982012,-4.264000000000001,-3.752222222222221,-1,1.0,-1,-1,-1,-3,1.0,-3.0
