ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
5.5,15,,15.299999999999995,15.299999999999995,99.5,0.0,84.2,0.0,Tue 11-09 11-09,H,147 (Ⅲ),UC Irvine,"W, 62-51",65,95.9,44.3,15.5,20.7,30.2,78.9,33.9,13.9,28.6,19.4,-22.0,-5.5,135.0,99.5,0.0,99.5,99.5,84.2,0.0,84.2,84.2,20211109,108.7,101.2,7.5,101.2,95.9,5.299999999999997,102.4,95.5,6.85,68.1,-4.872668332280739,130.3726554057225,67.51877667140825,-5.267983527216501,143.01459051146244,-16.006219949154858,143.01459051146244,-5.267983527216501,143.01459051146244,-16.006219949154858,109.49798220125716,100.6,95.6,5.01,69.7,108.7,101.2,7.5,101.2,95.9,5.299999999999997,-16.006219949154858,109.49798220125716,0,97.22285840270816,96.24190556671176,0.9809528359963906,-1.7884916084480522,101.34389896390148,90.5150646809782,10.828834282923282,1.0593898384789042,2021-11-09,3.0026642104175068,128.181588908433,0.03922089555845787,128.181588908433,8.15,8.15,0.0,0.0,8.15,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.6997944856925475,0.38745130773419345,8.449999999999996,,0.0,8.15,0.0,1,0.0,1,1,1,3,0.0,0.0
-2.0,13,,14.633333333333333,14.936363636363632,115.0,0.0,101.7,0.0,Sat 11-13 11-13,H,159 (Ⅳ),UTEP,"W, 77-71",70,110.2,60.0,22.9,36.7,60.0,101.6,46.7,12.9,26.3,36.1,17.0,-8.0,131.0,107.25,99.5,104.66666666666669,102.3181818181818,92.95,84.2,90.03333333333333,87.38181818181818,20211113,105.2,97.0,8.200000000000003,97.8,96.0,1.7999999999999972,102.3,95.5,6.85,67.9,-7.688240614586562,132.03408077610942,68.67268847795164,-8.165138963063754,137.8770821876836,-17.39629070831836,137.8770821876836,-8.165138963063754,137.8770821876836,-17.39629070831836,134.8598629775804,98.0,97.2,0.87,71.1,105.2,97.0,8.200000000000003,97.8,96.0,1.7999999999999972,-17.39629070831836,134.8598629775804,0,98.60741824009276,95.35823377109436,3.2491844689983935,6.289112625762994,102.24910051493524,89.48730662361558,12.761793891319655,12.980213062069629,2021-11-13,2.857001620206745,130.46047078617121,2.486864584969368,130.46047078617121,6.15,14.3,8.15,8.15,6.15,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,3,0.7769415761393583,0.39277433613633184,7.783333333333333,,8.449999999999996,7.15,8.15,1,1.0,1,1,1,3,3.0,0.0
8.5,23,17.399999999999995,17.62222222222222,16.51157024793388,115.6,110.03333333333336,92.0,92.63333333333333,Thu 11-18 11-18,N,61 (I),Davidson,"W, 76-64",64,119.5,59.8,22.0,37.9,41.2,100.7,45.8,11.0,27.0,21.7,7.0,-2.5,132.0,111.425,107.25,108.31111111111112,104.73305785123964,92.475,92.95,90.6888888888889,88.22148760330577,20211118,106.3,97.5,8.799999999999997,104.2,99.1,5.1000000000000085,102.6,95.9,6.78,68.1,2.2551371652406687,131.1822000131632,65.775106685633,-2.5277754466642506,139.5548792024232,2.2189271770910133,139.5548792024232,-2.5277754466642506,139.5548792024232,2.2189271770910133,134.93687527254377,106.3,96.0,10.33,67.9,106.3,97.5,8.799999999999997,104.2,99.1,5.1000000000000085,2.135931041406123,134.95040525125773,0,107.78531954195316,95.3339620993633,12.451357442589853,13.912593019728426,97.47023401979664,101.05893459959891,-3.5887005798022784,2.1798028309387165,2021-11-18,-10.793074214418787,136.12271512111028,-7.717255263877917,136.12271512111028,16.22,30.52,10.200000000000001,14.3,20.32,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.5940963859982835,0.848004347855801,10.842222222222219,10.619999999999994,7.783333333333333,10.173333333333332,7.15,1,1.0,1,1,1,3,3.0,3.0
-31.5,-28,2.8333333333333286,2.28148148148148,8.34583020285499,97.0,109.2,125.4,106.36666666666667,Fri 11-19 11-19,N,45 (Ⅱ),Utah St.,"L, 85-58",64,91.3,45.6,20.5,24.3,10.5,133.8,69.1,17.3,30.8,20.0,8.5,-4.5,134.5,104.2125,111.425,104.54074074074074,103.32704733283244,108.9375,92.475,102.25925925925928,94.98121712997744,20211119,106.2,97.4,8.799999999999997,103.2,92.1,11.100000000000009,103.9,95.7,8.22,67.7,0.2389638525721267,130.67548576760578,66.54438122332859,1.8459922608861916,135.26568651620983,-9.202040315985945,135.26568651620983,1.8459922608861916,135.26568651620983,-9.202040315985945,139.9455584633925,103.3,94.8,8.47,69.1,106.2,97.4,8.799999999999997,103.2,92.1,11.100000000000009,-9.43424399439358,139.81797662921863,0,103.343631738754,101.94056637896198,1.4030653597920235,11.868753282409385,108.45967373471132,97.03456357215649,11.42511016255483,10.64121261316327,2021-11-19,7.014964057455472,143.80232497518716,-0.8168593426145208,143.80232497518716,-36.22,-5.699999999999999,16.973333333333333,30.52,-22.673333333333332,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.6658824291023754,0.2520374931125289,-5.938518518518521,-5.386666666666672,10.842222222222219,-1.4249999999999998,10.173333333333332,-1,1.0,-1,-1,1,-3,3.0,3.0
5.0,19,4.766666666666661,7.887654320987651,10.3011338023359,119.6,110.73333333333332,100.5,105.96666666666664,Sun 11-21 11-21,N,207 (Ⅳ),Indiana St.,"W, 80-66",68,117.7,62.5,20.6,29.6,8.3,97.1,45.6,10.3,11.8,28.1,5.5,-9.0,140.5,111.90625,104.2125,109.5604938271605,106.28576599959015,104.71875,108.9375,101.67283950617283,95.98463219725426,20211121,105.9,99.1,6.800000000000011,96.0,96.9,-0.9000000000000057,103.6,97.6,6.06,67.2,-3.3372670032483285,137.33487376658667,68.92062588904695,-5.279246709836343,139.54998630347552,0.3227571837839631,139.54998630347552,-5.279246709836343,139.54998630347552,0.3227571837839631,141.03876698123676,100.1,99.0,1.18,72.1,105.9,99.1,6.800000000000011,96.0,96.9,-0.9000000000000057,0.4100017536225657,140.94133597032283,0,107.18154308077244,99.91918071140512,7.262362369367324,16.663747463136414,102.80746624488184,95.70208587224784,7.105380372634002,-6.457191989668119,2021-11-21,0.10543221398850733,144.87520819495342,-15.93509618230047,144.87520819495342,12.940000000000001,7.240000000000002,9.415555555555557,-5.699999999999999,-2.1755555555555546,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,-3,0.804317030846224,0.49599422275418226,1.8276543209876515,-1.2933333333333383,-5.938518518518521,1.4480000000000004,-1.4249999999999998,1,-1.0,-1,1,-1,1,-3.0,3.0
-17.5,-9,-6.13333333333334,2.225102880658432,6.773654929183916,113.8,110.13333333333333,122.9,116.26666666666668,Tue 11-30 11-30,H,154 (Ⅳ),New Mexico,"L, 101-94",80,117.1,54.0,11.2,21.6,56.5,125.8,53.2,11.2,27.0,67.7,49.5,-10.5,145.5,112.853125,111.90625,110.97366255144031,107.65199036330104,113.809375,104.71875,108.74855967078192,100.87833543411712,20211130,109.0,101.1,7.900000000000006,100.5,104.9,-4.400000000000006,106.0,99.2,6.78,65.8,-14.026752065138751,142.18821600318984,68.13997155049788,-13.109892202910459,150.98966736111927,-11.045437426877736,150.98966736111927,-13.109892202910459,150.98966736111927,-11.045437426877736,147.43669253268033,98.0,105.7,-7.76,72.8,109.0,101.1,7.900000000000006,100.5,104.9,-4.400000000000006,-10.123339931448605,151.3233116292717,0,106.12598616009066,104.9760365870152,1.1499495730754603,6.183253533025368,104.00026731642647,102.48022713729782,1.5200401791286566,-2.1026972651341613,2021-11-30,-3.9675142624203943,152.1196704552954,-7.592890578288703,152.1196704552954,-15.780000000000001,-8.54,8.690370370370372,7.240000000000002,-17.230370370370373,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.8413447460685429,0.647232143948259,-4.554897119341568,-12.913333333333341,1.8276543209876515,-1.423333333333333,1.4480000000000004,-1,1.0,-1,-1,1,-3,1.0,-3.0
2.0,9,6.399999999999996,4.550068587105622,7.214808578423204,118.0,117.13333333333333,108.8,110.73333333333332,Fri 12-03 12-03,A,159 (Ⅲ),UTEP,"W, 72-69",64,113.1,60.4,14.1,23.1,24.5,108.4,47.5,15.7,36.4,25.0,6.0,-1.0,135.0,115.4265625,112.853125,113.31577503429357,109.53344666088266,111.3046875,113.809375,108.76570644718797,102.31863808245946,20211203,109.2,102.8,6.400000000000006,97.9,96.1,1.8000000000000114,106.3,101.0,5.3,66.8,0.9326386456961586,132.4322987532095,65.849786628734,0.9826164078180994,138.73917223701466,0.49962686141392115,138.73917223701466,0.9826164078180994,138.73917223701466,0.49962686141392115,132.6805275286191,98.0,97.1,0.83,69.3,109.2,102.8,6.400000000000006,97.9,96.1,1.8000000000000114,-0.6414844370933033,129.18365563293676,0,106.84037005791826,105.13940980641974,1.700960251498529,6.965383999875633,92.19032221453756,95.89534459225708,-3.7050223777195157,-10.409113764166497,2021-12-03,0.037178228017978654,134.53001616078768,-9.629023321657314,134.53001616078768,3.7,-4.839999999999999,2.946913580246916,-8.54,-7.786913580246916,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,-3,0.5379371440662541,0.49858743465951694,-0.7499314128943775,1.099999999999996,-4.554897119341568,-0.6914285714285713,-1.423333333333333,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
-2.0,3,1.2999999999999972,4.300045724737081,6.593934291437166,92.7,108.16666666666669,88.9,106.86666666666667,Mon 12-06 12-06,A,154 (Ⅲ),New Mexico,"W, 78-76 OT",83,94.4,51.4,16.9,18.4,6.8,92.0,43.7,12.1,20.8,32.4,3.0,-4.0,151.0,104.06328125,115.4265625,106.44385002286236,106.47281999526764,100.10234375,111.3046875,102.1438042981253,99.87888570383046,20211206,110.3,103.6,6.700000000000003,102.5,105.1,-2.5999999999999943,107.4,101.8,5.58,66.2,-4.031563472063382,150.01215684857067,69.87254623044097,-2.515882188827945,158.68188545096774,4.464351437937806,158.68188545096774,-2.515882188827945,158.68188545096774,4.464351437937806,164.5268569127947,100.3,106.1,-5.79,74.2,110.3,103.6,6.700000000000003,102.5,105.1,-2.5999999999999943,1.8779038386517903,162.91025726934188,0,105.42843460740906,103.06451330363872,2.36392130377034,7.327316556302872,102.55840822967824,100.3037338878348,2.2546743418434403,-0.8490599214547444,2021-12-06,4.200258768821158,151.24708424361006,-3.693239819874208,151.24708424361006,-2.58,-7.419999999999999,0.3512757201646115,-4.839999999999999,-7.771275720164611,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.6483807083005341,0.3445691825458326,-1.2799542752629192,-4.280000000000003,-0.7499314128943775,-0.9275000000000002,-0.6914285714285713,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
6.5,4,5.833333333333333,4.366697149824721,6.2132189657213175,83.8,98.16666666666669,79.3,92.33333333333331,Sat 12-11 12-11,A,208 (Ⅲ),Loyola Marymount,"W, 63-58",71,88.8,48.8,36.6,41.7,58.1,81.7,39.3,19.7,22.9,33.9,-17.5,1.5,138.5,93.931640625,104.06328125,98.89590001524158,102.35048908703716,89.701171875,100.10234375,94.52920286541686,96.13727012131584,20211211,109.2,103.0,6.200000000000003,105.0,101.8,3.200000000000003,107.0,101.5,5.41,66.2,4.175574293102059,137.07691205827905,63.56330014224752,2.038428722857361,143.04812784178458,7.810357978316809,143.04812784178458,2.038428722857361,143.04812784178458,7.810357978316809,151.23492769405829,107.0,101.0,5.97,67.5,109.2,103.0,6.200000000000003,105.0,101.8,3.200000000000003,0.17446151567993662,139.8726629977649,0,102.35740199605888,101.68537347989272,0.672028516166165,4.075685700285773,94.69634913671996,104.00457686301236,-9.308227726292401,-12.717887515370068,2021-12-11,-2.9285427138690636,132.1076781377968,-8.971682705193174,132.1076781377968,-1.4100000000000001,-8.829999999999998,-2.2391495198902582,-7.419999999999999,-6.59085048010974,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,0.4432015031835318,0.6098426039694058,-1.0433028501752792,0.4233333333333329,-1.2799542752629192,-0.9811111111111108,-0.9275000000000002,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
10.5,13,7.199999999999998,7.344464766549812,7.50172460831744,103.2,93.23333333333332,89.9,86.03333333333335,Wed 12-15 12-15,A,44 (I),Washington St.,"W, 64-61",66,97.3,48.0,25.8,40.6,43.1,92.7,41.7,25.8,46.2,25.0,-11.0,7.5,136.0,98.5658203125,93.931640625,100.33060001016104,102.50494561666676,89.8005859375,89.701171875,92.98613524361124,95.00322100834931,20211215,107.0,100.4,6.599999999999994,107.7,91.7,16.0,105.6,99.4,6.18,67.0,9.445442199456068,131.1850611008865,64.14082503556187,10.390859654431445,135.94773094146788,9.573919201315723,135.94773094146788,10.390859654431445,135.94773094146788,9.573919201315723,122.69463198274441,107.8,92.9,14.83,67.3,107.0,100.4,6.599999999999994,107.7,91.7,16.0,12.008164472570698,134.47967999122417,0,101.612129909193,99.22106875228464,2.391061156908364,5.575893940828985,104.63699765003828,91.41718810059544,13.219809549442843,6.446537751290034,2021-12-15,10.820177702709586,129.68703626700415,2.462339240419766,129.68703626700415,6.82,-2.009999999999998,-4.436099679926838,-8.829999999999998,2.42609967992684,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,-3,0.23752526202697655,0.15138929141028679,1.1644647665498127,1.0199999999999987,-1.0433028501752792,-0.2010000000000005,-0.9811111111111108,1,-1.0,1,-1,-1,1,-3.0,-3.0
