ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
2.5,-14,,-14.0,-14.0,90.3,0.0,104.3,0.0,Tue 11-09 11-09,A,98 (Ⅱ),Mississippi,"L, 82-61",73,83.5,49.1,26.0,16.1,18.5,112.3,60.2,16.4,21.9,14.1,1.0,23.5,142.0,90.3,0.0,90.3,90.3,104.3,0.0,104.3,104.3,20211109,99.9,107.8,-7.899999999999991,103.1,93.9,9.199999999999989,93.5,108.1,-14.54,73.7,24.186766667331653,142.37584464518505,72.75647226173542,17.166197806572384,152.84051457568626,23.584269526219735,152.84051457568626,17.166197806572384,152.84051457568626,23.584269526219735,141.16032339274605,103.5,89.8,13.63,69.4,99.9,107.8,-7.899999999999991,103.1,93.9,9.199999999999989,23.584269526219735,141.16032339274605,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-09,-0.0,0.0,,0.0,0.5399999999999991,0.5399999999999991,0.0,0.0,0.5399999999999991,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,3,0.012607422565682258,0.5,0.5399999999999991,,0.0,0.5399999999999991,0.0,1,0.0,1,1,1,3,0.0,0.0
4.5,0,,-9.300000000000002,-11.436363636363636,110.5,0.0,110.4,0.0,Tue 11-16 11-16,A,81 (Ⅱ),Northwestern,"L, 83-67",69,97.6,47.4,18.9,27.3,25.9,120.9,53.8,10.2,33.3,22.7,5.5,20.5,144.5,100.4,90.3,97.03333333333332,93.97272727272728,107.35,104.3,106.33333333333334,105.4090909090909,20211116,97.3,105.4,-8.100000000000009,103.9,92.0,11.900000000000006,93.3,107.9,-14.55,73.0,26.269385944104855,147.06376786682893,72.89615931721195,19.0566113744609,148.76796126525363,23.788744292848378,148.76796126525363,19.0566113744609,148.76796126525363,23.788744292848378,155.09307869382,107.7,91.8,15.88,70.2,97.3,105.4,-8.100000000000009,103.9,92.0,11.900000000000006,23.739028217671816,155.17266441174112,0,102.90607558694803,96.88249794545324,6.023577641494796,6.773917963828825,97.626482164416,105.85711672599018,-8.230634561574178,-8.563019105537261,2021-11-16,-6.449851587994274,151.39789577188725,-9.157204223844175,151.39789577188725,14.55,15.09,0.5399999999999991,0.5399999999999991,14.55,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.025446496381253736,0.7304820602037061,5.249999999999998,,0.5399999999999991,7.545,0.5399999999999991,1,1.0,1,1,1,3,3.0,0.0
1.5,-16,-9.966666666666669,-11.533333333333337,-12.266115702479336,100.4,100.4,116.4,110.36666666666667,Fri 11-19 11-19,H,237 (Ⅳ),Rice,"L, 83-78",71,110.0,47.1,12.7,41.0,26.1,117.0,63.5,25.4,33.3,58.3,10.0,6.5,151.0,100.4,100.4,98.15555555555557,95.14132231404956,111.875,107.35,109.6888888888889,107.40743801652891,20211119,98.1,105.4,-7.300000000000011,102.4,102.4,0.0,93.7,107.7,-13.99,72.4,8.69867763187871,152.22868988938035,74.04779516358465,1.2424266078236883,157.55554784226388,2.1152382903348426,157.55554784226388,1.2424266078236883,157.55554784226388,2.1152382903348426,146.9890751528935,104.3,101.1,3.2,71.9,98.1,105.4,-7.300000000000011,102.4,102.4,0.0,1.8911032302194042,147.06263369899284,0,101.07581557695664,102.50037687567372,-1.4245612987170801,-4.918012706967728,97.81998661438772,96.65341438401975,1.1665722303679615,10.38207137713286,2021-11-19,-2.2471722330086266,149.76939663572935,9.199392448266835,149.76939663572935,-2.01,13.08,5.389999999999999,15.09,7.690000000000001,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,3,0.26794249453351904,0.5847328671664013,2.4566666666666634,4.023333333333332,5.249999999999998,4.359999999999999,7.545,1,1.0,1,1,1,3,3.0,3.0
18.5,12,-1.233333333333339,-3.622222222222228,-7.817731029301277,100.6,103.83333333333331,88.4,105.06666666666666,Wed 11-24 11-24,H,293 (Ⅳ),Central Arkansas,"W, 90-63",78,114.9,59.5,21.7,27.3,31.7,80.4,43.7,23.0,25.6,17.5,1.0,-8.5,152.0,100.5,100.4,98.9703703703704,96.13380916604056,100.1375,111.875,102.5925925925926,103.95154019534183,20211124,99.2,106.8,-7.599999999999994,94.1,107.6,-13.5,95.1,108.8,-13.7,70.8,-6.692028889475139,147.323879716007,73.01564722617353,-8.990149189697945,154.848231921249,-8.070240167119756,154.848231921249,-8.990149189697945,154.848231921249,-8.070240167119756,143.2267117225388,91.5,108.4,-16.87,72.5,99.2,106.8,-7.599999999999994,94.1,107.6,-13.5,-8.250356792857852,143.10478011457081,0,99.93666590937605,101.89443084148178,-1.9577649321057322,-2.0139314685675456,86.26539852781747,100.45976927277408,-14.194370744956615,-5.557349743051585,2021-11-24,-13.264885026105048,140.83727895247733,-4.554292829658195,140.83727895247733,25.7,38.78,7.953333333333332,13.08,30.826666666666668,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,3,0.790893043407255,0.8967633273770608,10.077777777777772,12.46666666666666,2.4566666666666634,9.695,4.359999999999999,1,1.0,1,1,1,3,3.0,3.0
-4.5,-10,-4.900000000000001,-6.048148148148149,-8.378143569428316,91.7,97.56666666666666,102.6,102.46666666666668,Thu 11-25 11-25,H,277 (Ⅳ),Presbyterian,"L, 68-66",71,93.0,55.8,29.6,20.8,60.5,95.8,44.4,24.0,43.6,25.4,-3.0,-2.5,137.0,96.1,100.5,96.54691358024694,95.32766204494226,101.36875,100.1375,102.59506172839508,103.7058056143706,20211125,99.4,106.9,-7.5,93.7,102.2,-8.5,95.8,108.1,-12.36,71.2,-0.8440082809359097,130.26637475978833,65.83214793741111,-4.772438701570422,136.22547724956385,-4.408836639050849,136.22547724956385,-4.772438701570422,136.22547724956385,-4.408836639050849,120.79618350747553,94.0,101.6,-7.65,65.0,99.4,106.9,-7.5,93.7,102.2,-8.5,-4.529911803170853,120.73655010367192,0,99.25118452238588,103.82883718014786,-4.577652657761973,-5.70557515152552,88.45559280893715,91.04988822605544,-2.594295417118289,0.9901758844064366,2021-11-25,-2.4482237591906966,122.97863013268723,2.6081160659471223,122.97863013268723,2.3599999999999994,41.14,18.22888888888889,38.78,22.91111111111111,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.5940963859982835,0.5921830353969258,6.31185185185185,7.459999999999998,10.077777777777772,8.228,9.695,1,1.0,1,1,1,3,3.0,3.0
7.0,9,3.466666666666664,-0.9987654320987688,-5.200299284077714,106.8,99.7,97.7,96.23333333333332,Fri 11-26 11-26,H,169 (Ⅳ),VMI,"W, 79-71",68,115.8,57.6,14.7,23.3,20.3,104.1,50.0,20.5,32.4,19.7,4.5,-1.0,145.5,101.45,96.1,99.96460905349797,97.41354167313456,99.534375,101.36875,100.96337448559672,102.61384095721228,20211126,99.6,105.9,-6.300000000000011,100.5,104.6,-4.099999999999994,95.6,108.0,-12.43,71.7,0.07068339535210555,144.55479346393565,69.35419630156473,-2.5905976710229623,149.51681730507136,-4.83924525224598,149.51681730507136,-2.5905976710229623,149.51681730507136,-4.83924525224598,140.81265984266525,99.8,106.5,-6.73,68.0,99.6,105.9,-6.300000000000011,100.5,104.6,-4.099999999999994,-4.934785314961888,140.78775290350592,0,97.96867369975652,103.13647261430675,-5.167798914550232,-4.208033277393498,98.59157061410326,100.23120552607092,-1.6396349119676614,-0.7478125483221987,2021-11-26,-1.4961264621777985,141.87098828409762,0.5060099990569142,141.87098828409762,21.43,62.57,25.86592592592593,41.14,36.70407407407407,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,3,0.5379371440662541,0.5566528139676705,11.431234567901232,15.896666666666665,6.31185185185185,10.428333333333333,8.228,1,1.0,1,1,1,3,3.0,3.0
-5.5,-13,-4.966666666666664,-5.032510288065843,-6.636608505154491,95.9,98.13333333333333,109.0,103.1,Tue 11-30 11-30,A,39 (I),Texas A&M,"L, 85-65",73,88.7,45.8,20.5,23.1,32.2,116.0,57.0,13.6,31.4,31.3,13.0,14.5,137.0,98.675,101.45,98.60973936899866,97.1383522780192,104.2671875,99.534375,103.6422496570645,103.7749607831737,20211130,100.6,106.2,-5.6000000000000085,102.6,94.9,7.699999999999989,97.0,108.6,-11.61,71.6,19.522873848876046,138.01012769403764,68.0352773826458,13.39276678523838,142.75241027454587,14.321051468417584,142.75241027454587,13.39276678523838,142.75241027454587,14.321051468417584,133.33650173632503,104.2,92.8,11.39,66.8,100.6,106.2,-5.6000000000000085,102.6,94.9,7.699999999999989,14.201915044290761,130.73753792092413,0,98.19090861804742,104.85332768177086,-6.662419063723448,-5.510679323368213,96.20945465449536,93.34208523039106,2.8673694241042966,5.238375993612773,2021-11-30,10.186881612676395,134.37595718385518,9.215543695076043,134.37595718385518,-1.3900000000000006,61.18,38.10061728395062,62.57,23.07938271604938,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.08364680132758417,0.16597858804901322,6.577489711934156,6.643333333333335,11.431234567901232,8.739999999999998,10.428333333333333,1,1.0,1,1,1,3,3.0,3.0
-3.5,-12,-5.333333333333333,-7.355006858710563,-7.611770595126401,88.3,97.0,100.3,102.33333333333331,Fri 12-03 12-03,A,171 (Ⅲ),Louisiana Lafayette,"L, 80-67",79,85.3,43.7,20.4,20.0,27.0,101.9,49.2,20.4,35.1,32.3,-4.5,9.5,151.5,93.4875,98.675,95.17315957933243,95.53137913656116,102.28359375,104.2671875,102.528166438043,103.14314973168756,20211203,100.2,106.8,-6.599999999999994,98.7,100.4,-1.7000000000000028,97.1,108.7,-11.6,71.9,11.353073135332053,152.10826766052003,75.3773826458037,8.145867476564376,158.74873234814106,-4.230627769247169,158.74873234814106,8.145867476564376,158.74873234814106,-4.230627769247169,134.19210439988504,97.5,99.4,-1.91,73.7,100.2,106.8,-6.599999999999994,98.7,100.4,-1.7000000000000028,-4.033890708523413,135.19801240125017,0,97.77989293513131,103.87691368137834,-6.097020746247026,-4.029017209777117,86.55895821169007,96.56504912226764,-10.00609091057757,-11.696990512905211,2021-12-03,0.503604903100495,141.85539805265867,-3.835304806018911,141.85539805265867,-0.40000000000000036,60.78,45.79374485596708,61.18,14.986255144032924,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.182795768782416,0.4808731155447654,4.244993141289437,6.266666666666667,6.577489711934156,7.5975,8.739999999999998,1,1.0,1,1,1,3,3.0,3.0
-10.5,-29,-18.3,-14.836671239140374,-11.645994123285238,75.3,86.5,105.1,104.8,Sat 12-11 12-11,A,44 (I),Utah St.,"L, 82-50",72,69.6,32.1,26.4,33.3,39.3,114.1,58.6,20.9,33.3,17.2,-17.0,21.5,149.0,84.39375,93.4875,88.5487730528883,91.8529465662773,103.691796875,102.28359375,103.38544429202868,103.49894068956256,20211211,99.6,106.2,-6.6000000000000085,108.6,96.0,12.599999999999994,97.2,108.5,-11.35,71.9,20.37927687240996,147.20014732521685,69.95675675675677,18.349074765793446,151.461904487631,20.04332963601719,151.461904487631,18.349074765793446,151.461904487631,20.04332963601719,143.81069161606908,107.9,96.4,11.45,68.4,99.6,106.2,-6.6000000000000085,108.6,96.0,12.599999999999994,18.204775841801894,147.67763074586804,0,95.30970555730946,101.8915491415877,-6.581843584278246,-3.0243337721157664,106.60499599522052,97.97108409823454,8.633911896985978,8.53710511581829,2021-12-11,14.967324995867955,144.96164780915575,10.100788654154897,144.96164780915575,-17.65,43.13,50.789163237311385,60.78,-7.6591632373113825,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.02029867074389724,0.0770122062368116,-3.4866712391403745,-6.950000000000001,4.244993141289437,4.792222222222222,7.5975,-1,1.0,-1,1,1,-1,3.0,3.0
-12.5,-21,-20.966666666666665,-16.92444749276025,-13.36490428268792,85.4,83.0,106.5,103.96666666666664,Thu 1-06 1-06,N,304 (Ⅳ),McNeese St.,"L, 92-82 2OT",90,91.2,43.2,20.0,17.1,71.2,102.3,44.7,14.5,35.0,60.5,21.5,-2.5,152.5,84.896875,84.39375,87.49918203525887,90.67968355422688,105.0958984375,103.691796875,104.42362952801912,104.0445878369148,20220106,98.8,106.4,-7.600000000000008,94.9,106.3,-11.399999999999991,96.7,108.5,-11.77,71.9,-2.0812630741031484,151.61282823549396,75.275106685633,-3.114686588678225,158.3932082291247,2.4935618208772934,158.3932082291247,-3.114686588678225,158.3932082291247,2.4935618208772934,147.970239248242,92.0,106.1,-14.16,73.6,98.8,106.4,-7.600000000000008,94.9,106.3,-11.399999999999991,-0.9649853428151397,143.50833926702873,0,95.7203214545271,100.69530488074184,-4.974983426214749,-0.1027561244710876,99.90738208531992,98.02947621404633,1.8779058712735974,0.8314749185980947,2022-01-06,5.203892710657087,149.5032437029064,0.7032434143606281,149.5032437029064,-9.23,33.900000000000006,48.23610882487426,43.13,-14.336108824874252,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.5940963859982835,0.31008521100291464,-5.1544474927602515,-9.196666666666665,-3.4866712391403745,3.389999999999999,4.792222222222222,-1,-1.0,-1,1,1,-1,-1.0,3.0
