ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
18.5,12,,12.100000000000009,12.100000000000009,94.2,0.0,82.1,0.0,Tue 11-09 11-09,A,97 (Ⅱ),Northern Iowa,"W, 62-58",66,93.5,53.9,15.1,22.2,35.3,87.5,33.0,12.1,18.9,76.0,-28.5,14.5,148.5,94.2,0.0,94.2,94.2,82.1,0.0,82.1,82.1,20211109,100.1,107.7,-7.600000000000008,107.8,99.2,8.599999999999994,97.6,101.1,-3.55,72.0,9.537599714549756,140.1548885287046,70.87339971550499,16.55849508239052,156.5599484913949,-9.88109371416229,156.5599484913949,16.55849508239052,156.5599484913949,-9.88109371416229,113.34432630905782,102.1,97.6,4.49,69.2,100.1,107.7,-7.600000000000008,107.8,99.2,8.599999999999994,-9.88109371416229,113.34432630905782,0,97.8770431685578,99.419831855199,-1.5427886866412024,0.3544335355809753,97.0768854554287,104.24666199229075,-7.169776536862059,-5.272554314639915,2021-11-09,0.027819787216841974,143.8844203124712,-2.052381350571096,143.8844203124712,15.55,15.55,0.0,0.0,15.55,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.08364680132758417,0.4989430022507054,15.65000000000001,,0.0,15.55,0.0,1,0.0,1,1,1,3,0.0,0.0
-8.0,-11,,4.366666666666671,7.881818181818186,87.8,0.0,98.9,0.0,Mon 11-15 11-15,A,4 (I-A),Baylor,"L, 89-60",77,77.4,46.4,23.2,13.2,29.1,114.9,60.4,25.8,41.7,6.9,3.0,21.0,146.0,91.0,94.2,92.06666666666668,93.03636363636365,90.5,82.1,87.7,85.15454545454544,20211115,97.7,103.9,-6.200000000000003,111.5,91.9,19.599999999999994,97.1,100.9,-3.85,72.4,24.63418959280085,147.13042174915387,73.4298719772404,23.88618811462007,154.91632946100458,-3.7293492825749723,154.91632946100458,23.88618811462007,154.91632946100458,-3.7293492825749723,129.42780902666803,113.3,88.8,24.49,71.3,97.7,103.9,-6.200000000000003,111.5,91.9,19.599999999999994,-3.7293492825749723,129.42780902666803,0,96.04477543088645,97.18645304695244,-1.1416776160659907,-1.987831280633844,99.3979345789386,96.62370661605294,2.7742279628856608,5.536911348333344,2021-11-15,6.832477900894347,142.26363013830593,7.617930483731314,142.26363013830593,-7.15,8.4,15.55,15.55,-7.15,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.02275013194817921,0.2576161492658333,8.21666666666667,,15.65000000000001,4.2,15.55,1,1.0,-1,1,1,1,3.0,0.0
0.5,6,2.333333333333333,4.911111111111114,7.5396694214876065,89.8,90.6,83.8,88.26666666666667,Thu 11-18 11-18,A,38 (I),TCU,"L, 63-50",66,75.4,38.4,28.6,38.5,14.3,95.0,41.5,22.6,34.4,47.2,-31.5,13.5,144.5,90.4,91.0,91.31111111111112,92.44793388429753,87.15,90.5,86.4,84.9082644628099,20211118,96.7,103.4,-6.700000000000003,103.9,94.0,9.900000000000006,96.9,100.7,-3.83,71.9,15.382075069565794,142.38693798025426,72.92275960170697,16.46891535765242,148.22960420733756,10.957276890659003,148.22960420733756,16.46891535765242,148.22960420733756,10.957276890659003,116.26979719681118,105.0,92.9,12.04,71.3,96.7,103.4,-6.700000000000003,103.9,94.0,9.900000000000006,10.849921917633063,116.14972832031017,0,91.8605996592591,96.23888099177518,-4.378281332516082,-6.387036991676595,98.6389954813506,94.85539879593816,3.783596685412448,8.95918834493253,2021-11-18,9.612210984303061,135.9178846017182,13.25898785147048,135.9178846017182,9.83,18.23,13.166666666666668,8.4,5.063333333333333,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.09927139684333097,0.17997807014632694,8.741111111111113,6.163333333333333,8.21666666666667,6.076666666666667,4.2,1,1.0,1,1,1,3,1.0,3.0
-3.0,-9,-4.86666666666667,0.1074074074074098,4.44154770848986,95.2,90.93333333333334,104.7,95.8,Mon 11-22 11-22,N,299 (Ⅳ),Cal Poly,"W, 75-72 OT",77,97.8,47.8,14.3,23.8,23.5,93.9,49.1,23.5,27.8,57.4,13.5,-6.0,133.5,92.8,90.4,92.60740740740744,92.94830954169797,95.925,87.15,92.5,88.50676183320809,20211122,96.2,102.0,-5.799999999999997,94.7,105.6,-10.899999999999991,96.7,100.5,-3.72,70.3,-6.106317611940305,128.48391761194029,66.8,-3.4182304477611893,135.67031402985077,-9.753686784955223,135.67031402985077,-3.4182304477611893,135.67031402985077,-9.753686784955223,114.39196622981093,91.6,104.7,-13.03,66.8,96.2,102.0,-5.799999999999997,94.7,105.6,-10.899999999999991,-9.844189392398007,114.34310529337311,0,90.79404413709835,98.58303823585948,-7.788994098761123,-11.048826013764868,91.22158620960708,101.92425685326631,-10.702670643659232,-10.785048996739445,2021-11-22,-1.7882136880358885,124.91489968627198,0.17620304737298653,124.91489968627198,-5.279999999999999,12.950000000000001,14.854444444444447,18.23,-1.9044444444444455,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,3,0.7161454169013237,0.5676152793272483,3.82740740740741,-1.1466666666666696,8.741111111111113,3.2375,6.076666666666667,1,1.0,-1,1,1,1,3.0,1.0
-10.0,-23,-9.066666666666668,-7.8283950617283935,-0.6750973294173885,92.2,92.4,115.9,101.46666666666664,Wed 11-24 11-24,N,116 (Ⅲ),Utah Valley,"L, 74-63",68,93.3,39.9,7.4,27.7,17.4,109.5,46.4,17.8,32.4,42.9,0.0,1.0,137.0,92.5,92.8,92.47160493827164,92.81225326138924,105.9125,95.925,100.3,93.4873505908066,20211124,95.8,101.9,-6.1000000000000085,99.2,99.6,-0.3999999999999915,96.4,100.6,-4.16,70.2,1.3958255748285637,135.22535715674826,69.00170697012803,4.004354976185937,138.82536340658018,5.724574114705506,138.82536340658018,4.004354976185937,138.82536340658018,5.724574114705506,124.99820862891218,98.9,101.1,-2.24,69.1,95.8,101.9,-6.1000000000000085,99.2,99.6,-0.3999999999999915,5.936720288467337,125.12375111041372,0,92.23497602206558,99.20767498946265,-6.972698967397065,-7.093576990673608,103.31971425610962,95.20909985771875,8.110614398390865,4.166794164936713,2021-11-24,10.374724133030547,134.45616332883355,7.769848308543061,134.45616332883355,-18.84,-5.889999999999999,14.219629629629631,12.950000000000001,-20.10962962962963,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.46206285593374585,0.16155943691019314,-3.6683950617283934,-4.906666666666668,3.82740740740741,-1.178,3.2375,-1,1.0,-1,-1,1,-3,1.0,3.0
-5.0,2,-10.366666666666667,-4.518930041152265,-0.1705341786142279,106.8,98.06666666666666,104.7,108.43333333333334,Thu 12-09 12-09,A,352 (Ⅳ),Mississippi Valley St.,"W, 95-80",81,116.9,67.7,18.5,18.8,24.6,98.5,46.5,13.5,28.3,35.2,31.0,-20.0,144.0,99.65,92.5,97.24773662551442,95.35547994113664,105.30625,105.9125,101.76666666666668,95.52601411975088,20211209,96.8,104.2,-7.400000000000006,86.5,114.1,-27.599999999999994,98.1,102.8,-4.68,69.7,-17.7686948912446,142.14213776685986,71.58378378378379,-10.765557603654074,146.4736626993307,-11.563054001617523,146.4736626993307,-10.765557603654074,146.4736626993307,-11.563054001617523,129.3113961537084,82.6,117.7,-35.02,72.2,96.8,104.2,-7.400000000000006,86.5,114.1,-27.599999999999994,-13.669790085980532,130.95488230733346,0,97.9055433131696,98.8517321998349,-0.946188886665297,-0.4458891713360495,94.22471532007584,102.95983053699716,-8.735115216921315,-6.93391107475787,2021-12-09,-1.633946337472338,141.87367989355724,-2.7139839887698116,141.87367989355724,6.68,0.7900000000000009,7.5164197530864225,-5.889999999999999,-6.726419753086422,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.9715944860326362,0.5618313306403606,0.1610699588477349,-5.686666666666667,-3.6683950617283934,0.13166666666666638,-1.178,1,-1.0,-1,1,-1,1,-3.0,1.0
14.5,19,-0.7333333333333343,3.454046639231825,3.3877447629519963,114.9,104.63333333333333,95.5,105.36666666666667,Wed 12-15 12-15,A,28 (I-A),Wisconsin,"L, 71-68",67,101.8,52.4,18.0,30.3,12.9,106.3,49.1,12.0,27.8,49.1,6.0,17.5,133.0,107.275,99.65,103.13182441700962,98.90902904274816,100.403125,105.30625,99.6777777777778,95.52128427979616,20211215,97.0,103.8,-6.799999999999997,105.3,90.6,14.700000000000005,97.7,102.6,-4.86,70.6,18.623113524158704,131.6421417081575,66.58293029871976,18.38754997865059,134.99699615683033,16.89223346795457,134.99699615683033,18.38754997865059,134.99699615683033,16.89223346795457,131.456026452578,107.5,89.8,17.64,66.3,97.0,103.8,-6.799999999999997,105.3,90.6,14.700000000000005,17.515765163239347,125.07619400001417,0,99.212673206866,97.31561342818527,1.8970597786807275,-0.1887584066948274,103.28385830542948,93.09373988338416,10.190118422045316,11.962684250472249,2021-12-15,9.24849269535725,131.80078245543913,10.064860590806404,131.80078245543913,23.86,24.65,5.274279835390949,0.7900000000000009,19.37572016460905,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.047790352272814696,0.1892106503505009,8.314046639231826,4.126666666666666,0.1610699588477349,3.5214285714285714,0.13166666666666638,1,1.0,1,1,1,3,1.0,-3.0
7.5,6,9.333333333333334,4.46936442615455,3.953609351506179,118.9,113.53333333333336,112.4,104.2,Sat 12-18 12-18,H,352 (Ⅳ),Mississippi Valley St.,"W, 104-73",75,139.2,70.8,20.1,42.9,26.2,97.7,43.1,12.0,26.1,36.9,27.5,-23.5,149.5,113.0875,107.275,108.3878829446731,102.54375103497576,106.4015625,100.403125,103.91851851851854,98.59014168346958,20211218,98.0,102.9,-4.900000000000006,86.6,113.6,-27.0,99.1,102.2,-3.1,70.5,-26.582782049702097,150.1926738146172,74.51137980085349,-21.189661168453753,153.09946201055305,-24.127757185193826,153.09946201055305,-21.189661168453753,153.09946201055305,-24.127757185193826,145.31647432830152,83.9,117.0,-33.15,74.3,98.0,102.9,-4.900000000000006,86.6,113.6,-27.0,-24.09622911216313,145.31270718210212,0,99.51308648474108,99.55975132155666,-0.0466648368155802,-1.4114131926151323,96.68585314708336,104.42711529148438,-7.74126214440102,-3.531133330269528,2021-12-18,-10.098709755802076,152.59072700292558,-3.6141927223457344,152.59072700292558,9.1,33.75,11.732853223593965,24.65,22.017146776406037,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.9873925774343177,0.8319204093937405,7.56936442615455,12.433333333333334,8.314046639231826,4.21875,3.5214285714285714,1,1.0,1,1,1,3,3.0,1.0
-16.0,-28,-0.9333333333333323,-6.587090382563632,-1.9834105305858545,79.0,104.26666666666668,107.7,105.2,Tue 12-21 12-21,A,215 (Ⅳ),Oregon St.,"L, 83-61",74,82.9,42.3,23.1,34.1,16.9,112.8,57.1,21.8,30.0,44.6,1.0,6.0,143.0,96.04375,113.0875,98.5919219631154,98.26306902861651,107.05078125,106.4015625,105.17901234567904,100.24647955920236,20211221,98.9,103.3,-4.399999999999992,98.1,103.4,-5.300000000000011,99.1,102.2,-3.08,70.4,6.581002970783501,137.79607611386177,67.09530583214794,3.283103567092695,139.98770644134592,-2.4127945638985513,139.98770644134592,3.283103567092695,139.98770644134592,-2.4127945638985513,146.31088193968716,102.9,102.0,0.89,67.0,98.9,103.3,-4.399999999999992,98.1,103.4,-5.300000000000011,-0.8832932505186109,135.639563773354,0,97.52059162027192,100.0257196656658,-2.5051280453938887,-1.8613649577389957,97.46718047950588,103.5023441276363,-6.035163648130421,-7.009569888116717,2021-12-21,1.4516676944954696,136.3830036711139,-1.6588630117124765,136.3830036711139,-24.92,8.829999999999998,19.071902149062645,33.75,-10.241902149062646,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,-3,0.2838545830986763,0.4450198133564188,-3.507090382563632,2.146666666666668,7.56936442615455,0.9811111111111108,4.21875,-1,1.0,-1,1,1,-1,3.0,3.0
15.0,8,-4.666666666666667,-1.6580602550424208,-0.1318813432066075,127.5,108.46666666666664,119.3,113.13333333333334,Wed 12-29 12-29,A,12 (I-A),Purdue,"L, 104-90",73,123.2,58.9,13.7,34.1,12.3,142.4,68.9,11.0,33.3,44.3,46.0,29.0,148.0,111.771875,96.04375,108.22794797541027,103.57887465977716,113.175390625,107.05078125,109.8860082304527,103.71075600298374,20211229,98.1,104.2,-6.1000000000000085,120.3,93.5,26.8,98.6,102.6,-4.03,70.6,26.016819743308368,146.3417342522751,68.18975817923186,27.73635392860416,152.2944978937112,22.571714796137506,152.2944978937112,27.73635392860416,152.2944978937112,22.571714796137506,147.2446600987504,120.4,92.5,27.95,67.9,98.1,104.2,-6.1000000000000085,120.3,93.5,26.8,26.637056261543965,143.76536390619128,0,100.79520847295764,101.58888636699012,-0.7936778940324842,-1.983050774213666,115.52811320600472,94.07014647317222,21.457966732832503,25.688658477232856,2021-12-29,19.898297914928165,148.65896488750172,21.004892003586477,148.65896488750172,12.030000000000001,20.86,15.657934766041762,8.829999999999998,5.202065233958237,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.0028732619119818947,0.029041167395076783,2.3719397449575794,-0.6366666666666667,-3.507090382563632,2.0860000000000003,0.9811111111111108,1,-1.0,1,1,1,3,-1.0,3.0
